Whenever ^nn+nom+++=Whenever
ancient ^jj+atrb+++=ancient
and ^cc+phrs+++=and
venerable ^jj+atrb+++=venerable
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
Modern ^jj+atrb+++=Modern
tiles ^nns++++=tiles
have ^vb+hv+aux++=have
replaced ^vprf+++xvbnx+=replaced
the ^ati++++=the
limestone ^nn++++=limestone
slabs ^nns++++=slabs
of ^in++++=of
its ^pp$+it+++=its
floors ^nns++++=floors,
, ^zz++++=EXTRAWORD
worn ^j+++xvbn+=worn
in ^in++++=in
hollows ^nns++++=hollows
by ^in++++=by
the ^ati++++=the
tread ^nn++++=tread
of ^in++++=of
thousands ^cds++++=thousands
of ^in++++=of
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smart ^jj+atrb+++=smart
and ^cc+phrs+++=and
gaudy ^jj+atrb+++=gaudy
fixtures ^nns++++=fixtures
have ^vb+hv+aux++=have
usurped ^vprf+++xvbnx+=usurped
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
the ^ati++++=the
time ^nn++++=time-worn
- ^zz++++=EXTRAWORD
worn ^jj+atrb++xvbn+=EXTRAWORD
furniture ^nn++++=furniture
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
consecrated ^vpsv++by+xvbnx+=consecrated
by ^in++++=by
the ^ati++++=the
touch ^nn++++=touch
of ^in++++=of
hands ^nns++++=hands
that ^tht+rel+obj++=that
Texas ^np++++=Texas
will ^md+prd+++=will
never ^rb++splt++=never
cease ^vb++++=cease
to ^in++++=to
honor ^nn++++=honor.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
even ^rb++++=even
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
enter ^vb++++=enter
the ^ati++++=the
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
lower ^jjr++++=lower
your ^pp$+pp2+++=your
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
time ^nn++++=time
turns ^vbz++++=turns
backward ^jj++++=backward
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
atmosphere ^nn++++=atmosphere
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
breathe ^vb++++=breathe
is ^vbz+bez+vrb++=is
cold ^jj+pred+++=cold
with ^in++++=with
the ^ati++++=the
exudation ^nn+nom+++=exudation
of ^in++++=of
buried ^jj+atrb++xvbn+=buried
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
building ^nvbg+++xvbg+=building
is ^vbz+bez+vrb++=is
stone ^nn++++=stone
with ^in++++=with
a ^at++++=a
coating ^nn++++=coating
of ^in++++=of
concrete ^nn++++=concrete;
; ^zz++++=EXTRAWORD
the ^ati++++=the
walls ^nns++++=walls
are ^vb+ber+vrb++=are
immensely ^rb++++=immensely
thick ^jj+pred+++=thick;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
cool ^vb++++=cool
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer
and ^cc++++=and
warm ^jj++++=warm
in ^in++++=in
the ^ati++++=the
winter ^nn++++=winter;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
isolated ^vpsv++agls+xvbnx+=isolated
and ^cc++++=and
sombre ^jj++++=sombre;
; ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
apart ^in++++=apart
from ^in"++++=from
the ^ati++++=the
other ^ap++++=other
state ^nn++++=state
buildings ^nns++++=buildings,
, ^zz++++=EXTRAWORD
sullen ^jj++++=sullen
and ^cc+phrs+++=and
decaying ^jj++++=decaying,
, ^zz++++=EXTRAWORD
brooding ^nn++++=brooding
on ^in++++=on
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty
years ^nns++++=years
ago ^rb++++=ago
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
much ^ap++++=much
the ^ati++++=the
same ^ap++++=same
as ^ql++++=as
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
twenty ^cd++++=twenty
years ^nns++++=years
from ^in++++=from
now ^rn+tm+++=now
the ^ati++++=the
garish ^jj+atrb+++=garish
newness ^nns+nom+++=newness
will ^md+prd+++=will
be ^vb+be+aux++=be
worn ^vpsv++agls+xvbnx+=worn
off ^in+pl+++=off
and ^cc++++=and
it ^pp3+it+++=it
will ^md+prd+++=will
return ^vb++++=return
to ^in++++=to
its ^pp$+it+++=its
appearance ^nn+nom+++=appearance
of ^in++++=of
gloomy ^jj+atrb+++=gloomy
decadence ^nn+nom+++=decadence.
. ^zz++++=EXTRAWORD
People ^nns++++=People
living ^vwbg+++xvbg+=living
in ^in++++=in
other ^ap++++=other
states ^nns++++=states
can ^md+pos+++=can
form ^vb++++=form
no ^at++++=no
conception ^nn+nom+++=conception
of ^in++++=of
the ^ati++++=the
vastness ^nns+nom+++=vastness
and ^cc++++=and
importance ^nn+nom+++=importance
of ^in++++=of
the ^ati++++=the
work ^nn++++=work
performed ^vwbn+++xvbn+=performed
and ^cc++++=and
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
the ^ati++++=the
millions ^cds++++=millions
of ^in++++=of
records ^nns++++=records
and ^cc++++=and
papers ^nns++++=papers
composing ^vwbg+++xvbg+=composing
the ^ati++++=the
archives ^nn++++=archives
of ^in++++=of
this ^dt+dem+++=this
office ^nn++++=office.
. ^zz++++=EXTRAWORD
The ^ati++++=The
title ^nn++++=title
deeds ^nns++++=deeds,
, ^zz++++=EXTRAWORD
patents ^nns++++=patents,
, ^zz++++=EXTRAWORD
transfers ^nns+nom+++=transfers
and ^cc++++=and
legal ^jj+atrb+++=legal
documents ^nns+nom+++=documents
connected ^vbd+++xvbn+=connected
with ^in++++=with
every ^at++++=every
foot ^nn++++=foot
of ^in++++=of
land ^nn++++=land
owned ^vbd+++xvbn+=owned
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Texas ^np++++=Texas
are ^vb+ber+aux++=are
filed ^vpsv++agls+xvbnx+=filed
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Volumes ^nns++++=Volumes
could ^md+pos+++=could
be ^vb+be+aux++=be
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
accounts ^nns++++=accounts
of ^in++++=of
the ^ati++++=the
knavery ^nn+nom+++=knavery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
double ^jj++++=double-dealing,
- ^zz++++=EXTRAWORD
dealing ^vbg+nom++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
cross ^jj+atrb+++=cross
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
perjury ^nn++++=perjury,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lies ^vbz++++=lies,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bribery ^nn+nom+++=bribery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
alteration ^nn+nom+++=alteration
and ^cc++++=and
erasing ^nvbg+++xvbg+=erasing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
suppressing ^jj+++xvbg+=suppressing
and ^cc+phrs+++=and
destroying ^jj+++xvbg+=destroying
of ^in++++=of
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
various ^jj+atrb+++=various
schemes ^nns++++=schemes
and ^cc++++=and
plots ^nns++++=plots
that ^tht+rel+++=that
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
the ^ati++++=the
almighty ^jj+atrb+++=almighty
dollar ^nn++++=dollar
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
their ^pp$+pp3+++=their
stains ^nns++++=stains
upon ^in++++=upon
the ^ati++++=the
records ^nns++++=records
of ^in++++=of
the ^ati++++=the
General ^jj+atrb+++=General
Land ^nn++++=Land
Office ^nn++++=Office.
. ^zz++++=EXTRAWORD
No ^at++++=No
reference ^nn+nom+++=reference
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
the ^ati++++=the
employees ^nns+nom+++=employees.
. ^zz++++=EXTRAWORD
No ^at++++=No
more ^rbr++++=more
faithful ^jj++++=faithful,
, ^zz++++=EXTRAWORD
competent ^jj+atrb+++=competent
and ^cc+phrs+++=and
efficient ^jj+atrb+++=efficient
force ^nn++++=force
of ^in++++=of
men ^nns++++=men
exists ^vbz++++=exists
in ^in++++=in
the ^ati++++=the
clerical ^jj+atrb+++=clerical
portions ^nns+nom+++=portions
of ^in++++=of
any ^dti++++=any
government ^nn+nom+++=government,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is--or
-- ^--+clp+++=EXTRAWORD
or ^cc+cls+++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
for ^in++++=for
their ^pp$+pp3+++=their
day ^nn++++=day
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
over ^in+strn+++=over--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
class ^nn++++=class
of ^in++++=of
land ^nn++++=land
speculators ^nns++++=speculators
commonly ^rb++++=commonly
called ^jj+atrb++xvbn+=called
land ^nn++++=land
sharks ^nns++++=sharks,
, ^zz++++=EXTRAWORD
unscrupulous ^jj++++=unscrupulous
and ^cc+phrs+++=and
greedy ^jj++++=greedy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
their ^pp$+pp3+++=their
trail ^nn++++=trail
in ^in++++=in
every ^at++++=every
department ^nn+nom+++=department
of ^in++++=of
this ^dt+dem+++=this
office ^nn++++=office,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
titles ^nns++++=titles
destroyed ^vwbn+++xvbn+=destroyed,
, ^zz++++=EXTRAWORD
patents ^nns++++=patents
cancelled ^vwbn+++xvbn+=cancelled,
, ^zz++++=EXTRAWORD
homes ^nrs++++=homes
demolished ^vwbn+++xvbn+=demolished
and ^cc+phrs+++=and
torn ^vwbn+++xvbn+=torn
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
forged ^jj+atrb++xvbn+=forged
transfers ^nns+nom+++=transfers
and ^cc++++=and
lying ^vbg+++xvbg+=lying
affidavits ^nns+++??+=affidavits.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
modern ^jj+atrb+++=modern
tiles ^nns++++=tiles
were ^vbd+bed+aux++=were
laid ^vpsv++agls+xvbnx+=laid
upon ^in++++=upon
the ^ati++++=the
floors ^nns++++=floors,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
deep ^jj+atrb+++=deep
hollows ^nns++++=hollows
in ^in++++=in
the ^ati++++=the
limestone ^nn++++=limestone
slabs ^nns++++=slabs,
, ^zz++++=EXTRAWORD
worn ^xvbn+++xvbn+=worn
by ^in++++=by
the ^ati++++=the
countless ^jj+atrb+++=countless
feet ^nns++++=feet
that ^tht+rel+++=that
daily ^jj++++=daily
trod ^vbd+++xvbn+=trod
uneasily ^rb++++=uneasily
through ^in++++=through
its ^pp$+it+++=its
echoing ^jj+atrb+++=echoing
corridors ^nns++++=corridors,
, ^zz++++=EXTRAWORD
pressing ^vbg+++xvbg+=pressing
from ^in++++=from
file ^nn++++=file
room ^nn++++=room
to ^in++++=to
business ^nns+nom+++=business
room ^nn++++=room,
, ^zz++++=EXTRAWORD
from ^in++++=from
commissioner ^nn+nom+++=commissioner's
's ^$++++=EXTRAWORD
sanctum ^&fw++++=sanctum
to ^in++++=to
record ^nn++++=record
books ^nns++++=books
and ^cc++++=and
back ^jjb++++=back
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
honest ^jj+atrb+++=honest
but ^cc+phrs+++=but
ignorant ^jj+atrb+++=ignorant
settler ^nn++++=settler,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
on ^in++++=on
saving ^xvbg+++xvbg+=saving
the ^ati++++=the
little ^ap++++=little
plot ^np++++=plot
of ^in++++=of
land ^nn++++=land
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
home ^nr++++=home,
, ^zz++++=EXTRAWORD
elbowed ^j+++xvbn+=elbowed
the ^ati++++=the
wary ^jj+atrb+++=wary
land ^nn++++=land
shark ^nn+++??+=shark
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
searching ^vbg+++xvbgx+=searching
the ^ati++++=the
records ^nns++++=records
for ^in++++=for
evidence ^nn+nom+++=evidence
to ^to++++=to
oust ^vbi++++=oust
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lordly ^jj+atrb+++=lordly
cattle ^nns++++=cattle
baron ^nn++++=baron,
, ^zz++++=EXTRAWORD
relying ^vbg+++xvbg+=relying
on ^in++++=on
his ^pp$+pp3+++=his
influence ^nn+nom+++=influence
and ^cc++++=and
money ^nn++++=money,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
Commissioner ^np+nom+++=Commissioner's
's ^$++++=EXTRAWORD
desk ^nn++++=desk
side ^nn++++=side
by ^in++++=by
side ^nn++++=side
with ^in++++=with
the ^ati++++=the
preemptor ^nn++++=preemptor,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
little ^jj+atrb+++=little
potato ^nn++++=potato
patch ^nn++++=patch
lay ^vbd+++xvbn+=lay
like ^in++++=like
a ^at++++=a
minute ^nn++++=minute
speck ^nn++++=speck
of ^in++++=of
island ^nn++++=island
in ^in++++=in
the ^ati++++=the
vast ^jj++++=vast,
, ^zz++++=EXTRAWORD
billowy ^nn+++??+=billowy
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
princely ^jj+atrb+++=princely
pastures ^nns++++=pastures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
played ^vbd+++xvbn+=played
the ^ati++++=the
old ^jj+atrb+++=old
game ^nn++++=game
of ^in++++=of
" ^zz++++="freeze-out,"
freeze ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
as ^ql++++=as
old ^jj++++=old
as ^ql++++=as
Cain ^np++++=Cain
and ^cc++++=and
Abel ^np+++??+=Abel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trail ^nn++++=trail
of ^in++++=of
the ^ati++++=the
serpent ^nn++++=serpent
is ^vbz+bez+vrb++=is
through ^in++++=through
it ^pp3+it+++=it
all ^rb++++=all.
. ^zz++++=EXTRAWORD
Honest ^jj++++=Honest,
, ^zz++++=EXTRAWORD
earnest ^nn++++=earnest
men ^nns++++=men
have ^vb+hv+aux++=have
wrought ^vprf+++xvbnx+=wrought
for ^in++++=for
generations ^nns+nom+++=generations
striving ^vwbg+++xvbg+=striving
to ^to++++=to
disentangle ^vbi++++=disentangle
the ^ati++++=the
shameful ^nn++++=shameful
coil ^vb++++=coil
that ^dt+dem+++=that
certain ^jj+atrb+++=certain
years ^nns++++=years
of ^in++++=of
fraud ^nn++++=fraud
and ^cc++++=and
infamy ^nn++++=infamy
have ^vb+hv+aux++=have
wound ^vprf+++xvbnx+=wound.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
the ^ati++++=the
files ^nns++++=files
and ^cc++++=and
see ^vb+vprv+++=see
the ^ati++++=the
countless ^jj+atrb+++=countless
endorsements ^nns+nom+++=endorsements
of ^in++++=of
those ^dt+dem+++=those
in ^in++++=in
authority ^nn+nom+++=authority
" ^zz++++="Transfer
transfer ^nn+nom+++=EXTRAWORD
doubtful ^jj++++=doubtful--locked
-- ^--+clp+++=EXTRAWORD
locked ^j+++xvbn+=EXTRAWORD
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certificate
certificate ^nn+nom+++=EXTRAWORD
a ^at++++=a
forgery ^nn+nom+++=forgery--locked
-- ^--+clp+++=EXTRAWORD
locked ^j+++xvbn+=EXTRAWORD
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Signature
signature ^nn++++=EXTRAWORD
a ^at++++=a
forgery ^nn+nom+++=forgery."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Patent
patent ^nn++++=EXTRAWORD
refused ^vbd+++xvbn+=refused--duplicate
-- ^--+clp+++=EXTRAWORD
duplicate ^nn+nom+++=EXTRAWORD
patented ^jj++++=patented
elsewhere ^rb++++=elsewhere."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Field
field ^nn++++=EXTRAWORD
notes ^vbz+vprv+++=notes
forged ^vprf+++xvbn+=forged."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certificates
certificates ^nns+nom+++=EXTRAWORD
stolen ^vbd+++xvbn+=stolen
from ^in++++=from
office" ^nn+++??+=office"--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
soon ^rb+tm+++=soon
ad ^&fw++++=ad
infinitum ^&fw++++=infinitum.
. ^zz++++=EXTRAWORD
The ^ati++++=The
record ^nn++++=record
books ^nns++++=books,
, ^zz++++=EXTRAWORD
spread ^j+++xvbn+=spread
upon ^in++++=upon
long ^jj+atrb+++=long
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
big ^jj+atrb+++=big
room ^nn++++=room
upstairs ^jjb++++=upstairs,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
open ^jj+pred+++=open
to ^in++++=to
the ^ati++++=the
examination ^nn+nom+++=examination
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Open ^jj++++=Open
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
the ^ati++++=the
dark ^jj+atrb+++=dark
and ^cc+phrs+++=and
greasy ^jj+atrb+++=greasy
finger ^nn++++=finger
prints ^nns++++=prints
of ^in++++=of
half ^nn++++=half
a ^at++++=a
century ^nn++++=century's
's ^vbz+bez+aux++0=EXTRAWORD
handling ^nvbg+++xvbg+=handling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
quick ^jj+atrb+++=quick
hand ^nn++++=hand
of ^in++++=of
the ^ati++++=the
land ^nn++++=land
grabber ^jjr++++=grabber
has ^vbz+hvz+aux++=has
fluttered ^vprf+++xvbnx+=fluttered
the ^ati++++=the
leaves ^nns++++=leaves
a ^at++++=a
million ^cd++++=million
times ^nns++++=times;
; ^zz++++=EXTRAWORD
the ^ati++++=the
damp ^jj+atrb+++=damp
clutch ^nn++++=clutch
of ^in++++=of
the ^ati++++=the
perturbed ^jj+atrb++xvbn+=perturbed
tiller ^nn++++=tiller
of ^in++++=of
the ^ati++++=the
soil ^nn++++=soil
has ^vbz+hvz+aux++=has
left ^vprf+++xvbnx+=left
traces ^nns++++=traces
of ^in++++=of
his ^pp$+pp3+++=his
calling ^vbg+nom++xvbg+=calling
on ^in+ppvb+++=on
the ^ati++++=the
ragged ^jj+atrb+++=ragged
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
Interest ^nn++++=Interest
centres ^nns++++=centres
in ^in++++=in
the ^ati++++=the
file ^nn++++=file
room ^nn++++=room.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
large ^jj+atrb+++=large
room ^nn++++=room,
, ^zz++++=EXTRAWORD
built ^j+++xvbn+=built
as ^ql++++=as
a ^at++++=a
vault ^nn++++=vault,
, ^zz++++=EXTRAWORD
fireproof ^jj++++=fireproof,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entered ^vpsv++by+xvbn+=entered
by ^in++++=by
but ^cc++++=but
a ^at++++=a
single ^jj+atrb+++=single
door ^nn++++=door.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
" ^zz++++="No
no ^at++++=EXTRAWORD
Admission ^nn++++=Admission"
" ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
portal ^nn++++=portal;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
precious ^jj+atrb+++=precious
files ^nns++++=files
are ^vb+ber+aux++=are
handed ^vpsv++agls+xvbnx+=handed
out ^rb+phrv+++=out
by ^in++++=by
a ^at++++=a
clerk ^nn++++=clerk
in ^in++++=in
charge ^nn++++=charge
only ^rb+down+++=only
on ^in++++=on
presentation ^nn+nom+++=presentation
of ^in++++=of
an ^at++++=an
order ^to++++=order
signed ^vpsv++by+xvbn+=signed
by ^in++++=by
the ^ati++++=the
Commissioner ^nn+nom+++=Commissioner
or ^cc++++=or
chief ^jjb+atrb+++=chief
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
In ^in++++=In
years ^nns++++=years
past ^jjb++++=past
too ^ql++++=too
much ^ap++++=much
laxity ^nn++++=laxity
prevailed ^vbd+++xvbn+=prevailed
in ^in++++=in
its ^pp$+it+++=its
management ^nn+nom+++=management,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
files ^nns++++=files
were ^vbd+bed+aux++=were
handled ^vpsv++by+xvbnx+=handled
by ^in++++=by
all ^abn++++=all
corners ^nns+nom+++=corners,
, ^zz++++=EXTRAWORD
simply ^rb++++=simply
on ^in++++=on
their ^pp$+pp3+++=their
request ^nn++++=request,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vbd+++xvbn+=returned
at ^rb++++=at
their ^pp$+pp3+++=their
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
days ^nns++++=days
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
mischief ^nn++++=mischief
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
file ^nn++++=file
room ^nn++++=room,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
about ^in+strn+++=about
-- ^--+clp+++=---files,
- ^zz++++=EXTRAWORD
files ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
each ^dt++++=each
in ^in++++=in
a ^at++++=a
paper ^nn++++=paper
wrapper ^nn++++=wrapper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comprising ^vbg+++xvbg+=comprising
the ^ati++++=the
title ^nn++++=title
papers ^nns++++=papers
of ^in++++=of
a ^at++++=a
particular ^jj+atrb+++=particular
tract ^nn++++=tract
of ^in++++=of
land ^nn++++=land.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ask ^vb++++=ask
the ^ati++++=the
clerk ^nn++++=clerk
in ^in++++=in
charge ^nn++++=charge
for ^in++++=for
the ^ati++++=the
papers ^nns++++=papers
relating ^vwbg+++xvbg+=relating
to ^in++++=to
any ^dti++++=any
survey ^nn++++=survey
in ^in++++=in
Texas ^np++++=Texas.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
