Men ^nns++++=Men
ballast ^nn++++=ballast
tanks ^nns++++=tanks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boat ^nn++++=boat
grew ^vbd+++xvbn+=grew
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
rolling ^nvbg+++xvbg+=rolling
and ^cc++++=and
pitching ^xvbg+++xvbg+=pitching
ceased ^vprf+++xvbn+=ceased:
: ^zz++++=EXTRAWORD
the ^ati++++=the
Kate ^np++++=Kate
sank ^vbd+++xvbn+=sank
and ^cc+phrs+++=and
ran ^vbd+++xvbn+=ran
ahead ^rb+pl+++=ahead
under ^in++++=under
water ^nn++++=water,
, ^zz++++=EXTRAWORD
steering ^nvbg+++xvbg+=steering
by ^in++++=by
means ^in"++++=means
of ^in"++++=of
the ^ati++++=the
periscope ^nn++++=periscope.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
pushed ^vwbn+++xvbn+=pushed
a ^at++++=a
button ^nn++++=button
and ^cc++++=and
a ^at++++=a
cone ^nn++++=cone
of ^in++++=of
pale ^nn++++=pale
blue ^jj+atrb+++=blue
rays ^nns++++=rays
poured ^vbd+++xvbn+=poured
from ^in++++=from
the ^ati++++=the
tube ^nn++++=tube.
. ^zz++++=EXTRAWORD
The ^ati++++=The
screen ^nn++++=screen
of ^in++++=of
the ^ati++++=the
periscope ^nn++++=periscope
grew ^vbd+++xvbn+=grew
alive ^jj++++=alive
with ^in++++=with
tiny ^jj+atrb+++=tiny
waves ^nns++++=waves,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tail ^nn++++=tail
of ^in++++=of
smoke ^nn++++=smoke
on ^in++++=on
the ^ati++++=the
skyline ^nn++++=skyline.
. ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
chin ^nn++++=chin
resting ^vwbg+++xvbg+=resting
on ^in++++=on
his ^pp$+pp3+++=his
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
scanned ^vbd+++xvbn+=scanned
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea
which ^whp+rel+subj++=which
lay ^vbd+++xvbn+=lay
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
smoke ^nn++++=smoke
vanished ^vbd+++xvbn+=vanished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
right ^jj+atrb+++=right
hand ^nn++++=hand
appeared ^vbd+seem++xvbn+=appeared
the ^ati++++=the
hazy ^jj+atrb+++=hazy
outline ^nn++++=outline
of ^in++++=of
land ^nn++++=land.
. ^zz++++=EXTRAWORD
At ^rb++++=At
nightfall ^nn+++??+=nightfall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
advantage ^nn+nom+++=advantage
of ^in++++=of
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose
to ^in++++=to
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea
and ^cc++++=and
sailed ^vpsv++agls+xvbn+=sailed
without ^in++++=without
lights ^nns++++=lights.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
bridge ^npl++++=bridge
throughout ^in++++=throughout
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
was ^vbd+bedz+vrb++=was
placid ^jj+pred+++=placid,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stars ^nns++++=stars
were ^vbd+bed+aux++=were
screened ^vpsv++by+xvbnx+=screened
by ^in++++=by
a ^at++++=a
light ^nn++++=light
mist ^nn++++=mist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
far ^rb+pl+++=far
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
south ^np+pl+++=south
the ^ati++++=the
pale ^nn++++=pale
blue ^jj+atrb+++=blue
gleam ^nn++++=gleam
of ^in++++=of
an ^at++++=an
enemy ^nn++++=enemy
searchlight ^nn++++=searchlight
moved ^vbd+++xvbn+=moved
through ^in++++=through
the ^ati++++=the
clouds ^nns++++=clouds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
approaching ^vbg+++xvbgx+=approaching
a ^at++++=a
mine ^nn++++=mine
field ^nn++++=field.
. ^zz++++=EXTRAWORD
At ^rb++++=At
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
greenish ^jj++++=greenish-orange
- ^zz++++=EXTRAWORD
orange ^np++++=EXTRAWORD
light ^jj++++=light
began ^vbd+++xvbn+=began
slowly ^rb++++=slowly
to ^in++++=to
pervade ^nn+++??+=pervade
the ^ati++++=the
fleecy ^nn+++??+=fleecy
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Kate ^np++++=Kate
sank ^vbd+++xvbn+=sank
to ^in++++=to
a ^at++++=a
great ^jj+atrb+++=great
depth ^nn++++=depth
at ^in++++=at
a ^at++++=a
definitely ^rb++++=definitely
fixed ^vbd+++xvbn+=fixed
point ^nn++++=point
in ^in++++=in
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Steering ^nvbg+++xvbg+=Steering
solely ^rb++++=solely
by ^in++++=by
compass ^nn++++=compass
and ^cc++++=and
map ^nn++++=map,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
commenced ^vbd+++xvbnx+=commenced
to ^to++++=to
pick ^vbi++++=pick
her ^pp$+pp3+++=her
way ^nn++++=way
under ^in++++=under
the ^ati++++=the
mines ^nns++++=mines.
. ^zz++++=EXTRAWORD
Yakovlev ^np+++??+=Yakovlev
was ^vbd+bedz+vrb++=was
in ^in++++=in
charge ^in"++++=charge
of ^in"++++=of
the ^ati++++=the
steering ^jj+atrb++xvbg+=steering
apparatus ^nn++++=apparatus,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Prince ^npt++++=Prince
Bylopolsky ^np+++??+=Bylopolsky
calculated ^vwbn+++xvbn+=calculated
the ^ati++++=the
vside ^nn+++??+=vside
drift ^nn++++=drift
and ^cc++++=and
reported ^vpsv++agls+xvbn+=reported
to ^to+vcmp+++=to
the ^ati++++=the
chief ^jjb+atrb+++=chief
engineer ^nn+nom+++=engineer
in ^in++++=in
charge ^in"++++=charge
of ^in"++++=of
the ^ati++++=the
motors ^nns++++=motors.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
over ^in++++=over
the ^ati++++=the
map ^nn++++=map,
, ^zz++++=EXTRAWORD
gave ^jj+atrb++xvbn+=gave
orders ^vb++++=orders
to ^to+vcmp+++=to
the ^ati++++=the
man ^nn++++=man
at ^in++++=at
the ^ati++++=the
wheel ^nn++++=wheel.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
sensation ^nn+nom+++=sensation
of ^in++++=of
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
Kate ^np++++=Kate
stood ^vbd+++xvbn+=stood
still ^jj+pred+++=still
amidst ^in++++=amidst
the ^ati++++=the
eery ^nn++++=eery
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
for ^in++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part
were ^vbd+bed+aux++=were
stretched ^vpsv++agls+xvbnx+=stretched
on ^in++++=on
their ^pp$+pp3+++=their
backs ^nns++++=backs,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
to ^to+vcmp+++=to
consume ^vbi++++=consume
as ^ql++++=as
little ^ap++++=little
oxygen ^nn++++=oxygen
as ^in++++=as
possible ^nn++++=possible.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
this ^dt+dem+++=this
precaution ^nn+nom+++=precaution,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
thick ^jj+pred+++=thick,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sailors ^nns++++=sailors
felt ^vbd+vprv++xvbn+=felt
a ^at++++=a
tingling ^jj+atrb++xvbg+=tingling
sensation ^nn+nom+++=sensation
in ^in++++=in
the ^ati++++=the
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
boat ^nn++++=boat's
's ^$++++=EXTRAWORD
keel ^nn++++=keel
struck ^vbd+++xvbn+=struck
against ^in++++=against
something ^pn++++=something
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
grating ^jj+atrb+++=grating
sound ^nn++++=sound
broke ^vbd+++xvbn+=broke
the ^ati++++=the
stillness ^nns+nom+++=stillness.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop!
stop ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Stop ^vb++++=Stop!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=called
out ^rp+pl+++=out
Andrey ^np+++??+=Andrey,
, ^zz++++=EXTRAWORD
dashing ^jj+++xvbg+=dashing
forth ^np++++=forth
from ^in++++=from
the ^ati++++=the
navigating ^jj+atrb++xvbg+=navigating
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pinions ^nn++++=pinions
cracked ^vbd+++xvbn+=cracked
and ^cc++++=and
the ^ati++++=the
motors ^nns++++=motors
ceased ^vbd+++xvbn+=ceased
to ^to++++=to
pulsate ^nn+nom+++=pulsate.
. ^zz++++=EXTRAWORD
Immediately ^rb+tm+++=Immediately
the ^ati++++=the
air ^nn++++=air
became ^vbd+++xvbn+=became
hot ^jj++++=hot,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
a ^at++++=a
Turkish ^jj+atrb+++=Turkish
bath ^nn++++=bath.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
entered ^vbd+++xvbn+=entered
the ^ati++++=the
water ^nn++++=water-tight
- ^zz++++=EXTRAWORD
tight ^jj+atrb+++=EXTRAWORD
conning ^jj+atrb++xvbg+=conning
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
flooded ^jj+pred+++=flooded
with ^in++++=with
diluted ^jj+atrb++xvbn+=diluted,
, ^zz++++=EXTRAWORD
greenish ^jj+atrb+++=greenish
light ^nn++++=light
from ^in++++=from
the ^ati++++=the
ports ^nns++++=ports
provided ^vbd+vsua++xvbn+=provided
for ^in+ppvb+++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
giving ^xvbg+++xvbg+=giving
a ^at++++=a
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
surrounding ^jj+atrb++xvbg+=surrounding
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
peered ^vbd+++xvbnx+=peered
through ^in++++=through
the ^ati++++=the
glass ^nn++++=glass
pane ^nn+++??+=pane.
. ^zz++++=EXTRAWORD
Vague ^jj+atrb+++=Vague,
, ^zz++++=EXTRAWORD
blurred ^jj+atrb++xvbn+=blurred
forms ^nns++++=forms
and ^cc++++=and
shadows ^nps++++=shadows
gradually ^rb++++=gradually
became ^vbd+++xvbn+=became
visible ^jj++++=visible
in ^in++++=in
the ^ati++++=the
twilight ^nn++++=twilight
of ^in++++=of
the ^ati++++=the
deep ^nn++++=deep.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
shadows ^nps++++=shadows
wavered ^vbd+++xvbn+=wavered
and ^cc+phrs+++=and
glided ^vbd+++xvbn+=glided
along ^in++++=along
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
round ^nn++++=round,
, ^zz++++=EXTRAWORD
tragic ^jj+atrb+++=tragic
eyes ^nns++++=eyes
of ^in++++=of
a ^at++++=a
fish ^nn++++=fish
glanced ^vbd+++xvbn+=glanced
at ^in++++=at
Andrey ^np+++??+=Andrey.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fish ^nns++++=fish
disappeared ^vbd+seem++xvbn+=disappeared
in ^in++++=in
the ^ati++++=the
depths ^nns++++=depths
below ^in+pl+++=below
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
Evidently ^rb++++=Evidently
the ^ati++++=the
Kate ^np++++=Kate
had ^vb+hv+aux++=had
not ^xnot++not++=not
run ^vb+++xvbn+=run
aground ^rb+cnj+++=aground,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there
any ^dti++++=any
submerged ^jj+atrb++xvbn+=submerged
reefs ^nns++++=reefs
in ^cs+sub+++=in
that ^cs"++++=that
quarter ^nn++++=quarter.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
gave ^vbd+++xvbn+=gave
an ^at++++=an
order ^vb++++=order
to ^to+vcmp+++=to
raise ^vbi++++=raise
the ^ati++++=the
boat ^nn++++=boat
several ^ap++++=several
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
numerous ^jj+atrb+++=numerous
shadows ^nps++++=shadows
leaped ^vbd+++xvbn+=leaped
aside ^rp++++=aside
and ^cc++++=and
scattered ^jj+++xvbn+=scattered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
captain ^nn++++=captain
plainly ^rb++++=plainly
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
jumbled ^jj+atrb++xvbn+=jumbled
heap ^nn++++=heap
of ^in++++=of
ropes ^nns++++=ropes
and ^cc++++=and
ladders ^nns+nom+++=ladders.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
obvious ^jj+pred+++=obvious
that ^tht+jcmp+++=that
the ^ati++++=the
Kate ^np++++=Kate
had ^vbd+hvd+aux++=had
blundered ^vprf+++xvbnx+=blundered
into ^in++++=into
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
a ^at++++=a
sunken ^jj+atrb+++=sunken
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
The ^ati++++=The
halt ^nn++++=halt
was ^vbd+bedz+vrb++=was
unfortunate ^jj+pred+++=unfortunate
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
prove ^vb+vprv+++=prove
fatal ^jj++++=fatal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
uniform ^jj+atrb+++=uniform
motion ^nn++++=motion
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
disturbed ^vpsv++agls+xvbnx+=disturbed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
vorientation ^nn+nom+++=vorientation
lost ^vbd+++xvbn+=lost;
; ^zz++++=EXTRAWORD
the ^ati++++=the
inevitable ^jj+atrb+++=inevitable
small ^jj+atrb+++=small
error ^nn++++=error
made ^vbd+++xvbn+=made
at ^rb++++=at
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
submerging ^nn++++=submerging
must ^md+nec+++=must
have ^vb+hv+aux++=have
increased ^vprf+++xvbnx+=increased
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
beneath ^in+pl+++=beneath
the ^ati++++=the
waves ^nns++++=waves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
her ^pp$+pp3+++=her
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
must ^md+nec+++=must
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
drummed ^vbd+++xvbn+=drummed
nervously ^rb++++=nervously
on ^in++++=on
the ^ati++++=the
window ^nn++++=window-pane
- ^zz++++=EXTRAWORD
pane ^nn+++??+=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
stay ^vbi++++=stay
under ^in++++=under
water ^nn++++=water
any ^dti++++=any
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
to ^to++++=to
rise ^vbi++++=rise
to ^in++++=to
the ^ati++++=the
surface ^nn++++=surface
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
and ^cc+phrs+++=and
attacked ^vpsv++by+xvbn+=attacked
by ^in++++=by
enemy ^nn++++=enemy
warships ^nns+nom+++=warships.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
possible ^jj++++=possible
to ^to+jcmp+++=to
determine ^vbi++++=determine
the ^ati++++=the
boat ^nn++++=boat's
's ^$++++=EXTRAWORD
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
an ^at++++=an
order ^nn++++=order
for ^in++++=for
the ^ati++++=the
boat ^nn++++=boat
to ^to++++=to
rise ^vbi++++=rise
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
observation ^nn+nom+++=observation
point ^nn++++=point.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
gradually ^rb++++=gradually
grew ^vbd+++xvbn+=grew
clearer ^jjr++++=clearer.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
a ^at++++=a
dark ^jj+atrb+++=dark
ball ^nn++++=ball
moved ^vbd+++xvbn+=moved
down ^rp++++=down
to ^to++++=to
meet ^vbi++++=meet
the ^ati++++=the
craft ^nn++++=craft.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
mine ^pp$$++++=mine!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
flashed ^vbd+++xvbn+=flashed
across ^in+pl+++=across
Andrey ^np++++=Andrey's
's ^$++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
overcoming ^jj+++xvbg+=overcoming
the ^ati++++=the
torpor ^nn++++=torpor
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
oppress ^nns+nom+++=oppress
his ^pp$+pp3+++=his
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
submarine ^nn++++=submarine
to ^to++++=to
be ^vbi+vbi+aux++=be
swerved ^vpsv++agls+xvbnx+=swerved
from ^in++++=from
her ^pp$+pp3+++=her
course ^nn++++=course.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ball ^nn++++=ball
moved ^vbd+++xvbn+=moved
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
another ^dt++++=another
appeared ^jj+++xvbn+=appeared
on ^in++++=on
the ^ati++++=the
right ^nn++++=right.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
another ^dt++++=another
change ^nn++++=change
of ^in++++=of
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
everywhere ^rb++++=everywhere
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
greenish ^jj+atrb+++=greenish
twilight ^nn++++=twilight
cast ^vbd+++xvbn+=cast-iron
- ^zz++++=EXTRAWORD
iron ^nn++++=EXTRAWORD
shells ^nns++++=shells
lay ^vbd+++xvbn+=lay
in ^in++++=in
wait ^nn++++=wait.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
toils ^nns++++=toils
of ^in++++=of
a ^at++++=a
mine ^pp$$++++=mine
net ^jjb++++=net!
! ^zz++++=EXTRAWORD
Sea ^nn++++=Sea
water ^nn++++=water,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
viewed ^xvbn+++xvbn+=viewed
from ^in++++=from
a ^at++++=a
great ^jj+atrb+++=great
height ^nn++++=height,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
transparent ^jj+atrb+++=transparent
that ^cs+sub+++=that
large ^jj+atrb+++=large
fishes ^nns++++=fishes
can ^md+pos+++=can
even ^rb++++=even
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Owing ^in+cmpx+++=Owing
to ^in"++++=to
this ^dt+dem+++=this
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Kate ^np++++=Kate
was ^vbd+bedz+aux++=was
discovered ^vpsv++by+xvbnx+=discovered
by ^in++++=by
two ^cd++++=two
enemy ^nn++++=enemy
vhydroplanes ^nns+nom++??+=vhydroplanes
as ^ql++++=as
she ^pp3a+pp3+++=she
rose ^vbd+++xvbnx+=rose
among ^in++++=among
the ^ati++++=the
mines ^nns++++=mines
toward ^in++++=toward
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
bay ^nn++++=bay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
aircraft ^nn++++=aircraft
were ^vbd+bed+aux++=were
seen ^vpsv++agls+xvbnx+=seen,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
boat ^nn++++=boat
dived ^vbd+++xvbn+=dived
again ^rb+tm+++=again
to ^in++++=to
a ^at++++=a
great ^jj+atrb+++=great
depth ^nn++++=depth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
now ^rn+tm+++=now
blindly ^rb++++=blindly
groped ^vbd+++xvbn+=groped
her ^pp$+pp3+++=her
way ^nn++++=way
forward ^nn++++=forward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
motors ^nns++++=motors
worked ^vbd+++xvbn+=worked
at ^rb++++=at
their ^pp$+pp3+++=their
top ^jjb+atrb+++=top
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
body ^nn++++=body
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat
trembled ^vbd+++xvbn+=trembled.
. ^zz++++=EXTRAWORD
Hundreds ^cds++++=Hundreds
of ^in++++=of
demons ^nns++++=demons
called ^vbd+++xvbn+=called
horsepowers ^nns+nom+++=horsepowers
fiercely ^rb++++=fiercely
turned ^vbd+++xvbn+=turned
the ^ati++++=the
various ^jj+atrb+++=various
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
pinions ^nns+++??+=pinions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shafts ^nns++++=shafts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
was ^vbd+bedz+vrb++=was
hot ^jj+pred+++=hot
and ^cc+phrs+++=and
stuffy ^jj++++=stuffy;
