Laura ^nn++++=Laura
it ^pp3+it+++=it
except ^cs+sub+++=except
that ^cs"++++=that
one ^cd1++++=one
thing ^nn++++=thing
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
all ^abn++++=all
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
so ^ql++++=so
far ^rb+pl+++=far
to ^in++++=to
have ^vbi++vrb++=have
it ^pp3+it+++=it
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
cheated ^vpsv++agls+xvbnx+=cheated.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
last ^rb++++=last
people ^nns++++=people
were ^vbd+bed+aux++=were
coming ^vbg+++xvbgx+=coming
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
theater ^jjr++++=theater
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man,
, ^zz++++=EXTRAWORD
yawning ^vbg+++xvbg+=yawning,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing
something ^pn++++=something
to ^in++++=to
a ^at++++=a
light ^nn++++=light.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
belong ^vb++++=belong
to ^in++++=to
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
back ^jjb++++=back
was ^vbd+bedz+vrb++=was
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
there ^ex+pex+++=there
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
get ^vbi++++=get
brave ^vb++++=brave
enough ^qlp++++=enough
to ^to++++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
easy ^jj++++=easy
for ^in++++=for
her ^pp$+pp3+++=her
to ^to++++=to
open ^vbi++++=open
conversations ^nns+nom+++=conversations
with ^in++++=with
strangers ^nns+nom+++=strangers.
. ^zz++++=EXTRAWORD
For ^in++++=For
so ^ql++++=so
many ^ap++++=many
years ^nns++++=years
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Howie ^np++++=Howie
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
to ^to+vcmp+++=to
connect ^vbi++++=connect
her ^pp$+pp3+++=her
with ^in++++=with
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
suddenly ^rb++++=suddenly
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
of ^in++++=of
how ^wrb+who+++=how
sorry ^uh++++=sorry
Howie ^np++++=Howie
would ^md+prd+++=would
be ^vb+be+aux++=be
to ^to++++=to
see ^vbi+vprv+tht0++=see
her ^pp$+pp3+++=her
waiting ^vbg+++xvbg+=waiting
around ^rp++++=around
in ^in++++=in
this ^dt+dem+++=this
dismal ^jj+atrb+++=dismal
place ^nn++++=place
after ^cs+sub+++=after
every ^at++++=every
one ^cd1++++=one
else ^rb+cnj+++=else
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
speak ^vbi++++=speak
to ^in++++=to
a ^at++++=a
strange ^jj+atrb+++=strange
man ^nn++++=man
about ^in++++=about
a ^at++++=a
thing ^nn++++=thing
that ^tht+rel+++=that
man ^nn++++=man
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
at ^rb++++=at
all ^abn++++=all
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
well ^rb++++=well
Howie ^np++++=Howie
would ^md+prd+++=would
understand ^vb+vprv+++=understand
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in++++=on
home ^nr++++=home,
, ^zz++++=EXTRAWORD
Laura ^np++++=Laura."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
sweetheart ^nn++++=sweetheart."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
back ^rb+phrv+++=back.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
wedding ^nn++++=wedding
anniversary ^nn+nom+++=anniversary.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
all ^rb++++=all
of ^in++++=of
the ^ati++++=the
picture ^nn++++=picture
tonight ^nr+tm+++=tonight,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
sharp ^jj+pred+++=sharp;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
tremble ^vb++++=tremble.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
round ^rb++++=round
at ^in++++=at
her ^pp$+pp3+++=her
in ^in++++=in
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kept ^vbd+++xvbnx+=kept
looking ^vbg+++xvbg+=looking
her ^pp$+pp3+++=her
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
make ^vbi++++=make
her ^pp$+pp3+++=her
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
trembling ^jj+atrb++xvbg+=trembling
hands ^nns++++=hands
clutched ^vbd+++xvbn+=clutched
the ^ati++++=the
bag ^nn++++=bag
of ^in++++=of
pop ^nn++++=pop-corn
- ^zz++++=EXTRAWORD
corn ^nn++++=EXTRAWORD
and ^cc++++=and
some ^dti++++=some
of ^in++++=of
it ^pp3+it+++=it
spilled ^vbd+++xvbn+=spilled.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
let ^vbd+++xvbnx+=let
it ^pp3+it+++=it
all ^abn++++=all
fall ^nn++++=fall
and ^cc++++=and
put ^vb+++xvbn+=put
one ^cd1++++=one
hand ^nn++++=hand
to ^in++++=to
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
came ^vbd+++xvbn+=came
down ^rp++++=down
from ^in++++=from
upstairs ^nn++++=upstairs.
. ^zz++++=EXTRAWORD
" ^zz++++="Lady
lady ^npt++++=EXTRAWORD
here ^rn+pl+++=here
says ^vbz+vpub+tht0++=says
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
the ^ati++++=the
whole ^nn++++=whole
show ^vb+vprv+++=show
tonight ^nr+tm+++=tonight,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
first ^od++++=first
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs
paused ^vbd+++xvbn+=paused
in ^in++++=in
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
looked ^jj+atrb++xvbn+=looked
Laura ^nn++++=Laura
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
a ^at++++=a
step ^vb++++=step
backward ^jj++++=backward.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
out ^rp+pl+++=out
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
of ^in++++=of
any ^dti++++=any
importance ^nn+nom+++=importance,
, ^zz++++=EXTRAWORD
lady ^npt++++=lady,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
unkindly ^rb+cnj+++=unkindly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
puzzled ^jj+++xvbn+=puzzled.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
contended ^vbd+vpub++xvbnx+=contended
in ^in++++=in
a ^at++++=a
high ^jj+atrb+++=high,
, ^zz++++=EXTRAWORD
sharp ^jj+atrb+++=sharp
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
both ^abx++++=both
stared ^jj+++xvbn+=stared
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
realized ^vbd+vprv++xvbnx+=realized
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
could ^md+pos+++=could
happen ^vb+++??+=happen,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
how ^wrb+who+++=how
slight ^jj++++=slight
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
hold ^nn++++=hold
on ^in++++=on
the ^ati++++=the
one ^cd1++++=one
thing ^nn++++=thing
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
desperately ^rb+cnj+++=desperately,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
right ^nn++++=right
to ^to+ncmp+++=to
do ^vbi++++=do
this ^dt+pdem+++=this!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
cheating ^vbg+++xvbgx+=cheating."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
at ^in++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
as ^in++++=as
the ^ati++++=the
sane ^jj+atrb+++=sane
counsel ^nn++++=counsel
together ^nn+nom+++=together
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
outside ^jjb+pred+++=outside
their ^pp$+pp3+++=their
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
that ^tht+vcmp+++=that
look ^vb++++=look!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
her ^pp3o+pp3+++=her
brother ^npt++++=brother
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife
doing ^vwbg+++xvbg+=doing
it ^pp3+it+++=it
when ^wrb+who+++=when
first ^rb++++=first
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
about ^in++++=about
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
lady ^npt++++=lady,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man
to ^to++++=to
whom ^whp+wpor+++=whom
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
first ^rb++splt++=first
spoken ^vprf+++xvbnx+=spoken,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
voice ^nn++++=voice
that ^tht+rel+subj++=that
deals ^vbz++++=deals
with ^in+ppvb+++=with
what ^wdt+who+++=what
has ^md"++pmd"++=has
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
dealt ^vbd+++xvbn+=dealt
with ^in+ppvb+++=with
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
just ^rb+emph+++=just
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
give ^vb++++=give
you ^pp2+pp2+++=you
your ^pp$+pp2+++=your
money ^nn++++=money
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
cheated ^vpsv++agls+xvbnx+=cheated."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
hand ^nn++++=hand
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
my ^pp$+pp1+++=my
money ^nn++++=money
back ^jjb++++=back!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Laura ^np++++=Laura.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
left ^vbd+++xvbn+=left
out ^rp+pl+++=out!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
proposed ^vbd+vsua++xvbn+=proposed
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
his ^pp$+pp3+++=his
cue ^nn++++=cue
from ^in++++=from
the ^ati++++=the
older ^jjr+atrb+++=older
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
just ^rb+emph+++=just
exactly ^rb++++=exactly
what ^wdt+who+++=what
happened ^vbd+++xvbn+=happened
in ^in++++=in
the ^ati++++=the
part ^nn++++=part
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
exactly ^rb++++=exactly
what ^wdt+who+++=what
happened ^vbd+++xvbn+=happened,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=cut
in ^in++++=in
Laura ^np++++=Laura.
