1 ^zz++++=1
a ^at++++=a
paint ^nn++++=paint
factory ^nn++++=factory.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
such ^abl++++=such
sartorial ^jj+atrb+++=sartorial
grandeur ^nn++++=grandeur,
, ^zz++++=EXTRAWORD
Tidbury ^np+++??+=Tidbury
felt ^vbd+vprv++xvbn+=felt,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stuck ^vbd+++xvbnx+=stuck
to ^in++++=to
plain ^nn++++=plain
white ^jj+atrb+++=white
shirts ^nns++++=shirts,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
blue ^jj+atrb+++=blue
ties ^nns++++=ties
and ^cc++++=and
pepper ^nn++++=pepper-and-salt
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
salt ^jj+atrb+++=EXTRAWORD
suits ^nns++++=suits.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pepper ^nn++++=pepper-and-salt
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
salt ^jj+atrb+++=EXTRAWORD
suit ^nn++++=suit
was ^vbd+bedz+aux++=was
invented ^vpsv++agls+xvbnx+=invented
for ^in++++=for
Tidbury ^np+++??+=Tidbury
Epps ^np+++??+=Epps.
. ^zz++++=EXTRAWORD
Tidbury ^np+++??+=Tidbury
worked ^vbd+++xvbn+=worked
diligently ^rb++++=diligently
and ^cc+phrs+++=and
even ^rb++++=even
cheerfully ^rb++++=cheerfully
on ^in++++=on
a ^at++++=a
high ^jj+atrb+++=high
stool ^nn++++=stool
and ^cc++++=and
a ^at++++=a
low ^jj+atrb+++=low
salary ^nn++++=salary,
, ^zz++++=EXTRAWORD
copying ^jj+++xvbg+=copying
neat ^jj++++=neat
little ^ap++++=little
black ^jj+atrb+++=black
figures ^nns++++=figures
into ^in++++=into
big ^jj+atrb+++=big
black ^jj+atrb+++=black
books ^nns++++=books.
. ^zz++++=EXTRAWORD
The ^ati++++=The
salary ^nn++++=salary
and ^cc++++=and
the ^ati++++=the
stool ^nn++++=stool
were ^vbd+bed+vrb++=were
the ^ati++++=the
same ^ap++++=same
Tidbury ^np+++??+=Tidbury
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
first ^rb++++=first
came ^vbd+++xvbn+=came
to ^in++++=to
New ^jj+atrb+++=New
York ^np++++=York
from ^in++++=from
Calais ^np++++=Calais,
, ^zz++++=EXTRAWORD
Maine ^np++++=Maine,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
years ^nns++++=years
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
probably ^rb++++=probably
never ^rb++++=never
entered ^vbd+++xvbn+=entered
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
bent ^vbd+++xvbnx+=bent
over ^in++++=over
his ^pp$+pp3+++=his
columns ^nns++++=columns
of ^in++++=of
digits ^nns++++=digits
that ^tht+rel+++=that
crisp ^jj+atrb+++=crisp
fall ^nn++++=fall
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
in ^in++++=in
their ^pp$+pp3+++=their
sanctum ^&fw++++=sanctum
of ^in++++=of
real ^jj+atrb+++=real
mahogany ^nn++++=mahogany
and ^cc++++=and
Spanish ^jj+atrb+++=Spanish
leather ^nn++++=leather
his ^pp$+pp3+++=his
employers ^nns+nom+++=employers
were ^vbd+bed+aux++=were
discussing ^vbg+++xvbgx+=discussing
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Whitaker
whitaker ^np+nom+++=EXTRAWORD
has ^vbz+hvz+aux++=has
quit ^vb++++=quit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
announced ^vbn+vpub++xvbn+=announced
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Blatter ^np++++=Blatter,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
acted ^vbd+++xvbn+=acted
as ^ql++++=as
sales ^nns++++=sales
manager ^nn++++=manager.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Spingle ^np++++=Spingle's
's ^$++++=EXTRAWORD
acre ^nn++++=acre
of ^in++++=of
face ^nn++++=face,
, ^zz++++=EXTRAWORD
pink ^jj++++=pink
and ^cc+phrs+++=and
dimpled ^jj+++xvbn+=dimpled
from ^in++++=from
much ^rb++++=much
good ^jj+atrb+++=good
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
showed ^jj+atrb++xvbn+=showed
concern ^nn++++=concern.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
come ^vprf+++xvbn+=come
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
keep ^vb++++=keep
an ^at++++=an
assistant ^nn+nom+++=assistant,
, ^zz++++=EXTRAWORD
Otto ^np++++=Otto?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
inquired ^vbd+++xvbnx+=inquired.
. ^zz++++=EXTRAWORD
" ^zz++++="After
after ^cs+sub+++=EXTRAWORD
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
me ^pp1o+pp1+++=me
for ^in++++=for
six ^cd++++=six
months ^nns++++=months,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Blatter ^np++++=Blatter
modestly ^rb+cnj+++=modestly,
, ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
get ^vb++++=get
so ^rb+emph+++=so
good ^jj++++=good
that ^tht+jcmp+++=that
they ^pp3a+pp3+++=they
simply ^rb++++=simply
have ^md"++pmd"++=have
to ^md+nec+++=to
get ^vb++++=get
better ^jjr+atrb+++=better
jobs ^nns++++=jobs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
got ^j+++xvbn+=got
any ^dti++++=any
candidates ^nns+nom+++=candidates
for ^in++++=for
the ^ati++++=the
place ^nn++++=place?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
queried ^vbd+++xvbn+=queried
the ^ati++++=the
president ^nn++++=president.
. ^zz++++=EXTRAWORD
" ^zz++++="Burdette?"
burdette ^nn+nom+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
suggested ^vwbn+vpub++xvbn+=suggested
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Blatter ^np++++=Blatter.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Spingle ^np++++=Spingle
eliminated ^vwbn+++xvbn+=eliminated
Burdette ^np+nom++??+=Burdette
with ^in++++=with
a ^at++++=a
flick ^nn++++=flick
of ^in++++=of
his ^pp$+pp3+++=his
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
young ^jj++++=young,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Wetsel?"
wetsel ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
old ^jj++++=old."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fitch?"
fitch ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
careless ^jj++++=careless."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hydeman?"
hydeman ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
inexperienced ^jj++++=inexperienced."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ventured ^vbd+++xvbn+=ventured
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Blatter ^np++++=Blatter,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+++=EXTRAWORD
about ^in++++=about
Tidbury ^np+++??+=Tidbury
Epps ^np+++??+=Epps?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Spingle ^np++++=Spingle's
's ^$++++=EXTRAWORD
shrug ^nn++++=shrug
included ^vbd+++xvbn+=included
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
face ^nn++++=face
and ^cc++++=and
entire ^jjb+atrb+++=entire
body ^nn++++=body.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
neither ^dt++neg++=neither
too ^ql++++=too
old ^jj++++=old,
, ^zz++++=EXTRAWORD
too ^ql++++=too
young ^jj++++=young,
, ^zz++++=EXTRAWORD
too ^ql++++=too
careless ^jj++++=careless
nor ^cc++neg++=nor
too ^rb++++=too
inexperienced ^jj++++=inexperienced,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
advanced ^vwbn+vsua++xvbn+=advanced
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Blatter ^np++++=Blatter.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
serious ^jj++++=serious,
, ^zz++++=EXTRAWORD
Otto ^np++++=Otto?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sure
sure ^jj++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
Epps ^np+++??+=Epps
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
us ^pp1o+pp1+++=us
ten ^cd++++=ten
years ^nns++++=years
and ^cc++++=and
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
worked ^vpsv++agls+xvbnx+=worked
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
in ^in++++=in
giving ^xvbg+++xvbg+=giving
our ^pp$+pp1+++=our
old ^jj+atrb+++=old
employees ^nns+nom+++=employees
a ^at++++=a
chance ^nn++++=chance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
rejoined ^vbd+++xvbn+=rejoined
the ^ati++++=the
Napoleon ^np++++=Napoleon
of ^in++++=of
Hatdom ^np+++??+=Hatdom;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
perfectly ^rb+amp+++=perfectly
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
Otto ^np++++=Otto,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Tidbury ^np+++??+=Tidbury
Epps ^np+++??+=Epps
is ^vbz+bez+vrb++=is
a ^at++++=a
dud ^nn+++??+=dud."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
as ^in++++=as
conscientious ^nn++++=conscientious
as ^in++++=as
a ^at++++=a
Pilgrim ^nn++++=Pilgrim
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Blatter ^np++++=Blatter.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
trouble ^nn++++=trouble
with ^in++++=with
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
snorted ^vbd+++xvbn+=snorted
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Spingle ^np++++=Spingle.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
spends ^vbz++++=spends
so ^ql++++=so
much ^ap++++=much
time ^nn++++=time
being ^vwbg+beg++xvbg+=being
conscientious ^jj++++=conscientious
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=hasn't
n't ^xnot++not++0=EXTRAWORD
time ^nn++++=time
to ^to++++=to
be ^vbi++vrb++=be
anything ^pn++++=anything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
object ^nn++++=object
to ^in++++=to
a ^at++++=a
man ^nn++++=man
having ^vwbg+hvg++xvbg+=having
a ^at++++=a
conscience ^nn+nom+++=conscience,
, ^zz++++=EXTRAWORD
y ^zz++++=y'understand.
'understand. ^nn+++??+=EXTRAWORD
But ^cc++++=But
Epps ^np+++??+=Epps
has ^vbz+hvz+vrb++=hasn't
n't ^xnot++not++0=EXTRAWORD
anything ^pn++++=anything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
hat ^nn++++=hat
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
Otto ^np++++=Otto;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be
a ^at++++=a
good ^jj++++=good
fellow ^jjb++++=fellow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Spingle ^np++++=Spingle
paused ^vbd+++xvbn+=paused
to ^in++++=to
pat ^np++++=pat
his ^pp$+pp3+++=his
silken ^jj+atrb+++=silken
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
in ^in++++=in
hue ^nn++++=hue
reminiscent ^jj++++=reminiscent
of ^in++++=of
sunset ^nn++++=sunset
in ^in++++=in
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Ca ^np++++=Ca
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj++++=good
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
a ^at++++=a
bon ^&fw++++=bon
vivant ^nn++++=vivant,
, ^zz++++=EXTRAWORD
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
generally ^rb+down+splt++=generally
admitted ^vpsv++agls+xvbnx+=admitted
in ^in++++=in
the ^ati++++=the
hat ^nn++++=hat
trade ^nn++++=trade.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
went ^vbd+++xvbn+=went
on ^in++++=on
the ^ati++++=the
Napoleon ^np++++=Napoleon
of ^in++++=of
Hatdom ^np+++??+=Hatdom,
, ^zz++++=EXTRAWORD
" ^zz++++="your
your ^pp$+pp2+++=EXTRAWORD
assistant ^nn+nom+++=assistant
has ^md"++pmd"++=has
to ^md+nec+++=to
be ^vbi++vrb++=be
nice ^jj++++=nice
to ^to+jcmp+++=to
the ^ati++++=the
trade ^nn++++=trade.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
almost ^rb+hdg+++=almost
his ^pp$+pp3+++=his
chief ^jjb+atrb+++=chief
job ^nn++++=job.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
the ^ati++++=the
motto ^nn++++=motto
of ^in++++=of
our ^pp$+pp1+++=our
house ^nn++++=house
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
' ^zz++++='Our
our ^pp$+pp1+++=EXTRAWORD
business ^nns+nom+++=business
friends ^nns++++=friends
are ^vb+ber+vrb++=are
our ^pp$+pp1+++=our
personal ^jj+atrb+++=personal
friends ^nns++++=friends.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+aux++0=EXTRAWORD
meant ^vpsv++agls+xvbnx+=meant
a ^at++++=a
lot ^nn++++=lot
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
Otto ^np++++=Otto.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
and ^cc+phrs+++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
simply ^rb++splt++=simply
got ^vprf+++xvbnx+=got
to ^to+vcmp+++=to
take ^vbi++++=take
a ^at++++=a
big ^jj+atrb+++=big
buyer ^nn++++=buyer
out ^rp+pl+++=out
and ^cc++++=and
show ^nn++++=show
him ^pp3o+pp3+++=him
a ^at++++=a
good ^jj+atrb+++=good
time ^nn++++=time--buy
-- ^--+clp+++=EXTRAWORD
buy ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him
a ^at++++=a
meal ^nn++++=meal
and ^cc++++=and
take ^vb++++=take
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
Winter ^nn++++=Winter
Garden ^nn++++=Garden.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
and ^cc++++=and
I ^pp1a+pp1+++=I
are ^vb+ber+vrb++=are
mostly ^rb++++=mostly
too ^rb++++=too
busy ^jj++++=busy
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
your ^pp$+pp2+++=your
assistant ^nn+nom+++=assistant
is ^vbz+bez+vrb++=isn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Whitaker ^np+nom++??+=Whitaker
made ^vbd+++xvbn+=made
us ^pp1o+pp1+++=us
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
good ^jj+atrb+++=good
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
good ^jj+atrb+++=good
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
regular ^jj+atrb+++=regular
fella ^nn++++=fella
and ^cc++++=and
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
ropes ^nns++++=ropes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
can ^md+pos+++=can
you ^pp2+pp2+++=you
imagine ^vb+vprv+++=imagine
old ^jj+atrb+++=old
Epps ^np+++??+=Epps
giving ^vwbg+++xvbg+=giving
a ^at++++=a
party ^nn++++=party?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Blatter ^np++++=Blatter
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
admit ^vbi+vpub+++=admit
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql+emph+++=so
willing ^jj++++=willing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
argued ^vbd+vpub++xvbnx+=argued.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sure ^jj++++=sure,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
agreed ^vwbn+vpub++xvbn+=agreed
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Spingle ^np++++=Spingle;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
