I ^pp1a+pp1+++=I.
great ^jj+atrb+++=great
city ^nn++++=city,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
all ^abn++++=all
about ^in++++=about
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
things ^nns++++=things
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
all ^abn++++=all
the ^ati++++=the
folks ^nns++++=folks
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
in ^in++++=in
London ^np++++=London
were ^vbd+bed+vrb++=were
fine ^jj+atrb+++=fine
gen ^np++++=gen-tle-men
- ^zz++++=EXTRAWORD
tle ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
men ^nns++++=EXTRAWORD
and ^cc++++=and
ladies ^nns++++=ladies;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
singing ^vbg+++xvbgx+=singing
and ^cc++++=and
music ^nn++++=music
there ^rn+pl+++=there
all ^abn++++=all
day ^nn++++=day
long ^rb++++=long;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
nobody ^pn++++=nobody
was ^vbd+bedz+vrb++=was
ever ^rb++++=ever
hungry ^jj+pred+++=hungry
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nobody ^pn++++=nobody
had ^vb+hv+vrb++=had
to ^in++++=to
work ^nn++++=work;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
streets ^nns++++=streets
were ^vbd+bed+vrb++=were
all ^abn++++=all
paved ^jj+++xvbn+=paved
with ^in++++=with
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
Dick ^np++++=Dick
listened ^vbd+++xvbn+=listened
to ^in++++=to
these ^dt+dem+++=these
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wished ^vbd+vprv++xvbn+=wished
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
go ^vb++++=go
to ^in++++=to
London ^np++++=London.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
a ^at++++=a
big ^jj+atrb+++=big
wagon ^nn++++=wagon
drawn ^vwbn+++xvbn+=drawn
by ^in++++=by
eight ^cd++++=eight
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
all ^abn++++=all
with ^in++++=with
bells ^nns++++=bells
on ^in++++=on
their ^pp$+pp3+++=their
heads ^nns++++=heads,
, ^zz++++=EXTRAWORD
drove ^j+++xvbn+=drove
into ^in++++=into
the ^ati++++=the
little ^jj+atrb+++=little
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Dick ^np++++=Dick
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
wagon ^nn++++=wagon
standing ^vwbg+++xvbg+=standing
by ^in++++=by
the ^ati++++=the
inn ^nn++++=inn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
going ^vbg+++xvbgx+=going
to ^in++++=to
the ^ati++++=the
fine ^jj+atrb+++=fine
city ^nn++++=city
of ^in++++=of
London ^np++++=London.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
driver ^nn++++=driver
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
and ^cc++++=and
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
start ^vbi++++=start,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lad ^nn++++=lad
ran ^vbd+++xvbn+=ran
up ^rp++++=up
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
might ^md+pos+++=might
walk ^vb++++=walk
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
driver ^nn++++=driver
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him
some ^dti++++=some
questions ^nns+nom+++=questions;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned
how ^wrb+who+whcl++=how
poor ^jj+atrb+++=poor
Dick ^np++++=Dick
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
neither ^dt++neg++=neither
father ^nn++++=father
nor ^cc++neg++=nor
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
do ^vb+do+vrb++=do
as ^ql++++=as
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^rb++++=long
walk ^nn++++=walk
for ^in++++=for
the ^ati++++=the
little ^ap++++=little
lad ^nn++++=lad;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
and ^cc++++=and
by ^in++++=by
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
London ^np++++=London.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
such ^abl++++=such
a ^at++++=a
hurry ^nn++++=hurry
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
sights ^nns++++=sights,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
forgot ^vbd+vprv++xvbnx+=forgot
to ^to+vcmp+++=to
thank ^vbi++++=thank
the ^ati++++=the
driver ^nn++++=driver
of ^in++++=of
the ^ati++++=the
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ran ^vbd+++xvbnx+=ran
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
from ^in++++=from
one ^cd1++++=one
street ^nn++++=street
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
those ^dt+dem+++=those
that ^dt+pdem+++=that
were ^vbd+bed+aux++=were
paved ^vpsv++agls+xvbnx+=paved
with ^in++++=with
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
seen ^vprf+++xvbnx+=seen
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
money ^nn++++=money
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
it ^pp3+it+++=it
would ^md+prd+++=would
buy ^vb++++=buy
a ^at++++=a
great ^jj++++=great,
, ^zz++++=EXTRAWORD
great ^jj++++=great
many ^ap++++=many
things ^nns++++=things;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
get ^vb++++=get
only ^rb+down+++=only
a ^rb++++=a
little ^rb"++++=little
bit ^nn++++=bit
of ^in++++=of
the ^ati++++=the
pave ^vb++++=pave-ment,
- ^zz++++=EXTRAWORD
ment ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+vrb++=have
everything ^pn++++=everything
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
Dick ^np++++=Dick
ran ^vbd+++xvbn+=ran
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
tired ^jj+++xvbn+=tired
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
run ^vb+++xvbn+=run
no ^at++++=no
farther ^rbr++++=farther.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
growing ^vbg+++xvbgx+=growing
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
every ^at++++=every
street ^nn++++=street
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
dirt ^nn++++=dirt
instead ^rb+cnj+++=instead
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
in ^in++++=in
a ^at++++=a
dark ^jj+atrb+++=dark
corner ^npl++++=corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cried ^vbd+++xvbn+=cried
himself ^ppl+pp3+++=himself
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
woke ^vbd+++xvbnx+=woke
up ^rp++++=up
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
hungry ^jj++++=hungry;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
even ^rb++++=even
a ^at++++=a
crust ^nn++++=crust
of ^in++++=of
bread ^nn++++=bread
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
eat ^vbi++++=eat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
forgot ^vbd+vprv++xvbnx+=forgot
all ^abn++++=all
about ^in++++=about
the ^ati++++=the
golden ^jj+atrb+++=golden
pavements ^nns+nom+++=pavements,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
only ^rb+down+++=only
of ^in++++=of
food ^nn++++=food.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
about ^in++++=about
from ^in++++=from
one ^cd1++++=one
street ^nn++++=street
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
grew ^vbd+++xvbn+=grew
so ^rb+emph+++=so
hungry ^jj++++=hungry
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
ask ^vbi++++=ask
those ^dt+pdem+++=those
whom ^wpor+who+whcl++=whom
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
to ^to++++=to
give ^vbi++++=give
him ^pp3o+pp3+++=him
a ^at++++=a
penny ^nn++++=penny
to ^to++++=to
buy ^vbi++++=buy
something ^pn++++=something
to ^to++++=to
eat ^vbi++++=eat.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
to ^in++++=to
work ^nn++++=work,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
idle ^jj++++=idle
fellow ^jjb++++=fellow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rest ^nn++++=rest
passed ^vbd+++xvbn+=passed
him ^pp3o+pp3+++=him
by ^in++++=by
without ^in++++=without
even ^rb++++=even
looking ^vbg+++xvbg+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
could ^md+pos+++=could
go ^vb++++=go
to ^in++++=to
work ^nn++++=work!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dick ^np++++=Dick.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Kitchen ^nn++++=KITCHEN.
. ^zz++++=EXTRAWORD
By ^in++++=By
and ^cc++++=and
by ^in++++=by
Dick ^np++++=Dick
grew ^vbd+++xvbn+=grew
so ^ql++++=so
faint ^vb++++=faint
and ^cc++++=and
tired ^jj+++xvbn+=tired
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
go ^vb++++=go
no ^at++++=no
farther ^rbr++++=farther.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
by ^in++++=by
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
a ^at++++=a
fine ^jj+atrb+++=fine
house ^npl++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wished ^vbd+vprv++xvbn+=wished
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
back ^jjb+pred+++=back
again ^rb+tm+++=again
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
town ^nn++++=town
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cook ^nn++++=cook-maid,
- ^zz++++=EXTRAWORD
maid ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
getting ^vbg+++xvbgx+=getting
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vbd+++xvbn+=called
out, ^nn+++??+=out,-"What
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
little ^jj+atrb+++=little
beggar ^nn++++=beggar?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
away ^rb+phrv+++=away
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
throw ^vb++++=throw
a ^at++++=a
panful ^nn++++=panful
of ^in++++=of
hot ^jj+atrb+++=hot
dish ^nn++++=dish-water
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
over ^in++++=over
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
guess ^vb++++=guess
you ^pp2+pp2+++=you
will ^md+prd+++=will
jump ^vb++++=jump."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time
the ^ati++++=the
master ^nn++++=master
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Fitz ^np++++=Fitz-war
- ^zz++++=EXTRAWORD
war ^nn++++=EXTRAWORD
ren ^vbd+++xvbn+=ren,
, ^zz++++=EXTRAWORD
came ^jj+atrb++xvbn+=came
home ^nr++++=home
to ^in++++=to
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
ragged ^jj++++=ragged
little ^ap++++=little
fellow ^jjb++++=fellow
at ^in++++=at
his ^pp$+pp3+++=his
door ^nn++++=door,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said, ^nn+++??+=said,-"My
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
lazy ^jj++++=lazy
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
live ^vbi++++=live
without ^in++++=without
work ^nn++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dick ^np++++=Dick.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
work ^vbi++++=work,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
find ^vb+vprv+tht0++=find
anything ^pn++++=anything
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
anybody ^pn++++=anybody
in ^in++++=in
this ^dt+dem+++=this
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
had ^vb+hv+vrb++=had
anything ^pn++++=anything
to ^to++++=to
eat ^vbi++++=eat
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj++++=EXTRAWORD
little ^rb++++=little
fellow ^jjb++++=fellow!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Fitz ^np++++=Fitz-war-ren.
- ^zz++++=EXTRAWORD
war ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ren ^vb+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
for ^in++++=for
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
cook ^nn++++=cook
to ^to++++=to
give ^vbi++++=give
the ^ati++++=the
lad ^nn++++=lad
a ^at++++=a
good ^jj+atrb+++=good
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
to ^to++++=to
find ^vbi+vprv+++=find
some ^dti++++=some
light ^jj+atrb+++=light
work ^nn++++=work
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Dick ^np++++=Dick
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
very ^ql+amp+++=very
happy ^jj++++=happy
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
home ^nr++++=home
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
thus ^rb+cnj+splt++=thus
found ^vprf+++xvbnx+=found,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
the ^ati++++=the
cross ^nn++++=cross
cook ^nn++++=cook.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
often ^rb++++=often
say, ^nn+++??+=say,-"You
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
my ^pp$+pp1+++=my
boy ^nn++++=boy
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
you ^pp2+pp2+++=you
must ^md+nec+++=must
do ^vb+do+vrb++=do
as ^ql++++=as
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
sharp ^jj++++=sharp
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
Make ^vb++++=Make
the ^ati++++=the
fires ^nns++++=fires,
, ^zz++++=EXTRAWORD
carry ^vb++++=carry
out ^rp+pl+++=out
the ^ati++++=the
ashes ^nns++++=ashes,
, ^zz++++=EXTRAWORD
wash ^nn++++=wash
these ^dt+dem+++=these
dishes ^nns++++=dishes,
, ^zz++++=EXTRAWORD
sweep ^nn++++=sweep
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
bring ^vb++++=bring
in ^rb+phrv+++=in
the ^ati++++=the
wood ^nn++++=wood!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
lazy ^jj++++=lazy
fellow ^jjb++++=fellow
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
would ^md+prd+++=would
box ^vb++++=box
his ^pp$+pp3+++=his
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
beat ^nn+++xvbn+=beat
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
broom ^nn++++=broom-stick.
- ^zz++++=EXTRAWORD
stick ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Alice ^np++++=Alice,
, ^zz++++=EXTRAWORD
