Everybody ^pn++++=EVERYBODY
which ^whp+rel+subj++=which
should ^md+nec+++=should
ever ^rb++splt++=ever
distinguish ^vb++++=distinguish
him ^pp3o+pp3+++=him
who ^whp+who+++=who
aspires ^vbz+++??+=aspires
to ^in++++=to
the ^ati++++=the
title ^nn++++=title
of ^in++++=of
historian ^nn++++=historian.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
united ^np++++=united
aid ^nn++++=aid
of ^in++++=of
medals ^nns++++=medals,
, ^zz++++=EXTRAWORD
manuscripts ^nns++++=manuscripts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inscriptions ^nns+nom+++=inscriptions,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
enabled ^vpsv++agls+xvbnx+=enabled
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
positively ^rb+cnj+++=positively,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
borough ^nn++++=borough
of ^in++++=of
Vondervotteimittiss ^np+++??+=Vondervotteimittiss
has ^vbz+hvz+aux++=has
existed ^vprf+++xvbnx+=existed,
, ^zz++++=EXTRAWORD
from ^in++++=from
its ^pp$+it+++=its
origin ^nn++++=origin,
, ^zz++++=EXTRAWORD
in ^in++++=in
precisely ^rb++++=precisely
the ^ati++++=the
same ^ap++++=same
condition ^nn+nom+++=condition
which ^whp+rel+obj++=which
it ^pp3+it+++=it
at ^rb++++=at
present ^vb++++=present
preserves ^vbz++++=preserves.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
this ^dt+dem+++=this
origin ^nn++++=origin,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
grieve ^np++++=grieve
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
only ^rb+down+splt++=only
speak ^vb++++=speak
with ^in++++=with
that ^dt+pdem+++=that
species ^vbz++++=species
of ^in++++=of
indefinite ^jj+atrb+++=indefinite
definiteness ^nns+nom+++=definiteness
which ^whp+rel+obj++=which
mathematicians ^nns++++=mathematicians
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
at ^rb++++=at
times ^nns++++=times,
, ^zz++++=EXTRAWORD
forced ^xvbn+++xvbn+=forced
to ^to+vcmp+++=to
put ^vbi++++=put
up ^rb+phrv+++=up
with ^in+ppvb+++=with
in ^in++++=in
certain ^jj+atrb+++=certain
algebraic ^jj+atrb+++=algebraic
formulae ^nns++++=formulae.
. ^zz++++=EXTRAWORD
The ^ati++++=The
date ^nn++++=date,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
thus ^rb+cnj+splt++=thus
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
in ^in++++=in
regard ^in"++++=regard
to ^in++++=to
the ^ati++++=the
remoteness ^nns+nom+++=remoteness
of ^in++++=of
its ^pp$+it+++=its
antiquity ^nn+nom+++=antiquity,
, ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
less ^rbr++++=less
than ^in++++=than
any ^dti++++=any
assignable ^jj+atrb+++=assignable
quantity ^nn+nom+++=quantity
whatsoever ^nn+nom+++=whatsoever.
. ^zz++++=EXTRAWORD
Touching ^jj+++xvbg+=Touching
the ^ati++++=the
derivation ^nn+nom+++=derivation
of ^in++++=of
the ^ati++++=the
name ^nn++++=name
Vondervotteimittiss ^np+++??+=Vondervotteimittiss,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
with ^in++++=with
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
equally ^rb++++=equally
at ^rb++++=at
fault ^nn++++=fault.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
a ^at++++=a
multitude ^nn++++=multitude
of ^in++++=of
opinions ^nns++++=opinions
upon ^in++++=upon
this ^dt+dem+++=this
delicate ^jj+atrb+++=delicate
pointsome ^nn+++??+=pointsome
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
some ^dti++++=some
learned ^jj+++xvbn+=learned,
, ^zz++++=EXTRAWORD
some ^dti++++=some
sufficiently ^rb++++=sufficiently
the ^ati++++=the
reverse ^jj++++=reverse
- ^zz++++=-I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
select ^vb++++=select
nothing ^pn++++=nothing
which ^whp+who+++=which
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
considered ^vbd+vprv++xvbn+=considered
satisfactory ^jj++++=satisfactory.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
Grogswiggnearly ^np+++??+=Grogswiggnearly
coincident ^jj++++=coincident
with ^in++++=with
that ^dt+dem+++=that
of ^in++++=of
Kroutaplenttey ^np+++??+=Kroutaplenttey
- ^zz++++=-is
is ^vbz+bez+aux++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
cautiously ^rb++splt++=cautiously
preferred ^vpsv++agls+xvbnx+=preferred.
. ^zz++++=EXTRAWORD
- ^zz++++=-It
it ^pp3+it+++=EXTRAWORD
runs ^vbz++++=runs:
: ^zz++++=EXTRAWORD
- ^zz++++=-Vondervotteimittis
vondervotteimittis ^nns+++??+=EXTRAWORD
- ^zz++++=-Vonder,
vonder ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lege ^nn+++??+=lege
Donder ^np+++??+=Donder
- ^zz++++=-Votteimittis,
votteimittis ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
quasi ^jjb++++=quasi
und ^&fw++++=und
Bleitzizbleitziz ^np+++??+=BleitzizBleitziz
obsol ^nn+++??+=obsol:
: ^zz++++=EXTRAWORD
- ^zz++++=-pro
pro ^&fw++++=EXTRAWORD
Blitzen ^np+++??+=Blitzen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
derivative ^nn++++=derivative,
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
still ^rb++splt++=still
countenanced ^vpsv++by+xvbnx+=countenanced
by ^in++++=by
some ^dti++++=some
traces ^nns++++=traces
of ^in++++=of
the ^ati++++=the
electric ^jj+atrb+++=electric
fluid ^nn++++=fluid
evident ^jj++++=evident
on ^in++++=on
the ^ati++++=the
summit ^nn++++=summit
of ^in++++=of
the ^ati++++=the
steeple ^nn++++=steeple
of ^in++++=of
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Town ^nn++++=Town-Council.
- ^zz++++=EXTRAWORD
council ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
choose ^vb++++=choose,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
to ^to++++=to
commit ^vbi++++=commit
myself ^ppl+pp1+++=myself
on ^in++++=on
a ^at++++=a
theme ^nn++++=theme
of ^in++++=of
such ^abl++++=such
importance ^nn+nom+++=importance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
must ^md+nec+++=must
refer ^vb++++=refer
the ^ati++++=the
reader ^nn++++=reader
desirous ^jj++++=desirous
of ^in++++=of
information ^nn+nom+++=information
to ^in++++=to
the ^ati++++=the
" ^zz++++="Oratiunculae
oratiunculae ^nn+++??+=EXTRAWORD
de ^&fw++++=de
Rebus ^np+++??+=Rebus
Praeter ^np+++??+=Praeter-Veteris,"
- ^zz++++=EXTRAWORD
veteris ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
Dundergutz ^np+++??+=Dundergutz.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
Blunderbuzzard ^np+++??+=Blunderbuzzard
" ^zz++++="De
de ^&fw++++=EXTRAWORD
Derivationibus ^np+++??+=Derivationibus,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
27 ^cd++++=27
to ^to++++=to
5010 ^cd++++=5010,
, ^zz++++=EXTRAWORD
Folio ^np+++??+=Folio,
, ^zz++++=EXTRAWORD
Gothic ^jj++++=Gothic
edit ^vb++++=edit.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Red ^jj+atrb+++=Red
and ^cc+phrs+++=and
Black ^jj+atrb+++=Black
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
Catch ^vb++++=Catch-word
- ^zz++++=EXTRAWORD
word ^nn++++=EXTRAWORD
and ^cc++++=and
No ^at++++=No
Cypher ^nn++++=Cypher;
; ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
consult ^vb++++=consult,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
marginal ^jj+atrb+++=marginal
notes ^nns++++=notes
in ^in++++=in
the ^ati++++=the
autograph ^nn++++=autograph
of ^in++++=of
Stuffundpuff ^np+++??+=Stuffundpuff,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Sub ^nn++++=Sub-Commentaries
- ^zz++++=EXTRAWORD
commentaries ^nns++++=EXTRAWORD
of ^in++++=of
Gruntundguzzell ^np+++??+=Gruntundguzzell.
. ^zz++++=EXTRAWORD
Notwithstanding ^rb+cnj+++=Notwithstanding
the ^ati++++=the
obscurity ^nn+nom+++=obscurity
which ^whp+rel+subj++=which
thus ^rb+cnj+++=thus
envelops ^vbz+++??+=envelops
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
the ^ati++++=the
foundation ^nn+nom+++=foundation
of ^in++++=of
Vondervotteimittis ^np+++??+=Vondervotteimittis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
derivation ^nn+nom+++=derivation
of ^in++++=of
its ^pp$+it+++=its
name ^nn++++=name,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
can ^md+pos+++=can
be ^vb+be+vrb++=be
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
always ^rb++splt++=always
existed ^vprf+++xvbnx+=existed
as ^ql++++=as
we ^pp1a+pp1+++=we
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
at ^in++++=at
this ^dt+dem+++=this
epoch ^nn++++=epoch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oldest ^jjt+atrb+++=oldest
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
borough ^nn++++=borough
can ^md+pos+++=can
remember ^nn+nom+++=remember
not ^xnot++not++=not
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
difference ^nn+nom+++=difference
in ^in++++=in
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
any ^dti++++=any
portion ^nn+nom+++=portion
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ap+amp+++=very
suggestion ^nn+nom+++=suggestion
of ^in++++=of
such ^abl++++=such
a ^at++++=a
possibility ^nn+nom+++=possibility
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
an ^at++++=an
insult ^nn++++=insult.
. ^zz++++=EXTRAWORD
The ^ati++++=The
site ^nn++++=site
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
is ^vbz+bez+vrb++=is
in ^in++++=in
a ^at++++=a
perfectly ^rb+amp+++=perfectly
circular ^jj+atrb+++=circular
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
about ^in++++=about
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
a ^at++++=a
mile ^nn++++=mile
in ^in++++=in
circumference ^nn+nom+++=circumference,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entirely ^rb+amp+++=entirely
surrounded ^vpsv++by+xvbn+=surrounded
by ^in++++=by
gentle ^jj+atrb+++=gentle
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
over ^rp++++=over
whose ^whp+who+++=whose
summit ^nn++++=summit
the ^ati++++=the
people ^nns++++=people
have ^vb+hv+aux++=have
never ^rb++splt++=never
yet ^rb++++=yet
ventured ^vbd+++xvbn+=ventured
to ^to+vcmp+++=to
pass ^vbi++++=pass.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
they ^pp3a+pp3+++=they
assign ^vb++++=assign
the ^ati++++=the
very ^ql+amp+++=very
good ^jj+atrb+++=good
reason ^nn++++=reason
that ^tht+ncmp+++=that
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
believe ^vb+vprv+tht0++=believe
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
anything ^pn++++=anything
at ^rb++++=at
all ^abn++++=all
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Round ^in++++=Round
the ^ati++++=the
skirts ^nns++++=skirts
of ^in++++=of
the ^ati++++=the
valley ^nn++++=valley
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
level ^nn++++=level,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
paved ^vpsv++agls+xvbn+=paved
throughout ^in++++=throughout
with ^in++++=with
flat ^jj+atrb+++=flat
tiles ^nns++++=tiles),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
extends ^vbz++++=extends
a ^at++++=a
continuous ^jj+atrb+++=continuous
row ^nn++++=row
of ^in++++=of
sixty ^cd++++=sixty
little ^jj+atrb+++=little
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
their ^pp$+pp3+++=their
backs ^nns++++=backs
on ^in++++=on
the ^ati++++=the
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
look ^vb++++=look,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
sixty ^cd++++=sixty
yards ^nns++++=yards
from ^in++++=from
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door
of ^in++++=of
each ^dt++++=each
dwelling ^nvbg+++xvbg+=dwelling.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
house ^nn++++=house
has ^vbz+hvz+vrb++=has
a ^at++++=a
small ^jj+atrb+++=small
garden ^nn++++=garden
before ^in++++=before
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
circular ^jj+atrb+++=circular
path ^nn++++=path,
, ^zz++++=EXTRAWORD
a ^at++++=a
sun ^nn++++=sun-dial,
- ^zz++++=EXTRAWORD
dial ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
cabbages ^nns+nom+++=cabbages.
. ^zz++++=EXTRAWORD
The ^ati++++=The
buildings ^nns++++=buildings
themselves ^ppls+pp3+++=themselves
are ^vb+ber+vrb++=are
so ^ql++++=so
precisely ^rb++++=precisely
alike ^rb+cnj+++=alike,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
one ^cd1++++=one
can ^md+pos+++=can
in ^in++++=in
no ^at++++=no
manner ^nn++++=manner
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Owing ^in+cmpx+++=Owing
to ^in"++++=to
the ^ati++++=the
vast ^jj+atrb+++=vast
antiquity ^nn+nom+++=antiquity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
style ^nn++++=style
of ^in++++=of
architecture ^nn++++=architecture
is ^vbz+bez+vrb++=is
somewhat ^rb+down+++=somewhat
odd ^jj+pred+++=odd,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
for ^in++++=for
that ^dt+dem+++=that
reason ^nn++++=reason
the ^ati++++=the
less ^rbr++++=less
strikingly ^rb++++=strikingly
picturesque ^jj++++=picturesque.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
fashioned ^vpsv++agls+xvbnx+=fashioned
of ^in++++=of
hard ^jj++++=hard-burned
- ^zz++++=EXTRAWORD
burned ^vbd+++xvbn+=EXTRAWORD
little ^ap++++=little
bricks ^nns++++=bricks,
, ^zz++++=EXTRAWORD
red ^jj++++=red,
, ^zz++++=EXTRAWORD
with ^in++++=with
black ^jj+atrb+++=black
ends ^nns++++=ends,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
walls ^nns++++=walls
look ^vb++++=look
like ^in++++=like
a ^at++++=a
chess ^nn++++=chess-board
- ^zz++++=EXTRAWORD
board ^nn++++=EXTRAWORD
upon ^in++++=upon
a ^at++++=a
great ^jj+atrb+++=great
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gables ^nns+++??+=gables
are ^vb+ber+aux++=are
turned ^vpsv++agls+xvbnx+=turned
to ^in++++=to
the ^ati++++=the
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
cornices ^nns+++??+=cornices,
, ^zz++++=EXTRAWORD
as ^ql++++=as
big ^jj++++=big
as ^ql++++=as
all ^abn++++=all
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
eaves ^nns++++=eaves
and ^cc++++=and
over ^in++++=over
the ^ati++++=the
main ^jjb+atrb+++=main
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
windows ^nns++++=windows
are ^vb+ber+vrb++=are
narrow ^jj+pred+++=narrow
and ^cc+phrs+++=and
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
with ^in++++=with
very ^ql+amp+++=very
tiny ^jj+atrb+++=tiny
panes ^nns++++=panes
and ^cc++++=and
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
sash ^nn++++=sash.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
roof ^nn++++=roof
is ^vbz+bez+vrb++=is
a ^at++++=a
vast ^jj+atrb+++=vast
quantity ^nn+nom+++=quantity
of ^in++++=of
tiles ^nns++++=tiles
with ^in++++=with
long ^jj+atrb+++=long
curly ^jj+atrb+++=curly
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woodwork ^nn++++=woodwork,
, ^zz++++=EXTRAWORD
throughout ^in+strn+++=throughout,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
of ^in++++=of
a ^at++++=a
dark ^jj+atrb+++=dark
hue ^nn++++=hue
and ^cc++++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
much ^ap++++=much
carving ^nn++++=carving
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
with ^in++++=with
but ^cc++++=but
a ^at++++=a
trifling ^jj+atrb+++=trifling
variety ^nn++++=variety
of ^in++++=of
pattern ^nn++++=pattern
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
time ^nn++++=time
out ^rp+pl+++=out
of ^in++++=of
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
the ^ati++++=the
carvers ^nns+nom+++=carvers
of ^in++++=of
Vondervotteimittiss ^np+++??+=Vondervotteimittiss
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
carve ^vb++++=carve
more ^rbr++++=more
than ^in++++=than
two ^cd++++=two
objects ^nns++++=objects
- ^zz++++=-a
a ^at++++=EXTRAWORD
time ^nn++++=time-piece
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
cabbage ^nn+nom+++=cabbage.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
these ^dt+dem+++=these
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do
exceedingly ^rb++++=exceedingly
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intersperse ^vb++++=intersperse
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
with ^in++++=with
singular ^jj+atrb+++=singular
ingenuity ^nn+nom+++=ingenuity,
, ^zz++++=EXTRAWORD
wherever ^nn+nom+++=wherever
they ^pp3a+pp3+++=they
find ^vb+vprv+++=find
room ^nn++++=room
for ^in++++=for
the ^ati++++=the
chisel ^nn++++=chisel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dwellings ^nns+nom+++=dwellings
are ^vb+ber+vrb++=are
as ^ql++++=as
much ^ap++++=much
alike ^rb++++=alike
inside ^jjb++++=inside
as ^in++++=as
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
furniture ^nn++++=furniture
is ^vbz+bez+vrb++=is
all ^abn++++=all
upon ^in++++=upon
one ^cd1++++=one
plan ^nn++++=plan.
. ^zz++++=EXTRAWORD
The ^ati++++=The
floors ^nns++++=floors
are ^vb+ber+vrb++=are
of ^in++++=of
square ^jj+atrb+++=square
tiles ^nns++++=tiles,
