Speaking ^vbg+++xvbg+=SPEAKING
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say
take ^vb++++=take,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
razor ^nn++++=razor-strop
- ^zz++++=EXTRAWORD
strop ^nn+++??+=EXTRAWORD
or ^cc++++=or
a ^at++++=a
box ^nn++++=box
of ^in++++=of
talc ^nn+++??+=talc
powder ^nn++++=powder.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
a ^at++++=a
bottle ^nn++++=bottle
of ^in++++=of
eau ^nn+++??+=eau
de ^&fw++++=de
Cologne ^np++++=Cologne
or ^cc++++=or
witch ^nn++++=witch
hazel ^np++++=hazel;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
prefer ^vb+vprv+++=prefer,
, ^zz++++=EXTRAWORD
a ^at++++=a
nail ^nn++++=nail
buffer ^nn++++=buffer,
, ^zz++++=EXTRAWORD
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
toilet ^nn++++=toilet
scissors ^nns++++=scissors,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Silly ^jj++++=Silly,
, ^zz++++=EXTRAWORD
foolish ^jj++++=foolish,
, ^zz++++=EXTRAWORD
tinsel ^nn++++=tinsel
things ^nns++++=things,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
Rubbish ^nn++++=Rubbish
a ^at++++=a
man ^nn++++=man
can ^md+pos+++=can
do ^vb+do+vrb++=do
without ^in++++=without
just ^rb+emph+++=just
as ^rb++++=as
well ^rb++++=well?
? ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
believe ^vb+vprv+++=believe
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
for ^in++++=for
a ^at++++=a
single ^jj+atrb+++=single,
, ^zz++++=EXTRAWORD
solitary ^jj+atrb+++=solitary
moment ^nn++++=moment!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
do ^vb+do+vrb++=do
without ^in++++=without
all ^abn++++=all
that ^dt+dem+++=that
truck ^nn++++=truck
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
home ^nr++++=home,
, ^zz++++=EXTRAWORD
all ^abn++++=all
snug ^jj++++=snug
and ^cc+phrs+++=and
taut ^jj++++=taut
and ^cc+phrs+++=and
comfortable ^jj++++=comfortable
with ^in++++=with
shops ^nns++++=shops
around ^in++++=around
you ^pp2+pp2+++=you
on ^in++++=on
every ^at++++=every
street ^npl++++=street
so ^ql++++=so
that ^cs+sub+++=that
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
can ^md+pos+++=can
buy ^vb++++=buy
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
spirit ^nn++++=spirit
moves ^vbz++++=moves
you ^pp2+pp2+++=you
and ^cc++++=and
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
the ^ati++++=the
price ^nn++++=price.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
yourself ^ppl+pp2+++=yourself
somewhere ^rb++++=somewhere
at ^in++++=at
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
beyond ^in+strn+++=beyond,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
buy ^vb++++=buy
the ^ati++++=the
fool ^jjb+atrb+++=fool
things ^nns++++=things
for ^in++++=for
love ^nn++++=love
or ^cc++++=or
money ^nn++++=money
absolutely ^rb+amp+++=absolutely
cannot ^md+pos+not++=cannot
get ^vb++++=get
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
at ^rb++++=at
that ^dt+dem+++=that
very ^ql+amp+++=very
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
flummeries ^nns+nom+++=flummeries
become ^vb++++=become
vital ^jj++++=vital
vital ^jj++++=vital
not ^xnot++not++=not
from ^in++++=from
a ^at++++=a
pathological ^jj+atrb+++=pathological
angle ^nn++++=angle,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you
always ^rb++++=always
want ^vb++++=want
what ^wdt+who+++=what
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
really ^rb+cnj+++=really,
, ^zz++++=EXTRAWORD
truly ^rb+cnj+++=truly,
, ^zz++++=EXTRAWORD
physically ^rb++++=physically
vital ^jj++++=vital.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
which ^whp+rel+subj++=which
meant ^vbd+vprv++xvbn+=meant
the ^ati++++=the
tragedy ^nn++++=tragedy
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
bet ^vbd+++xvbn+=bet.
. ^zz++++=EXTRAWORD
Tragic ^jj++++=Tragic!
! ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
not ^xnot++not++=not
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
ludicrous ^jj++++=ludicrous,
, ^zz++++=EXTRAWORD
straight ^jj++++=straight
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
quite ^abl++++=quite
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
head ^nn++++=head
when ^wrb+who+++=when
that ^cs+sub+++=that
fellow ^jjb++++=fellow
from ^in++++=from
the ^ati++++=the
Angom ^np+++??+=Angom
Presbyterian ^jj+atrb+++=Presbyterian
Mission ^nn++++=Mission
picked ^vbd+++xvbn+=picked
me ^pp1o+pp1+++=me
up ^rp++++=up.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
his ^pp$+pp3+++=his
name ^nn++++=name?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
Morrison ^np++++=Morrison.
. ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor
Sylvester ^np+nom++??+=Sylvester
Morrison ^np++++=Morrison,
, ^zz++++=EXTRAWORD
an ^at++++=an
Englishman ^nn+nom+++=Englishman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
very ^ql+amp+++=very
decent ^jj+atrb+++=decent
chap ^nn++++=chap.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
Was ^vbd+bedz+vrb++=WAS
a ^at++++=a
raving ^jj++++=raving
lunatic ^jj++++=lunatic
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Sat ^j+++xvbn+=Sat
there ^rn+pl+++=there
screeching ^nn++++=screeching
some ^dti++++=some
musical ^jj++++=musical-comedy
- ^zz++++=EXTRAWORD
comedy ^nn++++=EXTRAWORD
song ^nn++++=song
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
years ^nns++++=years
back ^rp++++=back
" ^zz++++="Gee
gee ^np++++=EXTRAWORD
but ^cc++++=but
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
lonesome ^jj+atrb+++=lonesome
town ^nn++++=town!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
something ^pn++++=something
of ^in++++=of
the ^ati++++=the
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
have ^vb+hv+aux++=have
sounded ^vprf+++xvbnx+=sounded
funny ^jj++++=funny,
, ^zz++++=EXTRAWORD
back ^rp++++=back
yonder ^jjb++++=yonder,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
sun ^nn++++=sun
rays ^nns++++=rays
dropping ^vwbg+++xvbg+=dropping
straight ^jj++++=straight
down ^rp++++=down
from ^in++++=from
a ^at++++=a
brazen ^vb++++=brazen
sky ^nn++++=sky
to ^to++++=to
shatter ^vbi++++=shatter
themselves ^ppls+pp3+++=themselves
upon ^in++++=upon
the ^ati++++=the
hard ^jj++++=hard-baked
- ^zz++++=EXTRAWORD
baked ^jj+atrb++xvbn+=EXTRAWORD
surface ^nn++++=surface
into ^in++++=into
sparkling ^jj++++=sparkling,
, ^zz++++=EXTRAWORD
adamantine ^nn+++??+=adamantine
dust ^nn++++=dust
to ^to++++=to
rise ^vbi++++=rise
again ^rb+tm+++=again
in ^in++++=in
a ^at++++=a
dazzling ^jj+atrb++xvbg+=dazzling
vapor ^nn++++=vapor.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
funny ^jj++++=funny,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
for ^in+ppvb+++=for
Doctor ^nn++++=Doctor
Morrison ^np++++=Morrison
with ^in++++=with
my ^pp$+pp1+++=my
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
Lucky ^jj++++=Lucky
for ^in++++=for
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
used ^vprf+++xvbnx+=used
my ^pp$+pp1+++=my
last ^jj+atrb+++=last
cartridge ^nn++++=cartridge.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
presentiment ^nn+nom+++=presentiment
of ^in++++=of
coming ^xvbg+++xvbg+=coming
disaster ^nn+nom+++=disaster
shortly ^rb+tm+++=shortly
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
faced ^vpsv++by+xvbnx+=faced
by ^in++++=by
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
those ^dt+dem+++=those
ochre ^nn+++??+=ochre-smeared,
- ^zz++++=EXTRAWORD
smeared ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
plum ^nn++++=plum-colored
- ^zz++++=EXTRAWORD
colored ^jj+++xvbn+=EXTRAWORD
Fang ^np+++??+=Fang
coons ^nns+++??+=coons
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
away ^rp+pl+++=away
during ^in++++=during
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
their ^pp$+pp3+++=their
skinny ^jj+atrb+++=skinny
legs ^nns++++=legs
would ^md+prd+++=would
let ^vb+++xvbn+=let
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
did ^vbd+dod+aux++=did
find ^vb+vprv+++=find
out ^rp+pl+++=out
what ^wdt+who+++=what
made ^vwbn+++xvbn+=made
them ^pp3o+pp3+++=them
stampede ^nn+++??+=stampede,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
cared ^vbd+++xvbn+=cared
to ^to+vcmp+++=to
discover ^nn+nom+++=discover
the ^ati++++=the
reason ^nn++++=reason
why ^wrb+who+++=why.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
like ^in++++=like
half ^abn++++=half
children ^nns++++=children
and ^cc++++=and
half ^abn++++=half
apes ^nns+++??+=apes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chuck ^nn++++=chuck-full
- ^zz++++=EXTRAWORD
full ^jj++++=EXTRAWORD
of ^in++++=of
animistic ^jj+atrb+++=animistic
superstitions ^nns+nom+++=superstitions
and ^cc++++=and
the ^ati++++=the
inhibitions ^nns+nom+++=inhibitions
that ^tht+rel+subj++=that
go ^vb++++=go
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
they ^pp3a+pp3+++=they
must ^md+nec+++=must
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
a ^at++++=a
drum ^nn++++=drum-signal
- ^zz++++=EXTRAWORD
signal ^nn++++=EXTRAWORD
boom ^nn++++=boom-booming
- ^zz++++=EXTRAWORD
booming ^jj+++xvbg+=EXTRAWORD
through ^in++++=through
the ^ati++++=the
night ^nn++++=night
some ^dti++++=some
brute ^jjb++++=brute
of ^in++++=of
a ^at++++=a
flat ^jj++++=flat-nosed,
- ^zz++++=EXTRAWORD
nosed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
tattooed ^jj+atrb++xvbn+=tattooed
medicine ^nn++++=medicine-man
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
brewing ^vwbg+++xvbg+=brewing
his ^pp$+pp3+++=his
smelly ^jj+atrb+++=smelly
craft ^nn++++=craft
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
miasmic ^jj+atrb+++=miasmic
jungle ^nn++++=jungle
to ^in++++=to
the ^ati++++=the
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
giving ^jj+++xvbg+=giving
them ^pp3o+pp3+++=them
the ^ati++++=the
tip ^nn++++=tip
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
" ^zz++++="dam
dam ^nn++++=EXTRAWORD
bad ^jj++++=bad
ju ^&fw++++=ju-ju."
- ^zz++++=EXTRAWORD
ju ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
that ^cs+sub+++=that
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
upper ^nn++++=upper
reaches ^vbz++++=reaches
of ^in++++=of
the ^ati++++=the
Ogowe ^np+++??+=Ogowe
River ^nn++++=River,
, ^zz++++=EXTRAWORD
a ^at++++=a
day ^nn++++=day's
's ^$++++=EXTRAWORD
journey ^nn++++=journey
below ^in+pl+++=below
Boue ^np+++??+=Boue,
, ^zz++++=EXTRAWORD
a ^at++++=a
week ^nn++++=week
from ^in++++=from
the ^ati++++=the
coast ^nn++++=coast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
annoyed ^jj+pred+++=annoyed.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
Africa ^np++++=Africa
raises ^vbz++++=raises
Cain ^np++++=Cain
with ^in++++=with
a ^at++++=a
white ^jj+atrb+++=white
man ^nn++++=man's
's ^$++++=EXTRAWORD
nerves ^nns++++=nerves
and ^cc++++=and
general ^jj+atrb+++=general
amiability ^nn+nom+++=amiability.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
caught ^vprf+++xvbnx+=caught
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
runaway ^jjb+atrb+++=runaway
coons ^nns+++??+=coons,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
to ^in++++=to
him ^pp3o+pp3+++=him
with ^in++++=with
my ^pp$+pp1+++=my
hippo ^nn+++??+=hippo-hide
- ^zz++++=EXTRAWORD
hide ^vb++++=EXTRAWORD
whip ^nn++++=whip.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
use ^nn++++=use
trailing ^vwbg+++xvbg+=trailing
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
jungle ^nn++++=jungle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wilderness ^nns+nom+++=wilderness
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
contented ^jj++++=contented
myself ^ppl+pp1+++=myself
with ^in++++=with
cursing ^xvbg+++xvbg+=cursing
them ^pp3o+pp3+++=them
in ^in++++=in
English ^nn++++=English
and ^cc++++=and
Freetown ^np+++??+=Freetown
pidgin ^nn+++??+=pidgin.
. ^zz++++=EXTRAWORD
Afraid ^jj++++=Afraid
of ^in++++=of
being ^xvbg+++xvbg+=being
alone ^rb++++=alone?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
greenhorn ^jj+++xvbn+=greenhorn,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
old ^jj+atrb+++=old
Africander ^np+nom++??+=Africander,
, ^zz++++=EXTRAWORD
dyed ^j+++xvbn+=dyed-in-the-wool,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
wool ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dyed ^j+++xvbn+=dyed-in-the-trek,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
trek ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
particular ^jj+atrb+++=particular
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
French ^jj+atrb+++=French
Congo ^np++++=Congo
better ^jjr++++=better
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
my ^pp$+pp1+++=my
native ^jj+atrb+++=native
Cape ^np++++=Cape
Cod ^nn++++=Cod,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
did ^vbd+dod+aux++=did
not ^xnot++not++=not
need ^vb++++=need
a ^at++++=a
guide ^nn++++=guide;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
porter ^nn++++=porter
for ^in++++=for
that ^dt+dem+++=that
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
to ^to++++=to
go ^vbi++++=go
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
by ^in++++=by
canoe ^nn+++??+=canoe.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
afraid ^jj++++=afraid
of ^in++++=of
any ^dti++++=any
stray ^jj+atrb+++=stray
natives ^nns++++=natives
popping ^vwbg+++xvbg+=popping
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
bush ^nn++++=bush.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
friends ^nns++++=friends
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
an ^at++++=an
adventurer ^nn+nom+++=adventurer
seeking ^vwbg+++xvbg+=seeking
for ^in++++=for
the ^ati++++=the
rainbow ^nn++++=rainbow,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pretty ^rb++++=pretty
little ^ap++++=little
rainbow ^nn++++=rainbow
that ^tht+rel+++=that
usually ^rb+down+++=usually
winds ^nns++++=winds
up ^rp++++=up
in ^in++++=in
a ^at++++=a
garbage ^nn+nom+++=garbage
can ^md+pos+++=can
not ^xnot++not++=not
an ^at++++=an
explorer ^nn+nom+++=explorer,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
a ^at++++=a
soldier ^nn++++=soldier.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
businessman ^nn+nom+++=businessman,
, ^zz++++=EXTRAWORD
pure ^jj++++=pure
and ^cc+phrs+++=and
simple ^jj++++=simple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
needed ^vbd+++xvbnx+=needed
the ^ati++++=the
natives ^nns++++=natives
to ^to++++=to
bring ^vbi++++=bring
me ^pp1o+pp1+++=me
rubber ^nn++++=rubber
and ^cc++++=and
ivory ^nn++++=ivory
and ^cc++++=and
gold ^nn++++=gold-dust,
- ^zz++++=EXTRAWORD
dust ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
needed ^vbd+++xvbnx+=needed
me ^pp1o+pp1+++=me
to ^to++++=to
get ^vbi++++=get
them ^pp3o+pp3+++=them
their ^pp$+pp3+++=their
