Being ^vbg+beg++xvbg+=Being
into ^in++++=into
the ^ati++++=the
pastures ^nns++++=pastures.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
year ^nn++++=year
or ^cc++++=or
two ^cd++++=two
in ^in++++=in
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
these ^dt+dem+++=these
pastures ^nns++++=pastures
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
arrived ^vprf+++xvbnx+=arrived
at ^rb++++=at
the ^ati++++=the
dignity ^nn+nom+++=dignity
of ^in++++=of
being ^nn+nn+aux++=being
called ^vbd+++xvbn+=called
woodland ^nn++++=woodland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
are ^vb+ber+vrb++=are
too ^ql++++=too
much ^ap++++=much
shaded ^jj+++xvbn+=shaded
and ^cc+phrs+++=and
overgrown ^jj+++xvbn+=overgrown
by ^in++++=by
young ^jj+atrb+++=young
trees ^nns++++=trees
to ^to++++=to
give ^vbi++++=give
proper ^jj+atrb+++=proper
pasturage ^nn+nom+++=pasturage,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
delightful ^jj+atrb+++=delightful
harbors ^nns++++=harbors
for ^in++++=for
the ^ati++++=the
small ^jj+atrb+++=small
wild ^jj+atrb+++=wild
creatures ^nns++++=creatures
which ^whp+rel+subj++=which
yet ^rb++++=yet
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
wild ^jj+atrb+++=wild
flowers ^nns+nom+++=flowers
and ^cc++++=and
berries ^nns++++=berries.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
you ^pp2+pp2+++=you
send ^vb++++=send
an ^at++++=an
astonished ^jj+atrb++xvbn+=astonished
rabbit ^nn++++=rabbit
scurrying ^vwbg+++xvbg+=scurrying
to ^in++++=to
his ^pp$+pp3+++=his
burrow ^nn+++??+=burrow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
you ^pp2+pp2+++=you
startle ^vb+++??+=startle
yourself ^ppl+pp2+++=yourself
with ^in++++=with
a ^at++++=a
partridge ^nn+++??+=partridge,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
get ^vbi++++=get
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
the ^ati++++=the
encounter ^nn+nom+++=encounter.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
a ^at++++=a
hen ^nn++++=hen
partridge ^nn+++??+=partridge
and ^cc++++=and
her ^pp$+pp3+++=her
brood ^nn++++=brood
of ^in++++=of
chickens ^nns++++=chickens
crossing ^vwbg+++xvbg+=crossing
your ^pp$+pp2+++=your
path ^nn++++=path
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
comfortable ^jj+atrb+++=comfortable
door ^nn++++=door-yard
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
security ^nn+nom+++=security.
. ^zz++++=EXTRAWORD
As ^ql++++=As
you ^pp2+pp2+++=you
drive ^nn++++=drive
along ^in++++=along
the ^ati++++=the
narrow ^jj+atrb+++=narrow,
, ^zz++++=EXTRAWORD
grassy ^jj+atrb+++=grassy
road ^nn++++=road,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
many ^ap++++=many
charming ^jj+atrb++xvbg+=charming
sights ^nns++++=sights
and ^cc++++=and
delightful ^jj+atrb+++=delightful
nooks ^nns+++??+=nooks
on ^in++++=on
either ^dtx++++=either
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
young ^jj+atrb+++=young
trees ^nns++++=trees
spring ^nn++++=spring
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
close ^jj++++=close-cropped
- ^zz++++=EXTRAWORD
cropped ^jj+atrb++xvbn+=EXTRAWORD
turf ^nn++++=turf
that ^tht+rel+obj++=that
carpets ^nns++++=carpets
the ^ati++++=the
ground ^nn++++=ground
like ^in++++=like
velvet ^nn++++=velvet.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
the ^ati++++=the
east ^np+pl+++=east
and ^cc++++=and
the ^ati++++=the
quaint ^jj+atrb+++=quaint
fishing ^jj+atrb++xvbg+=fishing
village ^nn+nom+++=village
of ^in++++=of
Ogunquit ^np+++??+=Ogunquit,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
the ^ati++++=the
most ^ql+emph+++=most
delightful ^jj+atrb+++=delightful
woodland ^nn++++=woodland
roads ^nns++++=roads.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+aux++=is
little ^ap++++=little
left ^vwbn+++xvbn+=left
of ^in++++=of
the ^ati++++=the
large ^jj+atrb+++=large
timber ^nn++++=timber
which ^whp+rel+obj++=which
once ^cs+tm+++=once
filled ^vprf+++xvbn+=filled
the ^ati++++=the
region ^nn++++=region,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
much ^rb++++=much
young ^jj+atrb+++=young
growth ^nn++++=growth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
hundreds ^cds++++=hundreds
of ^in++++=of
acres ^nns++++=acres
of ^in++++=of
cleared ^vbd+++xvbn+=cleared
land ^nn++++=land
and ^cc++++=and
pasture ^nn++++=pasture-ground
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
forests ^nns++++=forests
are ^vb+ber+aux++=are
springing ^vbg+++xvbgx+=springing
fast ^rb++++=fast
and ^cc++++=and
covering ^nvbg+++xvbg+=covering
the ^ati++++=the
country ^nn++++=country
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
idea ^nn++++=idea
of ^in++++=of
losing ^nn++++=losing
in ^in++++=in
their ^pp$+pp3+++=their
war ^nn++++=war
with ^in++++=with
civilization ^nn+nom+++=civilization
and ^cc++++=and
the ^ati++++=the
intruding ^jj+atrb++xvbg+=intruding
white ^jj+atrb+++=white
settler ^nn++++=settler.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pine ^nn++++=pine
woods ^nns++++=woods
and ^cc++++=and
the ^ati++++=the
Indians ^nn++++=Indians
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi++vrb++=be
next ^ap++++=next
of ^in++++=of
kin ^nns++++=kin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
former ^ap++++=former
owners ^nns++++=owners
of ^in++++=of
this ^dt+dem+++=this
corner ^nn++++=corner
of ^in++++=of
New ^jj+atrb+++=New
England ^np++++=England
are ^vb+ber+vrb++=are
the ^ati++++=the
only ^rb+down+++=only
proper ^jj+atrb+++=proper
figures ^nns++++=figures
to ^to++++=to
paint ^vbi++++=paint
into ^in++++=into
such ^abl++++=such
landscapes ^nns++++=landscapes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
twilight ^nn++++=twilight
under ^in++++=under
tall ^jj+atrb+++=tall
pines ^nns++++=pines
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi++vrb++=be
untenanted ^jj+pred+++=untenanted
and ^cc++++=and
to ^in++++=to
lack ^nn++++=lack
something ^pn++++=something,
, ^zz++++=EXTRAWORD
at ^rb++++=at
first ^rb"++++=first
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
one ^cd1++++=one
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
an ^at++++=an
empty ^jj+atrb+++=empty
house ^npl++++=house.
. ^zz++++=EXTRAWORD
A ^at++++=A
farmer ^nn++++=farmer
passing ^vwbg+++xvbg+=passing
through ^in++++=through
with ^in++++=with
his ^pp$+pp3+++=his
axe ^nn++++=axe
is ^vbz+bez+vrb++=is
but ^cc++++=but
an ^at++++=an
intruder ^nn+nom+++=intruder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children
straying ^vwbg+++xvbg+=straying
home ^nr++++=home
from ^in++++=from
school ^nn++++=school
give ^vb++++=give
one ^cd1++++=one
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
solicitude ^nn+++??+=solicitude
at ^rb++++=at
their ^pp$+pp3+++=their
unprotectedness ^nns+nom+++=unprotectedness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pine ^nn++++=pine
woods ^nns++++=woods
are ^vb+ber+vrb++=are
the ^ati++++=the
red ^jj+atrb+++=red
man ^nn++++=man's
's ^$++++=EXTRAWORD
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
hazardous ^jj+pred+++=hazardous
even ^rb++++=even
yet ^rb++++=yet
for ^in++++=for
the ^ati++++=the
gray ^np++++=gray
farmhouses ^nns++++=farmhouses
to ^to++++=to
stand ^vbi++++=stand
so ^pn++++=so
near ^rb++++=near
the ^ati++++=the
eaves ^nns++++=eaves
of ^in++++=of
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
noticed ^vprf+++xvbnx+=noticed
a ^at++++=a
distrust ^nn++++=distrust
of ^in++++=of
the ^ati++++=the
deep ^jj+atrb+++=deep
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
among ^in++++=among
elderly ^jj+atrb+++=elderly
people ^nns++++=people,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
something ^pn++++=something
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
fear ^nn++++=fear
of ^in++++=of
losing ^xvbg+++xvbg+=losing
their ^pp$+pp3+++=their
way ^nn++++=way.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
defenselessness ^nns+nom+++=defenselessness
against ^in++++=against
some ^dti++++=some
unrecognized ^jj+atrb+++=unrecognized
but ^cc+phrs+++=but
malicious ^jj+atrb+++=malicious
influence ^nn+nom+++=influence.
. ^zz++++=EXTRAWORD
Driving ^nvbg+++xvbg+=Driving
through ^in++++=through
the ^ati++++=the
long ^jj+atrb+++=long
woodland ^nn++++=woodland
way ^nn++++=way,
, ^zz++++=EXTRAWORD
shaded ^j+++xvbn+=shaded
and ^cc+phrs+++=and
chilly ^jj++++=chilly
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun;
; ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
Great ^jj+atrb+++=Great
Works ^nns++++=Works
River ^nn++++=River
and ^cc++++=and
its ^pp$+it+++=its
pretty ^jj+atrb+++=pretty
elm ^nn++++=elm-grown
- ^zz++++=EXTRAWORD
grown ^vprf+++xvbn+=EXTRAWORD
intervale ^nn+++??+=intervale;
; ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
short ^jj+atrb+++=short
bridges ^nns++++=bridges
of ^in++++=of
brown ^np++++=brown
brooks ^nps++++=brooks;
; ^zz++++=EXTRAWORD
delayed ^xvbn+++xvbn+=delayed
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
by ^in++++=by
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
ripe ^jj+atrb+++=ripe
strawberries ^nns++++=strawberries
in ^in++++=in
sunny ^nn++++=sunny
spots ^vbz++++=spots
by ^in++++=by
the ^ati++++=the
roadside ^nn++++=roadside,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
comes ^vbz++++=comes
to ^in++++=to
a ^at++++=a
higher ^jjr+atrb+++=higher
open ^jj+atrb+++=open
country ^nn++++=country,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
farm ^nn++++=farm
joins ^nns++++=joins
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cleared ^jj+atrb++xvbn+=cleared
fields ^nns++++=fields
lie ^vb++++=lie
all ^abn++++=all
along ^in++++=along
the ^ati++++=the
highway ^nn++++=highway,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
woods ^nns++++=woods
are ^vb+ber+aux++=are
pushed ^vpsv++agls+xvbnx+=pushed
back ^jjb++++=back
a ^at++++=a
good ^jj+atrb+++=good
distance ^nn+nom+++=distance
on ^in++++=on
either ^dtx++++=either
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wooded ^jj+atrb+++=wooded
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
bleak ^jj++++=bleak
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
with ^in++++=with
granite ^nn++++=granite
ledges ^nns+++??+=ledges,
, ^zz++++=EXTRAWORD
rise ^vb++++=rise
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
The ^ati++++=The
houses ^nns++++=houses
are ^vb+ber+vrb++=are
beside ^in+pl+++=beside
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
with ^in++++=with
green ^jj+atrb+++=green
door ^nn++++=door-yards
- ^zz++++=EXTRAWORD
yards ^nns++++=EXTRAWORD
and ^cc++++=and
large ^jj+atrb+++=large
barns ^nns+++??+=barns,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
empty ^jj++++=empty
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
wide ^jj+atrb+++=wide
doors ^nns++++=doors
standing ^vwbg+++xvbg+=standing
open ^jj++++=open,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
already ^rb++splt++=already
expecting ^vbg+vprv++xvbgx+=expecting
the ^ati++++=the
hay ^nn++++=hay
crop ^nn++++=crop
to ^to++++=to
be ^vbi+vbi+aux++=be
brought ^vpsv++agls+xvbnx+=brought
in ^rb+phrv+++=in.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tall ^jj+atrb+++=tall
green ^jj+atrb+++=green
grass ^nn++++=grass
is ^vbz+bez+aux++=is
waving ^vbg+++xvbgx+=waving
in ^in++++=in
the ^ati++++=the
fields ^nns++++=fields
as ^in++++=as
the ^ati++++=the
wind ^nn++++=wind
goes ^vbz++++=goes
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
fragrance ^nn+nom+++=fragrance
of ^in++++=of
whiteweed ^jj+atrb++xvbn+=whiteweed
and ^cc+phrs+++=and
ripe ^jj+atrb+++=ripe
strawberries ^nns++++=strawberries
and ^cc++++=and
clover ^nn++++=clover
blowing ^vwbg+++xvbg+=blowing
through ^in++++=through
the ^ati++++=the
sunshiny ^nn+++??+=sunshiny
barns ^nns+++??+=barns,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
lean ^jj+atrb+++=lean
sides ^nns++++=sides
and ^cc++++=and
their ^pp$+pp3+++=their
festoons ^nns+++??+=festoons
of ^in++++=of
brown ^np++++=brown,
, ^zz++++=EXTRAWORD
dusty ^jj+atrb+++=dusty
cobwebs ^nns++++=cobwebs;
; ^zz++++=EXTRAWORD
dull ^jj+atrb+++=dull,
, ^zz++++=EXTRAWORD
comfortable ^jj+atrb+++=comfortable
creatures ^nns++++=creatures
they ^pp3a+pp3+++=they
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
imaginative ^vbi++++=imaginative
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
hungrily ^rb++++=hungrily
for ^in++++=for
their ^pp$+pp3+++=their
yearly ^jj+atrb+++=yearly
meal ^nn++++=meal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
eave ^nn+++??+=eave-swallows
- ^zz++++=EXTRAWORD
swallows ^nns+++??+=EXTRAWORD
are ^vb+ber+vrb++=are
teasing ^jj+pred+++=teasing
their ^pp$+pp3+++=their
sleepy ^jj+atrb+++=sleepy
shapes ^nns++++=shapes,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
birds ^nns++++=birds
which ^whp+rel+obj++=which
flit ^nn+++??+=flit
about ^in++++=about
great ^jj+atrb+++=great
beasts ^nns++++=beasts;
; ^zz++++=EXTRAWORD
gay ^jj++++=gay,
, ^zz++++=EXTRAWORD
movable ^jj++++=movable,
, ^zz++++=EXTRAWORD
irreverent ^jj++++=irreverent,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
derisive ^jj++++=derisive,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
barn ^nn++++=barn
swallows ^nns+++??+=swallows
fly ^vb++++=fly
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro
in ^in++++=in
the ^ati++++=the
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
clear ^jj+atrb+++=clear
air ^nn++++=air.
. ^zz++++=EXTRAWORD
The ^ati++++=The
noise ^nn++++=noise
of ^in++++=of
our ^pp$+pp1+++=our
wheels ^nns++++=wheels
brings ^vbz++++=brings
fewer ^ap++++=fewer
faces ^nns++++=faces
to ^in++++=to
the ^ati++++=the
windows ^nns++++=windows
than ^in++++=than
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
lose ^vb++++=lose
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
seeing ^xvbg+++xvbg+=seeing
some ^dti++++=some
of ^in++++=of
our ^pp$+pp1+++=our
friends ^nns++++=friends
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
looking ^vbg+++xvbgx+=looking
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
whom ^whp+wpor+++=whom
we ^pp1a+pp1+++=we
like ^vb++++=like
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
good ^jj++++=good-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
funeral ^nn++++=funeral
must ^md+nec+++=must
be ^vb+be+aux++=be
taking ^vbg+++xvbgx+=taking
place ^nn++++=place,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
perhaps ^rb++++=perhaps
the ^ati++++=the
women ^nns++++=women
may ^md+pos+++=may
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
hoeing ^vbg+++xvbgx+=hoeing-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
and ^cc++++=and
strawberry ^nn++++=strawberry-time,
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
already ^rb++++=already
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
younger ^jjr+atrb+++=younger
women ^nns++++=women
at ^rb++++=at
work ^nn++++=work
among ^in++++=among
the ^ati++++=the
corn ^nn++++=corn
and ^cc++++=and
potatoes ^nns++++=potatoes.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
sight ^nn++++=sight
will ^md+prd+++=will
be ^vb+be+aux++=be
charming ^vbg+++xvbgx+=charming
to ^to++++=to
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
On ^in++++=On
a ^at++++=a
green ^jj+atrb+++=green
hillside ^nn++++=hillside
sloping ^vwbg+++xvbg+=sloping
to ^in++++=to
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
a ^at++++=a
thin ^jj+atrb+++=thin
little ^jj+atrb+++=little
girl ^nn++++=girl
was ^vbd+bedz+aux++=was
working ^vbg+++xvbgx+=working
away ^rp+pl+++=away
lustily ^rb++++=lustily
with ^in++++=with
a ^at++++=a
big ^nn++++=big
hoe ^vb++++=hoe
on ^in++++=on
a ^at++++=a
patch ^nn++++=patch
of ^in++++=of
land ^nn++++=land
perhaps ^rb++++=perhaps
fifty ^cd++++=fifty
feet ^nns++++=feet
by ^in++++=by
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
things ^nns++++=things
growing ^vwbg+++xvbg+=growing
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
child ^nn++++=child's
's ^vbz+bez+vrb++0=EXTRAWORD
fancy ^jj++++=fancy
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
the ^ati++++=the
choice, ^nn+++??+=choice,--straight
-- ^--+clp+++=EXTRAWORD
straight ^jj+atrb+++=EXTRAWORD
rows ^nns++++=rows
of ^in++++=of
turnips ^nns++++=turnips
and ^cc++++=and
carrots ^nns+++??+=carrots
and ^cc++++=and
beets ^nns+++??+=beets,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
of ^in++++=of
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
might ^md+pos+++=might
say ^vb+vpub+++=say;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
only ^rb+down+++=only
touch ^nn++++=touch
of ^in++++=of
color ^nn++++=color
was ^vbd+bedz+vrb++=was
from ^in++++=from
a ^at++++=a
long ^jj+atrb+++=long
border ^nn++++=border
of ^in++++=of
useful ^jj+atrb+++=useful
sage ^nn++++=sage
in ^in++++=in
full ^jj+atrb+++=full
bloom ^nn++++=bloom
of ^in++++=of
dull ^jj+atrb+++=dull
blue ^nn++++=blue,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
upper ^jjb+atrb+++=upper
side ^nn++++=side.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
Katy ^np++++=Katy's
's ^$++++=EXTRAWORD
or ^cc++++=or
Becky ^np++++=Becky's
's ^$++++=EXTRAWORD
piece ^nn++++=piece
by ^in++++=by
the ^ati++++=the
elder ^jjr+atrb+++=elder
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
family ^nn++++=family.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
can ^md+pos+++=can
imagine ^vb+vprv+++=imagine
how ^wrb+who+whcl++=how
the ^ati++++=the
young ^jj+atrb+++=young
creature ^nn++++=creature
had ^vbd+hvd+aux++=had
planned ^vprf+++xvbnx+=planned
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
persuaded ^vbd+vsua++xvbn+=persuaded
the ^ati++++=the
men ^nns++++=men
to ^in++++=to
plough ^nn++++=plough
and ^cc++++=and
harrow ^np++++=harrow
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^cs+sub+++=since
then ^rn+tm+++=then
had ^vb+hv+aux++=had
stoutly ^rb++splt++=stoutly
done ^vprf+++xvbnx+=done
all ^abn++++=all
the ^ati++++=the
work ^nn++++=work
herself ^ppl+pp3+++=herself,
