Mrs ^npt++++=Mrs.
may ^md+pos+++=may
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
watching ^vbg+++xvbg+=watching
while ^cs+sub+++=while
the ^ati++++=the
tiny ^jj+atrb+++=tiny
bird ^nn++++=bird
chipped ^vbd+++xvbn+=chipped
away ^rp+pl+++=away
the ^ati++++=the
shell ^nn++++=shell
and ^cc++++=and
squeezed ^vbd+++xvbn+=squeezed
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
opening ^jj+++xvbg+=opening
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
even ^rb++++=even
touch ^vb++++=touch
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
the ^ati++++=the
shell ^nn++++=shell
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
well ^rb++++=well
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
always ^rb++++=always
better ^jjr+pred+++=better
for ^in++++=for
children ^nns++++=children
to ^to++++=to
help ^vbi++++=help
themselves ^ppls+pp3+++=themselves
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
makes ^vbz++++=makes
them ^pp3o+pp3+++=them
strong ^jj++++=strong
and ^cc++++=and
fits ^nns++++=fits
them ^pp3o+pp3+++=them
for ^in++++=for
life ^nn++++=life.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
little ^rb++++=little
Red ^jj++++=Red-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
Woodpecker ^np+nom++??+=Woodpecker
had ^vbd+hvd+aux++=had
struggled ^vprf+++xvbnx+=struggled
free ^jj++++=free,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
pieces ^nns++++=pieces
in ^in++++=in
her ^pp$+pp3+++=her
beak ^nn++++=beak
and ^cc++++=and
carried ^vwbn+++xvbn+=carried
them ^pp3o+pp3+++=them
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
nest ^nn++++=nest
before ^in++++=before
dropping ^xvbg+++xvbg+=dropping
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
the ^ati++++=the
easiest ^jjt+atrb+++=easiest
thing ^nn++++=thing
and ^cc++++=and
let ^vb+++xvbn+=let
them ^pp3o+pp3+++=them
fall ^nn++++=fall
by ^in++++=by
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
hollow ^jj+atrb+++=hollow
tree ^nn++++=tree
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
lived ^vbd+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
any ^dti++++=any
prowling ^jj+atrb+++=prowling
Weasel ^nn++++=Weasel
or ^cc++++=or
Blue ^jj+atrb+++=Blue
Jay ^np+++??+=Jay
might ^md+pos+++=might
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
them ^pp3o+pp3+++=them
and ^cc++++=and
watched ^vpsv++agls+xvbn+=watched
for ^in+ppvb+++=for
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
reach ^vbi++++=reach
her ^pp$+pp3+++=her
babies ^nns++++=babies.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+pdem+++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
very ^ql+amp+++=very
sad ^jj++++=sad
for ^in++++=for
the ^ati++++=the
babies ^nns++++=babies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
newly ^rb++++=newly
hatched ^jj+atrb++xvbn+=hatched
bird ^nn++++=bird
was ^vbd+bedz+vrb++=was
a ^at++++=a
tired ^jj+++xvbn+=tired
little ^ap++++=little
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^od++++=first
thing ^nn++++=thing
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
was ^vbd+bedz+aux++=was
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
nap ^nn++++=nap.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
fine ^jj+pred+++=fine
and ^cc++++=and
sunshiny ^nn+++??+=sunshiny.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
down ^rp++++=down
was ^vbd+bedz+vrb++=was
all ^abn++++=all
wet ^jj++++=wet
from ^in++++=from
the ^ati++++=the
moisture ^nn++++=moisture
inside ^in+pl+++=inside
the ^ati++++=the
egg ^nn++++=egg,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can
imagine ^vb+vprv+++=imagine
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt,
, ^zz++++=EXTRAWORD
after ^in++++=after
growing ^nn++++=growing
for ^in++++=for
so ^ql++++=so
long ^rb++++=long
inside ^jjb++++=inside
a ^at++++=a
warm ^jj+atrb+++=warm,
, ^zz++++=EXTRAWORD
snug ^jj+atrb+++=snug
shell ^nn++++=shell,
, ^zz++++=EXTRAWORD
to ^to++++=to
suddenly ^rb++splt++=suddenly
be ^vbi++vrb++=be
without ^in++++=without
it ^pp3+it+++=it
and ^cc++++=and
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
never ^rb++++=never
again ^rb+tm+++=again
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
whole ^jj++++=whole
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
packed ^vpsv++agls+xvbnx+=packed
into ^in++++=into
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
stretching ^vbg+++xvbgx+=stretching
and ^cc+phrs+++=and
growing ^vbg+++xvbg+=growing
every ^at++++=every
minute ^nn++++=minute
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
for ^in++++=for
this ^dt+dem+++=this
reason ^nn++++=reason
that ^tht+ncmp+++=that
the ^ati++++=the
barn ^nn++++=barn-yard
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
people ^nns++++=people
have ^vb+hv+vrb++=have
a ^at++++=a
wise ^jj+atrb+++=wise
saying ^nvbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
hatched ^jj+atrb++xvbn+=hatched
chicken ^nn++++=chicken
never ^rb++++=never
returns ^nns++++=returns
to ^in++++=to
his ^pp$+pp3+++=his
shell ^nn++++=shell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Red ^np++++=Red-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
Woodpecker ^np+nom++??+=Woodpecker
came ^vbd+++xvbn+=came
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
covered ^vbd+++xvbnx+=covered
her ^pp3o+pp3+++=her
shivering ^vbg+++xvbg+=shivering
little ^ap++++=little
one ^pn++++=one
with ^in++++=with
her ^pp$+pp3+++=her
downy ^nn+++??+=downy
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
watched ^vbd+++xvbnx+=watched
for ^in+ppvb+++=for
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^vbz+bez+aux++0=EXTRAWORD
coming ^vbg+++xvbgx+=coming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
how ^wrb+who+++=how
pleased ^jj+++xvbn+=pleased
and ^cc+phrs+++=and
proud ^jj++++=proud
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
baby ^nn++++=baby.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
a ^at++++=a
young ^jj+atrb+++=young
couple ^nn++++=couple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
their ^pp$+pp3+++=their
first ^od++++=first
child ^nn++++=child.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
who ^whp+who+whq++=who
can ^md+pos+++=can
tell ^vb++++=tell
what ^wdt+who+++=what
the ^ati++++=the
other ^ap++++=other
three ^cd++++=three
children ^nns++++=children,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
not ^xnot++not++=not
cracked ^vbd+++xvbn+=cracked
the ^ati++++=the
shell ^nn++++=shell,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
thinking ^vbg+++xvbgx+=thinking?
? ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
they ^pp3a+pp3+++=they
remember ^nn+nom+++=remember
the ^ati++++=the
time ^nn++++=time
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
be ^vbi+vbi+aux++=be?
? ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
they ^pp3a+pp3+++=they
dream ^vb++++=dream
of ^in++++=of
what ^wdt+who+++=what
would ^md+prd+++=would
happen ^vb+++??+=happen
after ^cs+sub+++=after
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
hatched ^vpsv++agls+xvbnx+=hatched?
? ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
they ^pp3a+pp3+++=they
think ^vb+vprv+++=think
at ^rb++++=at
all ^abn++++=all?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
tiny ^jj+pred+++=tiny,
, ^zz++++=EXTRAWORD
weak ^jj+atrb+++=weak
creatures ^nns++++=creatures,
, ^zz++++=EXTRAWORD
curled ^j+++xvbn+=curled
up ^rp++++=up
within ^in++++=within
their ^pp$+pp3+++=their
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
with ^in++++=with
food ^nn++++=food
packed ^vbd+++xvbn+=packed
all ^abn++++=all
around ^rp++++=around
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
streaks ^nns++++=streaks
in ^in++++=in
the ^ati++++=the
yellow ^jj++++=yellow
liquid ^jj++++=liquid
of ^in++++=of
the ^ati++++=the
eggs ^nns++++=eggs.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
leave ^vbi++++=leave
this ^dt+dem+++=this
for ^in++++=for
a ^at++++=a
fuller ^jjr++++=fuller,
, ^zz++++=EXTRAWORD
freer ^nn++++=freer
life ^nn++++=life,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
could ^md+pos+++=could
open ^vb++++=open
their ^pp$+pp3+++=their
bills ^nns++++=bills
and ^cc++++=and
flutter ^nn++++=flutter
their ^pp$+pp3+++=their
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stretch ^nn++++=stretch
their ^pp$+pp3+++=their
legs ^nns++++=legs
and ^cc++++=and
necks ^nns++++=necks.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
quiet ^jj+atrb+++=quiet,
, ^zz++++=EXTRAWORD
sheltered ^jj+atrb++xvbn+=sheltered
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
shell ^nn++++=shell;
; ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
should ^md+nec+++=should
they ^pp3a+pp3+++=they
leave ^vb++++=leave
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
must ^md+nec+++=must
leave ^vb++++=leave
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
healthy ^jj+pred+++=healthy
and ^cc+phrs+++=and
growing ^jj+++xvbg+=growing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
so ^pn++++=so,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
forget ^vb+vprv+++=forget
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
they ^pp3a+pp3+++=they
could ^md+pos+++=could
talk ^vb++++=talk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
very ^ql+amp+++=very
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
all ^abn++++=all
that ^cs+sub+++=that
happened ^vprf+++xvbn+=happened
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
hatched ^vpsv++agls+xvbnx+=hatched.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
you ^pp2+pp2+++=you
can ^md+pos+++=can
never ^rb++splt++=never
get ^vb++++=get
a ^at++++=a
bird ^nn++++=bird
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
about ^in++++=about
while ^cs+sub+++=while
in ^in++++=in
the ^ati++++=the
egg ^nn++++=egg.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
young ^jj+atrb+++=young
Woodpecker ^np+nom+++=Woodpecker's
's ^$++++=EXTRAWORD
three ^cd++++=three
sisters ^nns+nom+++=sisters
reached ^vbd+++xvbn+=reached
the ^ati++++=the
outside ^jjb+atrb+++=outside
world ^nn++++=world,
, ^zz++++=EXTRAWORD
the ^ati++++=the
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept
busy ^jj+atrb+++=busy
hunting ^jj+atrb++xvbg+=hunting
food ^nn++++=food
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
alone ^rb++++=alone
much ^ap++++=much
of ^in++++=of
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
long ^jj++++=long
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
their ^pp$+pp3+++=their
parents ^nns++++=parents'
' ^zz++++=EXTRAWORD
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
open ^jj++++=open,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
mistook ^vbd+++xvbnx+=mistook
the ^ati++++=the
call ^nn++++=call
of ^in++++=of
the ^ati++++=the
Tree ^nn++++=Tree
Frog ^np+++??+=Frog
below ^in+pl+++=below
for ^in++++=for
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
Woodpeckers ^nns+nom++??+=Woodpeckers.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
for ^in++++=for
each ^ppls++++=each
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Ker-r-ruck!
ker ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ruck ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Ker ^np+++??+=Ker-r-ruck!"
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ruck ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
Tree ^nn++++=Tree
Frog ^np+++??+=Frog
was ^vbd+bedz+aux++=was
singing ^vbg+++xvbgx+=singing
in ^in++++=in
his ^pp$+pp3+++=his
home ^nr++++=home
at ^in++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
the ^ati++++=the
four ^cd++++=four
Woodpecker ^np+nom++??+=Woodpecker
children ^nns++++=children,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
nest ^nn++++=nest-hollow
- ^zz++++=EXTRAWORD
hollow ^jj++++=EXTRAWORD
far ^rb+pl+++=far
above ^rb++++=above
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
opening ^vbg+++xvbgx+=opening
their ^pp$+pp3+++=their
bills ^nns++++=bills
and ^cc++++=and
stretching ^nvbg+++xvbg+=stretching
their ^pp$+pp3+++=their
necks ^nns++++=necks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wondering ^vbg+++xvbg+=wondering
why ^wrb+who+++=why
no ^at++++=no
juicy ^nn+++??+=juicy
and ^cc++++=and
delicious ^jj+atrb+++=delicious
morsel ^nn+++??+=morsel
was ^vbd+bedz+aux++=was
dropped ^vpsv++agls+xvbnx+=dropped
down ^rp++++=down
their ^pp$+pp3+++=their
throats ^nns++++=throats.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
open ^jj++++=open
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
much ^ap++++=much
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
thought ^vbd+++xvbnx+=thought
so ^ql++++=so.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
there ^rn+pl+++=there
not ^xnot++not++=not
the ^ati++++=the
hollow ^nn++++=hollow
in ^in++++=in
their ^pp$+pp3+++=their
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
dry ^jj+atrb+++=dry
old ^jj+atrb+++=old
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
a ^at++++=a
hollow ^nn++++=hollow
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
times ^nns++++=times
as ^ql++++=as
high ^jj++++=high
as ^ql++++=as
they ^pp3a+pp3+++=they
could ^md+pos+++=could
reach ^vb++++=reach?
? ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
them ^pp3o+pp3+++=them
how ^wrb+who+++=how
their ^pp$+pp3+++=their
father ^nn++++=father
and ^cc++++=and
