Money ^nn++++=Money
they ^pp3a+pp3+++=they
for ^in++++=for
repartee ^nn+nom+++=repartee?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
ten ^cd++++=ten-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
Treasury ^np++++=Treasury
note ^nn++++=note,
, ^zz++++=EXTRAWORD
series ^nn++++=series
of ^in++++=of
1901 ^cd+date+++=1901.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
one ^pn++++=one
in ^in++++=in
a ^at++++=a
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
On ^in++++=On
my ^pp$+pp1+++=my
face ^nn++++=face,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
bison ^nn+++??+=bison
Americanus ^np+++??+=Americanus,
, ^zz++++=EXTRAWORD
miscalled ^j+++xvbn+=miscalled
a ^at++++=a
buffalo ^nn+++??+=buffalo
by ^in++++=by
fifty ^cd++++=fifty
or ^cc++++=or
sixty ^cd++++=sixty
millions ^cds++++=millions
of ^in++++=of
Americans ^nns+nom+++=Americans.
. ^zz++++=EXTRAWORD
The ^ati++++=The
heads ^nns++++=heads
of ^in++++=of
Capt ^npt++++=Capt.
. ^zz++++=EXTRAWORD
Lewis ^np++++=Lewis
and ^cc++++=and
Capt ^npt++++=Capt.
. ^zz++++=EXTRAWORD
Clark ^np++++=Clark
adorn ^vb++++=adorn
the ^ati++++=the
ends ^nns++++=ends.
. ^zz++++=EXTRAWORD
On ^in++++=On
my ^pp$+pp1+++=my
back ^jjb++++=back
is ^vbz+bez+vrb++=is
the ^ati++++=the
graceful ^jj+atrb+++=graceful
figure ^nn++++=figure
of ^in++++=of
Liberty ^nn++++=Liberty
or ^cc++++=or
Ceres ^np+++??+=Ceres
or ^cc++++=or
Maxine ^np+++??+=Maxine
Elliot ^np++++=Elliot
standing ^vwbg+++xvbg+=standing
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
stage ^nn++++=stage
on ^in++++=on
a ^at++++=a
conservatory ^nn++++=conservatory
plant ^nn++++=plant.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
references ^nns+nom+++=references
is ^vbz+bez+vrb++=is--or
-- ^--+clp+++=EXTRAWORD
or ^cc+cls+++=EXTRAWORD
are ^vb+ber+vrb++=are--Section
-- ^--+clp+++=EXTRAWORD
section ^nn+nom+++=EXTRAWORD
3,588 ^cd++++=3,588,
, ^zz++++=EXTRAWORD
Revised ^jj+atrb++xvbn+=Revised
Statutes ^nns++++=Statutes.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
hard ^jj+atrb+++=hard
dollars ^nns++++=dollars--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
whether ^cs+who+++=whether
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
lead ^nn++++=lead
or ^cc++++=or
iron ^nn++++=iron--Uncle
-- ^--+clp+++=EXTRAWORD
uncle ^npt++++=EXTRAWORD
Sam ^nn++++=Sam
will ^md+prd+++=will
hand ^vb++++=hand
you ^pp2+pp2+++=you
over ^in++++=over
his ^pp$+pp3+++=his
counter ^nn++++=counter
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
cash ^vbi++++=cash
me ^pp1o+pp1+++=me
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
you ^pp2+pp2+++=you
will ^md+prd+++=will
excuse ^vb++++=excuse
any ^dti++++=any
conversational ^jj++++=conversational
breaks ^vbz++++=breaks
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
make ^vb++++=make--thanks,
-- ^--+clp+++=EXTRAWORD
thanks ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
would ^md+prd+++=would--got
-- ^--+clp+++=EXTRAWORD
got ^j+++xvbn+=EXTRAWORD
that ^dt+dem+++=that
sneaking ^jj+atrb+++=sneaking
little ^jj+atrb+++=little
respect ^nn++++=respect
and ^cc++++=and
agreeable ^jj++++=agreeable
feeling ^jj+++xvbg+=feeling
toward ^in++++=toward
even ^rb++++=even
an ^at++++=an
X ^zz++++=X,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
a ^at++++=a
tainted ^jj+atrb++xvbn+=tainted
bill ^nn++++=bill
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
much ^ap++++=much
chance ^nn++++=chance
to ^to+ncmp+++=to
acquire ^vbi++++=acquire
a ^at++++=a
correct ^jj+atrb+++=correct
form ^nn++++=form
of ^in++++=of
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew
a ^at++++=a
really ^rb+emph+++=really
cultured ^jj+atrb++xvbn+=cultured
and ^cc+phrs+++=and
educated ^jj+atrb++xvbn+=educated
person ^nn++++=person
that ^tht+rel+subj++=that
could ^md+pos+++=could
afford ^vb++++=afford
to ^to+vcmp+++=to
hold ^vbi+vprv+++=hold
a ^at++++=a
ten ^cd++++=ten-spot
- ^zz++++=EXTRAWORD
spot ^nn++++=EXTRAWORD
any ^dti++++=any
longer ^rbr++++=longer
than ^in++++=than
it ^pp3+it+++=it
would ^md+prd+++=would
take ^vb++++=take
to ^to+vcmp+++=to
do ^vbi++++=do
an ^at++++=an
Arthur ^np++++=Arthur
Duffy ^np+++??+=Duffy
to ^in++++=to
the ^ati++++=the
nearest ^jjt++++=nearest
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
All ^rb++++=All!
! ^zz++++=EXTRAWORD
sign ^vb++++=sign
or ^cc+phrs+++=or
delicatessen ^vb+++xvbn+=delicatessen
store ^nn++++=store.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
six ^cd++++=six-year-old,
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
a ^at++++=a
lively ^jj+atrb+++=lively
and ^cc+phrs+++=and
gorgeous ^jj+atrb+++=gorgeous
circulation ^nn+nom+++=circulation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
paid ^vprf+++xvbnx+=paid
as ^ql++++=as
many ^ap++++=many
debts ^nns++++=debts
as ^in++++=as
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
dies ^vbz++++=dies.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
owned ^vpsv++by+xvbnx+=owned
by ^in++++=by
a ^ap++++=a
good ^ap"++++=good
many ^ap"++++=many
kinds ^nns++++=kinds
of ^in++++=of
people ^nns++++=people.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^rb++++=a
little ^rb"++++=little
old ^jj++++=old
ragged ^jj++++=ragged,
, ^zz++++=EXTRAWORD
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
dingy ^jj++++=dingy
five ^cd++++=five-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
silver ^nn++++=silver
certificate ^nn+nom+++=certificate
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
jar ^nn++++=jar
one ^cd1++++=one
day ^nn++++=day.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
next ^in+cmpx+++=next
to ^in"++++=to
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
fat ^nn++++=fat
and ^cc++++=and
bad ^jj++++=bad-smelling
- ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=EXTRAWORD
purse ^nn++++=purse
of ^in++++=of
a ^at++++=a
butcher ^nn++++=butcher.
. ^zz++++=EXTRAWORD
" ^zz++++="Hey,
hey ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
Sitting ^vbg+++xvbg+=Sitting
Bull ^np++++=Bull,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
scrouge ^nn+++??+=scrouge
so ^ql++++=so.
. ^zz++++=EXTRAWORD
Anyhow ^rb+cnj+++=Anyhow,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
about ^in++++=about
time ^nn++++=time
you ^pp2+pp2+++=you
went ^vbd+++xvbn+=went
in ^in++++=in
on ^in++++=on
a ^at++++=a
customs ^nns++++=customs
payment ^nn+nom+++=payment
and ^cc++++=and
got ^vbd+++xvbn+=got
reissued ^vbd+++xvbn+=reissued?
? ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
series ^nn++++=series
of ^in++++=of
1899 ^cd+date+++=1899
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
sight ^nn++++=sight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
crackly ^rb++++=crackly
just ^rb+emph+++=just
because ^cs+cos+++=because
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
Buffalo ^np+++??+=Buffalo
bill ^nn++++=bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
fiver ^nn++++=fiver.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+vrb++=be
limp ^jj+pred+++=limp,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
stuffed ^vpsv++agls+xvbnx+=stuffed
down ^rp++++=down
in ^in++++=in
a ^at++++=a
thick ^jj+atrb+++=thick
cotton ^nn++++=cotton-and-lisle-thread
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
lisle ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
thread ^nn++++=EXTRAWORD
under ^in++++=under
an ^at++++=an
elastic ^jj++++=elastic
all ^abn++++=all
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
thermometer ^nn+nom+++=thermometer
not ^xnot++not++=not
a ^at++++=a
degree ^nn++++=degree
under ^in++++=under
85 ^cd++++=85
in ^in++++=in
the ^ati++++=the
store ^nn++++=store."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
a ^at++++=a
pocketbook ^nn+++??+=pocketbook
like ^in++++=like
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
carried ^vwbn+++xvbn+=carried
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
shopgirl ^nn+++??+=shopgirl,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
five ^cd++++=five-spot.
- ^zz++++=EXTRAWORD
spot ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
ask ^vb++++=ask.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
never ^rb++splt++=never
know ^vb+vprv+++=know
till ^in++++=till
their ^pp$+pp3+++=their
millennium ^nn++++=millennium
comes ^vbz++++=comes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
fiver ^nn++++=fiver.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
then ^rn+tm+++=then
a ^at++++=a
two ^cd++++=two-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
bill ^nn++++=bill
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
George ^np++++=George
Washington ^np++++=Washington
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
spoke ^j+++xvbn+=spoke
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
fiver ^jjr++++=fiver:
: ^zz++++=EXTRAWORD
" ^zz++++="Aw,
aw ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
out ^rp+pl+++=out
yer ^pp$++++=yer
kicks ^nns++++=kicks.
. ^zz++++=EXTRAWORD
Ai ^vb+be+++=Ain't
n't ^xnot++not++0=EXTRAWORD
lisle ^np++++=lisle
thread ^nn++++=thread
good ^jj++++=good
enough ^dt++++=enough
for ^in++++=for
yer ^pp$++++=yer?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
was ^vbd+bedz+vrb++=was
under ^in++++=under
all ^abn++++=all
cotton ^np++++=cotton
like ^in++++=like
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
to ^to++++=to-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
choked ^vbd+++xvbn+=choked
up ^rb+phrv+++=up
with ^in+ppvb+++=with
factory ^nn++++=factory
dust ^nn++++=dust
till ^cs+sub+++=till
the ^ati++++=the
lady ^nn++++=lady
with ^in++++=with
the ^ati++++=the
cornucopia ^nn++++=cornucopia
on ^in++++=on
me ^pp1o+pp1+++=me
sneezed ^vbd+++xvbn+=sneezed
half ^rb++++=half
a ^at++++=a
dozen ^cd++++=dozen
times ^nns++++=times,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
have ^vb+hv+vrb++=have
some ^dti++++=some
reason ^nn++++=reason
to ^to++++=to
complain ^vbi+vpub+++=complain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
arrived ^vbd+++xvbnx+=arrived
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
in ^in++++=in
a ^at++++=a
$ ^zz++++=$500
500 ^cd++++=EXTRAWORD
package ^nn+nom+++=package
of ^in++++=of
tens ^cds++++=tens
to ^in++++=to
a ^at++++=a
Brooklyn ^np+++??+=Brooklyn
bank ^nn++++=bank
from ^in++++=from
one ^pn++++=one
of ^in++++=of
its ^pp$+it+++=its
Pennsylvania ^np+++??+=Pennsylvania
correspondents ^nns++++=correspondents--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
made ^vbd+++xvbn+=made
the ^ati++++=the
acquaintance ^nn+nom+++=acquaintance
of ^in++++=of
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
and ^cc++++=and
two ^cd++++=two
spot ^nn++++=spot's
's ^$++++=EXTRAWORD
friends ^nns++++=friends'
' ^zz++++=EXTRAWORD
pocketbooks ^nns+++??+=pocketbooks
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Silk ^nn++++=Silk
for ^in++++=for
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
every ^at++++=every
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
lucky ^jj+atrb+++=lucky
money ^nn++++=money.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
on ^rb+phrv+++=on
the ^ati++++=the
move ^nn++++=move.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
I ^pp1a+pp1+++=I
changed ^vbd+++xvbnx+=changed
hands ^nns++++=hands
twenty ^cd++++=twenty
times ^nns++++=times
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
inside ^nn++++=inside
of ^in++++=of
every ^at++++=every
business ^nns+nom+++=business;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fought ^vbd+++xvbnx+=fought
for ^in++++=for
my ^pp$+pp1+++=my
owner ^nn++++=owner's
's ^$++++=EXTRAWORD
every ^at++++=every
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
on ^rp++++=on
Saturday ^nr++++=Saturday
nights ^nns++++=nights
I ^pp1a+pp1+++=I
never ^rb++++=never
missed ^vprf+++xvbn+=missed
being ^xvbg+++xvbg+=being
slapped ^vbd+++xvbn+=slapped
down ^rp++++=down
on ^in++++=on
a ^at++++=a
bar ^nn++++=bar.
. ^zz++++=EXTRAWORD
Tens ^cds++++=Tens
were ^vbd+bed+aux++=were
always ^rb++splt++=always
slapped ^vpsv++agls+xvbnx+=slapped
down ^rp++++=down,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
ones ^cd1s++++=ones
and ^cc++++=and
twos ^cds++++=twos
were ^vbd+bed+aux++=were
slid ^vpsv++agls+xvbnx+=slid
over ^in++++=over
to ^in++++=to
the ^ati++++=the
bartenders ^nns+nom+++=bartenders
folded ^vbd+++xvbn+=folded.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
in ^rb+phrv+++=in
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
looking ^nn++++=looking
for ^in++++=for
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
managed ^vbd+++xvbnx+=managed
to ^to+vcmp+++=to
soak ^vb+++??+=soak
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
straight ^jj++++=straight
or ^cc++++=or
some ^dti++++=some
spilled ^jj+++xvbn+=spilled
Martini ^np+++??+=Martini
or ^cc++++=or
Manhattan ^np+nom++??+=Manhattan
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
tied ^vbd+++xvbn+=tied
up ^rp++++=up
in ^in++++=in
a ^at++++=a
great ^jj+atrb+++=great
greasy ^jj+atrb+++=greasy
roll ^nn++++=roll
of ^in++++=of
bills ^nns++++=bills
in ^in++++=in
a ^at++++=a
pushcart ^nn+++??+=pushcart
peddler ^jjr+atrb+++=peddler's
's ^vbz+bez+vrb++0=EXTRAWORD
jeans ^nns++++=jeans.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++=I
never ^rb++++=never
would ^md+prd+++=would
get ^vb++++=get
in ^rb+phrv+++=in
circulation ^nn+nom+++=circulation
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
future ^jjb+atrb+++=future
department ^nn+nom+++=department
store ^nn++++=store
owner ^nn++++=owner
lived ^vbd+++xvbn+=lived
on ^in++++=on
eight ^cd++++=eight
cents ^nns++++=cents'
' ^zz++++=EXTRAWORD
worth ^in++++=worth
of ^in++++=of
dog ^nn++++=dog
meat ^nn++++=meat
and ^cc++++=and
onions ^nns++++=onions
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
peddler ^jjr++++=peddler
got ^vbd+++xvbn+=got
into ^in+ppvb+++=into
trouble ^nn++++=trouble
one ^cd1++++=one
day ^nn++++=day
on ^in++++=on
account ^nn++++=account
of ^in++++=of
having ^xvbg+++xvbg+=having
his ^pp$+pp3+++=his
cart ^np++++=cart
too ^ql++++=too
near ^in+pl+++=near
a ^at++++=a
crossing ^nvbg+++xvbg+=crossing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
rescued ^vpsv++agls+xvbnx+=rescued.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
will ^md+prd+++=will
feel ^vb+vprv+++=feel
grateful ^jj++++=grateful
to ^to+jcmp+++=to
the ^ati++++=the
cop ^nn++++=cop
that ^tht+rel+subj++=that
got ^vprf+++xvbn+=got
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
changed ^vbd+++xvbnx+=changed
me ^pp1o+pp1+++=me
at ^in++++=at
a ^at++++=a
cigar ^nn++++=cigar
store ^nn++++=store
near ^in+pl+++=near
the ^ati++++=the
Bowery ^np++++=Bowery
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running
a ^at++++=a
crap ^nn++++=crap
game ^nn++++=game
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
room ^nn++++=room.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Captain ^nn++++=Captain
of ^in++++=of
the ^ati++++=the
precinct ^npl++++=precinct,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
did ^vbd+dod+vrb++=did
me ^pp1o+pp1+++=me
the ^ati++++=the
best ^jjt+atrb+++=best
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
