We ^pp1a+pp1+++=We
flabby ^jj+atrb+++=flabby
pale ^nn++++=pale
face ^nn++++=face,
, ^zz++++=EXTRAWORD
thick ^jj++++=thick,
, ^zz++++=EXTRAWORD
wet ^jj++++=wet,
, ^zz++++=EXTRAWORD
crimson ^nn+++??+=crimson
hanging ^vwbg+++xvbg+=hanging
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
an ^at++++=an
idiot ^nn++++=idiot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bearded ^jj+atrb+++=bearded
peasant ^nn+nom+++=peasant
pushed ^vwbn+++xvbn+=pushed
the ^ati++++=the
chair ^nn++++=chair
past ^nn++++=past
us ^pp1o+pp1+++=us
and ^cc++++=and
disappeared ^vbd+seem++xvbn+=disappeared
down ^rp++++=down
a ^at++++=a
side ^nn++++=side
path ^nn++++=path.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
as ^ql++++=as
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
that ^dt+dem+++=that
the ^ati++++=the
enormous ^jj++++=enormous
sharp ^jj++++=sharp-pointed
- ^zz++++=EXTRAWORD
pointed ^vbd+++xvbn+=EXTRAWORD
head ^jjb++++=head
of ^in++++=of
the ^ati++++=the
boy ^nn++++=boy
moved ^vbd+++xvbn+=moved
from ^in++++=from
side ^nn++++=side
to ^in++++=to
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
at ^rb++++=at
each ^dt++++=each
movement ^nn+nom+++=movement
of ^in++++=of
the ^ati++++=the
chair ^nn++++=chair
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell
towards ^in++++=towards
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
or ^cc++++=or
dropped ^vbd+++xvbn+=dropped
helplessly ^rb++++=helplessly
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
man ^nn++++=man!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
my ^pp$+pp1+++=my
companion ^nn++++=companion
in ^in++++=in
a ^at++++=a
gentle ^jj+atrb+++=gentle
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
such ^abl++++=such
deep ^jj+atrb+++=deep
and ^cc+phrs+++=and
sincere ^jj+atrb+++=sincere
sympathy ^nn++++=sympathy
in ^in++++=in
his ^pp$+pp3+++=his
words ^nns++++=words
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
involuntarily ^rb++++=involuntarily
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
in ^in++++=in
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
Zimina ^np+++??+=Zimina
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
good ^jj++++=good-natured,
- ^zz++++=EXTRAWORD
natured ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
jolly ^jj+atrb+++=jolly,
, ^zz++++=EXTRAWORD
virile ^jj+atrb+++=virile
type ^nn++++=type
of ^in++++=of
man ^nn++++=man
serving ^vwbg+++xvbg+=serving
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
regiments ^nns+nom+++=regiments
quartered ^vprf+++xvbn+=quartered
in ^in++++=in
our ^pp$+pp1+++=our
town ^nn++++=town.
. ^zz++++=EXTRAWORD
To ^to++++=To
tell ^vbi++++=tell
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
expected ^vprf+++xvbnx+=expected
from ^in++++=from
him ^pp3o+pp3+++=him
such ^abl++++=such
sincere ^jj+atrb+++=sincere
compassion ^nn++++=compassion
towards ^in++++=towards
a ^at++++=a
stranger ^jjr+atrb+++=stranger's
's ^vbz+bez+vrb++0=EXTRAWORD
misfortune ^nn++++=misfortune.
. ^zz++++=EXTRAWORD
" ^zz++++="Poor,
poor ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
call ^nn++++=call
him ^pp3o+pp3+++=him
a ^at++++=a
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
wishing ^vbg+++xvbg+=wishing
to ^to+vcmp+++=to
get ^vbi++++=get
into ^in+ppvb+++=into
conversation ^nn+nom+++=conversation
with ^in++++=with
Zimina ^np+++??+=Zimina.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
he ^pp3a+pp3+++=he
in ^in++++=in
his ^pp$+pp3+++=his
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
difficult ^jj++++=difficult
to ^to+jcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
surely ^rb++++=surely
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
clear ^jj++++=clear
to ^in++++=to
everybody.. ^nn+++??+=everybody....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
An ^at++++=An
idiot ^nn++++=idiot
has ^vbz+hvz+vrb++=has
none ^rb++++=none
of ^in++++=of
the ^ati++++=the
higher ^jjr+atrb+++=higher
impulses ^nns++++=impulses
and ^cc++++=and
virtues ^nns++++=virtues
which ^whp+rel+subj++=which
distinguish ^vb++++=distinguish
man ^nn++++=man
from ^in++++=from
the ^ati++++=the
animal ^nn++++=animal
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
no ^at++++=no
reason ^nn++++=reason
or ^cc++++=or
speech ^nn++++=speech
or ^cc++++=or
will.. ^nn+++??+=will....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
dog ^nn++++=dog
or ^cc++++=or
a ^at++++=a
cat ^nn++++=cat
possesses ^nns+nom+++=possesses
these ^dt+dem+++=these
qualities ^nns+nom+++=qualities
in ^in++++=in
a ^at++++=a
much ^ap++++=much
higher ^jjr+atrb+++=higher
degree... ^nn+++??+=degree...."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Zimina ^np+++??+=Zimina
interrupted ^vbd+++xvbn+=interrupted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Pardon
pardon ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
please ^uh++++=please,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
deeply ^rb++splt++=deeply
convinced ^vpsv++agls+xvbnx+=convinced,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
idiots ^nns+++??+=idiots
are ^vb+ber+vrb++=are
not ^xnot++not++=not
lacking ^jj+++xvbg+=lacking
in ^in++++=in
human ^jj+atrb+++=human
instincts ^nns++++=instincts.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
instincts ^nns++++=instincts
are ^vb+ber+aux++=are
only ^rb+down+splt++=only
clouded ^vpsv++agls+xvbnx+=clouded
over ^in+strn+++=over
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
exist ^vb++++=exist
deep ^jj++++=deep
below ^rb++++=below
their ^pp$+pp3+++=their
animal ^nn++++=animal
feelings ^nns+nom+++=feelings.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
once ^rb+tm+++=once
had ^vb+hv+vrb++=had
an ^at++++=an
experience ^nn+nom+++=experience
which ^whp+rel+subj++=which
gives ^vbz++++=gives
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
say ^vbi+vpub+tht0++=say
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remembrance ^nn+nom+++=remembrance
of ^in++++=of
it ^pp3+it+++=it
will ^md+prd+++=will
never ^rb++++=never
leave ^nn++++=leave
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
time ^nn++++=time
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
such ^abl++++=such
an ^at++++=an
afflicted ^jj+atrb++xvbn+=afflicted
person ^nn++++=person
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
touched ^vbd+++xvbn+=touched
almost ^rb+hdg+++=almost
to ^in++++=to
tears.. ^nn+++??+=tears....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
allow ^vb++++=allow
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
why ^wrb+who+++=why
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
an ^at++++=an
idiot ^nn++++=idiot
moves ^nns++++=moves
me ^pp1o+pp1+++=me
to ^in++++=to
such ^abl++++=such
compassion ^nn++++=compassion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hastened ^vbd+++xvbnx+=hastened
to ^to++++=to
beg ^vbi++++=beg
him ^pp3o+pp3+++=him
to ^to++++=to
tell ^vbi++++=tell
his ^pp$+pp3+++=his
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
year ^nn++++=year
18 ^cd++++=18
, ^zz++++=,
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
autumn ^nn++++=autumn,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
Petersburg ^np++++=Petersburg
to ^to++++=to
sit ^vbi++++=sit
for ^in++++=for
an ^at++++=an
examination ^nn+nom+++=examination
at ^in++++=at
the ^ati++++=the
Academy ^nn++++=Academy
of ^in++++=of
the ^ati++++=the
General ^jj+atrb+++=General
Staff ^nn++++=Staff.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stopped ^vbd+++xvbnx+=stopped
in ^in++++=in
the ^ati++++=the
first ^od++++=first
hotel ^npl++++=hotel
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
Nevsky ^np+++??+=Nevsky
Prospect ^nn++++=Prospect
and ^cc++++=and
the ^ati++++=the
Fontanka ^np+++??+=Fontanka.
. ^zz++++=EXTRAWORD
From ^in++++=From
my ^pp$+pp1+++=my
windows ^nns++++=windows
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
bronze ^jj+atrb+++=bronze
horses ^nns++++=horses
on ^in++++=on
the ^ati++++=the
parapet ^nn+++??+=parapet
of ^in++++=of
the ^ati++++=the
Anitchka ^np+++??+=Anitchka
Bridge ^nn++++=Bridge
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
always ^rb++++=always
wet ^jj+pred+++=wet
and ^cc+phrs+++=and
gleaming ^jj+++xvbg+=gleaming
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
covered ^vpsv++agls+xvbnx+=covered
over ^in++++=over
with ^in++++=with
new ^jj+atrb+++=new
oilcloth ^nn+++??+=oilcloth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
often ^rb++++=often
drew ^vbd+++xvbn+=drew
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
marble ^nn++++=marble
window ^nn++++=window-seats
- ^zz++++=EXTRAWORD
seats ^nns++++=EXTRAWORD
of ^in++++=of
my ^pp$+pp1+++=my
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="Petersburg
petersburg ^np++++=EXTRAWORD
struck ^vbd+++xvbn+=struck
me ^pp1o+pp1+++=me
as ^in++++=as
an ^at++++=an
unpleasant ^jj+atrb+++=unpleasant
place ^nn++++=place,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
always ^rb++splt++=always
enveloped ^vpsv++agls+xvbnx+=enveloped
in ^in++++=in
a ^at++++=a
melancholy ^jj+atrb+++=melancholy
grey ^np++++=grey
veil ^nn++++=veil
of ^in++++=of
drizzling ^xvbg+++xvbg+=drizzling
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
Academy ^nn++++=Academy
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
overwhelmed ^vpsv++agls+xvbnx+=overwhelmed
and ^cc+phrs+++=and
overawed ^vpsv++by+xvbn+=overawed
by ^in++++=by
its ^pp$+it+++=its
grandeur ^nn++++=grandeur.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
now ^rn+tm+++=now
its ^pp$+it+++=its
immense ^jj+atrb+++=immense
broad ^jj+atrb+++=broad
staircase ^nn++++=staircase
with ^in++++=with
marble ^nn++++=marble
balustrades ^nns+++??+=balustrades,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
high ^jj++++=high-roofed
- ^zz++++=EXTRAWORD
roofed ^xvbn+++xvbn+=EXTRAWORD
amphilades ^nns+++??+=amphilades,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
severely ^rb++++=severely
proportioned ^vbd+++xvbn+=proportioned
lecture ^nn++++=lecture-hall,
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
waxed ^vbd+++xvbn+=waxed
parquet ^nn+++??+=parquet
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
gleaming ^vbg+++xvbg+=gleaming
like ^in++++=like
a ^at++++=a
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
which ^whp+rel+pied++=which
my ^pp$+pp1+++=my
provincial ^jj+atrb+++=provincial
feet ^nns++++=feet
stepped ^vbd+++xvbn+=stepped
warily ^rb++++=warily.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
four ^cd++++=four
hundred ^cd++++=hundred
officers ^nns+nom+++=officers
there ^rn+pl+++=there
that ^dt+dem+++=that
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Against ^in++++=Against
the ^ati++++=the
modest ^jj+atrb+++=modest
background ^nn++++=background
of ^in++++=of
green ^jj+atrb+++=green
Armenian ^np+++??+=Armenian
uniforms ^nns++++=uniforms
there ^ex+pex+++=there
flashed ^vbd+++xvbn+=flashed
the ^ati++++=the
clattering ^jj+atrb++xvbg+=clattering
swords ^nns++++=swords
of ^in++++=of
the ^ati++++=the
Cuirassiers ^nns+nom++??+=Cuirassiers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scarlet ^jj+atrb+++=scarlet
breasts ^nns++++=breasts
of ^in++++=of
the ^ati++++=the
Lancers ^nns+nom++??+=Lancers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
white ^jj+atrb+++=white
jackets ^nns++++=jackets
of ^in++++=of
the ^ati++++=the
Cavalry ^nn++++=Cavalry
Guards ^nns++++=Guards,
, ^zz++++=EXTRAWORD
waving ^vbg+++xvbg+=waving
plumes ^nns+++??+=plumes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gold ^nn++++=gold
of ^in++++=of
eagles ^nns++++=eagles
on ^in++++=on
helmets ^nns++++=helmets,
, ^zz++++=EXTRAWORD
the ^ati++++=the
various ^jj+atrb+++=various
colours ^nns++++=colours
of ^in++++=of
facings ^nns++++=facings,
, ^zz++++=EXTRAWORD
the ^ati++++=the
silver ^nn++++=silver
of ^in++++=of
swords ^nns++++=swords.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
officers ^nns+nom+++=officers
were ^vbd+bed+vrb++=were
all ^abn++++=all
my ^pp$+pp1+++=my
rivals ^nns++++=rivals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
them ^pp3o+pp3+++=them
in ^in++++=in
pride ^nn++++=pride
and ^cc++++=and
agitation ^nn+nom+++=agitation
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
at ^rb++++=at
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
supposed ^vbd+vprv+tht0+xvbnx+=supposed
my ^pp$+pp1+++=my
moustache ^nn++++=moustache
would ^md+prd+++=would
grow ^vb++++=grow
by ^in++++=by
and ^cc++++=and
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
busy ^jj+atrb+++=busy
colonel ^nn++++=colonel
of ^in++++=of
the ^ati++++=the
General ^jj+atrb+++=General
Staff ^nn++++=Staff,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
portfolio ^nn++++=portfolio
