With ^in++++=With
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
spirits ^nns++++=spirits
as ^in++++=as
bright ^nn++++=bright
as ^in++++=as
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
exactly ^rb++++=exactly
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
smiling ^nvbg+++xvbg+=smiling;
; ^zz++++=EXTRAWORD
an ^at++++=an
air ^nn++++=air
of ^in++++=of
happiness ^nns+nom+++=happiness
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
pervade ^vbi+++??+=pervade
everything ^pn++++=everything
in ^in++++=in
the ^ati++++=the
warm ^jj++++=warm
light ^jj++++=light
of ^in++++=of
returning ^nn++++=returning
spring ^vb++++=spring.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
might ^md+pos+++=might
almost ^rb+hdg+++=almost
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
that ^tht+vcmp+++=that
a ^at++++=a
breeze ^nn++++=breeze
of ^in++++=of
love ^nn++++=love
was ^vbd+bedz+aux++=was
blowing ^vbg+++xvbgx+=blowing
through ^in++++=through
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
young ^jj+atrb+++=young
women ^nns++++=women
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets
in ^in++++=in
their ^pp$+pp3+++=their
morning ^nn++++=morning
toilets ^nns+nom+++=toilets,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
depths ^nns++++=depths
of ^in++++=of
whose ^whp+rel+pied++=whose
eyes ^nns++++=eyes
there ^ex+pex+++=there
lurked ^vprf+++xvbn+=lurked
a ^at++++=a
hidden ^jj+atrb++xvbn+=hidden
tenderness ^nns+nom+++=tenderness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
walked ^vbd+++xvbn+=walked
with ^in++++=with
languid ^jj+atrb+++=languid
grace ^nn++++=grace,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
my ^pp$+pp1+++=my
heart ^nn++++=heart
with ^in++++=with
agitation ^nn+nom+++=agitation.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
knowing ^xvbg+++xvbg+=knowing
how ^wrb+who+whcl++=how
or ^cc+cls+++=or
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Seine ^nn++++=Seine.
. ^zz++++=EXTRAWORD
Steamboats ^np+++??+=Steamboats
were ^vbd+bed+aux++=were
starting ^vbg+++xvbgx+=starting
for ^in++++=for
Suresnes ^np+++??+=Suresnes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suddenly ^rb++++=suddenly
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
seized ^vpsv++by+xvbnx+=seized
by ^in++++=by
an ^at++++=an
unconquerable ^jj+atrb+++=unconquerable
desire ^nn++++=desire
to ^to+ncmp+++=to
take ^vbi++++=take
a ^at++++=a
walk ^nn++++=walk
through ^rp++++=through
the ^ati++++=the
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
The ^ati++++=The
deck ^nn++++=deck
of ^in++++=of
the ^ati++++=the
Mouche ^np+++??+=Mouche
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
passengers ^nns+nom+++=passengers,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
sun ^nn++++=sun
in ^in++++=in
early ^nn++++=early
spring ^vb++++=spring
draws ^vbz++++=draws
one ^cd1++++=one
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everybody ^pn++++=everybody
moves ^vbz++++=moves
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
goes ^vbz++++=goes
and ^cc+phrs+++=and
comes ^vbz++++=comes
and ^cc++++=and
talks ^nns++++=talks
to ^in++++=to
his ^pp$+pp3+++=his
neighbor ^nn++++=neighbor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
girl ^nn++++=girl
neighbor ^nn++++=neighbor;
; ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
work ^nn++++=work-girl,
- ^zz++++=EXTRAWORD
girl ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
true ^jj+atrb+++=true
Parisian ^jj+atrb+++=Parisian
charm ^nn++++=charm:
: ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
with ^in++++=with
light ^nn++++=light
curly ^jj+atrb+++=curly
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
looked ^vbd+++xvbn+=looked
like ^in++++=like
a ^at++++=a
shimmer ^nn++++=shimmer
of ^in++++=of
light ^nn++++=light
as ^ql++++=as
it ^pp3+it+++=it
danced ^vbd+++xvbn+=danced
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
down ^rp++++=down
to ^in++++=to
her ^pp$+pp3+++=her
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
descended ^vpsv++agls+xvbn+=descended
to ^in++++=to
the ^ati++++=the
nape ^nn++++=nape
of ^in++++=of
her ^pp$+pp3+++=her
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
such ^abl++++=such
fine ^jj++++=fine,
, ^zz++++=EXTRAWORD
lightcolored ^j+++xvbn+=lightcolored
clown ^vwbn+++xvbn+=clown
that ^dt+dem+++=that
one ^cd1++++=one
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
see ^vb+vprv+++=see
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
felt ^vbd+vprv++xvbn+=felt
an ^at++++=an
irresistible ^jj+atrb+++=irresistible
desire ^nn++++=desire
to ^to+ncmp+++=to
shower ^vb++++=shower
kisses ^nns++++=kisses
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
my ^pp$+pp1+++=my
persistent ^jj+atrb+++=persistent
gaze ^nn++++=gaze,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head
toward ^in++++=toward
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
immediately ^rb+tm+++=immediately
looked ^vbd+++xvbn+=looked
down ^rp++++=down,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
slight ^jj+atrb+++=slight
crease ^nn++++=crease
at ^in++++=at
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
her ^pp$+pp3+++=her
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
break ^vbi++++=break
out ^rp+pl+++=out
into ^in++++=into
a ^at++++=a
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
also ^rb++++=also
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
fine ^jj++++=fine,
, ^zz++++=EXTRAWORD
silky ^jj++++=silky,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
down ^rp++++=down
which ^whp+who+++=which
the ^ati++++=the
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
gilding ^vbg+++xvbgx+=gilding
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
The ^ati++++=The
calm ^nn++++=calm
river ^nn++++=river
grew ^vbd+++xvbn+=grew
wider ^jjr++++=wider;
; ^zz++++=EXTRAWORD
the ^ati++++=the
atmosphere ^nn++++=atmosphere
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm
and ^cc++++=and
perfectly ^rb+amp+++=perfectly
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
murmur ^nn++++=murmur
of ^in++++=of
life ^nn++++=life
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
fill ^vbi++++=fill
all ^abn++++=all
space ^nn++++=space.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
neighbor ^nn++++=neighbor
raised ^vbd+++xvbn+=raised
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled
decidedly ^rb++++=decidedly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
charming ^vbg+++xvbgx+=charming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
her ^pp$+pp3+++=her
passing ^vbg+++xvbg+=passing
glance ^nn++++=glance
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
thousand ^cd++++=thousand
things ^nns++++=things,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
hitherto ^rb++splt++=hitherto
been ^vprf+ben+vrb+xvbnx+=been
ignorant ^jj++++=ignorant
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
perceived ^vbd+vprv++xvbnx+=perceived
unknown ^jj+atrb+++=unknown
depths ^nns++++=depths,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
charm ^nn++++=charm
of ^in++++=of
tenderness ^nns+nom+++=tenderness,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
poetry ^nn++++=poetry
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
dream ^nn++++=dream
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
happiness ^nns+nom+++=happiness
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
continually ^rb++++=continually
in ^in++++=in
search ^in"++++=search
of ^in"++++=of.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
an ^at++++=an
insane ^jj++++=insane
longing ^vb+++xvbg+=longing
to ^to+vcmp+++=to
open ^vbi++++=open
my ^pp$+pp1+++=my
arms ^nns++++=arms
and ^cc++++=and
to ^to++++=to
carry ^vbi++++=carry
her ^pp$+pp3+++=her
off ^in+pl+++=off
somewhere ^rb+cnj+++=somewhere,
, ^zz++++=EXTRAWORD
so ^rb++++=so
as ^in++++=as
to ^in++++=to
whisper ^nn++++=whisper
the ^ati++++=the
sweet ^jj+atrb+++=sweet
music ^nn++++=music
of ^in++++=of
words ^nns++++=words
of ^in++++=of
love ^nn++++=love
into ^in++++=into
her ^pp$+pp3+++=her
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
about ^rb++++=about
to ^in++++=to
address ^nns+nom+++=address
her ^pp$+pp3+++=her
when ^wrb+who+++=when
somebody ^pn++++=somebody
touched ^vbd+++xvbn+=touched
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
round ^rb+phrv+++=round
in ^in++++=in
some ^dti++++=some
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
an ^at++++=an
ordinary ^jj++++=ordinary-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither
young ^jj++++=young
nor ^cc+phrs+neg++=nor
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
gazed ^vbd+++xvbn+=gazed
at ^rb++++=at
me ^pp1o+pp1+++=me
sadly ^rb++++=sadly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
speak ^vbi++++=speak
to ^in++++=to
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
a ^at++++=a
grimace ^nn++++=grimace,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
no ^at++++=no
doubt ^nn++++=doubt
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added:
: ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
importance ^nn+nom+++=importance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
up ^rp++++=up,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat
and ^cc++++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Monsieur,
monsieur ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
winter ^nn++++=winter
comes ^vbz++++=comes,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
wet ^jj+atrb+++=wet
and ^cc+phrs+++=and
snowy ^jj+atrb+++=snowy
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
doctor ^nn++++=doctor
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
you ^pp2+pp2+++=you
constantly ^rb++++=constantly:
: ^zz++++=EXTRAWORD
' ^zz++++='Keep
keep ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
feet ^nns++++=feet
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
guard ^vb++++=guard
against ^in++++=against
chills ^nns+++??+=chills,
, ^zz++++=EXTRAWORD
colds ^nns++++=colds,
, ^zz++++=EXTRAWORD
bronchitis ^nn++++=bronchitis,
, ^zz++++=EXTRAWORD
rheumatism ^nn+nom+++=rheumatism
and ^cc++++=and
pleurisy ^nn++++=pleurisy.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
careful ^jj++++=careful,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
wear ^vb++++=wear
flannel ^nn++++=flannel,
, ^zz++++=EXTRAWORD
a ^at++++=a
heavy ^jj+atrb+++=heavy
greatcoat ^nn+++??+=greatcoat
and ^cc++++=and
thick ^jj+atrb+++=thick
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
this ^dt+pdem+++=this
does ^vbz+doz+aux++=does
not ^xnot++not++=not
prevent ^vb++++=prevent
you ^pp2+pp2+++=you
from ^in++++=from
passing ^xvbg+++xvbg+=passing
two ^cd++++=two
months ^nns++++=months
in ^in++++=in
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
spring ^vb++++=spring
returns ^nns++++=returns,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
leaves ^nns++++=leaves
and ^cc++++=and
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
warm ^jj+atrb+++=warm,
, ^zz++++=EXTRAWORD
soft ^jj+atrb+++=soft
breezes ^nns++++=breezes
and ^cc++++=and
its ^pp$+it+++=its
smell ^nn++++=smell
of ^in++++=of
the ^ati++++=the
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
causes ^vbz++++=causes
you ^pp2+pp2+++=you
vague ^jj+atrb+++=vague
disquiet ^nn+++??+=disquiet
and ^cc++++=and
causeless ^jj+atrb+++=causeless
emotion ^nn+nom+++=emotion,
, ^zz++++=EXTRAWORD
nobody ^pn++++=nobody
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
you ^pp2+pp2+++=you:
: ^zz++++=EXTRAWORD
" ^zz++++="'Monsieur,
' ^zz++++=EXTRAWORD
monsieur ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
beware ^vb++++=beware
of ^in++++=of
love ^nn++++=love!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
lying ^vbg+++xvbgx+=lying
in ^in++++=in
ambush ^nn+++??+=ambush
everywhere ^rb++++=everywhere;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
watching ^vbg+++xvbgx+=watching
for ^in+ppvb+++=for
you ^pp2+pp2+++=you
at ^in++++=at
every ^at++++=every
corner ^nn++++=corner;
; ^zz++++=EXTRAWORD
all ^abn++++=all
its ^pp$+it+++=its
snares ^nns++++=snares
are ^vb+ber+aux++=are
laid ^vpsv++agls+xvbnx+=laid,
, ^zz++++=EXTRAWORD
all ^abn++++=all
its ^pp$+it+++=its
weapons ^nns++++=weapons
are ^vb+ber+aux++=are
sharpened ^vpsv++agls+xvbnx+=sharpened,
, ^zz++++=EXTRAWORD
all ^abn++++=all
its ^pp$+it+++=its
guiles ^nns+++??+=guiles
are ^vb+ber+aux++=are
prepared ^vpsv++agls+xvbnx+=prepared!
! ^zz++++=EXTRAWORD
Beware ^vb++++=Beware
of ^in++++=of
love ^nn++++=love!
! ^zz++++=EXTRAWORD
Beware ^vb++++=Beware
of ^in++++=of
love ^nn++++=love!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
more ^rbr++++=more
dangerous ^jj+pred+++=dangerous
than ^in++++=than
brandy ^nn++++=brandy,
, ^zz++++=EXTRAWORD
bronchitis ^nn++++=bronchitis
or ^cc++++=or
pleurisy ^nn++++=pleurisy!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
never ^rb++++=never
forgives ^nns++++=forgives
and ^cc++++=and
makes ^vbz++++=makes
everybody ^pn++++=everybody
commit ^vb++++=commit
irreparable ^jj+atrb+++=irreparable
follies ^nns++++=follies.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
French ^jj+atrb+++=French
Government ^nn+nom+++=Government
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
put ^vb+++xvbn+=put
large ^jj+atrb+++=large
public ^jj+atrb+++=public
notices ^nns++++=notices
on ^in++++=on
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
with ^in++++=with
these ^dt+dem+++=these
words ^nns++++=words:
: ^zz++++=EXTRAWORD
' ^zz++++='Return
return ^vb++++=EXTRAWORD
of ^in++++=of
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
French ^jj+atrb+++=French
citizens ^nns++++=citizens,
, ^zz++++=EXTRAWORD
beware ^vb++++=beware
of ^in++++=of
love ^nn++++=love!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put:
: ^zz++++=EXTRAWORD
' ^zz++++='Beware
beware ^vb++++=EXTRAWORD
of ^in++++=of
paint ^nn++++=paint:
: ^zz++++=EXTRAWORD
" ^zz++++="However,
however ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
government ^nn+nom+++=government
will ^md+prd+++=will
not ^xnot++not++=not
do ^vb+do+vrb++=do
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
supply ^vb++++=supply
its ^pp$+it+++=its
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
to ^to+vcmp+++=to
you ^pp2+pp2+++=you:
: ^zz++++=EXTRAWORD
' ^zz++++='Beware
beware ^vb++++=EXTRAWORD
of ^in++++=of
love ^nn++++=love!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
just ^rb+emph+splt++=just
going ^md"++pmd"++=going
to ^md+prd+++=to
seize ^vb++++=seize
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
duty ^nn++++=duty
to ^to+ncmp+++=to
inform ^vbi++++=inform
you ^pp2+pp2+++=you
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
