Everything ^pn++++=Everything
rubber ^nn++++=rubber
and ^cc++++=and
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
quite ^rb++++=quite
touch ^nn++++=touch
it ^pp3+it+++=it
but ^cc++++=but
almost ^rb+hdg+++=almost.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
glass ^nn++++=glass
but ^cc++++=but
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
on ^in++++=on
being ^nn+nn+aux++=being
approached ^vbd+++xvbn+=approached
not ^xnot++not++=not
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
something ^pn++++=something
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
opening ^jj+++xvbg+=opening
or ^cc++++=or
doorway ^nn++++=doorway--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
the ^ati++++=the
doorway ^nn++++=doorway
( ^zz++++=(through
through ^in++++=EXTRAWORD
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
himself ^ppl+pp3+++=himself
approaching ^vbg+++xvbg+=approaching)
) ^zz++++=EXTRAWORD
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
to ^to++++=to
be ^vbi++vrb++=be
something ^pn++++=something
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
eaten ^vprf+++xvbnx+=eaten
not ^xnot++not++=not
having ^xvbg+++xvbg+=having
agreed ^vprf+++xvbn+=agreed
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
washable ^jj+atrb+++=washable
house ^nn++++=house,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
sure ^jj++++=sure.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
about ^in++++=about
those ^dt+dem+++=those
rats ^nns++++=rats,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
saying ^vbg+++xvbg+=saying
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
meant ^vbd+vprv++xvbnx+=meant
the ^ati++++=the
rats ^nns++++=rats
that ^tht+rel+obj++=that
the ^ati++++=the
Professor ^npt++++=Professor
had ^vbd+hvd+aux++=had
driven ^vprf+++xvbnx+=driven
crazy ^jj++++=crazy
by ^in++++=by
forcing ^xvbg+++xvbg+=forcing
them ^pp3o+pp3+++=them
to ^to++++=to
deal ^vbi++++=deal
with ^in+ppvb+++=with
problems ^nns++++=problems
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
beyond ^in++++=beyond
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
rats ^nns++++=rats,
, ^zz++++=EXTRAWORD
the ^ati++++=the
insoluble ^jj+atrb+++=insoluble
problems ^nns++++=problems.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
meant ^vbd+vprv++xvbnx+=meant
the ^ati++++=the
rats ^nns++++=rats
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
trained ^vpsv++agls+xvbnx+=trained
to ^to++++=to
jump ^vbi++++=jump
at ^in+ppvb+++=at
the ^ati++++=the
square ^jj+atrb+++=square
card ^nn++++=card
with ^in++++=with
the ^ati++++=the
circle ^nn++++=circle
in ^in++++=in
the ^ati++++=the
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
card ^nn++++=card
( ^zz++++=(because
because ^cs+cos+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
something ^pn++++=something
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't)
n't ^xnot++not++0=EXTRAWORD
) ^zz++++=EXTRAWORD
would ^md+prd+++=would
give ^vb++++=give
way ^nn++++=way
and ^cc++++=and
let ^vb+++xvbn+=let
the ^ati++++=the
rat ^nn++++=rat
into ^in++++=into
a ^at++++=a
place ^nn++++=place
where ^wrb+who+++=where
the ^ati++++=the
food ^nn++++=food
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
one ^cd1++++=one
day ^nn++++=day
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
trick ^nn++++=trick
played ^vbd+++xvbn+=played
on ^in+ppvb+++=on
the ^ati++++=the
rat ^nn++++=rat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
card ^nn++++=card
would ^md+prd+++=would
be ^vb+be+aux++=be
changed ^vpsv++agls+xvbnx+=changed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rat ^nn++++=rat
would ^md+prd+++=would
jump ^vb++++=jump
but ^cc++++=but
the ^ati++++=the
card ^nn++++=card
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
impossible ^jj+atrb+++=impossible
situation ^nn+nom+++=situation
( ^zz++++=(for
for ^in++++=EXTRAWORD
a ^at++++=a
rat ^nn++++=rat)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
rat ^nn++++=rat
would ^md+prd+++=would
go ^vb++++=go
insane ^jj++++=insane
and ^cc++++=and
into ^in++++=into
its ^pp$+it+++=its
eyes ^nns++++=eyes
would ^md+prd+++=would
come ^vb++++=come
the ^ati++++=the
unspeakably ^jj+atrb+++=unspeakably
bright ^jj+atrb+++=bright
imploring ^jj+atrb++xvbg+=imploring
look ^nn++++=look
of ^in++++=of
the ^ati++++=the
frustrated ^jj+++xvbn+=frustrated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
the ^ati++++=the
convulsions ^nns++++=convulsions
were ^vbd+bed+vrb++=were
over ^in++++=over
and ^cc++++=and
the ^ati++++=the
frantic ^jj++++=frantic
racing ^jj+++xvbg+=racing
around ^rp++++=around,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
passive ^jj+atrb+++=passive
stage ^nn++++=stage
would ^md+prd+++=would
set ^vbd+++xvbn+=set
in ^in++++=in
and ^cc++++=and
the ^ati++++=the
willingness ^nns+nom+++=willingness
to ^to+ncmp+++=to
let ^vbi++++=let
anything ^pn++++=anything
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
something ^pn++++=something
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
which ^wdt+who+whcl++=which
door ^nn++++=door
( ^zz++++=(or
or ^cc++++=EXTRAWORD
wall ^nn++++=wall)
) ^zz++++=EXTRAWORD
or ^cc++++=or
opening ^nvbg+++xvbg+=opening
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
to ^to++++=to
jump ^vbi++++=jump
at ^in+ppvb+++=at,
, ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
an ^at++++=an
opening ^jj+++xvbg+=opening
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
door ^nn++++=door
( ^zz++++=(it
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
void ^jj++++=void,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
kid ^nn++++=kid)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
was ^vbd+bedz+vrb++=was
a ^at++++=a
wall ^nn++++=wall
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
an ^at++++=an
opening ^nvbg+++xvbg+=opening,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
sanitary ^jj+atrb+++=sanitary
cupboard ^nn++++=cupboard
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
color ^nn++++=color.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
staring ^vwbg+++xvbg+=staring
into ^in++++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
and ^cc++++=and
in ^in++++=in
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
the ^ati++++=the
expression ^nn++++=expression
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
in ^in++++=in
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
rats ^nns++++=rats--weary
-- ^--+clp+++=EXTRAWORD
weary ^jj++++=EXTRAWORD
after ^in++++=after
convulsions ^nns++++=convulsions
and ^cc++++=and
the ^ati++++=the
frantic ^jj++++=frantic
racing ^jj+++xvbg+=racing
around ^rp++++=around,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
willing ^jj+pred+++=willing
and ^cc++++=and
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
mind ^nn++++=mind
having ^vwbg+hvg++xvbg+=having
anything ^pn++++=anything
done ^vbd+++xvbn+=done
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
and ^cc++++=and
more ^ql++++=more
( ^zz++++=(he
he ^pp3a+pp3+++=EXTRAWORD
kept ^vbd+++xvbnx+=kept
saying ^vbg+++xvbg+=saying)
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
confronted ^vpsv++by+xvbnx+=confronted
by ^in++++=by
a ^at++++=a
problem ^nn++++=problem
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
incapable ^jj+pred+++=incapable
of ^in++++=of
solution ^nn+nom+++=solution
( ^zz++++=(for
for ^in++++=EXTRAWORD
this ^dt+dem+++=this
time ^nn++++=time
even ^cs+sub+++=even
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
chose ^vbd+++xvbnx+=chose
the ^ati++++=the
right ^jj+atrb+++=right
door ^nn++++=door,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
food ^nn++++=food
behind ^in+pl+++=behind
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
and ^cc++++=and
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
madness ^nns+nom+++=madness
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
things ^nns++++=things
seeming ^vwbg+seem++xvbg+=seeming
different ^jj++++=different
from ^in++++=from
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
( ^zz++++=(as
as ^cs+sub+++=EXTRAWORD
toward ^in++++=toward
a ^at++++=a
door ^nn++++=door
which ^whp+rel+subj++=which
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
might ^md+pos+++=might
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
give ^vb++++=give
way ^nn++++=way),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
noise ^nn++++=noise--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
a ^at++++=a
loud ^jj+atrb+++=loud
noise ^nn++++=noise
but ^cc++++=but
more ^rbr++++=more
of ^in++++=of
a ^at++++=a
low ^jj+atrb+++=low
prefabricated ^jj+atrb+++=prefabricated
humming ^nvbg+++xvbg+=humming.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
a ^at++++=a
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
wall ^nn++++=wall
( ^zz++++=(or
or ^cc++++=EXTRAWORD
stat ^nn+++??+=stat)
) ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
flue ^nn++++=flue
carrying ^vwbg+++xvbg+=carrying
the ^ati++++=the
filterable ^jj+atrb+++=filterable
air ^nn++++=air
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
Minipiano ^np+++??+=Minipiano,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
material ^nn++++=material
nailbrushes ^nns+++??+=nailbrushes
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
under ^in++++=under
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
" ^zz++++="This,
this ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
tested ^vpsv++agls+xvbnx+=tested,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
at ^in++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
viable ^jj++++=viable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
loud ^jj+atrb+++=loud
noise ^nn++++=noise,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
sorry ^jj++++=sorry
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
through ^in++++=through
his ^pp$+pp3+++=his
own ^ap++++=own
eyes ^nns++++=eyes
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
First ^rb++++=First
will ^md+prd+++=will
come ^vb++++=come
the ^ati++++=the
convulsions ^nns++++=convulsions
( ^zz++++=(he
he ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
exhaustion ^nn+nom+++=exhaustion,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
willingness ^nns+nom+++=willingness
to ^to+ncmp+++=to
let ^vbi++++=let
anything ^pn++++=anything
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
' ^zz++++='`And
` ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
better ^jjr++++=better
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
his ^pp$+pp3+++=his
life ^nn++++=life
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
confronted ^vpsv++by+xvbnx+=confronted
by ^in++++=by
situations ^nns+nom+++=situations
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
incapable ^jj+pred+++=incapable
of ^in++++=of
being ^nn+nn+aux++=being
solved ^vwbn+++xvbn+=solved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
deliberateness ^nns+nom+++=deliberateness
behind ^in+pl+++=behind
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
this ^dt+dem+++=this
changing ^jj+++xvbg+=changing
of ^in++++=of
the ^ati++++=the
card ^nn++++=card
( ^zz++++=(or
or ^cc++++=EXTRAWORD
door ^nn++++=door),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
would ^md+prd+++=would
always ^rb++splt++=always
wait ^vb++++=wait
until ^cs+sub+++=until
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
jump ^vbi++++=jump
at ^in+ppvb+++=at
the ^ati++++=the
certain ^jj+atrb+++=certain
card ^nn++++=card
( ^zz++++=(or
or ^cc++++=EXTRAWORD
door) ^nn+++??+=door)--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
one ^pn++++=one
with ^in++++=with
the ^ati++++=the
circle ^nn++++=circle--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
would ^md+prd+++=would
change ^vb++++=change
it ^pp3+it+++=it
on ^in++++=on
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
many ^ap++++=many
doors ^nns++++=doors
changed ^vbd+++xvbn+=changed
on ^rp++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
last ^ap++++=last
twenty ^cd++++=twenty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
now ^rn+tm+splt++=now
becoming ^vbg+++xvbgx+=becoming
clear ^jj++++=clear
that ^tht+jcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
impossible ^jj+atrb+++=impossible
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
question ^nn+nom+++=question
is ^vbz+bez+vrb++=is
whether ^cs+who+++=whether
to ^to++++=to
jump ^vbi++++=jump
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
ruffle ^vb+++??+=ruffle
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
rump ^nn++++=rump
with ^in++++=with
a ^at++++=a
blast ^nn++++=blast
of ^in++++=of
air ^nn++++=air--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
make ^vbi++++=make
you ^pp2+pp2+++=you
jump ^vb++++=jump.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wished ^vbd+vprv+tht0+xvbnx+=wished
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
standing ^jj+++xvbg+=standing
by ^in++++=by
the ^ati++++=the
Minipiano ^np+++??+=Minipiano.
. ^zz++++=EXTRAWORD
First ^rb++++=First
they ^pp3a+pp3+++=they
would ^md+prd+++=would
teach ^vb+vsua+tht0++=teach
you ^pp2+pp2+++=you
the ^ati++++=the
prayers ^nns+nom+++=prayers
and ^cc++++=and
the ^ati++++=the
Psalms ^np+++??+=Psalms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
right ^jj+atrb+++=right
door(the ^nn+++??+=door(the
one ^pn++++=one
with ^in++++=with
the ^ati++++=the
circle ^nn++++=circle)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
long ^rb++++=long
sweet ^jj+atrb+++=sweet
words ^nns++++=words
with ^in++++=with
the ^ati++++=the
holy ^jj++++=holy
sound ^jj++++=sound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
one ^cd1++++=one
to ^to++++=to
jump ^vbi++++=jump
at ^in+ppvb+++=at
to ^to++++=to
get ^vbi++++=get
where ^wrb+who+++=where
the ^ati++++=the
food ^nn++++=food
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
one ^cd1++++=one
day ^nn++++=day
you ^pp2+pp2+++=you
jumped ^vbd+++xvbn+=jumped
and ^cc++++=and
it ^pp3+it+++=it
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
way ^nn++++=way,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
all ^abn++++=all
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
was ^vbd+bedz+vrb++=was
the ^ati++++=the
bump ^nn++++=bump
on ^in++++=on
the ^ati++++=the
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^od++++=first
bewilderment ^nn+nom+++=bewilderment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
young ^jj+atrb+++=young
bewilderment ^nn+nom+++=bewilderment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
