About ^in++++=About
host ^nn++++=host,
, ^zz++++=EXTRAWORD
a ^at++++=a
hale ^np++++=hale
old ^jj++++=old
fellow ^jjb++++=fellow
of ^in++++=of
five ^cd++++=five-and-sixty,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
sixty ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
easy ^jj+atrb+++=easy
and ^cc+phrs+++=and
garrulous ^jj+atrb+++=garrulous
benevolence ^nn+nom+++=benevolence,
, ^zz++++=EXTRAWORD
willing ^jj++++=willing
to ^to+jcmp+++=to
accommodate ^nn+nom+++=accommodate
his ^pp$+pp3+++=his
guests ^nns++++=guests
with ^in++++=with
any ^dti++++=any
amount ^nn++++=amount
of ^in++++=of
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
tap ^nn++++=tap
sufficed ^vbd+++xvbn+=sufficed
to ^to++++=to
set ^vbi++++=set
flowing ^nvbg+++xvbg+=flowing,
, ^zz++++=EXTRAWORD
on ^in++++=on
any ^dti++++=any
subject ^nn++++=subject
you ^pp2+pp2+++=you
pleased ^vbd+++xvbn+=pleased.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
curious ^jj+pred+++=curious
to ^to+jcmp+++=to
learn ^vbi+vprv+++=learn
something ^pn++++=something
about ^in++++=about
Barwyke ^np+++??+=Barwyke,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
demesne ^nn+++??+=demesne
and ^cc++++=and
house ^nn++++=house
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
As ^ql++++=As
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
inn ^npl++++=inn
within ^in++++=within
some ^dti++++=some
miles ^nns++++=miles
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
to ^in++++=to
the ^ati++++=the
steward ^nn++++=steward
to ^to++++=to
put ^vbi++++=put
me ^pp1o+pp1+++=me
up ^rp++++=up
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
the ^ati++++=the
best ^jjt+atrb+++=best
way ^nn++++=way
he ^pp3a+pp3+++=he
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
host ^nn++++=host
of ^in++++=of
the ^ati++++=the
" ^zz++++="Three
three ^cd++++=EXTRAWORD
Nuns ^nns++++=Nuns,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
was ^vbd+bedz+aux++=was
the ^ati++++=the
sign ^nn++++=sign
under ^in++++=under
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
entertained ^vbd+++xvbnx+=entertained
wayfarers ^nns+nom+++=wayfarers,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
not ^xnot++not++=not
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
to ^to+ncmp+++=to
tell ^vbi++++=tell.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
old ^jj+atrb+++=old
Squire ^nn++++=Squire
Bowes ^np++++=Bowes
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
in ^in++++=in
the ^ati++++=the
Hall ^nn++++=Hall
ever ^rb++++=ever
since ^in+strn+++=since,
, ^zz++++=EXTRAWORD
except ^in++++=except
the ^ati++++=the
gardener ^nn+nom+++=gardener
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
" ^zz++++="Tom
tom ^np++++=EXTRAWORD
Wyndsour ^np+++??+=Wyndsour
will ^md+prd+++=will
be ^vb+be+vrb++=be
as ^ql++++=as
old ^jj++++=old
a ^at++++=a
man ^nn++++=man
as ^ql++++=as
myself ^ppl+pp1+++=myself;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit
taller ^jjr++++=taller,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
in ^in++++=in
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
quite ^rb+cnj+++=quite,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
fat ^nn++++=fat
innkeeper ^nn+nom+++=innkeeper.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
stories ^nns++++=stories
about ^in++++=about
the ^ati++++=the
house ^nn++++=house,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeated ^vbd+++xvbnx+=repeated,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
prevented ^jj+atrb++xvbn+=prevented
tenants ^nns+nom+++=tenants
from ^in++++=from
coming ^xvbg+++xvbg+=coming
into ^in++++=into
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Old
old ^jj+atrb+++=EXTRAWORD
wives ^nns++++=wives'
' ^zz++++=EXTRAWORD
tales ^nns++++=tales;
; ^zz++++=EXTRAWORD
many ^ap++++=many
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
will ^md+prd+++=will
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forget ^vb+vprv+++=forget
' ^zz++++='em;
em ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forget ^vb+vprv+++=forget
them ^pp3o+pp3+++0='em
all ^rb++++=all.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
always ^rb++++=always
will ^md+prd+++=will
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
house ^nn++++=house
is ^vbz+bez+aux++=is
left ^vpsv++agls+xvbnx+=left
so ^ql++++=so;
; ^zz++++=EXTRAWORD
foolish ^jj++++=foolish
folk ^jjb++++=folk
will ^md+prd+++=will
always ^rb++++=always
be ^vb+be+vrb++=be
talkin ^nn+++??+=talkin';
'; ^nn+++??+=EXTRAWORD
but ^cc++++=but
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
heard ^vprf+++xvbn+=heard
a ^at++++=a
word ^nn++++=word
about ^in++++=about
it ^pp3+it+++=it
this ^dt+dem+++=this
twenty ^cd++++=twenty
year ^nn++++=year."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
vain ^jj++++=vain
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
pump ^vbi++++=pump
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
landlord ^nn++++=landlord
of ^in++++=of
the ^ati++++=the
" ^zz++++="Three
three ^cd++++=EXTRAWORD
Nuns ^nns++++=Nuns,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
for ^in++++=for
some ^dti++++=some
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
choose ^vb++++=choose
to ^to+vcmp+++=to
tell ^vbi++++=tell
tales ^nns++++=tales
of ^in++++=of
Barwyke ^np+++??+=Barwyke
Hall ^nn++++=Hall,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
suspected ^vbd+vprv++xvbnx+=suspected,
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
paid ^vbd+++xvbnx+=paid
my ^pp$+pp1+++=my
reckoning ^nn++++=reckoning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resumed ^vbd+++xvbn+=resumed
my ^pp$+pp1+++=my
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
pleased ^vbd+++xvbn+=pleased
with ^in++++=with
the ^ati++++=the
good ^jj+atrb+++=good
cheer ^nn++++=cheer
of ^in++++=of
that ^dt+dem+++=that
old ^jj++++=old-world
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
inn ^nn++++=inn,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^rb++++=a
little ^rb"++++=little
disappointed ^jj+++xvbn+=disappointed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
driving ^vbg+++xvbgx+=driving
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
began ^vbd+++xvbn+=began
to ^to++++=to
cross ^vbi++++=cross
a ^at++++=a
wild ^jj++++=wild
common ^jj++++=common;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
passed ^jj+++xvbn+=passed,
, ^zz++++=EXTRAWORD
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour
would ^md+prd+++=would
bring ^vb++++=bring
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
Barwyke ^np+++??+=Barwyke
Hall ^nn++++=Hall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
peat ^nn++++=peat
and ^cc++++=and
furze ^nn+++??+=furze
were ^vbd+bed+vrb++=were
pretty ^rb++++=pretty
soon ^rb+tm+++=soon
left ^jj+++xvbn+=left
behind ^in+strn+++=behind;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
again ^rb+tm+++=again
in ^in++++=in
the ^ati++++=the
wooded ^jj+atrb+++=wooded
scenery ^nn+nom+++=scenery
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
enjoyed ^vbd+++xvbnx+=enjoyed
so ^pn++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
so ^ql++++=so
entirely ^rb+amp+++=entirely
natural ^jj++++=natural
and ^cc++++=and
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
little ^ap++++=little
disturbed ^vpsv++by+xvbn+=disturbed
by ^in++++=by
traffic ^nn++++=traffic
of ^in++++=of
any ^dti++++=any
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
from ^in++++=from
the ^ati++++=the
chaise ^nn++++=chaise-window,
- ^zz++++=EXTRAWORD
window ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
detected ^vbd+++xvbn+=detected
the ^ati++++=the
object ^nn++++=object
of ^in++++=of
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
for ^in++++=for
some ^dti++++=some
time ^nn++++=time,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
eye ^nn++++=eye
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
search ^nn++++=search.
. ^zz++++=EXTRAWORD
Barwyke ^np+++??+=Barwyke
Hall ^nn++++=Hall
was ^vbd+bedz+vrb++=was
a ^at++++=a
large ^jj+atrb+++=large,
, ^zz++++=EXTRAWORD
quaint ^jj+atrb+++=quaint
house ^nn++++=house,
, ^zz++++=EXTRAWORD
of ^in++++=of
that ^dt+dem+++=that
cage ^nn++++=cage-work
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
fashion ^nn++++=fashion
known ^vbd+vprv++xvbn+=known
as ^in++++=as
" ^zz++++="black-and-white,"
black ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
bars ^nns++++=bars
and ^cc++++=and
angles ^nns++++=angles
of ^in++++=of
an ^at++++=an
oak ^nn++++=oak
framework ^nn++++=framework
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
black ^jj++++=black
as ^ql++++=as
ebony ^nn++++=ebony,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
white ^jj+atrb+++=white
plaster ^nn+nom+++=plaster
that ^tht+rel+obj++=that
overspreads ^nns+++??+=overspreads
the ^ati++++=the
masonry ^nn++++=masonry
built ^vbd+++xvbn+=built
into ^in++++=into
its ^pp$+it+++=its
interstices ^nns++++=interstices.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
steep ^jj++++=steep-roofed
- ^zz++++=EXTRAWORD
roofed ^xvbn+++xvbn+=EXTRAWORD
Elizabethan ^nn+nom+++=Elizabethan
house ^npl++++=house
stood ^vbd+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
park ^npl++++=park-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
grounds ^nns++++=grounds
of ^in++++=of
no ^at++++=no
great ^jj+atrb+++=great
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rendered ^vbd+++xvbn+=rendered
imposing ^jj+++xvbg+=imposing
by ^in++++=by
the ^ati++++=the
noble ^jj+atrb+++=noble
stature ^nn++++=stature
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
trees ^nns++++=trees
that ^tht+rel+subj++=that
now ^rn+tm+++=now
cast ^vb+++xvbn+=cast
their ^pp$+pp3+++=their
lengthening ^nvbg+++xvbg+=lengthening
shadows ^nps++++=shadows
eastward ^rb++++=eastward
over ^in++++=over
the ^ati++++=the
sward ^nn++++=sward,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
declining ^jj+atrb++xvbg+=declining
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
The ^ati++++=The
park ^npl++++=park-wall
- ^zz++++=EXTRAWORD
wall ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
grey ^np++++=grey
with ^in++++=with
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
many ^ap++++=many
places ^vbz++++=places
laden ^vbd+++xvbn+=laden
with ^in++++=with
ivy ^nn++++=ivy.
. ^zz++++=EXTRAWORD
In ^in++++=In
deep ^jj+atrb+++=deep
grey ^np++++=grey
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
contrasted ^vbd+++xvbn+=contrasted
with ^in++++=with
the ^ati++++=the
dim ^jj+atrb+++=dim
fires ^nns++++=fires
of ^in++++=of
evening ^nn++++=evening
reflected ^vbd+vprv++xvbn+=reflected
on ^in++++=on
the ^ati++++=the
foliage ^nn+nom+++=foliage
above ^jjb++++=above
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
gentle ^jj+atrb+++=gentle
hollow ^nn++++=hollow,
, ^zz++++=EXTRAWORD
stretched ^xvbn+++xvbn+=stretched
a ^at++++=a
lake ^nn++++=lake
that ^tht+rel+++=that
looked ^jj+++xvbn+=looked
cold ^jj++++=cold
and ^cc++++=and
black ^nn++++=black,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
to ^in++++=to
skulk ^nn+++??+=skulk
from ^in++++=from
observation ^nn+nom+++=observation
with ^in++++=with
a ^at++++=a
guilty ^jj+atrb+++=guilty
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
forgot ^vprf+++xvbnx+=forgot
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
lake ^nn++++=lake
at ^rb++++=at
Barwyke ^np+++??+=Barwyke;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
moment ^nn++++=moment
this ^dt+pdem+++=this
caught ^vbd+++xvbn+=caught
my ^pp$+pp1+++=my
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
cold ^jj++++=cold
polish ^jj++++=polish
of ^in++++=of
a ^at++++=a
snake ^nn++++=snake
in ^in++++=in
the ^ati++++=the
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
instinct ^nn++++=instinct
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
recognize ^vbi+vprv+++=recognize
something ^pn++++=something
dangerous ^jj++++=dangerous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
the ^ati++++=the
lake ^nn++++=lake
was ^vbd+bedz+aux++=was
connected ^vpsv++agls+xvbnx+=connected,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
remember ^nn+nom+++=remember
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
story ^nn++++=story
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
of ^in++++=of
this ^dt+dem+++=this
place ^nn++++=place
in ^in++++=in
my ^pp$+pp1+++=my
boyhood ^nn+nom+++=boyhood.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
drove ^vbd+++xvbnx+=drove
up ^rp++++=up
a ^at++++=a
grass ^nn++++=grass-grown
- ^zz++++=EXTRAWORD
grown ^vbd+++xvbn+=EXTRAWORD
avenue ^npl++++=avenue,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
boughs ^nns++++=boughs
of ^in++++=of
these ^dt+dem+++=these
noble ^jj+atrb+++=noble
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
foliage ^nn+nom+++=foliage,
, ^zz++++=EXTRAWORD
dyed ^j+++xvbn+=dyed
in ^in++++=in
autumnal ^jj+atrb+++=autumnal
red ^nn++++=red
and ^cc++++=and
yellow ^nn++++=yellow,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
the ^ati++++=the
beams ^nns++++=beams
of ^in++++=of
the ^ati++++=the
western ^jj+atrb+++=western
sun ^nn++++=sun
gorgeously ^rb++++=gorgeously.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
drew ^vbd+++xvbn+=drew
up ^rb+phrv+++=up
at ^in++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
good ^nn++++=good
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
front ^nn++++=front
of ^in++++=of
the ^ati++++=the
house ^nn++++=house;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
large ^jj+atrb+++=large
and ^cc+phrs+++=and
melancholy ^jj+atrb+++=melancholy
mansion ^nn++++=mansion,
, ^zz++++=EXTRAWORD
with ^in++++=with
signs ^nns++++=signs
of ^in++++=of
long ^rb++++=long
neglect ^nn++++=neglect
upon ^in++++=upon
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
great ^jj+atrb+++=great
wooden ^jj+atrb+++=wooden
shutters ^nns+nom+++=shutters,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
barred ^vpsv++agls+xvbnx+=barred,
, ^zz++++=EXTRAWORD
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
windows ^nns++++=windows;
; ^zz++++=EXTRAWORD
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
nettles ^nns++++=nettles,
