Arthur ^np++++=Arthur
not ^xnot++not++=not
understand ^vb+vprv+++=understand
that ^tht+vcmp+++=that
ten ^cd++++=ten
thousand ^cd++++=thousand
hands ^nns++++=hands
might ^md+pos+++=might
gladly ^rb++++=gladly
have ^vb+hv+aux++=have
fed ^vprf+++xvbnx+=fed
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
think ^vb+vprv+++=think
only ^rb+down+++=only
of ^in++++=of
the ^ati++++=the
hunger ^nn++++=hunger
which ^whp+rel+obj++=which
consumed ^jj+++xvbn+=consumed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
food ^nn++++=food
that ^tht+rel+subj++=that
could ^md+pos+++=could
give ^vb++++=give
him ^pp3o+pp3+++=him
warmth ^nn++++=warmth
and ^cc++++=and
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived
at ^rb++++=at
Mason ^np++++=Mason
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
restaurant ^nn+nom+++=restaurant
a ^rb++++=a
little ^rb"++++=little
way ^nn++++=way
up ^rp++++=up
that ^dt+dem+++=that
thoroughfare ^nn++++=thoroughfare,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
headed ^vbd+++xvbnx+=headed,
, ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
the ^ati++++=the
street ^nn++++=street
diagonally ^rb++++=diagonally.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped
before ^cs+sub+++=before
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
ogled ^vbd+++xvbn+=ogled
the ^ati++++=the
steaks ^nns++++=steaks,
, ^zz++++=EXTRAWORD
thick ^jj++++=thick
and ^cc+phrs+++=and
lined ^jj+++xvbn+=lined
with ^in++++=with
fat ^nn++++=fat;
; ^zz++++=EXTRAWORD
big ^jj+atrb+++=big
oysters ^nns+nom+++=oysters
lying ^vwbg+++xvbg+=lying
on ^in++++=on
ice ^nn++++=ice;
; ^zz++++=EXTRAWORD
slices ^nns++++=slices
of ^in++++=of
ham ^nn++++=ham
as ^ql++++=as
large ^jj++++=large
as ^ql++++=as
his ^pp$+pp3+++=his
hat ^nn++++=hat;
; ^zz++++=EXTRAWORD
whole ^jj+atrb+++=whole
roasted ^jj+atrb++xvbn+=roasted
chickens ^nns++++=chickens,
, ^zz++++=EXTRAWORD
brown ^jj++++=brown
and ^cc++++=and
juicy ^nn+++??+=juicy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ground ^nn++++=ground
his ^pp$+pp3+++=his
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
groaned ^j+++xvbn+=groaned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
staggered ^vpsv++agls+xvbn+=staggered
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
steps ^nns++++=steps
beyond ^in++++=beyond
was ^vbd+bedz+vrb++=was
a ^at++++=a
drinking ^jj+++xvbg+=drinking-saloon,
- ^zz++++=EXTRAWORD
saloon ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
a ^at++++=a
private ^jj+atrb+++=private
door ^nn++++=door
at ^in++++=at
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
words ^nns++++=words
" ^zz++++="Family
family ^nn++++=EXTRAWORD
Entrance ^nn+nom+++=Entrance"
" ^zz++++=EXTRAWORD
painted ^vprf+++xvbn+=painted
thereon ^rb++++=thereon.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
recess ^nn++++=recess
of ^in++++=of
the ^ati++++=the
door ^nn++++=door
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
was ^vbd+bedz+aux++=was
closed ^vpsv++agls+xvbnx+=closed)
) ^zz++++=EXTRAWORD
stood ^vbd+++xvbn+=stood
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
his ^pp$+pp3+++=his
agony ^nn++++=agony,
, ^zz++++=EXTRAWORD
Kimberlin ^np+++??+=Kimberlin
saw ^vbd+vprv++xvbn+=saw
something ^pn++++=something
in ^in++++=in
this ^dt+dem+++=this
man ^nn++++=man's
's ^$++++=EXTRAWORD
face ^nn++++=face
that ^tht+rel+subj++=that
appalled ^xvbn+++xvbn+=appalled
and ^cc+phrs+++=and
fascinated ^xvbn+++xvbn+=fascinated
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
was ^vbd+bedz+vrb++=was
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
light ^nn++++=light
in ^in++++=in
the ^ati++++=the
vicinity ^nn+nom+++=vicinity
was ^vbd+bedz+vrb++=was
dim ^jj+pred+++=dim;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
apparent ^jj+pred+++=apparent
that ^tht+jcmp+++=that
the ^ati++++=the
stranger ^jjr++++=stranger
had ^vb+hv+vrb++=had
an ^at++++=an
appearance ^nn+nom+++=appearance
of ^in++++=of
whose ^whp+rel+pied++=whose
character ^nn+nom+++=character
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
ignorant ^jj++++=ignorant.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
unspeakable ^jj+atrb+++=unspeakable
anguish ^nn++++=anguish
of ^in++++=of
it ^pp3+it+++=it
that ^cs+sub+++=that
struck ^vprf+++xvbn+=struck
through ^in++++=through
Kimberlin ^np++++=Kimberlin's
's ^$++++=EXTRAWORD
sympathies ^nns++++=sympathies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
man ^nn++++=man
came ^vbd+++xvbn+=came
to ^in++++=to
an ^at++++=an
uncertain ^jj+atrb+++=uncertain
halt ^nn++++=halt
and ^cc++++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
stranger ^nn+nom+++=stranger.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
unseen ^jj+pred+++=unseen,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
stranger ^nn++++=stranger
looked ^vbd+++xvbn+=looked
straight ^jj++++=straight
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
street ^nn++++=street
with ^in++++=with
singular ^jj+atrb+++=singular
fixity ^nn++++=fixity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
death ^nn++++=death-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
pallor ^nn++++=pallor
of ^in++++=of
his ^pp$+pp3+++=his
face ^vb++++=face
added ^vbd+vpub++xvbn+=added
a ^at++++=a
weirdness ^nns+nom+++=weirdness
to ^in++++=to
the ^ati++++=the
immobility ^nn+nom+++=immobility
of ^in++++=of
his ^pp$+pp3+++=his
gaze ^nn++++=gaze.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
notice ^nn++++=notice
of ^in++++=of
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,"
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
slowly ^rb++++=slowly
and ^cc++++=and
with ^in++++=with
peculiar ^jj+atrb+++=peculiar
distinctness ^nns+nom+++=distinctness,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
rain ^nn++++=rain
has ^vbz+hvz+aux++=has
caught ^vprf+++xvbnx+=caught
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
without ^in++++=without
overcoat ^nn++++=overcoat
or ^cc++++=or
umbrella ^nn++++=umbrella!
! ^zz++++=EXTRAWORD
Stand ^vb++++=Stand
in ^in++++=in
this ^dt+dem+++=this
doorway ^nn++++=doorway--there
-- ^--+clp+++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
room ^nn++++=room
for ^in++++=for
two ^cd++++=two."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
unkind ^jj++++=unkind,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
an ^at++++=an
alarming ^jj+atrb++xvbg+=alarming
hardness ^nns+nom+++=hardness.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
word ^nn++++=word
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
addressed ^vpsv++agls+xvbnx+=addressed
to ^in++++=to
the ^ati++++=the
sufferer ^nn+nom+++=sufferer
since ^cs+sub+++=since
hunger ^nn++++=hunger
had ^vbd+hvd+aux++=had
seized ^vprf+++xvbnx+=seized
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
be ^vbi+vbi+aux++=be
spoken ^vpsv++agls+xvbnx+=spoken
to ^in++++=to
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
his ^pp$+pp3+++=his
comfort ^vb++++=comfort
regarded ^vbd+++xvbn+=regarded
in ^in++++=in
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
way ^nn++++=way,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
him ^pp3o+pp3+++=him
cheer ^nn++++=cheer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
embrasure ^nn+++??+=embrasure
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
beside ^in+pl+++=beside
the ^ati++++=the
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
at ^rb++++=at
once ^rb"+tm+++=once
relapsed ^jj+++xvbn+=relapsed
into ^in++++=into
his ^pp$+pp3+++=his
fixed ^jj+atrb++xvbn+=fixed
gaze ^nn++++=gaze
at ^in++++=at
nothing ^pn++++=nothing
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
presently ^rb+tm+++=presently
the ^ati++++=the
stranger ^nn+nom+++=stranger
stirred ^vbd+++xvbn+=stirred
himself ^ppl+pp3+++=himself
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
may ^md+pos+++=may
rain ^vb++++=rain
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
cold ^jj+pred+++=cold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
observe ^vb+vprv+++=observe
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
tremble ^vb++++=tremble.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
step ^nn++++=step
inside ^jjb++++=inside
and ^cc++++=and
get ^vb++++=get
a ^at++++=a
drink ^nn++++=drink."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
Kimberlin ^np+++??+=Kimberlin
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
hope ^nn++++=hope
beginning ^vwbg+++xvbg+=beginning
to ^to++++=to
lay ^vbi++++=lay
a ^at++++=a
warm ^jj+atrb+++=warm
hand ^nn++++=hand
upon ^in++++=upon
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pale ^jj++++=pale
stranger ^jjr++++=stranger
led ^jj+++xvbn+=led
the ^ati++++=the
way ^nn++++=way
into ^in++++=into
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
private ^jj+atrb+++=private
booths ^nns++++=booths
with ^in++++=with
which ^whp+rel+pied++=which
the ^ati++++=the
place ^nn++++=place
was ^vbd+bedz+aux++=was
furnished ^vpsv++agls+xvbnx+=furnished.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
sitting ^xvbg+++xvbg+=sitting
down ^rp++++=down
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
hand ^nn++++=hand
into ^in++++=into
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
and ^cc++++=and
drew ^vbd+++xvbn+=drew
forth ^rp++++=forth
a ^at++++=a
roll ^nn++++=roll
of ^in++++=of
bank ^nn++++=bank-bills.
- ^zz++++=EXTRAWORD
bills ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
younger ^jjr+pred+++=younger
than ^in++++=than
I ^pp1a+pp1+++=I,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="won't
will ^md+prd+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
bar ^nn++++=bar
and ^cc++++=and
buy ^vb++++=buy
a ^at++++=a
bottle ^nn++++=bottle
of ^in++++=of
absinthe ^nn++++=absinthe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bring ^vb++++=bring
a ^at++++=a
pitcher ^nn++++=pitcher
of ^in++++=of
water ^nn++++=water
and ^cc++++=and
some ^dti++++=some
glasses ^nns++++=glasses?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
for ^in++++=for
the ^ati++++=the
waiters ^nns+nom+++=waiters
to ^to+vcmp+++=to
come ^vbi++++=come
around ^in+strn+++=around.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
a ^at++++=a
twenty ^cd++++=twenty-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
bill ^nn++++=bill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kimberlin ^np+++??+=Kimberlin
took ^vbd+++xvbn+=took
the ^ati++++=the
bill ^nn++++=bill
and ^cc++++=and
started ^vbd+++xvbn+=started
down ^rp++++=down
through ^in++++=through
the ^ati++++=the
corridor ^nn++++=corridor
towards ^in++++=towards
the ^ati++++=the
bar ^nn++++=bar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
clutched ^vbd+++xvbnx+=clutched
the ^ati++++=the
money ^nn++++=money
tightly ^rb++++=tightly
in ^in++++=in
his ^pp$+pp3+++=his
palm ^nn++++=palm;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
felt ^vbd+vprv++xvbn+=felt
warm ^jj++++=warm
and ^cc+phrs+++=and
comfortable ^jj++++=comfortable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vbd+++xvbn+=sent
a ^at++++=a
delicious ^nn++++=delicious
tingling ^vwbg+++xvbg+=tingling
through ^in++++=through
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
glorious ^jj+atrb+++=glorious
hot ^jj+atrb+++=hot
meals ^nns++++=meals
did ^vbd+dod+vrb++=did
that ^dt+dem+++=that
bill ^nn++++=bill
represent ^vb++++=represent?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
clutched ^vbd+++xvbnx+=clutched
it ^pp3+it+++=it
tighter ^jjr++++=tighter
and ^cc+phrs+++=and
hesitated ^jj+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
smelled ^vbd+++xvbnx+=smelled
a ^at++++=a
broiled ^jj+atrb++xvbn+=broiled
steak ^nn++++=steak,
, ^zz++++=EXTRAWORD
with ^in++++=with
fat ^nn++++=fat
little ^ap++++=little
mushrooms ^nns++++=mushrooms
and ^cc++++=and
melted ^vbd+++xvbn+=melted
butter ^nn++++=butter
in ^in++++=in
the ^ati++++=the
steaming ^jj+atrb++xvbg+=steaming
dish ^nn++++=dish.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
back ^jjb++++=back
towards ^in++++=towards
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
booth ^nn++++=booth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
stranger ^jjr++++=stranger
had ^vbd+hvd+aux++=had
closed ^vprf+++xvbnx+=closed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
pass ^vb++++=pass
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
slip ^vb++++=slip
out ^rp+pl+++=out
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buy ^vb++++=buy
something ^pn++++=something
to ^to++++=to
eat ^vbi++++=eat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
started ^vbd+++xvbn+=started,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
coward ^nn++++=coward
in ^in++++=in
him ^pp3o+pp3+++=him
( ^zz++++=(there
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
other ^ap++++=other
names ^nns++++=names
for ^in++++=for
this ^dt+dem+++=this)
) ^zz++++=EXTRAWORD
tripped ^vbd+++xvbn+=tripped
his ^pp$+pp3+++=his
resolution ^nn+nom+++=resolution;
; ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
