An ^at++++=An
a ^at++++=a
wide ^jj+atrb+++=wide
view ^nn++++=view
from ^in++++=from
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
always ^rb++++=always
so ^ql++++=so
quiet ^nn++++=quiet
in ^in++++=in
the ^ati++++=the
street ^npl++++=street
below ^in+strn+++=below--so
-- ^--+clp+++=EXTRAWORD
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
endured ^vbd+++xvbnx+=endured.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
one ^cd1++++=one
morning ^nn++++=morning
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sprawling ^nvbg+++xvbg+=sprawling
on ^in++++=on
my ^pp$+pp1+++=my
couch ^nn++++=couch,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
some ^dti++++=some
sort ^nn++++=sort
of ^in++++=of
excuse ^nn++++=excuse
for ^in++++=for
not ^xnot++not++=not
attending ^vbg+++xvbg+=attending
my ^pp$+pp1+++=my
class ^nn++++=class,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bass ^nn++++=bass
voice ^nn++++=voice
of ^in++++=of
Teresa ^np++++=Teresa
the ^ati++++=the
loathsome ^jj++++=loathsome
resounded ^jj+++xvbn+=resounded
from ^in++++=from
my ^pp$+pp1+++=my
threshold ^nn++++=threshold:
: ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
health ^nn++++=health
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Student ^np++++=Student!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
face ^nn++++=face
was ^vbd+bedz+aux++=was
confused ^vpsv++agls+xvbnx+=confused
and ^cc++++=and
supplicatory. ^nn+++??+=supplicatory...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
unusual ^jj+atrb+++=unusual
sort ^nn++++=sort
of ^in++++=of
face ^nn++++=face
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Sir!
sir ^npt++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
beg ^vbi++++=beg
a ^at++++=a
favour ^nn++++=favour
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
grant ^vb+vsua+tht0++=grant
it ^pp3+it+++=it
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
there ^rn+pl+++=there
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^vpsv++agls+xvbn+=thought
to ^to+vcmp+++=to
myself ^ppl+pp1+++=myself:
: ^zz++++=EXTRAWORD
" ^zz++++="Gracious!...
gracious!. ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Courage ^nn+nom+++=Courage,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
send ^vbi++++=send
a ^at++++=a
letter ^nn++++=letter
home ^nr++++=home,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
voice ^nn++++=voice
was ^vbd+bedz+aux++=was
beseeching ^vbg+++xvbgx+=beseeching,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft,
, ^zz++++=EXTRAWORD
timid ^jj++++=timid.
. ^zz++++=EXTRAWORD
" ^zz++++="Deuce
deuce ^nn+++??+=EXTRAWORD
take ^vb++++=take
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
up ^rp++++=up
I ^pp1a+pp1+++=I
jumped ^vbd+++xvbnx+=jumped,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
down ^rp++++=down
at ^rb++++=at
my ^pp$+pp1+++=my
table ^nn++++=table,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
sheet ^nn++++=sheet
of ^in++++=of
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
sit ^vb++++=sit
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dictate ^nn+nom+++=dictate!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
down ^rp++++=down
very ^ql+amp+++=very
gingerly ^rb++++=gingerly
on ^in++++=on
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
guilty ^jj+atrb+++=guilty
look ^nn++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
whom ^whp+wpor+whq++=whom
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
write ^vbi++++=write?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^in++++=EXTRAWORD
Boleslav ^np+++??+=Boleslav
Kashput ^np+++??+=Kashput,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Svieptziana ^np+++??+=Svieptziana,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
Warsaw ^np++++=Warsaw
Road.. ^np+++??+=Road..."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
fire ^nn++++=fire
away ^rp+pl+++=away!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Boles ^np+++??+=Boles
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
darling ^nn+nom+++=darling
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
faithful ^jj+atrb+++=faithful
lover ^nn++++=lover.
. ^zz++++=EXTRAWORD
May ^md+pos+++=May
the ^ati++++=the
Mother ^nn++++=Mother
of ^in++++=of
God ^np++++=God
protect ^vb++++=protect
thee ^pp2+pp2+++=thee!
! ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
heart ^nn++++=heart
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
hast ^&fw++++=hast
thou ^pp2+pp2+++=thou
not ^xnot++not++=not
written ^vbd+++xvbn+=written
for ^in++++=for
such ^abl++++=such
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
to ^in++++=to
thy ^pp$+pp2+++=thy
sorrowing ^jj+++xvbg+=sorrowing
little ^ap++++=little
dove ^np++++=dove,
, ^zz++++=EXTRAWORD
Teresa ^np++++=Teresa?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
very ^ql+amp+++=very
nearly ^rb+down+++=nearly
burst ^vbd+++xvbn+=burst
out ^rp+pl+++=out
laughing ^nvbg+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
sorrowing ^jj+++xvbg+=sorrowing
little ^ap++++=little
dove ^np++++=dove!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
five ^cd++++=five
feet ^nns++++=feet
high ^jj++++=high,
, ^zz++++=EXTRAWORD
with ^in++++=with
fists ^nns++++=fists
a ^at++++=a
stone ^nn++++=stone
and ^cc++++=and
more ^rbr++++=more
in ^in++++=in
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
black ^np++++=black
a ^at++++=a
face ^nn++++=face
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
little ^ap++++=little
dove ^np++++=dove
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
all ^abn++++=all
its ^pp$+it+++=its
life ^nn++++=life
in ^in++++=in
a ^at++++=a
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
never ^rb++splt++=never
once ^rb+tm+++=once
washed ^vbd+++xvbn+=washed
itself ^ppl++++=itself!
! ^zz++++=EXTRAWORD
Restraining ^jj++++=Restraining
myself ^ppl+pp1+++=myself
somehow ^rb+cnj+++=somehow,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked:
: ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
this ^dt+dem+++=this
Bolest ^np+++??+=Bolest?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Boles,
boles ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Student ^np++++=Student,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
offended ^xvbn+++xvbn+=offended
with ^in++++=with
me ^pp1o+pp1+++=me
for ^in++++=for
blundering ^nn++++=blundering
over ^in++++=over
the ^ati++++=the
name ^nn++++=name,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
Boles ^np+++??+=Boles--my
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Young
young ^jj+atrb+++=EXTRAWORD
man ^nn++++=man!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
so ^ql+emph+++=so
surprised ^jj+++xvbn+=surprised,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?
? ^zz++++=EXTRAWORD
Cannot ^md+pos+not++=Cannot
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
a ^at++++=a
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She?
? ^zz++++=EXTRAWORD
A ^at++++=A
girl ^nn++++=girl?
? ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well!
! ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
things ^nns++++=things
are ^vb+ber+vrb++=are
possible ^jj+pred+++=possible.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
has ^vbz+hvz+aux++=has
he ^pp3a+pp3+++=he
been ^vb+vbd+vrb+xvbnx+=been
your ^pp$+pp2+++=your
young ^jj+atrb+++=young
man ^nn++++=man
long ^jj++++=long?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Six
six ^cd++++=EXTRAWORD
years ^nns++++=years."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ho ^uh++++=ho!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
write ^vb++++=write
your ^pp$+pp2+++=your
letter.. ^nn+++??+=letter..."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
plainly ^rb++++=plainly
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
willingly ^rb++++=willingly
have ^vb+hv+aux++=have
changed ^vprf+++xvbnx+=changed
places ^nns++++=places
with ^in++++=with
this ^dt+dem+++=this
Boles ^np+++??+=Boles
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
fair ^jj+atrb+++=fair
correspondent ^nn++++=correspondent
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
not ^xnot++not++=not
Teresa ^np++++=Teresa
but ^cc++++=but
something ^pn++++=something
less ^ql++++=less
than ^cs+sub+++=than
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you
most ^ql+emph+++=most
heartily ^rb+cnj+++=heartily,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
for ^in++++=for
your ^pp$+pp2+++=your
kind ^nn++++=kind
services ^nns++++=services,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Teresa ^np++++=Teresa
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
curtsey ^nn++++=curtsey.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
show ^vb+vprv+tht0++=show
you ^pp2+pp2+++=you
some ^dti++++=some
service ^nn++++=service,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
most ^ql+emph+++=most
humbly ^jj++++=humbly
thank ^vb++++=thank
you ^pp2+pp2+++=you
all ^rb++++=all
the ^ati++++=the
same ^ap++++=same."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps,
perhaps ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
shirts ^nns++++=shirts
or ^cc++++=or
your ^pp$+pp2+++=your
trousers ^nns+nom+++=trousers
may ^md+pos+++=may
want ^vb++++=want
a ^rb++++=a
little ^rb"++++=little
mending ^vbg+++xvbg+=mending?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
this ^dt+dem+++=this
mastodon ^nn+++??+=mastodon
in ^in++++=in
petticoats ^nns++++=petticoats
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
me ^pp1o+pp1+++=me
grow ^vb++++=grow
quite ^rb++++=quite
red ^jj++++=red
with ^in++++=with
shame ^nn++++=shame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
pretty ^rb++++=pretty
sharply ^rb++++=sharply
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
no ^at++++=no
need ^vb++++=need
whatever ^nn+nom+++=whatever
of ^in++++=of
her ^pp$+pp3+++=her
services ^nns++++=services.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
departed ^vbd+++xvbnx+=departed.
. ^zz++++=EXTRAWORD
A ^at++++=A
week ^nn++++=week
or ^cc++++=or
two ^cd++++=two
passed ^vbd+++xvbn+=passed
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
at ^rb++++=at
my ^pp$+pp1+++=my
window ^nn++++=window
whistling ^jj++++=whistling
and ^cc+phrs+++=and
thinking ^jj+++xvbg+=thinking
of ^in++++=of
some ^dti++++=some
expedient ^jj++++=expedient
for ^in++++=for
enabling ^xvbg+++xvbg+=enabling
me ^pp1o+pp1+++=me
to ^to++++=to
get ^vbi++++=get
away ^rb+phrv+++=away
from ^in"++++=from
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
bored ^vpsv++agls+xvbnx+=bored;
; ^zz++++=EXTRAWORD
the ^ati++++=the
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
dirty ^jj+pred+++=dirty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
out ^rp+pl+++=out
of ^in++++=of
sheer ^jjb+atrb+++=sheer
ennui ^nn++++=ennui
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
a ^at++++=a
course ^nn++++=course
of ^in++++=of
self ^nn++++=self-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
and ^cc++++=and
