1308 ^cd++++=1308
for ^in++++=for
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
see ^vb+vprv+tht0++=see
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
The ^ati++++=The
report ^nn++++=report
came ^vbd+++xvbn+=came
to ^in++++=to
Natalia ^np+++??+=Natalia
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
in ^in++++=in
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
threw ^vbd+++xvbnx+=threw
herself ^ppl+pp3+++=herself
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
lamenting ^jj+++xvbg+=lamenting
aloud ^rb++++=aloud:
: ^zz++++=EXTRAWORD
' ^zz++++='Now
now ^rn+tm+++=EXTRAWORD
will ^md+prd+++=will
men ^vb++++=men
point ^nn++++=point
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Behold
behold ^vb++++=EXTRAWORD
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
the ^ati++++=the
coward ^nn++++=coward
and ^cc++++=and
apostate ^nn+nom+++=apostate,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
for ^in++++=for
fear ^nn++++=fear
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
hath ^vbz+hvz+aux++=hath
denied ^vprf+++xvbnx+=denied
his ^pp$+pp3+++=his
God ^nn++++=God.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
noble ^jj++++=noble
and ^cc+phrs+++=and
strong ^jj++++=strong-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
woman ^nn++++=woman,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Adrian ^np++++=Adrian's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
at ^in++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
bless ^vb++++=bless
God ^np++++=God
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
unworthy ^jj++++=unworthy
of ^in++++=of
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
Open ^jj++++=Open
the ^ati++++=the
door ^nn++++=door
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
bid ^vprf+++xvbn+=bid
thee ^pp2+pp2+++=thee
farewell ^nn++++=farewell.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
last ^jj+atrb+++=last
farewell ^nn++++=farewell,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
duly ^rb++++=duly
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
prison ^nn++++=prison;
; ^zz++++=EXTRAWORD
for ^in++++=for
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
cruelly ^rb++++=cruelly
scourged ^jj+++xvbn+=scourged
and ^cc+phrs+++=and
tortured ^jj+++xvbn+=tortured
before ^in++++=before
the ^ati++++=the
tribunal ^nn+nom+++=tribunal,
, ^zz++++=EXTRAWORD
Natalia ^np+++??+=Natalia,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
hair ^nn++++=hair
cut ^vbd+++xvbn+=cut
short ^jj++++=short,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wearing ^vbg+++xvbg+=wearing
the ^ati++++=the
disguise ^nn++++=disguise
of ^in++++=of
a ^at++++=a
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
to ^to++++=to
tend ^vbi++++=tend
and ^cc++++=and
comfort ^nn++++=comfort
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
him ^pp3o+pp3+++=him
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms
saying ^vwbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
light ^jj++++=light
of ^in++++=of
mine ^nn++++=mine
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
husband ^nn++++=husband
of ^in++++=of
mine ^nn++++=mine
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
blessed ^jj+atrb++xvbn+=blessed
art ^nn++++=art
thou ^pp2+pp2+++=thou,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
art ^nn++++=art
chosen ^vbd+++xvbn+=chosen
to ^to++++=to
suffer ^vbi++++=suffer
for ^in++++=for
Christ ^np++++=Christ's
's ^$++++=EXTRAWORD
sake ^nn++++=sake.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
following ^jj+atrb++xvbg+=following
day ^nn++++=day,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tyrant ^nn++++=tyrant
ordered ^vbd+vsua++xvbn+=ordered
that ^tht+vcmp+++=that
Adrian ^np++++=Adrian's
's ^$++++=EXTRAWORD
limbs ^nns++++=limbs
should ^md+nec+++=should
be ^vb+be+vrb++=be
one ^pn++++=one
by ^in++++=by
one ^cd1++++=one
struck ^vprf+++xvbn+=struck
off ^in+pl+++=off
on ^in++++=on
a ^at++++=a
blacksmith ^nn++++=blacksmith's
's ^$++++=EXTRAWORD
anvil ^nn+++??+=anvil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lastly ^nn++++=lastly
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
still ^rb++++=still
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
wife ^nn++++=wife
who ^whp+rel+subj++=who
held ^vbd+vprv++xvbn+=held
him ^pp3o+pp3+++=him
and ^cc++++=and
sustained ^jj+++xvbn+=sustained
him ^pp3o+pp3+++=him
through ^in++++=through
all ^abn++++=all
and ^cc++++=and,
, ^zz++++=EXTRAWORD
ere ^nn+++??+=ere
the ^ati++++=the
last ^jj+atrb+++=last
stroke ^nn++++=stroke
of ^in++++=of
the ^ati++++=the
executioner ^nn+nom+++=executioner,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
up ^rb+phrv+++=up
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
severed ^jj+atrb++xvbn+=severed
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
kissed ^j+++xvbn+=kissed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
placed ^vbd+++xvbn+=placed
it ^pp3+it+++=it
in ^in++++=in
her ^pp$+pp3+++=her
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
escaping ^vbg+++xvbg+=escaping
to ^in++++=to
Byzantium ^np++++=Byzantium,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
spent ^vbd+++xvbn+=spent
her ^pp$+pp3+++=her
life ^nn++++=life
in ^in++++=in
widowhood ^nn+nom+++=widowhood.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
among ^in++++=among
these ^dt+dem+++=these
devoted ^jj+atrb++xvbn+=devoted
wives ^nns++++=wives
should ^md+nec+++=should
we ^pp1a+pp1+++=we
pass ^vb++++=pass
by ^in++++=by
Gertrude ^np++++=Gertrude,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
Rudolf ^np++++=Rudolf,
, ^zz++++=EXTRAWORD
Baron ^npt++++=Baron
von ^&fw++++=von
der ^&fw++++=der
Wart ^np+++??+=Wart,
, ^zz++++=EXTRAWORD
a ^at++++=a
Swabian ^np+++??+=Swabian
nobleman ^nn+nom+++=nobleman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
ill ^jj++++=ill-advised
- ^zz++++=EXTRAWORD
advised ^vbd+vpub++xvbn+=EXTRAWORD
as ^in++++=as
to ^in++++=to
join ^nn++++=join
in ^in++++=in
a ^at++++=a
conspiracy ^nn+nom+++=conspiracy
of ^in++++=of
Johann ^np+++??+=Johann
of ^in++++=of
Hapsburg ^np+++??+=Hapsburg,
, ^zz++++=EXTRAWORD
in ^in++++=in
1308 ^cd++++=1308,
, ^zz++++=EXTRAWORD
against ^in++++=against
the ^ati++++=the
Emperor ^nn++++=Emperor,
, ^zz++++=EXTRAWORD
Albrecht ^np+++??+=Albrecht
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
and ^cc+phrs+++=and
good ^jj+atrb+++=good
Rudolf ^np++++=Rudolf
of ^in++++=of
Hapsburg ^np+++??+=Hapsburg.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
Johann ^np+++??+=Johann
was ^vbd+bedz+vrb++=was
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
the ^ati++++=the
Emperor ^np++++=Emperor's
's ^$++++=EXTRAWORD
brother ^nn++++=brother
Rudolf ^np++++=Rudolf,
, ^zz++++=EXTRAWORD
a ^at++++=a
brave ^jj+atrb+++=brave
knight ^nn++++=knight
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
young ^jj++++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Johann ^np+++??+=Johann
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
brought ^vpsv++agls+xvbnx+=brought
up ^rb+phrv+++=up
by ^in++++=by
a ^at++++=a
Baron ^npt++++=Baron
called ^vbd+++xvbn+=called
Walther ^np+++??+=Walther
von ^&fw++++=von
Eschenbach ^np+++??+=Eschenbach,
, ^zz++++=EXTRAWORD
until ^in++++=until,
, ^zz++++=EXTRAWORD
at ^rb++++=at
nineteen ^cd++++=nineteen
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
his ^pp$+pp3+++=his
uncle ^nn++++=uncle
to ^in++++=to
demand ^nn++++=demand
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
inheritance ^nn+nom+++=inheritance.
. ^zz++++=EXTRAWORD
Albrecht ^np+++??+=Albrecht
was ^vbd+bedz+vrb++=was
a ^at++++=a
rude ^jj+atrb+++=rude
and ^cc+phrs+++=and
uncouth ^jj+atrb+++=uncouth
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
refused ^vbd+++xvbn+=refused
disdainfully ^rb++++=disdainfully
the ^ati++++=the
demand ^nn++++=demand,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
the ^ati++++=the
noblemen ^nns++++=noblemen
of ^in++++=of
the ^ati++++=the
disputed ^jj+atrb++xvbn+=disputed
territory ^nn++++=territory
stirred ^vbd+++xvbn+=stirred
up ^rp++++=up
the ^ati++++=the
young ^jj+atrb+++=young
prince ^nn++++=prince
to ^in++++=to
form ^nn++++=form
a ^at++++=a
plot ^nn++++=plot
against ^in++++=against
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
all ^abn++++=all
having ^jj+++xvbg+=having
evidently ^rb++++=evidently
different ^jj+atrb+++=different
views ^nns++++=views
of ^in++++=of
the ^ati++++=the
lengths ^nns++++=lengths
to ^to++++=to
which ^whp+who+++=which
they ^pp3a+pp3+++=they
would ^md+prd+++=would
proceed ^vb++++=proceed.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
that ^tht+rel+obj++=that
the ^ati++++=the
Swiss ^jj++++=Swiss,
, ^zz++++=EXTRAWORD
angry ^jj++++=angry
at ^in++++=at
the ^ati++++=the
overweening ^jj+atrb++xvbg+=overweening
and ^cc+phrs+++=and
oppressive ^jj+atrb+++=oppressive
behaviour ^nn++++=behaviour
of ^in++++=of
Albrecht ^np++++=Albrecht's
's ^$++++=EXTRAWORD
governors ^npts++++=governors,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
first ^rb++splt++=first
taking ^vbg+++xvbgx+=taking
up ^rb+phrv+++=up
arms ^nns++++=arms
to ^to++++=to
maintain ^vbi+vpub+++=maintain
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
owed ^vbd+++xvbnx+=owed
no ^at++++=no
duty ^nn++++=duty
to ^to+ncmp+++=to
him ^pp3o+pp3+++=him
as ^ql++++=as
Duke ^npt++++=Duke
of ^in++++=of
Austria ^np++++=Austria,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
merely ^rb+down+++=merely
as ^ql++++=as
Emperor ^npt++++=Emperor
of ^in++++=of
Germany ^np++++=Germany.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
out ^rb+phrv+++=out
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
to ^to++++=to
chastise ^vbi++++=chastise
them ^pp3o+pp3+++=them
as ^ql++++=as
rebels ^nns++++=rebels,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
with ^in++++=with
him ^pp3o+pp3+++=him
a ^at++++=a
considerable ^jj+atrb+++=considerable
train ^nn++++=train,
, ^zz++++=EXTRAWORD
of ^in++++=of
whom ^whp+rel+pied++=whom
his ^pp$+pp3+++=his
nephew ^nn++++=nephew
Johann ^np+++??+=Johann
was ^vbd+bedz+vrb++=was
one ^pn++++=one.
. ^zz++++=EXTRAWORD
At ^in++++=At
Baden ^np+++??+=Baden,
, ^zz++++=EXTRAWORD
Johann ^np+++??+=Johann,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
last ^rb++++=last
experiment ^nn+nom+++=experiment,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
applied ^vbd+++xvbn+=applied
for ^in++++=for
his ^pp$+pp3+++=his
inheritance ^nn+nom+++=inheritance,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
Albrecht ^np+++??+=Albrecht
held ^vbd+vprv++xvbn+=held
out ^rp+pl+++=out
a ^at++++=a
wreath ^nn++++=wreath
of ^in++++=of
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
telling ^jj+++xvbg+=telling
him ^pp3o+pp3+++=him
they ^pp3a+pp3+++=they
better ^jjr++++=better
became ^vbd+++xvbn+=became
his ^pp$+pp3+++=his
years ^nns++++=years
than ^in++++=than
did ^vbd+dod+vrb++=did
the ^ati++++=the
cares ^nn++++=cares
of ^in++++=of
government ^nn+nom+++=government.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
burst ^vbd+++xvbnx+=burst
into ^in+ppvb+++=into
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
threw ^j+++xvbn+=threw
the ^ati++++=the
wreath ^nn++++=wreath
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fed ^vbd+++xvbn+=fed
his ^pp$+pp3+++=his
mind ^nn++++=mind
upon ^in++++=upon
the ^ati++++=the
savage ^jj+atrb+++=savage
purpose ^nn++++=purpose
of ^in++++=of
letting ^xvbg+++xvbg+=letting
his ^pp$+pp3+++=his
uncle ^nn++++=uncle
find ^vb+vprv+++=find
out ^rp+pl+++=out
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
fit ^nn++++=fit
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
By ^in++++=By
and ^cc++++=and
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
the ^ati++++=the
party ^nn++++=party
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Reuss ^np+++??+=Reuss,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
bridge ^npl++++=bridge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
one ^cd1++++=one
single ^jj+atrb+++=single
boat ^nn++++=boat
to ^to++++=to
carry ^vbi++++=carry
the ^ati++++=the
whole ^nn++++=whole
across ^in+strn+++=across.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
to ^to++++=to
cross ^vbi++++=cross
were ^vbd+bed+vrb++=were
the ^ati++++=the
Emperor ^nn++++=Emperor
with ^in++++=with
one ^cd1++++=one
attendant ^nn+nom+++=attendant,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides
his ^pp$+pp3+++=his
nephew ^nn++++=nephew
and ^cc++++=and
four ^cd++++=four
of ^in++++=of
the ^ati++++=the
secret ^jj+atrb+++=secret
partisans ^nns+nom+++=partisans
of ^in++++=of
Johann ^np+++??+=Johann.
. ^zz++++=EXTRAWORD
Albrecht ^np++++=Albrecht's
's ^$++++=EXTRAWORD
son ^nn++++=son
Leopold ^np++++=Leopold
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
to ^to++++=to
follow ^vbi+vprv+++=follow
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
suite ^nn++++=suite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Emperor ^nn++++=Emperor
rode ^vbd+++xvbn+=rode
on ^in++++=on
towards ^in++++=towards
the ^ati++++=the
hills ^nns++++=hills
of ^in++++=of
his ^pp$+pp3+++=his
home ^nr++++=home,
, ^zz++++=EXTRAWORD
towards ^in++++=towards
the ^ati++++=the
Castle ^nn++++=Castle
of ^in++++=of
Hapsburg ^np+++??+=Hapsburg,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^vbz+bez+vrb++0=EXTRAWORD
noble ^jj+atrb+++=noble
qualities ^nns+nom+++=qualities
had ^vbd+hvd+aux++=had
earned ^vprf+++xvbnx+=earned
the ^ati++++=the
reputation ^nn+nom+++=reputation
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
greatness ^nns+nom+++=greatness
of ^in++++=of
the ^ati++++=the
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
his ^pp$+pp3+++=his
