New ^jj+atrb+++=NEW
walked ^vbd+++xvbnx+=walked
quietly ^rb++++=quietly
round ^jj++++=round
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
a ^at++++=a
detached ^jj+atrb++xvbn+=detached
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
it ^pp3+it+++=it
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
in ^in++++=in
and ^cc++++=and
struck ^vbd+++xvbn+=struck
a ^at++++=a
match ^nn++++=match.
. ^zz++++=EXTRAWORD
A ^at++++=A
candle ^nn++++=candle
stood ^vbd+++xvbn+=stood,
, ^zz++++=EXTRAWORD
stuck ^j+++xvbn+=stuck
in ^in++++=in
a ^at++++=a
blot ^nn++++=blot
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own
grease ^nn++++=grease,
, ^zz++++=EXTRAWORD
on ^in++++=on
one ^cd1++++=one
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
dresser ^nn++++=dresser.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lit ^vbd+++xvbnx+=lit
the ^ati++++=the
candle ^nn++++=candle
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
round ^rb++++=round.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
kitchen ^nn++++=kitchen
were ^vbd+bed+aux++=were
of ^in++++=of
split ^xvbn+++xvbn+=split
slabs ^nns++++=slabs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
roof ^nn++++=roof
box ^nn++++=box-bark,
- ^zz++++=EXTRAWORD
bark ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
floor ^nn++++=floor
clay ^nn++++=clay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
large ^jj+atrb+++=large
clay ^nn++++=clay-lined
- ^zz++++=EXTRAWORD
lined ^jj+atrb++xvbn+=EXTRAWORD
fireplace ^nn++++=fireplace,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sides ^nns++++=sides
a ^at++++=a
dirty ^jj++++=dirty
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
back ^jjb+atrb+++=back
black ^nn++++=black.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
evidently ^rb++splt++=evidently
never ^rb++++=never
been ^vprf+ben+aux+xvbn+=been
whitewashed ^vpsv++agls+xvbnx+=whitewashed.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
bed ^nn++++=bed
of ^in++++=of
about ^in++++=about
a ^at++++=a
week ^nn++++=week's
's ^$++++=EXTRAWORD
ashes ^nns++++=ashes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
above ^jjb++++=above
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
suspended ^xvbn+++xvbn+=suspended
by ^in++++=by
a ^at++++=a
blackened ^jj+atrb+++=blackened
hook ^nn++++=hook
and ^cc++++=and
chain ^nn++++=chain
from ^in++++=from
a ^at++++=a
grimy ^jj++++=grimy
cross ^jj++++=cross-bar,
- ^zz++++=EXTRAWORD
bar ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
a ^at++++=a
black ^jj+atrb+++=black
bucket ^nn++++=bucket
full ^jj++++=full
of ^in++++=of
warm ^jj+atrb+++=warm
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
got ^vbd+++xvbn+=got
a ^at++++=a
fork ^nn++++=fork,
, ^zz++++=EXTRAWORD
explored ^j+++xvbn+=explored
the ^ati++++=the
bucket ^nn++++=bucket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
expected ^vbd+vprv++xvbnx+=expected
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
raw ^jj++++=raw
corned ^jj+++xvbn+=corned-beef
- ^zz++++=EXTRAWORD
beef ^nn++++=EXTRAWORD
in ^in++++=in
water ^nn++++=water,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
off ^in+pl+++=off
the ^ati++++=the
boil ^nn++++=boil
before ^cs+sub+++=before
the ^ati++++=the
meat ^nn++++=meat
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
heated ^vpsv++agls+xvbnx+=heated
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
The ^ati++++=The
kitchen ^nn++++=kitchen
was ^vbd+bedz+aux++=was
furnished ^vpsv++agls+xvbnx+=furnished
with ^in++++=with
a ^at++++=a
pine ^nn++++=pine
table ^nn++++=table,
, ^zz++++=EXTRAWORD
a ^at++++=a
well ^rb++++=well-made
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
flour ^nn++++=flour
bin ^&fw++++=bin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
neat ^jj++++=neat
safe ^jj++++=safe
and ^cc++++=and
side ^nn++++=side-board,
- ^zz++++=EXTRAWORD
board ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
dresser ^nn++++=dresser
evidently ^rb++++=evidently
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
a ^at++++=a
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
safe ^jj++++=safe
was ^vbd+bedz+vrb++=was
dirty ^jj++++=dirty
covered ^jj+++xvbn+=covered
with ^in++++=with
crumbs ^nns++++=crumbs
and ^cc++++=and
grease ^nn++++=grease
and ^cc++++=and
tea ^nn++++=tea
stains ^nns++++=stains.
. ^zz++++=EXTRAWORD
On ^in++++=On
one ^cd1++++=one
corner ^nn++++=corner
lay ^vbd+++xvbn+=lay
a ^at++++=a
school ^nn++++=school
exercise ^nn++++=exercise
book ^nn++++=book,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
stone ^nn++++=stone
ink ^nn++++=ink-bottle
- ^zz++++=EXTRAWORD
bottle ^nn++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
pen ^nn++++=pen
beside ^in+pl+++=beside
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
book ^nn++++=book
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
at ^rb++++=at
a ^at++++=a
page ^nn++++=page
written ^vbd+++xvbn+=written
in ^in++++=in
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
verse ^nn++++=verse,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
headed ^vbd+++xvbn+=headed
" ^zz++++="Misunderstood."
misunderstood ^vprf+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
edges ^nns++++=edges
of ^in++++=of
the ^ati++++=the
book ^nn++++=book
between ^in++++=between
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
and ^cc++++=and
thumbs ^nns++++=thumbs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vpsv++agls+xvbn+=made
to ^to+vcmp+++=to
tear ^vb++++=tear
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cover ^nn++++=cover
being ^vwbg+beg++xvbg+=being
tough ^jj++++=tough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resisting ^vbg+++xvbg+=resisting
the ^ati++++=the
first ^rb++++=first
savage ^jj+atrb+++=savage
tug ^nn++++=tug,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
altered ^vbd+++xvbnx+=altered
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
the ^ati++++=the
book ^nn++++=book
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
jumble ^nn++++=jumble
of ^in++++=of
dirty ^jj+atrb+++=dirty
crockery ^nn+nom+++=crockery
on ^in++++=on
one ^cd1++++=one
end ^nn++++=end,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
on ^in++++=on
a ^at++++=a
sheet ^nn++++=sheet
of ^in++++=of
stained ^jj+atrb++xvbn+=stained
newspaper ^nn+nom+++=newspaper,
, ^zz++++=EXTRAWORD
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
a ^at++++=a
meal ^nn++++=meal
a ^at++++=a
junk ^nn++++=junk
of ^in++++=of
badly ^rb++++=badly-hacked
- ^zz++++=EXTRAWORD
hacked ^vbd+++xvbn+=EXTRAWORD
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
a ^at++++=a
basin ^nn++++=basin
of ^in++++=of
dripping ^xvbg+++xvbg+=dripping
( ^zz++++=(with
with ^in++++=EXTRAWORD
the ^ati++++=the
fat ^nn++++=fat
over ^in++++=over
the ^ati++++=the
edges ^nns++++=edges),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tin ^nn++++=tin
of ^in++++=of
treacle ^nn++++=treacle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
treacle ^nn++++=treacle
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
down ^rb+phrv+++=down
the ^ati++++=the
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
tin ^nn++++=tin
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Knives ^nns++++=Knives,
, ^zz++++=EXTRAWORD
heavy ^jj++++=heavy
with ^in++++=with
treacle ^nn++++=treacle,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
glued ^jj+++xvbn+=glued
to ^in++++=to
the ^ati++++=the
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
dish ^nn++++=dish
with ^in++++=with
some ^dti++++=some
water ^nn++++=water,
, ^zz++++=EXTRAWORD
a ^at++++=a
rag ^nn++++=rag,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
cup ^nn++++=cup
or ^cc++++=or
two ^cd++++=two
in ^in++++=in
it ^pp3+it+++=it
evidently ^rb++++=evidently
an ^at++++=an
attempt ^nn++++=attempt
to ^to+ncmp+++=to
wash ^vbi++++=wash-up.
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
a ^at++++=a
cup ^nn++++=cup
and ^cc++++=and
pressed ^vbd+++xvbn+=pressed
it ^pp3+it+++=it
hard ^jj++++=hard
between ^in++++=between
his ^pp$+pp3+++=his
palms ^nns++++=palms,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
it ^pp3+it+++=it
broke ^vbd+++xvbn+=broke.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
relieved ^vbd+++xvbn+=relieved.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gathered ^vbd+++xvbnx+=gathered
the ^ati++++=the
fragments ^nns+nom+++=fragments
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
the ^ati++++=the
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stumbled ^vbd+++xvbn+=stumbled
out ^rp+pl+++=out
to ^to++++=to
where ^wrb+who+++=where
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
dust ^nn++++=dust-heap.
- ^zz++++=EXTRAWORD
heap ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Kicking ^vbg+++xvbg+=Kicking
a ^at++++=a
hole ^nn++++=hole
in ^in++++=in
the ^ati++++=the
ashes ^nns++++=ashes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
dropped ^vbd+++xvbnx+=dropped
in ^in++++=in
the ^ati++++=the
bits ^nns++++=bits
of ^in++++=of
broken ^jj+atrb++xvbn+=broken
crockery ^nn+nom+++=crockery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
covered ^vwbn+++xvbn+=covered
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
his ^pp$+pp3+++=his
anger ^nn++++=anger
blazed ^vbd+++xvbn+=blazed
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
quickly ^rb++++=quickly
to ^in++++=to
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
thrust ^j+++xvbn+=thrust
the ^ati++++=the
door ^nn++++=door
open ^nn++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flung ^vpsv++agls+xvbn+=flung
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
said ^vbd+vpub++xvbn+=said
from ^in++++=from
the ^ati++++=the
dark ^jj++++=dark
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
father ^nn++++=father?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
tread ^vb++++=tread
on ^rp++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
as ^in++++=as
bare ^nn++++=bare
as ^in++++=as
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
table ^nn++++=table,
, ^zz++++=EXTRAWORD
covered ^j+++xvbn+=covered
with ^in++++=with
cheap ^jj+atrb+++=cheap
American ^jj+atrb+++=American
oilcloth ^nn+++??+=oilcloth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side,
, ^zz++++=EXTRAWORD
a ^at++++=a
sofa ^nn++++=sofa
on ^in++++=on
which ^whp+rel+pied++=which
a ^at++++=a
straw ^nn++++=straw
mattress ^nns+nom+++=mattress,
, ^zz++++=EXTRAWORD
a ^at++++=a
cloudy ^jj+atrb+++=cloudy
blanket ^nn++++=blanket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pillow ^nn++++=pillow
without ^in++++=without
a ^at++++=a
slip ^vb++++=slip
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thrown ^vpsv++agls+xvbnx+=thrown
in ^in++++=in
a ^at++++=a
heap ^nn++++=heap.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
sofa ^nn++++=sofa
and ^cc++++=and
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
a ^at++++=a
boy ^nn++++=boy
child ^nn++++=child
almost ^rb+hdg+++=almost
on ^in++++=on
a ^at++++=a
similar ^jj+atrb+++=similar
mattress ^nns+nom+++=mattress,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
cover ^nn++++=cover
of ^in++++=of
coarse ^jj+atrb+++=coarse
sacking ^nn++++=sacking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bundle ^nn++++=bundle
of ^in++++=of
dirty ^jj+atrb+++=dirty
clothes ^nns++++=clothes
for ^in++++=for
a ^at++++=a
pillow ^nn++++=pillow.
. ^zz++++=EXTRAWORD
A ^at++++=A
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
thin ^jj++++=thin-faced,
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
dark ^jj++++=dark-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="Mother's
mother ^nn++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
bad ^jj++++=bad
again ^rb+tm+++=again
with ^in++++=with
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
to ^to++++=to
come ^vbi++++=come
in ^in++++=in
quiet ^jj++++=quiet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sleep ^nn++++=sleep
on ^in++++=on
the ^ati++++=the
sofa ^nn++++=sofa
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started
to ^to++++=to
wash ^vbi++++=wash
up ^rp++++=up
and ^cc++++=and
clean ^vb++++=clean
up ^rp++++=up
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
sick ^jj++++=sick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
quickened ^vbd+++xvbn+=quickened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
candle ^nn++++=candle
down ^in++++=down
to ^in++++=to
the ^ati++++=the
child ^nn++++=child's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
better ^jjr++++=better
