This ^dt+pdem+++=THIS
Benton ^np+++??+=Benton
or ^cc++++=or
Henson ^np+++??+=Henson,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
something ^pn++++=something
of ^in++++=of
that ^dt+dem+++=that
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
first ^rb++++=first
few ^ap++++=few
pages ^nns++++=pages.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
listened ^vbd+++xvbn+=listened
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cs+sub+++=EXTRAWORD
that ^cs"++++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
book ^nn++++=book,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
someone ^pn++++=someone
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
chose ^vbd+++xvbnx+=chose
another ^dt++++=another.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
history ^nn++++=history,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
the ^ati++++=the
writer ^nn++++=writer's
's ^$++++=EXTRAWORD
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
trepidation ^nn+nom+++=trepidation
increased ^vbd+++xvbn+=increased
as ^ql++++=as
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
word ^nn++++=word
of ^in++++=of
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
style ^nn++++=style
in ^in++++=in
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written
was ^vbd+bedz+vrb++=was
execrable ^jj+pred+++=execrable.
. ^zz++++=EXTRAWORD
" ^zz++++="Poetry!
poetry ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Poetry ^nn++++=Poetry!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
impatiently ^rb++++=impatiently.
. ^zz++++=EXTRAWORD
" ^zz++++="Read
read ^vb+vprv++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
poetry ^nn++++=poetry!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
describe ^vb++++=describe
the ^ati++++=the
desolation ^nn+nom+++=desolation
which ^whp+rel+subj++=which
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
us ^pp1o+pp1+++=us
as ^ql++++=as
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
a ^rb++++=a
little ^rb"++++=little
volume ^nn++++=volume
and ^cc++++=and
mouthed ^vbd+++xvbn+=mouthed
out ^rp+pl+++=out
the ^ati++++=the
verbose ^jj+atrb+++=verbose,
, ^zz++++=EXTRAWORD
sentimental ^jj+atrb+++=sentimental
foolery ^nn+nom+++=foolery
which ^whp+rel+obj++=which
it ^pp3+it+++=it
contained ^vbd+++xvbn+=contained.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
written ^vpsv++by+xvbnx+=written
by ^in++++=by
a ^at++++=a
woman ^nn++++=woman,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
urged ^vbd+vsua++xvbn+=urged.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^rb++++=no.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub++xvbnx+=told
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
written ^vpsv++by+xvbnx+=written
by ^in++++=by
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
famous ^jj+atrb+++=famous
poets ^nns++++=poets
of ^in++++=of
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
leave ^vb++++=leave
you ^pp2+pp2+++=you
to ^to++++=to
imagine ^vbi+vprv+++=imagine
what ^wdt+who+whcl++=what
the ^ati++++=the
shock ^nn++++=shock
of ^in++++=of
the ^ati++++=the
discovery ^nn+nom+++=discovery
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
we ^pp1a+pp1+++=we
all ^rb++++=all
cried ^vbd+++xvbn+=cried
and ^cc+phrs+++=and
begged ^vbd+++xvbn+=begged
her ^pp$+pp3+++=her
to ^to++++=to
read ^vbn+vprv++xvbn+=read
no ^at++++=no
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
persisted ^vbd+++xvbnx+=persisted
and ^cc+phrs+++=and
read ^vbd+vprv++xvbn+=read
us ^pp1o+pp1+++=us
extracts ^nns++++=extracts
from ^in++++=from
the ^ati++++=the
Lives ^nns++++=Lives
of ^in++++=of
the ^ati++++=the
Lord ^npt++++=Lord
Chancellors ^np+++??+=Chancellors.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished,
, ^zz++++=EXTRAWORD
Jane ^np++++=Jane,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eldest ^jjt++++=eldest
and ^cc+phrs+++=and
wisest ^jjt++++=wisest
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose
to ^in++++=to
her ^pp$+pp3+++=her
feet ^nns++++=feet
and ^cc++++=and
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
for ^in++++=for
one ^cd1++++=one
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
convinced ^vbd+++xvbn+=convinced.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,"
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
men ^nns++++=men
write ^vb++++=write
such ^abl++++=such
rubbish ^nn++++=rubbish
as ^in++++=as
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
our ^pp$+pp1+++=our
mothers ^nns+nom+++=mothers
have ^vb+hv+aux++=have
wasted ^vprf+++xvbnx+=wasted
their ^pp$+pp3+++=their
youth ^nn++++=youth
in ^in++++=in
bringing ^xvbg+++xvbg+=bringing
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
world ^nn++++=world?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
all ^abn++++=all
silent ^jj++++=silent;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
Poll ^nn++++=Poll
could ^md+pos+++=could
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard
sobbing ^vbg+++xvbg+=sobbing
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
did ^vbd+dod+vrb++=did
my ^pp$+pp1+++=my
father ^nn++++=father
teach ^vb+vsua+++=teach
me ^pp1o+pp1+++=me
to ^to++++=to
read ^vbn+vprv++xvbn+=read?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Clorinda ^np+++??+=Clorinda
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
come ^vbi++++=come
to ^in++++=to
her ^pp$+pp3+++=her
senses ^nns++++=senses.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
our ^pp$+pp1+++=our
fault ^nn++++=fault,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
to ^to++++=to
read ^vbn+vprv++xvbn+=read.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no
one ^pn++++=one,
, ^zz++++=EXTRAWORD
save ^vb++++=save
Poll ^nn++++=Poll,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
taken ^vprf+++xvbnx+=taken
the ^ati++++=the
trouble ^nn++++=trouble
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
for ^in++++=for
one ^pn++++=one,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
it ^pp3+it+++=it
for ^in++++=for
granted ^vbn+vsua++xvbn+=granted
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
duty ^nn++++=duty
to ^to+ncmp+++=to
spend ^vbi++++=spend
her ^pp$+pp3+++=her
youth ^nn++++=youth
in ^in++++=in
bearing ^xvbg+++xvbg+=bearing
children ^nns++++=children.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
venerated ^vbd+++xvbnx+=venerated
my ^pp$+pp1+++=my
mother ^nn++++=mother
for ^in++++=for
bearing ^xvbg+++xvbg+=bearing
ten ^cd++++=ten;
; ^zz++++=EXTRAWORD
still ^rb++++=still
more ^ql++++=more
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother
for ^in++++=for
bearing ^xvbg+++xvbg+=bearing
fifteen ^cd++++=fifteen;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
own ^ap++++=own
ambition ^nn+nom+++=ambition
to ^to++++=to
bear ^vbi+vprv+++=bear
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
on ^in++++=on
all ^abn++++=all
these ^dt+dem+++=these
ages ^nns++++=ages
supposing ^vb+vprv++xvbg+=supposing
that ^tht+vcmp+++=that
men ^nns++++=men
were ^vbd+bed+vrb++=were
equally ^rb++++=equally
industrious ^jj+pred+++=industrious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
works ^nns++++=works
were ^vbd+bed+vrb++=were
of ^in++++=of
equal ^jj+atrb+++=equal
merit ^nn++++=merit.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
borne ^vprf+++xvbnx+=borne
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
supposed ^vbd+vprv++xvbn+=supposed,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
borne ^vprf+++xvbnx+=borne
the ^ati++++=the
books ^nns++++=books
and ^cc++++=and
the ^ati++++=the
pictures ^nns++++=pictures.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
populated ^vprf+++xvbnx+=populated
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+vrb++=have
civilized ^jj++++=civilized
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
can ^md+pos+++=can
read ^vb+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
prevents ^vbz++++=prevents
us ^pp1o+pp1+++=us
from ^in++++=from
judging ^xvbg+++xvbg+=judging
the ^ati++++=the
results ^nns++++=results?
? ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
we ^pp1a+pp1+++=we
bring ^vb++++=bring
another ^dt++++=another
child ^nn++++=child
into ^in++++=into
the ^ati++++=the
world ^nn++++=world
we ^pp1a+pp1+++=we
must ^md+nec+++=must
swear ^vb+++xvbn+=swear
that ^tht+vcmp+obj++=that
we ^pp1a+pp1+++=we
will ^md+prd+++=will
find ^vb+vprv+++=find
out ^rp+pl+++=out
what ^wdt+who+++=what
the ^ati++++=the
world ^nn++++=world
is ^vbz+bez+vrb++=is
like ^in+strn+++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
