Two ^cd++++=Two
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
will ^md+prd+++=will
we ^pp1a+pp1+++=we
eat ^vb++++=eat?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Here's
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
our ^pp$+pp1+++=our
lunch ^nn++++=lunch;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
that ^dt+pdem+++=that's
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone
we ^pp1a+pp1+++=we
can ^md+pos+++=can
roast ^vb++++=roast
the ^ati++++=the
squirrels ^nns++++=squirrels
and ^cc++++=and
cook ^nn++++=cook
the ^ati++++=the
fish ^nns++++=fish
on ^in++++=on
a ^at++++=a
stick ^nn++++=stick.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
get ^vb++++=get
the ^ati++++=the
fire ^nn++++=fire?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Got
got ^vbd+++xvbn+=EXTRAWORD
matches ^vbz++++=matches
in ^in++++=in
my ^pp$+pp1+++=my
pocket ^nn++++=pocket."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
things ^nns++++=things
we ^pp1a+pp1+++=we
could ^md+pos+++=could
use ^vb++++=use.
. ^zz++++=EXTRAWORD
Let ^vb++++0=Let's
us ^pp1o+pp1+++=EXTRAWORD
see ^vb+vprv+++=see."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
as ^cs+sub+++=as
if ^cs+cnd+++=if
satisfied ^jj+++xvbn+=satisfied
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
cautious ^jj+atrb+++=cautious
Billy ^np++++=Billy
displayed ^vbd+++xvbn+=displayed
his ^pp$+pp3+++=his
treasures ^nns++++=treasures,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
bold ^jj+atrb+++=bold
Tommy ^np++++=Tommy
did ^vbd+dod+vrb++=did
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
the ^ati++++=the
two ^cd++++=two
knives ^nns++++=knives
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
strings ^nns++++=strings,
, ^zz++++=EXTRAWORD
nails ^nns++++=nails,
, ^zz++++=EXTRAWORD
matches ^vbz++++=matches,
, ^zz++++=EXTRAWORD
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
putty ^nn++++=putty,
, ^zz++++=EXTRAWORD
fish ^nns++++=fish-hooks,
- ^zz++++=EXTRAWORD
hooks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
very ^ql+amp+++=very
dirty ^jj+atrb+++=dirty
handkerchiefs ^nns+++??+=handkerchiefs.
. ^zz++++=EXTRAWORD
" ^zz++++="There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
first ^od++++=first-rate
- ^zz++++=EXTRAWORD
rate ^nn++++=EXTRAWORD
fit ^vb++++=fit-out
- ^zz++++=EXTRAWORD
out ^rb+phrv+++=EXTRAWORD
for ^in+ppvb+++=for
hunters ^nns+nom+++=hunters;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
jolly ^jj+atrb+++=jolly
basket ^nn++++=basket
of ^in++++=of
lunch ^nn++++=lunch
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Mullin ^np++++=Mullin
gave ^vbd+++xvbn+=gave
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
get ^vb++++=get
on ^in++++=on
tip ^nn++++=tip-top
- ^zz++++=EXTRAWORD
top ^jjb++++=EXTRAWORD
for ^in++++=for
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
days ^nns++++=days,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tommy ^np++++=Tommy,
, ^zz++++=EXTRAWORD
eager ^jj++++=eager
to ^to+jcmp+++=to
be ^vbi++vrb++=be
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
sleep ^nn++++=sleep?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
who ^whp+who+++=who
liked ^vbd+++xvbn+=liked
to ^to+vcmp+++=to
be ^vbi++vrb++=be
comfortable ^jj+pred+++=comfortable
both ^abx++++=both
night ^nn++++=night
and ^cc++++=and
day ^nn++++=day.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
up ^rp++++=up
in ^in++++=in
trees ^nns++++=trees
or ^cc++++=or
on ^in++++=on
beds ^nns++++=beds
of ^in++++=of
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
fellows ^nns++++=fellows
in ^in++++=in
our ^pp$+pp1+++=our
books ^nns++++=books.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
afraid ^jj+pred+++=afraid,
, ^zz++++=EXTRAWORD
stay ^vb++++=stay
at ^rb++++=at
home ^nr++++=home;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++vrb++=have
no ^at++++=no
end ^nn++++=end
of ^in++++=of
a ^at++++=a
good ^jj+atrb+++=good
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Tommy ^np++++=Tommy
crammed ^vbd+++xvbn+=crammed
the ^ati++++=the
things ^nns++++=things
back ^jjb++++=back
into ^in++++=into
his ^pp$+pp3+++=his
pockets ^nns++++=pockets
as ^cs+sub+++=as
if ^cs+cnd+++=if
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
time ^nn++++=time
to ^to++++=to
lose ^vbi++++=lose.
. ^zz++++=EXTRAWORD
" ^zz++++="Pooh!
pooh ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
afraid ^jj++++=afraid.
. ^zz++++=EXTRAWORD
Come ^vb++++=Come
on ^in+strn+++=on!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
jumping ^jj+++xvbg+=jumping
down ^rp++++=down
Billy ^np++++=Billy
caught ^vbd+++xvbn+=caught
up ^rp++++=up
his ^pp$+pp3+++=his
rod ^nn++++=rod,
, ^zz++++=EXTRAWORD
rather ^rb++++=rather
ashamed ^jj++++=ashamed
of ^in++++=of
his ^pp$+pp3+++=his
many ^ap++++=many
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
might ^md+pos+++=might
have ^vb+hv+aux++=have
walked ^vprf+++xvbnx+=walked
quietly ^rb++++=quietly
off ^in+strn+++=off;
; ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
the ^ati++++=the
" ^zz++++="running
running ^jj+++xvbg+=EXTRAWORD
away ^rp+pl+++=away"
" ^zz++++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
both ^abx++++=both
raced ^jj+++xvbn+=raced
down ^in++++=down
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
tumbled ^j+++xvbn+=tumbled
over ^in++++=over
a ^at++++=a
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dashed ^vpsv++agls+xvbn+=dashed
into ^in++++=into
the ^ati++++=the
woods ^nns++++=woods
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
whole ^jj+atrb+++=whole
tribe ^nn++++=tribe
of ^in++++=of
wild ^jj+atrb+++=wild
Indians ^nn++++=Indians
were ^vbd+bed+vrb++=were
after ^in++++=after
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
the ^ati++++=the
way ^nn++++=way?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
panted ^vbd+++xvbn+=panted
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
at ^rb++++=at
last ^rb"++++=last
they ^pp3a+pp3+++=they
stopped ^vbd+++xvbnx+=stopped
for ^in++++=for
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
winds ^nns++++=winds
right ^nn++++=right
up ^rp++++=up
the ^ati++++=the
mountain ^nn++++=mountain;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
not ^xnot++not++=not
keep ^vb++++=keep
to ^in+ppvb+++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
some ^dti++++=some
one ^cd1++++=one
will ^md+prd+++=will
see ^vb+vprv+++=see
us ^pp1o+pp1+++=us
and ^cc++++=and
take ^vb++++=take
us ^pp1o+pp1+++=us
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
real ^jj+atrb+++=real
hunters ^nns+nom+++=hunters
and ^cc++++=and
have ^vb+hv+vrb++=have
adventures ^nns++++=adventures;
; ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
must ^md+nec+++=must
get ^vb++++=get
lost ^vbd+++xvbn+=lost,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
find ^vb+vprv+++=find
our ^pp$+pp1+++=our
way ^nn++++=way
by ^in++++=by
the ^ati++++=the
sun ^nn++++=sun
and ^cc++++=and
the ^ati++++=the
stars ^nns++++=stars,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Tommy ^np++++=Tommy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
read ^vprf+++xvbnx+=read
so ^ql++++=so
many ^ap++++=many
Boys ^nns++++=Boys'
' ^zz++++=EXTRAWORD
Books ^nns++++=Books
his ^pp$+pp3+++=his
little ^rb++++=little
head ^jjb++++=head
was ^vbd+bedz+vrb++=was
a ^at++++=a
jumble ^nn++++=jumble
of ^in++++=of
Texan ^np+++??+=Texan
Rangers ^nns+nom+++=Rangers,
, ^zz++++=EXTRAWORD
African ^jj+atrb+++=African
Explorers ^nns+nom++??+=Explorers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Buffalo ^np+++??+=Buffalo
Bills ^nns++++=Bills;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
burned ^vbd+++xvbnx+=burned
to ^to++++=to
outdo ^vbi++++=outdo
them ^pp3o+pp3+++=them
all ^rb++++=all.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
will ^md+prd+++=will
our ^pp$+pp1+++=our
mothers ^nns+nom+++=mothers
say ^vb+vpub+++=say
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
really ^rb+emph+++=really
get ^vb++++=get
lost ^vbd+++xvbn+=lost?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
always ^rb++++=always
ready ^jj++++=ready
with ^in++++=with
a ^at++++=a
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
" ^zz++++="Mine
mine ^pp$$++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
fuss ^nn++++=fuss.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lets ^vbz++++=lets
me ^pp1o+pp1+++=me
do ^vb+do+vrb++=do
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
like ^vb++++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true;
; ^zz++++=EXTRAWORD
for ^in++++=for
Tommy ^np++++=Tommy's
's ^$++++=EXTRAWORD
poor ^jj+atrb+++=poor
mamma ^npt++++=mamma
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired
of ^in++++=of
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
keep ^vbi++++=keep
the ^ati++++=the
lively ^jj++++=lively
little ^rb++++=little
fellow ^jjb++++=fellow
in ^in++++=in
order ^nn++++=order,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
used ^md"++pmd"++=used
to ^to++++=to
seeing ^vb+vprv+tht0++=seeing
him ^pp3o+pp3+++=him
come ^vprf+++xvbn+=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
all ^abn++++=all
his ^pp$+pp3+++=his
scrapes ^nns+++??+=scrapes
without ^in++++=without
much ^ap++++=much
harm ^nn++++=harm.
. ^zz++++=EXTRAWORD
" ^zz++++="Mine
mine ^pp$$++++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+aux++=be
scared ^vpsv++agls+xvbnx+=scared;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
always ^rb++++=always
afraid ^jj++++=afraid
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
get ^vb++++=get
hurt ^vbd+++xvbn+=hurt,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
careful ^jj+pred+++=careful.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
risk ^vb++++=risk
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
some ^dti++++=some
fun ^nn++++=fun
to ^to++++=to
tell ^vbi++++=tell
about ^in++++=about
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
go ^vb++++=go
home ^nr++++=home,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
trudging ^jj+++xvbg+=trudging
after ^in++++=after
Captain ^npt++++=Captain
Tommy ^np++++=Tommy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
always ^rb++++=always
took ^vbd+++xvbn+=took
the ^ati++++=the
lead ^nn++++=lead.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
eleven ^cd++++=eleven-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
boys ^nns++++=boys
were ^vbd+bed+aux++=were
staying ^vbg+++xvbgx+=staying
with ^in++++=with
their ^pp$+pp3+++=their
mothers ^nns+nom+++=mothers
at ^in++++=at
a ^at++++=a
farm ^nn++++=farm-house
- ^zz++++=EXTRAWORD
house ^nn++++=EXTRAWORD
up ^rp++++=up
among ^in++++=among
the ^ati++++=the
mountains ^nns++++=mountains;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
having ^xvbg+++xvbg+=having
got ^vbd+++xvbn+=got
tired ^jj+++xvbn+=tired
of ^in++++=of
the ^ati++++=the
tame ^jj+atrb+++=tame
bears ^nns++++=bears,
, ^zz++++=EXTRAWORD
the ^ati++++=the
big ^jj+atrb+++=big
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trout ^nns++++=trout
brook ^nn++++=brook,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thirty ^cd++++=thirty
colts ^nns++++=colts
at ^rb++++=at
pasture ^vb++++=pasture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
society ^nn++++=society
of ^in++++=of
the ^ati++++=the
few ^ap++++=few
little ^ap++++=little
girls ^nns++++=girls
and ^cc++++=and
younger ^jjr+atrb+++=younger
boys ^nns++++=boys
at ^in++++=at
the ^ati++++=the
hotel ^npl++++=hotel
near ^in+pl+++=near
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
fine ^jj+atrb+++=fine
fellows ^nns++++=fellows
longed ^vbd+++xvbn+=longed
to ^to+vcmp+++=to
break ^vbi++++=break
loose ^jj++++=loose
and ^cc++++=and
" ^zz++++="rough
rough ^jj++++=EXTRAWORD
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
bush ^nn++++=bush,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
hunters ^nns+nom+++=hunters
did ^vbd+dod+vrb++=did
in ^in++++=in
their ^pp$+pp3+++=their
favorite ^jj+atrb+++=favorite
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
Away ^rp+pl+++=Away
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went,
, ^zz++++=EXTRAWORD
deeper ^jjr++++=deeper
and ^cc+phrs+++=and
deeper ^jjr++++=deeper
into ^in++++=into
the ^ati++++=the
great ^jj+atrb+++=great
forest ^nn++++=forest
that ^tht+rel+subj++=that
covered ^vprf+++xvbn+=covered
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
mountain ^nn++++=mountain.
. ^zz++++=EXTRAWORD
A ^at++++=A
pleasant ^jj+atrb+++=pleasant
place ^nn++++=place
that ^tht+rel+obj++=that
August ^nr++++=August
day ^nn++++=day;
; ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
cool ^vb++++=cool
and ^cc++++=and
green ^nn++++=green,
, ^zz++++=EXTRAWORD
with ^in++++=with
many ^ap++++=many
brooks ^nps++++=brooks
splashing ^vwbg+++xvbg+=splashing
over ^in++++=over
the ^ati++++=the
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
lying ^vbg+++xvbg+=lying
in ^in++++=in
brown ^jj+atrb+++=brown
pools ^nns++++=pools
under ^in++++=under
the ^ati++++=the
ferns ^nns+++??+=ferns.
. ^zz++++=EXTRAWORD
Squirrels ^nns++++=Squirrels
chattered ^vbd+++xvbn+=chattered
and ^cc+phrs+++=and
raced ^vbd+++xvbn+=raced
in ^in++++=in
the ^ati++++=the
tall ^jj+atrb+++=tall
pines ^nns++++=pines;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
a ^at++++=a
gray ^np++++=gray
rabbit ^nn++++=rabbit
skipped ^vprf+++xvbn+=skipped
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
among ^in++++=among
the ^ati++++=the
brakes ^nns++++=brakes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
strange ^jj+atrb+++=strange
bird ^nn++++=bird
flew ^vwbn+++xvbn+=flew
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
and ^cc+phrs+++=and
there ^rn+pl+++=there
blackberries ^nns++++=blackberries
grew ^vbd+++xvbn+=grew
in ^in++++=in
the ^ati++++=the
open ^jj+atrb+++=open
places ^nns++++=places,
, ^zz++++=EXTRAWORD
sassafras ^nns+++??+=sassafras
bushes ^nns++++=bushes
were ^vbd+bed+vrb++=were
plentiful ^jj+pred+++=plentiful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
black ^jj++++=black-birch
- ^zz++++=EXTRAWORD
birch ^nn++++=EXTRAWORD
bark ^nn++++=bark
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
for ^in++++=for
chewing ^nn++++=chewing.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
call ^vb++++=call
this ^dt+dem+++=this
nice ^jj++++=nice?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Tommy ^np++++=Tommy,
, ^zz++++=EXTRAWORD
pausing ^vbg+++xvbg+=pausing
at ^rb++++=at
last ^rb"++++=last
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
dell ^np++++=dell
where ^wrb+who+++=where
a ^at++++=a
noisy ^jj+atrb+++=noisy
brook ^nn++++=brook
came ^vbd+++xvbn+=came
tumbling ^vbg+nom++xvbg+=tumbling
down ^rp++++=down
the ^ati++++=the
mountain ^nn++++=mountain
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pines ^nns++++=pines
sung ^vbd+++xvbn+=sung
overhead ^jjb++++=overhead.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
awful ^jj++++=awful
hungry ^jj++++=hungry.
. ^zz++++=EXTRAWORD
Let ^vb++++0=Let's
us ^pp1o+pp1+++=EXTRAWORD
rest ^nn++++=rest
and ^cc++++=and
eat ^vb++++=eat
our ^pp$+pp1+++=our
lunch ^nn++++=lunch,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
down ^rb+phrv+++=down
on ^in++++=on
a ^at++++=a
cushion ^nn++++=cushion
of ^in++++=of
moss ^np++++=moss.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
always ^rb++++=always
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
stuffing ^nn++++=stuffing
and ^cc++++=and
resting ^nvbg+++xvbg+=resting,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
sturdy ^jj+atrb+++=sturdy
Tommy ^np++++=Tommy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
liked ^vbd+++xvbn+=liked
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
moving ^vbg+++xvbgx+=moving
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
