We ^pp1a+pp1+++=We
the ^ati++++=the
stable ^jj+atrb+++=stable
men ^nns++++=men
and ^cc++++=and
the ^ati++++=the
trainers ^nns+nom+++=trainers
from ^in++++=from
the ^ati++++=the
horse ^nn++++=horse
farms ^nns++++=farms
in ^in++++=in
our ^pp$+pp1+++=our
country ^nn++++=country
around ^in++++=around
Lexington ^np+++??+=Lexington.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trainers ^nns+nom+++=trainers
come ^vb++++=come
into ^in+ppvb+++=into
town ^nn++++=town
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
to ^to++++=to
stand ^vbi++++=stand
around ^in++++=around
and ^cc++++=and
talk ^nn++++=talk
and ^cc++++=and
maybe ^rb+hdg+++=maybe
get ^vb++++=get
into ^in+ppvb+++=into
a ^at++++=a
poker ^nn++++=poker
game ^nn++++=game.
. ^zz++++=EXTRAWORD
Bildad ^np+++??+=Bildad
gets ^vbz++++=gets
in ^rb+phrv+++=in
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
always ^rb++splt++=always
doing ^vbg+++xvbgx+=doing
little ^ap++++=little
favors ^nns++++=favors
and ^cc++++=and
telling ^vbg+nom++xvbg+=telling
about ^in++++=about
things ^nns++++=things
to ^to++++=to
eat ^vbi++++=eat,
, ^zz++++=EXTRAWORD
chicken ^nn++++=chicken
browned ^vbd+++xvbn+=browned
in ^in++++=in
a ^at++++=a
pan ^nn++++=pan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+whq++=how
is ^vbz+bez+aux++=is
the ^ati++++=the
best ^jjt+atrb+++=best
way ^nn++++=way
to ^to++++=to
cook ^vbi++++=cook
sweet ^jj+atrb+++=sweet
potatoes ^nns++++=potatoes
and ^cc++++=and
corn ^nn++++=corn
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
makes ^vbz++++=makes
your ^pp$+pp2+++=your
mouth ^nn++++=mouth
water ^nn++++=water
to ^to++++=to
hear ^vbi+vprv+++=hear
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
racing ^jj+atrb++xvbg+=racing
season ^nn++++=season
comes ^vbz++++=comes
on ^in++++=on
and ^cc++++=and
the ^ati++++=the
horses ^nns++++=horses
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
races ^nns++++=races
and ^cc++++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
all ^abn++++=all
the ^ati++++=the
talk ^nn++++=talk
on ^in++++=on
the ^ati++++=the
streets ^nns++++=streets
in ^in++++=in
the ^ati++++=the
evenings ^nns++++=evenings
about ^in++++=about
the ^ati++++=the
new ^jj+atrb+++=new
colts ^nns++++=colts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everyone ^pn++++=everyone
says ^vbz+vpub+++=says
when ^wrb+who+whcl++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
going ^vbg+++xvbgx+=going
over ^rb+phrv+++=over
to ^in+ppvb+++=to
Lexington ^np+++??+=Lexington
or ^cc++++=or
to ^in++++=to
the ^ati++++=the
spring ^vb++++=spring
meeting ^nvbg+++xvbg+=meeting
at ^rb++++=at
Churchhill ^np+++??+=Churchhill
Downs ^nns++++=Downs
or ^cc++++=or
to ^in++++=to
Latonia ^np+++??+=Latonia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
horsemen ^nns++++=horsemen
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
down ^rp++++=down
to ^in++++=to
New ^jj+atrb+++=New
Orleans ^nns+nom++??+=Orleans
or ^cc++++=or
maybe ^rb+hdg+++=maybe
at ^in++++=at
the ^ati++++=the
winter ^nn++++=winter
meeting ^vwbg+++xvbg+=meeting
at ^rb++++=at
Havana ^np+++??+=Havana
in ^in++++=in
Cuba ^np++++=Cuba
come ^vb++++=come
home ^nr++++=home
to ^to++++=to
spend ^vbi++++=spend
a ^at++++=a
week ^nn++++=week
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
start ^vb++++=start
out ^rp+pl+++=out
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
at ^rb++++=at
such ^abl++++=such
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
everything ^pn++++=everything
talked ^vbd+++xvbn+=talked
about ^in++++=about
in ^in++++=in
Beckersville ^np+++??+=Beckersville
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
horses ^nns++++=horses
and ^cc++++=and
nothing ^pn++++=nothing
else ^rb+cnj+++=else
and ^cc++++=and
the ^ati++++=the
outfits ^nns++++=outfits
start ^vb++++=start
out ^rp+pl+++=out
and ^cc++++=and
horse ^nn++++=horse
racing ^vwbg+++xvbg+=racing
is ^vbz+bez+vrb++=is
in ^in++++=in
every ^at++++=every
breath ^nn++++=breath
of ^in++++=of
air ^nn++++=air
you ^pp2+pp2+++=you
breathe ^vb++++=breathe,
, ^zz++++=EXTRAWORD
Bildad ^np+++??+=Bildad
shows ^vbz+vprv+++=shows
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
job ^nn++++=job
as ^ql++++=as
cook ^vb++++=cook
for ^in++++=for
some ^dti++++=some
outfit ^nn++++=outfit.
. ^zz++++=EXTRAWORD
Often ^rb++++=Often
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
always ^rb++++=always
going ^vbg+++xvbg+=going
all ^rb++++=all
season ^nn++++=season
to ^in++++=to
the ^ati++++=the
races ^nns++++=races
and ^cc++++=and
working ^nvbg+++xvbg+=working
in ^in++++=in
the ^ati++++=the
livery ^nn++++=livery
barn ^nn++++=barn
in ^in++++=in
the ^ati++++=the
winter ^nn++++=winter
where ^wrb+who+++=where
horses ^nns++++=horses
are ^vb+ber+vrb++=are
and ^cc+cls+++=and
where ^wrb+who+++=where
men ^nns++++=men
like ^vb++++=like
to ^to+vcmp+++=to
come ^vbi++++=come
and ^cc++++=and
talk ^nn++++=talk
about ^in++++=about
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
nigger ^nn++++=nigger.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
foolish ^jj+atrb+++=foolish
thing ^nn++++=thing
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
about ^in++++=about
being ^xvbg+++xvbg+=being
around ^rp++++=around
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
crazy ^jj++++=crazy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
tell ^vb++++=tell
you ^pp2+pp2+++=you
about ^in++++=about
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
and ^cc++++=and
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
in ^in++++=in
on ^in++++=on
what ^wdt+who+++=what
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
talking ^vbg+++xvbgx+=talking
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
of ^in++++=of
us ^pp1o+pp1+++=us
boys ^nns++++=boys
from ^in++++=from
Beckersville ^np+++??+=Beckersville,
, ^zz++++=EXTRAWORD
all ^abn++++=all
whites ^nns++++=whites
and ^cc++++=and
sons ^nns++++=sons
of ^in++++=of
men ^nns++++=men
who ^whp+rel+subj++=who
live ^vb++++=live
in ^in++++=in
Beckersville ^np+++??+=Beckersville
regular ^jj++++=regular,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
up ^rp++++=up
our ^pp$+pp1+++=our
minds ^nns++++=minds
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
going ^vbg+++xvbgx+=going
to ^in++++=to
the ^ati++++=the
races ^nns++++=races,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
just ^rb+emph+++=just
to ^in++++=to
Lexington ^np+++??+=Lexington
or ^cc++++=or
Louisville ^np+++??+=Louisville,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
the ^ati++++=the
big ^jj+atrb+++=big
eastern ^jj+atrb+++=eastern
track ^nn++++=track
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
always ^rb++splt++=always
hearing ^vbg+vprv+tht0+xvbgx+=hearing
our ^pp$+pp1+++=our
Beckersville ^np+++??+=Beckersville
men ^nns++++=men
talk ^nn++++=talk
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
to ^in++++=to
Saratoga ^np+++??+=Saratoga.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
all ^abn++++=all
pretty ^rb++++=pretty
young ^jj++++=young
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
turned ^vpsv++agls+xvbnx+=turned
fifteen ^cd++++=fifteen
and ^cc++++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
the ^ati++++=the
oldest ^nn++++=oldest
of ^in++++=of
the ^ati++++=the
four ^cd++++=four.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
scheme ^nn++++=scheme.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
admit ^vb+vpub+tht0++=admit
that ^tht+vcmp+++=that
and ^cc++++=and
I ^pp1a+pp1+++=I
talked ^vbd+++xvbnx+=talked
the ^ati++++=the
others ^aps++++=others
into ^in++++=into
trying ^xvbg+++xvbg+=trying
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
Hanley ^np+++??+=Hanley
Turner ^np++++=Turner
and ^cc++++=and
Henry ^np++++=Henry
Rieback ^np+++??+=Rieback
and ^cc++++=and
Tom ^np++++=Tom
Tumberton ^np+++??+=Tumberton
and ^cc++++=and
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
thirtyseven ^vprf+++xvbnx+=thirtyseven
dollars ^nns++++=dollars
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
earned ^vprf+++xvbnx+=earned
during ^in++++=during
the ^ati++++=the
winter ^nn++++=winter
working ^vwbg+++xvbg+=working
nights ^nns++++=nights
and ^cc++++=and
Saturdays ^nrs++++=Saturdays
in ^in++++=in
Enoch ^np++++=Enoch
Myer ^np++++=Myer's
's ^$++++=EXTRAWORD
grocery ^nn+nom+++=grocery.
. ^zz++++=EXTRAWORD
Henry ^np++++=Henry
Rieback ^np+++??+=Rieback
had ^vb+hv+vrb++=had
eleven ^cd++++=eleven
dollars ^nns++++=dollars
and ^cc++++=and
the ^ati++++=the
others ^aps++++=others,
, ^zz++++=EXTRAWORD
Hanley ^np+++??+=Hanley
and ^cc++++=and
Tom ^np++++=Tom
had ^vb+hv+vrb++=had
only ^rb+down+++=only
a ^at++++=a
dollar ^nn++++=dollar
or ^cc++++=or
two ^cd++++=two
each ^dt++++=each.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
fixed ^vbd+++xvbn+=fixed
it ^pp3+it+++=it
all ^rb++++=all
up ^rp++++=up
and ^cc++++=and
laid ^vbd+++xvbn+=laid
low ^jj++++=low
until ^cs+sub+++=until
the ^ati++++=the
Kentucky ^np+++??+=Kentucky
spring ^nn++++=spring
meetings ^nns++++=meetings
were ^vbd+bed+vrb++=were
over ^in++++=over
and ^cc++++=and
some ^dti++++=some
of ^in++++=of
our ^pp$+pp1+++=our
men ^nns++++=men,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sportiest ^jjt+atrb+++=sportiest
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ones ^cd1s++++=ones
we ^pp1a+pp1+++=we
envied ^vbd+++xvbn+=envied
the ^ati++++=the
most ^ap+emph+++=most,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
out ^rp+pl+++=out--then
-- ^--+clp+++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
cut ^vbd+++xvbn+=cut
out ^rp+pl+++=out
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
the ^ati++++=the
trouble ^nn++++=trouble
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
beating ^vbg+++xvbg+=beating
our ^pp$+pp1+++=our
way ^nn++++=way
on ^in++++=on
freights ^nns+++??+=freights
and ^cc++++=and
all ^rb++++=all.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
through ^in++++=through
Cleveland ^np+++??+=Cleveland
and ^cc++++=and
Buffalo ^np+++??+=Buffalo
and ^cc++++=and
other ^ap++++=other
cities ^nns++++=cities
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
Niagara ^np+++??+=Niagara
Falls ^vbz++++=Falls.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
bought ^vbd+++xvbn+=bought
things ^nns++++=things
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
souvenirs ^nns++++=souvenirs
and ^cc++++=and
spoons ^nns++++=spoons
and ^cc++++=and
cards ^nns++++=cards
and ^cc++++=and
shells ^nps++++=shells
with ^in++++=with
pictures ^nns++++=pictures
of ^in++++=of
the ^ati++++=the
falls ^nn++++=falls
on ^in++++=on
them ^pp3o+pp3+++=them
for ^in++++=for
our ^pp$+pp1+++=our
sisters ^nns+nom+++=sisters
and ^cc++++=and
mothers ^nns+nom+++=mothers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
thought ^vbd+++xvbn+=thought
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
better ^jjr++++=better
not ^xnot++not++=not
send ^vb++++=send
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
things ^nns++++=things
home ^nr++++=home.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
put ^vbi++++=put
the ^ati++++=the
folks ^nns++++=folks
on ^in++++=on
our ^pp$+pp1+++=our
trail ^nn++++=trail
and ^cc++++=and
maybe ^rb+hdg+++=maybe
be ^vb+be+aux++=be
nabbed ^vpsv++agls+xvbnx+=nabbed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
got ^vbd+++xvbn+=got
into ^in+ppvb+++=into
Saratoga ^np+++??+=Saratoga
as ^ql++++=as
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
at ^rb++++=at
night ^nn++++=night
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
the ^ati++++=the
track ^nn++++=track.
. ^zz++++=EXTRAWORD
Bildad ^np+++??+=Bildad
fed ^vbd+++xvbn+=fed
us ^pp1o+pp1+++=us
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
showed ^vbd+vprv++xvbnx+=showed
us ^pp1o+pp1+++=us
a ^at++++=a
place ^nn++++=place
to ^to++++=to
sleep ^vbi++++=sleep
in ^in++++=in
hay ^nn++++=hay
over ^in++++=over
a ^at++++=a
shed ^jj+++xvbn+=shed
and ^cc+phrs+++=and
promised ^vb+++xvbn+=promised
to ^to+vcmp+++=to
keep ^vbi++++=keep
still ^jj+pred+++=still.
. ^zz++++=EXTRAWORD
Niggers ^nns+nom++??+=Niggers
are ^vb+ber+vrb++=are
all ^abn++++=all
right ^jj++++=right
about ^in++++=about
things ^nns++++=things
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
squeal ^jj++++=squeal
on ^in++++=on
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Often ^rb++++=Often
a ^at++++=a
white ^jj+atrb+++=white
man ^nn++++=man
you ^pp2+pp2+++=you
might ^md+pos+++=might
meet ^vb++++=meet,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
away ^in+pl+++=away
from ^in"++++=from
home ^nr++++=home
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
all ^abn++++=all
right ^jj++++=right
and ^cc++++=and
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
quarter ^nn++++=quarter
or ^cc++++=or
a ^at++++=a
half ^nn++++=half
dollar ^nn++++=dollar
or ^cc++++=or
something ^pn++++=something,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
go ^vb++++=go
right ^nn++++=right
and ^cc++++=and
give ^vb++++=give
you ^pp2+pp2+++=you
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
White ^jj+atrb+++=White
men ^nns++++=men
will ^md+prd+++=will
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
a ^at++++=a
nigger ^nn++++=nigger.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
trust ^vb++++=trust
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
squarer ^jjr+pred+++=squarer
with ^in++++=with
kids ^nns++++=kids.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
Saratoga ^np+++??+=Saratoga
meeting ^vwbg+++xvbg+=meeting
that ^dt+dem+++=that
year ^nn++++=year
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
men ^nns++++=men
from ^in++++=from
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Dave ^np++++=Dave
Williams ^np++++=Williams
and ^cc++++=and
Arthur ^np++++=Arthur
Mulford ^np+++??+=Mulford
and ^cc++++=and
Jerry ^np++++=Jerry
Myers ^np+++??+=Myers
and ^cc++++=and
others ^aps++++=others.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
lot ^nn++++=lot
from ^in++++=from
Louisville ^np+++??+=Louisville
and ^cc++++=and
Lexington ^np+++??+=Lexington
Henry ^np++++=Henry
Rieback ^np+++??+=Rieback
knew ^vbd+vprv++xvbn+=knew
but ^cc++++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
professional ^jj+atrb+++=professional
gamblers ^nns+nom+++=gamblers
and ^cc++++=and
Henry ^np++++=Henry
Rieback ^np++++=Rieback's
's ^$++++=EXTRAWORD
father ^nn++++=father
is ^vbz+bez+vrb++=is
one ^cd1++++=one
too ^rb++++=too.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
a ^at++++=a
sheet ^nn++++=sheet
writer ^nn++++=writer
and ^cc++++=and
goes ^vbz++++=goes
away ^rp+pl+++=away
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
to ^in++++=to
tracks ^nns++++=tracks.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
winter ^nn++++=winter
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
home ^nr++++=home
in ^in++++=in
Beckersville ^np+++??+=Beckersville
he ^pp3a+pp3+++=he
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
stay ^vb++++=stay
there ^rn+pl+++=there
much ^ap++++=much
but ^cc++++=but
goes ^vbz++++=goes
away ^rp+pl+++=away
to ^in++++=to
cities ^nns++++=cities
and ^cc++++=and
deals ^vbz++++=deals
faro ^nn+++??+=faro.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
a ^at++++=a
nice ^jj+atrb+++=nice
man ^nn++++=man
and ^cc++++=and
generous ^jj++++=generous,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
always ^rb++splt++=always
sending ^vbg+++xvbgx+=sending
Henry ^np++++=Henry
presents ^nns++++=presents,
, ^zz++++=EXTRAWORD
a ^at++++=a
bicycle ^nn++++=bicycle
and ^cc++++=and
a ^at++++=a
gold ^nn++++=gold
watch ^nn++++=watch
and ^cc++++=and
a ^at++++=a
boy ^nn++++=boy
scout ^nn++++=scout
suit ^nn++++=suit
of ^in++++=of
clothes ^nns++++=clothes
and ^cc++++=and
things ^nns++++=things
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
own ^ap++++=own
father ^nn++++=father
is ^vbz+bez+vrb++=is
a ^at++++=a
lawyer ^nn++++=lawyer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
much ^ap++++=much
money ^nn++++=money
and ^cc++++=and
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
buy ^vb++++=buy
me ^pp1o+pp1+++=me
things ^nns++++=things
and ^cc++++=and
anyway ^rb++++=anyway
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting
so ^rb+emph+++=so
old ^jj++++=old
