Everything ^pn++++=Everything
camouflage ^nn+nom+++=camouflage
was ^vbd+bedz+vrb++=was
perfect ^jj+pred+++=perfect,
, ^zz++++=EXTRAWORD
since ^in++++=since
the ^ati++++=the
waiting ^jj+atrb++xvbg+=waiting
room ^nn++++=room
had ^vb+hv+vrb++=had
a ^at++++=a
disorderly ^jj+atrb+++=disorderly
and ^cc+phrs+++=and
demoralized ^jj+atrb++xvbn+=demoralized
air ^nn++++=air,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Chairs ^nns++++=Chairs
and ^cc++++=and
ashtrays ^nns+++??+=ashtrays
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
moved ^vpsv++agls+xvbnx+=moved
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
The ^ati++++=The
floor ^nn++++=floor
was ^vbd+bedz+aux++=was
paved ^vpsv++agls+xvbnx+=paved
with ^in++++=with
spattered ^vwbn+++xvbn+=spattered
dropcloths ^nns+++??+=dropcloths.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
redecorated ^vprf+++xvbn+=redecorated.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
redecorated ^vprf+++xvbn+=redecorated
as ^in++++=as
a ^at++++=a
memorial ^nn++++=memorial
to ^in++++=to
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
volunteered ^vprf+++xvbnx+=volunteered
to ^to+vcmp+++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
A ^at++++=A
sardonic ^jj+atrb+++=sardonic
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
about ^in++++=about
two ^cd++++=two
hundred ^cd++++=hundred
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
on ^in++++=on
a ^at++++=a
stepladder ^jjr++++=stepladder,
, ^zz++++=EXTRAWORD
painting ^nvbg+++xvbg+=painting
a ^at++++=a
mural ^nn++++=mural
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
like ^vb++++=like.
. ^zz++++=EXTRAWORD
Back ^jjb++++=Back
in ^in++++=in
the ^ati++++=the
days ^nns++++=days
when ^wrb+who+++=when
people ^nns++++=people
aged ^jj++++=aged
visibly ^rb+cnj+++=visibly,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
age ^nn++++=age
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
guessed ^vpsv++agls+xvbnx+=guessed
at ^rb++++=at
thirty ^cd++++=thirty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
or ^cc++++=or
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Aging ^np+++??+=Aging
had ^vbd+hvd+aux++=had
touched ^vprf+++xvbnx+=touched
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
much ^ap++++=much
before ^cs+sub+++=before
the ^ati++++=the
cure ^nn++++=cure
for ^in++++=for
aging ^xvbg+++xvbg+=aging
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mural ^nn++++=mural
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
working ^vbg+++xvbgx+=working
on ^in++++=on
depicted ^vbd+++xvbn+=depicted
a ^at++++=a
very ^ql+amp+++=very
neat ^jj+atrb+++=neat
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
and ^cc++++=and
women ^nns++++=women
in ^in++++=in
white ^jj++++=white,
, ^zz++++=EXTRAWORD
doctors ^nns++++=doctors
and ^cc++++=and
nurses ^nns++++=nurses,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
the ^ati++++=the
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
planted ^xvbn+++xvbn+=planted
seedlings ^nns+nom+++=seedlings,
, ^zz++++=EXTRAWORD
sprayed ^jj+atrb++xvbn+=sprayed
bugs ^nns+++??+=bugs,
, ^zz++++=EXTRAWORD
spread ^jj+atrb++xvbn+=spread
fertilizer ^nn+nom+++=fertilizer.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
and ^cc++++=and
women ^nns++++=women
in ^in++++=in
purple ^jj+atrb+++=purple
uniforms ^nns++++=uniforms
pulled ^vbd+++xvbn+=pulled
up ^rp++++=up
weeds ^nns++++=weeds,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
down ^rp++++=down
plants ^nns++++=plants
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
old ^jj+pred+++=old
and ^cc+phrs+++=and
sickly ^jj++++=sickly,
, ^zz++++=EXTRAWORD
raked ^vprf+++xvbn+=raked
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
refuse ^vb++++=refuse
to ^to+vcmp+++=to
trash ^vb++++=trash-burners.
- ^zz++++=EXTRAWORD
burners ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Never ^rb+cnj+++=Never,
, ^zz++++=EXTRAWORD
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
never ^rb++++=never
not ^xnot++not++=not
even ^rb++++=even
in ^in++++=in
medieval ^jj+atrb+++=medieval
Holland ^np++++=Holland
nor ^cc++neg++=nor
old ^jj+atrb+++=old
Japan ^np++++=Japan
had ^vb+hv+vrb++=had
a ^at++++=a
garden ^nn++++=garden
been ^vprf+ben+vrb+xvbn+=been
more ^rbr++++=more
formal ^jj++++=formal,
, ^zz++++=EXTRAWORD
been ^vb+j+vrb+xvbn+=been
better ^jjr++++=better
tended ^jj+++xvbn+=tended.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
plant ^nn++++=plant
had ^vb+hv+vrb++=had
all ^abn++++=all
the ^ati++++=the
loam ^nn++++=loam,
, ^zz++++=EXTRAWORD
light ^jj++++=light,
, ^zz++++=EXTRAWORD
water ^nn++++=water,
, ^zz++++=EXTRAWORD
air ^nn++++=air
and ^cc++++=and
nourishment ^nn+nom+++=nourishment
it ^pp3+it+++=it
could ^md+pos+++=could
use ^vb++++=use.
. ^zz++++=EXTRAWORD
A ^at++++=A
hospital ^npl+nom+++=hospital
orderly ^jj++++=orderly
came ^vbd+++xvbn+=came
down ^in++++=down
the ^ati++++=the
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
under ^in++++=under
his ^pp$+pp3+++=his
breath ^nn++++=breath
a ^at++++=a
popular ^jj+atrb+++=popular
song ^nn++++=song:
: ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
my ^pp$+pp1+++=my
kisses ^nns++++=kisses,
, ^zz++++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
will ^md+prd+++=will
do ^vb+do+vrb++=do:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
see ^vb+vprv+++=see
a ^at++++=a
girl ^nn++++=girl
in ^in++++=in
purple ^nn++++=purple,
, ^zz++++=EXTRAWORD
Kiss ^vb++++=Kiss
this ^dt+dem+++=this
sad ^jj+atrb+++=sad
world ^nn++++=world
toodle ^nn+++??+=toodle-oo.
- ^zz++++=EXTRAWORD
oo ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
my ^pp$+pp1+++=my
lovin ^nn+++??+=lovin',
', ^nn+++??+=EXTRAWORD
Why ^wrb+who+++=Why
should ^md+nec+++=should
I ^pp1a+pp1+++=I
take ^vb++++=take
up ^rb+phrv+++=up
all ^rb++++=all
this ^dt+dem+++=this
space ^nn++++=space?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
off ^rb+phrv+++=off
this ^dt+dem+++=this
old ^jj+atrb+++=old
planet ^nn++++=planet,
, ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
some ^dti++++=some
sweet ^jj+atrb+++=sweet
baby ^nn++++=baby
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
place ^nn++++=place.
. ^zz++++=EXTRAWORD
The ^ati++++=The
orderly ^nn++++=orderly
looked ^vbd+++xvbn+=looked
in ^in++++=in
at ^in++++=at
the ^ati++++=the
mural ^nn++++=mural
and ^cc++++=and
the ^ati++++=the
muralist ^nn+nom+++=muralist.
. ^zz++++=EXTRAWORD
" ^zz++++="Looks
looks ^nns++++=EXTRAWORD
so ^ql+emph+++=so
real ^jj++++=real,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
practically ^rb+down+splt++=practically
imagine ^vb+vprv+tht0++=imagine
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
standing ^vbg+++xvbgx+=standing
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
makes ^vbz++++=makes
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
in ^in++++=in
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
painter ^nn++++=painter.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
a ^at++++=a
satiric ^jj+atrb+++=satiric
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
called ^vpsv++agls+xvbnx+=called
' ^zz++++='The
the ^ati++++=EXTRAWORD
Happy ^jj+atrb+++=Happy
Garden ^nn++++=Garden
of ^in++++=of
Life ^nn++++=Life,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good
of ^in++++=of
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
orderly ^nn++++=orderly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
referring ^vbg+++xvbgx+=referring
to ^to++++=to
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
male ^jj+atrb+++=male
figures ^nns++++=figures
in ^in++++=in
white ^jj++++=white,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
head ^nn++++=head
was ^vbd+bedz+vrb++=was
a ^at++++=a
portrait ^nn++++=portrait
of ^in++++=of
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Benjamin ^np++++=Benjamin
Hitz ^np+++??+=Hitz,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hospital ^nn+nom+++=hospital's
's ^vbz+bez+vrb++0=EXTRAWORD
Chief ^jjb++++=Chief
Obstetrician ^np+++??+=Obstetrician.
. ^zz++++=EXTRAWORD
Hitz ^np+++??+=Hitz
was ^vbd+bedz+vrb++=was
a ^at++++=a
blindingly ^jj+atrb+++=blindingly
handsome ^jj+atrb+++=handsome
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Lot
lot ^nn++++=EXTRAWORD
of ^in++++=of
faces ^nns++++=faces
still ^rb++++=still
to ^to++++=to
fill ^vbi++++=fill
in ^rb+cnj+++=in,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
orderly ^nn++++=orderly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
meant ^vbd+vprv++xvbnx+=meant
that ^tht+vcmp+++=that
the ^ati++++=the
faces ^nns++++=faces
of ^in++++=of
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
figures ^nns++++=figures
in ^in++++=in
the ^ati++++=the
mural ^nn++++=mural
were ^vbd+bed+vrb++=were
still ^rb+atrb+++=still
blank ^jj+pred+++=blank.
. ^zz++++=EXTRAWORD
All ^abn++++=All
blanks ^nns+++??+=blanks
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
portraits ^nns++++=portraits
of ^in++++=of
important ^jj+atrb+++=important
people ^nns++++=people
on ^in++++=on
either ^dtx++++=either
the ^ati++++=the
hospital ^nn+nom+++=hospital
staff ^nn++++=staff
or ^cc++++=or
from ^in++++=from
the ^ati++++=the
Chicago ^np++++=Chicago
Office ^nn++++=Office
of ^in++++=of
the ^ati++++=the
Federal ^jj+atrb+++=Federal
Bureau ^nn++++=Bureau
of ^in++++=of
Termination ^nn+nom+++=Termination.
. ^zz++++=EXTRAWORD
" ^zz++++="Must
must ^md+nec+++=EXTRAWORD
be ^vb+be+vrb++=be
nice ^jj+pred+++=nice
to ^to+jcmp+++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
make ^vb++++=make
pictures ^nns++++=pictures
that ^tht+rel+subj++=that
look ^vb++++=look
like ^in++++=like
something ^pn++++=something,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
orderly ^nn++++=orderly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
painter ^nn++++=painter's
's ^$++++=EXTRAWORD
face ^vb++++=face
curdled ^vbd+++xvbn+=curdled
with ^in++++=with
scorn ^nn++++=scorn.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
proud ^jj+pred+++=proud
of ^in++++=of
this ^dt+dem+++=this
daub ^nn++++=daub?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+tht0++=think
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
idea ^nn++++=idea
of ^in++++=of
what ^wdt+who+++=what
life ^nn++++=life
really ^rb+emph+++=really
looks ^nns++++=looks
like ^in+strn+++=like?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
idea ^nn++++=idea
of ^in++++=of
what ^wdt+who+++=what
life ^nn++++=life
looks ^nns++++=looks
like ^in+strn+++=like?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
orderly ^nn++++=orderly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
painter ^nn++++=painter
gestured ^vbd+++xvbn+=gestured
at ^in++++=at
a ^at++++=a
foul ^jj+atrb+++=foul
dropcloth ^nn+++??+=dropcloth.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
picture ^nn++++=picture
of ^in++++=of
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Frame
frame ^nn++++=EXTRAWORD
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
picture ^nn++++=picture
a ^at++++=a
damn ^jj+atrb+++=damn
sight ^nn++++=sight
more ^rbr++++=more
honest ^jj++++=honest
than ^in++++=than
this ^dt+dem+++=this
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
gloomy ^jj+atrb+++=gloomy
old ^jj+atrb+++=old
duck ^nn++++=duck,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
orderly ^nn++++=orderly.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
crime ^nn++++=crime?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
painter ^nn++++=painter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
orderly ^nn++++=orderly
shrugged ^vbd+++xvbn+=shrugged.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Grandpa ^npt++++=Grandpa
" ^zz++++="
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
finished ^vbd+++xvbnx+=finished
the ^ati++++=the
thought ^nn+++xvbn+=thought
with ^in++++=with
the ^ati++++=the
trick ^nn++++=trick
telephone ^nn++++=telephone
number ^nn++++=number
that ^tht+rel+obj++=that
people ^nns++++=people
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
live ^vbi++++=live
any ^dti++++=any
more ^ql++++=more
were ^vbd+bed+aux++=were
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
call ^vb++++=call.
. ^zz++++=EXTRAWORD
The ^ati++++=The
zero ^cd++++=zero
in ^in++++=in
the ^ati++++=the
telephone ^nn++++=telephone
number ^nn++++=number
he ^pp3a+pp3+++=he
pronounced ^vbd+++xvbnx+=pronounced
" ^zz++++="naught."
naught ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
was ^vbd+bedz+vrb++=was:
: ^zz++++=EXTRAWORD
" ^zz++++="2
2 ^zz++++=EXTRAWORD
B ^zz++++=B
R ^zz++++=R
0 ^zz++++=0
2 ^zz++++=2
B ^zz++++=B."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
telephone ^nn++++=telephone
number ^nn++++=number
of ^in++++=of
an ^at++++=an
institution ^nn+nom+++=institution
whose ^whp+rel+obj++=whose
fanciful ^np+nom+++=fanciful
sobriquets ^nns+++??+=sobriquets
included ^vbd+++xvbn+=included:
: ^zz++++=EXTRAWORD
" ^zz++++="Automat,"
automat ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Birdland,"
birdland ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Cannery,"
cannery ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Catbox,"
catbox ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="De-louser,"
de ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
louser ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Easy-go,"
easy ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good-by,
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mother ^nn++++=Mother,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Happy
happy ^jj+atrb+++=EXTRAWORD
Hooligan ^nn+nom+++=Hooligan,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Kiss-me-quick,"
kiss ^vb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=EXTRAWORD
- ^zz++++=EXTRAWORD
quick ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lucky
lucky ^jj++++=EXTRAWORD
Pierre ^&fw++++=Pierre,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sheepdip,"
