Hanrahan ^np+nom++??+=Hanrahan,
or ^cc+cls+++=or
watching ^vbg+++xvbg+=watching
the ^ati++++=the
shadows ^nps++++=shadows
in ^in++++=in
the ^ati++++=the
brown ^jj+atrb+++=brown
bog ^nn++++=bog
pools ^nns++++=pools;
; ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
so ^ql+emph+++=so
quiet ^jj++++=quiet
as ^ql++++=as
not ^xnot++not++=not
to ^in++++=to
startle ^nn+++??+=startle
the ^ati++++=the
deer ^nns++++=deer
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
heather ^nn++++=heather
to ^in++++=to
the ^ati++++=the
grass ^nn++++=grass
and ^cc++++=and
the ^ati++++=the
tilled ^jj+atrb++xvbn+=tilled
fields ^nns++++=fields
at ^in++++=at
the ^ati++++=the
fall ^nn++++=fall
of ^in++++=of
night ^nn++++=night.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
days ^nns++++=days
went ^vwbn+++xvbn+=went
by ^in++++=by
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
belong ^vbi++++=belong
to ^in++++=to
some ^dti++++=some
world ^nn++++=world
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
and ^cc++++=and
misty ^jj++++=misty,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
has ^vbz+hvz+vrb++=has
for ^in++++=for
its ^pp$+it+++=its
mearing ^nvbg+++xvbg+=mearing
the ^ati++++=the
colours ^nns++++=colours
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
beyond ^in++++=beyond
all ^abn++++=all
other ^ap++++=other
colours ^nns++++=colours
and ^cc++++=and
the ^ati++++=the
silences ^nns+nom+++=silences
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
beyond ^in++++=beyond
all ^abn++++=all
silences ^nns+nom+++=silences
of ^in++++=of
this ^dt+dem+++=this
world ^nn++++=world.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
would ^md+prd+++=would
hear ^vb+vprv+++=hear
coming ^nvbg+++xvbg+=coming
and ^cc++++=and
going ^nvbg+++xvbg+=going
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood
music ^nn++++=music
that ^tht+rel+++=that
when ^wrb+who+++=when
it ^pp3+it+++=it
stopped ^vbd+++xvbn+=stopped
went ^vbd+++xvbn+=went
from ^in++++=from
his ^pp$+pp3+++=his
memory ^nn++++=memory
like ^in++++=like
a ^at++++=a
dream ^nn++++=dream;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
in ^in++++=in
the ^ati++++=the
stillness ^nns+nom+++=stillness
of ^in++++=of
midday ^nn++++=midday
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
sound ^nn++++=sound
like ^in++++=like
the ^ati++++=the
clashing ^nn++++=clashing
of ^in++++=of
many ^ap++++=many
swords ^nns++++=swords,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
went ^vbd+++xvbn+=went
on ^in++++=on
for ^in++++=for
long ^jj+atrb+++=long
time ^nn++++=time
without ^in++++=without
any ^dti++++=any
break ^nn++++=break.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^in++++=at
the ^ati++++=the
fall ^nn++++=fall
of ^in++++=of
night ^nn++++=night
and ^cc++++=and
at ^rb++++=at
moonrise ^vb++++=moonrise
the ^ati++++=the
lake ^nn++++=lake
would ^md+prd+++=would
grow ^vb++++=grow
to ^to++++=to
be ^vbi++vrb++=be
like ^in++++=like
a ^at++++=a
gateway ^nn++++=gateway
of ^in++++=of
silver ^nn++++=silver
and ^cc++++=and
shining ^jj+atrb++xvbg+=shining
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
would ^md+prd+++=would
come ^vb++++=come
from ^in+ppvb+++=from
its ^pp$+it+++=its
silence ^nn+nom+++=silence
the ^ati++++=the
faint ^jj++++=faint
sound ^jj++++=sound
of ^in++++=of
keening ^xvbg+++xvbg+=keening
and ^cc++++=and
of ^in++++=of
frightened ^jj+atrb++xvbn+=frightened
laughter ^nn+nom+++=laughter
broken ^vwbn+++xvbn+=broken
by ^in++++=by
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
pale ^nn++++=pale
beckoning ^vwbg+++xvbg+=beckoning
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
looking ^vbg+++xvbg+=looking
into ^in+ppvb+++=into
the ^ati++++=the
water ^nn++++=water
one ^cd1++++=one
evening ^nn++++=evening
in ^in++++=in
harvest ^nn++++=harvest
time ^nn++++=time,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
secrets ^nns++++=secrets
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
shut ^vpsv++agls+xvbnx+=shut
into ^in++++=into
the ^ati++++=the
lakes ^nns++++=lakes
and ^cc++++=and
the ^ati++++=the
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
cry ^nn++++=cry
coming ^vwbg+++xvbg+=coming
from ^in++++=from
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
faint ^vb++++=faint
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
getting ^vbg+++xvbg+=getting
louder ^jjr++++=louder
and ^cc+phrs+++=and
clearer ^jjr++++=clearer
as ^in++++=as
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
rushes ^nn++++=rushes
grew ^vbd+++xvbn+=grew
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
words ^nns++++=words,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful;
; ^zz++++=EXTRAWORD
the ^ati++++=the
birds ^nns++++=birds
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moths ^nns++++=moths
under ^in++++=under
the ^ati++++=the
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flies ^nns++++=flies
over ^in++++=over
the ^ati++++=the
water ^nn++++=water
look ^vb++++=look
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
any ^dti++++=any
one ^cd1++++=one
so ^rb+emph+++=so
beautiful ^jj++++=beautiful
as ^ql++++=as
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
young ^jj+pred+++=young;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
young ^jj+pred+++=young:
: ^zz++++=EXTRAWORD
look ^vb++++=look
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
mountains ^nns++++=mountains;
; ^zz++++=EXTRAWORD
look ^vb++++=look
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
perishing ^vbg+++xvbg+=perishing
woods ^npl++++=woods,
, ^zz++++=EXTRAWORD
for ^in++++=for
my ^pp$+pp1+++=my
body ^nn++++=body
will ^md+prd+++=will
shine ^vb++++=shine
like ^in++++=like
the ^ati++++=the
white ^jj+atrb+++=white
waters ^nns++++=waters
when ^wrb+who+++=when
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
hurried ^vpsv++agls+xvbnx+=hurried
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
and ^cc++++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
race ^nn++++=race
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
race ^nn++++=race
of ^in++++=of
the ^ati++++=the
beasts ^nns++++=beasts
and ^cc++++=and
the ^ati++++=the
race ^nn++++=race
of ^in++++=of
the ^ati++++=the
fish ^nn++++=fish
and ^cc++++=and
the ^ati++++=the
winged ^jj+atrb+++=winged
race ^nn++++=race
are ^vb+ber+aux++=are
dropping ^vbg+++xvbgx+=dropping
like ^in++++=like
a ^at++++=a
candle ^nn++++=candle
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
nearly ^rb+down+splt++=nearly
burned ^vpsv++agls+xvbnx+=burned
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
laugh ^vb++++=laugh
out ^rp+pl+++=out
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
in ^in++++=in
my ^pp$+pp1+++=my
youth ^nn++++=youth.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
would ^md+prd+++=would
break ^vb++++=break
off ^rb+phrv+++=off
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
tired ^jj+++xvbn+=tired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
it ^pp3+it+++=it
would ^md+prd+++=would
begin ^vb++++=begin
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
out ^rp+pl+++=out
always ^rb++++=always
the ^ati++++=the
same ^ap++++=same
words ^nns++++=words,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
bushes ^nns++++=bushes
at ^in++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
little ^ap++++=little
lake ^nn++++=lake
trembled ^vbd+++xvbn+=trembled
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
very ^ql+amp+++=very
old ^jj+atrb+++=old
woman ^nn++++=woman
forced ^vwbn+++xvbn+=forced
her ^pp3o+pp3+++=her
way ^nn++++=way
among ^in++++=among
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vpsv++by+xvbn+=passed
by ^in++++=by
Hanrahan ^np+nom++??+=Hanrahan,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
with ^in++++=with
very ^ql+amp+++=very
slow ^vb++++=slow
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^ql++++=more
wrinkled ^vwbn+++xvbn+=wrinkled
than ^in++++=than
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
any ^dti++++=any
old ^jj+atrb+++=old
hag ^nn+++??+=hag
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
ever ^rb++splt++=ever
seen ^vpsv++agls+xvbnx+=seen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
grey ^np++++=grey
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
hanging ^vbg+++xvbgx+=hanging
in ^in++++=in
wisps ^nns++++=wisps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rags ^nns++++=rags
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
wearing ^vbg+++xvbgx+=wearing
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
hide ^nn++++=hide
her ^pp3o+pp3+++=her
dark ^jj+atrb+++=dark
skin ^nn++++=skin
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
roughened ^vwbn+++xvbn+=roughened
by ^in++++=by
all ^abn++++=all
weathers ^nns+nom+++=weathers.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
passed ^vbd+++xvbnx+=passed
by ^in++++=by
him ^pp3o+pp3+++=him
with ^in++++=with
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
wide ^jj+atrb+++=wide
open ^nn++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
head ^jjb++++=head
high ^jj++++=high,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
arms ^nns++++=arms
hanging ^vwbg+++xvbg+=hanging
straight ^jj++++=straight
beside ^in+pl+++=beside
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills
towards ^in++++=towards
the ^ati++++=the
west ^np+pl+++=west.
. ^zz++++=EXTRAWORD
A ^at++++=A
sort ^nn++++=sort
of ^in++++=of
dread ^nn++++=dread
came ^vbd+++xvbn+=came
over ^in++++=over
Hanrahan ^np+nom++??+=Hanrahan
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
one ^cd1++++=one
Winny ^np+++??+=Winny
Byrne ^np+++??+=Byrne,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
went ^vbd+++xvbn+=went
begging ^nvbg+++xvbg+=begging
from ^in++++=from
place ^nn++++=place
to ^to++++=to
place ^vbi++++=place
crying ^nvbg+++xvbg+=crying
always ^rb++++=always
the ^ati++++=the
same ^ap++++=same
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
often ^rb++splt++=often
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
once ^rb+tm+++=once
such ^abl++++=such
wisdom ^nn++++=wisdom
that ^tht+rel+++=that
all ^abn++++=all
the ^ati++++=the
women ^nns++++=women
of ^in++++=of
the ^ati++++=the
neighbours ^nns++++=neighbours
used ^md"++pmd"++=used
to ^to++++=to
go ^vb++++=go
looking ^vbg+++xvbg+=looking
for ^in++++=for
advice ^nn++++=advice
from ^in++++=from
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
voice ^nn++++=voice
so ^rb+emph+++=so
beautiful ^jj++++=beautiful
that ^cs+sub+++=that
men ^vbz++++=men
and ^cc++++=and
women ^nns++++=women
would ^md+prd+++=would
come ^vb++++=come
from ^in+ppvb+++=from
every ^at++++=every
part ^nn++++=part
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
her ^pp3o+pp3+++=her
sing ^vb++++=sing
at ^in++++=at
a ^at++++=a
wake ^nn++++=wake
or ^cc++++=or
a ^at++++=a
wedding ^nn++++=wedding;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
Others ^aps++++=Others,
, ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
Sidhe ^np+++??+=Sidhe,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
her ^pp$+pp3+++=her
wits ^nns++++=wits
one ^cd1++++=one
Samhain ^np+++??+=Samhain
night ^nn++++=night
many ^ap++++=many
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
asleep ^jj++++=asleep
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
a ^at++++=a
rath ^nn+++??+=rath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
in ^in++++=in
her ^pp$+pp3+++=her
dreams ^nps++++=dreams
the ^ati++++=the
servants ^nns+nom+++=servants
of ^in++++=of
Echtge ^np+++??+=Echtge
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
she ^pp3a+pp3+++=she
vanished ^vbd+++xvbnx+=vanished
away ^rp+pl+++=away
up ^rp++++=up
the ^ati++++=the
hillside ^nn++++=hillside,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
her ^pp$+pp3+++=her
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
from ^in+ppvb+++=from
among ^in++++=among
the ^ati++++=the
stars ^nns++++=stars
in ^in++++=in
the ^ati++++=the
heavens ^nns++++=heavens.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
cold ^jj+atrb+++=cold
wind ^nn++++=wind
creeping ^vwbg+++xvbg+=creeping
among ^in++++=among
the ^ati++++=the
rushes ^vbz++++=rushes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hanrahan ^np+nom++??+=Hanrahan
began ^vbd+++xvbn+=began
to ^to++++=to
shiver ^vbi++++=shiver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose
up ^rp++++=up
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
some ^dti++++=some
house ^nn++++=house
where ^wrb+who+++=where
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
fire ^nn++++=fire
on ^in++++=on
the ^ati++++=the
hearth ^nn++++=hearth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
instead ^rb+cnj+++=instead
of ^in++++=of
turning ^xvbg+++xvbg+=turning
down ^rp++++=down
the ^ati++++=the
hill ^npl++++=hill
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in++++=on
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
little ^ap++++=little
track ^nn++++=track
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
maybe ^rb+hdg+++=maybe
a ^at++++=a
road ^nn++++=road
and ^cc++++=and
maybe ^rb+hdg+++=maybe
the ^ati++++=the
dry ^jj+atrb+++=dry
bed ^nn++++=bed
of ^in++++=of
a ^at++++=a
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way
Winny ^np+++??+=Winny
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
led ^vbd+++xvbn+=led
to ^in++++=to
the ^ati++++=the
little ^jj+atrb+++=little
cabin ^nn++++=cabin
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
stopped ^vbd+++xvbnx+=stopped
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
stopped ^vbd+++xvbnx+=stopped
in ^in++++=in
any ^dti++++=any
place ^nn++++=place
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
