Exhausted ^jj+++xvbn+=Exhausted
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
Life ^nn++++=Life
vanished ^vbd+++xvbn+=vanished
somewhere ^rb++++=somewhere
and ^cc+phrs+++=and
then ^rn+tm+++=then
returned ^vbd+++xvbn+=returned
again ^rb+tm+++=again
with ^in++++=with
a ^at++++=a
loud ^nn++++=loud
throbbing ^vwbg+++xvbg+=throbbing
of ^in++++=of
the ^ati++++=the
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quiet ^nn++++=quiet
and ^cc++++=and
the ^ati++++=the
flame ^nn++++=flame
of ^in++++=of
the ^ati++++=the
candle ^nn++++=candle
was ^vbd+bedz+aux++=was
quivering ^vbg+++xvbgx+=quivering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
dull ^jj++++=dull,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sharp ^jj++++=sharp-pointed,
- ^zz++++=EXTRAWORD
pointed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
crooked ^jj+atrb+++=crooked
sword ^nn++++=sword.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
afraid ^jj++++=afraid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pale ^jj+atrb+++=pale
chin ^nn++++=chin
trembled ^vbd+++xvbn+=trembled,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
remained ^vbd+++xvbn+=remained
motionless ^jj++++=motionless
and ^cc+phrs+++=and
looked ^jj+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
without ^in++++=without
blinking ^xvbg+++xvbg+=blinking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
what ^wdt+who+whcl++=what
unfamiliar ^jj++++=unfamiliar,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
terrible ^jj+atrb+++=terrible
eyes ^nns++++=eyes
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
For ^in++++=For
ten ^cd++++=ten
years ^nns++++=years
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
into ^in+ppvb+++=into
them ^pp3o+pp3+++=them
and ^cc++++=and
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
them ^pp3o+pp3+++=them
better ^jjr++++=better
than ^in++++=than
my ^pp$+pp1+++=my
own ^ap++++=own
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
new ^jj++++=new
in ^in++++=in
them ^pp3o+pp3+++=them
which ^whp+who+++=which
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
unable ^jj+pred+++=unable
define ^vb++++=define.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
called ^vprf+++xvbnx+=called
it ^pp3+it+++=it
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
different ^jj++++=different
in ^in++++=in
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
something ^pn++++=something
new ^jj++++=new,
, ^zz++++=EXTRAWORD
entirely ^rb+amp+++=entirely
new ^jj++++=new.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
her ^pp$+pp3+++=her
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
grasped ^vbd+vprv+tht0+xvbnx+=grasped
my ^pp$+pp1+++=my
hand ^nn++++=hand
firmly ^rb++++=firmly
and ^cc++++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
new ^jj++++=new,
, ^zz++++=EXTRAWORD
something ^pn++++=something
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
known ^vbn+vprv++xvbn+=known
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
handclasp ^nn+++??+=handclasp.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
never ^rb++++=never
before ^cs+sub+++=before
clasped ^vbd+++xvbn+=clasped
my ^pp$+pp1+++=my
hand ^nn++++=hand
as ^ql++++=as
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
long ^jj++++=long?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="About
about ^in++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour
already ^rb++++=already.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
brother ^nn++++=brother
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
apparently ^rb++++=apparently
afraid ^jj+pred+++=afraid
that ^tht+jcmp+++=that
you ^pp2+pp2+++=you
would ^md+prd+++=would
not ^xnot++not++=not
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
go ^vb++++=go,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
away ^rp+pl+++=away
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true
then ^rn+tm+++=then;
; ^zz++++=EXTRAWORD
the ^ati++++=the
time ^nn++++=time
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rose ^vbd+++xvbnx+=rose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
for ^in++++=for
some ^dti++++=some
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
spent ^j+++xvbn+=spent
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
washing ^vwbg+++xvbg+=washing
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
wont ^nn++++=wont
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
before ^in++++=before
going ^nn++++=going
to ^in++++=to
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
wife ^nn++++=wife
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
put ^vbd+++xvbn+=put
out ^rb+phrv+++=out
the ^ati++++=the
light ^nn++++=light
and ^cc++++=and
walked ^vpsv++agls+xvbn+=walked
over ^in++++=over
to ^in++++=to
the ^ati++++=the
window ^nn++++=window
overlooking ^vwbg+++xvbg+=overlooking
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
spring ^vb++++=spring;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
air ^nn++++=air
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
in ^in++++=in
from ^in++++=from
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window
was ^vbd+bedz+vrb++=was
such ^abl++++=such
as ^ql++++=as
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
never ^rb++++=never
before ^cs+sub+++=before
felt ^vbd+vprv++xvbn+=felt
in ^cs+sub+++=in
that ^cs"++++=that
old ^jj+atrb+++=old,
, ^zz++++=EXTRAWORD
large ^jj+atrb+++=large
city ^nn++++=city.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
days ^nns++++=days
the ^ati++++=the
factories ^nns++++=factories
and ^cc++++=and
the ^ati++++=the
roads ^nns++++=roads
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
idle ^jj++++=idle;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
free ^jj++++=free
from ^in++++=from
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
the ^ati++++=the
fragrance ^nn+nom+++=fragrance
of ^in++++=of
the ^ati++++=the
fields ^nns++++=fields
and ^cc++++=and
the ^ati++++=the
flowering ^jj+atrb+++=flowering
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
with ^in++++=with
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
dew ^nn++++=dew.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
smells ^nns++++=smells
so ^ql++++=so
wonderfully ^rb++++=wonderfully
on ^in++++=on
spring ^vb++++=spring
nights ^nns++++=nights
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
go ^vb++++=go
out ^rp+pl+++=out
far ^rb+pl+++=far
beyond ^in++++=beyond
the ^ati++++=the
outskirts ^nns++++=outskirts
of ^in++++=of
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
lantern ^nn++++=lantern,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
single ^jj+atrb+++=single
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
over ^in++++=over
the ^ati++++=the
unconcerned ^jj+atrb+++=unconcerned
stony ^jj+atrb+++=stony
surface ^nn++++=surface;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
closed ^vprf+++xvbnx+=closed
your ^pp$+pp2+++=your
eyes ^nns++++=eyes
you ^pp2+pp2+++=you
would ^md+prd+++=would
really ^rb+emph+++=really
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
in ^in++++=in
a ^at++++=a
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
a ^at++++=a
dog ^nn++++=dog
was ^vbd+bedz+aux++=was
barking ^vbg+++xvbgx+=barking.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
never ^rb++++=never
before ^cs+sub+++=before
heard ^vbd+vprv++xvbn+=heard
a ^at++++=a
dog ^nn++++=dog
barking ^vwbg+++xvbg+=barking
in ^in++++=in
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
for ^in++++=for
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen,
listen ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
dog ^nn++++=dog
is ^vbz+bez+aux++=is
barking ^vbg+++xvbgx+=barking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
wife ^nn++++=wife
embraced ^vbd+++xvbn+=embraced
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
corner ^nn++++=corner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
bent ^vbd+++xvbn+=bent
over ^in++++=over
the ^ati++++=the
window ^nn++++=window-sill,
- ^zz++++=EXTRAWORD
sill ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
transparent ^jj+atrb+++=transparent,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
depth ^nn++++=depth,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
some ^dti++++=some
movement ^nn+nom+++=movement--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
people ^nns++++=people,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
was ^vbd+bedz+aux++=was
moving ^vbg+++xvbgx+=moving
about ^rb+phrv+++=about
like ^in++++=like
a ^at++++=a
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
blows ^nns++++=blows
of ^in++++=of
a ^at++++=a
hatchet ^nn++++=hatchet
or ^cc++++=or
a ^at++++=a
hammer ^nn++++=hammer
resounded ^vbd+++xvbn+=resounded.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
sounded ^vbd+++xvbnx+=sounded
so ^ql+emph+++=so
cheerful ^jj++++=cheerful,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
resonant ^jj++++=resonant,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
a ^at++++=a
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
as ^ql++++=as
on ^in++++=on
a ^at++++=a
river ^nn++++=river
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
mending ^vbg+++xvbgx+=mending
a ^at++++=a
boat ^nn++++=boat
or ^cc++++=or
building ^nvbg+++xvbg+=building
a ^at++++=a
dam ^nn++++=dam.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
the ^ati++++=the
presentiment ^nn+nom+++=presentiment
of ^in++++=of
cheerful ^jj+atrb+++=cheerful,
, ^zz++++=EXTRAWORD
harmonious ^jj+atrb+++=harmonious
work ^nn++++=work,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
firmly ^rb++++=firmly
embraced ^vbd+++xvbn+=embraced
my ^pp$+pp1+++=my
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
above ^jjb++++=above
the ^ati++++=the
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
above ^in+pl+++=above
the ^ati++++=the
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
young ^jj+atrb+++=young
crescent ^npl++++=crescent
of ^in++++=of
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
setting ^vbg+++xvbgx+=setting.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
young ^jj++++=young,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
even ^rb++++=even
as ^ql++++=as
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
dreaming ^vbg+++xvbgx+=dreaming
and ^cc++++=and
is ^vbz+bez+vrb++=is
afraid ^jj+pred+++=afraid
to ^to+jcmp+++=to
tell ^vbi++++=tell
her ^pp$+pp3+++=her
dreams ^nps++++=dreams;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
shining ^vbg+++xvbgx+=shining
only ^rb+down+++=only
for ^in++++=for
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+whq++=EXTRAWORD
will ^md+prd+++=will
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
full ^jj+atrb+++=full
moon?.. ^nn+++??+=moon?..."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
not ^xnot++not++=not!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
wife ^nn++++=wife
interrupted ^vbd+++xvbn+=interrupted.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
speak ^vb++++=speak
of ^in++++=of
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
will ^md+prd+++=will
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=IT
is ^vbz+bez+vrb++=is
afraid ^jj+pred+++=afraid
of ^in++++=of
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark
in ^in++++=in
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
silent ^jj+pred+++=silent
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
without ^in++++=without
seeing ^xvbg+++xvbg+=seeing
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started
to ^to++++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
that ^cs+sub+++=that
some ^dti++++=some
one ^cd1++++=one
else ^rb+cnj+++=else
was ^vbd+bedz+aux++=was
speaking ^vbg+++xvbgx+=speaking;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
afraid ^jj++++=afraid,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
hoarse ^jj+pred+++=hoarse,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
suffocating ^nvbg+++xvbg+=suffocating
for ^in++++=for
thirst ^nn++++=thirst.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
shall ^md+prd+++=shall
it ^pp3+it+++=it
be ^vb+be+vrb++=be?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And--they?"
and ^cc++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+vrb++=be
enough ^qlp++++=enough
for ^in++++=for
them ^pp3o+pp3+++=them
to ^to++++=to
have ^vbi++vrb++=have
a ^at++++=a
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
remain ^vb++++=remain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
I ^pp1a+pp1+++=I?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stir ^vb++++=stir
from ^in++++=from
her ^pp$+pp3+++=her
place ^nn++++=place,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
distinctly ^rb++++=distinctly
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
far ^rb+pl+++=far--far
-- ^--+clp+++=EXTRAWORD
far ^rb+pl+++=EXTRAWORD
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
feel ^vbi+vprv+++=feel
so ^ql+emph+++=so
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stretched ^vbd+++xvbnx+=stretched
out ^rp+pl+++=out
my ^pp$+pp1+++=my
hands ^nns++++=hands--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
she ^pp3a+pp3+++=she
pushed ^vbd+++xvbnx+=pushed
them ^pp3o+pp3+++=them
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
" ^zz++++="People
people ^nns++++=EXTRAWORD
have ^vb+hv+vrb++=have
such ^abl++++=such
a ^at++++=a
holiday ^nn++++=holiday
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
deprive ^vbi++++=deprive
me ^pp1o+pp1+++=me
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
