If ^cs+cnd+++=If
news ^nn++++=news.
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
day ^nn++++=day
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
air ^nn++++=air
of ^in++++=of
suppressed ^jj+atrb++xvbn+=suppressed
excitement ^nn+nom+++=excitement
about ^in++++=about
the ^ati++++=the
little ^ap++++=little
knot ^nn++++=knot
of ^in++++=of
people ^nns++++=people
which ^whp+rel+subj++=which
gathered ^xvbn+++xvbn+=gathered
on ^in++++=on
the ^ati++++=the
pier ^nn++++=pier.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
outward ^jjb+atrb+++=outward
signs ^nns++++=signs
to ^to++++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
anything ^pn++++=anything
unusual ^jj++++=unusual
had ^vbd+hvd+aux++=had
occurred ^vprf+++xvbnx+=occurred.
. ^zz++++=EXTRAWORD
The ^ati++++=The
small ^jj+atrb+++=small
folks ^nns++++=folks
danced ^vbd+++xvbn+=danced
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
glee ^nn++++=glee
over ^in++++=over
the ^ati++++=the
worn ^xvbn+++xvbn+=worn
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peered ^vbd+++xvbn+=peered
down ^rp++++=down
with ^in++++=with
daring ^xvbg+++xvbg+=daring
excitement ^nn+nom+++=excitement
into ^in++++=into
the ^ati++++=the
perilous ^jj+atrb+++=perilous
depths ^nns++++=depths
of ^in++++=of
the ^ati++++=the
water ^nn++++=water
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
fast ^rb++++=fast
sinking ^vbg+++xvbg+=sinking
in ^in++++=in
a ^at++++=a
gorgeous ^jj+atrb+++=gorgeous
glow ^nn++++=glow
behind ^in+pl+++=behind
the ^ati++++=the
pines ^nns++++=pines
of ^in++++=of
the ^ati++++=the
Tchefuncta ^np+++??+=Tchefuncta
region ^nn++++=region
far ^rb+pl+++=far
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
danced ^j+++xvbn+=danced
his ^pp$+pp3+++=his
mischievous ^jj+atrb+++=mischievous
rays ^nns++++=rays
in ^in++++=in
much ^rb++++=much
the ^ati++++=the
same ^ap++++=same
manner ^nn++++=manner
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
every ^at++++=every
other ^ap++++=other
day ^nn++++=day.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
something ^pn++++=something
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
a ^at++++=a
something ^pn++++=something
not ^xnot++not++=not
tangible ^jj++++=tangible,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
mysterious ^jj++++=mysterious,
, ^zz++++=EXTRAWORD
subtle ^jj++++=subtle.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
catch ^vb++++=catch
an ^at++++=an
indescribable ^jj+atrb+++=indescribable
whiff ^nn++++=whiff
of ^in++++=of
it ^pp3+it+++=it
in ^in++++=in
your ^pp$+pp2+++=your
inner ^jjb+atrb+++=inner
senses ^nns++++=senses,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
half ^abn++++=half-eager,
- ^zz++++=EXTRAWORD
eager ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
furtive ^jj+atrb+++=furtive
glances ^nns+nom+++=glances
that ^tht+rel+obj++=that
the ^ati++++=the
small ^jj+atrb+++=small
crowd ^nn++++=crowd
cast ^vbd+++xvbn+=cast
at ^rb++++=at
La ^&fw++++=La
Juanita ^np+++??+=Juanita.
. ^zz++++=EXTRAWORD
" ^zz++++="Gar,
gar ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
gar ^nn+++??+=gar,
, ^zz++++=EXTRAWORD
le ^&fw++++=le
bateau ^nn+++??+=bateau!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
one ^cd1++++=one
dark ^jj++++=dark-tressed
- ^zz++++=EXTRAWORD
tressed ^vwbn+++xvbn+=EXTRAWORD
mother ^npt++++=mother
to ^in++++=to
the ^ati++++=the
wide ^jj++++=wide-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
baby ^nn++++=baby.
. ^zz++++=EXTRAWORD
" ^zz++++="Et,
et ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
oui ^nn+++??+=oui,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
undertone ^np++++=undertone
to ^in++++=to
her ^pp$+pp3+++=her
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
" ^zz++++="Voila,
voila ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
La ^&fw++++=La
Juanita ^np+++??+=Juanita!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
La ^&fw++++=La
Juanita ^np+++??+=Juanita,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
pride ^nn++++=pride
of ^in++++=of
Mandeville ^np+++??+=Mandeville,
, ^zz++++=EXTRAWORD
the ^ati++++=the
adored ^jj+++xvbn+=adored,
, ^zz++++=EXTRAWORD
the ^ati++++=the
admired ^nn++++=admired
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
petite ^jj++++=petite,
, ^zz++++=EXTRAWORD
half ^abn++++=half-Spanish,
- ^zz++++=EXTRAWORD
spanish ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
half ^abn++++=half-French
- ^zz++++=EXTRAWORD
french ^jj+atrb+++=EXTRAWORD
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
rocking ^nvbg+++xvbg+=rocking
in ^in++++=in
the ^ati++++=the
shade ^nn++++=shade
of ^in++++=of
the ^ati++++=the
Cherokee ^np+nom+++=Cherokee-rose-covered
- ^zz++++=EXTRAWORD
rose ^vbd+++xvbn+=EXTRAWORD
- ^zz++++=EXTRAWORD
covered ^vbd+++xvbn+=EXTRAWORD
gallery ^npl+nom+++=gallery
of ^in++++=of
Grandpere ^np+++??+=Grandpere
Colomes ^np+++??+=Colomes'
' ^zz++++=EXTRAWORD
big ^jj+atrb+++=big
house ^nn++++=house,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
fair ^jj+atrb+++=fair
face ^nn++++=face
bonnet ^nn++++=bonnet-shaded,
- ^zz++++=EXTRAWORD
shaded ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
dainty ^jj+atrb+++=dainty
hands ^nns++++=hands
gloved ^jj++++=gloved
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
sun ^nn++++=sun
from ^in++++=from
too ^ql++++=too
close ^vb++++=close
an ^at++++=an
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
splashing ^nvbg+++xvbg+=splashing
the ^ati++++=the
spray ^nn++++=spray
from ^in++++=from
the ^ati++++=the
bow ^nn++++=bow
of ^in++++=of
her ^pp$+pp3+++=her
little ^ap++++=little
pirogue ^nn+++??+=pirogue,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
fluffing ^vbg+++xvbg+=fluffing
her ^pp$+pp3+++=her
skirts ^nns++++=skirts
about ^rb++++=about
her ^pp3o+pp3+++=her
tiny ^jj+atrb+++=tiny
feet ^nns++++=feet
on ^in++++=on
the ^ati++++=the
pier ^nn++++=pier,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
the ^ati++++=the
pet ^nn++++=pet
and ^cc++++=and
ward ^nn++++=ward
of ^in++++=of
Mandeville ^np+++??+=Mandeville,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
La ^&fw++++=La
Juanita ^np+++??+=Juanita
Alvarez ^np++++=Alvarez,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
Madame ^npt++++=Madame
Alvarez ^np++++=Alvarez
was ^vbd+bedz+vrb++=was
a ^at++++=a
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Grandpere ^np+++??+=Grandpere
Colomes ^np+++??+=Colomes
was ^vbd+bedz+vrb++=was
strict ^jj+pred+++=strict
and ^cc++++=and
stern ^nn++++=stern.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
La ^&fw++++=La
Juanita ^np+++??+=Juanita
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
her ^pp$+pp3+++=her
small ^jj+atrb+++=small
foot ^nn++++=foot
down ^in++++=down
with ^in++++=with
a ^at++++=a
passionate ^jj+atrb+++=passionate
stamp ^nn++++=stamp
before ^cs+sub+++=before
Grandpere ^np+++??+=Grandpere
Colomes ^np+++??+=Colomes'
' ^zz++++=EXTRAWORD
very ^ql+amp+++=very
face ^vb++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tossed ^vbd+++xvbn+=tossed
her ^pp$+pp3+++=her
black ^jj+atrb+++=black
curls ^nns++++=curls
about ^rb++++=about
her ^pp3o+pp3+++=her
wilful ^jj+atrb+++=wilful
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
would ^md+prd+++=would
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
pier ^nn++++=pier
this ^dt+dem+++=this
evening ^nn++++=evening
to ^to++++=to
meet ^vbi++++=meet
her ^pp$+pp3+++=her
Mercer ^np++++=Mercer.
. ^zz++++=EXTRAWORD
All ^abn++++=All
Mandeville ^np+++??+=Mandeville
knew ^vbd+vprv+tht0+xvbn+=knew
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cast ^nn+++xvbn+=cast
its ^pp$+it+++=its
furtive ^jj+atrb+++=furtive
glances ^nns+nom+++=glances
alternately ^rb++++=alternately
at ^in++++=at
La ^&fw++++=La
Juanita ^np+++??+=Juanita
with ^in++++=with
two ^cd++++=two
big ^jj++++=big
pink ^jj++++=pink
spots ^vbz++++=spots
in ^in++++=in
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
entrance ^nn+nom+++=entrance
to ^in++++=to
the ^ati++++=the
pier ^nn++++=pier,
, ^zz++++=EXTRAWORD
expecting ^vbg+vprv++xvbg+=expecting
Grandpere ^np+++??+=Grandpere
Colomes ^np+++??+=Colomes
and ^cc++++=and
a ^at++++=a
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
cast ^vbd+++xvbn+=cast
red ^jj+atrb+++=red
glows ^nns+++??+=glows
and ^cc++++=and
violet ^np++++=violet
shadows ^nps++++=shadows
over ^in++++=over
the ^ati++++=the
pier ^nn++++=pier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pines ^nns++++=pines
murmured ^vbd+++xvbn+=murmured
a ^at++++=a
soft ^jj++++=soft
little ^rb++++=little
vesper ^jjr+atrb+++=vesper
hymn ^nn++++=hymn
among ^in++++=among
themselves ^ppls+pp3+++=themselves
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
beach ^nn++++=beach,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
" ^zz++++="New
new ^jj+atrb+++=EXTRAWORD
Camelia ^np+++??+=Camelia"
" ^zz++++=EXTRAWORD
swung ^vbd+++xvbn+=swung
herself ^ppl+pp3+++=herself
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
crabby ^nn+++??+=crabby,
, ^zz++++=EXTRAWORD
sidewise ^jj++++=sidewise,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
fat ^nn++++=fat
old ^jj+atrb+++=old
gentleman ^nn+nom+++=gentleman
going ^vwbg+++xvbg+=going
into ^in++++=into
a ^at++++=a
small ^jj+atrb+++=small
door ^nn++++=door.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
clang ^nn++++=clang
of ^in++++=of
an ^at++++=an
important ^jj+atrb+++=important
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scream ^nn++++=scream
of ^in++++=of
a ^at++++=a
hoarse ^jj++++=hoarse
little ^ap++++=little
whistle ^nn++++=whistle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mandeville ^np+++??+=Mandeville
rushed ^vbd+++xvbn+=rushed
to ^in++++=to
the ^ati++++=the
gang ^nn++++=gang-plank
- ^zz++++=EXTRAWORD
plank ^vb++++=EXTRAWORD
to ^to++++=to
welcome ^vbi++++=welcome
the ^ati++++=the
outside ^jjb+atrb+++=outside
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Juanita ^np+++??+=Juanita
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
hand ^nn++++=hand
through ^in++++=through
a ^at++++=a
waiting ^nn++++=waiting
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tripped ^vbd+++xvbn+=tripped
away ^rp+pl+++=away
with ^in++++=with
her ^pp$+pp3+++=her
Mercer ^np++++=Mercer,
, ^zz++++=EXTRAWORD
big ^jj++++=big
and ^cc+phrs+++=and
blond ^jj++++=blond
and ^cc+phrs+++=and
brawny ^jj++++=brawny.
. ^zz++++=EXTRAWORD
" ^zz++++="Un
un ^&fw++++=EXTRAWORD
Americain ^np+++??+=Americain,
, ^zz++++=EXTRAWORD
pah ^nn+++??+=pah!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
little ^ap++++=little
mother ^nn++++=mother
of ^in++++=of
the ^ati++++=the
black ^jj+atrb+++=black
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Mandeville ^np+++??+=Mandeville
sighed ^vbd+++xvbn+=sighed
sadly ^rb+cnj+++=sadly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shook ^vbd+++xvbn+=shook
its ^pp$+it+++=its
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
sorry ^uh++++=sorry
for ^in++++=for
Grandpere ^np+++??+=Grandpere
Colomes ^np+++??+=Colomes.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
Saturday ^nr++++=Saturday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
big ^jj+atrb+++=big
regatta ^nn++++=regatta
would ^md+prd+++=would
be ^vb+be+vrb++=be
Monday ^nr++++=Monday.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
regatta ^nn++++=regatta,
, ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
one ^cd1++++=one
as ^ql++++=as
Mandeville ^np+++??+=Mandeville
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi++vrb++=be
boats ^nns++++=boats
from ^in++++=from
Madisonville ^np+++??+=Madisonville
and ^cc++++=and
Amite ^np+++??+=Amite,
, ^zz++++=EXTRAWORD
from ^in++++=from
Lewisburg ^np+++??+=Lewisburg
and ^cc++++=and
Covington ^np+++??+=Covington,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
far ^rb+pl+++=far-away
- ^zz++++=EXTRAWORD
away ^rp+pl+++=EXTRAWORD
Nott ^np++++=Nott's
's ^$++++=EXTRAWORD
Point ^nn++++=Point.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
Class ^nn++++=Class
A ^at++++=A
and ^cc++++=and
Class ^nn++++=Class
B ^zz++++=B
and ^cc++++=and
Class ^nn++++=Class
C ^zz++++=C,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^ap++++=little
French ^jj+atrb+++=French
girls ^nns++++=girls
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
flaunted ^vbd+++xvbn+=flaunted
their ^pp$+pp3+++=their
ribbons ^nns++++=ribbons
down ^in++++=down
the ^ati++++=the
one ^cd1++++=one
oak ^nn++++=oak-shaded,
- ^zz++++=EXTRAWORD
shaded ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
lake ^nn++++=lake-kissed
- ^zz++++=EXTRAWORD
kissed ^vbd+++xvbn+=EXTRAWORD
street ^npl++++=street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dared ^vbd+++xvbn+=dared
anyone ^pn++++=anyone
to ^to++++=to
say ^vbi+vpub+tht0++=say
theirs ^pp$$++++=theirs
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
the ^ati++++=the
favourite ^jjb+atrb+++=favourite
colours ^nns++++=colours.
. ^zz++++=EXTRAWORD
In ^in++++=In
Class ^nn++++=Class
A ^at++++=A
was ^vbd+bedz+aux++=was
entered ^vpsv++agls+xvbnx+=entered,
, ^zz++++=EXTRAWORD
" ^zz++++="La
la ^&fw++++=EXTRAWORD
Juanita ^np+++??+=Juanita,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
captain ^npt++++=captain
Mercer ^np++++=Mercer
Grangeman ^np+nom++??+=Grangeman,
, ^zz++++=EXTRAWORD
colours ^nns++++=colours
pink ^jj++++=pink
and ^cc++++=and
gold ^nn++++=gold."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
name ^nn++++=name,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
colours ^nns++++=colours;
; ^zz++++=EXTRAWORD
what ^wdt+who+++=what
impudence ^nn+nom+++=impudence!
! ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
a ^at++++=a
Mandevillian ^np+++??+=Mandevillian,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand
the ^ati++++=the
shame ^nn++++=shame
of ^in++++=of
Grandpere ^np+++??+=Grandpere
Colomes ^np+++??+=Colomes
at ^in++++=at
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
not ^xnot++not++=not
bad ^jj++++=bad
enough ^dt++++=enough
for ^in++++=for
his ^pp$+pp3+++=his
petite ^jj+atrb+++=petite
Juanita ^np+++??+=Juanita,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
Spanish ^jj++++=Spanish
blossom ^vb++++=blossom,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hope ^nn++++=hope
of ^in++++=of
a ^at++++=a
family ^nn++++=family
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
held ^vprf+++xvbnx+=held
itself ^ppl++++=itself
proudly ^rb++++=proudly
aloof ^jj++++=aloof
from ^in++++=from
" ^zz++++="dose
dose ^nn++++=EXTRAWORD
Americain ^np+++??+=Americain"
" ^zz++++=EXTRAWORD
from ^in++++=from
time ^nn++++=time
immemorial ^jj++++=immemorial,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
smiled ^vprf+++xvbnx+=smiled
upon ^in++++=upon
this ^dt+dem+++=this
Mercer ^np++++=Mercer,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
pale ^jj++++=pale-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
youth ^nn++++=youth?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
not ^xnot++not++=not
bad ^jj++++=bad
enough ^dt++++=enough
for ^in++++=for
her ^pp$+pp3+++=her
to ^in++++=to
demean ^nn++++=demean
herself ^ppl+pp3+++=herself
by ^in++++=by
walking ^xvbg+++xvbg+=walking
upon ^in++++=upon
the ^ati++++=the
pier ^nn++++=pier
with ^in++++=with
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
But ^in++++=But
for ^in"++++=for
a ^at++++=a
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
" ^zz++++="un
un ^&fw++++=EXTRAWORD
bateau ^nn+++??+=bateau
Americain ^np+++??+=Americain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
named ^vpsv++agls+xvbnx+=named
La ^&fw++++=La
Juanita ^np+++??+=Juanita!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shame ^nn++++=shame
of ^in++++=of
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Grandpere ^np+++??+=Grandpere
Colomes ^np+++??+=Colomes
prayed ^vbd+vsua++xvbn+=prayed
a ^at++++=a
devout ^jj+atrb+++=devout
prayer ^nn++++=prayer
to ^in++++=to
the ^ati++++=the
Virgin ^nn++++=Virgin
that ^tht+rel+++=that
" ^zz++++="La
la ^&fw++++=EXTRAWORD
Juanita ^np+++??+=Juanita"
" ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
capsized ^vpsv++agls+xvbnx+=capsized.
. ^zz++++=EXTRAWORD
Monday ^nr++++=Monday
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
and ^cc++++=and
blue ^nn++++=blue
and ^cc++++=and
stifling ^jj++++=stifling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
waves ^nns++++=waves
of ^in++++=of
hot ^jj+atrb+++=hot
air ^nn++++=air
danced ^vbd+++xvbn+=danced
on ^in++++=on
the ^ati++++=the
sands ^nns++++=sands
and ^cc++++=and
adown ^jj+++xvbn+=adown
the ^ati++++=the
one ^cd1++++=one
street ^nn++++=street
merrily ^rb++++=merrily.
. ^zz++++=EXTRAWORD
Glassily ^rb++++=Glassily
calm ^nn++++=calm
lay ^vbd+++xvbn+=lay
the ^ati++++=the
Pontchartrain ^np+++??+=Pontchartrain,
, ^zz++++=EXTRAWORD
heavily ^rb++++=heavily
still ^rb++++=still
hung ^vbd+++xvbn+=hung
the ^ati++++=the
atmosphere ^nn++++=atmosphere.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Alvarez ^np++++=Alvarez
cast ^vbd+++xvbn+=cast
an ^at++++=an
inquiring ^jj+atrb+++=inquiring
glance ^nn++++=glance
toward ^in++++=toward
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Grandpere ^np+++??+=Grandpere
Colomes ^np+++??+=Colomes
