At ^in++++=At
up ^rp++++=up
the ^ati++++=the
struggle ^nn++++=struggle
just ^rb+emph+++=just
when ^wrb+who+++=when
the ^ati++++=the
propitious ^jj+atrb+++=propitious
moment ^nn++++=moment
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
Seediness ^nns+nom++??+=Seediness
marked ^vbd+++xvbn+=marked
the ^ati++++=the
second ^od++++=second-class;
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
third ^od++++=third-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
all ^abn++++=all
parts ^nns++++=parts,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Cape ^np++++=Cape
to ^in++++=to
Pietermaritzburg ^np+++??+=Pietermaritzburg,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
might ^md+pos+++=might
have ^vb+hv+aux++=have
conspired ^vprf+++xvbn+=conspired
to ^to++++=to
assemble ^vbi++++=assemble
on ^in++++=on
the ^ati++++=the
Cambuscan ^np+nom++??+=Cambuscan
as ^in++++=as
a ^at++++=a
protest ^nn++++=protest
against ^in++++=against
high ^jj+atrb+++=high
hopes ^nns++++=hopes
and ^cc++++=and
dreams ^nps++++=dreams
of ^in++++=of
a ^at++++=a
promised ^jj+atrb++xvbn+=promised
land ^nn++++=land.
. ^zz++++=EXTRAWORD
The ^ati++++=The
protest ^nn++++=protest,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
add ^vb+vpub+++=add,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
entirely ^rb+amp+++=entirely
passive ^jj+atrb+++=passive
one ^pn++++=one.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
stood ^vbd+++xvbnx+=stood
aloof ^jj++++=aloof,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
flashy ^nn+++??+=flashy
gaieties ^nns+++??+=gaieties
of ^in++++=of
the ^ati++++=the
hurricane ^nn++++=hurricane-deck
- ^zz++++=EXTRAWORD
deck ^nn++++=EXTRAWORD
from ^in++++=from
their ^pp$+pp3+++=their
own ^ap++++=own
sad ^jj+atrb+++=sad
penumbra ^nn++++=penumbra--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
dejected ^jj++++=dejected,
, ^zz++++=EXTRAWORD
wistful ^jj+atrb+++=wistful,
, ^zz++++=EXTRAWORD
whispering ^jj+atrb++xvbg+=whispering
throng ^nn++++=throng.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
simply ^rb++++=simply
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
occur ^vb++++=occur,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
be ^vb+be+vrb++=be-diamonded
- ^zz++++=EXTRAWORD
diamonded ^jj+atrb++xvbn+=EXTRAWORD
ladies ^nns++++=ladies
remarked ^vbd+vpub++xvbn+=remarked
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
to ^to++++=to
praise ^vbi++++=praise
the ^ati++++=the
U ^zz++++=U-Line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
for ^in++++=for
arranging ^xvbg+++xvbg+=arranging
it ^pp3+it+++=it
so ^rb++++=so.
. ^zz++++=EXTRAWORD
With ^in++++=With
nightfall ^nn+++??+=nightfall--or
-- ^--+clp+++=EXTRAWORD
or ^cc+cls+++=EXTRAWORD
a ^at++++=a
trifle ^nn++++=trifle
later ^rbr+tm+++=later--they
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
vanished ^vbd+++xvbnx+=vanished;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
most ^ql+emph+++=most,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
time ^nn++++=time
came ^vbd+++xvbn+=came
for ^in+ppvb+++=for
my ^pp$+pp1+++=my
last ^rb++++=last
pipe ^nn++++=pipe
before ^in++++=before
turning ^xvbg+++xvbg+=turning
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
figures ^nns++++=figures
would ^md+prd+++=would
be ^vb+be+aux++=be
left ^vpsv++agls+xvbnx+=left
pacing ^vbg+++xvbg+=pacing
there ^rn+pl+++=there
forward ^nn++++=forward,
, ^zz++++=EXTRAWORD
pacing ^vbg+++xvbg+=pacing
and ^cc+phrs+++=and
turning ^vbg+++xvbg+=turning
and ^cc+phrs+++=and
pacing ^vbg+++xvbg+=pacing
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
who ^whp+wpr+whcl++=who
these ^dt+dem+++=these
figures ^nns++++=figures
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
their ^pp$+pp3+++=their
thoughts ^nns++++=thoughts.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
and ^cc++++=and
the ^ati++++=the
sleepers ^nns+nom+++=sleepers
hived ^vbd+++xvbn+=hived
beneath ^rb++++=beneath
them ^pp3o+pp3+++=them
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
another ^dt++++=another
world ^nn++++=world--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
world ^nn++++=world
driven ^vwbn+++xvbn+=driven
with ^in++++=with
ours ^pp$$++++=ours
through ^in++++=through
wave ^nn++++=wave
and ^cc++++=and
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
urged ^vpbn+vsua++xvbn+=urged
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
propellers ^nns+nom+++=propellers,
, ^zz++++=EXTRAWORD
controlled ^xvbn+++xvbn+=controlled
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
helmsman ^nn+nom+++=helmsman,
, ^zz++++=EXTRAWORD
separated ^j+++xvbn+=separated
only ^rb+down+++=only
by ^in++++=by
thin ^jj+atrb+++=thin
partitions ^nns+nom+++=partitions
which ^whp+rel+obj++=which
the ^ati++++=the
touch ^nn++++=touch
of ^in++++=of
a ^at++++=a
rock ^nn++++=rock
would ^md+prd+++=would
tear ^vb++++=tear
down ^rp++++=down
like ^in++++=like
paper ^nn++++=paper;
; ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
partitions ^nns+nom+++=partitions
stood ^vbd+++xvbn+=stood,
, ^zz++++=EXTRAWORD
separated ^j+++xvbn+=separated
as ^ql++++=as
no ^at++++=no
city ^nn++++=city
separates ^nns+nom+++=separates
its ^pp$+it+++=its
rich ^jj++++=rich
and ^cc+phrs+++=and
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
on ^in++++=on
Sundays ^nrs++++=Sundays
did ^vbd+dod+vrb++=did
these ^dt+dem+++=these
two ^cd++++=two
worlds ^nns++++=worlds
consent ^nn++++=consent
to ^to++++=to
meet ^vbi++++=meet.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
a ^at++++=a
common ^jj+atrb+++=common
God ^np++++=God,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
joined ^vpsv++agls+xvbn+=joined
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week
in ^in++++=in
worshipping ^xvbg+++xvbg+=worshipping
Him ^pp3o+pp3+++=Him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
be ^vb+be+aux++=be-diamonded
- ^zz++++=EXTRAWORD
diamonded ^vwbn+++xvbn+=EXTRAWORD
lady ^npt++++=lady,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
quite ^rb++++=quite
accurate ^jj++++=accurate.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
only ^rb+down+++=only--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
second ^od++++=second
day ^nn++++=day
out ^rp+pl+++=out
from ^in++++=from
Madeira ^np++++=Madeira--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
third ^od++++=third-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
passengers ^nns+nom+++=passengers
did ^vbd+dod+aux++=did
" ^zz++++="occur,"
occur ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
organising ^xvbg+++xvbg+=organising
athletic ^jj+atrb+++=athletic
sports ^nns++++=sports,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
( ^zz++++=(with
with ^in++++=EXTRAWORD
the ^ati++++=the
captain ^nn++++=captain's
's ^$++++=EXTRAWORD
leave ^vb++++=leave)
) ^zz++++=EXTRAWORD
of ^in++++=of
levying ^xvbg+++xvbg+=levying
prize ^nn++++=prize-money
- ^zz++++=EXTRAWORD
money ^nn++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
saloon ^nn++++=saloon-deck.
- ^zz++++=EXTRAWORD
deck ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
their ^pp$+pp3+++=their
delegate ^nn+nom+++=delegate
approached ^vbd+++xvbn+=approached,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
lounging ^vbg+++xvbgx+=lounging
beneath ^in+pl+++=beneath
the ^ati++++=the
great ^jj+atrb+++=great
awning ^nn++++=awning
and ^cc++++=and
listening ^nvbg+++xvbg+=listening,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pretending ^vbg+++xvbg+=pretending
to ^to+vcmp+++=to
listen ^vbi++++=listen,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
discourse ^nn++++=discourse
of ^in++++=of
our ^pp$+pp1+++=our
only ^ap+down+++=only
millionaire ^nn++++=millionaire,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Olstein ^np++++=Olstein.
. ^zz++++=EXTRAWORD
As ^ql++++=As
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
recited ^vbd+++xvbnx+=recited
his ^pp$+pp3+++=his
wrongs ^nns++++=wrongs;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mere ^jjb+atrb+++=mere
recital ^nn++++=recital
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^to++++=to
perspire ^vbi++++=perspire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hairs ^nns++++=hairs
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
his ^pp$+pp3+++=his
expostulatory ^nn++++=expostulatory
hand ^nn++++=hand
bristled ^vbd+++xvbn+=bristled
with ^in++++=with
indignation ^nn+nom+++=indignation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
diamonds ^nns++++=diamonds
on ^in++++=on
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
flashed ^vbd+++xvbn+=flashed
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
him ^pp3o+pp3+++=him
but ^cc++++=but
two ^cd++++=two
days ^nns++++=days
and ^cc++++=and
were ^vbd+bed+aux++=were
passing ^vbg+++xvbgx+=passing
weary ^jj++++=weary
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
allowed ^vbd+++xvbn+=allowed
him ^pp3o+pp3+++=him
to ^to++++=to
talk ^vbi++++=talk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
apostrophised ^vbd+++xvbnx+=apostrophised
the ^ati++++=the
British ^jj+atrb+++=British
Flag ^nn++++=Flag--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
final ^jj+atrb+++=final
Court ^nn++++=Court
of ^in++++=of
Appeal ^nn++++=Appeal,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
termed ^vbd+++xvbnx+=termed
it ^pp3+it+++=it--while
-- ^--+clp+++=EXTRAWORD
while ^cs+sub+++=EXTRAWORD
we ^pp1a+pp1+++=we
stared ^vbd+++xvbn+=stared
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
love ^nn++++=love
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
insisted ^vbd+vpub++xvbnx+=insisted.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
without ^in++++=without
a ^at++++=a
lump ^nn++++=lump
in ^in++++=in
our ^pp$+pp1+++=our
throats ^nns++++=throats.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
ask ^vb++++=ask
ourselves ^ppls+pp1+++=ourselves,
, ^zz++++=EXTRAWORD
How ^wrb+who+++=How
long ^rb++++=long
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
affection ^nn+nom+++=affection
to ^to++++=to
count ^vbi++++=count
for ^in++++=for
nothing ^pn++++=nothing?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we
to ^to++++=to
get ^vbi++++=get
in ^rb+phrv+++=in
return ^nn++++=return?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
answered ^vbd+vpub++xvbn+=answered,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
because ^cs+cos+++=because
no ^at++++=no
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
thoughts ^nns++++=thoughts
had ^vbd+hvd+aux++=had
flown ^vprf+++xvbnx+=flown
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
a ^at++++=a
small ^jj+atrb+++=small
riverside ^nn+++??+=riverside
church ^npl++++=church
in ^in++++=in
England ^np++++=England,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
memorial ^nn++++=memorial
window ^nn++++=window
to ^to++++=to
one ^cd1++++=one
whose ^whp+rel+obj++=whose
body ^nn++++=body
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
after ^cs+sub+++=after
Isandlwhana ^np+++??+=Isandlwhana
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
flag ^nn++++=flag
wrapped ^vbd+++xvbn+=wrapped
around ^rp++++=around
it ^pp3+it+++=it
beneath ^in+pl+++=beneath
the ^ati++++=the
tunic ^nn++++=tunic.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
reward ^nn++++=reward.
. ^zz++++=EXTRAWORD
" ^zz++++="Hey?
hey ^uh++++=EXTRAWORD
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Olstein ^np++++=Olstein
took ^vbd+++xvbn+=took
the ^ati++++=the
subscription ^nn+nom+++=subscription
list ^nn++++=list,
, ^zz++++=EXTRAWORD
fitted ^xvbn+++xvbn+=fitted
his ^pp$+pp3+++=his
gold ^nn++++=gold-rimmed
- ^zz++++=EXTRAWORD
rimmed ^jj+atrb+++=EXTRAWORD
glasses ^nns++++=glasses
and ^cc++++=and
eyed ^vbd+++xvbn+=eyed
the ^ati++++=the
delegate ^nn++++=delegate
over ^in++++=over
the ^ati++++=the
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
" ^zz++++="Athletic
athletic ^jj+atrb+++=EXTRAWORD
sports ^nns++++=sports?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
much ^rb++++=much
in ^in++++=in
your ^pp$+pp2+++=your
line ^nn++++=line,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
the ^ati++++=the
delegate ^nn++++=delegate
bent ^vbd+++xvbn+=bent
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
a ^at++++=a
bright ^jj+atrb+++=bright
spot ^nn++++=spot
showed ^vbd+vprv++xvbn+=showed
on ^in++++=on
either ^dtx++++=either
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
weedy ^jj++++=weedy,
, ^zz++++=EXTRAWORD
hollow ^jj++++=hollow-chested
- ^zz++++=EXTRAWORD
chested ^jj+atrb++xvbn+=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
about ^in++++=about
six ^cd++++=six
feet ^nns++++=feet
in ^in++++=in
height ^nn++++=height,
, ^zz++++=EXTRAWORD
with ^in++++=with
tell ^vb++++=tell-tale
- ^zz++++=EXTRAWORD
tale ^nn++++=EXTRAWORD
pits ^nns++++=pits
at ^in++++=at
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
ragged ^jj+atrb+++=ragged
beard ^nn++++=beard
evidently ^rb++++=evidently
grown ^vprf+++xvbn+=grown
on ^in+ppvb+++=on
the ^ati++++=the
voyage ^nn++++=voyage.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
collector ^nn++++=collector,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
captain ^nn++++=captain's
's ^$++++=EXTRAWORD
permission ^nn++++=permission."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Olstein ^np++++=Olstein
pulled ^vbd+++xvbn+=pulled
out ^rp+pl+++=out
a ^at++++=a
sovereign ^nn++++=sovereign.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
put ^vb+++xvbn+=put
this ^dt+dem+++=this
on ^in++++=on
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
a ^at++++=a
consumptive ^nn++++=consumptive
with ^in++++=with
half ^nn++++=half
an ^at++++=an
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
here" ^nn+++??+=here"--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
appealed ^vbd+++xvbnx+=appealed
to ^in++++=to
us ^pp1o+pp1+++=us--"this
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
suffer ^vb++++=suffer
from ^in+strn+++=from.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
fellows ^nns++++=fellows
with ^in++++=with
lung ^nn++++=lung
trouble ^nn++++=trouble
flock ^nn++++=flock
to ^in++++=to
a ^at++++=a
tepid ^jj+atrb+++=tepid
hole ^nn++++=hole
like ^in++++=like
Madeira ^np++++=Madeira,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Cape ^np++++=Cape
would ^md+prd+++=would
cure ^vb++++=cure
you ^pp2+pp2+++=you
in ^in++++=in
half ^nn++++=half
the ^ati++++=the
time ^nn++++=time:
: ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
the ^ati++++=the
voyage ^nn++++=voyage
itself ^ppl++++=itself
only ^rb+down+++=only
begins ^vbz++++=begins
to ^to++++=to
be ^vbi++vrb++=be
decent ^jj+pred+++=decent
after ^cs+sub+++=after
you ^pp2+pp2+++=you
get ^vb++++=get
south ^np+pl+++=south!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
do ^vb+do+aux++=do
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
are ^vb+ber+vrb++=are
just ^rb+emph+++=just
the ^ati++++=the
sort ^nn++++=sort
who ^whp+rel+subj++=who
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
pay ^nn++++=pay
us ^pp1o+pp1+++=us
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
come ^vb++++=come,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
damage ^nn++++=damage
us ^pp1o+pp1+++=us
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
go ^vb++++=go
back, ^nn+++??+=back,--hard
-- ^--+clp+++=EXTRAWORD
