Scene. ^np+++??+=Scene.--The
of ^in++++0=o'
these ^dt+dem+++=these
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
June ^nr++++=June
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
so ^ql+emph+++=so
fresh ^jj++++=fresh
and ^cc++++=and
smilin ^nn+++??+=smilin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
her ^pp$+pp3+++=her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
as ^ql++++=as
clear ^vb++++=clear
and ^cc++++=and
sweet ^jj++++=sweet
as ^ql++++=as
a ^at++++=a
meadow ^nn++++=meadow
lark ^nn++++=lark's--Lordy
's--lordy ^nn+++??+=EXTRAWORD
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
' ^zz++++='member
member ^nn++++=EXTRAWORD
how ^wrb+who+++=how
she ^pp3a+pp3+++=she
used ^md"++pmd"++=used
to ^to++++=to
sing ^vb++++=sing
some ^dti++++=some
of ^in++++0=o'
them ^pp3o+pp3+++=them
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
places ^nns++++=places
where ^wrb+who+++=where
the ^ati++++=the
treble ^jj++++=treble
and ^cc++++=and
counter ^vb++++=counter
used ^md"++pmd"++=used
to ^to++++=to
go ^vb++++=go
together ^nn+nom+++=together:
: ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
voice ^nn++++=voice
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
trembled ^vbd+++xvbn+=trembled
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
went ^nn++++=went
through ^in++++0=thro'
and ^cc++++=and
through ^in++++0=thro'
a ^at++++=a
feller ^nn++++=feller!
! ^zz++++=EXTRAWORD
tuck ^nn+++??+=tuck
him ^pp3o+pp3+++=him
right ^rb++++=right
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
Sam ^np++++=Sam
leaned ^vbd+++xvbn+=leaned
contemplatively ^jj++++=contemplatively
back ^jjb++++=back
with ^in++++=with
his ^pp$+pp3+++=his
head ^nn++++=head
in ^in++++=in
a ^at++++=a
clump ^nn++++=clump
of ^in++++=of
sweet ^nn++++=sweet
fern ^vbd+++xvbn+=fern,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
refreshed ^xvbn+++xvbn+=refreshed
himself ^ppl+pp3+++=himself
with ^in++++=with
a ^at++++=a
chew ^nn++++=chew
of ^in++++=of
young ^jj++++=young
wintergreen ^jj+++xvbn+=wintergreen.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
young ^jj++++=young
wintergreen ^jj+++xvbn+=wintergreen,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
jest ^rb++++=jest
like ^in++++=like
a ^at++++=a
feller ^nn++++=feller's
's ^$++++=EXTRAWORD
thoughts ^nns++++=thoughts
of ^in++++0=o'
things ^nns++++=things
that ^tht+rel+subj++=that
happened ^vprf+++xvbn+=happened
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
comes ^vbz++++=comes
up ^rp++++=up
jest ^rb++++=jest
so ^ql+emph+++=so
fresh ^jj++++=fresh
and ^cc+phrs+++=and
tender ^jj++++=tender
every ^at++++=every
year ^nn++++=year,
, ^zz++++=EXTRAWORD
the ^ati++++=the
longest ^jjt+atrb+++=longest
time ^nn++++=time
you ^pp2+pp2+++=you
hev ^vb+++??+=hev
to ^to++++=to
live ^vbi++++=live;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
chawin ^nn+++??+=chawin'
' ^zz++++=EXTRAWORD
on ^in++++0=on't
it ^pp3+it+++=EXTRAWORD
although ^cs+con+++0=tho'
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
stingin ^nn+++??+=stingin'.
'. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
never ^rb++++=never
get ^vb++++=get
over ^in+ppvb+++=over
likin ^nn+++??+=likin'
' ^zz++++=EXTRAWORD
young ^jj++++=young
wintergreen ^jj+++xvbn+=wintergreen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
about ^in++++=about
Huldah ^np+++??+=Huldah,
, ^zz++++=EXTRAWORD
Sam ^nn++++=Sam?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
about ^in++++=about
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
feller ^nn++++=feller
is ^vbz+bez+vrb++=is
Indianin ^np+++??+=Indianin'
' ^zz++++=EXTRAWORD
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
pleasant ^jj+atrb+++=pleasant
summer ^nn++++=summer
days ^nns++++=days,
, ^zz++++=EXTRAWORD
a ^at++++=a
feller ^nn++++=feller's
's ^$++++=EXTRAWORD
thoughts ^nns++++=thoughts
gits ^nns+++??+=gits
like ^in++++=like
a ^at++++=a
flock ^nn++++=flock
of ^in++++0=o'
young ^jj+atrb+++=young
partridges ^nns+++??+=partridges:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they's
's ^vbz+bez+vrb++0=EXTRAWORD
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
and ^cc++++=and
everywhere ^rb++++=everywhere;
; ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
one ^cd1++++=one
place ^nn++++=place
is ^vbz+bez+vrb++=is
jest ^rb++++=jest
about ^in++++=about
as ^ql++++=as
good ^jj++++=good
as ^ql++++=as
another ^dt++++=another,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
so ^pn++++=so
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
comfortable ^jj++++=comfortable
and ^cc+phrs+++=and
nice ^jj++++=nice.
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
about ^in++++=about
Huldy, ^np+++??+=Huldy,--as
-- ^--+clp+++=EXTRAWORD
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
sayin ^nn+++??+=sayin'.
'. ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
as ^ql++++=as
handsome ^jj++++=handsome
a ^at++++=a
gal ^nn++++=gal
to ^to++++=to
look ^vbi++++=look
at ^rb++++=at
as ^ql++++=as
a ^at++++=a
feller ^nn++++=feller
could ^md+pos+++=could
have ^vb+hv+vrb++=have;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
a ^at++++=a
nice ^jj++++=nice,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-behaved
- ^zz++++=EXTRAWORD
behaved ^jj+atrb++xvbn+=EXTRAWORD
young ^jj+atrb+++=young
gal ^nn++++=gal
in ^in++++=in
the ^ati++++=the
singers ^nns+nom+++=singers'
' ^zz++++=EXTRAWORD
seat ^nn++++=seat
of ^in++++=of
a ^at++++=a
Sunday ^nr++++=Sunday
is ^vbz+bez+vrb++=is
a ^at++++=a
means ^nn++++=means
of ^in++++0=o'
grace ^nn++++=grace:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
drawin ^nn+++??+=drawin'
' ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
unregenerate ^nn+nom+++=unregenerate,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
in ^in++++=in
them ^pp3o+pp3+++=them
days ^nns++++=days,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
walked ^vprf+++xvbnx+=walked
ten ^cd++++=ten
miles ^nns++++=miles
over ^in++++=over
to ^in++++=to
Sherburne ^np+++??+=Sherburne
of ^in++++=of
a ^at++++=a
Sunday ^nr++++=Sunday
mornin ^nn+++??+=mornin',
', ^nn+++??+=EXTRAWORD
jest ^rb++++=jest
to ^to++++=to
play ^vbi++++=play
the ^ati++++=the
bass ^nn++++=bass-viol
- ^zz++++=EXTRAWORD
viol ^nn+++??+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
singers ^nns+nom+++=singers'
' ^zz++++=EXTRAWORD
seat ^nn++++=seat
with ^in++++=with
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
much ^ap++++=much
respected ^jj+++xvbn+=respected,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
to ^in++++=to
tailorin ^nn+++??+=tailorin',
', ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
allers ^nn++++=allers
bespoke ^nn+++??+=bespoke
six ^cd++++=six
months ^nns++++=months
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vpsv++agls+xvbn+=sent
for ^in++++=for
in ^in++++=in
waggins ^nns+++??+=waggins
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
for ^in++++=for
ten ^cd++++=ten
miles ^nns++++=miles
round ^in+strn+++=round;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
young ^jj+atrb+++=young
fellers ^nns+nom+++=fellers
was ^vbd+bedz+vrb++=was
allers ^nn++++=allers
' ^zz++++='mazin'
mazin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
anxious ^jj++++=anxious
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
sent ^vpsv++agls+xvbnx+=sent
after ^in++++=after
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
free ^jj+pred+++=free
to ^to+jcmp+++=to
offer ^vbi++++=offer
to ^to++++=to
go ^vbi++++=go
for ^in+ppvb+++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carry ^vb++++=Carry!
! ^zz++++=EXTRAWORD
died ^j+++xvbn+=died,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
be ^vbi++vrb++=be
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
housekeeper ^nn+nom+++=housekeeper
at ^in++++=at
the ^ati++++=the
minister ^npt+nom+++=minister's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
saw ^vpsv++agls+xvbn+=saw
to ^in+ppvb+++=to
every ^at++++=every
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=did
every ^at++++=every
thing ^nn++++=thing:
: ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
pin ^nn++++=pin
out ^rp+pl+++=out
of ^in++++0=o'
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
in ^in++++=in
parishes ^nns++++=parishes:
: ^zz++++=EXTRAWORD
there ^ex+pex+++=there
allers ^nn++++=allers
is ^vbz+bez+vrb++=is
women ^nns++++=women
that ^tht+rel+subj++=that
thinks ^vbz+vprv+++=thinks
the ^ati++++=the
minister ^nn+nom+++=minister's
's ^$++++=EXTRAWORD
affairs ^nns++++=affairs
belongs ^vbz++++=belongs
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
the ^ati++++=the
rulin ^nn+++??+=rulin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
guidin ^nn+++??+=guidin'
' ^zz++++=EXTRAWORD
of ^in++++=of
' ^zz++++='em;
em ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
minister ^nn+nom+++=minister's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
dies ^vbz++++=dies,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
folks ^nns++++=folks
that ^tht+rel+obj++=that
allers ^nn++++=allers
has ^vbz+hvz+vrb++=has
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
open ^jj++++=open
on ^in++++=on
providences, ^nn+++??+=providences,--lookin'
-- ^--+clp+++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
who ^whp+who+++=who's
's ^vbz+bez+vrb++0=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
next ^ap++++=next
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Amaziah ^np+++??+=Amaziah
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
a ^at++++=a
widder ^nn++++=widder
with ^in++++=with
snappin ^nn+++??+=snappin'
' ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
hook ^nn++++=hook
nose, ^nn+++??+=nose,--kind
-- ^--+clp+++=EXTRAWORD
kind ^rb+hdg+++=EXTRAWORD
of ^+hdg"+++0=o'
like ^in++++=like
a ^at++++=a
hawk ^nn+++??+=hawk;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++0=o'
them ^pp3o+pp3+++=them
up ^rp++++=up-and-down
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
commandin ^nn+++??+=commandin'
' ^zz++++=EXTRAWORD
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
women ^nns++++=women,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
feel ^nn+vprv+++=feel
that ^tht+ncmp+++=that
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
call ^nn++++=call
to ^to++++=to
be ^vbi++vrb++=be
seein ^nn+++??+=seein'
' ^zz++++=EXTRAWORD
to ^in++++=to
every ^at++++=every
thing ^nn++++=thing
that ^tht+rel+subj++=that
goes ^vbz++++=goes
on ^in++++=on
in ^in++++=in
the ^ati++++=the
parish ^nn++++=parish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='specially
specially ^rb++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
minister ^nn+nom+++=minister.
. ^zz++++=EXTRAWORD
" ^zz++++="Folks
folks ^nns++++=EXTRAWORD
did ^vbd+dod+aux++=did
say ^vb+vpub+++=say
