Whatever ^nn+nom+++=WHATEVER
with ^in++++=with
acute ^jj+atrb+++=acute
pain ^nn++++=pain
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
of ^in++++=of
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
breathed ^vpsv++agls+xvbn+=breathed
with ^in++++=with
great ^jj+atrb+++=great
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
all ^rb++++=all
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
symptoms ^nns++++=symptoms
of ^in++++=of
asthma ^nn++++=asthma.
. ^zz++++=EXTRAWORD
In ^in++++=In
spasms ^nns++++=spasms
such ^abl++++=such
as ^ql++++=as
these ^dt+dem+++=these
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
usually ^rb+down+splt++=usually
found ^vprf+++xvbnx+=found
relief ^nn++++=relief
from ^in++++=from
the ^ati++++=the
application ^nn+nom+++=application
of ^in++++=of
mustard ^nn++++=mustard
to ^in++++=to
the ^ati++++=the
nervous ^jj+atrb+++=nervous
centres ^nns++++=centres,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
this ^dt+pdem+++=this
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
attempted ^vpsv++agls+xvbnx+=attempted
in ^rb++++=in
vain ^rb"++++=vain.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered
his ^pp$+pp3+++=his
room ^nn++++=room
he ^pp3a+pp3+++=he
greeted ^vbd+++xvbnx+=greeted
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
cheerful ^jj+atrb+++=cheerful
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
although ^cs+con+++=although
evidently ^rb++++=evidently
in ^in++++=in
much ^rb++++=much
bodily ^jj+atrb+++=bodily
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
mentally ^rb+cnj+++=mentally,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
at ^rb++++=at
ease ^nn++++=ease.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sent ^vbd+++xvbnx+=sent
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to-night,"
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="not
not ^xnot++not++=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
to ^to++++=to
administer ^nn+nom+++=administer
to ^in++++=to
my ^pp$+pp1+++=my
bodily ^jj+atrb+++=bodily
ailment ^nn+nom+++=ailment,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in"++++=to
satisfy ^vb++++=satisfy
me ^pp1o+pp1+++=me
concerning ^in++++=concerning
certain ^jj+atrb+++=certain
psychal ^nn++++=psychal
impressions ^nns++++=impressions
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
of ^in++++=of
late ^jj++++=late,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
occasioned ^vprf+++xvbnx+=occasioned
me ^pp1o+pp1+++=me
much ^ap++++=much
anxiety ^nn++++=anxiety
and ^cc++++=and
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^nn++++=need
not ^xnot++not++=not
tell ^vb++++=tell
you ^pp2+pp2+++=you
how ^wrb+who+++=how
sceptical ^jj++++=sceptical
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
hitherto ^rb++splt++=hitherto
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
topic ^nn++++=topic
of ^in++++=of
the ^ati++++=the
soul ^nn++++=soul's
's ^$++++=EXTRAWORD
immortality ^nn+nom+++=immortality.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
deny ^vb+vpub+++=deny
that ^tht+vcmp+++=that
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
always ^rb++splt++=always
existed ^vprf+++xvbnx+=existed,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^cs+sub+++=in
that ^cs"++++=that
very ^ap+amp+++=very
soul ^nn++++=soul
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
denying ^vbg+vpub++xvbgx+=denying,
, ^zz++++=EXTRAWORD
a ^at++++=a
vague ^jj++++=vague
half ^abn++++=half-sentiment
- ^zz++++=EXTRAWORD
sentiment ^nn+nom+++=EXTRAWORD
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
half ^abn++++=half-sentiment
- ^zz++++=EXTRAWORD
sentiment ^nn+nom+++=EXTRAWORD
at ^in++++=at
no ^at++++=no
time ^nn++++=time
amounted ^vbd+++xvbn+=amounted
to ^in++++=to
conviction ^nn+nom+++=conviction.
. ^zz++++=EXTRAWORD
With ^in++++=With
it ^pp3+it+++=it
my ^pp$+pp1+++=my
reason ^nn++++=reason
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
All ^abn++++=All
attempts ^nns++++=attempts
at ^rb++++=at
logical ^jj+atrb+++=logical
inquiry ^nn++++=inquiry
resulted ^vbd+++xvbn+=resulted,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
in ^in++++=in
leaving ^xvbg+++xvbg+=leaving
me ^pp1o+pp1+++=me
more ^rbr++++=more
sceptical ^jj++++=sceptical
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
advised ^vpsv++agls+xvbnx+=advised
to ^to+vcmp+++=to
study ^vb++++=study
Cousin ^nn++++=Cousin.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
studied ^vbd+++xvbnx+=studied
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
works ^nns++++=works
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
in ^in++++=in
those ^dt+dem+++=those
of ^in++++=of
his ^pp$+pp3+++=his
European ^jj+atrb+++=European
and ^cc+phrs+++=and
American ^jj+atrb+++=American
echoes ^nns++++=echoes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
' ^zz++++='Charles
charles ^np++++=EXTRAWORD
Elwood ^np+++??+=Elwood'
' ^zz++++=EXTRAWORD
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Brownson ^np++++=Brownson,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
my ^pp$+pp1+++=my
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv+tht0+xvbnx+=read
it ^pp3+it+++=it
with ^in++++=with
profound ^jj+atrb+++=profound
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
Throughout ^rb++++=Throughout
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
logical ^jj++++=logical,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
portions ^nns+nom+++=portions
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
merely ^rb+down+++=merely
logical ^jj++++=logical
were ^vbd+bed+vrb++=were
unhappily ^rb++++=unhappily
the ^ati++++=the
initial ^jj+atrb+++=initial
arguments ^nns+nom+++=arguments
of ^in++++=of
the ^ati++++=the
disbelieving ^jj+atrb+++=disbelieving
hero ^nn++++=hero
of ^in++++=of
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
summing ^vbg+++xvbg+=summing
up ^rp++++=up
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
evident ^jj++++=evident
to ^in++++=to
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
the ^ati++++=the
reasoner ^jjr++++=reasoner
had ^vb+hv+vrb++=had
not ^xnot++not++=not
even ^cs+sub+++=even
succeeded ^vprf+++xvbn+=succeeded
in ^in++++=in
convincing ^jj++++=convincing
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
end ^nn++++=end
had ^vb+hv+aux++=had
plainly ^rb++splt++=plainly
forgotten ^vprf+++xvbnx+=forgotten
his ^pp$+pp3+++=his
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
government ^nn+nom+++=government
of ^in++++=of
Trinculo ^np+++??+=Trinculo.
. ^zz++++=EXTRAWORD
In ^rb++++=In
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
long ^rb++++=long
in ^in++++=in
perceiving ^vb++++=perceiving
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
man ^nn++++=man
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
intellectually ^rb++splt++=intellectually
convinced ^vpsv++agls+xvbnx+=convinced
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
immortality ^nn+nom+++=immortality,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
never ^rb++++=never
be ^vb+be+aux++=be
so ^ql++++=so
convinced ^vpsv++by+xvbn+=convinced
by ^in++++=by
the ^ati++++=the
mere ^jjb+atrb+++=mere
abstractions ^nns+nom+++=abstractions
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
long ^rb++++=long
the ^ati++++=the
fashion ^nn++++=fashion
of ^in++++=of
the ^ati++++=the
moralists ^nns+nom+++=moralists
of ^in++++=of
England ^np++++=England,
, ^zz++++=EXTRAWORD
of ^in++++=of
France ^np++++=France,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
Germany ^np++++=Germany.
. ^zz++++=EXTRAWORD
Abstractions ^nns+nom+++=Abstractions
may ^md+pos+++=may
amuse ^vb++++=amuse
and ^cc++++=and
exercise ^nn++++=exercise,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
take ^vb++++=take
no ^at++++=no
hold ^nn++++=hold
on ^in++++=on
the ^ati++++=the
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
upon ^in++++=upon
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
philosophy ^nn++++=philosophy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
persuaded ^vpsv++agls+xvbnx+=persuaded,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
always ^rb++++=always
in ^rb++++=in
vain ^rb"++++=vain
call ^vb++++=call
upon ^in++++=upon
us ^pp1o+pp1+++=us
to ^to++++=to
look ^vbi++++=look
upon ^in++++=upon
qualities ^nns+nom+++=qualities
as ^ql++++=as
things ^nns++++=things.
. ^zz++++=EXTRAWORD
The ^ati++++=The
will ^nn++++=will
may ^md+pos+++=may
assent ^vb++++=assent
the ^ati++++=the
soul ^nn++++=soul
the ^ati++++=the
intellect ^nn++++=intellect,
, ^zz++++=EXTRAWORD
never ^rb++++=never.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
repeat ^nn++++=repeat,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
only ^ap+down+++=only
half ^abn++++=half
felt ^vbd+vprv++xvbn+=felt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
intellectually ^rb++++=intellectually
believed ^vbd+vprv++xvbn+=believed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
latterly ^rb++++=latterly
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
certain ^jj+atrb+++=certain
deepening ^nn++++=deepening
of ^in++++=of
the ^ati++++=the
feeling ^nvbg+++xvbg+=feeling,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
so ^ql++++=so
nearly ^rb+down+++=nearly
to ^to++++=to
resemble ^vbi++++=resemble
the ^ati++++=the
acquiescence ^nn+nom+++=acquiescence
of ^in++++=of
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
difficult ^jj++++=difficult
to ^to+jcmp+++=to
distinguish ^vbi++++=distinguish
between ^in++++=between
the ^ati++++=the
two ^cd++++=two.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
enabled ^vpsv++agls+xvbnx+=enabled,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
plainly ^rb++++=plainly
to ^to++++=to
trace ^vbi++++=trace
this ^dt+dem+++=this
effect ^nn++++=effect
to ^in++++=to
the ^ati++++=the
mesmeric ^jj+atrb+++=mesmeric
influence ^nn+nom+++=influence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
better ^jjr++++=better
explain ^vb+vpub+tht0++=explain
my ^pp$+pp1+++=my
meaning ^nvbg+++xvbg+=meaning
than ^in++++=than
by ^in++++=by
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
the ^ati++++=the
mesmeric ^jj+atrb+++=mesmeric
exaltation ^nn+nom+++=exaltation
enables ^vbz++++=enables
me ^pp1o+pp1+++=me
to ^to++++=to
perceive ^vbi+vprv+++=perceive
a ^at++++=a
train ^nn++++=train
of ^in++++=of
ratiocination ^nn+nom+++=ratiocination
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
abnormal ^jj+atrb+++=abnormal
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
convinces ^nns+++??+=convinces,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
full ^jj+atrb+++=full
accordance ^nn+nom+++=accordance
with ^in++++=with
the ^ati++++=the
mesmeric ^jj+atrb+++=mesmeric
phenomena ^nns++++=phenomena,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
extend ^vb++++=extend,
, ^zz++++=EXTRAWORD
except ^in++++=except
through ^in++++=through
its ^pp$+it+++=its
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
into ^in++++=into
my ^pp$+pp1+++=my
normal ^jj+atrb+++=normal
condition ^nn+nom+++=condition.
. ^zz++++=EXTRAWORD
In ^in++++=In
sleep ^nn++++=sleep-waking,
- ^zz++++=EXTRAWORD
waking ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
reasoning ^jj+++xvbg+=reasoning
and ^cc++++=and
its ^pp$+it+++=its
conclusion ^nn++++=conclusion
the ^ati++++=the
cause ^nn++++=cause
and ^cc++++=and
its ^pp$+it+++=its
effect ^nn++++=effect
are ^vb+ber+aux++=are
present ^vb++++=present
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
natural ^jj+atrb+++=natural
state ^nn++++=state,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cause ^nn++++=cause
vanishing ^vwbg+++xvbg+=vanishing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effect ^nn++++=effect
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
only ^rb+down+++=only
partially ^rb+cnj+++=partially,
