[ ^zz++++=[The
herd ^nn++++=EXTRAWORD
animals ^nns+nom+++=animals."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
literacy ^nn+nom+++=literacy
was ^vbd+bedz+aux++=was
frowned ^vpsv++agls+xvbnx+=frowned
upon ^in+ppvb+++=upon
and ^cc++++=and
stamped ^vbd+++xvbn+=stamped
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
statute ^nn++++=statute-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
times ^nns++++=times
may ^md+pos+++=may
be ^vb+be+aux++=be
instanced ^vpsv++agls+xvbnx+=instanced
that ^dt+dem+++=that
black ^jj+atrb+++=black
law ^nn++++=law
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
it ^pp3+it+++=it
a ^at++++=a
capital ^nn++++=capital
offence ^nn+nom+++=offence
for ^in++++=for
any ^dti++++=any
man ^nn++++=man,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
of ^in++++=of
what ^wdt+who+++=what
class ^nn++++=class,
, ^zz++++=EXTRAWORD
to ^to++++=to
teach ^vbi+vsua+++=teach
even ^rb++++=even
the ^ati++++=the
alphabet ^nn++++=alphabet
to ^in++++=to
a ^at++++=a
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
working ^jj+++xvbg+=working-class.
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
stringent ^jj+atrb+++=stringent
limitation ^nn+nom+++=limitation
of ^in++++=of
education ^nn+nom+++=education
to ^in++++=to
the ^ati++++=the
ruling ^jj+atrb+++=ruling
class ^nn++++=class
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
if ^cs+cnd+++=if
that ^dt+dem+++=that
class ^nn++++=class
was ^vbd+bedz+aux++=was
to ^to++++=to
continue ^vbi++++=continue
to ^to++++=to
rule ^vbi+vsua+++=rule.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
foregoing ^nvbg+++xvbg+=foregoing
was ^vbd+bedz+vrb++=was
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
the ^ati++++=the
professional ^jj+atrb+++=professional
storytellers ^nns+nom+++=storytellers.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
story ^nn++++=story-tellers
- ^zz++++=EXTRAWORD
tellers ^nns+nom+++=EXTRAWORD
were ^vbd+bed+aux++=were
paid ^vpsv++by+xvbnx+=paid
by ^in++++=by
the ^ati++++=the
oligarchy ^nn++++=oligarchy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tales ^nns++++=tales
they ^pp3a+pp3+++=they
told ^vbd+vpub++xvbnx+=told
were ^vbd+bed+vrb++=were
legendary ^jj+pred+++=legendary,
, ^zz++++=EXTRAWORD
mythical ^jj++++=mythical,
, ^zz++++=EXTRAWORD
romantic ^jj++++=romantic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
harmless ^jj++++=harmless.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
freedom ^nn+nom+++=freedom
never ^rb++++=never
quite ^abl++++=quite
died ^jj+++xvbn+=died
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
agitators ^nns++++=agitators,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
guise ^nn++++=guise
of ^in++++=of
storytellers ^nns+nom+++=storytellers,
, ^zz++++=EXTRAWORD
preached ^jj+atrb++xvbn+=preached
revolt ^nn++++=revolt
to ^in++++=to
the ^ati++++=the
slave ^nn++++=slave
class ^nn++++=class.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
the ^ati++++=the
following ^jj+atrb++xvbg+=following
tale ^nn++++=tale
was ^vbd+bedz+aux++=was
banned ^vpsv++by+xvbnx+=banned
by ^in++++=by
the ^ati++++=the
oligarchs ^nns+++??+=oligarchs
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
proof ^nn++++=proof
from ^in++++=from
the ^ati++++=the
records ^nns++++=records
of ^in++++=of
the ^ati++++=the
criminal ^jj+atrb+++=criminal
police ^nns++++=police
court ^nn++++=court
of ^in++++=of
Ashbury ^np+++??+=Ashbury,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein,
, ^zz++++=EXTRAWORD
on ^in++++=on
January ^nr+nom+++=January
27 ^cd++++=27,
, ^zz++++=EXTRAWORD
2734 ^cd++++=2734,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
John ^np++++=John
Tourney ^np+++??+=Tourney,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
guilty ^jj++++=guilty
of ^in++++=of
telling ^xvbg+++xvbg+=telling
the ^ati++++=the
tale ^nn++++=tale
in ^in++++=in
a ^at++++=a
boozing ^jj+++xvbg+=boozing-ken
- ^zz++++=EXTRAWORD
ken ^np++++=EXTRAWORD
of ^in++++=of
labourers ^nns+nom+++=labourers,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
sentenced ^vpsv++agls+xvbnx+=sentenced
to ^to++++=to
five ^cd++++=five
years ^nns++++=years'
' ^zz++++=EXTRAWORD
penal ^jj+atrb+++=penal
servitude ^nn++++=servitude
in ^in++++=in
the ^ati++++=the
borax ^nn++++=borax
mines ^nns++++=mines
of ^in++++=of
the ^ati++++=the
Arizona ^np++++=Arizona
Desert.--editor ^np++++=Desert.--EDITOR'S
's ^$++++=EXTRAWORD
Note ^nn++++=NOTE.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
Listen ^vb++++=Listen,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
a ^at++++=a
tale ^nn++++=tale
of ^in++++=of
an ^at++++=an
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
arm ^nn++++=arm
of ^in++++=of
Tom ^np++++=Tom
Dixon ^np++++=Dixon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tom ^np++++=Tom
Dixon ^np++++=Dixon
was ^vbd+bedz+vrb++=was
a ^at++++=a
weaver ^nn++++=weaver
of ^in++++=of
the ^ati++++=the
first ^od++++=first
class ^nn++++=class
in ^in++++=in
a ^at++++=a
factory ^nn++++=factory
of ^in++++=of
that ^dt+dem+++=that
hell ^nn++++=hell-hound
- ^zz++++=EXTRAWORD
hound ^nn++++=EXTRAWORD
and ^cc++++=and
master ^nn++++=master,
, ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
factory ^nn++++=factory
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
" ^zz++++="Hell's
hell ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom"
" ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
by ^in++++=by
the ^ati++++=the
slaves ^nns++++=slaves
who ^whp+rel+subj++=who
toiled ^vbd+++xvbn+=toiled
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
guess ^vb++++=guess
they ^pp3a+pp3+++=they
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
know ^vb+vprv+++=know;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
situated ^vpsv++agls+xvbnx+=situated
in ^in++++=in
Kingsbury ^np+++??+=Kingsbury,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
from ^in++++=from
Vanderwater ^np+nom+++=Vanderwater's
's ^$++++=EXTRAWORD
summer ^nn++++=summer
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
Kingsbury ^np+++??+=Kingsbury
is ^vbz+bez+vrb++=is?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
many ^ap++++=many
things ^nns++++=things,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
sad ^jj+pred+++=sad.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
told ^vprf++tht0+xvbnx+=told
you ^pp2+pp2+++=you
this ^dt+dem+++=this
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
form ^vbi++++=form
a ^at++++=a
class ^nn++++=class
among ^in++++=among
you ^pp2+pp2+++=you
for ^in++++=for
the ^ati++++=the
learning ^jj+++xvbg+=learning
of ^in++++=of
written ^jj+atrb++xvbn+=written
and ^cc+phrs+++=and
printed ^jj+atrb++xvbn+=printed
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
masters ^nns+nom+++=masters
read ^vbd+vprv++xvbn+=read
and ^cc+phrs+++=and
write ^vb++++=write
and ^cc+phrs+++=and
possess ^nns+nom+++=possess
many ^ap++++=many
books ^nns++++=books,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
of ^in"++++=of
that ^cs+sub+++=that
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
our ^pp$+pp1+++=our
masters ^nns+nom+++=masters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
live ^vb++++=live
in ^in++++=in
palaces ^nns++++=palaces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+vrb++=do
not ^xnot++not++=not
work ^nn++++=work.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
toilers ^nns+nom+++=toilers
learn ^vb+vprv+++=learn
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
and ^cc+phrs+++=and
write ^vb++++=write--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them--they
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
grow ^vb++++=grow
strong ^jj++++=strong;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
will ^md+prd+++=will
use ^vb++++=use
their ^pp$+pp3+++=their
strength ^nn++++=strength
to ^to++++=to
break ^vbi++++=break
their ^pp$+pp3+++=their
bonds ^nns++++=bonds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
no ^at++++=no
more ^rbr++++=more
masters ^nns+nom+++=masters
and ^cc++++=and
no ^at++++=no
more ^ql++++=more
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
Kingsbury ^np+++??+=Kingsbury,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
State ^nn++++=State
of ^in++++=of
Alabama ^np+++??+=Alabama.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
hundred ^cd++++=hundred
years ^nns++++=years
the ^ati++++=the
Vanderwaters ^nns+nom++??+=Vanderwaters
have ^vb+hv+aux++=have
owned ^vprf+++xvbnx+=owned
Kingsbury ^np+++??+=Kingsbury
and ^cc++++=and
its ^pp$+it+++=its
slave ^nn++++=slave
pens ^nns++++=pens
and ^cc++++=and
factories ^nns++++=factories,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slave ^nn++++=slave
pens ^nns++++=pens
and ^cc++++=and
factories ^nns++++=factories
in ^in++++=in
many ^ap++++=many
other ^ap++++=other
places ^nns++++=places
and ^cc++++=and
States ^nns++++=States.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
of ^in++++=of
the ^ati++++=the
Vanderwaters ^nns+nom++??+=Vanderwaters--who
-- ^--+clp+++=EXTRAWORD
who ^whp+who+whq++=EXTRAWORD
has ^vbz+hvz+aux++=has
not? ^nn+++??+=not?--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
tell ^vb++++=tell
you ^pp2+pp2+++=you
things ^nns++++=things
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
about ^rb++++=about
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
Vanderwater ^np+nom++??+=Vanderwater
was ^vbd+bedz+vrb++=was
a ^at++++=a
slave ^nn++++=slave,
, ^zz++++=EXTRAWORD
even ^rb++++=even
as ^ql++++=as
you ^pp2+pp2+++=you
and ^cc++++=and
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
slave ^nn++++=slave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
over ^in++++=over
three ^cd++++=three
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
was ^vbd+bedz+vrb++=was
a ^at++++=a
machinist ^nn+nom+++=machinist
in ^in++++=in
the ^ati++++=the
slave ^nn++++=slave
pen ^nn++++=pen
of ^in++++=of
Alexander ^np+nom+++=Alexander
Burrell ^np+++??+=Burrell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
a ^at++++=a
washerwoman ^nn+nom+++=washerwoman
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
slave ^nn++++=slave
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
doubt ^nn++++=doubt
about ^in++++=about
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
telling ^nvbg+++xvbg+=telling
you ^pp2+pp2+++=you
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
history ^nn++++=history.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
printed ^vpsv++agls+xvbnx+=printed,
, ^zz++++=EXTRAWORD
every ^at++++=every
word ^nn++++=word
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
history ^nn++++=history
books ^nns++++=books
of ^in++++=of
our ^pp$+pp1+++=our
masters ^nns+nom+++=masters,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
read ^vbd+vprv++xvbn+=read
because ^cs+cos+++=because
your ^pp$+pp2+++=your
masters ^nns+nom+++=masters
will ^md+prd+++=will
not ^xnot++not++=not
permit ^vb++++=permit
you ^pp2+pp2+++=you
to ^to++++=to
learn ^vbi+vprv+++=learn
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
understand ^vb+vprv+++=understand
why ^wrb+who+whcl++=why
they ^pp3a+pp3+++=they
will ^md+prd+++=will
not ^xnot++not++=not
permit ^vb++++=permit
you ^pp2+pp2+++=you
to ^to++++=to
learn ^vbi+vprv+++=learn
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
such ^abl++++=such
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
books ^nns++++=books.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
wise ^jj++++=wise.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
read ^vb+vprv++xvbn+=read
such ^abl++++=such
things ^nns++++=things,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
be ^vb+be+aux++=be
wanting ^vbg+++xvbgx+=wanting
in ^in++++=in
respect ^in"++++=respect
to ^in++++=to
your ^pp$+pp2+++=your
masters ^nns+nom+++=masters,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
thing ^nn++++=thing
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
to ^in++++=to
your ^pp$+pp2+++=your
masters ^nns+nom+++=masters.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
can ^md+pos+++=can
read ^vb+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
telling ^nvbg+++xvbg+=telling
you ^pp2+pp2+++=you
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
with ^in++++=with
my ^pp$+pp1+++=my
own ^ap++++=own
eyes ^nns++++=eyes
in ^in++++=in
the ^ati++++=the
history ^nn++++=history
books ^nns++++=books
of ^in++++=of
our ^pp$+pp1+++=our
masters ^nns+nom+++=masters.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
Vanderwater ^np+nom+++=Vanderwater's
's ^$++++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Vanderwater ^np+nom++??+=Vanderwater;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Vange ^np+++??+=Vange--Bill
-- ^--+clp+++=EXTRAWORD
bill ^nn++++=EXTRAWORD
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
Yergis ^np+++??+=Yergis
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
the ^ati++++=the
machinist ^nn+nom+++=machinist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Laura ^nn++++=Laura
Carnly ^np+++??+=Carnly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
washerwoman ^nn+nom+++=washerwoman.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Bill ^nn++++=Bill
Vange ^np+++??+=Vange
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
might ^md+pos+++=might
have ^vb+hv+aux++=have
remained ^vprf+++xvbnx+=remained
with ^in++++=with
the ^ati++++=the
slaves ^nns++++=slaves
and ^cc++++=and
led ^vwbn+++xvbn+=led
them ^pp3o+pp3+++=them
to ^in++++=to
freedom ^nn+nom+++=freedom;
; ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
served ^vbd+++xvbnx+=served
the ^ati++++=the
masters ^nns+nom+++=masters
and ^cc++++=and
was ^vbd+bedz+aux++=was
well ^rb++splt++=well
rewarded ^vpsv++agls+xvbnx+=rewarded.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
his ^pp$+pp3+++=his
service ^nn++++=service,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
yet ^rb++++=yet
a ^at++++=a
small ^jj+atrb+++=small
child ^nn++++=child,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
spy ^nn++++=spy
in ^in++++=in
his ^pp$+pp3+++=his
home ^nr++++=home
slave ^nn++++=slave
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
informed ^vprf+++xvbnx+=informed
on ^in++++=on
his ^pp$+pp3+++=his
own ^ap++++=own
father ^nn++++=father
for ^in++++=for
seditious ^jj+atrb+++=seditious
utterance ^nn+nom+++=utterance.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
it ^pp3+it+++=it
with ^in++++=with
my ^pp$+pp1+++=my
own ^ap++++=own
eyes ^nns++++=eyes
in ^in++++=in
the ^ati++++=the
records ^nns++++=records.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
too ^ql++++=too
good ^jj++++=good
a ^at++++=a
slave ^nn++++=slave
for ^in++++=for
the ^ati++++=the
slave ^nn++++=slave
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
Alexander ^np+nom+++=Alexander
Burrell ^np+++??+=Burrell
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
out ^rp+pl+++=out,
