Knowing ^vbg+vprv++xvbg+=Knowing
better ^jjr++++=better
go ^vb++++=go
in ^in++++=in
and ^cc++++=and
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_The
_the ^nn+++??+=EXTRAWORD
colour ^nn++++=colour
of ^in++++=of
good ^jj+atrb+++=good
cigar ^nn++++=cigar-ash._)
- ^zz++++=EXTRAWORD
ash._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Eh ^uh++++=Eh,
, ^zz++++=EXTRAWORD
wha ^nn+++??+=wha-at?
- ^zz++++=EXTRAWORD
at ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Syllable
_syllable ^jj++++=EXTRAWORD
by ^in++++=by
syllable._ ^nn+++??+=syllable._)
) ^zz++++=EXTRAWORD
Go ^vb++++=Go--in--to--the--room--and--seeShe
-- ^--+clp+++=EXTRAWORD
in ^in+strn+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
room ^nn++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
sees ^vbz+vprv+++=EXTRAWORD
wants ^vb++++=wants
to ^to+vcmp+++=to
speak ^vbi++++=speak
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Aside,
_aside ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
testily._ ^nn+++??+=testily._)
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
_him_ ^nn+++??+=_him_
on ^in++++=on
my ^pp$+pp1+++=my
hands ^nns++++=hands
next ^rb++++=next.
. ^zz++++=EXTRAWORD
Junior ^jj+atrb+++=JUNIOR
Chaplain ^npt++++=CHAPLAIN.
. ^zz++++=EXTRAWORD
( ^zz++++=(_In
_in ^nn+++??+=EXTRAWORD
half ^abn++++=half-lighted
- ^zz++++=EXTRAWORD
lighted ^vbd+++xvbn+=EXTRAWORD
dining ^nvbg+++xvbg+=dining-room._)
- ^zz++++=EXTRAWORD
room._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Isn't
n't ^xnot++not++0=EXTRAWORD
there ^rn+pl+++=there
any ^dti++++=any--?
-- ^--+clp+++=EXTRAWORD
? ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Savagely._)
_savagely._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Hsh ^np+++??+=Hsh,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
little ^rb++++=little
fool ^jjb++++=fool!
! ^zz++++=EXTRAWORD
Junior ^jj+atrb+++=JUNIOR
Chaplain ^npt++++=CHAPLAIN.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
do ^vb+do+vrb++=do
my ^pp$+pp1+++=my
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Gadsby ^np+++??+=Gadsby,
, ^zz++++=EXTRAWORD
stop ^vb++++=stop
a ^at++++=a
minute ^nn++++=minute!
! ^zz++++=EXTRAWORD
( ^zz++++=(_Edges
_edges ^nns+++??+=EXTRAWORD
after_ ^nn+++??+=after_
G ^zz++++=G.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait
till ^cs+sub+++=till
she ^pp3a+pp3+++=she
sends ^vbz++++=sends
for ^in++++=for
you ^pp2+pp2+++=you
at ^rb++++=at
least ^rb"++++=least--_at
-- ^--+clp+++=EXTRAWORD
_at ^nn+++??+=EXTRAWORD
least_ ^nn+++??+=least_.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
kill ^vb++++=kill
you ^pp2+pp2+++=you
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
go ^vb++++=go
in ^in++++=in
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
bothering ^vbg+++xvbg+=bothering
him ^pp3o+pp3+++=him
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
Junior ^jj+atrb+++=JUNIOR
Chaplain ^npt++++=CHAPLAIN.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Coming
_coming ^jj+++xvbg+=EXTRAWORD
into ^in++++=into
veranda._ ^nn+++??+=veranda._)
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
given ^vprf+++xvbnx+=given
him ^pp3o+pp3+++=him
a ^at++++=a
stiff ^jj+atrb+++=stiff
brandy ^nn++++=brandy-peg.
- ^zz++++=EXTRAWORD
peg ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wants ^vbz++++=wants
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
forgotten ^vprf+++xvbnx+=forgotten
him ^pp3o+pp3+++=him
for ^in++++=for
the ^ati++++=the
last ^ap++++=last
ten ^cd++++=ten
hours ^nns++++=hours
and ^cc++++=and--forgotten
-- ^--+clp+++=EXTRAWORD
forgotten ^vpbn+vprv++xvbn+=EXTRAWORD
yourself ^ppl+pp2+++=yourself
too ^rb++++=too.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
_enters ^nns+nom+++=_enters
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
lit ^vpsv++by+xvbnx+=lit
by ^in++++=by
one ^cd1++++=one
night ^nn++++=night-lamp.
- ^zz++++=EXTRAWORD
lamp ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ayah ^np+++??+=Ayah
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
pretending ^vb+++xvbg+=pretending
to ^to+vcmp+++=to
be ^vbi++vrb++=be
asleep._ ^nn+++??+=asleep._
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
( ^zz++++=(_From
_from ^nn+++??+=EXTRAWORD
the ^ati++++=the
bed._ ^nn+++??+=bed._)
) ^zz++++=EXTRAWORD
All ^abn++++=All
down ^rp++++=down
the ^ati++++=the
street ^npl++++=street--such_
-- ^--+clp+++=EXTRAWORD
such_ ^nn+++??+=EXTRAWORD
bonfires ^nns++++=bonfires!
! ^zz++++=EXTRAWORD
_ayah_ ^nn+++??+=_Ayah_,
, ^zz++++=EXTRAWORD
go ^vb++++=go
and ^cc+phrs+++=and
put ^vb+++xvbn+=put
them ^pp3o+pp3+++=them
out ^rp+pl+++=out!
! ^zz++++=EXTRAWORD
( ^zz++++=(_Appealingly._)
_appealingly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
sleep ^nn++++=sleep
with ^in++++=with
an ^at++++=an
installation ^nn+nom+++=installation
of ^in++++=of
the ^ati++++=the
C.i.e ^np+++??+=C.I.E.
. ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
room ^nn++++=room?
? ^zz++++=EXTRAWORD
No ^at++++=No--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
C.i.e ^np+++??+=C.I.E.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
_what_ ^nn+++??+=_What_
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Trying
_trying ^jj+++xvbg+=EXTRAWORD
to ^in++++=to
control ^nn++++=control
his ^pp$+pp3+++=his
voice._ ^nn+++??+=voice._)
) ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Bending
_bending ^jj+++xvbg+=EXTRAWORD
over ^in++++=over
bed._ ^nn+++??+=bed._)
) ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
me--it ^nn+++??+=me--it's
's ^$++++=EXTRAWORD
Phil--it ^np++++=Phil--it's
's ^$++++=EXTRAWORD
your ^pp$+pp2+++=your
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Mechanically._)
_mechanically._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
me--it ^nn+++??+=me--it's
's ^$++++=EXTRAWORD
Phil--it ^np++++=Phil--it's
's ^$++++=EXTRAWORD
your ^pp$+pp2+++=your
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
me!--it ^jj+atrb++??+=me!--It's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
own ^ap++++=own
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
darling ^np+nom+++=darling,
, ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
own ^ap++++=own
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
darling ^np+nom+++=darling.
. ^zz++++=EXTRAWORD
Ayah ^np+++??+=AYAH.
. ^zz++++=EXTRAWORD
( ^zz++++=(_With
_with ^nn+++??+=EXTRAWORD
an ^at++++=an
inspiration._ ^nn+++??+=inspiration._)
) ^zz++++=EXTRAWORD
_memsahib_ ^nn+++??+=_Memsahib_
understanding ^vwbg+++xvbg+=understanding
all ^abn++++=all
_i_ ^nn+++??+=_I_
saying ^vwbg+++xvbg+=saying.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
her ^pp3o+pp3+++=her
understand ^vb+vprv+++=understand
me ^pp1o+pp1+++=me
then ^rn+tm+++=then--quick!
-- ^--+clp+++=EXTRAWORD
quick ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Ayah ^np+++??+=AYAH.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Hand
_hand ^nn+++??+=EXTRAWORD
on_ ^nn+++??+=on_
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
G ^zz++++=G's
's ^$++++=EXTRAWORD
_forehead._ ^nn+++??+=_forehead._)
) ^zz++++=EXTRAWORD
_memsahib!_ ^nn+++??+=_Memsahib!_
Captain ^npt++++=Captain
Sahib ^np+++??+=Sahib
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
_salma ^nn+++??+=_Salma
do._ ^nn+++??+=do._
( ^zz++++=(_Fretfully._)
_fretfully._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
fit ^jj++++=fit
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
Ayah ^np+++??+=AYAH.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Aside
_aside ^nn+++??+=EXTRAWORD
to_ ^nn+++??+=to_
G ^zz++++=G.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say
_ ^zz++++=_'marneen'_
'marneen'_ ^nn++be+??+0=EXTRAWORD
same ^ap++++=same
as ^ql++++=as
breakfash ^vb+++??+=breakfash.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good-morning,
- ^zz++++=EXTRAWORD
morning ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
little ^ap++++=little
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we
to ^to++++=to-day?
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
Phil ^np++++=Phil.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
old ^jj+atrb+++=old
Phil ^np++++=Phil.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Viciously._)
_viciously._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Phil ^np++++=Phil,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
fool ^jjb++++=fool,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Come ^vb++++=Come
nearer ^rbr++++=nearer.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie!
! ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
me ^pp1o+pp1+++=me--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Mockingly._)
_mockingly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
does ^vbz+doz+aux++=does
not ^xnot++not++=not
know ^vb+vprv+++=know
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
cruel ^jj++++=cruel
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife--almost
-- ^--+clp+++=EXTRAWORD
almost ^rb+hdg+++=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
he ^pp3a+pp3+++=he
ever ^rb++++=ever
had ^vb+hv+vrb++=had?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes--of
-- ^--+clp+++=EXTRAWORD
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
speak ^vb++++=speak
to ^in++++=to
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wants ^vbz++++=wants
to ^to+vcmp+++=to
speak ^vbi++++=speak
to ^in++++=to
you ^pp2+pp2+++=you
so ^ql++++=so
much ^ap++++=much.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'd
'd ^md+prd+aux++0=EXTRAWORD
never ^rb++splt++=never
let ^vprf+++xvbnx+=let
him ^pp3o+pp3+++=him
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Doctor ^nn++++=Doctor
would ^md+prd+++=would
give ^vb++++=give
_darwaza ^nn+++??+=_darwaza
bund_ ^nn+++??+=bund_
even ^cs+sub+++=even
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He'll
'll ^md+prd+++0=EXTRAWORD
never ^rb++splt++=never
come ^vb++++=come.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Despairingly._)
_despairingly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
O ^zz++++=O
Judas ^np+++??+=Judas!
! ^zz++++=EXTRAWORD
Judas ^np+++??+=Judas!
! ^zz++++=EXTRAWORD
Judas ^np+++??+=Judas!
! ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Putting
_putting ^jj+++xvbg+=EXTRAWORD
out ^rp+pl+++=out
his ^pp$+pp3+++=his
arms._ ^nn+++??+=arms._)
) ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+aux++=have
let ^vprf+++xvbnx+=let
him ^pp3o+pp3+++=him
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
always ^rb++++=always
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
love--do ^nn+++??+=love--don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
( ^zz++++=(_In
_in ^nn+++??+=EXTRAWORD
a ^at++++=a
half ^abn++++=half
chant._ ^nn+++??+=chant._)
) ^zz++++=EXTRAWORD
' ^zz++++='And
and ^cc++++=EXTRAWORD
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^to++++=to
pass ^vbi++++=pass
at ^in++++=at
the ^ati++++=the
eleventh ^od++++=eleventh
hour ^nn++++=hour
that ^tht+rel+obj++=that
this ^dt+dem+++=this
poor ^jj+atrb+++=poor
soul ^nn++++=soul
repented ^vbd+++xvbn+=repented.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
It ^pp3+it+++=It
knocked ^vbd+++xvbn+=knocked
at ^rb++++=at
the ^ati++++=the
gates ^nns++++=gates,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
shut ^vpsv++agls+xvbnx+=shut--tight
-- ^--+clp+++=EXTRAWORD
tight ^jj++++=EXTRAWORD
as ^ql++++=as
a ^at++++=a
plaster ^nn+nom+++=plaster--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
great ^jj+atrb+++=great,
, ^zz++++=EXTRAWORD
burning ^jj+atrb++xvbg+=burning
plaster ^nn+nom+++=plaster.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
pasted ^vprf+++xvbnx+=pasted
our ^pp$+pp1+++=our
marriage ^nn+nom+++=marriage
certificate ^nn+nom+++=certificate
all ^abn++++=all
across ^in+pl+++=across
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
red ^jj++++=red-hot
- ^zz++++=EXTRAWORD
hot ^jj+atrb+++=EXTRAWORD
iron ^nn++++=iron--people
-- ^--+clp+++=EXTRAWORD
people ^nns++++=EXTRAWORD
really ^rb+emph+++=really
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
careful ^jj++++=careful,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
_am_ ^nn+++??+=_am_
I ^pp1a+pp1+++=I
to ^to++++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
( ^zz++++=(_Takes
_takes ^nns+++??+=EXTRAWORD
her ^pp$+pp3+++=her
in ^in++++=in
his ^pp$+pp3+++=his
arms._ ^nn+++??+=arms._)
) ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie!
! ^zz++++=EXTRAWORD
speak ^vb++++=speak
to ^in++++=to
me ^pp1o+pp1+++=me--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
Phil ^np++++=Phil.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
to ^to++++=to
say ^vbi+vpub+++=say
before ^cs+sub+++=before
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
late ^jj++++=late!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
all ^abn++++=all
going ^jj+++xvbg+=going
away ^rp+pl+++=away
and ^cc++++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+tht0++=Say
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Who
_who ^nn+++??+=EXTRAWORD
has ^vbz+hvz+aux++=has
entered ^vprf+++xvbnx+=entered
quietly._ ^nn+++??+=quietly._)
) ^zz++++=EXTRAWORD
For ^in++++=For
pity ^nn++++=pity's
's ^$++++=EXTRAWORD
sake ^nn++++=sake
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
too ^ql++++=too
much ^ap++++=much
to ^in++++=to
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
Gadsby ^np+++??+=Gadsby.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
this ^dt+dem+++=this
way ^nn++++=way
sometimes ^rb++++=sometimes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
recognise ^vb+vprv+++=recognise.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+++=say
all ^abn++++=all
