About ^in++++=ABOUT
how ^wrb+who+whcl++=how
to ^to++++=to
manage ^vbi++++=manage
his ^pp$+pp3+++=his
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
' ^zz++++='His
his ^pp$+pp3+++=EXTRAWORD
lady ^nn++++=lady
wife ^nn++++=wife
walked ^vbd+++xvbn+=walked
proudly ^rb++++=proudly
across ^in+pl+++=across
the ^ati++++=the
brightly ^rb++++=brightly
polished ^jj+atrb+++=polished
floors ^nns++++=floors,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
gold ^nn++++=gold
brocaded ^vbd+++xvbn+=brocaded
kirtle ^jj+++??+=kirtle;
; ^zz++++=EXTRAWORD
the ^ati++++=the
tapestries ^nns++++=tapestries
in ^in++++=in
the ^ati++++=the
rooms ^nns++++=rooms
were ^vbd+bed+vrb++=were
gorgeous ^jj+pred+++=gorgeous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
furniture ^nn++++=furniture
of ^in++++=of
costly ^nn++++=costly
carved ^vbd+++xvbn+=carved
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
much ^ap++++=much
gold ^nn++++=gold
and ^cc++++=and
silver ^jj+atrb+++=silver
plate ^nn++++=plate
into ^in++++=into
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cellars ^nns++++=cellars
were ^vbd+bed+vrb++=were
full ^jj+pred+++=full
of ^in++++=of
German ^jj+atrb+++=German
ale ^nn++++=ale,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
anything ^pn++++=anything
there ^rn+pl+++=there
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Fiery ^jj+atrb+++=Fiery
black ^jj+atrb+++=black
horses ^nns++++=horses
neighed ^vbd+++xvbn+=neighed
in ^in++++=in
the ^ati++++=the
stables ^nns++++=stables;
; ^zz++++=EXTRAWORD
Borreby ^np+++??+=Borreby
Hall ^nn++++=Hall
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
rich ^np++++=rich
place ^nn++++=place
when ^wrb+who+++=when
wealth ^nn++++=wealth
came ^vbd+++xvbn+=came
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
' ^zz++++='Then
then ^rn+tm+++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
three ^cd++++=three
dainty ^jj+atrb+++=dainty
maidens ^nns++++=maidens,
, ^zz++++=EXTRAWORD
Ida ^np+++??+=Ida,
, ^zz++++=EXTRAWORD
Johanna ^np+++??+=Johanna
and ^cc++++=and
Anna ^np++++=Anna
Dorothea ^np++++=Dorothea.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
their ^pp$+pp3+++=their
names ^nns++++=names
well ^rb++++=well.
. ^zz++++=EXTRAWORD
' ^zz++++='They
they ^pp3a+pp3+++=EXTRAWORD
were ^vbd+bed+vrb++=were
rich ^jj+pred+++=rich
and ^cc+phrs+++=and
aristocratic ^jj+atrb+++=aristocratic
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born
and ^cc+phrs+++=and
bred ^vwbn+++xvbn+=bred
in ^in++++=in
wealth ^nn++++=wealth!
! ^zz++++=EXTRAWORD
Whew ^np+++??+=Whew!
! ^zz++++=EXTRAWORD
whew ^nn+++??+=whew!
! ^zz++++=EXTRAWORD
fare ^vb++++=fare
away ^rp+pl+++=away!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
roared ^vbd+++xvbn+=roared
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in++++=on
with ^in++++=with
his ^pp$+pp3+++=his
story ^nn++++=story.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
other ^ap++++=other
old ^jj+atrb+++=old
noble ^jj+atrb+++=noble
castles ^nns++++=castles
the ^ati++++=the
highborn ^vwbn+++xvbn+=highborn
lady ^npt++++=lady
sitting ^vwbg+++xvbg+=sitting
among ^in++++=among
her ^pp$+pp3+++=her
maidens ^nns++++=maidens
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
hall ^npl++++=hall
turning ^vwbg+++xvbg+=turning
the ^ati++++=the
spinning ^jj+++xvbg+=spinning-wheel.
- ^zz++++=EXTRAWORD
wheel ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
played ^vbd+++xvbnx+=played
upon ^in++++=upon
the ^ati++++=the
ringing ^jj+atrb++xvbg+=ringing
lute ^nn+++??+=lute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sang ^vpsv++agls+xvbn+=sang
to ^in++++=to
its ^pp$+it+++=its
tones ^nns++++=tones.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
songs ^nns++++=songs
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
always ^rb++++=always
the ^ati++++=the
old ^jj+atrb+++=old
Danish ^jj+atrb+++=Danish
ditties ^nns+++??+=ditties,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
songs ^nns++++=songs
in ^in++++=in
foreign ^jj+atrb+++=foreign
tongues ^nns++++=tongues.
. ^zz++++=EXTRAWORD
All ^abn++++=All
was ^vbd+bedz+vrb++=was
life ^nn++++=life
and ^cc++++=and
hospitality ^nn+nom+++=hospitality;
; ^zz++++=EXTRAWORD
noble ^jj+atrb+++=noble
guests ^nns++++=guests
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
far ^rb+pl+++=far
and ^cc++++=and
wide ^jj++++=wide;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
sounds ^nns++++=sounds
of ^in++++=of
music ^nn++++=music
and ^cc++++=and
the ^ati++++=the
clanging ^nn++++=clanging
of ^in++++=of
flagons ^nns+++??+=flagons,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
loud ^jj++++=loud
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
drown ^vb++++=drown
them ^pp3o+pp3+++=them!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
' ^zz++++='Here
here ^rn+pl+++=EXTRAWORD
were ^vbd+bed+vrb++=were
arrogance ^nn+nom+++=arrogance
and ^cc++++=and
ostentation ^nn+nom+++=ostentation
enough ^dt++++=enough
and ^cc++++=and
to ^to++++=to
spare ^vbi++++=spare;
; ^zz++++=EXTRAWORD
plenty ^nn++++=plenty
of ^in++++=of
lords ^nns++++=lords,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Lord ^npt++++=Lord
had ^vb+hv+vrb++=had
no ^at++++=no
place ^nn++++=place
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
' ^zz++++='Then
then ^rn+tm+++=EXTRAWORD
came ^vbd+++xvbn+=came
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
May ^md+pos+++=May-day!'
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
the ^ati++++=the
west ^np+pl+++=west;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
watching ^vbg+++xvbgx+=watching
ships ^nns++++=ships
being ^xvbg+++xvbg+=being
wrecked ^vprf+++xvbn+=wrecked
and ^cc+phrs+++=and
broken ^vprf+++xvbn+=broken
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
west ^np+pl+++=west
coast ^nn++++=coast
of ^in++++=of
Jutland ^np+++??+=Jutland.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tore ^vbd+++xvbnx+=tore
over ^in++++=over
the ^ati++++=the
heaths ^nns++++=heaths
and ^cc++++=and
the ^ati++++=the
green ^jj+atrb+++=green
wooded ^jj+atrb+++=wooded
coasts ^nns++++=coasts,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
island ^nn++++=island
of ^in++++=of
Funen ^np+++??+=Funen
and ^cc++++=and
over ^in++++=over
the ^ati++++=the
Great ^jj+atrb+++=Great
Belt ^nn++++=Belt
puffing ^vwbg+++xvbg+=puffing
and ^cc++++=and
blowing ^vwbg+++xvbg+=blowing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
settled ^vbd+++xvbnx+=settled
down ^rp++++=down
to ^in++++=to
rest ^nn++++=rest
on ^in++++=on
the ^ati++++=the
coast ^nn++++=coast
of ^in++++=of
Zealand ^np++++=Zealand
close ^in+cmpx+++=close
to ^in++++=to
Borreby ^np+++??+=Borreby
Hall ^nn++++=Hall,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
splendid ^jj+atrb+++=splendid
forest ^nn++++=forest
of ^in++++=of
oaks ^nns++++=oaks
still ^rb++++=still
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
bachelors ^nns++++=bachelors
of ^in++++=of
the ^ati++++=the
neighbourhood ^nn+nom+++=neighbourhood
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
and ^cc++++=and
collected ^vbd+++xvbn+=collected
faggots ^nns+++??+=faggots
and ^cc++++=and
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
the ^ati++++=the
longest ^jjt++++=longest
and ^cc+phrs+++=and
driest ^jjt++++=driest
they ^pp3a+pp3+++=they
could ^md+pos+++=could
find ^vb+vprv+++=find.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
to ^to+vcmp+++=to
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
piled ^j+++xvbn+=piled
them ^pp3o+pp3+++=them
up ^rp++++=up
in ^in++++=in
a ^at++++=a
heap ^nn++++=heap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^vbd+++xvbn+=set
fire ^nn++++=fire
to ^in++++=to
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
men ^nns++++=men
and ^cc++++=and
maidens ^nns++++=maidens
danced ^vbd+++xvbn+=danced
and ^cc+phrs+++=and
sang ^vbd+++xvbn+=sang
round ^rb++++=round
the ^ati++++=the
bonfire ^nn++++=bonfire.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
still ^jj+pred+++=still,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
softly ^rb++++=softly
moved ^vbd+++xvbn+=moved
a ^at++++=a
branch ^nn++++=branch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
laid ^vpsv++by+xvbn+=laid
by ^in++++=by
the ^ati++++=the
handsomest ^jjt+atrb+++=handsomest
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
billet ^&fw++++=billet
blazed ^vbd+++xvbn+=blazed
up ^rp++++=up
highest ^jjt++++=highest
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
the ^ati++++=the
chosen ^jj+atrb++xvbn+=chosen
one ^pn++++=one,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
honour ^nn++++=honour,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
' ^zz++++='Buck
buck ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Street ^nn++++=Street!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
chose ^vbd+++xvbnx+=chose
from ^in++++=from
among ^in++++=among
the ^ati++++=the
girls ^nns++++=girls
his ^pp$+pp3+++=his
little ^rb++++=little
May ^md+pos+++=May-lamb.
- ^zz++++=EXTRAWORD
lamb ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
was ^vbd+bedz+vrb++=was
life ^nn++++=life
and ^cc++++=and
merriment ^nn+nom+++=merriment,
, ^zz++++=EXTRAWORD
greater ^jjr++++=greater
far ^rb+pl+++=far
than ^in++++=than
within ^in++++=within
rich ^jj+atrb+++=rich
Borreby ^np+++??+=Borreby
Hall ^nn++++=Hall.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
great ^jj+atrb+++=great
lady ^npt++++=lady
came ^vbd+++xvbn+=came
driving ^nvbg+++xvbg+=driving
towards ^in++++=towards
the ^ati++++=the
Hall ^nn++++=Hall,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
gilded ^vbd+++xvbn+=gilded
chariot ^nn++++=chariot
drawn ^vwbn+++xvbn+=drawn
by ^in++++=by
six ^cd++++=six
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
three ^cd++++=three
dainty ^jj+atrb+++=dainty
daughters ^nns+nom+++=daughters
with ^in++++=with
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
indeed ^rb++++=indeed
three ^cd++++=three
lovely ^jj+atrb+++=lovely
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
A ^at++++=A
rose ^nn+++xvbn+=rose,
, ^zz++++=EXTRAWORD
a ^at++++=a
lily ^np++++=lily
and ^cc++++=and
a ^at++++=a
pale ^nn++++=pale
hyacinth ^np++++=hyacinth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mother ^nn++++=mother
herself ^ppl+pp3+++=herself
was ^vbd+bedz+vrb++=was
a ^at++++=a
gorgeous ^jj+atrb+++=gorgeous
tulip ^nn++++=tulip;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
no ^at++++=no
notice ^vb+vprv+++=notice
whatever ^nn+nom+++=whatever
of ^in++++=of
the ^ati++++=the
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
all ^abn++++=all
stopped ^jj+++xvbn+=stopped
in ^in++++=in
their ^pp$+pp3+++=their
game ^nn++++=game
to ^to++++=to
drop ^vbi++++=drop
their ^pp$+pp3+++=their
curtsies ^nns+++??+=curtsies
and ^cc++++=and
make ^vb++++=make
their ^pp$+pp3+++=their
bows ^nns++++=bows;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
might ^md+pos+++=might
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
tulip ^nn++++=tulip,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
frail ^jj+pred+++=frail
in ^in++++=in
the ^ati++++=the
stalk ^vb++++=stalk
and ^cc++++=and
feared ^jj+++xvbn+=feared
to ^to++++=to
bend ^vbi++++=bend
her ^pp$+pp3+++=her
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rose ^nn+++xvbn+=rose,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lily ^np++++=lily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pale ^nn++++=pale
hyacinth ^np++++=hyacinth
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
them ^pp3o+pp3+++=them
all ^rb++++=all
three ^cd++++=three.
. ^zz++++=EXTRAWORD
Whose ^whp+wp$r+whq++=Whose
May ^md+pos+++=May-lambs
- ^zz++++=EXTRAWORD
lambs ^nns++++=EXTRAWORD
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they
one ^cd1++++=one
day ^nn++++=day
to ^to++++=to
become ^vbi++++=become,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
mates ^nns++++=mates
would ^md+prd+++=would
be ^vb+be+vrb++=be
proud ^jj+atrb+++=proud
knights ^nns++++=knights
perhaps ^rb++++=perhaps
even ^rb++++=even
princes ^nns++++=princes!
! ^zz++++=EXTRAWORD
