But ^cc++++=But
, ^zz++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder
his ^pp$+pp3+++=his
fishing ^nvbg+++xvbg+=fishing-rod,
- ^zz++++=EXTRAWORD
rod ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
clamber ^jjr++++=clamber
over ^in++++=over
the ^ati++++=the
back ^jjb+atrb+++=back
fence ^nn++++=fence
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
farmhouse ^nn++++=farmhouse
and ^cc++++=and
inquire ^vb++++=inquire
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
jog ^nn+++??+=jog
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
inwardly ^rb++++=inwardly
anathematizing ^vbg+++xvbg+=anathematizing
that ^dt+dem+++=that
very ^ql+amp+++=very
particular ^jj+atrb+++=particular
locality ^nn+nom+++=locality
or ^cc++++=or
the ^ati++++=the
whole ^jj+atrb+++=whole
rural ^jj+atrb+++=rural
district ^nn++++=district
in ^rb++++=in
general ^rb"++++=general.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
the ^ati++++=the
way ^nn++++=way
that ^tht+rel+++=that
farmhouse ^nn++++=farmhouse
looked ^vbd+++xvbn+=looked
to ^to+vcmp+++=to
the ^ati++++=the
writer ^nn++++=writer
of ^in++++=of
this ^dt+dem+++=this
sketch ^nn++++=sketch
one ^cd1++++=one
week ^nn++++=week
ago ^rb++++=ago
so ^ql+emph+++=so
individual ^jj++++=individual
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
so ^ql+emph+++=so
liberal ^jj++++=liberal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
so ^ql+emph+++=so
independent ^jj++++=independent.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
weather ^nn++++=weather-boarded,
- ^zz++++=EXTRAWORD
boarded ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
smoothly ^rb++++=smoothly
with ^in++++=with
some ^dti++++=some
cement ^nn++++=cement,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
plasterers ^nns+nom+++=plasterers
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
while ^cs+sub+++=while
the ^ati++++=the
folks ^nns++++=folks
were ^vbd+bed+aux++=were
visiting ^vbg+++xvbgx+=visiting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
unable ^jj++++=unable
to ^to+jcmp+++=to
get ^vbi++++=get
at ^in+ppvb+++=at
the ^ati++++=the
interior ^nn++++=interior,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
plastered ^vprf+++xvbnx+=plastered
the ^ati++++=the
outside ^nn++++=outside.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
more ^rbr++++=more
than ^in++++=than
glad ^jj++++=glad
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
hungry ^jj+pred+++=hungry
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weary ^jj++++=weary
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wise ^jj++++=wise
enough ^qlp++++=enough
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
house ^npl++++=house
at ^rb++++=at
its ^pp$+it+++=its
first ^od++++=first
suggestion ^nn+nom+++=suggestion;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
away ^rb+phrv+++=away
my ^pp$+pp1+++=my
fishing ^nvbg+++xvbg+=fishing-tackle
- ^zz++++=EXTRAWORD
tackle ^nn++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
up ^rp++++=up
the ^ati++++=the
sloping ^jj+++xvbg+=sloping
bank ^npl++++=bank,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
dusty ^jj+atrb+++=dusty
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
confidently ^rb++++=confidently
clambered ^vbd+++xvbn+=clambered
over ^in++++=over
the ^ati++++=the
fence ^nn++++=fence.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
even ^rb++++=even
a ^at++++=a
growling ^nn+nom+++=growling
dog ^nn++++=dog
to ^in++++=to
intimate ^jj++++=intimate
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
trespassing ^vbg+++xvbgx+=trespassing.
. ^zz++++=EXTRAWORD
All ^abn++++=All
was ^vbd+bedz+vrb++=was
open ^jj++++=open
gracious ^jj++++=gracious-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
pastoral ^jj++++=pastoral.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sward ^nn++++=sward
beneath ^in+pl+++=beneath
my ^pp$+pp1+++=my
feet ^nns++++=feet
was ^vbd+bedz+vrb++=was
velvet ^nn++++=velvet-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
in ^in++++=in
elasticity ^nn+nom+++=elasticity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
scarce ^jj+atrb+++=scarce
visible ^jj+atrb+++=visible
path ^nn++++=path
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
through ^in++++=through
it ^pp3+it+++=it
led ^vbd+++xvbn+=led
promptly ^vb++++=promptly
to ^to+vcmp+++=to
the ^ati++++=the
open ^jj+atrb+++=open
kitchen ^nn++++=kitchen
door ^nn++++=door.
. ^zz++++=EXTRAWORD
From ^in++++=From
within ^in++++=within
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
woman ^nn++++=woman
singing ^vwbg+++xvbg+=singing
some ^dti++++=some
old ^jj+atrb+++=old
ballad ^nn++++=ballad
in ^in++++=in
an ^at++++=an
undertone ^np++++=undertone,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
at ^rb++++=at
the ^ati++++=the
threshold ^nn++++=threshold
a ^at++++=a
trim ^nn++++=trim,
, ^zz++++=EXTRAWORD
white ^jj++++=white-spurred
- ^zz++++=EXTRAWORD
spurred ^vbd+++xvbn+=EXTRAWORD
rooster ^nn+nom+++=rooster
stood ^vbd+++xvbn+=stood
poised ^vbd+++xvbn+=poised
on ^in++++=on
one ^cd1++++=one
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
curving ^jj++++=curving
his ^pp$+pp3+++=his
glossy ^jj+atrb+++=glossy
neck ^nn++++=neck
and ^cc++++=and
cocking ^vbg+++xvbg+=cocking
his ^pp$+pp3+++=his
wattled ^jj+++xvbn+=wattled
head ^jjb++++=head
as ^cs+sub+++=as
though ^cs+sub+++=though
to ^to++++=to
catch ^vbi++++=catch
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
the ^ati++++=the
words ^nns++++=words.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
paused ^vbd+++xvbnx+=paused.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
scene ^nn++++=scene
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
restrained ^vbd+++xvbn+=restrained
from ^in++++=from
breaking ^xvbg+++xvbg+=breaking
in ^in++++=in
upon ^in+strn+++=upon,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
would ^md+prd+++=would
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
a ^at++++=a
strong ^jj+atrb+++=strong
male ^jj+atrb+++=male
voice ^nn++++=voice
coming ^vwbg+++xvbg+=coming
around ^rp++++=around
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
house ^nn++++=house:
: ^zz++++=EXTRAWORD
" ^zz++++="Sir.
sir ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Howdy ^np+++??+=Howdy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Turning ^nvbg+++xvbg+=Turning,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
rough ^jj++++=rough-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
but ^cc++++=but
kindly ^rb++++=kindly
featured ^vbd+++xvbn+=featured
man ^nn++++=man
of ^in++++=of
sixty ^cd++++=sixty-five,
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
evident ^jj+atrb+++=evident
owner ^nn++++=owner
of ^in++++=of
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
returned ^vbd+++xvbnx+=returned
his ^pp$+pp3+++=his
salutation ^nn+nom+++=salutation
with ^in++++=with
some ^dti++++=some
confusion ^nn++++=confusion
and ^cc++++=and
much ^ap++++=much
deference ^nn+nom+++=deference.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
really ^rb+emph+splt++=really
beg ^vb++++=beg
your ^pp$+pp2+++=your
pardon ^nn++++=pardon
for ^in++++=for
this ^dt+dem+++=this
[ ^zz++++=[71]intrusion,"
71]intrusion ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
tiring ^vbg+++xvbgx+=tiring
myself ^ppl+pp1+++=myself
out ^rp+pl+++=out
fishing ^nvbg+++xvbg+=fishing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
home ^nr++++=home
here ^rn+pl+++=here
looked ^xvbn+++xvbn+=looked
so ^pn+emph+++=so
pleasant ^jj++++=pleasant
and ^cc++++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
so ^ql+emph+++=so
thirsty ^jj++++=thirsty
and ^cc++++=and
" ^zz++++="
" ^zz++++="Want
want ^vb++++=EXTRAWORD
a ^at++++=a
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
abruptly ^rb++++=abruptly
toward ^in++++=toward
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
pausing ^vbg+++xvbg+=pausing
as ^in++++=as
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
backward ^jj+atrb+++=backward
motion ^nn++++=motion
of ^in++++=of
his ^pp$+pp3+++=his
thumb ^nn++++=thumb
" ^zz++++="jest
jest ^rb++++=EXTRAWORD
foller ^jjr++++=foller
the ^ati++++=the
path ^nn++++=path
here ^rn+pl+++=here
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
little ^jj+atrb+++=little
brick ^nn++++=brick
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
spring ^nn++++=spring
and ^cc++++=and
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
' ^zz++++='at
at ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come
to ^in++++=to
the ^ati++++=the
right ^jj+atrb+++=right
place ^nn++++=place
fer ^&fw++++=fer
drinkin ^nn+++??+=drinkin'-worter!
'-worter! ^nn+++??+=EXTRAWORD
Hold ^nn++++=Hold
on ^in++++=on
a ^at++++=a
minute ^nn++++=minute
tel ^np++++=tel
I ^pp1a+pp1+++=I
git ^np++++=git
you ^pp2+pp2+++=you
a ^at++++=a
tumbler ^nn++++=tumbler
there ^ex+pex+++=there're
're ^vb+ber+vrb++0=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
there ^rn+pl+++=there
but ^cc++++=but
a ^at++++=a
tin ^nn++++=tin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
trouble ^nn++++=trouble
yourself ^ppl+pp2+++=yourself
any ^dti++++=any
further ^jjb++++=further,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
heartily ^rb+cnj+++=heartily,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
rather ^rb++++=rather
drink ^nn++++=drink
from ^in++++=from
a ^at++++=a
tin ^nn++++=tin
cup ^nn++++=cup
than ^in++++=than
a ^at++++=a
goblet ^nn++++=goblet
of ^in++++=of
pure ^jj+atrb+++=pure
gold ^nn++++=gold."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
so ^ql++++=so'd
'd ^md+prd+vrb++0=EXTRAWORD
I ^pp1a+pp1+++=I,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
reflectively ^rb+cnj+++=reflectively,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
mechanically ^rb+cnj+++=mechanically,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
following ^jj+++xvbg+=following
me ^pp1o+pp1+++=me
down ^in++++=down
the ^ati++++=the
path ^nn++++=path.
. ^zz++++=EXTRAWORD
" ^zz++++="'Druther
' ^zz++++=EXTRAWORD
druther ^jjr++++=EXTRAWORD
drink ^vb++++=drink
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
tin ^nn++++=tin
er ^&fw++++=er
jest ^rb++++=jest
a ^at++++=a
fruit ^nn++++=fruit-can
- ^zz++++=EXTRAWORD
can ^md+pos+++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
top ^nn++++=top
knocked ^vbd+++xvbn+=knocked
off ^in+pl+++=off
er ^&fw++++=er
er ^&fw++++=er
er ^&fw++++=er
a ^at++++=a
gourd ^nn+++??+=gourd,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added
in ^in++++=in
a ^at++++=a
zestful ^jj+atrb+++=zestful,
, ^zz++++=EXTRAWORD
reminiscent ^jj+atrb+++=reminiscent
tone ^nn++++=tone
of ^in++++=of
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
so ^ql+emph+++=so
heightened ^jj+++xvbn+=heightened
my ^pp$+pp1+++=my
impatient ^jj+atrb+++=impatient
thirst ^nn++++=thirst
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
spring ^nn++++=spring-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
fairly ^rb++++=fairly
in ^in++++=in
a ^at++++=a
run ^nn+++xvbn+=run.
. ^zz++++=EXTRAWORD
" ^zz++++="Well-sir!"
well ^rb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
sir ^npt++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
my ^pp$+pp1+++=my
host ^nn++++=host,
, ^zz++++=EXTRAWORD
in ^in++++=in
evident ^jj+atrb+++=evident
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
dipping ^vbg+++xvbg+=dipping
my ^pp$+pp1+++=my
nose ^nn++++=nose
in ^in++++=in
the ^ati++++=the
second ^od++++=second
cupful ^nn++++=cupful
of ^in++++=of
the ^ati++++=the
cool ^jj++++=cool,
, ^zz++++=EXTRAWORD
revivifying ^jj+++xvbg+=revivifying
liquid ^jj++++=liquid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peering ^vbg+++xvbg+=peering
in ^in++++=in
a ^at++++=a
congratulatory ^nn++++=congratulatory
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
way ^nn++++=way
at ^in++++=at
the ^ati++++=the
blurred ^jj+atrb++xvbn+=blurred
and ^cc+phrs+++=and
rubicund ^jj+atrb++??+=rubicund
reflection ^nn+nom+++=reflection
of ^in++++=of
my ^pp$+pp1+++=my
features ^nns++++=features
in ^in++++=in
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
cup ^nn++++=cup,
, ^zz++++=EXTRAWORD
" ^zz++++="well-sir,
well ^rb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
blame ^vb++++=blame-don!
- ^zz++++=EXTRAWORD
don ^npt++++=EXTRAWORD
! ^zz++++=EXTRAWORD
ef ^nn+++??+=ef
it ^pp3+it+++=it
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
a ^at++++=a
feller ^nn++++=feller
good ^jj++++=good
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
you ^pp2+pp2+++=you
enjoyin ^nn+++??+=enjoyin'
' ^zz++++=EXTRAWORD
of ^in++++=of
it ^pp3+it+++=it
that ^cs+sub+++=that-a-way!
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
drink ^vb++++=drink
too ^ql++++=too
much ^ap++++=much
of ^in++++0=o'
