Having ^xvbg+++xvbg+=Having
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
our ^pp$+pp1+++=our
travelling ^nvbg+++xvbg+=travelling
companion ^nn++++=companion
in ^in++++=in
the ^ati++++=the
coupe ^nn++++=coupe
aforesaid ^vbd+++xvbn+=aforesaid,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
waking ^vbg+++xvbg+=waking
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
pale ^nn++++=pale
and ^cc++++=and
crumpled ^jj+atrb++xvbn+=crumpled
visage ^nn++++=visage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looking ^vbg+++xvbg+=looking
ruefully ^rb++++=ruefully
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
grim ^jj+atrb+++=grim
row ^nn++++=row
of ^in++++=of
breakers ^nns+nom+++=breakers
enjoying ^vwbg+++xvbg+=enjoying
themselves ^ppls+pp3+++=themselves
fanatically ^rb++++=fanatically
on ^in++++=on
an ^at++++=an
instrument ^nn+nom+++=instrument
of ^in++++=of
torture ^nn++++=torture
called ^vbd+++xvbn+=called
' ^zz++++='the
the ^ati++++=EXTRAWORD
Bar ^nn++++=Bar,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
of ^in++++=of
us ^pp1o+pp1+++=us
whether ^cs+who+++=whether
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
ever ^rb++++=ever
sick ^jj+pred+++=sick
at ^rb++++=at
sea ^nn++++=sea?
? ^zz++++=EXTRAWORD
Both ^abx++++=Both
to ^to++++=to
prepare ^vbi++++=prepare
his ^pp$+pp3+++=his
mind ^nn++++=mind
for ^in++++=for
the ^ati++++=the
abject ^jj+atrb+++=abject
creature ^nn++++=creature
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
presently ^rb+tm+++=presently
to ^to++++=to
become ^vbi++++=become,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
to ^to++++=to
afford ^vbi++++=afford
him ^pp3o+pp3+++=him
consolation ^nn+nom+++=consolation,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
replied ^vbd+vpub++xvbn+=replied,
, ^zz++++=EXTRAWORD
' ^zz++++='Sir,
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
servant ^nn+nom+++=servant
is ^vbz+bez+vrb++=is
always ^rb++++=always
sick ^jj+pred+++=sick
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
be ^vbi++vrb++=be
so ^rb++++=so.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
returned ^vbd+++xvbnx+=returned,
, ^zz++++=EXTRAWORD
altogether ^rb+cnj+++=altogether
uncheered ^vpsv++by+xvbn+=uncheered
by ^in++++=by
the ^ati++++=the
bright ^jj+atrb+++=bright
example ^nn++++=example,
, ^zz++++=EXTRAWORD
' ^zz++++='Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Heaven ^nn++++=Heaven,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
always ^rb++++=always
sick ^jj+pred+++=sick,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
Impossible ^jj+pred+++=IMpossible
to ^to+jcmp+++=to
be ^vbi++vrb++=be
so ^rb++++=so.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
means ^nn++++=means
of ^in++++=of
communication ^nn+nom+++=communication
between ^in++++=between
the ^ati++++=the
French ^jj+atrb+++=French
capital ^nn++++=capital
and ^cc++++=and
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
are ^vb+ber+aux++=are
wholly ^rb++splt++=wholly
changed ^vpsv++agls+xvbnx+=changed
since ^in++++=since
those ^dt+dem+++=those
days ^nns++++=days;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Channel ^npl++++=Channel
remains ^nns++++=remains
unbridged ^vbd+++xvbn+=unbridged
as ^ql++++=as
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
old ^nn++++=old
floundering ^vwbg+++xvbg+=floundering
and ^cc++++=and
knocking ^vwbg+++xvbg+=knocking
about ^rb++++=about
go ^vb++++=go
on ^in++++=on
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
be ^vb+be+aux++=be
confessed ^vpsv++agls+xvbnx+=confessed
that ^tht+vcmp+++=that
saving ^vbg+++xvbg+=saving
in ^in++++=in
reasonable ^jj++++=reasonable
( ^zz++++=(and
and ^cc+cls+++=EXTRAWORD
therefore ^rb+cnj+++=therefore
rare ^jj++++=rare)
) ^zz++++=EXTRAWORD
sea ^nn++++=sea-weather,
- ^zz++++=EXTRAWORD
weather ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
act ^nn++++=act
of ^in++++=of
arrival ^nn++++=arrival
at ^in++++=at
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
from ^in++++=from
England ^np++++=England
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
achieved ^vpsv++agls+xvbnx+=achieved
with ^in++++=with
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
little ^jj+atrb+++=little
circumstances ^nns+nom+++=circumstances
combine ^vb++++=combine
to ^to++++=to
render ^vbi++++=render
the ^ati++++=the
visitor ^nn++++=visitor
an ^at++++=an
object ^nn++++=object
of ^in++++=of
humiliation ^nn+nom+++=humiliation.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
place ^nn++++=place,
, ^zz++++=EXTRAWORD
the ^ati++++=the
steamer ^nn++++=steamer
no ^at++++=no
sooner ^rbr++++=sooner
touches ^nns++++=touches
the ^ati++++=the
port ^nn++++=port,
, ^zz++++=EXTRAWORD
than ^in++++=than
all ^abn++++=all
the ^ati++++=the
passengers ^nns+nom+++=passengers
fall ^nn++++=fall
into ^in++++=into
captivity ^nn+nom+++=captivity:
: ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
boarded ^vpsv++by+xvbn+=boarded
by ^in++++=by
an ^at++++=an
overpowering ^jj+atrb+++=overpowering
force ^nn++++=force
of ^in++++=of
Custom ^nn++++=Custom-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
officers ^nns+nom+++=officers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marched ^vpsv++agls+xvbn+=marched
into ^in++++=into
a ^at++++=a
gloomy ^jj+atrb+++=gloomy
dungeon ^nn++++=dungeon.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
second ^od++++=second
place ^nn++++=place,
, ^zz++++=EXTRAWORD
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
this ^dt+dem+++=this
dungeon ^nn++++=dungeon
is ^vbz+bez+aux++=is
fenced ^vpsv++agls+xvbnx+=fenced
off ^rp+pl+++=off
with ^in++++=with
ropes ^nns++++=ropes
breast ^nn++++=breast-high,
- ^zz++++=EXTRAWORD
high ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
outside ^jjb++++=outside
those ^dt+dem+++=those
ropes ^nns++++=ropes
all ^rb++++=all
the ^ati++++=the
English ^nn++++=English
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
lately ^rb+tm+splt++=lately
been ^vprf+ben+vrb+xvbnx+=been
sea ^nn++++=sea-sick
- ^zz++++=EXTRAWORD
sick ^jj++++=EXTRAWORD
and ^cc++++=and
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
assemble ^vb++++=assemble
in ^in++++=in
their ^pp$+pp3+++=their
best ^jjt+atrb+++=best
clothes ^nns++++=clothes
to ^to++++=to
enjoy ^vbi++++=enjoy
the ^ati++++=the
degradation ^nn+nom+++=degradation
of ^in++++=of
their ^pp$+pp3+++=their
dilapidated ^jj++++=dilapidated
fellow ^jjb++++=fellow-creatures.
- ^zz++++=EXTRAWORD
creatures ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
gracious ^jj++++=gracious!
! ^zz++++=EXTRAWORD
how ^wrb+who+++=how
ill ^rb++++=ill
this ^dt+dem+++=this
one ^cd1++++=one
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Here's
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
damp ^nn++++=damp
one ^cd1++++=one
coming ^vbg+++xvbg+=coming
next ^ap++++=next!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='HERE'S
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
pale ^nn++++=pale
one ^pn++++=one!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Ai ^vb+be+++=Ain't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
green ^nn++++=green
in ^in++++=in
the ^ati++++=the
face ^nn++++=face,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
next ^ap++++=next
one ^pn++++=one!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Even ^rb++++=Even
we ^pp1a+pp1+++=we
ourself ^ppl++++=ourself
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
deficient ^jj++++=deficient
in ^in++++=in
natural ^jj+atrb+++=natural
dignity ^nn+nom+++=dignity)
) ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
lively ^jj+atrb+++=lively
remembrance ^nn+nom+++=remembrance
of ^in++++=of
staggering ^jj++++=staggering
up ^rp++++=up
this ^dt+dem+++=this
detested ^jj+atrb++xvbn+=detested
lane ^nn++++=lane
one ^cd1++++=one
September ^nr+nom+++=September
day ^nn++++=day
in ^in++++=in
a ^at++++=a
gale ^nn++++=gale
of ^in++++=of
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
received ^vpsv++agls+xvbnx+=received
like ^in++++=like
an ^at++++=an
irresistible ^jj+atrb+++=irresistible
comic ^jj+atrb+++=comic
actor ^nn++++=actor,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
burst ^nn+++xvbn+=burst
of ^in++++=of
laughter ^nn+nom+++=laughter
and ^cc++++=and
applause ^nn++++=applause,
, ^zz++++=EXTRAWORD
occasioned ^xvbn+++xvbn+=occasioned
by ^in++++=by
the ^ati++++=the
extreme ^jj+atrb+++=extreme
imbecility ^nn+nom+++=imbecility
of ^in++++=of
our ^pp$+pp1+++=our
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
coming ^vbg+++xvbgx+=coming
to ^in++++=to
the ^ati++++=the
third ^nn++++=third
place ^nn++++=place.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
third ^nn++++=third
place ^nn++++=place,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captives ^nns++++=captives,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
shut ^vbd+++xvbn+=shut
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
gloomy ^jj+atrb+++=gloomy
dungeon ^nn++++=dungeon,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
strained ^vpsv++agls+xvbnx+=strained,
, ^zz++++=EXTRAWORD
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
at ^in++++=at
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
into ^in++++=into
an ^at++++=an
inner ^jjb+atrb+++=inner
cell ^nn++++=cell,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
examined ^vpsv++agls+xvbnx+=examined
as ^in++++=as
to ^in++++=to
passports ^nns+++??+=passports;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
across ^in+pl+++=across
the ^ati++++=the
doorway ^nn++++=doorway
of ^in++++=of
communication ^nn+nom+++=communication,
, ^zz++++=EXTRAWORD
stands ^vbz++++=stands
a ^at++++=a
military ^jj+atrb+++=military
creature ^nn++++=creature
making ^vwbg+++xvbg+=making
a ^at++++=a
bar ^nn++++=bar
of ^in++++=of
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
ideas ^nns++++=ideas
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
present ^jj+pred+++=present
to ^in++++=to
the ^ati++++=the
British ^jj+atrb+++=British
mind ^nn++++=mind
during ^in++++=during
these ^dt+dem+++=these
ceremonies ^nns++++=ceremonies;
; ^zz++++=EXTRAWORD
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
make ^vbi++++=make
for ^in+ppvb+++=for
the ^ati++++=the
cell ^nn++++=cell
with ^in++++=with
violent ^jj+atrb+++=violent
struggles ^nns++++=struggles,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
life ^nn++++=life-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
dungeon ^nn++++=dungeon
a ^at++++=a
ship ^nn++++=ship
going ^vwbg+++xvbg+=going
down ^rp++++=down;
; ^zz++++=EXTRAWORD
secondly ^rb+cnj+++=secondly,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
military ^jj+atrb+++=military
creature ^nn++++=creature's
's ^$++++=EXTRAWORD
arm ^nn++++=arm
is ^vbz+bez+vrb++=is
a ^at++++=a
national ^jj+atrb+++=national
affront ^nn++++=affront,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
government ^nn+nom+++=government
at ^in++++=at
home ^nr++++=home
ought ^md+nec+++=ought
instantly ^rb+tm+++=instantly
to ^to++++=to
' ^zz++++='take
take ^vb++++=EXTRAWORD
up ^rb+phrv+++=up.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
British ^jj+atrb+++=British
mind ^nn++++=mind
and ^cc++++=and
body ^nn++++=body
becoming ^xvbg+++xvbg+=becoming
heated ^vpsv++by+xvbn+=heated
by ^in++++=by
these ^dt+dem+++=these
fantasies ^nns++++=fantasies,
, ^zz++++=EXTRAWORD
delirious ^jj+atrb+++=delirious
answers ^nns+nom+++=answers
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
inquiries ^vb++++=inquiries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
extravagant ^jj+atrb+++=extravagant
actions ^nns+nom+++=actions
performed ^vwbn+++xvbn+=performed.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
Johnson ^np++++=Johnson
persists ^nns+nom+++=persists
in ^in++++=in
giving ^xvbg+++xvbg+=giving
Johnson ^np++++=Johnson
as ^ql++++=as
his ^pp$+pp3+++=his
baptismal ^jj+atrb+++=baptismal
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
substituting ^jj+++xvbg+=substituting
for ^in++++=for
his ^pp$+pp3+++=his
ancestral ^jj+atrb+++=ancestral
designation ^nn+nom+++=designation
the ^ati++++=the
national ^jj++++=national
' ^zz++++='Dam!'
dam ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
can ^md+pos+++=can
he ^pp3a+pp3+++=he
by ^in++++=by
any ^dti++++=any
means ^nn++++=means
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
to ^rb+phrv+++=to
recognise ^vbi+vprv+++=recognise
the ^ati++++=the
distinction ^nn+nom+++=distinction
between ^in++++=between
a ^at++++=a
portmanteau ^nn+++??+=portmanteau-key
- ^zz++++=EXTRAWORD
key ^jjb++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
passport ^nn++++=passport,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
will ^md+prd+++=will
obstinately ^rb++splt++=obstinately
persevere ^vb++++=persevere
in ^in++++=in
tendering ^xvbg+++xvbg+=tendering
the ^ati++++=the
one ^cd1++++=one
when ^wrb+who+++=when
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
brings ^vbz++++=brings
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
fourth ^od++++=fourth
place ^nn++++=place,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
mere ^jjb+atrb+++=mere
idiotcy ^nn+++??+=idiotcy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
fourth ^od++++=fourth
place ^nn++++=place,
, ^zz++++=EXTRAWORD
cast ^j+++xvbn+=cast
out ^rp+pl+++=out
at ^in++++=at
a ^rb++++=a
little ^rb"++++=little
door ^nn++++=door
into ^in++++=into
a ^at++++=a
howling ^jj+++xvbg+=howling
wilderness ^nns+nom+++=wilderness
of ^in++++=of
touters ^nns+nom+++=touters,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
becomes ^vbz++++=becomes
a ^at++++=a
lunatic ^nn++++=lunatic
with ^in++++=with
wild ^jj+atrb+++=wild
eyes ^nns++++=eyes
and ^cc++++=and
floating ^vbg+++xvbg+=floating
hair ^nn++++=hair
until ^cs+sub+++=until
rescued ^vbd+++xvbn+=rescued
and ^cc+phrs+++=and
soothed ^vbd+++xvbn+=soothed.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
friendless ^jj++++=friendless
and ^cc+phrs+++=and
unrescued ^jj+++xvbn+=unrescued,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
put ^vpsv++agls+xvbnx+=put
into ^in++++=into
a ^at++++=a
railway ^nn++++=railway
omnibus ^&fw++++=omnibus
and ^cc++++=and
taken ^vpsv++agls+xvbn+=taken
to ^to+vcmp+++=to
Paris ^vb++++=Paris.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place,
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
once ^cs+tm+++=once
got ^vprf+++xvbn+=got
into ^in+ppvb+++=into,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
enjoyable ^jj+atrb+++=enjoyable
place ^nn++++=place.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
a ^at++++=a
varied ^jj+atrb++xvbn+=varied
and ^cc+phrs+++=and
beautiful ^jj+atrb+++=beautiful
country ^nn++++=country
around ^in++++=around
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
characteristic ^nn++++=characteristic
and ^cc++++=and
agreeable ^jj+atrb+++=agreeable
things ^nns++++=things
within ^in++++=within
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
have ^vb+hv+vrb++=have
fewer ^ap++++=fewer
bad ^jj+atrb+++=bad
smells ^nns++++=smells
and ^cc++++=and
less ^rbr++++=less
decaying ^jj+atrb+++=decaying
refuse ^nn++++=refuse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
better ^jjr++++=better
drained ^jj+++xvbn+=drained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
much ^ap++++=much
cleaner ^jjr++++=cleaner
in ^in++++=in
many ^ap++++=many
parts ^nns++++=parts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
infinitely ^rb++++=infinitely
more ^rbr++++=more
healthy ^jj++++=healthy.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
airy ^jj++++=airy,
, ^zz++++=EXTRAWORD
pleasant ^jj+atrb+++=pleasant,
, ^zz++++=EXTRAWORD
cheerful ^jj+atrb+++=cheerful
town ^nn++++=town;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
to ^in++++=to
walk ^nn++++=walk
down ^rp++++=down
either ^dtx++++=either
of ^in++++=of
its ^pp$+it+++=its
three ^cd++++=three
well ^rb++++=well-paved
- ^zz++++=EXTRAWORD
paved ^vbd+++xvbn+=EXTRAWORD
main ^jjb+atrb+++=main
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
towards ^in++++=towards
five ^cd++++=five
o'clock ^rb++++=o'clock
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
delicate ^jj+atrb+++=delicate
odours ^nns++++=odours
of ^in++++=of
cookery ^nn+nom+++=cookery
fill ^vb++++=fill
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
hotel ^nn++++=hotel
windows ^nns++++=windows
( ^zz++++=(it
