Hardly ^rb+down+++=Hardly
ever ^rb++++=ever
met ^vbd+++xvbn+=met.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
earlier ^jjr+atrb+++=earlier
comers ^nns++++=comers
had ^vb+hv+aux++=had
often ^rb++splt++=often
spoken ^vprf+++xvbnx+=spoken
of ^in++++=of
a ^at++++=a
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
those ^dt+dem+++=those
apparently ^rb++++=apparently
worse ^jjr++++=worse
wounded ^jj+++xvbn+=wounded
than ^in++++=than
himself ^ppl+pp3+++=himself
might ^md+pos+++=might
reach ^vb++++=reach
a ^at++++=a
shelter ^nn++++=shelter
first ^rb++++=first.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
a ^at++++=a
David ^np++++=David
and ^cc++++=and
Jonathan ^np+nom+++=Jonathan
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
friendship ^nn+nom+++=friendship.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
fretted ^vbd+++xvbn+=fretted
for ^in++++=for
his ^pp$+pp3+++=his
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
tired ^vpsv++agls+xvbnx+=tired
of ^in++++=of
praising ^xvbg+++xvbg+=praising
John, ^np+++??+=John,--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
sobriety ^nn+++??+=sobriety,
, ^zz++++=EXTRAWORD
self ^nn++++=self-denial,
- ^zz++++=EXTRAWORD
denial ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unfailing ^jj+atrb+++=unfailing
kindliness ^nns+nom+++=kindliness
of ^in++++=of
heart ^nn++++=heart;
; ^zz++++=EXTRAWORD
always ^rb++++=always
winding ^vbg+++xvbg+=winding
up ^rb+phrv+++=up
with ^in+ppvb+++=with,
, ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
an ^at++++=an
out ^rp+pl+++=out
and ^cc+phrs+++0=an'
out ^rp+pl+++=out
fine ^jj+atrb+++=fine
feller ^nn++++=feller,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am;
'am; ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
ai ^vb+be+++=ain't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
some ^dti++++=some
curiosity ^nn+nom+++=curiosity
to ^to++++=to
behold ^vbi++++=behold
this ^dt+dem+++=this
piece ^nn++++=piece
of ^in++++=of
excellence ^nn+nom+++=excellence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
night ^nn++++=night
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
friends ^nns++++=friends
with ^in++++=with
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
to ^to++++=to
tell ^vbi++++=tell
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
afraid ^jj++++=afraid
of ^in++++=of
the ^ati++++=the
stately ^jj+atrb+++=stately
looking ^jj+atrb++xvbg+=looking
man ^nn++++=man,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
bed ^nn++++=bed
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
lengthened ^jj+++xvbn+=lengthened
to ^to++++=to
accommodate ^nn+nom+++=accommodate
his ^pp$+pp3+++=his
commanding ^jj+atrb++xvbg+=commanding
stature ^nn++++=stature;
; ^zz++++=EXTRAWORD
who ^whp+who+++=who
seldom ^rb++++=seldom
spoke ^vbd+++xvbn+=spoke,
, ^zz++++=EXTRAWORD
uttered ^xvbn+++xvbn+=uttered
no ^at++++=no
complaint ^nn++++=complaint,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
no ^at++++=no
sympathy ^nn++++=sympathy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
tranquilly ^rb++++=tranquilly
observed ^vbd+vprv++xvbn+=observed
what ^wdt+who+whcl++=what
went ^vbd+++xvbn+=went
on ^in++++=on
about ^rb++++=about
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
high ^jj++++=high
upon ^in++++=upon
his ^pp$+pp3+++=his
pillows ^nns++++=pillows,
, ^zz++++=EXTRAWORD
no ^at++++=no
picture ^nn++++=picture
of ^in++++=of
dying ^xvbg+++xvbg+=dying
statesman ^nn+nom+++=statesman
or ^cc++++=or
warrior ^nn++++=warrior
was ^vbd+bedz+vrb++=was
ever ^rb++++=ever
fuller ^jjr+pred+++=fuller
of ^in++++=of
real ^jj+atrb+++=real
dignity ^nn+nom+++=dignity
than ^in++++=than
this ^dt+dem+++=this
Virginia ^np++++=Virginia
blacksmith ^nn++++=blacksmith.
. ^zz++++=EXTRAWORD
A ^at++++=A
most ^ql+emph+++=most
attractive ^jj+atrb+++=attractive
face ^nn++++=face
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
framed ^j+++xvbn+=framed
in ^in++++=in
brown ^jj+atrb+++=brown
hair ^nn++++=hair
and ^cc++++=and
beard ^nn++++=beard,
, ^zz++++=EXTRAWORD
comely ^jj++++=comely
featured ^jj+++xvbn+=featured
and ^cc+phrs+++=and
full ^jj++++=full
of ^in++++=of
vigor ^nn++++=vigor,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
yet ^rb++++=yet
unsubdued ^vpsv++by+xvbn+=unsubdued
by ^in++++=by
pain ^nn++++=pain;
; ^zz++++=EXTRAWORD
thoughtful ^jj++++=thoughtful
and ^cc++++=and
often ^rb++++=often
beautifully ^rb++++=beautifully
mild ^jj++++=mild
while ^cs+sub+++=while
watching ^vbg+++xvbg+=watching
the ^ati++++=the
afflictions ^nns+nom+++=afflictions
of ^in++++=of
others ^aps++++=others,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
entirely ^rb+amp+++=entirely
forgetful ^jj++++=forgetful
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mouth ^nn++++=mouth
was ^vbd+bedz+vrb++=was
grave ^jj+pred+++=grave
and ^cc++++=and
firm ^nn++++=firm,
, ^zz++++=EXTRAWORD
with ^in++++=with
plenty ^nn++++=plenty
of ^in++++=of
will ^md+prd+++=will
and ^cc++++=and
courage ^nn+nom+++=courage
in ^in++++=in
its ^pp$+it+++=its
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
smile ^nn++++=smile
could ^md+pos+++=could
make ^vb++++=make
it ^pp3+it+++=it
as ^ql++++=as
sweet ^jj++++=sweet
as ^ql++++=as
any ^dti++++=any
woman ^nn++++=woman's;
's; ^nn+++??+=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
child ^nn++++=child's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
one ^cd1++++=one
fairly ^rb++++=fairly
in ^in++++=in
the ^ati++++=the
face ^nn++++=face
with ^in++++=with
a ^at++++=a
clear ^jj+atrb+++=clear,
, ^zz++++=EXTRAWORD
straightforward ^jj+atrb+++=straightforward
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
promised ^jj+++xvbn+=promised
well ^rb++++=well
for ^in++++=for
such ^abl++++=such
as ^cs+sub+++=as
placed ^jj+++xvbn+=placed
their ^pp$+pp3+++=their
faith ^nn++++=faith
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
cling ^vbi++++=cling
to ^in++++=to
life ^nn++++=life,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
rich ^jj+pred+++=rich
in ^in++++=in
duties ^nns++++=duties
and ^cc++++=and
delights ^nns++++=delights,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
the ^ati++++=the
secret ^nn++++=secret
of ^in++++=of
content ^nn++++=content.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
time ^nn++++=time
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
his ^pp$+pp3+++=his
composure ^nn++++=composure
disturbed ^vbd+++xvbn+=disturbed
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
my ^pp$+pp1+++=my
surgeon ^nn++++=surgeon
brought ^vbd+++xvbn+=brought
another ^ppls++++=another
to ^to++++=to
examine ^vbi++++=examine
John ^np++++=John,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
scrutinized ^vbd+++xvbn+=scrutinized
their ^pp$+pp3+++=their
faces ^nns++++=faces
with ^in++++=with
an ^at++++=an
anxious ^jj+atrb+++=anxious
look ^nn++++=look,
, ^zz++++=EXTRAWORD
asking ^vbg+vsua++xvbg+=asking
of ^in++++=of
the ^ati++++=the
elder, ^nn+++??+=elder,--"Do
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
pull ^vb++++=pull
through ^rb+cnj+++=through,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
so ^ql++++=so,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
two ^cd++++=two
passed ^vbd+++xvbn+=passed
on ^rb+cnj+++=on,
, ^zz++++=EXTRAWORD
John ^np++++=John's
's ^$++++=EXTRAWORD
eye ^nn++++=eye
still ^rb++++=still
followed ^vwbn+vprv++xvbn+=followed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
intentness ^nns+nom+++=intentness
which ^whp+rel+subj++=which
would ^md+prd+++=would
have ^vb+hv+aux++=have
won ^vprf+++xvbnx+=won
a ^at++++=a
clearer ^jjr+atrb+++=clearer
answer ^nn++++=answer
from ^in++++=from
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
they ^pp3a+pp3+++=they
seen ^vbd+vprv++xvbnx+=seen
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
A ^at++++=A
momentary ^jj+atrb+++=momentary
shadow ^nn++++=shadow
flitted ^vbd+++xvbn+=flitted
over ^in++++=over
his ^pp$+pp3+++=his
face ^nn++++=face;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
came ^vbd+++xvbn+=came
the ^ati++++=the
usual ^jj+atrb+++=usual
serenity ^nn+nom+++=serenity,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
brief ^jj+atrb+++=brief
eclipse ^nn+++??+=eclipse,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
acknowledged ^vprf+++xvbnx+=acknowledged
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
some ^dti++++=some
hard ^jj+atrb+++=hard
possibility ^nn+nom+++=possibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
asking ^vbg+vsua++xvbg+=asking
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
hoping ^vbg+vprv++xvbg+=hoping
all ^abn++++=all
things ^nns++++=things,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
the ^ati++++=the
issue ^nn++++=issue
in ^in++++=in
God ^np++++=God's
's ^$++++=EXTRAWORD
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
submission ^nn++++=submission
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
true ^jj+atrb+++=true
piety ^nn++++=piety.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
night ^nn++++=night,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
my ^pp$+pp1+++=my
rounds ^nns++++=rounds
with ^in++++=with
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
P ^zz++++=P.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
ask ^vbi++++=ask
which ^whp+who+++=which
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
probably ^rb++++=probably
suffered ^vbd+++xvbn+=suffered
most ^ql+emph+++=most;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
great ^jj+atrb+++=great
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
John: ^np+++??+=John:-"Every
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
every ^at++++=EXTRAWORD
breath ^nn++++=breath
he ^pp3a+pp3+++=he
draws ^vbz++++=draws
is ^vbz+bez+vrb++=is
like ^in++++=like
a ^at++++=a
stab ^nn++++=stab;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
ball ^nn++++=ball
pierced ^vbd+++xvbn+=pierced
the ^ati++++=the
left ^jj+atrb++xvbn+=left
lung ^nn++++=lung,
, ^zz++++=EXTRAWORD
broke ^j+++xvbn+=broke
a ^at++++=a
rib ^nn+++??+=rib,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=did
no ^at++++=no
end ^nn++++=end
of ^in++++=of
damage ^nn++++=damage
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
poor ^jj+atrb+++=poor
lad ^nn++++=lad
can ^md+pos+++=can
find ^vb+vprv+++=find
neither ^dt++neg++=neither
forgetfulness ^nns+nom+++=forgetfulness
nor ^cc++neg++=nor
ease ^nn++++=ease,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
must ^md+nec+++=must
lie ^vb++++=lie
on ^in++++=on
his ^pp$+pp3+++=his
wounded ^jj+++xvbn+=wounded
back ^jjb++++=back
or ^cc++++=or
suffocate ^nn+nom+++=suffocate.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
hard ^jj+atrb+++=hard
struggle ^nn++++=struggle
and ^cc++++=and
a ^at++++=a
long ^jj+atrb+++=long
one ^pn++++=one,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
possesses ^nns+nom+++=possesses
great ^jj+atrb+++=great
vitality ^nn+nom+++=vitality;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
his ^pp$+pp3+++=his
temperate ^jj+atrb+++=temperate
life ^nn++++=life
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
save ^vb++++=save
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
it ^pp3+it+++=it
could ^md+pos+++=could."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+tht0++=mean
he ^pp3a+pp3+++=he
must ^md+nec+++=must
die ^vb++++=die,
, ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bless
bless ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
hope ^nn++++=hope
for ^in++++=for
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
tell ^vb++++=tell
him ^pp3o+pp3+++=him
so ^ql++++=so
before ^in++++=before
long ^rb++++=long;
; ^zz++++=EXTRAWORD
women ^nns++++=women
have ^vb+hv+vrb++=have
a ^at++++=a
way ^nn++++=way
of ^in++++=of
doing ^xvbg+++xvbg+=doing
such ^abl++++=such
things ^nns++++=things
comfortably ^rb+cnj+++=comfortably,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
leave ^vb++++=leave
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
last ^ap++++=last
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
at ^in++++=at
furthest ^rbt++++=furthest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
sat ^vprf+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot
and ^cc++++=and
cried ^vbd+++xvbn+=cried
heartily ^rb+cnj+++=heartily,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
learned ^vprf+++xvbn+=learned
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
bottling ^nn+nom+++=bottling
up ^rp++++=up
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
tears ^nns++++=tears
for ^in++++=for
leisure ^nn++++=leisure
moments ^nns+nom+++=moments.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
end ^nn++++=end
seemed ^vbd+seem++xvbn+=seemed
very ^ql+amp+++=very
hard ^jj++++=hard
for ^in++++=for
such ^abl++++=such
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
worn ^vbd+++xvbn+=worn-out,
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
worthless ^jj+atrb+++=worthless
bodies ^nns++++=bodies
round ^rp++++=round
him ^pp3o+pp3+++=him
were ^vbd+bed+aux++=were
gathering ^vbg+++xvbgx+=gathering
up ^rp++++=up
the ^ati++++=the
remnants ^nns+nom+++=remnants
of ^in++++=of
wasted ^vbd+++xvbn+=wasted
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
to ^to++++=to
linger ^vbi++++=linger
on ^in++++=on
for ^in++++=for
years ^nns++++=years
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
burdens ^nns++++=burdens
to ^in++++=to
others ^aps++++=others,
, ^zz++++=EXTRAWORD
daily ^jj+atrb+++=daily
reproaches ^nns++++=reproaches
to ^in++++=to
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
army ^nn++++=army
needed ^vwbn+++xvbn+=needed
men ^nns++++=men
like ^in++++=like
John, ^np+++??+=John,--earnest,
-- ^--+clp+++=EXTRAWORD
earnest ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
brave ^jj++++=brave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faithful ^jj++++=faithful;
; ^zz++++=EXTRAWORD
fighting ^nvbg+++xvbg+=fighting
for ^in++++=for
liberty ^nn++++=liberty
and ^cc++++=and
justice ^nn++++=justice
with ^in++++=with
both ^abx++++=both
heart ^nn++++=heart
and ^cc++++=and
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
true ^jj+atrb+++=true
soldiers ^nns+nom+++=soldiers
of ^in++++=of
the ^ati++++=the
Lord ^npt++++=Lord.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
give ^vb++++=give
him ^pp3o+pp3+++=him
up ^rp++++=up
so ^rb++++=so
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
think ^vb+vprv+++=think
with ^in++++=with
any ^dti++++=any
patience ^nn+nom+++=patience
of ^in++++=of
so ^rb+emph+++=so
excellent ^jj++++=excellent
a ^at++++=a
nature ^nn++++=nature
robbed ^vbd+++xvbn+=robbed
of ^in++++=of
its ^pp$+it+++=its
fulfilment ^nn+nom+++=fulfilment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blundered ^vpsv++agls+xvbn+=blundered
into ^in++++=into
eternity ^nn+nom+++=eternity
by ^in++++=by
the ^ati++++=the
rashness ^nns+nom+++=rashness
or ^cc++++=or
stupidity ^nn+nom+++=stupidity
of ^in++++=of
those ^dt+dem+++=those
at ^in++++=at
whose ^whp+rel+pied++=whose
hands ^nns++++=hands
so ^rb++++=so
many ^ap++++=many
lives ^nns++++=lives
may ^md+pos+++=may
be ^vb+be+aux++=be
required ^vpsv++agls+xvbnx+=required.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
easy ^jj+atrb+++=easy
thing ^nn++++=thing
for ^in++++=for
Dr ^npt++++=Dr.
