Both ^abx++++=Both
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
so ^ql++++=so
often ^rb++++=often
a ^at++++=a
mark ^nn++++=mark
of ^in++++=of
the ^ati++++=the
prosperous ^jj++++=prosperous
total ^jj++++=total
abstainer ^jjr++++=abstainer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
established ^jj+atrb++xvbn+=established
story ^nn++++=story
of ^in++++=of
his ^pp$+pp3+++=his
conversion ^nn++++=conversion
was ^vbd+bedz+vrb++=was
familiar ^jj+pred+++=familiar
on ^in++++=on
the ^ati++++=the
more ^rbr++++=more
puritanic ^jj+atrb+++=puritanic
platforms ^nns++++=platforms
and ^cc++++=and
pulpits ^nns+++??+=pulpits,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
only ^rb+down+++=only
a ^at++++=a
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
away ^in+pl+++=away
from ^in"++++=from
Scotch ^np++++=Scotch
theology ^nn++++=theology
to ^in++++=to
Scotch ^np++++=Scotch
whisky ^nn++++=whisky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
risen ^vwbn+++xvbn+=risen
out ^rp+pl+++=out
of ^in++++=of
both ^abx++++=both
and ^cc++++=and
become ^vb++++=become
( ^zz++++=(as
as ^ql++++=EXTRAWORD
he ^pp3a+pp3+++=he
modestly ^jj++++=modestly
put ^vbd+++xvbn+=put
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
his ^pp$+pp3+++=his
wide ^jj+atrb+++=wide
white ^jj+atrb+++=white
beard ^nn++++=beard,
, ^zz++++=EXTRAWORD
cherubic ^jj+atrb+++=cherubic
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sparkling ^jj+atrb+++=sparkling
spectacles ^nns++++=spectacles,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
numberless ^jj+atrb+++=numberless
dinners ^nns+nom+++=dinners
and ^cc++++=and
congresses ^nns+nom+++=congresses
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
appeared ^vbd+seem++xvbnx+=appeared,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
it ^pp3+it+++=it
hard ^jj++++=hard
to ^to+jcmp+++=to
believe ^vbi+vprv+++=believe,
, ^zz++++=EXTRAWORD
somehow ^rb+cnj+++=somehow,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been
anything ^pn++++=anything
so ^rb+emph+++=so
morbid ^jj++++=morbid
as ^ql++++=as
either ^dtx++++=either
a ^at++++=a
dram ^nn+++??+=dram-drinker
- ^zz++++=EXTRAWORD
drinker ^jjr++++=EXTRAWORD
or ^cc++++=or
a ^at++++=a
Calvinist ^np+nom++??+=Calvinist.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
felt ^vbd+vprv++xvbn+=felt,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
seriously ^rb++++=seriously
merry ^jj++++=merry
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
sons ^nns++++=sons
of ^in++++=of
men ^nns++++=men.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
on ^in++++=on
the ^ati++++=the
rural ^jj+atrb+++=rural
skirt ^nn++++=skirt
of ^in++++=of
Hampstead ^np++++=Hampstead
in ^in++++=in
a ^at++++=a
handsome ^jj+atrb+++=handsome
house ^nn++++=house,
, ^zz++++=EXTRAWORD
high ^jj++++=high
but ^cc++++=but
not ^xnot++not++=not
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
a ^at++++=a
modern ^jj+atrb+++=modern
and ^cc+phrs+++=and
prosaic ^jj+atrb+++=prosaic
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
The ^ati++++=The
narrowest ^nn++++=narrowest
of ^in++++=of
its ^pp$+it+++=its
narrow ^jj+atrb+++=narrow
sides ^nns++++=sides
overhung ^nn+++??+=overhung
the ^ati++++=the
steep ^jj+atrb+++=steep
green ^nn++++=green
bank ^nn++++=bank
of ^in++++=of
a ^at++++=a
railway ^nn++++=railway,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
shaken ^vpsv++by+xvbnx+=shaken
by ^in++++=by
passing ^xvbg+++xvbg+=passing
trains ^nns++++=trains.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Aaron ^np+++??+=Aaron
Armstrong ^np++++=Armstrong,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
boisterously ^jj++++=boisterously
explained ^jj+++xvbn+=explained,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
nerves ^nns++++=nerves.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
the ^ati++++=the
train ^nn++++=train
had ^vb+hv+aux++=had
often ^rb++splt++=often
given ^vprf+++xvbnx+=given
a ^at++++=a
shock ^nn++++=shock
to ^in++++=to
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
morning ^nn++++=morning
the ^ati++++=the
tables ^nns++++=tables
were ^vbd+bed+aux++=were
turned ^vpsv++agls+xvbnx+=turned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
house ^npl++++=house
that ^tht+rel+subj++=that
gave ^vbd+++xvbn+=gave
a ^at++++=a
shock ^nn++++=shock
to ^in++++=to
the ^ati++++=the
train ^nn++++=train.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engine ^nn++++=engine
slowed ^vwbn+++xvbn+=slowed
down ^rb+phrv+++=down
and ^cc++++=and
stopped ^vbd+++xvbn+=stopped
just ^rb+emph+++=just
beyond ^in++++=beyond
that ^dt+dem+++=that
point ^nn++++=point
where ^wrb+who+++=where
an ^at++++=an
angle ^nn++++=angle
of ^in++++=of
the ^ati++++=the
house ^npl++++=house
impinged ^vprf+++xvbn+=impinged
upon ^in++++=upon
the ^ati++++=the
sharp ^jj+atrb+++=sharp
slope ^nn++++=slope
of ^in++++=of
turf ^nn++++=turf.
. ^zz++++=EXTRAWORD
The ^ati++++=The
arrest ^nn++++=arrest
of ^in++++=of
most ^ql+emph+++=most
mechanical ^jj+atrb+++=mechanical
things ^nns++++=things
must ^md+nec+++=must
be ^vb+be+vrb++=be
slow ^jj+pred+++=slow;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
living ^jj+atrb++xvbg+=living
cause ^nn++++=cause
of ^in++++=of
this ^dt+pdem+++=this
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
very ^ql+amp+++=very
rapid ^jj++++=rapid.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
clad ^jj++++=clad
completely ^rb+amp+++=completely
in ^in++++=in
black ^nn++++=black,
, ^zz++++=EXTRAWORD
even ^rb++++=even
( ^zz++++=(it
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+aux++=was
remembered ^vpsv++agls+xvbnx+=remembered)
) ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
detail ^nn++++=detail
of ^in++++=of
black ^jj+atrb+++=black
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
appeared ^j+++xvbn+=appeared
on ^in++++=on
the ^ati++++=the
ridge ^nn++++=ridge
above ^jjb++++=above
the ^ati++++=the
engine ^nn++++=engine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waved ^vbd+++xvbn+=waved
his ^pp$+pp3+++=his
black ^jj+atrb+++=black
hands ^nns++++=hands
like ^in++++=like
some ^dti++++=some
sable ^jj+atrb+++=sable
windmill ^nn++++=windmill.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
in ^in++++=in
itself ^ppl++++=itself
would ^md+prd+++=would
hardly ^rb+down+++=hardly
have ^vb+hv+aux++=have
stopped ^vprf+++xvbnx+=stopped
even ^rb++++=even
a ^at++++=a
lingering ^jj+atrb++xvbg+=lingering
train ^nn++++=train.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
him ^pp3o+pp3+++=him
a ^at++++=a
cry ^nn++++=cry
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
talked ^vpsv++agls+xvbnx+=talked
of ^in++++=of
afterwards ^rb+tm+++=afterwards
as ^in++++=as
something ^pn++++=something
utterly ^rb+amp+++=utterly
unnatural ^jj++++=unnatural
and ^cc+phrs+++=and
new ^jj++++=new.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
those ^dt+pdem+++=those
shouts ^vbz++++=shouts
that ^tht+vcmp+++=that
are ^vb+ber+vrb++=are
horridly ^jj++++=horridly
distinct ^jj++++=distinct
even ^rb++++=even
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
hear ^vb+vprv+++=hear
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
shouted ^vpsv++agls+xvbnx+=shouted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
was ^vbd+bedz+vrb++=was
" ^zz++++="Murder!"
murder ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
engine ^nn++++=engine-driver
- ^zz++++=EXTRAWORD
driver ^nn++++=EXTRAWORD
swears ^vbz++++=swears
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
pulled ^vprf+++xvbnx+=pulled
up ^rp++++=up
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
only ^rb+down+++=only
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
and ^cc+phrs+++=and
definite ^jj+atrb+++=definite
accent ^nn++++=accent
and ^cc++++=and
not ^xnot++not++=not
the ^ati++++=the
word ^nn++++=word.
. ^zz++++=EXTRAWORD
The ^ati++++=The
train ^nn++++=train
once ^rb+tm+++=once
arrested ^jj+++xvbn+=arrested,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
superficial ^jj+atrb+++=superficial
stare ^nn++++=stare
could ^md+pos+++=could
take ^vb++++=take
in ^rb+phrv+++=in
many ^ap++++=many
features ^nns++++=features
of ^in++++=of
the ^ati++++=the
tragedy ^nn++++=tragedy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
in ^in++++=in
black ^nn++++=black
on ^in++++=on
the ^ati++++=the
green ^nn++++=green
bank ^nn++++=bank
was ^vbd+bedz+vrb++=was
Sir ^npt++++=Sir
Aaron ^np+++??+=Aaron
Armstrong ^np++++=Armstrong's
's ^$++++=EXTRAWORD
man ^nn++++=man-servant
- ^zz++++=EXTRAWORD
servant ^nn+nom+++=EXTRAWORD
Magnus ^np+++??+=Magnus.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baronet ^nn+++??+=baronet
in ^in++++=in
his ^pp$+pp3+++=his
optimism ^nn+nom+++=optimism
had ^vb+hv+aux++=had
often ^rb++splt++=often
laughed ^vprf+++xvbnx+=laughed
at ^in+ppvb+++=at
the ^ati++++=the
black ^jj+atrb+++=black
gloves ^nns++++=gloves
of ^in++++=of
this ^dt+dem+++=this
dismal ^jj+atrb+++=dismal
attendant ^nn+nom+++=attendant;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
laugh ^vbi++++=laugh
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him
just ^rb+emph+++=just
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
So ^ql++++=So
soon ^rb+tm+++=soon
as ^in++++=as
an ^at++++=an
inquirer ^nn+nom+++=inquirer
or ^cc++++=or
two ^cd++++=two
had ^vbd+hvd+aux++=had
stepped ^vprf+++xvbnx+=stepped
off ^in+pl+++=off
the ^ati++++=the
line ^nn++++=line
and ^cc++++=and
across ^in+pl+++=across
the ^ati++++=the
smoky ^jj+atrb+++=smoky
hedge ^nn++++=hedge,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
rolled ^j+++xvbn+=rolled
down ^rp++++=down
almost ^rb+hdg+++=almost
to ^in++++=to
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
the ^ati++++=the
body ^nn++++=body
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
in ^in++++=in
a ^at++++=a
yellow ^jj++++=yellow
dressing ^jj+++xvbg+=dressing-gown
- ^zz++++=EXTRAWORD
gown ^nn++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
very ^ql+amp+++=very
vivid ^jj+atrb+++=vivid
scarlet ^jj+atrb+++=scarlet
lining ^nvbg+++xvbg+=lining.
. ^zz++++=EXTRAWORD
A ^at++++=A
scrap ^nn++++=scrap
of ^in++++=of
rope ^nn++++=rope
seemed ^vbd+seem++xvbn+=seemed
caught ^vbd+++xvbn+=caught
about ^in++++=about
his ^pp$+pp3+++=his
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
entangled ^j+++xvbn+=entangled
presumably ^rb++++=presumably
in ^in++++=in
a ^at++++=a
struggle ^nn++++=struggle.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
a ^at++++=a
smear ^vb++++=smear
or ^cc++++=or
so ^rb++++=so
of ^in++++=of
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
very ^ql+amp+++=very
little ^ap++++=little;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
body ^nn++++=body
was ^vbd+bedz+aux++=was
bent ^vpsv++agls+xvbnx+=bent
or ^cc+phrs+++=or
broken ^vpsv++agls+xvbn+=broken
into ^in+ppvb+++=into
a ^at++++=a
posture ^nn++++=posture
impossible ^jj++++=impossible
to ^to+jcmp+++=to
any ^dti++++=any
living ^jj+atrb++xvbg+=living
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Sir ^npt++++=Sir
Aaron ^np+++??+=Aaron
Armstrong ^np++++=Armstrong.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
more ^rbr++++=more
bewildered ^jj+atrb++xvbn+=bewildered
moments ^nns+nom+++=moments
brought ^vbd+++xvbn+=brought
out ^rb+phrv+++=out
a ^at++++=a
big ^jj++++=big
fair ^jj++++=fair-bearded
- ^zz++++=EXTRAWORD
bearded ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
some ^dti++++=some
travellers ^nns+nom+++=travellers
could ^md+pos+++=could
salute ^vb++++=salute
as ^ql++++=as
the ^ati++++=the
dead ^jj+atrb+++=dead
man ^nn++++=man's
's ^$++++=EXTRAWORD
secretary ^nn+nom+++=secretary,
, ^zz++++=EXTRAWORD
Patrick ^np++++=Patrick
Royce ^np+++??+=Royce,
, ^zz++++=EXTRAWORD
once ^cs+tm+++=once
well ^rb++++=well
known ^vbd+vprv++xvbn+=known
in ^in++++=in
Bohemian ^jj+atrb+++=Bohemian
society ^nn++++=society
and ^cc++++=and
even ^rb++++=even
famous ^jj++++=famous
in ^in++++=in
the ^ati++++=the
Bohemian ^jj+atrb+++=Bohemian
arts ^nns++++=arts.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
manner ^nn++++=manner
more ^rbr++++=more
vague ^jj++++=vague,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
more ^rbr++++=more
convincing ^jj++++=convincing,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
echoed ^vbd+++xvbnx+=echoed
the ^ati++++=the
agony ^nn++++=agony
of ^in++++=of
the ^ati++++=the
servant ^nn+nom+++=servant.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
third ^nn++++=third
figure ^nn++++=figure
of ^in++++=of
that ^dt+dem+++=that
household ^nn++++=household,
, ^zz++++=EXTRAWORD
Alice ^np++++=Alice
Armstrong ^np++++=Armstrong,
, ^zz++++=EXTRAWORD
daughter ^nn+nom+++=daughter
of ^in++++=of
the ^ati++++=the
dead ^jj+atrb+++=dead
man ^nn++++=man,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
already ^rb++++=already
tottering ^jj+++xvbg+=tottering
and ^cc+phrs+++=and
waving ^jj+++xvbg+=waving
into ^in++++=into
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
the ^ati++++=the
engine ^nn++++=engine-driver
- ^zz++++=EXTRAWORD
driver ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
a ^at++++=a
stop ^nn++++=stop
to ^in++++=to
his ^pp$+pp3+++=his
stoppage ^nn+nom+++=stoppage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whistle ^nn++++=whistle
had ^vbd+hvd+aux++=had
blown ^vprf+++xvbnx+=blown
and ^cc++++=and
the ^ati++++=the
train ^nn++++=train
had ^vbd+hvd+aux++=had
panted ^vprf+++xvbnx+=panted
on ^in++++=on
to ^to++++=to
get ^vbi++++=get
help ^vb++++=help
from ^in++++=from
the ^ati++++=the
next ^ap++++=next
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
Father ^nn++++=Father
Brown ^jj++++=Brown
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thus ^rb+cnj+splt++=thus
rapidly ^rb++++=rapidly
summoned ^vpsv++agls+xvbn+=summoned
at ^rb++++=at
the ^ati++++=the
request ^nn++++=request
of ^in++++=of
Patrick ^np++++=Patrick
Royce ^np+++??+=Royce,
, ^zz++++=EXTRAWORD
the ^ati++++=the
big ^jj+atrb+++=big
ex ^np++++=ex-Bohemian
- ^zz++++=EXTRAWORD
bohemian ^jj+atrb+++=EXTRAWORD
secretary ^nn+nom+++=secretary.
. ^zz++++=EXTRAWORD
Royce ^np+++??+=Royce
was ^vbd+bedz+vrb++=was
an ^at++++=an
Irishman ^nn+nom+++=Irishman
by ^in++++=by
birth ^nn++++=birth;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
casual ^jj++++=casual
kind ^rb++++=kind
of ^rb"++++=of
Catholic ^jj++++=Catholic
that ^dt+pdem+++=that
never ^rb++++=never
remembers ^nns+nom+++=remembers
his ^pp$+pp3+++=his
religion ^nn++++=religion
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
in ^in++++=in
a ^at++++=a
hole ^nn++++=hole.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Royce ^np++++=Royce's
's ^$++++=EXTRAWORD
request ^nn++++=request
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
less ^rbr++splt++=less
promptly ^rb++++=promptly
complied ^vprf+++xvbn+=complied
with ^in++++=with
if ^cs+cnd+++=if
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
official ^jj+atrb+++=official
detectives ^nns++++=detectives
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
friend ^nn++++=friend
and ^cc++++=and
admirer ^nn++++=admirer
of ^in++++=of
the ^ati++++=the
unofficial ^jj+atrb+++=unofficial
Flambeau ^np+++??+=Flambeau;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
friend ^nn++++=friend
of ^in++++=of
Flambeau ^np+++??+=Flambeau
without ^in++++=without
hearing ^xvbg+++xvbg+=hearing
numberless ^jj+atrb+++=numberless
stories ^nns++++=stories
about ^in++++=about
Father ^nn++++=Father
Brown ^jj++++=Brown.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
young ^jj+atrb+++=young
detective ^nn++++=detective
( ^zz++++=(whose
whose ^whp+who+++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Merton ^np+++??+=Merton)
) ^zz++++=EXTRAWORD
led ^vbd+++xvbn+=led
the ^ati++++=the
little ^jj+atrb+++=little
priest ^nn++++=priest
across ^in+pl+++=across
the ^ati++++=the
fields ^nns++++=fields
to ^in++++=to
the ^ati++++=the
railway ^nn++++=railway,
, ^zz++++=EXTRAWORD
