If ^cs+cnd+++=If
years ^nns++++=years
since ^in+strn+++=since.
. ^zz++++=EXTRAWORD
" ^zz++++="Meanwhile,"
meanwhile ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
commentator ^nn++++=commentator
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Council
council ^nn++++=EXTRAWORD
Bluffs ^np+++??+=Bluffs,
, ^zz++++=EXTRAWORD
Iowa ^np+++??+=Iowa,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
threatened ^vpsv++by+xvbnx+=threatened
by ^in++++=by
stark ^jj+atrb+++=stark
tragedy ^nn++++=tragedy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
200 ^cd++++=200
weary ^jj+atrb+++=weary
rescue ^nn++++=rescue
workers ^nns+nom+++=workers
have ^vb+hv+aux++=have
refused ^vprf+++xvbnx+=refused
to ^to+vcmp+++=to
give ^vbi++++=give
up ^rb+phrv+++=up
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
continue ^vb++++=continue
to ^to++++=to
dig ^vbi++++=dig
in ^in++++=in
an ^at++++=an
effort ^nn++++=effort
to ^to+ncmp+++=to
save ^vbi++++=save
Elbert ^np+++??+=Elbert
Haggedorn ^np+++??+=Haggedorn,
, ^zz++++=EXTRAWORD
183 ^cd++++=183,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
wedged ^vpsv++agls+xvbnx+=wedged
for ^in++++=for
two ^cd++++=two
days ^nns++++=days
in ^in++++=in
a ^at++++=a
. ^zz++++=..."
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
get ^vb++++=get
something ^pn++++=something
more ^rbr++++=more
cheerful ^jj++++=cheerful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Emerald ^nn++++=Emerald
whispered ^vbd+++xvbn+=whispered
to ^in++++=to
Lou ^np++++=Lou.
. ^zz++++=EXTRAWORD
" ^zz++++="Silence!"
silence ^nn+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Gramps ^np+++??+=Gramps.
. ^zz++++=EXTRAWORD
" ^zz++++="Next
next ^ap++++=EXTRAWORD
one ^cd1++++=one
shoots ^nns++++=shoots
off ^in+pl+++=off
his ^pp$+pp3+++=his
big ^jj+atrb+++=big
bazoo ^nn+++??+=bazoo
while ^cs+sub+++=while
the ^ati++++=the
Tv ^np++++=TV's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
is ^vbz+bez+aux++=is
gonna ^md+prd+++0=gonna
find ^vb+vprv+++=find
hisself ^jj+++??+=hisself
cut ^vwbn+++xvbn+=cut
off ^rb+phrv+++=off
without ^in++++=without
a ^at++++=a
dollar ^nn++++=dollar
" ^zz++++="
his ^pp$+pp3+++=his
voice ^nn++++=voice
suddenly ^rb++++=suddenly
softened ^jj+++xvbn+=softened
and ^cc++++=and
sweetened ^vwbn+++xvbn+=sweetened
" ^zz++++="when
when ^wrb+who+++=EXTRAWORD
they ^pp3a+pp3+++=they
wave ^nn++++=wave
that ^tht+rel+++=that
checkered ^jj+atrb+++=checkered
flag ^nn++++=flag
at ^in++++=at
the ^ati++++=the
Indianapolis ^np+++??+=Indianapolis
Speedway ^nn++++=Speedway,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
Gramps ^np+++??+=Gramps
gets ^vbz++++=gets
ready ^jj++++=ready
for ^in++++=for
the ^ati++++=the
Big ^jj+atrb+++=Big
Trip ^nn++++=Trip
Up ^rp++++=Up
Yonder ^np+++??+=Yonder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sniffed ^vbd+++xvbnx+=sniffed
sentimentally ^rb+cnj+++=sentimentally,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
heirs ^nns++++=heirs
concentrated ^vbd+++xvbn+=concentrated
desperately ^rb++++=desperately
on ^in++++=on
not ^xnot++not++=not
making ^vbg+++xvbg+=making
the ^ati++++=the
slightest ^jjt++++=slightest
sound ^jj++++=sound.
. ^zz++++=EXTRAWORD
For ^in++++=For
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
the ^ati++++=the
poignancy ^nn+++??+=poignancy
of ^in++++=of
the ^ati++++=the
prospective ^jj+atrb+++=prospective
Big ^jj+atrb+++=Big
Trip ^nn++++=Trip
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
dulled ^vpsv++agls+xvbnx+=dulled
somewhat ^rb+cnj+++=somewhat,
, ^zz++++=EXTRAWORD
through ^in++++=through
having ^nn+nn+aux++=having
been ^vprf+ben+aux+xvbn+=been
mentioned ^vpsv++by+xvbnx+=mentioned
by ^in++++=by
Gramps ^np+++??+=Gramps
about ^in++++=about
once ^rb+tm+++=once
a ^at++++=a
day ^nn++++=day
for ^in++++=for
fifty ^cd++++=fifty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
" ^zz++++="Dr.
dr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Brainard ^np++++=Brainard
Keyes ^np++++=Keyes
Bullard ^np+++??+=Bullard,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
commentator ^nn++++=commentator,
, ^zz++++=EXTRAWORD
" ^zz++++="President
president ^npt++++=EXTRAWORD
of ^in++++=of
Wyandotte ^np+++??+=Wyandotte
College ^nn++++=College,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
in ^in++++=in
an ^at++++=an
address ^nns+nom+++=address
tonight ^nr+tm+++=tonight
that ^tht+rel+++=that
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
world ^nn++++=world's
's ^$++++=EXTRAWORD
ills ^nns+++??+=ills
can ^md+pos+++=can
be ^vb+be+aux++=be
traced ^vpsv++agls+xvbnx+=traced
to ^in++++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
Man ^np++++=Man's
's ^$++++=EXTRAWORD
knowledge ^nn++++=knowledge
of ^in++++=of
himself ^ppl+pp3+++=himself
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
kept ^vbd+++xvbn+=kept
pace ^nn++++=pace
with ^in++++=with
his ^pp$+pp3+++=his
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
physical ^jj+atrb+++=physical
world ^nn++++=world."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hell!"
hell ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
snorted ^vbd+++xvbn+=snorted
Gramps ^np+++??+=Gramps.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb++++=ago!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
Chicago ^np++++=Chicago
tonight ^nr+tm+++=tonight,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
commentator ^nn++++=commentator
went ^vbd+++xvbn+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
" ^zz++++="a
a ^at++++=EXTRAWORD
special ^jj+atrb+++=special
celebration ^nn+nom+++=celebration
is ^vbz+bez+aux++=is
taking ^vbg+++xvbgx+=taking
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
Chicago ^np++++=Chicago
Lying ^vwbg+++xvbg+=Lying-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
Hospital ^nn+nom+++=Hospital.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guest ^nn++++=guest
of ^in++++=of
honor ^nn++++=honor
is ^vbz+bez+vrb++=is
Lowell ^np+++??+=Lowell
W ^zz++++=W.
. ^zz++++=EXTRAWORD
Hitz ^np+++??+=Hitz,
, ^zz++++=EXTRAWORD
age ^nn++++=age
zero ^cd++++=zero.
. ^zz++++=EXTRAWORD
Hitz ^np+++??+=Hitz,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
this ^dt+dem+++=this
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
twenty ^cd++++=twenty-five-millionth
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
millionth ^nn+++??+=EXTRAWORD
child ^nn++++=child
to ^to++++=to
be ^vbi+vbi+aux++=be
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
the ^ati++++=the
hospital ^nn+nom+++=hospital."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
commentator ^nn++++=commentator
faded ^vbd+++xvbn+=faded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
replaced ^vpsv++agls+xvbnx+=replaced
on ^in++++=on
the ^ati++++=the
screen ^nn++++=screen
by ^in++++=by
young ^jj+atrb+++=young
Hitz ^np+++??+=Hitz,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
squalled ^vbd+++xvbn+=squalled
furiously ^rb++++=furiously.
. ^zz++++=EXTRAWORD
" ^zz++++="Hell!"
hell ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
Lou ^np++++=Lou
to ^in++++=to
Emerald ^nn++++=Emerald.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
heard ^vbd+vprv+tht0+xvbnx+=heard
that ^tht+vcmp+++=that!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Gramps ^np+++??+=Gramps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
snapped ^vbd+++xvbnx+=snapped
off ^in+pl+++=off
the ^ati++++=the
television ^nn++++=television
set ^vbd+++xvbn+=set
and ^cc++++=and
his ^pp$+pp3+++=his
petrified ^jj+atrb+++=petrified
descendants ^nns+nom+++=descendants
stared ^vbd+++xvbn+=stared
silently ^rb++++=silently
at ^in++++=at
the ^ati++++=the
screen ^nn++++=screen.
. ^zz++++=EXTRAWORD
" ^zz++++="You,
you ^pp2+pp2+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy
" ^zz++++="
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
anything ^pn++++=anything
by ^in++++=by
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lou ^np++++=Lou,
, ^zz++++=EXTRAWORD
aged ^jj++++=aged
103 ^cd++++=103.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
my ^pp$+pp1+++=my
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
kids ^nns++++=kids
all ^rb++++=all
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Fetch ^vb++++=Fetch,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gramps ^np+++??+=Gramps
snapped ^vbd+++xvbn+=snapped
his ^pp$+pp3+++=his
gnarled ^jj+atrb+++=gnarled
fingers ^nns+nom+++=fingers
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
Lou ^np++++=Lou
nodded ^vbd+++xvbn+=nodded
dully ^rb++++=dully
and ^cc++++=and
found ^vbd+vprv+tht0+xvbn+=found
himself ^ppl+pp3+++=himself
going ^vbg+++xvbg+=going
down ^in++++=down
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
picking ^vbg+++xvbg+=picking
his ^pp$+pp3+++=his
way ^nn++++=way
over ^in++++=over
bedding ^nn++++=bedding
to ^in++++=to
Gramps ^np+++??+=Gramps'
' ^zz++++=EXTRAWORD
room ^nn++++=room,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
private ^jj+atrb+++=private
room ^nn++++=room
in ^in++++=in
the ^ati++++=the
Ford ^np++++=Ford
apartment ^nn+nom+++=apartment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
rooms ^nns++++=rooms
were ^vbd+bed+vrb++=were
the ^ati++++=the
bathroom ^nn++++=bathroom,
, ^zz++++=EXTRAWORD
the ^ati++++=the
living ^jj+atrb++xvbg+=living
room ^nn++++=room
and ^cc++++=and
the ^ati++++=the
wide ^jj+atrb+++=wide
windowless ^jj+atrb+++=windowless
hallway ^nn++++=hallway,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
originally ^rb+tm+splt++=originally
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
serve ^vbi++++=serve
as ^in++++=as
a ^at++++=a
dining ^jj+atrb++xvbg+=dining
area ^nn++++=area,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
a ^at++++=a
kitchenette ^nn+nom+++=kitchenette
in ^in++++=in
one ^cd1++++=one
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
mattresses ^nns+nom+++=mattresses
and ^cc++++=and
four ^cd++++=four
sleeping ^jj+atrb++xvbg+=sleeping
bags ^nns++++=bags
were ^vbd+bed+aux++=were
dispersed ^vpsv++agls+xvbnx+=dispersed
in ^in++++=in
the ^ati++++=the
hallway ^nn++++=hallway
and ^cc++++=and
living ^jj+atrb++xvbg+=living
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
daybed ^jj+++xvbn+=daybed,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
living ^jj+atrb++xvbg+=living
room ^nn++++=room,
, ^zz++++=EXTRAWORD
accommodated ^xvbn+++xvbn+=accommodated
the ^ati++++=the
eleventh ^od++++=eleventh
couple ^nn++++=couple,
, ^zz++++=EXTRAWORD
the ^ati++++=the
favorites ^nns++++=favorites
of ^in++++=of
the ^ati++++=the
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
On ^in++++=On
Gramps ^np+++??+=Gramps'
' ^zz++++=EXTRAWORD
bureau ^nn++++=bureau
was ^vbd+bedz+aux++=was
his ^pp$+pp3+++=his
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
smeared ^j+++xvbn+=smeared,
, ^zz++++=EXTRAWORD
dog ^nn++++=dog-eared,
- ^zz++++=EXTRAWORD
eared ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
perforated ^j+++xvbn+=perforated
and ^cc+phrs+++=and
blotched ^jj+++xvbn+=blotched
with ^in++++=with
hundreds ^cds++++=hundreds
of ^in++++=of
additions ^nns+nom+++=additions,
, ^zz++++=EXTRAWORD
deletions ^nns+nom+++=deletions,
, ^zz++++=EXTRAWORD
accusations ^nns+nom+++=accusations,
, ^zz++++=EXTRAWORD
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
warnings ^nns++++=warnings,
, ^zz++++=EXTRAWORD
advice ^nn++++=advice
and ^cc++++=and
homely ^jj+atrb+++=homely
philosophy ^nn++++=philosophy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
document ^nn+nom+++=document
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
Lou ^np++++=Lou
reflected ^vbd+vprv++xvbn+=reflected,
, ^zz++++=EXTRAWORD
a ^at++++=a
fifty ^cd++++=fifty-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
diary ^nn++++=diary,
, ^zz++++=EXTRAWORD
all ^abn++++=all
jammed ^jj+++xvbn+=jammed
onto ^in++++=onto
two ^cd++++=two
sheets ^nns++++=sheets
a ^at++++=a
garbled ^jj++++=garbled,
, ^zz++++=EXTRAWORD
illegible ^jj++++=illegible
log ^&fo++++=log
of ^in++++=of
day ^nn++++=day
after ^in++++=after
day ^nn++++=day
of ^in++++=of
strife ^nn++++=strife.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
day ^nn++++=day,
, ^zz++++=EXTRAWORD
Lou ^np++++=Lou
would ^md+prd+++=would
be ^vb+be+aux++=be
disinherited ^vpsv++agls+xvbnx+=disinherited
for ^in++++=for
the ^ati++++=the
eleventh ^od++++=eleventh
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
would ^md+prd+++=would
take ^vb++++=take
him ^pp3o+pp3+++=him
perhaps ^rb++++=perhaps
six ^cd++++=six
months ^nns++++=months
of ^in++++=of
impeccable ^jj+atrb+++=impeccable
behavior ^nn++++=behavior
to ^to++++=to
regain ^vbi++++=regain
the ^ati++++=the
promise ^nn++++=promise
of ^in++++=of
a ^at++++=a
share ^nn++++=share
in ^in++++=in
the ^ati++++=the
estate ^nn++++=estate.
. ^zz++++=EXTRAWORD
To ^to++++=To
say ^vbi+vpub+++=say
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
daybed ^nn++++=daybed
in ^in++++=in
the ^ati++++=the
living ^jj+atrb++xvbg+=living
room ^nn++++=room
for ^in++++=for
Em ^np+++??+=Em
and ^cc++++=and
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="Boy!"
boy ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=called
Gramps ^np+++??+=Gramps.
. ^zz++++=EXTRAWORD
" ^zz++++="Coming,
coming ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lou ^np++++=Lou
hurried ^vbd+++xvbn+=hurried
back ^jjb++++=back
into ^in++++=into
the ^ati++++=the
living ^jj+atrb++xvbg+=living
room ^nn++++=room
and ^cc++++=and
handed ^xvbn+++xvbn+=handed
Gramps ^np+++??+=Gramps
the ^ati++++=the
will ^nn++++=will.
. ^zz++++=EXTRAWORD
" ^zz++++="Pen!"
pen ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gramps ^np+++??+=Gramps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
instantly ^rb+tm+splt++=instantly
offered ^vpsv++agls+xvbnx+=offered
eleven ^cd++++=eleven
pens ^nns++++=pens,
, ^zz++++=EXTRAWORD
one ^pn++++=one
from ^in++++=from
each ^dt++++=each
couple ^nn++++=couple.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
that ^dt+dem+++=that
leaky ^nn+++??+=leaky
thing ^nn++++=thing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
brushing ^vbg+++xvbg+=brushing
Lou ^np++++=Lou's
's ^$++++=EXTRAWORD
pen ^nn++++=pen
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
nice ^jj+atrb+++=nice
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
Willy ^np++++=Willy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
accepted ^vbd+vprv++xvbnx+=accepted
Willy ^np++++=Willy's
's ^$++++=EXTRAWORD
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
tip ^nn++++=tip
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
all ^abn++++=all
been ^jj+jj+aux+xvbn+=been
waiting ^vbg+++xvbgx+=waiting
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
Willy ^np++++=Willy,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
Lou ^np++++=Lou's
's ^$++++=EXTRAWORD
father ^nn++++=father
was ^vbd+bedz+vrb++=was
the ^ati++++=the
new ^jj++++=new
favorite ^jj++++=favorite.
. ^zz++++=EXTRAWORD
Willy ^np++++=Willy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
looked ^vbd+++xvbn+=looked
almost ^rb+hdg+++=almost
as ^in++++=as
young ^jj++++=young
as ^ql++++=as
Lou ^np++++=Lou,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
