Passing ^vbg+++xvbg+=Passing
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
the ^ati++++=the
untainted ^jj+atrb++xvbn+=untainted
breath ^nn++++=breath
of ^in++++=of
Ocean ^nn++++=Ocean
bestows ^vbz++++=bestows
such ^abl++++=such
health ^nn++++=health
and ^cc++++=and
length ^nn++++=length
of ^in++++=of
days ^nns++++=days
upon ^in++++=upon
the ^ati++++=the
people ^nn++++=people
of ^in++++=of
the ^ati++++=the
isles ^npls++++=isles
as ^ql++++=as
would ^md+prd+++=would
cause ^vb++++=cause
a ^at++++=a
melancholy ^jj+atrb+++=melancholy
dearth ^nn++++=dearth
of ^in++++=of
business ^nns+nom+++=business
to ^in++++=to
a ^at++++=a
resident ^jj+atrb+++=resident
artist ^nn++++=artist
in ^cs+sub+++=in
that ^cs"++++=that
line ^nn++++=line.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
own ^ap++++=own
monument ^nn+nom+++=monument,
, ^zz++++=EXTRAWORD
recording ^vbg+vpub++xvbg+=recording
his ^pp$+pp3+++=his
decease ^nn++++=decease
by ^in++++=by
starvation ^nn+nom+++=starvation,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
probably ^rb++++=probably
be ^vb+be+vrb++=be
an ^at++++=an
early ^jj+atrb+++=early
specimen ^nn++++=specimen
of ^in++++=of
his ^pp$+pp3+++=his
skill ^nn++++=skill.
. ^zz++++=EXTRAWORD
Gravestones ^nns++++=Gravestones,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
generally ^rb+down+splt++=generally
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
article ^nn++++=article
of ^in++++=of
imported ^jj+atrb++xvbn+=imported
merchandise ^nn++++=merchandise.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
walks ^nns++++=walks
through ^in++++=through
the ^ati++++=the
burial ^nn++++=burial-ground
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
of ^in++++=of
Edgartown ^np+++??+=Edgartown
where ^wrb+who+++=where
the ^ati++++=the
dead ^jj++++=dead
have ^vb+hv+aux++=have
lain ^vprf+++xvbn+=lain
so ^ql++++=so
long ^rb++++=long
that ^dt+dem+++=that
the ^ati++++=the
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
enriched ^vpsv++by+xvbn+=enriched
by ^in++++=by
their ^pp$+pp3+++=their
decay ^nn++++=decay,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
returned ^vprf+++xvbnx+=returned
to ^in++++=to
its ^pp$+it+++=its
original ^jj+atrb+++=original
barrenness ^nns+nom+++=barrenness
in ^cs+sub+++=in
that ^cs"++++=that
ancient ^jj+atrb+++=ancient
burial ^nn++++=burial-ground
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
much ^ap++++=much
variety ^nn++++=variety
of ^in++++=of
monumental ^jj+atrb+++=monumental
sculpture ^nn++++=sculpture.
. ^zz++++=EXTRAWORD
The ^ati++++=The
elder ^jjr+atrb+++=elder
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
dated ^jj++++=dated
a ^at++++=a
century ^nn++++=century
back ^jjb++++=back
or ^cc++++=or
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
borders ^nns+nom+++=borders
elaborately ^rb++++=elaborately
carved ^vbd+++xvbn+=carved
with ^in++++=with
flowers ^nns+nom+++=flowers
and ^cc++++=and
are ^vb+ber+aux++=are
adorned ^vpsv++agls+xvbnx+=adorned
with ^in++++=with
a ^at++++=a
multiplicity ^nn+nom+++=multiplicity
of ^in++++=of
death ^nn++++=death's-heads,
's-heads, ^nn+++??+=EXTRAWORD
crossbones ^nns++++=crossbones,
, ^zz++++=EXTRAWORD
scythes ^nns+++??+=scythes,
, ^zz++++=EXTRAWORD
hour ^nn++++=hour-glasses,
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
lugubrious ^jj+atrb+++=lugubrious
emblems ^nns++++=emblems
of ^in++++=of
mortality ^nn+nom+++=mortality,
, ^zz++++=EXTRAWORD
with ^in++++=with
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
a ^at++++=a
winged ^jj+atrb+++=winged
cherub ^nn+++??+=cherub
to ^to++++=to
direct ^vbi+vpub+++=direct
the ^ati++++=the
mourner ^jjr+atrb+++=mourner's
's ^vbz+bez+vrb++0=EXTRAWORD
spirit ^nn++++=spirit
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
productions ^nns+nom+++=productions
of ^in++++=of
Gothic ^jj+atrb+++=Gothic
taste ^nn++++=taste
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
quite ^rb++++=quite
beyond ^in++++=beyond
the ^ati++++=the
colonial ^jj+atrb+++=colonial
skill ^nn++++=skill
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
probably ^rb++splt++=probably
carved ^vpsv++agls+xvbnx+=carved
in ^in++++=in
London ^np++++=London
and ^cc++++=and
brought ^vpsv++agls+xvbn+=brought
across ^in+pl+++=across
the ^ati++++=the
ocean ^nn++++=ocean
to ^to++++=to
commemorate ^nn+nom+++=commemorate
the ^ati++++=the
defunct ^nn+++??+=defunct
worthies ^nns++++=worthies
of ^in++++=of
this ^dt+dem+++=this
lonely ^jj+atrb+++=lonely
isle ^nn++++=isle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
more ^rbr++++=more
recent ^jj+atrb+++=recent
monuments ^nns+nom+++=monuments
are ^vb+ber+vrb++=are
mere ^jjb+atrb+++=mere
slabs ^nns++++=slabs
of ^in++++=of
slate ^nn++++=slate
in ^in++++=in
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
style ^nn++++=style,
, ^zz++++=EXTRAWORD
without ^in++++=without
any ^dti++++=any
superfluous ^jj+atrb+++=superfluous
flourishes ^nns+++??+=flourishes
to ^to++++=to
set ^vbi++++=set
off ^rb+phrv+++=off
the ^ati++++=the
bald ^jj+atrb+++=bald
inscriptions ^nns+nom+++=inscriptions.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
others ^aps++++=others
and ^cc++++=and
those ^dt+dem+++=those
far ^rb+pl+++=far
the ^ati++++=the
most ^ql+emph+++=most
impressive ^jj++++=impressive
both ^abx++++=both
to ^in++++=to
my ^pp$+pp1+++=my
taste ^nn++++=taste
and ^cc++++=and
feelings ^nns+nom+++=feelings
were ^vbd+bed+aux++=were
roughly ^rb+down+splt++=roughly
hewn ^vpsv++agls+xvbnx+=hewn
from ^in++++=from
the ^ati++++=the
gray ^np++++=gray
rocks ^nns++++=rocks
of ^in++++=of
the ^ati++++=the
island ^nn++++=island,
, ^zz++++=EXTRAWORD
evidently ^rb++++=evidently
by ^in++++=by
the ^ati++++=the
unskilled ^jj+atrb+++=unskilled
hands ^nns++++=hands
of ^in++++=of
surviving ^xvbg+++xvbg+=surviving
friends ^nns++++=friends
and ^cc++++=and
relatives ^nns++++=relatives.
. ^zz++++=EXTRAWORD
On ^in++++=On
some ^dti++++=some
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
merely ^rb+down+++=merely
the ^ati++++=the
initials ^nns+nom+++=initials
of ^in++++=of
a ^at++++=a
name ^nn++++=name;
; ^zz++++=EXTRAWORD
some ^dti++++=some
were ^vbd+bed+aux++=were
inscribed ^vpsv++agls+xvbnx+=inscribed
with ^in++++=with
misspelt ^jj+atrb++xvbn+=misspelt
prose ^nn++++=prose
or ^cc++++=or
rhyme ^nn++++=rhyme,
, ^zz++++=EXTRAWORD
in ^in++++=in
deep ^jj+atrb+++=deep
letters ^nns+nom+++=letters
which ^whp+rel+obj++=which
the ^ati++++=the
moss ^np++++=moss
and ^cc++++=and
wintry ^jj+atrb+++=wintry
rain ^nn++++=rain
of ^in++++=of
many ^ap++++=many
years ^nns++++=years
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
obliterate ^nn+nom+++=obliterate.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
graves ^np++++=graves
where ^wrb+who+++=where
loved ^vprf+++xvbn+=loved
ones ^cd1s++++=ones
slept ^vbd+++xvbn+=slept.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
an ^at++++=an
old ^jj+atrb+++=old
theme ^nn++++=theme
of ^in++++=of
satire ^nn++++=satire,
, ^zz++++=EXTRAWORD
the ^ati++++=the
falsehood ^nn+nom+++=falsehood
and ^cc++++=and
vanity ^nn++++=vanity
of ^in++++=of
monumental ^jj+atrb+++=monumental
eulogies ^nns+++??+=eulogies;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
affection ^nn+nom+++=affection
and ^cc++++=and
sorrow ^nn++++=sorrow
grave ^nn++++=grave
the ^ati++++=the
letters ^nns+nom+++=letters
with ^in++++=with
their ^pp$+pp3+++=their
own ^ap++++=own
painful ^jj+atrb+++=painful
labor ^nn++++=labor,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
may ^md+pos+++=may
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
they ^pp3a+pp3+++=they
copy ^nn++++=copy
from ^in++++=from
the ^ati++++=the
record ^nn++++=record
on ^in++++=on
their ^pp$+pp3+++=their
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
acquaintance ^nn+nom+++=acquaintance
the ^ati++++=the
sculptor ^nn++++=sculptor
he ^pp3a+pp3+++=he
may ^md+pos+++=may
share ^vb++++=share
that ^dt+dem+++=that
title ^nn++++=title
with ^in++++=with
Greenough ^np+++??+=Greenough,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
the ^ati++++=the
dauber ^nn++++=dauber
of ^in++++=of
signs ^nns++++=signs
is ^vbz+bez+vrb++=is
a ^at++++=a
painter ^nn++++=painter
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
Raphael ^np++++=Raphael
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
a ^at++++=a
ready ^jj+atrb+++=ready
market ^nn++++=market
for ^in++++=for
all ^abn++++=all
his ^pp$+pp3+++=his
blank ^jj+atrb+++=blank
slabs ^nns++++=slabs
of ^in++++=of
marble ^nn++++=marble
and ^cc++++=and
full ^jj+atrb+++=full
occupation ^nn+nom+++=occupation
in ^in++++=in
lettering ^xvbg+++xvbg+=lettering
and ^cc++++=and
ornamenting ^xvbg+++xvbg+=ornamenting
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
elderly ^jj+atrb+++=elderly
man ^nn++++=man,
, ^zz++++=EXTRAWORD
a ^at++++=a
descendant ^nn+nom+++=descendant
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
Puritan ^jj+atrb+++=Puritan
family ^nn++++=family
of ^in++++=of
Wigglesworth ^np+++??+=Wigglesworth,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
certain ^jj+atrb+++=certain
simplicity ^nn+nom+++=simplicity
and ^cc++++=and
singleness ^nns+nom+++=singleness
both ^abx++++=both
of ^in++++=of
heart ^nn++++=heart
and ^cc++++=and
mind ^nn++++=mind
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
me ^pp1a+pp1+++=methinks,
think ^thin++++=EXTRAWORD
is ^vbz+bez+aux++=is
more ^rbr++splt++=more
rarely ^rb++++=rarely
found ^vbd+vprv++xvbn+=found
among ^in++++=among
us ^pp1o+pp1+++=us
Yankees ^nns+nom+++=Yankees
than ^in++++=than
in ^in++++=in
any ^dti++++=any
other ^ap++++=other
community ^nn+nom+++=community
of ^in++++=of
people ^nns++++=people.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
his ^pp$+pp3+++=his
gray ^np++++=gray
head ^jjb++++=head
and ^cc++++=and
wrinkled ^vwbn+++xvbn+=wrinkled
brow ^nn++++=brow,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
like ^in++++=like
a ^at++++=a
child ^nn++++=child
in ^in++++=in
all ^abn++++=all
matters ^nns+nom+++=matters
save ^vb++++=save
what ^wdt+who+++=what
had ^vb+hv+vrb++=had
some ^dti++++=some
reference ^nn+nom+++=reference
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
business ^nns+nom+++=business;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
my ^pp$+pp1+++=my
fancy ^vb+vprv+++=fancy
misled ^vbd+++xvbn+=misled
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
to ^in++++=to
view ^nn++++=view
mankind ^nn++++=mankind
in ^in++++=in
no ^at++++=no
other ^ap++++=other
relation ^nn+nom+++=relation
than ^in++++=than
as ^ql++++=as
people ^nns++++=people
in ^in++++=in
want ^nn++++=want
of ^in++++=of
tombstones ^nns+++??+=tombstones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
literary ^jj+atrb+++=literary
attainments ^nns+nom+++=attainments
evidently ^rb++++=evidently
comprehended ^jj+++xvbn+=comprehended
very ^ql+amp+++=very
little ^ap++++=little
either ^dtx++++=either
of ^in++++=of
prose ^nn++++=prose
of ^in++++=of
poetry ^nn++++=poetry
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
not ^xnot++not++=not
at ^in++++=at
one ^cd1++++=one
time ^nn++++=time
or ^cc++++=or
other ^ap++++=other
been ^jj+jj+aux+xvbn+=been
inscribed ^vpsv++agls+xvbnx+=inscribed
on ^in++++=on
slate ^nn++++=slate
or ^cc++++=or
marble ^nn++++=marble.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sole ^jjb+atrb+++=sole
task ^nn++++=task
and ^cc++++=and
office ^nn++++=office
among ^in++++=among
the ^ati++++=the
immortal ^jj+atrb+++=immortal
pilgrims ^nns++++=pilgrims
of ^in++++=of
the ^ati++++=the
tomb ^nn++++=tomb
the ^ati++++=the
duty ^nn++++=duty
for ^in++++=for
which ^whp+rel+pied++=which
Providence ^np+nom++??+=Providence
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
into ^in++++=into
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
with ^in++++=with
a ^at++++=a
chisel ^nn++++=chisel
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
to ^in++++=to
label ^nn++++=label
the ^ati++++=the
dead ^jj+atrb+++=dead
bodies ^nns++++=bodies,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
their ^pp$+pp3+++=their
names ^nns++++=names
should ^md+nec+++=should
be ^vb+be+aux++=be
forgotten ^vpsv++agls+xvbnx+=forgotten
at ^rb++++=at
the ^ati++++=the
resurrection ^nn+nom+++=resurrection.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
failed ^vprf+++xvbn+=failed,
, ^zz++++=EXTRAWORD
within ^in++++=within
a ^at++++=a
narrow ^jj+atrb+++=narrow
scope ^nn++++=scope,
, ^zz++++=EXTRAWORD
to ^to++++=to
gather ^vbi+vprv+++=gather
a ^ap++++=a
few ^ap"++++=few
sprigs ^nns+++??+=sprigs
of ^in++++=of
earthly ^jj++++=earthly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
than ^in++++=than
earthly ^jj++++=earthly,
, ^zz++++=EXTRAWORD
wisdom ^nn++++=wisdom
the ^ati++++=the
harvest ^nn++++=harvest
of ^in++++=of
many ^ap++++=many
a ^at++++=a
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
lugubrious ^jj++++=lugubrious
as ^ql++++=as
his ^pp$+pp3+++=his
calling ^nvbg+++xvbg+=calling
might ^md+pos+++=might
appear ^vb+seem+++=appear,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
as ^ql++++=as
cheerful ^jj++++=cheerful
an ^at++++=an
old ^jj+atrb+++=old
soul ^nn++++=soul
as ^in++++=as
health ^nn++++=health
and ^cc++++=and
integrity ^nn+nom+++=integrity
and ^cc++++=and
lack ^nn++++=lack
of ^in++++=of
care ^nn++++=care
could ^md+pos+++=could
make ^vb++++=make
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
used ^md"++pmd"++=used
to ^to++++=to
set ^jj+++xvbn+=set
to ^to+jcmp+++=to
work ^vb++++=work
upon ^in++++=upon
one ^cd1++++=one
sorrowful ^jj+atrb+++=sorrowful
inscription ^nn+nom+++=inscription
or ^cc++++=or
another ^dt++++=another
with ^in++++=with
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
spirit ^nn++++=spirit
which ^whp+rel+subj++=which
impels ^vbz++++=impels
a ^at++++=a
man ^nn++++=man
to ^to++++=to
sing ^vbi++++=sing
at ^in++++=at
his ^pp$+pp3+++=his
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
whole ^nn++++=whole,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth
an ^at++++=an
entertaining ^nvbg+++xvbg+=entertaining,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
instructive ^jj++++=instructive,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
an ^at++++=an
interesting ^jj++++=interesting,
, ^zz++++=EXTRAWORD
character ^nn+nom+++=character;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
for ^in++++=for
the ^ati++++=the
charm ^nn++++=charm
of ^in++++=of
his ^pp$+pp3+++=his
society ^nn++++=society,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
more ^ql++++=more
because ^cs+cos+++=because
his ^pp$+pp3+++=his
work ^nn++++=work
has ^vbz+hvz+vrb++=has
an ^at++++=an
invariable ^jj+atrb+++=invariable
attraction ^nn+nom+++=attraction
for ^in++++=for
" ^zz++++="man
man ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
born ^vpsv++agls+xvbnx+=born
of ^in++++=of
woman ^nn++++=woman,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
accustomed ^vpsv++agls+xvbnx+=accustomed
to ^to++++=to
spend ^vbi++++=spend
some ^dti++++=some
hours ^nns++++=hours
a ^at++++=a
day ^nn++++=day
at ^rb++++=at
his ^pp$+pp3+++=his
workshop ^nn++++=workshop.
. ^zz++++=EXTRAWORD
The ^ati++++=The
quaintness ^nns+nom+++=quaintness
of ^in++++=of
his ^pp$+pp3+++=his
remarks ^nns++++=remarks
and ^cc++++=and
their ^pp$+pp3+++=their
not ^xnot++not++=not
infrequent ^jj+atrb+++=infrequent
truth ^nn++++=truth
a ^at++++=a
truth ^nn++++=truth
condensed ^vwbn+++xvbn+=condensed
and ^cc+phrs+++=and
pointed ^vwbn+++xvbn+=pointed
by ^in++++=by
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
sphere ^nn++++=sphere
of ^in++++=of
his ^pp$+pp3+++=his
view ^nn++++=view
gave ^vbd+++xvbn+=gave
a ^at++++=a
raciness ^nns+nom+++=raciness
to ^in++++=to
his ^pp$+pp3+++=his
talk ^nn++++=talk
which ^whp+rel+obj++=which
mere ^jjb+atrb+++=mere
worldliness ^nns+nom+++=worldliness
and ^cc++++=and
general ^jj+atrb+++=general
cultivation ^nn+nom+++=cultivation
would ^md+prd+++=would
at ^rb++++=at
once ^rb"+tm+++=once
have ^vb+hv+aux++=have
destroyed ^vprf+++xvbnx+=destroyed.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
we ^pp1a+pp1+++=we
would ^md+prd+++=would
discuss ^vb++++=discuss
the ^ati++++=the
respective ^jj+atrb+++=respective
merits ^nns++++=merits
of ^in++++=of
the ^ati++++=the
various ^jj+atrb+++=various
qualities ^nns+nom+++=qualities
of ^in++++=of
marble ^nn++++=marble,
, ^zz++++=EXTRAWORD
numerous ^jj+atrb+++=numerous
slabs ^nns++++=slabs
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+aux++=were
resting ^vbg+++xvbgx+=resting
against ^in++++=against
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
sometimes ^rb++++=sometimes
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
two ^cd++++=two
would ^md+prd+++=would
pass ^vb++++=pass
quietly ^rb++++=quietly
without ^in++++=without
a ^at++++=a
word ^nn++++=word
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
how ^wrb+who+++=how
neatly ^rb++++=neatly
his ^pp$+pp3+++=his
chisel ^nn++++=chisel
struck ^vbd+++xvbn+=struck
out ^rp+pl+++=out
letter ^nn++++=letter
after ^in++++=after
letter ^nn++++=letter
of ^in++++=of
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
Nortons ^np+++??+=Nortons,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Mayhews ^np+++??+=Mayhews,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Luces ^np+++??+=Luces,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Daggets ^np+++??+=Daggets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
immemorial ^jj+atrb+++=immemorial
families ^nns++++=families
of ^in++++=of
the ^ati++++=the
Vineyard ^nn++++=Vineyard.
. ^zz++++=EXTRAWORD
Often ^rb++++=Often
with ^in++++=with
an ^at++++=an
artist ^nn++++=artist's
's ^$++++=EXTRAWORD
pride ^nn++++=pride
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
sculptor ^nn++++=sculptor
would ^md+prd+++=would
speak ^vb++++=speak
of ^in++++=of
favorite ^jj+atrb+++=favorite
productions ^nns+nom+++=productions
of ^in++++=of
his ^pp$+pp3+++=his
skill ^nn++++=skill
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
scattered ^vpsv++agls+xvbnx+=scattered
throughout ^in++++=throughout
