[ ^zz++++=[The
: ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married
to ^in++++=to
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
that ^tht+rel+subj++=that
owned ^vbd+++xvbn+=owned
this ^dt+dem+++=this
very ^ql+amp+++=very
farm ^npl++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lived ^vpsv++agls+xvbn+=lived
in ^in++++=in
this ^dt+dem+++=this
very ^ql+amp+++=very
house ^npl++++=house;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twice ^rb++++=twice
a ^at++++=a
week ^nn++++=week
she ^pp3a+pp3+++=she
would ^md+prd+++=would
drive ^vb++++=drive
over ^in++++=over
to ^in++++=to
the ^ati++++=the
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
market ^nn++++=market
that ^tht+rel+subj++=that
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi+vbi+aux++=be
held ^vwbn+vprv++xvbn+=held
there ^rn+pl+++=there
every ^at++++=every
day ^nn++++=day
from ^in++++=from
before ^in++++=before
noon ^nn++++=noon
till ^cs+sub+++=till
nightfall ^nn+++??+=nightfall.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
drove ^vbd+++xvbn+=drove
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
oftener ^rbr++++=oftener
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
herself ^ppl+pp3+++=herself
very ^ql+amp+++=very
well ^rb++++=well.
. ^zz++++=EXTRAWORD
' ^zz++++='She
she ^pp3a+pp3+++=EXTRAWORD
sold ^vbd+++xvbnx+=sold
poultry ^nn++++=poultry
and ^cc++++=and
pork ^nn++++=pork,
, ^zz++++=EXTRAWORD
eggs ^nns++++=eggs
and ^cc++++=and
butter ^nn++++=butter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vegetables ^nns++++=vegetables;
; ^zz++++=EXTRAWORD
lard ^nn+++??+=lard
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
with ^in++++=with
other ^ap++++=other
odds ^nns++++=odds
and ^cc++++=and
ends ^nns++++=ends.
. ^zz++++=EXTRAWORD
( ^zz++++=(The
the ^ati++++=EXTRAWORD
prisoners ^nns+nom+++=prisoners
used ^vwbn+++xvbn+=used
the ^ati++++=the
straw ^nn++++=straw
for ^in++++=for
plaiting ^xvbg+++xvbg+=plaiting
bonnets ^nns+++??+=bonnets.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Scores ^nns++++=Scores
of ^in++++=of
salesmen ^nns++++=salesmen
used ^md"++pmd"++=used
to ^to++++=to
travel ^vb++++=travel
to ^in++++=to
the ^ati++++=the
prison ^nn++++=prison
every ^at++++=every
day ^nn++++=day,
, ^zz++++=EXTRAWORD
from ^in++++=from
Tavistock ^np+++??+=Tavistock,
, ^zz++++=EXTRAWORD
Okehampton ^np+++??+=Okehampton,
, ^zz++++=EXTRAWORD
Moreton ^np+++??+=Moreton,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
around ^rp++++=around
the ^ati++++=the
Moor ^npl++++=Moor:
: ^zz++++=EXTRAWORD
Jews ^nn++++=Jews,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
from ^in++++=from
Plymouth ^np++++=Plymouth,
, ^zz++++=EXTRAWORD
with ^in++++=with
slop ^nn++++=slop-clothing.
- ^zz++++=EXTRAWORD
clothing ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
all ^abn++++=all
this ^dt+dem+++=this
crowd ^nn++++=crowd
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother
held ^vbd+vprv+tht0+xvbn+=held
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
The ^ati++++=The
turnkeys ^nns+++??+=turnkeys
knew ^vbd+vprv+tht0+xvbn+=knew
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
the ^ati++++=the
prisoners ^nns+nom+++=prisoners
liked ^vbd+++xvbn+=liked
her ^pp$+pp3+++=her
for ^in++++=for
her ^pp$+pp3+++=her
good ^jj+atrb+++=good
looks ^nns++++=looks
and ^cc++++=and
good ^jj+atrb+++=good
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
always ^rb++++=always
dealt ^vbd+++xvbn+=dealt
fair ^jj++++=fair;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
agent ^nn++++=agent
( ^zz++++=(as
as ^ql++++=EXTRAWORD
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
the ^ati++++=the
governor ^nn++++=governor
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days)
) ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
orders ^vb++++=orders
to ^to+vcmp+++=to
set ^vbi++++=set
aside ^rb+phrv+++=aside
a ^at++++=a
table ^nn++++=table
and ^cc++++=and
trestles ^nns++++=trestles
for ^in++++=for
her ^pp$+pp3+++=her
twice ^rb++++=twice
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
close ^jj++++=close
inside ^jjb++++=inside
the ^ati++++=the
entrance ^nn+nom+++=entrance
of ^in++++=of
the ^ati++++=the
market ^nn++++=market
square ^nn++++=square,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
where ^wrb+who+++=where
the ^ati++++=the
bettermost ^nn+++??+=bettermost
French ^jj+atrb+++=French
prisoners ^nns+nom+++=prisoners
lived ^vbd+++xvbn+=lived
in ^in++++=in
a ^at++++=a
building ^jj+++xvbg+=building
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
the ^ati++++=the
Petty ^jj+atrb+++=Petty
Caution ^nn+nom+++=Caution.
. ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
many ^ap++++=many
a ^at++++=a
time ^nn++++=time
her ^pp$+pp3+++=her
heart ^nn++++=heart
melted ^vbd+++xvbn+=melted
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
always ^rb++++=always
very ^ql+amp+++=very
careful ^jj++++=careful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
it ^pp3+it+++=it
be ^vb+be+aux++=be
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
never ^rb++++=never
smuggled ^xvbn+++xvbn+=smuggled
tobacco ^nn++++=tobacco
or ^cc++++=or
messages ^nns+nom+++=messages
even ^rb++++=even
for ^in++++=for
her ^pp$+pp3+++=her
best ^jjt+atrb+++=best
customers ^nns+nom+++=customers.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
to ^to+vcmp+++=to
understand ^vbi+vprv+tht0++=understand
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(though
though ^cs+sub+++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
queer ^jj++++=queer)
) ^zz++++=EXTRAWORD
liked ^vbd+++xvbn+=liked
her ^pp$+pp3+++=her
none ^pn++++=none
the ^ati++++=the
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
part ^nn++++=part,
, ^zz++++=EXTRAWORD
trusted ^j+++xvbn+=trusted
her ^pp$+pp3+++=her--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
the ^ati++++=the
turnkeys ^nns+++??+=turnkeys
and ^cc++++=and
the ^ati++++=the
military ^jj+atrb+++=military
officials ^nns+nom+++=officials--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
respect ^nn++++=respect
her ^pp3o+pp3+++=her
the ^ati++++=the
less ^ql++++=less
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
never ^rb++++=never
told ^vbd+vpub++xvbn+=told
tales ^nns++++=tales,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
she ^pp3a+pp3+++=she
might ^md+pos+++=might
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told
many ^ap++++=many.
. ^zz++++=EXTRAWORD
' ^zz++++='This
this ^dt+pdem+++=EXTRAWORD
went ^vbd+++xvbn+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
staid ^jj++++=staid
and ^cc+phrs+++=and
regular ^jj++++=regular,
, ^zz++++=EXTRAWORD
for ^in++++=for
close ^nn++++=close
upon ^in++++=upon
three ^cd++++=three
years ^nns++++=years;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
fine ^jj+atrb+++=fine
October ^nr++++=October
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother,
, ^zz++++=EXTRAWORD
after ^in++++=after
reaching ^xvbg+++xvbg+=reaching
home ^nr++++=home
with ^in++++=with
her ^pp$+pp3+++=her
little ^ap++++=little
cart ^np++++=cart,
, ^zz++++=EXTRAWORD
unharnessing ^jj+++xvbg+=unharnessing
and ^cc++++=and
bedding ^nn++++=bedding
up ^rp++++=up
the ^ati++++=the
donkey ^nn++++=donkey
in ^in++++=in
his ^pp$+pp3+++=his
stable ^nn++++=stable,
, ^zz++++=EXTRAWORD
walked ^j+++xvbn+=walked
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
orchard ^nn++++=orchard,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
over ^in++++=over
his ^pp$+pp3+++=his
cider ^nn++++=cider
apples ^nns++++=apples,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
to ^in++++=to
him,- ^nn+++??+=him,-'"William,
'"william, ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
a ^at++++=a-done
- ^zz++++=EXTRAWORD
done ^vprf+++xvbn+=EXTRAWORD
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
deed ^nn++++=deed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='My
my ^pp$+pp1+++=EXTRAWORD
grandfather ^nn+nom+++=grandfather
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rubbed ^vbd+++xvbn+=rubbed
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
Lord ^npt++++=Lord!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='"I've
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
helped ^vprf+++xvbnx+=helped
a ^at++++=a
prisoner ^nn+nom+++=prisoner
to ^to++++=to
escape ^vbi++++=escape,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
