Seven ^cd++++=SEVEN
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
on ^in++++=on
that ^dt+pdem+++=that
long ^rb++++=long
remembered ^vbd+vprv++xvbn+=remembered
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
sunlight ^nn++++=sunlight
died ^vbd+++xvbn+=died
on ^in++++=on
the ^ati++++=the
burnished ^vwbn+++xvbn+=burnished
brown ^jj++++=brown
of ^in++++=of
the ^ati++++=the
horse ^nn++++=horse-chestnuts
- ^zz++++=EXTRAWORD
chestnuts ^nns++++=EXTRAWORD
below ^in+pl+++=below
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
a ^at++++=a
perceptible ^jj+atrb+++=perceptible
dullness ^nns+nom+++=dullness
yawned ^vbd+++xvbn+=yawned
through ^in++++=through
our ^pp$+pp1+++=our
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
low ^jj++++=low
in ^in++++=in
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
for ^in++++=for
one ^pn++++=one
of ^in++++=of
our ^pp$+pp1+++=our
number ^nn++++=number,
, ^zz++++=EXTRAWORD
Charley ^np++++=Charley
Bentley ^np++++=Bentley,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
leaving ^vbg+++xvbgx+=leaving
us ^pp1o+pp1+++=us
indefinitely ^rb+cnj+++=indefinitely,
, ^zz++++=EXTRAWORD
in ^in++++=in
response ^nn++++=response
to ^in++++=to
an ^at++++=an
imperative ^jj+atrb+++=imperative
summons ^nn++++=summons
from ^in++++=from
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Tomorrow ^nr+tm+++=To-morrow
his ^pp$+pp3+++=his
studio ^nn++++=studio,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
across ^in+pl+++=across
the ^ati++++=the
hall ^nn++++=hall
from ^in++++=from
Hartwell ^np+++??+=Hartwell's,
's, ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
to ^to++++=to
pass ^vbi++++=pass
into ^in++++=into
other ^ap++++=other
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bentley ^np++++=Bentley's
's ^$++++=EXTRAWORD
luggage ^nn+nom+++=luggage
was ^vbd+bedz+aux++=was
even ^rb++splt++=even
now ^rn+tm+++=now
piled ^vbd+++xvbn+=piled
in ^in++++=in
discouraged ^jj+atrb++xvbn+=discouraged
resignation ^nn+nom+++=resignation
before ^in++++=before
his ^pp$+pp3+++=his
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
various ^jj+atrb+++=various
bales ^nns++++=bales
and ^cc++++=and
boxes ^vbz++++=boxes
seemed ^vprf+++xvbn+=seemed
literally ^rb++++=literally
to ^to++++=to
weigh ^vbi++++=weigh
upon ^in++++=upon
us ^pp1o+pp1+++=us
as ^ql++++=as
we ^pp1a+pp1+++=we
sat ^vbd+++xvbn+=sat
in ^in++++=in
his ^pp$+pp3+++=his
neighbor ^nn++++=neighbor's
's ^vbz+bez+vrb++0=EXTRAWORD
hospitable ^jj+atrb+++=hospitable
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
drearily ^rb++++=drearily
putting ^jj+++xvbg+=putting
in ^in++++=in
the ^ati++++=the
time ^nn++++=time
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
should ^md+nec+++=should
leave ^vb++++=leave
us ^pp1o+pp1+++=us
to ^to++++=to
catch ^vbi++++=catch
the ^ati++++=the
ten ^cd++++=ten
o'clock ^rb++++=o'clock
express ^jjb++++=express
for ^in++++=for
Dieppe ^np+++??+=Dieppe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
through ^in++++=through
very ^ql+amp+++=very
comfortably ^rb+cnj+++=comfortably,
, ^zz++++=EXTRAWORD
for ^in++++=for
Bentley ^np++++=Bentley
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
the ^ati++++=the
occasion ^nn++++=occasion
of ^in++++=of
a ^at++++=a
somewhat ^rb+down+++=somewhat
pretentious ^jj+atrb+++=pretentious
luncheon ^nn++++=luncheon
at ^rb++++=at
Maxim ^nn++++=Maxim's.
's. ^nn+++??+=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
twelve ^cd++++=twelve
of ^in++++=of
us ^pp1o+pp1+++=us
at ^in++++=at
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
two ^cd++++=two
young ^jj+atrb+++=young
Poles ^nn++++=Poles
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
thirsty ^jj++++=thirsty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Gascon ^np+++??+=Gascon
so ^ql+emph+++=so
fabulously ^jj+atrb+++=fabulously
entertaining ^nvbg+++xvbg+=entertaining,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
upon ^in++++=upon
five ^cd++++=five
o'clock ^rb++++=o'clock
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
put ^vbd+++xvbn+=put
down ^rb+phrv+++=down
our ^pp$+pp1+++=our
liqueur ^nn++++=liqueur
glasses ^nns++++=glasses
for ^in++++=for
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
red ^jj++++=red,
, ^zz++++=EXTRAWORD
perspiring ^vbg+++xvbg+=perspiring
waiter ^nn++++=waiter,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
pocketed ^vprf+++xvbn+=pocketed
the ^ati++++=the
reward ^nn++++=reward
of ^in++++=of
his ^pp$+pp3+++=his
arduous ^jj+atrb+++=arduous
and ^cc+phrs+++=and
protracted ^jj+atrb+++=protracted
services ^nns++++=services,
, ^zz++++=EXTRAWORD
bowed ^j+++xvbn+=bowed
us ^pp1o+pp1+++=us
affably ^rb++++=affably
to ^in++++=to
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
flourishing ^jj++++=flourishing
his ^pp$+pp3+++=his
napkin ^nn++++=napkin
and ^cc++++=and
brushing ^vbg+++xvbg+=brushing
back ^jjb++++=back
the ^ati++++=the
streaks ^nns++++=streaks
of ^in++++=of
wet ^nn++++=wet,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
hair ^nn++++=hair
from ^in++++=from
his ^pp$+pp3+++=his
rosy ^jj+atrb+++=rosy
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
guests ^nns++++=guests
having ^xvbg+++xvbg+=having
betaken ^vprf+++xvbn+=betaken
themselves ^ppls+pp3+++=themselves
belated ^jj++++=belated
to ^in++++=to
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
engagements ^nns+nom+++=engagements,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us
returned ^vbd+++xvbn+=returned
with ^in++++=with
Bentley ^np++++=Bentley
only ^rb+down+++=only
to ^to++++=to
be ^vbi+vbi+aux++=be
confronted ^vpsv++by+xvbnx+=confronted
by ^in++++=by
the ^ati++++=the
depressing ^jj+atrb++xvbg+=depressing
array ^nn++++=array
before ^in++++=before
his ^pp$+pp3+++=his
door ^nn++++=door.
. ^zz++++=EXTRAWORD
A ^at++++=A
glance ^nn++++=glance
about ^in++++=about
his ^pp$+pp3+++=his
denuded ^xvbn+++xvbn+=denuded
rooms ^nns++++=rooms
had ^vbd+hvd+aux++=had
sufficed ^vprf+++xvbnx+=sufficed
to ^to++++=to
chill ^vbi++++=chill
the ^ati++++=the
glow ^nn++++=glow
of ^in++++=of
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
fled ^vbd+++xvbn+=fled
across ^in+pl+++=across
the ^ati++++=the
hall ^nn++++=hall
in ^in++++=in
a ^at++++=a
body ^nn++++=body
and ^cc++++=and
begged ^vbd+++xvbn+=begged
Lyon ^np+++??+=Lyon
Hartwell ^np+++??+=Hartwell
to ^to++++=to
take ^vbi++++=take
us ^pp1o+pp1+++=us
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Bentley ^np++++=Bentley
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
very ^ql+amp+++=very
little ^ap++++=little
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
all ^rb++++=all
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi+vbi+aux++=be
called ^vpsv++agls+xvbnx+=called
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
of ^in++++=of
us ^pp1o+pp1+++=us
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
would ^md+prd+++=would
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
something ^pn++++=something
of ^in++++=of
that ^cs+sub+++=that
quickened ^vprf+++xvbn+=quickened
sense ^nn++++=sense
of ^in++++=of
opportunity ^nn+nom+++=opportunity
which ^whp+rel+subj++=which
comes ^vbz++++=comes
at ^rb++++=at
seeing ^vbg+vprv++xvbg+=seeing
another ^dt++++=another
man ^nn++++=man
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
counted ^vbd+++xvbn+=counted
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
race ^nn++++=race.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
had ^vb+hv+vrb++=had
the ^ati++++=the
game ^nn++++=game
seemed ^vbd+seem++xvbn+=seemed
so ^ql+emph+++=so
enchanting ^jj++++=enchanting,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chance ^nn++++=chance
to ^to+ncmp+++=to
play ^vbi++++=play
it ^pp3+it+++=it
such ^abl++++=such
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
unmerited ^jj++++=unmerited,
, ^zz++++=EXTRAWORD
unbelievable ^jj+atrb+++=unbelievable
good ^jj+atrb+++=good
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
October ^nr++++=October,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
the ^ati++++=the
sycamores ^nns+++??+=sycamores
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
bare ^jj+pred+++=bare
in ^in++++=in
the ^ati++++=the
Luxembourg ^np++++=Luxembourg
Gardens ^nns++++=Gardens
that ^tht+rel+obj++=that
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
terraces ^nns++++=terraces
about ^in++++=about
the ^ati++++=the
queens ^nns++++=queens
of ^in++++=of
France ^np++++=France
were ^vbd+bed+aux++=were
strewn ^vpsv++agls+xvbnx+=strewn
with ^in++++=with
crackling ^nn+nom+++=crackling
brown ^jj+atrb+++=brown
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fat ^nn++++=fat
red ^jj+atrb+++=red
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
the ^ati++++=the
summer ^nn++++=summer
long ^rb++++=long
on ^in++++=on
the ^ati++++=the
stand ^nn++++=stand
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
flower ^nn++++=flower
woman ^nn++++=woman
at ^in++++=at
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
place ^nn++++=place
to ^in++++=to
dahlias ^nns++++=dahlias
and ^cc++++=and
purple ^jj+atrb+++=purple
asters ^nn++++=asters.
. ^zz++++=EXTRAWORD
First ^rb++++=First
glimpses ^nns++++=glimpses
of ^in++++=of
autumn ^nn++++=autumn
toilettes ^nns+nom++??+=toilettes
flashed ^vbd+++xvbn+=flashed
from ^in++++=from
the ^ati++++=the
carriages ^nns+nom+++=carriages;
; ^zz++++=EXTRAWORD
wonderful ^jj++++=wonderful
little ^ap++++=little
bonnets ^nns+++??+=bonnets
nodded ^vbd+++xvbn+=nodded
at ^in++++=at
one ^pn++++=one
along ^in++++=along
the ^ati++++=the
Champs ^np++++=Champs-Elys
- ^zz++++=EXTRAWORD
elys ^nns+++??+=EXTRAWORD
es ^&fw++++=es;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
Quarter ^nn++++=Quarter
an ^at++++=an
occasional ^jj+atrb+++=occasional
feather ^nn++++=feather
boa ^nn+++??+=boa,
, ^zz++++=EXTRAWORD
red ^jj++++=red
or ^cc+phrs+++=or
black ^jj++++=black
or ^cc+phrs+++=or
white ^jj+atrb+++=white,
, ^zz++++=EXTRAWORD
brushed ^jj+atrb++xvbn+=brushed
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
coat ^nn++++=coat
sleeve ^nn++++=sleeve
in ^in++++=in
the ^ati++++=the
gay ^jj+atrb+++=gay
twilight ^nn++++=twilight
of ^in++++=of
the ^ati++++=the
early ^jj+atrb+++=early
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crisp ^jj+atrb+++=crisp,
, ^zz++++=EXTRAWORD
sunny ^jj+atrb+++=sunny
autumn ^nn++++=autumn
air ^nn++++=air
was ^vbd+bedz+vrb++=was
all ^abn++++=all
day ^nn++++=day
full ^jj++++=full
of ^in++++=of
the ^ati++++=the
stir ^nn++++=stir
of ^in++++=of
people ^nns++++=people
and ^cc++++=and
carriages ^nns+nom+++=carriages
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
cheer ^nn++++=cheer
of ^in++++=of
salutations ^nns+nom+++=salutations;
; ^zz++++=EXTRAWORD
greetings ^nns++++=greetings
of ^in++++=of
the ^ati++++=the
students ^nns++++=students,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
brown ^jj++++=brown
and ^cc+phrs+++=and
bearded ^jj++++=bearded
from ^in++++=from
their ^pp$+pp3+++=their
holiday ^nn++++=holiday,
, ^zz++++=EXTRAWORD
gossip ^nn++++=gossip
of ^in++++=of
people ^nns++++=people
come ^vprf+++xvbn+=come
back ^jjb++++=back
from ^in++++=from
Trouville ^np+++??+=Trouville,
, ^zz++++=EXTRAWORD
from ^in++++=from
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Valery ^np+++??+=Valery,
, ^zz++++=EXTRAWORD
from ^in++++=from
Dieppe ^np+++??+=Dieppe,
, ^zz++++=EXTRAWORD
from ^in++++=from
all ^abn++++=all
over ^in++++=over
Brittany ^np++++=Brittany
and ^cc++++=and
the ^ati++++=the
Norman ^jj+atrb+++=Norman
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
Everywhere ^rb++++=Everywhere
was ^vbd+bedz+vrb++=was
the ^ati++++=the
joyousness ^nns+nom+++=joyousness
of ^in++++=of
return ^nn++++=return,
, ^zz++++=EXTRAWORD
the ^ati++++=the
taking ^jj+++xvbg+=taking
up ^rp++++=up
again ^rb+tm+++=again
of ^in++++=of
life ^nn++++=life
and ^cc++++=and
work ^nn++++=work
and ^cc++++=and
play ^nn++++=play.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
ever ^rb++++=ever
since ^cs+sub+++=since
early ^jj+atrb+++=early
morning ^nn++++=morning
that ^tht+rel+obj++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
saddest ^nn++++=saddest
of ^in++++=of
all ^rb++++=all
possible ^jj+atrb+++=possible
seasons ^nns++++=seasons
for ^in++++=for
saying ^xvbg+++xvbg+=saying
good ^jj++++=good-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
to ^in++++=to
that ^dt+dem+++=that
old ^jj+atrb+++=old,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
city ^nn++++=city
of ^in++++=of
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
that ^dt+dem+++=that
little ^ap++++=little
corner ^npl++++=corner
of ^in++++=of
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
south ^nr+pl+++=south
shore ^nn++++=shore
which ^whp+rel+obj++=which
since ^in++++=since
the ^ati++++=the
Dark ^jj+atrb+++=Dark
Ages ^nns++++=Ages
themselves ^ppls+pp3+++=themselves
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
peculiarly ^rb++++=peculiarly
the ^ati++++=the
land ^nn++++=land
of ^in++++=of
the ^ati++++=the
young ^nn++++=young.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
recall ^vb+vprv+tht0++=recall
our ^pp$+pp1+++=our
very ^ql+amp+++=very
postures ^nns++++=postures
as ^ql++++=as
we ^pp1a+pp1+++=we
lounged ^vbd+++xvbn+=lounged
about ^in++++=about
Hartwell ^np++++=Hartwell's
's ^$++++=EXTRAWORD
rooms ^nns++++=rooms
that ^tht+rel+obj++=that
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
with ^in++++=with
Bentley ^np++++=Bentley
making ^vwbg+++xvbg+=making
occasional ^jj+atrb+++=occasional
hurried ^jj+atrb++xvbn+=hurried
trips ^nns++++=trips
to ^in++++=to
his ^pp$+pp3+++=his
desolated ^jj+atrb++xvbn+=desolated
workrooms ^nns++++=workrooms
across ^in+pl+++=across
the ^ati++++=the
hall ^nn++++=hall
as ^cs+sub+++=as
if ^cs+cnd+++=if
haunted ^vpsv++by+xvbn+=haunted
by ^in++++=by
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
having ^nn+nn+aux++=having
forgotten ^vwbn+vprv+tht0+xvbn+=forgotten
something ^pn++++=something
or ^cc++++=or
stopping ^nvbg+++xvbg+=stopping
to ^to++++=to
poke ^vbi++++=poke
nervously ^rb++++=nervously
at ^in++++=at
his ^pp$+pp3+++=his
perroquets ^nns+++??+=perroquets,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
bequeathed ^vprf+++xvbnx+=bequeathed
to ^in++++=to
Hartwell ^np+++??+=Hartwell,
, ^zz++++=EXTRAWORD
gilt ^jj+atrb+++=gilt
cage ^nn++++=cage
and ^cc++++=and
all ^rb++++=all.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
host ^nn++++=host
himself ^ppl+pp3+++=himself
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
couch ^nn++++=couch,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
big ^jj++++=big,
, ^zz++++=EXTRAWORD
bronze ^jj++++=bronze-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
shoulders ^nns+nom+++=shoulders
backed ^vbd+++xvbn+=backed
up ^in+cmpx+++=up
against ^in"++++=against
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
shaggy ^jj+atrb+++=shaggy
head ^nn++++=head,
, ^zz++++=EXTRAWORD
beaked ^jj+atrb++xvbn+=beaked
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
long ^jj+atrb+++=long
chin ^nn++++=chin
cut ^vbd+++xvbn+=cut
clean ^jj++++=clean
against ^in++++=against
the ^ati++++=the
gray ^np++++=gray
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
drowsing ^jj+atrb++xvbg+=drowsing
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
so ^cs"++++=so
far ^cs"+pl+++=far
as ^cs"++++=as
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
fixed ^vpsv++agls+xvbnx+=fixed
upon ^in++++=upon
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
centered ^vpsv++agls+xvbnx+=centered
upon ^in++++=upon
Hartwell ^np++++=Hartwell's
's ^$++++=EXTRAWORD
new ^jj+atrb+++=new
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
block ^nn++++=block
ready ^jj++++=ready
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
cast ^vpsv++agls+xvbnx+=cast
in ^in++++=in
bronze ^nn++++=bronze,
, ^zz++++=EXTRAWORD
intended ^vpbn+vsua++xvbn+=intended
as ^ql++++=as
a ^at++++=a
monument ^nn+nom+++=monument
for ^in++++=for
some ^dti++++=some
American ^jj+atrb+++=American
battlefield ^nn++++=battlefield.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
it ^pp3+it+++=it
" ^zz++++="The
the ^ati++++=EXTRAWORD
Color ^np+++??+=Color
Sergeant ^nn+nom+++=Sergeant."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
soldier ^nn++++=soldier
running ^vwbg+++xvbg+=running,
, ^zz++++=EXTRAWORD
clutching ^vbg+++xvbg+=clutching
the ^ati++++=the
folds ^nns++++=folds
of ^in++++=of
a ^at++++=a
flag ^nn++++=flag,
