Johannes ^np+++??+=Johannes
be ^vbi++vrb++=be
a ^at++++=a
musical ^jj+atrb+++=musical
prodigy ^nn+++??+=prodigy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
three ^cd++++=three
years ^nns++++=years
old ^jj++++=old
he ^pp3a+pp3+++=he
would ^md+prd+++=would
steal ^vb++++=steal
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
where ^wrb+who+++=where
his ^pp$+pp3+++=his
father ^nn++++=father
was ^vbd+bedz+aux++=was
giving ^vbg+++xvbgx+=giving
a ^at++++=a
lesson ^nn++++=lesson
on ^in++++=on
the ^ati++++=the
harpsichord ^nn++++=harpsichord
to ^in++++=to
Anna ^np++++=Anna
( ^zz++++=(or
or ^cc++++=EXTRAWORD
" ^zz++++="Nannerl,"
nannerl ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
sister ^nn++++=sister
five ^cd++++=five
years ^nns++++=years
older ^jjr++++=older
than ^in++++=than
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
taught ^vbd+vsua++xvbn+=taught,
, ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang
would ^md+prd+++=would
listen ^vb++++=listen
and ^cc++++=and
watch ^nn++++=watch
with ^in++++=with
breathless ^jj+atrb+++=breathless
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
when ^wrb+who+++=when
the ^ati++++=the
lesson ^nn++++=lesson
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
begged ^vbd+++xvbnx+=begged
his ^pp$+pp3+++=his
father ^nn++++=father
to ^to++++=to
teach ^vbi+vsua+++=teach
him ^pp3o+pp3+++=him
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart
only ^rb+down+++=only
laughed ^vbd+++xvbn+=laughed
as ^ql++++=as
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
glancing ^vbg+++xvbg+=glancing
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
child ^nn++++=child's
's ^vbz+bez+vrb++0=EXTRAWORD
serious ^jj+atrb+++=serious
face ^nn++++=face
looking ^vwbg+++xvbg+=looking
so ^ql++++=so
intently ^rb++++=intently
into ^in++++=into
his ^pp$+pp3+++=his:
: ^zz++++=EXTRAWORD
" ^zz++++="Wait,
wait ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
art ^nn++++=art
but ^cc++++=but
a ^at++++=a
baby ^nn++++=baby
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait
awhile ^rb+cnj+++=awhile,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
Wolferl ^np+++??+=Wolferl!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
disappointed ^jj+++xvbn+=disappointed
little ^ap++++=little
musician ^nn++++=musician
crept ^vbd+++xvbn+=crept
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
Nannerl ^np+++??+=Nannerl
and ^cc++++=and
his ^pp$+pp3+++=his
father ^nn++++=father
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tiny ^jj++++=tiny
fellow ^jjb++++=fellow
crept ^vbd+++xvbn+=crept
back ^jjb++++=back
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^in++++=to
the ^ati++++=the
harpsichord ^nn++++=harpsichord
and ^cc++++=and
standing ^vbg+++xvbg+=standing
on ^in++++=on
tiptoe ^nn+++??+=tiptoe,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched
the ^ati++++=the
keys ^nns++++=keys
with ^in++++=with
his ^pp$+pp3+++=his
chubby ^jj+atrb+++=chubby
fingers ^nns+nom+++=fingers
stretched ^vwbn+++xvbn+=stretched
wide ^jj++++=wide
apart ^rp++++=apart
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
and ^cc+phrs+++=and
played ^vbd+++xvbn+=played
a ^at++++=a
perfect ^jj+atrb+++=perfect
chord ^nn++++=chord!
! ^zz++++=EXTRAWORD
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart
was ^vbd+bedz+vrb++=was
in ^in++++=in
another ^dt++++=another
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
sensitive ^jj+atrb+++=sensitive
ear ^nn++++=ear
caught ^vbd+++xvbn+=caught
the ^ati++++=the
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
rushed ^vbd+++xvbnx+=rushed
back ^jjb++++=back
to ^to++++=to
find ^vbi+vprv+tht0++=find
his ^pp$+pp3+++=his
baby ^nn++++=baby
on ^in++++=on
tiptoe ^nn+++??+=tiptoe
before ^in++++=before
the ^ati++++=the
harpsichord ^nn++++=harpsichord,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
the ^ati++++=the
first ^od++++=first
hint ^nn++++=hint
of ^in++++=of
his ^pp$+pp3+++=his
marvellous ^jj+atrb+++=marvellous
ability ^nn+nom+++=ability.
. ^zz++++=EXTRAWORD
At ^rb++++=At
once ^rb"+tm+++=once
the ^ati++++=the
proud ^jj+atrb+++=proud
and ^cc+phrs+++=and
excited ^jj+++xvbn+=excited
father ^npt++++=father
began ^vbd+++xvbn+=began
to ^to++++=to
give ^vbi++++=give
him ^pp3o+pp3+++=him
lessons ^nns++++=lessons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
from ^in++++=from
that ^dt+dem+++=that
day ^nn++++=day,
, ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
Nannerl ^np+++??+=Nannerl
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
lesson ^nn++++=lesson,
, ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang
perched ^vbd+++xvbn+=perched
on ^in++++=on
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vpsv++agls+xvbn+=listened
with ^in++++=with
rapt ^jj+atrb+++=rapt
absorption ^nn+nom+++=absorption,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
when ^wrb+who+++=when
the ^ati++++=the
lesson ^nn++++=lesson
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
repeat ^vb++++=repeat
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
in ^in++++=in
exact ^jj+atrb+++=exact
imitation ^nn+nom+++=imitation
of ^in++++=of
her ^pp$+pp3+++=her
manner ^nn++++=manner
of ^in++++=of
playing ^xvbg+++xvbg+=playing.
. ^zz++++=EXTRAWORD
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
himself ^ppl+pp3+++=himself
a ^at++++=a
talented ^jj+atrb+++=talented
musician ^nn++++=musician,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
with ^in++++=with
pride ^nn++++=pride
almost ^rb+hdg+++=almost
beyond ^in++++=beyond
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
both ^abx++++=both
of ^in++++=of
his ^pp$+pp3+++=his
children ^nns++++=children
inherited ^vbd+++xvbn+=inherited
his ^pp$+pp3+++=his
musical ^jj+atrb+++=musical
ability ^nn+nom+++=ability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
felt ^vprf+++xvbn+=felt
that ^tht+vcmp+++=that
Wolfgang ^np++++=Wolfgang
was ^vbd+bedz+vrb++=was
a ^at++++=a
genius ^nn++++=genius.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
four ^cd++++=four,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
to ^in++++=to
test ^nn++++=test
his ^pp$+pp3+++=his
powers ^nns++++=powers,
, ^zz++++=EXTRAWORD
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
teach ^vbi+vsua+++=teach
him ^pp3o+pp3+++=him
some ^dti++++=some
minuets ^nns++++=minuets
which ^whp+rel+obj++=which
to ^in++++=to
his ^pp$+pp3+++=his
perfect ^jj+atrb+++=perfect
astonishment ^nn+nom+++=astonishment,
, ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang
played ^vbd+++xvbn+=played
after ^in++++=after
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
most ^ql+emph+++=most
extraordinary ^jj+atrb+++=extraordinary
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
merely ^rb+down+++=merely
striking ^jj+++xvbg+=striking
the ^ati++++=the
notes ^nns++++=notes
correctly ^rb+cnj+++=correctly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
marking ^nvbg+++xvbg+=marking
the ^ati++++=the
rhythm ^nn++++=rhythm
with ^in++++=with
accurate ^jj+atrb+++=accurate
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
learn ^vbi+vprv+++=learn
and ^cc++++=and
play ^nn++++=play
each ^dt++++=each
minuet ^nn+++??+=minuet
the ^ati++++=the
little ^ap++++=little
fellow ^jjb++++=fellow
required ^jj+++xvbn+=required
only ^rb+down+++=only
half ^abn++++=half
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
five ^cd++++=five
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day
his ^pp$+pp3+++=his
father ^npt++++=father
entered ^vbd+++xvbn+=entered
the ^ati++++=the
sitting ^jj+++xvbg+=sitting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
their ^pp$+pp3+++=their
home ^nr++++=home
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
Wolfgang ^np++++=Wolfgang
bending ^vwbg+++xvbg+=bending
over ^in++++=over
a ^at++++=a
table ^nn++++=table,
, ^zz++++=EXTRAWORD
writing ^vbg+++xvbg+=writing
so ^ql++++=so
busily ^rb++++=busily
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+tht0++=hear
his ^pp$+pp3+++=his
father ^nn++++=father
enter ^vb++++=enter,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang's
's ^$++++=EXTRAWORD
chubby ^jj+atrb+++=chubby
little ^jj+atrb+++=little
hand ^nn++++=hand
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
pen ^nn++++=pen
awkwardly ^rb+cnj+++=awkwardly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
held ^vbd+vprv++xvbn+=held
it ^pp3+it+++=it
with ^in++++=with
firm ^jj+atrb+++=firm
determination ^nn+nom+++=determination
while ^cs+sub+++=while
it ^pp3+it+++=it
travelled ^vbd+++xvbn+=travelled
back ^jjb++++=back
and ^cc++++=and
forth ^np++++=forth
across ^in+pl+++=across
a ^at++++=a
large ^jj+atrb+++=large
sheet ^nn++++=sheet
of ^in++++=of
paper ^nn++++=paper
on ^in++++=on
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
scribbling ^nn+nom+++=scribbling
a ^at++++=a
strange ^jj+atrb+++=strange
collection ^nn+nom+++=collection
of ^in++++=of
hieroglyphics ^nns++++=hieroglyphics,
, ^zz++++=EXTRAWORD
with ^in++++=with
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
a ^at++++=a
huge ^jj+atrb+++=huge
blot ^nn++++=blot,
, ^zz++++=EXTRAWORD
testifying ^vbg+++xvbg+=testifying
to ^in++++=to
his ^pp$+pp3+++=his
haste ^nn++++=haste
and ^cc++++=and
inexperience ^nn+nom+++=inexperience
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
ink ^nn++++=ink.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father's
's ^$++++=EXTRAWORD
curiosity ^nn+nom+++=curiosity
finally ^rb++++=finally
overcame ^vbd+++xvbn+=overcame
him ^pp3o+pp3+++=him
and ^cc++++=and
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked:
: ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing,
, ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
curly ^jj+atrb+++=curly
head ^nn++++=head
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
with ^in++++=with
an ^at++++=an
impatient ^jj+atrb+++=impatient
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
composing ^vbg+++xvbgx+=composing
a ^at++++=a
concerto ^nn++++=concerto
for ^in++++=for
the ^ati++++=the
harpsichord ^nn++++=harpsichord.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
nearly ^rb+down+splt++=nearly
finished ^vprf+++xvbnx+=finished
the ^ati++++=the
first ^od++++=first
part ^nn++++=part."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
see ^vb+vprv+++=see
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
please ^uh++++=please,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
yet ^rb++++=yet
finished ^vprf+++xvbn+=finished."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
even ^rb++++=even
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eager ^jj+atrb+++=eager
father ^nn++++=father
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
up ^rb+phrv+++=up
the ^ati++++=the
paper ^nn++++=paper
and ^cc++++=and
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
over ^in++++=over
to ^to++++=to
where ^wrb+who+++=where
a ^at++++=a
friend ^nn++++=friend
stood ^vbd+++xvbn+=stood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
looked ^vbd+++xvbnx+=looked
it ^pp3+it+++=it
over ^in++++=over
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
exchanging ^xvbg+++xvbg+=exchanging
amused ^xvbn+++xvbn+=amused
glances ^nns+nom+++=glances
at ^in++++=at
the ^ati++++=the
queer ^jj+atrb+++=queer
characters ^nns+nom+++=characters
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart,
, ^zz++++=EXTRAWORD
after ^in++++=after
looking ^xvbg+++xvbg+=looking
carefully ^rb++++=carefully
at ^in++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
it ^pp3+it+++=it
really ^rb+emph+++=really
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
composed ^vpsv++by+xvbnx+=composed
by ^in++++=by
rule ^nn++++=rule!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
difficult ^jj++++=difficult
that ^dt+dem+++=that
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
ever ^rb++splt++=ever
play ^vb++++=play
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
studied ^vpsv++agls+xvbnx+=studied
first ^rb+cnj+++=first,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
little ^ap++++=little
Wolfgang ^np++++=Wolfgang
eagerly ^rb+cnj+++=eagerly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
running ^nvbg+++xvbg+=running
to ^in++++=to
the ^ati++++=the
harpsichord ^nn++++=harpsichord,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added:
: ^zz++++=EXTRAWORD
" ^zz++++="See,
see ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
way ^nn++++=way
it ^pp3+it+++=it
begins ^vbz++++=begins,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
play ^vb++++=play
enough ^dt++++=enough
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
to ^to++++=to
show ^vbi+vprv+++=show
what ^wdt+who+whcl++=what
his ^pp$+pp3+++=his
idea ^nn++++=idea
in ^in++++=in
writing ^xvbg+++xvbg+=writing
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
the ^ati++++=the
friend ^nn++++=friend
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
before ^cs+sub+++=before
exchanged ^vbd+++xvbn+=exchanged
glances ^nns+nom+++=glances
of ^in++++=of
amusement ^nn+nom+++=amusement,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
looked ^vbd+++xvbn+=looked
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
with ^in++++=with
wonder ^nn++++=wonder
not ^xnot++not++=not
untouched ^jj++++=untouched
with ^in++++=with
awe ^nn++++=awe.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Mozart ^np++++=Mozart
collection ^nn+nom+++=collection
at ^in++++=at
Salzburg ^np+++??+=Salzburg,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
still ^rb++splt++=still
preserved ^vpsv++agls+xvbnx+=preserved
a ^at++++=a
music ^nn++++=music
book ^nn++++=book
in ^in++++=in
which ^whp+rel+pied++=which
those ^dt+dem+++=those
early ^jj+atrb+++=early
pieces ^nns++++=pieces
written ^vwbn+++xvbn+=written
by ^in++++=by
little ^jj+atrb+++=little
Wolfgang ^np++++=Wolfgang
were ^vbd+bed+aux++=were
written ^vpsv++agls+xvbnx+=written
down ^rp++++=down
by ^in++++=by
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
the ^ati++++=the
minuets ^nns++++=minuets
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
book ^nn++++=book
his ^pp$+pp3+++=his
father ^nn++++=father
wrote ^vbd+vprv++xvbn+=wrote
after ^in++++=after
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
preceding ^jj+atrb++xvbg+=preceding
minuets ^nns++++=minuets
were ^vbd+bed+aux++=were
learnt ^vpsv++by+xvbnx+=learnt
by ^in++++=by
Wolfgang ^np++++=Wolfgang
in ^in++++=in
his ^pp$+pp3+++=his
fourth ^od++++=fourth
year ^nn++++=year,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
further ^jjb++++=further
on ^in++++=on
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
the ^ati++++=the
record ^nn++++=record:
: ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
minuet ^nn+++??+=minuet
and ^cc++++=and
trio ^nn++++=trio
Wolfgang ^np++++=Wolfgang
learned ^vbd+vprv++xvbn+=learned
in ^in++++=in
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour
on ^in++++=on
the ^ati++++=the
26 ^cd++++=26
th ^zz++++=th
