Richard ^np++++=Richard
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
care ^nn++++=care,
, ^zz++++=EXTRAWORD
affection ^nn+nom+++=affection
you ^pp2+pp2+++=you
give ^vb++++=give
to ^in++++=to
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^ql++++=more
she ^pp3a+pp3+++=she
gives ^vbz++++=gives
you ^pp2+pp2+++=you
in ^in++++=in
return ^nn++++=return,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
admitted ^vbd+vpub++xvbnx+=admitted,
, ^zz++++=EXTRAWORD
in ^in++++=in
wooing ^xvbg+++xvbg+=wooing
nature ^nn++++=nature
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
great ^jj+atrb+++=great
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
heart ^nn++++=heart-aches.
- ^zz++++=EXTRAWORD
aches ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Jackson ^np++++=Jackson,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
a ^at++++=a
frivolous ^jj+atrb+++=frivolous
disposition ^nn+nom+++=disposition,
, ^zz++++=EXTRAWORD
said ^vb+++xvbn+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
also ^rb++++=also
could ^md+pos+++=could
admire ^vb++++=admire
a ^at++++=a
landscape ^nn++++=landscape,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
would ^md+prd+++=would
rather ^rb++splt++=rather
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
eyes ^nns++++=eyes
of ^in++++=of
a ^at++++=a
girl ^nn++++=girl
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
than ^in++++=than
at ^rb++++=at
the ^ati++++=the
Lakes ^nns++++=Lakes
of ^in++++=of
Killarney ^np+++??+=Killarney,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
full ^jj+atrb+++=full
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
a ^at++++=a
setting ^jj+atrb++xvbg+=setting
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
aurora ^nn+++??+=aurora
borealis ^nns+++??+=borealis
for ^in++++=for
a ^at++++=a
background ^nn++++=background.
. ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
suggested ^vbd+vpub+tht0+xvbn+=suggested
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
eyes ^nns++++=eyes
might ^md+pos+++=might
seek ^vb++++=seek
those ^dt+dem+++=those
of ^in++++=of
another ^dt++++=another
man ^nn++++=man,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Lakes ^nns++++=Lakes
of ^in++++=of
Killarney ^np+++??+=Killarney
would ^md+prd+++=would
always ^rb++splt++=always
remain ^vb++++=remain
where ^wrb+who+++=where
you ^pp2+pp2+++=you
could ^md+pos+++=could
find ^vb+vprv+++=find
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
pursued ^vbd+++xvbn+=pursued
his ^pp$+pp3+++=his
new ^jj+atrb+++=new
love ^nn++++=love
in ^in++++=in
Connecticut ^np+++??+=Connecticut
on ^in++++=on
an ^at++++=an
abandoned ^jj+++xvbn+=abandoned
farm ^npl++++=farm
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
converted ^vbd+++xvbnx+=converted
into ^in++++=into
a ^at++++=a
" ^zz++++="model"
model ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
one ^pn++++=one.
. ^zz++++=EXTRAWORD
On ^in++++=On
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
established ^vbd+vprv++xvbnx+=established
model ^nn++++=model
dairies ^nns++++=dairies
and ^cc++++=and
model ^nn++++=model
incubators ^nns++++=incubators.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laid ^vbd+++xvbnx+=laid
out ^rb+phrv+++=out
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
sunken ^jj+atrb+++=sunken
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
Italian ^jj+atrb+++=Italian
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
landscape ^nn++++=landscape
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
game ^nn++++=game
preserve ^nn++++=preserve.
. ^zz++++=EXTRAWORD
The ^ati++++=The
game ^nn++++=game
preserve ^nn++++=preserve
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
own ^ap++++=own
especial ^jj+atrb+++=especial
care ^nn++++=care
and ^cc++++=and
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
two ^cd++++=two
hundred ^cd++++=hundred
acres ^nns++++=acres
of ^in++++=of
dense ^jj+atrb+++=dense
forest ^nn++++=forest
and ^cc++++=and
hills ^nns++++=hills
and ^cc++++=and
ridges ^nns++++=ridges
of ^in++++=of
rock ^nn++++=rock.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
mysterious ^jj+atrb+++=mysterious
caves ^nns++++=caves,
, ^zz++++=EXTRAWORD
deep ^jj+atrb+++=deep
chasms ^nns+++??+=chasms,
, ^zz++++=EXTRAWORD
tiny ^jj+atrb+++=tiny
gurgling ^nn+nom+++=gurgling
streams ^nns++++=streams,
, ^zz++++=EXTRAWORD
nestling ^nn+nom+++=nestling
springs ^nns++++=springs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wild ^jj+atrb+++=wild
laurel ^nn++++=laurel.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
barricaded ^vpsv++agls+xvbnx+=barricaded
with ^in++++=with
fallen ^vprf+++xvbn+=fallen
tree ^nn++++=tree-trunks
- ^zz++++=EXTRAWORD
trunks ^nns++++=EXTRAWORD
and ^cc++++=and
mosscovered ^jj+atrb++xvbn+=mosscovered
rocks ^nns++++=rocks
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
never ^rb++splt++=never
felt ^vprf+++xvbnx+=felt
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
man ^nn++++=man
since ^cs+sub+++=since
that ^dt+dem+++=that
foot ^nn++++=foot
had ^vbd+hvd+aux++=had
worn ^vprf+++xvbnx+=worn
a ^at++++=a
moccasin ^nn+++??+=moccasin.
. ^zz++++=EXTRAWORD
Around ^rp++++=Around
the ^ati++++=the
preserve ^nn++++=preserve
was ^vbd+bedz+vrb++=was
a ^at++++=a
high ^jj+atrb+++=high
fence ^nn++++=fence
stout ^np++++=stout
enough ^qlp++++=enough
to ^to++++=to
keep ^vbi++++=keep
poachers ^nns+nom+++=poachers
on ^in++++=on
the ^ati++++=the
outside ^jjb++++=outside
and ^cc++++=and
to ^to++++=to
persuade ^vbi++++=persuade
the ^ati++++=the
wild ^jj+atrb+++=wild
animals ^nns+nom+++=animals
that ^tht+rel+subj++=that
inhabited ^vwbn+++xvbn+=inhabited
it ^pp3+it+++=it
to ^to++++=to
linger ^vbi++++=linger
on ^in++++=on
the ^ati++++=the
inside ^nn++++=inside.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
wild ^jj+atrb+++=wild
animals ^nns+nom+++=animals
were ^vbd+bed+vrb++=were
squirrels ^nns++++=squirrels,
, ^zz++++=EXTRAWORD
rabbits ^nns++++=rabbits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
raccoons ^nns+++??+=raccoons.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
day ^nn++++=day,
, ^zz++++=EXTRAWORD
in ^in++++=in
sunshine ^nn++++=sunshine
or ^cc++++=or
in ^in++++=in
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
entering ^vbg+++xvbg+=entering
through ^in++++=through
a ^at++++=a
private ^jj+atrb+++=private
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
would ^md+prd+++=would
explore ^vb++++=explore
this ^dt+dem+++=this
holy ^jj++++=holy
of ^in++++=of
holies ^nns+++??+=holies.
. ^zz++++=EXTRAWORD
For ^in++++=For
such ^abl++++=such
vermin ^nn++++=vermin
as ^ql++++=as
would ^md+prd+++=would
destroy ^vb++++=destroy
the ^ati++++=the
gentler ^jjr+atrb+++=gentler
animals ^nns+nom+++=animals
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
a ^at++++=a
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
turned ^vpsv++agls+xvbnx+=turned
only ^rb+down+++=only
on ^in++++=on
those ^dt+dem+++=those
that ^cs+sub+++=that
preyed ^vprf+++xvbn+=preyed
upon ^in++++=upon
his ^pp$+pp3+++=his
favorites ^nns++++=favorites.
. ^zz++++=EXTRAWORD
For ^in++++=For
hours ^nns++++=hours
he ^pp3a+pp3+++=he
would ^md+prd+++=would
climb ^vb++++=climb
through ^in++++=through
this ^dt+dem+++=this
wilderness ^nns+nom+++=wilderness,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
seated ^j+++xvbn+=seated
on ^in++++=on
a ^at++++=a
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
watch ^vb++++=watch
a ^at++++=a
bluebird ^nn+++??+=bluebird
building ^vwbg+++xvbg+=building
her ^pp$+pp3+++=her
nest ^nn++++=nest
or ^cc++++=or
a ^at++++=a
squirrel ^nn++++=squirrel
laying ^vwbg+++xvbg+=laying
in ^in++++=in
rations ^nns+nom+++=rations
against ^in++++=against
the ^ati++++=the
coming ^jj+++xvbg+=coming
of ^in++++=of
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
In ^in++++=In
time ^nn++++=time
he ^pp3a+pp3+++=he
grew ^vbd+++xvbnx+=grew
to ^to++++=to
think ^vbi+vprv+tht0++=think
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
and ^cc+phrs+++=and
understood ^vbd+vprv++xvbn+=understood
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
this ^dt+dem+++=this
wild ^jj+atrb+++=wild
place ^nn++++=place
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
overlord ^nn+++??+=overlord.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
upon ^in++++=upon
them ^pp3o+pp3+++=them
not ^xnot++not++=not
as ^ql++++=as
his ^pp$+pp3+++=his
tenants ^nns+nom+++=tenants
but ^cc++++=but
as ^ql++++=as
his ^pp$+pp3+++=his
guests ^nns++++=guests.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
fled ^vbd+++xvbnx+=fled
from ^in++++=from
him ^pp3o+pp3+++=him
in ^in++++=in
terror ^nn++++=terror
to ^in++++=to
caves ^nns++++=caves
and ^cc++++=and
hollow ^jj+atrb+++=hollow
tree ^nn++++=tree-trunks,
- ^zz++++=EXTRAWORD
trunks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wished ^vbd+vprv+tht0+xvbnx+=wished
he ^pp3a+pp3+++=he
might ^md+pos+++=might
call ^vb++++=call
them ^pp3o+pp3+++=them
back ^jjb++++=back
and ^cc++++=and
explain ^vb+vpub+tht0++=explain
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
their ^pp$+pp3+++=their
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
him ^pp3o+pp3+++=him
they ^pp3a+pp3+++=they
lived ^vbd+++xvbnx+=lived
in ^in++++=in
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
happy ^jj+pred+++=happy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
through ^in++++=through
him ^pp3o+pp3+++=him
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
undisturbed ^jj++++=undisturbed,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
live ^vb++++=live
the ^ati++++=the
simple ^jj+atrb+++=simple
life ^nn++++=life.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fall ^nn++++=fall
came ^vbd+++xvbn+=came
through ^in++++=through
ambition ^nn+nom+++=ambition.
. ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
himself ^ppl+pp3+++=himself
attributed ^vbd+++xvbn+=attributed
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
too ^ql++++=too
great ^np++++=great
devotion ^nn+nom+++=devotion
to ^in++++=to
nature ^nn++++=nature
and ^cc++++=and
nature ^nn++++=nature's
's ^$++++=EXTRAWORD
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Jackson ^np++++=Jackson,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
of ^in++++=of
the ^ati++++=the
frivolous ^jj+atrb+++=frivolous
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
attributed ^xvbn+++xvbn+=attributed
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
any ^dti++++=any
man ^nn++++=man
is ^vbz+bez+vrb++=is
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
come ^vbi++++=come
to ^in++++=to
grief ^nn++++=grief
who ^whp+rel+subj++=who
turns ^vbz++++=turns
from ^in++++=from
the ^ati++++=the
worship ^nn+nom+++=worship
of ^in++++=of
God ^np++++=God's
's ^$++++=EXTRAWORD
noblest ^jjt+atrb+++=noblest
handiwork ^nn++++=handiwork,
, ^zz++++=EXTRAWORD
by ^in++++=by
which ^whp+rel+pied++=which
Jackson ^np++++=Jackson
meant ^vbd+vprv++xvbn+=meant
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
to ^in++++=to
worship ^nn+nom+++=worship
chipmunks ^nns+++??+=chipmunks
and ^cc++++=and
Plymouth ^np++++=Plymouth
Rock ^nn++++=Rock
hens ^nns++++=hens.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
Jackson ^np++++=Jackson
lured ^vbd+++xvbn+=lured
Herrick ^np+++??+=Herrick
into ^in++++=into
New ^jj+atrb+++=New
York ^np++++=York
to ^in++++=to
a ^at++++=a
dinner ^nn++++=dinner
and ^cc++++=and
a ^at++++=a
music ^nn++++=music
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
invited ^vbd+++xvbnx+=invited
also ^rb++++=also
one ^cd1++++=one
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
a ^at++++=a
mutual ^jj+atrb+++=mutual
friend ^nn++++=friend
of ^in++++=of
a ^at++++=a
cynical ^jj+atrb+++=cynical
and ^cc+phrs+++=and
combative ^jj+atrb+++=combative
disposition ^nn+nom+++=disposition.
. ^zz++++=EXTRAWORD
Jackson ^np++++=Jackson
liked ^vbd+++xvbn+=liked
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
him ^pp3o+pp3+++=him
and ^cc++++=and
Herrick ^np+++??+=Herrick
abuse ^nn++++=abuse
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
introduced ^xvbn+++xvbn+=introduced
subjects ^nns++++=subjects
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
would ^md+prd+++=would
cause ^vb++++=cause
each ^dt++++=each
to ^to++++=to
lose ^vbi++++=lose
his ^pp$+pp3+++=his
temper ^nn++++=temper.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
on ^in++++=on
this ^dt+dem+++=this
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
needed ^vwbn+++xvbn+=needed
no ^at++++=no
goading ^nn++++=goading.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
an ^at++++=an
ungrateful ^jj+atrb+++=ungrateful
mood ^nn++++=mood.
. ^zz++++=EXTRAWORD
Accustomed ^j+++xvbn+=Accustomed
to ^in++++=to
food ^nn++++=food
fresh ^jj++++=fresh
from ^in++++=from
the ^ati++++=the
soil ^nn++++=soil
and ^cc++++=and
the ^ati++++=the
farmyard ^nn++++=farmyard,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sneered ^vbd+++xvbnx+=sneered
at ^rb++++=at
hothouse ^nn+++??+=hothouse
asparagus ^nn++++=asparagus,
, ^zz++++=EXTRAWORD
hothouse ^nn+++??+=hothouse
grapes ^nns++++=grapes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cold ^jj++++=cold-storage
- ^zz++++=EXTRAWORD
storage ^nn+nom+++=EXTRAWORD
quail ^nns++++=quail.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
music ^nn++++=music
hall ^nn++++=hall
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
even ^rb++++=even
more ^rbr++++=more
difficult ^jj++++=difficult.
. ^zz++++=EXTRAWORD
In ^in++++=In
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him
sat ^vbd+++xvbn+=sat
a ^at++++=a
stout ^jj+atrb+++=stout
lady ^npt++++=lady
who ^whp+rel+obj++=who
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
shook ^vbd+++xvbnx+=shook
with ^in++++=with
laughter ^nn+nom+++=laughter
shed ^vbd+++xvbn+=shed
patchouli ^nn+++??+=patchouli
and ^cc++++=and
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
smoked ^vbd+++xvbn+=smoked
American ^jj+atrb+++=American
cigarettes ^nns+nom+++=cigarettes.
. ^zz++++=EXTRAWORD
At ^rb++++=At
these ^dt+pdem+++=these
and ^cc++++=and
the ^ati++++=the
steam ^nn++++=steam
heat ^nn++++=heat,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nostrils ^nns++++=nostrils
of ^in++++=of
Herrick ^np+++??+=Herrick,
, ^zz++++=EXTRAWORD
trained ^j+++xvbn+=trained
to ^in++++=to
the ^ati++++=the
odor ^nn++++=odor
of ^in++++=of
balsam ^nn++++=balsam
and ^cc++++=and
the ^ati++++=the
smoke ^nn++++=smoke
of ^in++++=of
open ^jj+atrb+++=open
wood ^nn++++=wood
fires ^nns++++=fires,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
offense ^nn+++??+=offense.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
amused ^vpsv++agls+xvbnx+=amused.
. ^zz++++=EXTRAWORD
The ^ati++++=The
monologue ^nn+++??+=monologue
artist ^nn++++=artist,
, ^zz++++=EXTRAWORD
in ^in++++=in
whom ^whp+rel+pied++=whom
Jackson ^np++++=Jackson
found ^vbd+vprv++xvbn+=found
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
caused ^j+++xvbn+=caused
Herrick ^np+++??+=Herrick
only ^rb+down+++=only
to ^to++++=to
groan ^vbi++++=groan;
; ^zz++++=EXTRAWORD
the ^ati++++=the
knockabout ^nn+++??+=knockabout
comedians ^nns++++=comedians
he ^pp3a+pp3+++=he
hoped ^vbd+vprv++xvbnx+=hoped
would ^md+prd+++=would
break ^vb++++=break
their ^pp$+pp3+++=their
collar ^nn++++=collar-bones;
- ^zz++++=EXTRAWORD
bones ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
lady ^nn++++=lady
who ^whp+rel+subj++=who
danced ^xvbn+++xvbn+=danced
Salome ^np+++??+=Salome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
fascinated ^vbd+++xvbn+=fascinated
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
prayed ^vbd+vsua++xvbn+=prayed
would ^md+prd+++=would
catch ^vb++++=catch
pneumonia ^nn++++=pneumonia
and ^cc++++=and
die ^vb++++=die
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
the ^ati++++=the
drop ^vb++++=drop
rose ^nn+++xvbn+=rose
upon ^in++++=upon
the ^ati++++=the
Countess ^nns+nom+++=Countess
Zichy ^np++++=Zichy's
's ^$++++=EXTRAWORD
bears ^nns++++=bears,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
dissatisfaction ^nn+nom+++=dissatisfaction
reached ^vbd+++xvbn+=reached
a ^at++++=a
climax ^nn++++=climax.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
three ^cd++++=three
bears ^vbz++++=bears--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
large ^jj+atrb+++=large
papa ^npt++++=papa
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
a ^at++++=a
mamma ^npt++++=mamma
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
baby ^nn++++=baby
bear ^nn++++=bear.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
programme ^nn++++=programme
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
Bruno ^np+++??+=Bruno,
, ^zz++++=EXTRAWORD
Clara ^np++++=Clara,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ikey ^np+++??+=Ikey.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
of ^in++++=of
a ^at++++=a
dusty ^jj++++=dusty
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
with ^in++++=with
long ^jj++++=long,
, ^zz++++=EXTRAWORD
curling ^vbg+nom++xvbg+=curling
noses ^nns++++=noses
tipped ^vwbn+++xvbn+=tipped
with ^in++++=with
white ^jj++++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
tan ^nn++++=tan-colored
- ^zz++++=EXTRAWORD
