I ^pp1a+pp1+++=I.
closed ^vpsv++agls+xvbnx+=closed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
mistress ^nns+nom+++=mistress
expressed ^vbd+vpub++xvbn+=expressed
weariness ^nns+nom+++=weariness,
, ^zz++++=EXTRAWORD
irritation ^nn+nom+++=irritation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suffering ^nvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lackey ^nn+++??+=lackey,
, ^zz++++=EXTRAWORD
perched ^j+++xvbn+=perched
upon ^in++++=upon
the ^ati++++=the
box ^nn++++=box-seat,
- ^zz++++=EXTRAWORD
seat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
dozing ^vbg+++xvbgx+=dozing;
; ^zz++++=EXTRAWORD
the ^ati++++=the
post ^nn++++=post-driver,
- ^zz++++=EXTRAWORD
driver ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting
vigorously ^rb+cnj+++=vigorously,
, ^zz++++=EXTRAWORD
whipped ^j+++xvbn+=whipped
up ^rp++++=up
his ^pp$+pp3+++=his
sturdy ^jj++++=sturdy,
, ^zz++++=EXTRAWORD
sweating ^vbg+++xvbg+=sweating
team ^nn++++=team
of ^in++++=of
four ^cd++++=four,
, ^zz++++=EXTRAWORD
glancing ^vbg+++xvbg+=glancing
around ^in++++=around
occasionally ^rb++++=occasionally
at ^in++++=at
the ^ati++++=the
other ^ap++++=other
post ^nn++++=post-driver
- ^zz++++=EXTRAWORD
driver ^nn++++=EXTRAWORD
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
calesche ^nn+++??+=calesche,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
bawling ^nn+nom+++=bawling
out ^rp+pl+++=out
just ^rb+emph+++=just
as ^in++++=as
lustily ^rb++++=lustily.
. ^zz++++=EXTRAWORD
The ^ati++++=The
broad ^jj+atrb+++=broad,
, ^zz++++=EXTRAWORD
double ^jj+atrb+++=double
traces ^nns++++=traces
of ^in++++=of
the ^ati++++=the
rapidly ^rb++++=rapidly
revolving ^jj+atrb++xvbg+=revolving
tyres ^nns++++=tyres
extended ^vbd+++xvbn+=extended
evenly ^rb++++=evenly
along ^in++++=along
in ^in++++=in
the ^ati++++=the
chalky ^jj+atrb+++=chalky
mud ^nn++++=mud
of ^in++++=of
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
grey ^np++++=grey
and ^cc++++=and
cold ^nn++++=cold
a ^at++++=a
cold ^jj+atrb+++=cold
mist ^nn++++=mist
enveloped ^vbd+++xvbn+=enveloped
the ^ati++++=the
plain ^nn++++=plain
and ^cc++++=and
the ^ati++++=the
road ^nn++++=road
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
stuffy ^jj+pred+++=stuffy
in ^in++++=in
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
smelt ^vbd+++xvbn+=smelt
of ^in++++=of
eau ^nn+++??+=eau
de ^&fw++++=de
cologne ^np++++=cologne
and ^cc++++=and
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sick ^jj+atrb+++=sick
woman ^nn++++=woman
stretched ^vwbn+++xvbn+=stretched
back ^jjb++++=back
her ^pp$+pp3+++=her
head ^jjb++++=head
and ^cc++++=and
gradually ^rb++++=gradually
opened ^vbd+++xvbn+=opened
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
large ^jj+atrb+++=large
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
sparkling ^jj+pred+++=sparkling
and ^cc++++=and
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
pretty ^rb++++=pretty
dark ^jj+atrb+++=dark
colour ^nn++++=colour.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
irritably ^rb++++=irritably
shoving ^vbg+++xvbg+=shoving
aside ^rp++++=aside
with ^in++++=with
her ^pp$+pp3+++=her
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
wasted ^xvbn+++xvbn+=wasted
hand ^nn++++=hand
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
crinoline ^nn+++??+=crinoline
of ^in++++=of
her ^pp$+pp3+++=her
maid ^np++++=maid,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
barely ^rb+down+splt++=barely
touched ^vprf+++xvbnx+=touched
her ^pp$+pp3+++=her
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
mouth ^nn++++=mouth
pouted ^vbd+++xvbn+=pouted
peevishly ^jj++++=peevishly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
maid ^np++++=maid
grasped ^vwbn+vprv++xvbn+=grasped
her ^pp$+pp3+++=her
crinoline ^nn+++??+=crinoline
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
on ^rp++++=on
her ^pp3o+pp3+++=her
sturdy ^jj+atrb+++=sturdy
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
a ^rb++++=a
little ^rb"++++=little
further ^jjb++++=further
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
fresh ^jj+atrb+++=fresh
face ^nn++++=face
had ^vb+hv+vrb++=had
a ^at++++=a
bright ^jj++++=bright
flush ^rb++++=flush
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beautiful ^jj+atrb+++=beautiful
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
invalid ^nn++++=invalid
greedily ^rb++++=greedily
followed ^vbd+vprv++xvbn+=followed
every ^at++++=every
movement ^nn+nom+++=movement
of ^in++++=of
the ^ati++++=the
maid ^nn++++=maid.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
mistress ^nns+nom+++=mistress
rested ^vbd+++xvbn+=rested
both ^abx++++=both
arms ^nns++++=arms
on ^in++++=on
the ^ati++++=the
seat ^nn++++=seat
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
raise ^vbi++++=raise
herself ^ppl+pp3+++=herself
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
sit ^vb++++=sit
up ^rp++++=up
a ^rb++++=a
little ^rb"++++=little
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
strength ^nn++++=strength
failed ^vbd+++xvbn+=failed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
mouth ^nn++++=mouth
pouted ^vbd+++xvbn+=pouted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
whole ^jj+atrb+++=whole
face ^nn++++=face
wore ^vbd+++xvbn+=wore
an ^at++++=an
expression ^nn++++=expression
of ^in++++=of
impotent ^jj+atrb+++=impotent,
, ^zz++++=EXTRAWORD
angry ^jj+atrb+++=angry
scorn ^nn++++=scorn.
. ^zz++++=EXTRAWORD
" ^zz++++="Help
help ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
quite ^rb++++=quite
unnecessary ^jj++++=unnecessary.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
load ^nn++++=load
me ^pp1o+pp1+++=me
with ^in++++=with
your ^pp$+pp2+++=your
what ^wdt+who+++=what
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
call ^nn++++=call
them ^pp3o+pp3+++=them
your ^pp$+pp2+++=your
sacks ^nns++++=sacks
then ^rn+tm+++=then
have ^vb+hv+vrb++=have
a ^rb++++=a
little ^rb"++++=little
mercy ^nn++++=mercy!
! ^zz++++=EXTRAWORD
Better ^jjr++++=Better
not ^xnot++not++=not
touch ^nn++++=touch
me ^pp1o+pp1+++=me
at ^rb++++=at
all ^abn++++=all
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
better ^jjr++++=better
than ^in++++=than
that ^dt+pdem+++=that!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mistress ^nns+nom+++=mistress
closed ^vbd+++xvbn+=closed
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
presently ^rb+tm+++=presently
she ^pp3a+pp3+++=she
quickly ^rb++++=quickly
raised ^jj+++xvbn+=raised
her ^pp3o+pp3+++=her
eyelids ^nns++++=eyelids
again ^rb+tm+++=again
and ^cc++++=and
glanced ^vbd+++xvbn+=glanced
at ^rb++++=at
her ^pp3o+pp3+++=her
maid ^np++++=maid.
. ^zz++++=EXTRAWORD
The ^ati++++=The
maid ^nn++++=maid,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
returned ^vbd+++xvbnx+=returned
her ^pp$+pp3+++=her
gaze ^nn++++=gaze,
, ^zz++++=EXTRAWORD
nibbled ^j+++xvbn+=nibbled
at ^rb++++=at
her ^pp3o+pp3+++=her
pretty ^rb++++=pretty
lower ^jjr+atrb+++=lower
lip ^nn++++=lip.
. ^zz++++=EXTRAWORD
A ^at++++=A
deep ^jj+atrb+++=deep
sigh ^nn++++=sigh
arose ^vbd+++xvbn+=arose
from ^in++++=from
the ^ati++++=the
invalid ^nn++++=invalid's
's ^$++++=EXTRAWORD
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
sigh ^nn++++=sigh
ended ^vbd+++xvbn+=ended
in ^in++++=in
a ^at++++=a
cough ^nn++++=cough.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
puckered ^j+++xvbn+=puckered
her ^pp$+pp3+++=her
brow ^nn++++=brow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grasped ^vprf+++xvbn+=grasped
her ^pp$+pp3+++=her
bosom ^nn++++=bosom
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
cough ^nn++++=cough
ceased ^vbd+++xvbn+=ceased
she ^pp3a+pp3+++=she
closed ^vbd+++xvbnx+=closed
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
again ^rb+tm+++=again
and ^cc++++=and
continued ^jj+++xvbn+=continued
to ^to++++=to
sit ^vbi++++=sit
motionless ^jj++++=motionless.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carriage ^nn+nom+++=carriage
and ^cc++++=and
the ^ati++++=the
calesche ^nn++++=calesche
entered ^vbd+++xvbn+=entered
a ^at++++=a
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
The ^ati++++=The
maid ^nn++++=maid
drew ^vbd+++xvbn+=drew
her ^pp$+pp3+++=her
plump ^jj+atrb+++=plump
hand ^nn++++=hand
from ^in++++=from
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
jacket ^nn++++=jacket
and ^cc++++=and
crossed ^vbd+++xvbn+=crossed
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
her ^pp$+pp3+++=her
mistress ^nns+nom+++=mistress.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
posting ^jj+++xvbg+=posting-station,
- ^zz++++=EXTRAWORD
station ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lady ^nn++++=lady."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
cross ^vb++++=cross
yourself ^ppl+pp2+++=yourself?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ask ^vb++++=ask."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
passed ^vbd+++xvbn+=passed
the ^ati++++=the
church ^nn++++=church,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lady ^nn++++=lady."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
invalid ^nn++++=invalid
turned ^vbd+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
slowly ^rb++++=slowly
to ^to++++=to
cross ^vbi++++=cross
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
with ^in++++=with
all ^abn++++=all
her ^pp3o+pp3+++=her
big ^jj+atrb+++=big
eyes ^nns++++=eyes
at ^in++++=at
the ^ati++++=the
large ^jj+atrb+++=large
village ^nn+nom+++=village
church ^nn++++=church,
, ^zz++++=EXTRAWORD
round ^in++++=round
which ^whp+rel+pied++=which
the ^ati++++=the
invalid ^nn++++=invalid's
's ^$++++=EXTRAWORD
carriage ^nn+nom+++=carriage
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
then ^rn+tm+++=then
passing ^nvbg+++xvbg+=passing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carriage ^nn+nom+++=carriage
and ^cc++++=and
calesche ^vb+++??+=calesche
stopped ^vbd+++xvbn+=stopped
together ^nn+nom+++=together
at ^in++++=at
the ^ati++++=the
posting ^jj+++xvbg+=posting-station.
- ^zz++++=EXTRAWORD
station ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Out ^rp+pl+++=Out
of ^in++++=of
the ^ati++++=the
calesche ^nn+++??+=calesche
stepped ^vbd+++xvbn+=stepped
the ^ati++++=the
sick ^jj+atrb+++=sick
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
husband ^nn++++=husband
and ^cc++++=and
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
taking ^jj+++xvbg+=taking
her ^pp3o+pp3+++=her
hand ^nn++++=hand
and ^cc++++=and
feeling ^nvbg+++xvbg+=feeling
her ^pp3o+pp3+++=her
pulse ^nn++++=pulse.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
a ^rb++++=a
little ^rb"++++=little
tired ^jj+++xvbn+=tired,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
her ^pp$+pp3+++=her
husband ^nn++++=husband
in ^in++++=in
French ^nn++++=French,
, ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
get ^vbi++++=get
