B.c ^rb++++=B.C.
do ^vb+do+vrb++=do
like ^in++++=like
the ^ati++++=the
Greeks ^nn++++=Greeks
and ^cc++++=and
Syrians ^np+++??+=Syrians,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
other ^ap++++=other
subjects ^nns++++=subjects,
, ^zz++++=EXTRAWORD
worship ^nn+nom+++=worship
the ^ati++++=the
same ^ap++++=same
idols ^nns++++=idols,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hold ^vb+vprv+++=hold
drunken ^jj+atrb+++=drunken
feasts ^nns++++=feasts
in ^in++++=in
their ^pp$+pp3+++=their
honor ^nn++++=honor.
. ^zz++++=EXTRAWORD
Sad ^jj++++=Sad
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
of ^in++++=of
the ^ati++++=the
Jews ^nn++++=Jews
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
ashamed ^jj++++=ashamed
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
true ^jj+atrb+++=true
religion ^nn++++=religion
and ^cc++++=and
the ^ati++++=the
strict ^jj+atrb+++=strict
ways ^nns++++=ways
of ^in++++=of
their ^pp$+pp3+++=their
law ^nn++++=law,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
them ^pp3o+pp3+++=them
old ^jj++++=old-fashioned.
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
joined ^vbd+++xvbnx+=joined
in ^in++++=in
the ^ati++++=the
Greek ^jj+atrb+++=Greek
sports ^nns++++=sports,
, ^zz++++=EXTRAWORD
played ^jj+atrb++xvbn+=played
games ^nns++++=games
naked ^jj++++=naked
in ^in++++=in
the ^ati++++=the
theatre ^nn++++=theatre,
, ^zz++++=EXTRAWORD
joined ^j+++xvbn+=joined
in ^in++++=in
riotous ^jj+atrb+++=riotous
processions ^nns++++=processions,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
ivy ^nn++++=ivy
in ^in++++=in
honor ^nn++++=honor
of ^in++++=of
Bacchus ^np+++??+=Bacchus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
god ^nn++++=god
of ^in++++=of
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
offered ^vbd+++xvbn+=offered
incense ^nn++++=incense
to ^in++++=to
the ^ati++++=the
idols ^nns++++=idols;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
worst ^nn++++=worst
of ^in++++=of
all ^abn++++=all
these ^dt+pdem+++=these
was ^vbd+bedz+vrb++=was
the ^ati++++=the
false ^jj+atrb+++=false
high ^jj+atrb+++=high
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
Menelaus ^np+++??+=Menelaus,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
led ^vbd+++xvbn+=led
the ^ati++++=the
King ^nn++++=King
Antiochus ^np+++??+=Antiochus
into ^in++++=into
the ^ati++++=the
Temple ^npl++++=Temple
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
even ^rb++++=even
into ^in++++=into
the ^ati++++=the
Holy ^nn++++=Holy
of ^in++++=of
Holies ^np+++??+=Holies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
all ^abn++++=all
that ^dt+pdem+++=that
would ^md+prd+++=would
most ^ql+emph+++=most
desecrate ^nn+nom+++=desecrate
it ^pp3+it+++=it
and ^cc++++=and
grieve ^np++++=grieve
the ^ati++++=the
Jews ^nn++++=Jews.
. ^zz++++=EXTRAWORD
So ^ql++++=So
a ^rb++++=a
little ^rb"++++=little
altar ^nn++++=altar
to ^in++++=to
the ^ati++++=the
Roman ^jj+atrb+++=Roman
god ^np++++=god
Jupiter ^np+++??+=Jupiter
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
up ^rb+phrv+++=up
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
great ^nn++++=great
brazen ^vb++++=brazen
altar ^nn++++=altar
of ^in++++=of
burnt ^jj+atrb++xvbn+=burnt
offerings ^nns++++=offerings,
, ^zz++++=EXTRAWORD
a ^at++++=a
hog ^nn++++=hog
was ^vbd+bedz+aux++=was
offered ^vpsv++agls+xvbnx+=offered
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
broth ^nn++++=broth
of ^in++++=of
its ^pp$+it+++=its
flesh ^nn++++=flesh
sprinkled ^vbd+++xvbn+=sprinkled
everywhere ^rb++++=everywhere
in ^in++++=in
the ^ati++++=the
Temple ^nn++++=Temple;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
all ^rb++++=all
the ^ati++++=the
precious ^jj+atrb+++=precious
vessels ^nns++++=vessels
were ^vbd+bed+aux++=were
seized ^vpsv++agls+xvbnx+=seized,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shewbread ^nn+++??+=shewbread
table ^nn++++=table
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
the ^ati++++=the
candlesticks ^nns++++=candlesticks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
treasury ^np++++=treasury,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
away ^rp+pl+++=away
by ^in++++=by
the ^ati++++=the
king ^nn++++=king;
; ^zz++++=EXTRAWORD
the ^ati++++=the
walls ^nns++++=walls
were ^vbd+bed+aux++=were
thrown ^vpsv++agls+xvbnx+=thrown
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
place ^nn++++=place
made ^vbd+++xvbn+=made
desolate ^jj++++=desolate.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
Jews ^nn++++=Jews
were ^vbd+bed+vrb++=were
still ^rb+atrb+++=still
faithful ^jj+pred+++=faithful
to ^in++++=to
their ^pp$+pp3+++=their
God ^nn++++=God,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
horribly ^rb++splt++=horribly
punished ^vpsv++agls+xvbnx+=punished
and ^cc+phrs+++=and
tortured ^vpsv++agls+xvbn+=tortured
to ^in++++=to
death ^nn++++=death
before ^in++++=before
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
king ^nn++++=king;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
at ^rb++++=at
last ^rb"++++=last
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
away ^rp+pl+++=away
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
country ^nn++++=country,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
with ^in++++=with
him ^pp3o+pp3+++=him
the ^ati++++=the
wicked ^jj+atrb+++=wicked
high ^jj+atrb+++=high
priest ^nn++++=priest
Menelaus ^np+++??+=Menelaus,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
behind ^rb+phrv+++=behind
him ^pp3o+pp3+++=him
a ^at++++=a
governor ^nn++++=governor
and ^cc++++=and
an ^at++++=an
army ^nn++++=army
of ^in++++=of
soldiers ^nns+nom+++=soldiers
stationed ^vwbn+++xvbn+=stationed
in ^in++++=in
the ^ati++++=the
tower ^nn++++=tower
of ^in++++=of
Acra ^np+++??+=Acra,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
overlooked ^vbd+vprv++xvbn+=overlooked
the ^ati++++=the
Temple ^np++++=Temple
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vpsv++agls+xvbn+=sent
for ^in++++=for
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
from ^in++++=from
Athens ^np++++=Athens
to ^to++++=to
teach ^vbi+vsua+++=teach
the ^ati++++=the
people ^nn++++=people
the ^ati++++=the
heathen ^jj+atrb+++=heathen
rites ^nns++++=rites
and ^cc++++=and
ceremonies ^nns++++=ceremonies.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
person ^nn++++=person
who ^whp+rel+subj++=who
observed ^vbd+vprv++xvbn+=observed
the ^ati++++=the
Sabbath ^nn++++=Sabbath
day ^nn++++=day,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
other ^ap++++=other
ordinance ^nn+nom+++=ordinance
of ^in++++=of
the ^ati++++=the
law ^nn++++=law
of ^in++++=of
Moses ^np++++=Moses,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
put ^vpsv++agls+xvbnx+=put
to ^in++++=to
death ^nn++++=death
in ^in++++=in
a ^at++++=a
most ^ql+emph+++=most
cruel ^jj+atrb+++=cruel
manner ^nn++++=manner;
; ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
books ^nns++++=books
of ^in++++=of
the ^ati++++=the
Old ^jj+atrb+++=Old
Testament ^nn+nom+++=Testament
Scripture ^nn++++=Scripture
that ^tht+rel+subj++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
were ^vbd+bed+vrb++=were
either ^dtx++++=either
burnt ^jj+++xvbn+=burnt
or ^cc+phrs+++=or
defiled ^jj+++xvbn+=defiled,
, ^zz++++=EXTRAWORD
by ^in++++=by
having ^xvbg+++xvbg+=having
pictures ^nns++++=pictures
of ^in++++=of
Greek ^jj+atrb+++=Greek
gods ^nns++++=gods
painted ^vbd+++xvbn+=painted
upon ^in++++=upon
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
heathen ^jj+atrb+++=heathen
priests ^nns++++=priests
went ^vbd+++xvbn+=went
from ^in++++=from
place ^nn++++=place
to ^to++++=to
place ^vbi++++=place,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
brazen ^vb++++=brazen
altar ^nn++++=altar
and ^cc++++=and
image ^nn++++=image
and ^cc++++=and
a ^at++++=a
guard ^nn++++=guard
of ^in++++=of
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
to ^to++++=to
kill ^vbi++++=kill
every ^at++++=every
person ^nn++++=person
who ^whp+rel+subj++=who
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
burn ^vbi++++=burn
incense ^nn++++=incense
before ^in++++=before
the ^ati++++=the
idol ^nn++++=idol.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
very ^ql+amp+++=very
saddest ^jjt+atrb+++=saddest
time ^nn++++=time
that ^tht+rel+obj++=that
the ^ati++++=the
Jews ^nn++++=Jews
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
known ^vprf+++xvbnx+=known,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
seemed ^vprf+++xvbn+=seemed
no ^at++++=no
help ^nn++++=help
near ^in+pl+++=near
or ^cc++++=or
far ^rb+pl+++=far
off ^in+strn+++=off;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
have ^vb+hv+vrb++=have
no ^at++++=no
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
the ^ati++++=the
promises ^nns++++=promises
that ^tht+ncmp+obj++=that
God ^np++++=God
would ^md+prd+++=would
never ^rb++splt++=never
fail ^vb++++=fail
His ^pp$+pp3+++=His
people ^nns++++=people,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
forsake ^nn+++??+=forsake
His ^pp$+pp3+++=His
inheritance ^nn+nom+++=inheritance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
prophecies ^nns++++=prophecies
that ^tht+rel+++=that
bad ^jj+atrb+++=bad
times ^nns++++=times
should ^md+nec+++=should
come ^vb++++=come,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
good ^jj+atrb+++=good
ones ^cd1s++++=ones
after ^in++++=after
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Greeks ^nn++++=Greeks,
, ^zz++++=EXTRAWORD
in ^in++++=in
going ^nn++++=going
through ^in++++=through
the ^ati++++=the
towns ^nns++++=towns
to ^to++++=to
enforce ^vbi++++=enforce
the ^ati++++=the
idol ^nn++++=idol
worship ^nn+nom+++=worship,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
to ^in++++=to
a ^rb++++=a
little ^rb"++++=little
city ^nn++++=city
called ^vbd+++xvbn+=called
Modin ^np+++??+=Modin,
, ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere
on ^in++++=on
the ^ati++++=the
hills ^nns++++=hills
on ^in++++=on
the ^ati++++=the
coast ^nn++++=coast
of ^in++++=of
the ^ati++++=the
Mediterranean ^np+nom+++=Mediterranean
Sea ^nn++++=Sea,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
far ^rb+pl+++=far
from ^rb"++++=from
Joppa ^np+++??+=Joppa.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
they ^pp3a+pp3+++=they
sent ^vbd+++xvbnx+=sent
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
as ^ql++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
orders ^vb++++=orders
to ^to+vcmp+++=to
all ^abn++++=all
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
to ^to++++=to
meet ^vbi++++=meet
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
marketplace ^nn+++??+=marketplace;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
told ^vpsv++agls+xvbnx+=told
beforehand ^rb+cnj+++=beforehand,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
chief ^jjb+atrb+++=chief
person ^nn++++=person
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
named ^vbd+++xvbn+=named
Mattathias ^np+++??+=Mattathias,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
priestly ^jj+atrb+++=priestly
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
much ^ap++++=much
respected ^jj+++xvbn+=respected,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
the ^ati++++=the
place ^nn++++=place
were ^vbd+bed+vrb++=were
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
do ^vbi++++=do
whatever ^nn+nom+++=whatever
he ^pp3a+pp3+++=he
might ^md+pos+++=might
lead ^vb++++=lead
them ^pp3o+pp3+++=them
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
Greeks ^nn++++=Greeks
sent ^vbd+++xvbn+=sent
for ^in++++=for
him ^pp3o+pp3+++=him
first ^rb++++=first
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
at ^in++++=at
their ^pp$+pp3+++=their
summons ^nn++++=summons,
, ^zz++++=EXTRAWORD
a ^at++++=a
grand ^jj++++=grand
and ^cc+phrs+++=and
noble ^jj+atrb+++=noble
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
his ^pp$+pp3+++=his
five ^cd++++=five
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
Johanan ^np+++??+=Johanan,
, ^zz++++=EXTRAWORD
Simon ^np++++=Simon,
, ^zz++++=EXTRAWORD
Judas ^np+++??+=Judas,
, ^zz++++=EXTRAWORD
Jonathan ^np+nom+++=Jonathan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Eleazar ^np++++=Eleazar.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Greek ^jj+atrb+++=Greek
priest ^nn++++=priest
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
talk ^vbi++++=talk
him ^pp3o+pp3+++=him
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
the ^ati++++=the
high ^jj+atrb+++=high
priest ^nn++++=priest
had ^vb+hv+vrb++=had
forsaken ^jj++++=forsaken
the ^ati++++=the
Jewish ^jj+atrb+++=Jewish
superstition ^nn+nom+++=superstition,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
Temple ^nn++++=Temple
was ^vbd+bedz+vrb++=was
in ^in++++=in
ruins ^nns++++=ruins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
resistance ^nn+nom+++=resistance
was ^vbd+bedz+vrb++=was
in ^rb++++=in
vain ^rb"++++=vain;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exhorted ^vbd+++xvbn+=exhorted
him ^pp3o+pp3+++=him
to ^to++++=to
obtain ^vbi++++=obtain
gratitude ^nn++++=gratitude
and ^cc++++=and
honor ^nn++++=honor
for ^in++++=for
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
by ^in++++=by
leading ^xvbg+++xvbg+=leading
his ^pp$+pp3+++=his
countrymen ^nns++++=countrymen
in ^in++++=in
thus ^rb+cnj+++=thus
adoring ^jj++++=adoring
the ^ati++++=the
deities ^nns+nom+++=deities
of ^in++++=of
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
choice ^nn++++=choice,
, ^zz++++=EXTRAWORD
promising ^jj++++=promising
him ^pp3o+pp3+++=him
rewards ^nns++++=rewards
and ^cc++++=and
treasures ^nns++++=treasures
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
would ^md+prd+++=would
comply ^vb++++=comply.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
spoke ^vbd+++xvbn+=spoke
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
loud ^jj+atrb+++=loud
and ^cc+phrs+++=and
fearless ^jj+atrb+++=fearless
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
' ^zz++++='Though
though ^cs+sub+++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
nations ^nns+nom+++=nations
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
under ^in++++=under
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
dominion ^nn++++=dominion
obey ^vb++++=obey
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fall ^nn++++=fall
away ^rp+pl+++=away
every ^at++++=every
one ^pn++++=one
from ^in++++=from
the ^ati++++=the
religion ^nn++++=religion
of ^in++++=of
their ^pp$+pp3+++=their
fathers ^nns+nom+++=fathers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
give ^vb++++=give
consent ^nn++++=consent
to ^in++++=to
his ^pp$+pp3+++=his
commandments ^nns+nom+++=commandments;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
will ^md+prd+++=will
I ^pp1a+pp1+++=I
and ^cc++++=and
my ^pp$+pp1+++=my
sons ^nns++++=sons
and ^cc++++=and
my ^pp$+pp1+++=my
brethren ^nns++++=brethren
walk ^nn++++=walk
in ^in++++=in
the ^ati++++=the
covenant ^nn+nom+++=covenant
of ^in++++=of
our ^pp$+pp1+++=our
fathers ^nns+nom+++=fathers.
. ^zz++++=EXTRAWORD
God ^np++++=God
forbid ^vb+vsua+++=forbid
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
should ^md+nec+++=should
forsake ^vb+++??+=forsake
the ^ati++++=the
law ^nn++++=law
and ^cc++++=and
the ^ati++++=the
ordinances ^nns+nom+++=ordinances!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
not ^xnot++not++=not
hearken ^vb++++=hearken
to ^in++++=to
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
words ^nns++++=words,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
from ^in++++=from
our ^pp$+pp1+++=our
religion ^nn++++=religion,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
on ^in++++=on
the ^ati++++=the
right ^jj+atrb+++=right
hand ^nn++++=hand
or ^cc++++=or
the ^ati++++=the
