She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
silly ^jj+atrb+++=silly
girls ^nns++++=girls
who ^whp+rel+subj++=who
would ^md+prd+++=would
beg ^vb++++=beg
you ^pp2+pp2+++=you
not ^xnot++not++=not
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
war ^nn++++=war."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
moment ^nn++++=moment
of ^in++++=of
speaking ^xvbg+++xvbg+=speaking
her ^pp3o+pp3+++=her
cheek ^nn++++=cheek
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
resting ^vbg+++xvbgx+=resting
against ^in++++=against
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
arm ^nn++++=arm
was ^vbd+bedz+vrb++=was
about ^in++++=about
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
humbly ^jj++++=humbly
bent ^xvbn+++xvbn+=bent
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whispered ^vbd+vpub++xvbn+=whispered
very ^ql+amp+++=very
proudly ^rb++++=proudly
and ^cc+phrs+++=and
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dearest ^jjt++++=dearest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^in++++=At
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
withdrew ^vbd+++xvbnx+=withdrew
from ^in++++=from
him ^pp3o+pp3+++=him
frowning ^jj+++xvbg+=frowning.
. ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
bit ^nn++++=bit
like ^in++++=like
those ^dt+dem+++=those
girls ^nns++++=girls,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
proclaimed ^vbd+++xvbnx+=proclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
merely ^rb+down+++=merely
tell ^vb++++=tell
you ^pp2+pp2+++=you
You ^pp2+pp2+++=YOU
Can ^md+pos+++=CAN'T
n't ^xnot++not++0=EXTRAWORD
Go ^vb++++=GO!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
gracious ^jj++++=gracious!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
helplessly ^rb++++=helplessly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv+tht0+xvbnx+=knew
the ^ati++++=the
words ^nns++++=words
fell ^vbd+++xvbn+=fell
short ^jj++++=short
of ^in++++=of
expressing ^xvbg+++xvbg+=expressing
her ^pp3o+pp3+++=her
distress ^nns+nom+++=distress,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
education ^nn+nom+++=education
had ^vb+hv+aux++=had
not ^xnot++not++=not
supplied ^vbd+++xvbn+=supplied
her ^pp$+pp3+++=her
with ^in++++=with
exclamations ^nns+nom+++=exclamations
of ^in++++=of
greater ^jjr+atrb+++=greater
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
goodness ^nns+nom+++=goodness!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
frighten ^vb++++=frighten
me ^pp1o+pp1+++=me
so ^ql++++=so?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
not ^xnot++not++=not
like ^vb++++=like
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
reproached ^vbd+++xvbnx+=reproached
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
unselfish ^jj++++=unselfish,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
noble ^jj++++=noble.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
always ^rb++splt++=always
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
other ^ap++++=other
people ^nns++++=people.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
you ^pp2+pp2+++=you
talk ^vb++++=talk
of ^in++++=of
going ^nn++++=going
to ^in++++=to
war ^nn++++=war--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
be ^vbi+vbi+aux++=be
killed ^vpsv++agls+xvbnx+=killed--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
me ^pp1o+pp1+++=me
love ^vb++++=love
you ^pp2+pp2+++=you
so ^ql++++=so?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
talked ^vbd+++xvbnx+=talked
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
like ^in++++=like
swallows ^nns+++??+=swallows
darting ^vwbg+++xvbg+=darting
and ^cc++++=and
flashing ^vwbg+++xvbg+=flashing
in ^in++++=in
the ^ati++++=the
sunlight ^nn++++=sunlight,
, ^zz++++=EXTRAWORD
clutched ^j+++xvbn+=clutched
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
rather ^rb++splt++=rather
kiss ^vb++++=kiss
than ^in++++=than
the ^ati++++=the
lips ^nns++++=lips
of ^in++++=of
any ^dti++++=any
other ^ap++++=other
woman ^nn++++=woman
that ^tht+rel+subj++=that
ever ^rb++++=ever
lived ^vbd+++xvbn+=lived,
, ^zz++++=EXTRAWORD
clung ^j+++xvbn+=clung
to ^in++++=to
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
clasp ^vb++++=clasp
reminded ^vbd+vsua++xvbn+=reminded
him ^pp3o+pp3+++=him
of ^in++++=of
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
drowning ^jj+atrb++xvbg+=drowning
child ^nn++++=child
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
lifted ^vprf+++xvbnx+=lifted
from ^in++++=from
the ^ati++++=the
surf ^nn++++=surf.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
die ^vb++++=die,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
Miss ^npt++++=Miss
Armitage ^np+nom+++=Armitage.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
would ^md+prd+++=would
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
my ^pp$+pp1+++=my
dearest ^jjt++++=dearest,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dearest ^jjt+atrb+++=dearest
One ^pn++++=ONE!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^md"++pmd"++0=EXTRAWORD
Got ^vb++pmd"+xvbnx+=GOT
to ^to+vcmp+pmd++=to
go ^vb++++=go.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
our ^pp$+pp1+++=our
own ^ap++++=own
war ^nn++++=war.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
else ^rb+cnj+++=else
will ^md+prd+++=will
go ^vb++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pleaded ^vbd+vpub++xvbnx+=pleaded.
. ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
man ^nn++++=man
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
fight ^vb++++=fight,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
only ^rb+down+++=only
to ^to++++=to
look ^vbi++++=look
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
bad ^jj++++=bad
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
without ^in++++=without
sitting ^xvbg+++xvbg+=sitting
at ^rb++++=at
home ^nr++++=home?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
be ^vb+be+vrb++=be
sorry ^uh++++=sorry
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
fight ^vb++++=fight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sorry!"
sorry ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
love ^nn++++=love
me ^pp1o+pp1+++=me--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
shake ^vb++++=shake
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
dare ^vb++++=dare
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
abandoned ^vbd+++xvbnx+=abandoned
that ^dt+dem+++=that
position ^nn+nom+++=position
and ^cc++++=and
attacked ^vpsv++agls+xvbn+=attacked
from ^in++++=from
one ^cd1++++=one
more ^rbr++++=more
logical ^jj++++=logical.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
punish ^vb++++=punish
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
protested ^vbd+vpub++xvbnx+=protested.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
the ^ati++++=the
war ^nn++++=war?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
free ^vbi++++=free
Cuba ^np++++=Cuba?
? ^zz++++=EXTRAWORD
No ^at++++=No!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
You ^pp2+pp2+++=YOU,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
go ^vb++++=go,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
killed ^vpsv++agls+xvbnx+=killed.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
big ^jj++++=big--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
so ^ql++++=so
brave ^vb++++=brave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+aux++=be
rushing ^vbg+++xvbgx+=rushing
in ^in++++=in
wherever ^nn+nom+++=wherever
the ^ati++++=the
fighting ^nvbg+++xvbg+=fighting
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then--then
-- ^--+clp+++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
die ^vb++++=die."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
raised ^vbd+++xvbnx+=raised
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
though ^cs+sub+++=though
seeing ^jj+++xvbg+=seeing
him ^pp3o+pp3+++=him
from ^in++++=from
a ^at++++=a
great ^jj+atrb+++=great
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
" ^zz++++="And,"
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added
fatefully ^jj++++=fatefully,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
die ^vb++++=die,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
maybe ^rb+hdg+++=maybe
I ^pp1a+pp1+++=I
will ^md+prd+++=will
have ^md"++pmd"++=have
to ^md+nec+++=to
live ^vb++++=live,
, ^zz++++=EXTRAWORD
to ^to++++=to
live ^vbi++++=live
without ^in++++=without
you ^pp2+pp2+++=you
for ^in++++=for
years ^nns++++=years,
, ^zz++++=EXTRAWORD
for ^in++++=for
many ^ap++++=many
miserable ^jj+atrb+++=miserable
years ^nns++++=years."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Fearfully ^rb+cnj+++=Fearfully,
, ^zz++++=EXTRAWORD
with ^in++++=with
great ^jj+atrb+++=great
caution ^nn+nom+++=caution,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
in ^in++++=in
his ^pp$+pp3+++=his
joy ^nn++++=joy
in ^in++++=in
her ^pp$+pp3+++=her
he ^pp3a+pp3+++=he
might ^md+pos+++=might
crush ^vb++++=crush
her ^pp$+pp3+++=her
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
drew ^vbd+++xvbn+=drew
her ^pp$+pp3+++=her
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
held ^vbd+vprv++xvbn+=held
her ^pp$+pp3+++=her
close ^jj++++=close.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
silence ^nn+nom+++=silence
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
can ^md+pos+++=can
happen ^vb+++??+=happen
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
God ^np++++=God
has ^vbz+hvz+aux++=has
let ^vprf+++xvbnx+=let
me ^pp1o+pp1+++=me
love ^vb++++=love
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be
so ^ql+emph+++=so
cruel ^jj++++=cruel.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
me ^pp1o+pp1+++=me
such ^abl++++=such
happiness ^nns+nom+++=happiness
to ^to++++=to
take ^vbi++++=take
it ^pp3+it+++=it
from ^in++++=from
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
who ^whp+rel+subj++=who
loves ^vbz++++=loves
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
come ^vprf+++xvbn+=come
to ^in++++=to
any ^dti++++=any
harm ^nn++++=harm.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
man ^nn++++=man
You ^pp2+pp2+++=YOU
love ^nn++++=love
is ^vbz+bez+vrb++=is
immortal ^jj+pred+++=immortal,
, ^zz++++=EXTRAWORD
immune ^jj++++=immune.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
holds ^vbz+vprv+++=holds
a ^at++++=a
charmed ^jj+atrb++xvbn+=charmed
life ^nn++++=life.
. ^zz++++=EXTRAWORD
So ^ql++++=So
long ^rb++++=long
as ^ql++++=as
you ^pp2+pp2+++=you
love ^nn++++=love
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
must ^md+nec+++=must
live ^vb++++=live."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl
smiled ^vbd+++xvbn+=smiled
up ^rp++++=up
at ^in++++=at
him ^pp3o+pp3+++=him
through ^rp++++=through
her ^pp3o+pp3+++=her
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lifted ^vbd+++xvbnx+=lifted
her ^pp3o+pp3+++=her
lips ^nns++++=lips
to ^in++++=to
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
never ^rb++splt++=never
die ^vb++++=die!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
held ^vbd+vprv++xvbnx+=held
him ^pp3o+pp3+++=him
away ^in+pl+++=away
from ^in"++++=from
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen!"
listen ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
be ^vb+be+vrb++=be
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
always ^rb++++=always
