Tim ^np++++=TIM
flocked ^vbd+++xvbn+=flocked
about ^in++++=about
Jim ^np++++=Jim
O ^zz++++=O'Malley's
'malley's ^nns++be+??+0=EXTRAWORD
saloon ^nn++++=saloon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
pleased ^vpsv++agls+xvbnx+=pleased
with ^in++++=with
solitude ^nn++++=solitude,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
with ^in++++=with
these ^dt+dem+++=these
convivial ^jj+atrb+++=convivial
wits ^nns++++=wits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
not ^xnot++not++=not
very ^ql+amp+++=very
much ^ap++++=much
else ^rb+cnj+++=else
beside ^in+strn+++=beside.
. ^zz++++=EXTRAWORD
Jim ^np++++=Jim
O ^zz++++=O'Malley
'malley ^nn++be+??+0=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
Irish ^jj+atrb+++=Irish
poem ^nn++++=poem,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
to ^in+jcmp+++=to
inspiring ^jj+atrb+++=inspiring
measure ^nn++++=measure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
a ^at++++=a
Hibernian ^np+++??+=Hibernian
M ^zz++++=M
cenas ^nns+++??+=cenas,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
better ^jjr++++=better
than ^in++++=than
to ^to++++=to
put ^vbi++++=put
bad ^jj+atrb+++=bad
whiskey ^nn+++??+=whiskey
before ^in++++=before
a ^at++++=a
man ^nn++++=man
of ^in++++=of
talent ^nn++++=talent,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tell ^vb++++=tell
a ^at++++=a
trite ^nn++++=trite
tale ^nn++++=tale
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
wit ^nn++++=wit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
recountal ^nn+nom+++=recountal
of ^in++++=of
his ^pp$+pp3+++=his
disquisitions ^nns+nom+++=disquisitions
on ^in++++=on
politics ^nn++++=politics
and ^cc++++=and
other ^ap++++=other
current ^jj+atrb+++=current
matters ^nns+nom+++=matters
had ^vbd+hvd+aux++=had
enabled ^vprf+++xvbnx+=enabled
no ^at++++=no
less ^rbr++++=less
than ^in++++=than
three ^cd++++=three
men ^nns++++=men
to ^to++++=to
acquire ^vbi++++=acquire
national ^jj+atrb+++=national
reputations ^nns+nom+++=reputations;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
number ^nn++++=number
of ^in++++=of
wretches ^nns+++??+=wretches,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
gone ^vprf+++xvbn+=gone
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
men ^nns++++=men
who ^whp+rel+subj++=who
talk ^vb++++=talk
of ^in++++=of
art ^nn++++=art
for ^in++++=for
art ^nn++++=art's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dying ^nvbg+++xvbg+=dying
in ^in++++=in
foreign ^jj+atrb+++=foreign
lands ^nns++++=lands,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
hospitals ^nns+nom+++=hospitals,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
asylums ^nns+++??+=asylums,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
no ^at++++=no
one ^cd1++++=one
else ^rb+cnj+++=else
to ^to++++=to
be ^vbi++vrb++=be
homesick ^jj+pred+++=homesick
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
homesick ^jj++++=homesick
for ^in++++=for
Jim ^np++++=Jim
O ^zz++++=O'Malley,
'malley, ^nn++be+??+0=EXTRAWORD
and ^cc++++=and
wept ^vpsv++agls+xvbn+=wept
for ^in++++=for
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
his ^pp$+pp3+++=his
voice ^nn++++=voice
and ^cc++++=and
the ^ati++++=the
grasp ^nn++++=grasp
of ^in++++=of
his ^pp$+pp3+++=his
hearty ^jj+atrb+++=hearty
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Tim ^np++++=Tim
O ^zz++++=O'Connor
'connor ^nn+++??+=EXTRAWORD
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
back ^jjb++++=back
upon ^in++++=upon
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
things ^nns++++=things
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
to ^to++++=to
and ^cc++++=and
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
life ^nn++++=life
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
consistently ^rb++++=consistently
lived ^vbd+++xvbn+=lived
till ^cs+sub+++=till
the ^ati++++=the
unspeakable ^jj+atrb+++=unspeakable
end ^nn++++=end,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
get ^vbi++++=get
rid ^xvbn+++xvbn+=rid
of ^in++++=of
certain ^jj+atrb+++=certain
peculiarities ^nns+nom+++=peculiarities.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
all ^abn++++=all
his ^pp$+pp3+++=his
debauchery ^nn+nom+++=debauchery,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
to ^to++++=to
look ^vbi++++=look
like ^in++++=like
the ^ati++++=the
Beloved ^jj+atrb+++=Beloved
Apostle ^nn++++=Apostle.
. ^zz++++=EXTRAWORD
Notwithstanding ^rb+cnj+++=Notwithstanding
abject ^jj+atrb+++=abject
friendships ^nns+nom+++=friendships
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
limpid ^nn+++??+=limpid
and ^cc++++=and
noble ^jj+atrb+++=noble
English ^nn++++=English.
. ^zz++++=EXTRAWORD
Purity ^nn++++=Purity
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
dog ^vbi++++=dog
his ^pp$+pp3+++=his
heels ^nns++++=heels,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
how ^wrb+who+++=how
violently ^rb++++=violently
he ^pp3a+pp3+++=he
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
escape ^vbi++++=escape
from ^in++++=from
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
never ^rb++++=never
so ^cs+sub+++=so
drunk ^vprf+++xvbn+=drunk
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
an ^at++++=an
exquisite ^nn++++=exquisite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
his ^pp$+pp3+++=his
creditors ^nns++++=creditors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
inured ^xvbn+++xvbn+=inured
to ^in++++=to
his ^pp$+pp3+++=his
deceptions ^nns+nom+++=deceptions,
, ^zz++++=EXTRAWORD
confessed ^j+++xvbn+=confessed
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
privilege ^nn++++=privilege
to ^to++++=to
meet ^vbi++++=meet
so ^ql++++=so
perfect ^vb++++=perfect
a ^at++++=a
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
The ^ati++++=The
creature ^nn++++=creature
who ^whp+rel+subj++=who
held ^vbd+vprv++xvbn+=held
him ^pp3o+pp3+++=him
in ^in++++=in
bondage ^nn+nom+++=bondage,
, ^zz++++=EXTRAWORD
body ^nn++++=body
and ^cc++++=and
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
actually ^rb+amp+++=actually
came ^vbd+++xvbn+=came
to ^in++++=to
love ^nn++++=love
him ^pp3o+pp3+++=him
for ^in++++=for
his ^pp$+pp3+++=his
gentleness ^nns+nom+++=gentleness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
some ^dti++++=some
quality ^nn+nom+++=quality
which ^whp+rel+obj++=which
baffled ^jj++++=baffled
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vprf+++xvbn+=made
her ^pp$+pp3+++=her
ache ^nn++++=ache
with ^in++++=with
a ^at++++=a
strange ^jj++++=strange
longing ^jj+++xvbg+=longing
which ^whp+who+++=which
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
define ^vb++++=define.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
ever ^rb++++=ever
defined ^vbn+vprv+tht0+xvbn+=defined
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
beast ^nn++++=beast!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
skin ^nn++++=skin
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
pale ^jj+atrb+++=pale
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yellow ^jj+atrb+++=yellow
eyes ^nns++++=eyes
with ^in++++=with
brown ^jj+atrb+++=brown
lights ^nns++++=lights
in ^in++++=in
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
great ^jj+atrb+++=great
plaits ^nns++++=plaits
of ^in++++=of
straw ^nn++++=straw-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
About ^rb++++=About
her ^pp3o+pp3+++=her
lips ^nns++++=lips
was ^vbd+bedz+vrb++=was
a ^at++++=a
fatal ^jj+atrb+++=fatal
and ^cc+phrs+++=and
sensuous ^jj+atrb+++=sensuous
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
got ^vbd+++xvbn+=got
hold ^nn++++=hold
of ^in++++=of
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
imagination ^nn+nom+++=imagination,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
let ^vb+++xvbn+=let
it ^pp3+it+++=it
go ^vb++++=go,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
held ^vpsv++agls+xvbn+=held
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mocked ^vbd+++xvbn+=mocked
it ^pp3+it+++=it
till ^in++++=till
the ^ati++++=the
day ^nn++++=day
of ^in++++=of
his ^pp$+pp3+++=his
death ^nn++++=death.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
incarnation ^nn+nom+++=incarnation
of ^in++++=of
the ^ati++++=the
Eternal ^jj++++=Eternal
Feminine ^jj++++=Feminine,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
wifeliness ^nns+nom+++=wifeliness
and ^cc++++=and
the ^ati++++=the
maternity ^nn+nom+++=maternity
left ^vbd+++xvbn+=left
out ^rp+pl+++=out
- ^zz++++=-she
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
ancient ^jj+pred+++=ancient,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
ever ^rb++++=ever
young ^jj++++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
familiar ^jj++++=familiar
as ^ql++++=as
joy ^np++++=joy
or ^cc++++=or
tears ^nns++++=tears
or ^cc++++=or
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
good ^jj+atrb+++=good
care ^nn++++=care
of ^in++++=of
Tim ^np++++=Tim
in ^in++++=in
some ^dti++++=some
ways ^nns++++=ways:
: ^zz++++=EXTRAWORD
fed ^j+++xvbn+=fed
him ^pp3o+pp3+++=him
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
nursed ^j+++xvbn+=nursed
him ^pp3o+pp3+++=him
back ^jjb++++=back
to ^in++++=to
reason ^nn++++=reason
after ^in++++=after
a ^at++++=a
period ^nn++++=period
of ^in++++=of
hard ^nn++++=hard
drinking ^vwbg+++xvbg+=drinking,
, ^zz++++=EXTRAWORD
saw ^vb+++xvbn+=saw
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
overshoes ^nns+++??+=overshoes
when ^wrb+who+++=when
the ^ati++++=the
walks ^nns++++=walks
were ^vbd+bed+vrb++=were
wet ^jj+pred+++=wet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
after ^in+ppvb+++=after
his ^pp$+pp3+++=his
money ^nn++++=money.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
even ^rb++++=even
prized ^xvbn+++xvbn+=prized
his ^pp$+pp3+++=his
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
delicate ^jj+atrb+++=delicate
little ^jj+atrb+++=little
machine ^nn++++=machine
which ^whp+rel+subj++=which
produced ^vbd+++xvbn+=produced
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
By ^in++++=By
association ^nn+nom+++=association
with ^in++++=with
him ^pp3o+pp3+++=him
and ^cc++++=and
his ^pp$+pp3+++=his
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
learned ^vbd+vprv++xvbnx+=learned
that ^tht+vcmp+++=that
a ^at++++=a
number ^nn++++=number
of ^in++++=of
apparently ^rb++++=apparently
useless ^jj+atrb+++=useless
things ^nns++++=things
had ^vb+hv+vrb++=had
value ^nn++++=value
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
certain ^jj+atrb+++=certain
convenient ^jj+atrb+++=convenient
fools ^nns++++=fools,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
she ^pp3a+pp3+++=she
treasured ^vbd+++xvbnx+=treasured
the ^ati++++=the
autographs ^nns++++=autographs
of ^in++++=of
distinguished ^jj+atrb++xvbn+=distinguished
persons ^nns++++=persons
who ^whp+rel+subj++=who
wrote ^vbd+vprv++xvbn+=wrote
to ^in++++=to
him ^pp3o+pp3+++=him
- ^zz++++=-autographs
autographs ^nns++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
disdainfully ^rb++++=disdainfully
tossed ^vbd+++xvbn+=tossed
in ^in++++=in
the ^ati++++=the
waste ^nn++++=waste
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
careful ^jj+pred+++=careful
with ^in++++=with
presentation ^nn+nom+++=presentation
copies ^nns++++=copies
from ^in++++=from
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
urging ^xvbg+++xvbg+=urging
Tim ^np++++=Tim
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
book ^nn++++=book
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
balked ^vbd+++xvbnx+=balked.
. ^zz++++=EXTRAWORD
" ^zz++++="Write
write ^vb++++=EXTRAWORD
a ^at++++=a
book ^nn++++=book!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
gentle ^jj+atrb+++=gentle
face ^nn++++=face
suddenly ^rb++++=suddenly
white ^jj++++=white
with ^in++++=with
passion ^nn++++=passion.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
am ^vb+bem+aux++=am
I ^pp1a+pp1+++=I
to ^to++++=to
commit ^vbi++++=commit
such ^abl++++=such
a ^at++++=a
profanation ^nn+nom+++=profanation?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
theory ^nn++++=theory
that ^tht+ncmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
dangerous ^jj+pred+++=dangerous
to ^to++++=to
excite ^vbi++++=excite
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
up ^rp++++=up
till ^in++++=till
midnight ^nn++++=midnight
to ^to++++=to
cook ^vbi++++=cook
a ^at++++=a
chop ^nn++++=chop
for ^in++++=for
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
home ^nr++++=home
that ^tht+rel+++=that
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preferred ^vbd+++xvbnx+=preferred
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
her ^pp$+pp3+++=her
sitting ^vbg+++xvbg+=sitting
up ^rp++++=up
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
every ^at++++=every
electric ^jj++++=electric
light ^jj++++=light
in ^in++++=in
their ^pp$+pp3+++=their
apartments ^nns+nom+++=apartments
turned ^vbd+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
full ^nn++++=full.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If,
, ^zz++++=EXTRAWORD
by ^in++++=by
any ^dti++++=any
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
returned ^vbd+++xvbnx+=returned
together ^nn+nom+++=together
to ^in++++=to
a ^at++++=a
dark ^jj+atrb+++=dark
house ^npl++++=house,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
