1700 ^cd+date+++=1700
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
great ^jj+atrb+++=great
favorites ^nns++++=favorites,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Charles ^np++++=Charles
Ii ^np+++??+=II.
. ^zz++++=EXTRAWORD
insisted ^j+++xvbn+=insisted
on ^in++++=on
knighting ^np++++=knighting
the ^ati++++=the
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
glimpse ^nn++++=glimpse
of ^in++++=of
the ^ati++++=the
real ^jj+atrb+++=real
evils ^nns++++=evils
and ^cc++++=and
temptations ^nns+nom+++=temptations
of ^in++++=of
his ^pp$+pp3+++=his
Court ^nn++++=Court
sufficed ^vbd+++xvbn+=sufficed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
full ^jj+atrb+++=full
tide ^nn++++=tide
of ^in++++=of
flattery ^nn+nom+++=flattery
and ^cc++++=and
admiration ^nn+nom+++=admiration
the ^ati++++=the
lady ^nn++++=lady
begged ^vbd+++xvbn+=begged
to ^to+vcmp+++=to
return ^vbi++++=return
home ^nr++++=home,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
ever ^rb++++=ever
go ^vb++++=go
back ^jjb++++=back
to ^in++++=to
Court ^nn++++=Court
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
home ^nr++++=home
was ^vbd+bedz+vrb++=was
at ^rb++++=at
Castle ^nn++++=Castle
Lissard ^np+++??+=Lissard,
, ^zz++++=EXTRAWORD
in ^in++++=in
full ^jj+atrb+++=full
view ^nn++++=view
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+vrb++=was
a ^at++++=a
hillock ^nn+++??+=hillock
called ^vbd+++xvbn+=called
Fairymount ^np+++??+=Fairymount,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Firmont ^np+++??+=Firmont,
, ^zz++++=EXTRAWORD
from ^in++++=from
being ^nn+nn+aux++=being
supposed ^vb+vprv+pmd"+xvbn+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be
the ^ati++++=the
haunt ^nn++++=haunt
of ^in++++=of
fairies ^nns++++=fairies.
. ^zz++++=EXTRAWORD
Lights ^nns++++=Lights,
, ^zz++++=EXTRAWORD
noises ^nns++++=noises,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
singing ^vbg+++xvbg+=singing
at ^rb++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
clearly ^rb++++=clearly
discerned ^vbd+++xvbn+=discerned
from ^in++++=from
the ^ati++++=the
castle ^nn++++=castle,
, ^zz++++=EXTRAWORD
caused ^j+++xvbn+=caused
much ^ap++++=much
terror ^nn++++=terror
to ^in++++=to
Lady ^npt++++=Lady
Edgeworth ^np+++??+=Edgeworth,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
her ^pp3o+pp3+++=her
descendants ^nns+nom+++=descendants
affirm ^vb+++??+=affirm
that ^tht+vcmp+obj++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
fairies ^nns++++=fairies
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
genus ^nns+++??+=genus
as ^ql++++=as
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
beset ^xvbn+++xvbn+=beset
Sir ^npt++++=Sir
John ^np++++=John
Falstaff ^np++++=Falstaff
at ^in++++=at
Hearne ^np++++=Hearne's
's ^$++++=EXTRAWORD
oak ^nn++++=oak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intended ^vb+++xvbn+=intended
to ^to+vcmp+++=to
frighten ^vbi++++=frighten
her ^pp$+pp3+++=her
into ^in++++=into
leaving ^xvbg+++xvbg+=leaving
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
her ^pp3o+pp3+++=her
nerves ^nns++++=nerves
might ^md+pos+++=might
be ^vb+be+aux++=be
disturbed ^vpsv++agls+xvbnx+=disturbed,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
spirit ^nn++++=spirit
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
daunted ^vpsv++agls+xvbnx+=daunted;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
fairies ^nns++++=fairies
or ^cc++++=or
no ^at++++=no
fairies ^nns++++=fairies,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
held ^vbd+vprv+tht0+xvbnx+=held
her ^pp$+pp3+++=her
ground ^nn++++=ground
at ^rb++++=at
Castle ^nn++++=Castle
Lissard ^np+++??+=Lissard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
showed ^vbd+vprv++xvbn+=showed
what ^wdt+who+whcl++=what
manner ^nn++++=manner
of ^in++++=of
woman ^nn++++=woman
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
veritable ^jj++++=veritable
and ^cc++++=and
most ^ql+emph+++=most
fearful ^jj+atrb+++=fearful
peril ^nn++++=peril.
. ^zz++++=EXTRAWORD
On ^in++++=On
some ^dti++++=some
alarm ^nn++++=alarm
which ^whp+rel+subj++=which
caused ^vbd+++xvbn+=caused
the ^ati++++=the
gentlemen ^nns++++=gentlemen
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
to ^to++++=to
take ^vbi++++=take
down ^rb+phrv+++=down
their ^pp$+pp3+++=their
guns ^nns++++=guns,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in++++=to
a ^at++++=a
dark ^jj+atrb+++=dark
loft ^nn++++=loft
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
to ^to++++=to
fetch ^vbi++++=fetch
some ^dti++++=some
powder ^nn++++=powder
from ^in++++=from
a ^at++++=a
barrel ^nn++++=barrel
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
there ^ex+pex+++=there
kept ^vbd+++xvbn+=kept
in ^rb+phrv+++=in
store ^nn++++=store,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
a ^at++++=a
young ^jj+atrb+++=young
maid ^nn++++=maid-servant
- ^zz++++=EXTRAWORD
servant ^nn+nom+++=EXTRAWORD
to ^to++++=to
carry ^vbi++++=carry
the ^ati++++=the
candle ^nn++++=candle;
; ^zz++++=EXTRAWORD
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
as ^ql++++=as
might ^md+pos+++=might
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
in ^in++++=in
an ^at++++=an
Irish ^jj+atrb+++=Irish
household ^nn++++=household
of ^in++++=of
the ^ati++++=the
seventeenth ^od++++=seventeenth
century ^nn++++=century,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
devoid ^in++++=devoid
of ^in"++++=of
any ^dti++++=any
candlestick ^nn+++??+=candlestick.
. ^zz++++=EXTRAWORD
After ^in++++=After
taking ^xvbg+++xvbg+=taking
the ^ati++++=the
needful ^jj+atrb+++=needful
amount ^nn++++=amount
of ^in++++=of
gunpowder ^nn+nom+++=gunpowder,
, ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Edgeworth ^np+++??+=Edgeworth
locked ^vbd+++xvbn+=locked
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
halfway ^rb++++=halfway
downstairs ^jjb+pred+++=downstairs
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
missed ^vbd+++xvbnx+=missed
the ^ati++++=the
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asking ^vbg+vsua++xvbg+=asking
the ^ati++++=the
girl ^nn++++=girl
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
received ^j+++xvbn+=received
the ^ati++++=the
cool ^vb++++=cool
answer ^vb++++=answer
that ^tht+vcmp+++=that
' ^zz++++='she
she ^pp3a+pp3+++=EXTRAWORD
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
it ^pp3+it+++=it
sticking ^vbg+++xvbg+=sticking
in ^in++++=in
the ^ati++++=the
barrel ^nn++++=barrel
of ^in++++=of
black ^jj+atrb+++=black
salt ^jj+atrb+++=salt'.
'. ^nn+++??+=EXTRAWORD
Lady ^npt++++=Lady
Edgeworth ^np+++??+=Edgeworth
bade ^vbd+++xvbn+=bade
her ^pp$+pp3+++=her
stand ^vb++++=stand
still ^jj+pred+++=still,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
back ^jjb++++=back
alone ^rb++++=alone
to ^in++++=to
the ^ati++++=the
loft ^nn++++=loft
where ^wrb+who+++=where
the ^ati++++=the
tallow ^nn+++??+=tallow
candle ^nn++++=candle
stood ^vbd+++xvbn+=stood
guttering ^nn++++=guttering
and ^cc++++=and
flaring ^jj++++=flaring
planted ^jj+++xvbn+=planted
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
gunpowder ^nn+nom+++=gunpowder,
, ^zz++++=EXTRAWORD
resolutely ^rb++++=resolutely
put ^vb+++xvbn+=put
an ^at++++=an
untrembling ^nn+nom+++=untrembling
hand ^nn++++=hand
beneath ^in+pl+++=beneath
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
it ^pp3+it+++=it
out ^rp+pl+++=out
so ^rb++++=so
steadily ^rb++++=steadily
that ^dt+dem+++=that
no ^at++++=no
spark ^nn++++=spark
fell ^vbd+++xvbn+=fell,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
it ^pp3+it+++=it
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
stairs ^nns++++=stairs
dropped ^vbd+++xvbn+=dropped
on ^in++++=on
her ^pp$+pp3+++=her
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
broke ^vbd+++xvbn+=broke
forth ^rp++++=forth
in ^in++++=in
a ^at++++=a
thanksgiving ^jj+++xvbg+=thanksgiving
aloud ^rb++++=aloud
for ^in++++=for
the ^ati++++=the
safety ^nn++++=safety
of ^in++++=of
the ^ati++++=the
household ^nn++++=household
in ^in++++=in
this ^dt+dem+++=this
frightful ^jj+atrb+++=frightful
peril ^nn++++=peril.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
high ^jj++++=high-spirited
- ^zz++++=EXTRAWORD
spirited ^jj+atrb+++=EXTRAWORD
lady ^npt++++=lady
lived ^vbd+++xvbn+=lived
to ^to++++=to
be ^vbi++vrb++=be
ninety ^cd++++=ninety
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^vbd+++xvbn+=left
a ^at++++=a
numerous ^jj+atrb+++=numerous
family ^nn++++=family.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
grandson ^nn++++=grandson
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Abbe ^np+++??+=Abbe
Edgeworth ^np+++??+=Edgeworth,
, ^zz++++=EXTRAWORD
known ^j+++xvbn+=known
in ^in++++=in
France ^np++++=France
as ^ql++++=as
De ^&fw++++=De
Firmont ^np+++??+=Firmont,
, ^zz++++=EXTRAWORD
such ^abl++++=such
being ^jj+++xvbg+=being
the ^ati++++=the
alteration ^nn+nom+++=alteration
of ^in++++=of
Fairymount ^np+++??+=Fairymount
on ^in++++=on
French ^jj+atrb+++=French
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
who ^whp+who+++=who,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
peril ^nn++++=peril
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
life ^nn++++=life,
, ^zz++++=EXTRAWORD
attended ^j+++xvbn+=attended
Louis ^np++++=Louis
Xvi ^np+++??+=XVI.
. ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
guillotine ^nn++++=guillotine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
connected ^vbd+++xvbn+=connected
his ^pp$+pp3+++=his
name ^nn++++=name
so ^rb++++=so
closely ^rb++++=closely
with ^in++++=with
the ^ati++++=the
royal ^jj+atrb+++=royal
cause ^nn++++=cause
that ^tht+rel+++=that
when ^wrb+who+++=when
his ^pp$+pp3+++=his
cousin ^nn++++=cousin
Richard ^np++++=Richard
Lovell ^np+++??+=Lovell
Edgeworth ^np+++??+=Edgeworth,
, ^zz++++=EXTRAWORD
of ^in++++=of
Edgeworths ^np+++??+=Edgeworths-town,
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
visited ^j+++xvbn+=visited
France ^np++++=France
several ^ap++++=several
years ^nns++++=years
after ^in+strn+++=after,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
person ^nn++++=person
so ^ql+emph+++=so
called ^jj+++xvbn+=called
was ^vbd+bedz+aux++=was
deemed ^vpsv++agls+xvbnx+=deemed
perilous ^jj++++=perilous
to ^in++++=to
the ^ati++++=the
rising ^jj+atrb++xvbg+=rising
power ^nn++++=power
of ^in++++=of
Napoleon ^np++++=Napoleon.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
latter ^ap++++=latter
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Edgeworth ^np++++=Edgeworth
was ^vbd+bedz+vrb++=was
the ^ati++++=the
father ^nn++++=father
of ^in++++=of
Maria ^&fw++++=Maria,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
works ^nns++++=works
we ^pp1a+pp1+++=we
hope ^nn++++=hope
are ^vb+ber+aux++=are
well ^rb++splt++=well
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
our ^pp$+pp1+++=our
young ^jj+atrb+++=young
readers ^nns+nom+++=readers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
good ^jj+atrb+++=good
Chevalier ^np+nom++??+=Chevalier
Bayard ^np+++??+=Bayard
was ^vbd+bedz+vrb++=was
wont ^nn++++=wont
to ^to++++=to
mourn ^vbi++++=mourn
over ^in++++=over
the ^ati++++=the
introduction ^nn+nom+++=introduction
of ^in++++=of
firearms ^nns++++=firearms,
, ^zz++++=EXTRAWORD
as ^ql++++=as
destructive ^jj++++=destructive
of ^in++++=of
chivalry ^nn++++=chivalry;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
