[ ^zz++++=[The
began ^vbd+++xvbn+=began
disputing ^vbg+++xvbg+=disputing
with ^in++++=with
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
get ^vbi++++=get
round ^rb++++=round
the ^ati++++=the
bear ^nn++++=bear
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
' ^zz++++='On
on ^in++++=EXTRAWORD
such ^abl++++=such
snow ^np++++=snow
as ^ql++++=as
this ^dt+pdem+++=this,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='he
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
fat ^nn++++=fat
bear ^vb+vprv+++=bear.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
settle ^vb++++=settle
down ^rp++++=down
before ^in++++=before
evening ^nn++++=evening;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
overtake ^vb++++=overtake
him ^pp3o+pp3+++=him
on ^in++++=on
snowshoes ^nns+++??+=snowshoes.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
comrade ^nn++++=comrade
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
with ^in++++=with
was ^vbd+bedz+vrb++=was
against ^in++++=against
following ^xvbg+++xvbg+=following
up ^rp++++=up
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
advised ^vbd+vpub++xvbn+=advised
waiting ^vbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='We
we ^pp1a+pp1+++=EXTRAWORD
need ^vb++++=need
not ^xnot++not++=not
argue ^vb+vpub+++=argue.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+vrb++=do
as ^ql++++=as
you ^pp2+pp2+++=you
like ^vb++++=like,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
will ^md+prd+++=will
follow ^vb+vprv+++=follow
up ^rp++++=up
the ^ati++++=the
track ^nn++++=track
with ^in++++=with
Damian ^np+++??+=Damian.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
get ^vb++++=get
round ^rb++++=round
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
lose ^vb++++=lose
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
still ^rb+atrb+++=still
early ^jj+pred+++=early,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
else ^rb+cnj+++=else
for ^in++++=for
us ^pp1o+pp1+++=us
to ^to++++=to
do ^vbi++++=do
to ^to++++=to-day.'
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
arranged ^vpsv++agls+xvbnx+=arranged.
. ^zz++++=EXTRAWORD
The ^ati++++=The
others ^aps++++=others
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
sledges ^nns+++??+=sledges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
and ^cc++++=and
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
some ^dti++++=some
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
remained ^vpsv++agls+xvbn+=remained
behind ^in+pl+++=behind
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
all ^abn++++=all
left ^jj+++xvbn+=left
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
and ^cc++++=and
I ^pp1a+pp1+++=I
examined ^vbd+++xvbnx+=examined
our ^pp$+pp1+++=our
guns ^nns++++=guns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
tucking ^xvbg+++xvbg+=tucking
the ^ati++++=the
skirts ^nns++++=skirts
of ^in++++=of
our ^pp$+pp1+++=our
warm ^jj+atrb+++=warm
coats ^nns++++=coats
into ^in++++=into
our ^pp$+pp1+++=our
belts ^nns++++=belts,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
started ^vbd+++xvbn+=started
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
tracks ^nns++++=tracks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
fine ^jj+pred+++=fine,
, ^zz++++=EXTRAWORD
frosty ^nn+++??+=frosty
and ^cc++++=and
calm ^nn++++=calm;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
hard ^jj+atrb+++=hard
work ^nn++++=work
snow ^np++++=snow-shoeing.
- ^zz++++=EXTRAWORD
shoeing ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
snow ^nn++++=snow
was ^vbd+bedz+vrb++=was
deep ^jj+pred+++=deep
and ^cc+phrs+++=and
soft ^jj++++=soft:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
caked ^vbd+++xvbn+=caked
together ^nn+nom+++=together
at ^rb++++=at
all ^abn++++=all
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fresh ^jj+atrb+++=fresh
snow ^nn++++=snow
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
the ^ati++++=the
day ^nn++++=day
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
our ^pp$+pp1+++=our
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
sank ^vbd+++xvbn+=sank
six ^cd++++=six
inches ^nns++++=inches
deep ^jj++++=deep
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
tracks ^nns++++=tracks
were ^vbd+bed+vrb++=were
visible ^jj+pred+++=visible
from ^in++++=from
a ^at++++=a
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
could ^md+pos+++=could
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
going ^vbg+++xvbgx+=going;
; ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
sinking ^nvbg+++xvbg+=sinking
in ^in++++=in
up ^in+cmpx+++=up
to ^in"++++=to
his ^pp$+pp3+++=his
belly ^nn++++=belly
and ^cc++++=and
ploughing ^nvbg+++xvbg+=ploughing
up ^rp++++=up
the ^ati++++=the
snow ^np++++=snow
as ^ql++++=as
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
under ^in++++=under
large ^jj+atrb+++=large
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
kept ^vbd+++xvbn+=kept
in ^rb+phrv+++=in
sight ^nn++++=sight
of ^in++++=of
his ^pp$+pp3+++=his
track ^nn++++=track;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
it ^pp3+it+++=it
turned ^vbd+++xvbn+=turned
into ^in++++=into
a ^at++++=a
thicket ^nn++++=thicket
of ^in++++=of
small ^jj+atrb+++=small
firs ^nns+++??+=firs,
, ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
' ^zz++++='We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
leave ^vb++++=leave
the ^ati++++=the
trail ^nn++++=trail
now ^rn+tm+++=now,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
probably ^rb++splt++=probably
settled ^vprf+++xvbnx+=settled
somewhere ^rb++++=somewhere
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
see ^vb+vprv+++=see
by ^in++++=by
the ^ati++++=the
snow ^nn++++=snow
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
squatting ^vbg+++xvbgx+=squatting
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
leave ^vb++++=leave
the ^ati++++=the
track ^nn++++=track
and ^cc++++=and
go ^vb++++=go
round ^rb++++=round;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
must ^md+nec+++=must
go ^vb++++=go
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
shout ^vb++++=shout
or ^cc++++=or
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
frighten ^vb++++=frighten
him ^pp3o+pp3+++=him
away ^rp+pl+++=away.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Leaving ^vbg+++xvbg+=Leaving
the ^ati++++=the
track ^nn++++=track,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
turned ^vbd+++xvbn+=turned
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
about ^in+ppvb+++=about
five ^cd++++=five
hundred ^cd++++=hundred
yards ^nns++++=yards,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
the ^ati++++=the
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
traces ^nns++++=traces
again ^rb+tm+++=again
right ^jj++++=right
before ^in++++=before
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
followed ^vbd+vprv++xvbn+=followed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
brought ^vbd+++xvbnx+=brought
us ^pp1o+pp1+++=us
out ^rp+pl+++=out
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
we ^pp1a+pp1+++=we
stopped ^vbd+++xvbn+=stopped,
, ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=examining
the ^ati++++=the
road ^nn++++=road
to ^to++++=to
see ^vbi+vprv+++=see
which ^wdt+who+whcl++=which
way ^nn++++=way
the ^ati++++=the
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
and ^cc+phrs+++=and
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow
were ^vbd+bed+vrb++=were
prints ^nns++++=prints
of ^in++++=of
the ^ati++++=the
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
paw ^nn++++=paw,
, ^zz++++=EXTRAWORD
claws ^nns++++=claws
and ^cc++++=and
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
the ^ati++++=the
marks ^nns++++=marks
of ^in++++=of
a ^at++++=a
peasant ^nn+nom+++=peasant's
's ^$++++=EXTRAWORD
bark ^nn++++=bark
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^vb+vprv+++=bear
had ^vb+hv+aux++=had
evidently ^rb++splt++=evidently
gone ^vprf+++xvbnx+=gone
towards ^in++++=towards
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
use ^nn++++=use
watching ^vwbg+++xvbg+=watching
the ^ati++++=the
road ^nn++++=road
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
see ^vb+vprv+++=see
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
turned ^vprf+++xvbnx+=turned
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
to ^in++++=to
right ^nn++++=right
or ^cc++++=or
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
marks ^nns++++=marks
in ^in++++=in
the ^ati++++=the
soft ^jj+atrb+++=soft
snow ^nn++++=snow
at ^rb++++=at
the ^ati++++=the
side ^nn++++=side.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
have ^vb+hv+aux++=have
turned ^vprf+++xvbnx+=turned
off ^in+pl+++=off
somewhere ^rb++++=somewhere;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
village ^nn+nom+++=village.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
along ^in++++=along
the ^ati++++=the
road ^nn++++=road
for ^in++++=for
nearly ^rb+down+++=nearly
a ^at++++=a
mile ^nn++++=mile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
ahead ^rb+pl+++=ahead
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
track ^nn++++=track
turning ^vwbg+++xvbg+=turning
off ^in+pl+++=off
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
examined ^vbd+++xvbn+=examined
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
strange ^jj++++=strange!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
track ^nn++++=track
right ^jj++++=right
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
not ^xnot++not++=not
going ^vbg+++xvbg+=going
from ^in++++=from
the ^ati++++=the
road ^nn++++=road
into ^in++++=into
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
the ^ati++++=the
forest ^nn++++=forest
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
road ^nn++++=road!
! ^zz++++=EXTRAWORD
The ^ati++++=The
toes ^nns++++=toes
were ^vbd+bed+aux++=were
pointing ^vbg+++xvbgx+=pointing
towards ^in++++=towards
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
' ^zz++++='This
this ^dt+pdem+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
another ^dt++++=another
bear ^vb+vprv+++=bear,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
looked ^vbd+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
considered ^vbd+vprv++xvbn+=considered
a ^at++++=a
while ^cs+sub+++=while.
. ^zz++++=EXTRAWORD
' ^zz++++='No,'
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
playing ^vbg+++xvbgx+=playing
tricks ^nns++++=tricks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vbd+++xvbn+=walked
backwards ^rb++++=backwards
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
the ^ati++++=the
road ^nn++++=road.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
track ^nn++++=track,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=was
so ^ql++++=so!
! ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
some ^dti++++=some
ten ^cd++++=ten
steps ^nns++++=steps
backwards ^rb+cnj+++=backwards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
a ^at++++=a
fir ^nn++++=fir
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
round ^rb+phrv+++=round
and ^cc++++=and
gone ^vprf+++xvbn+=gone
straight ^jj++++=straight
ahead ^rb+pl+++=ahead.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
get ^vbi++++=get
round ^rb++++=round
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
marsh ^nn++++=marsh
ahead ^rb+pl+++=ahead
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
settled ^vprf+++xvbnx+=settled
down ^rp++++=down
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
go ^vb++++=go
round ^rb++++=round
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
began ^vbd+++xvbn+=began
to ^to++++=to
make ^vbi++++=make
our ^pp$+pp1+++=our
way ^nn++++=way
round ^nn++++=round,
, ^zz++++=EXTRAWORD
through ^in++++=through
a ^at++++=a
fir ^nn++++=fir
thicket ^nn++++=thicket.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
