Not ^xnot++not++=Not
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
entrances ^nns+nom+++=entrances
facing ^vwbg+++xvbg+=facing
each ^dt++++=each
other ^ap++++=other
led ^jj+++xvbn+=led
to ^in++++=to
the ^ati++++=the
main ^jjb+atrb+++=main
or ^cc+phrs+++=or
living ^jj+atrb++xvbg+=living
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
large ^jj++++=large
that ^cs+sub+++=that
a ^at++++=a
horse ^nn++++=horse
could ^md+pos+++=could
pass ^vb++++=pass
through ^rp++++=through
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
in ^rb+phrv+++=in
immense ^jj++++=immense
back ^rp++++=back-logs.
- ^zz++++=EXTRAWORD
logs ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
detached ^vpsv++agls+xvbnx+=detached
from ^in++++=from
a ^at++++=a
chain ^nn++++=chain
when ^wrb+who+++=when
in ^in++++=in
the ^ati++++=the
proper ^jj+atrb+++=proper
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
rolled ^vpsv++agls+xvbnx+=rolled
into ^in++++=into
the ^ati++++=the
huge ^jj+atrb+++=huge
fireplace ^nn++++=fireplace
that ^tht+rel+subj++=that
yawned ^vbd+++xvbn+=yawned
like ^in++++=like
a ^at++++=a
sooty ^jj+atrb+++=sooty
cavern ^nn++++=cavern
at ^in++++=at
the ^ati++++=the
farther ^rbr++++=farther
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
apartment ^nn+nom+++=apartment.
. ^zz++++=EXTRAWORD
A ^at++++=A
modern ^jj+atrb+++=modern
housekeeper ^nn+nom+++=housekeeper,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
finds ^vbz+vprv+++=finds
wood ^npl++++=wood
too ^ql++++=too
dear ^uh++++=dear
an ^at++++=an
article ^nn++++=article
for ^in++++=for
even ^rb++++=even
the ^ati++++=the
air ^nn++++=air-tight
- ^zz++++=EXTRAWORD
tight ^jj+atrb+++=EXTRAWORD
stove ^nn++++=stove,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
appalled ^vpsv++by+xvbnx+=appalled
by ^in++++=by
this ^dt+dem+++=this
fireplace ^nn++++=fireplace.
. ^zz++++=EXTRAWORD
Stalwart ^jj+atrb+++=Stalwart
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Reynolds ^np++++=Reynolds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
master ^nn++++=master
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
easily ^rb++++=easily
walk ^nn++++=walk
under ^in++++=under
its ^pp$+it+++=its
stony ^jj+atrb+++=stony
arch ^nn++++=arch
without ^in++++=without
removing ^xvbg+++xvbg+=removing
his ^pp$+pp3+++=his
broadbrimmed ^jj+atrb++xvbn+=broadbrimmed
Quaker ^nn++++=Quaker
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
left ^jj+atrb++xvbn+=left
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
a ^at++++=a
convenient ^jj+atrb+++=convenient
height ^nn++++=height
from ^in++++=from
the ^ati++++=the
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
a ^at++++=a
massive ^jj+atrb+++=massive
crane ^nn++++=crane
swung ^vbd+++xvbn+=swung
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
high ^jj++++=high
above ^jjb++++=above
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
fire ^nn++++=fire
was ^vbd+bedz+vrb++=was
an ^at++++=an
iron ^nn++++=iron
hook ^nn++++=hook,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
trammel ^nn+++??+=trammel,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
by ^in++++=by
chains ^nns++++=chains
were ^vbd+bed+aux++=were
suspended ^vpsv++agls+xvbnx+=suspended
the ^ati++++=the
capacious ^jj+atrb+++=capacious
iron ^nn++++=iron
pots ^nns++++=pots
used ^vwbn+++xvbn+=used
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days
for ^in++++=for
culinary ^jj++++=culinary
or ^cc++++=or
for ^in++++=for
stock ^nn++++=stock-feeding
- ^zz++++=EXTRAWORD
feeding ^vbg+++xvbg+=EXTRAWORD
purposes ^nns++++=purposes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
trammel ^nn+++??+=trammel,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
hitherto ^rb++++=hitherto
had ^vbd+hvd+aux++=had
suggested ^vprf+++xvbnx+=suggested
only ^rb+down+++=only
good ^jj+atrb+++=good
cheer ^nn++++=cheer,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
destined ^vpsv++agls+xvbnx+=destined
to ^in++++=to
have ^vbi++vrb++=have
in ^in++++=in
coming ^xvbg+++xvbg+=coming
years ^nns++++=years
a ^at++++=a
terrible ^jj+atrb+++=terrible
significance ^nn+nom+++=significance
to ^in++++=to
the ^ati++++=the
household ^nn++++=household.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
blaze ^nn++++=blaze
was ^vbd+bedz+vrb++=was
moderate ^jj+pred+++=moderate,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
bed ^nn++++=bed
of ^in++++=of
live ^jj+atrb+++=live
coals ^nns++++=coals
not ^xnot++not++=not
too ^rb++++=too
ample ^jj++++=ample,
, ^zz++++=EXTRAWORD
the ^ati++++=the
children ^nns++++=children
could ^md+pos+++=could
sit ^vb++++=sit
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
fireplace ^nn++++=fireplace
and ^cc++++=and
watch ^vb++++=watch
the ^ati++++=the
stars ^nns++++=stars
through ^in++++=through
its ^pp$+it+++=its
wide ^jj+atrb+++=wide
flue ^nn++++=flue;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
a ^at++++=a
favorite ^jj+atrb+++=favorite
amusement ^nn+nom+++=amusement
of ^in++++=of
Phebe ^np+++??+=Phebe
Reynolds ^np++++=Reynolds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eldest ^jjt+atrb+++=eldest
daughter ^nn+nom+++=daughter
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
A ^at++++=A
door ^nn++++=door
opened ^vbd+++xvbn+=opened
from ^in++++=from
the ^ati++++=the
living ^jj+++xvbg+=living-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
other ^ap++++=other
apartments ^nns+nom+++=apartments,
, ^zz++++=EXTRAWORD
furnished ^j+++xvbn+=furnished
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
massive ^jj+atrb+++=massive
style ^nn++++=style
that ^tht+rel+obj++=that
outlasts ^nns+++??+=outlasts
many ^ap++++=many
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
windows ^nns++++=windows
were ^vbd+bed+aux++=were
protected ^vpsv++by+xvbnx+=protected
by ^in++++=by
stout ^nn++++=stout
oaken ^vbd+++xvbn+=oaken
shutters ^nns+nom+++=shutters
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
closed ^jj+++xvbn+=closed,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
transformed ^vbd+++xvbn+=transformed
the ^ati++++=the
dwelling ^jj+++xvbg+=dwelling
into ^in++++=into
a ^at++++=a
fortress ^nns+nom+++=fortress,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
security ^nn+nom+++=security
against ^in++++=against
any ^dti++++=any
ordinary ^jj+atrb+++=ordinary
attack ^nn++++=attack.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
loopholes ^nns++++=loopholes
in ^in++++=in
the ^ati++++=the
walls ^nns++++=walls
through ^in++++=through
which ^whp+rel+pied++=which
the ^ati++++=the
muzzle ^nn++++=muzzle
of ^in++++=of
the ^ati++++=the
deadly ^jj+atrb+++=deadly
rifle ^nn++++=rifle
could ^md+pos+++=could
be ^vb+be+aux++=be
thrust ^vpsv++agls+xvbnx+=thrust
and ^cc+phrs+++=and
fired ^vpsv++agls+xvbn+=fired
from ^in++++=from
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
feature ^nn++++=feature,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
common ^jj++++=common
in ^in++++=in
the ^ati++++=the
primitive ^jj+atrb+++=primitive
abodes ^nns+++??+=abodes
of ^in++++=of
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
John ^np++++=John
Reynolds ^np++++=Reynolds's
's ^$++++=EXTRAWORD
Quaker ^nn++++=Quaker
principles ^nns++++=principles.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
indisposed ^vprf+++xvbn+=indisposed
to ^to++++=to
fight ^vbi++++=fight,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
the ^ati++++=the
good ^jj+atrb+++=good
man ^nn++++=man
intended ^vwbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
interpose ^vbi++++=interpose
between ^in++++=between
himself ^ppl+pp3+++=himself
and ^cc++++=and
his ^pp$+pp3+++=his
enemies ^nns++++=enemies
all ^rb++++=all
the ^ati++++=the
passive ^jj+atrb+++=passive
resistance ^nn+nom+++=resistance
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
stout ^jj++++=stout
little ^ap++++=little
domicile ^nn+++??+=domicile
could ^md+pos+++=could
offer ^vb++++=offer.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
enemies ^nns++++=enemies
of ^in++++=of
the ^ati++++=the
bitterest ^jjt++++=bitterest
and ^cc++++=and
most ^ql+emph+++=most
unscrupulous ^jj+atrb+++=unscrupulous
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
stanch ^nn+++??+=stanch
Whig ^np+++??+=Whig,
, ^zz++++=EXTRAWORD
loyal ^jj++++=loyal
to ^in++++=to
the ^ati++++=the
American ^jj+atrb+++=American
cause ^nn++++=cause,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
above ^jjb++++=above
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
resolute ^jj++++=resolute
and ^cc+phrs+++=and
active ^jj++++=active
in ^in++++=in
the ^ati++++=the
maintenance ^nn+nom+++=maintenance
of ^in++++=of
law ^nn++++=law
and ^cc++++=and
order ^nn++++=order
in ^in++++=in
those ^dt+dem+++=those
lawless ^jj+atrb+++=lawless
times ^nns++++=times.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thus ^rb+cnj+++=thus
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
himself ^ppl+pp3+++=himself
obnoxious ^jj++++=obnoxious
to ^in++++=to
his ^pp$+pp3+++=his
Tory ^jj+atrb+++=Tory
neighbors ^nns++++=neighbors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
object ^nn++++=object
of ^in++++=of
hate ^nn++++=hate
and ^cc++++=and
fear ^nn++++=fear
to ^in++++=to
a ^at++++=a
gang ^nn++++=gang
of ^in++++=of
marauders ^nns+nom+++=marauders,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
pretence ^nn+nom+++=pretence
of ^in++++=of
acting ^xvbg+++xvbg+=acting
with ^in++++=with
the ^ati++++=the
British ^jj+atrb+++=British
forces ^nns++++=forces,
, ^zz++++=EXTRAWORD
plundered ^vprf+++xvbn+=plundered
the ^ati++++=the
country ^nn++++=country
far ^rb+pl+++=far
and ^cc++++=and
near ^jj++++=near.
. ^zz++++=EXTRAWORD
Claudius ^np++++=Claudius
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Robin ^np++++=Robin
Hood ^nn++++=Hood
of ^in++++=of
the ^ati++++=the
Highlands ^nps++++=Highlands
and ^cc++++=and
the ^ati++++=the
terror ^nn++++=terror
of ^in++++=of
the ^ati++++=the
pastoral ^jj+atrb+++=pastoral
low ^jj+atrb+++=low
country ^nn++++=country,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
formerly ^rb+tm+splt++=formerly
been ^vprf+ben+vrb+xvbnx+=been
their ^pp$+pp3+++=their
leader ^nn++++=leader;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sympathy ^nn++++=sympathy
shown ^vwbn+vprv++xvbn+=shown
by ^in++++=by
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Reynolds ^np++++=Reynolds
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
efforts ^nns++++=efforts
to ^to+ncmp+++=to
bring ^vbi++++=bring
him ^pp3o+pp3+++=him
to ^in++++=to
justice ^nn++++=justice
which ^whp+rel+subj++=which
finally ^rb++++=finally
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
his ^pp$+pp3+++=his
capture ^nn++++=capture
and ^cc++++=and
execution ^nn+nom+++=execution,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
awakened ^vpsv++agls+xvbn+=awakened
among ^in++++=among
his ^pp$+pp3+++=his
former ^ap++++=former
associates ^nns+nom+++=associates
an ^at++++=an
intense ^jj+atrb+++=intense
desire ^nn++++=desire
for ^in++++=for
revenge ^nn++++=revenge.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
known ^vwbn+vprv++xvbn+=known
to ^to+vcmp+++=to
the ^ati++++=the
farmer ^nn++++=farmer,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
him ^pp3o+pp3+++=him
constantly ^rb++++=constantly
on ^in++++=on
his ^pp$+pp3+++=his
guard ^nn++++=guard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
filled ^vbd+++xvbn+=filled
his ^pp$+pp3+++=his
wife ^nn++++=wife
and ^cc++++=and
daughter ^nn+nom+++=daughter
Phebe ^np+++??+=Phebe
with ^in++++=with
deep ^jj+atrb+++=deep
apprehension ^nn++++=apprehension.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
our ^pp$+pp1+++=our
story ^nn++++=story,
, ^zz++++=EXTRAWORD
Phebe ^np+++??+=Phebe
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
twelve ^cd++++=twelve
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
mature ^jj+pred+++=mature
beyond ^in++++=beyond
her ^pp$+pp3+++=her
years ^nns++++=years.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
several ^ap++++=several
younger ^jjr+atrb+++=younger
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
almost ^rb+hdg+++=almost
womanly ^jj++++=womanly
in ^in++++=in
aiding ^xvbg+++xvbg+=aiding
her ^pp3o+pp3+++=her
mother ^npt++++=mother
in ^in++++=in
their ^pp$+pp3+++=their
care ^nn++++=care.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
stout ^jj++++=stout,
, ^zz++++=EXTRAWORD
plump ^jj+atrb+++=plump
little ^jj+atrb+++=little
body ^nn++++=body
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed
rather ^rb++++=rather
than ^in++++=than
enfeebled ^nn++++=enfeebled
by ^in++++=by
early ^jj+atrb+++=early
toil ^nn++++=toil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
resolute ^jj++++=resolute
and ^cc++++=and
often ^rb++++=often
mirthful ^jj+atrb+++=mirthful
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
bespoke ^nn+++??+=bespoke
a ^at++++=a
spirit ^nn++++=spirit
not ^xnot++not++=not
easily ^rb++++=easily
daunted ^jj+++xvbn+=daunted.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
native ^jj+atrb+++=native
growth ^nn++++=growth
of ^in++++=of
the ^ati++++=the
period ^nn++++=period,
, ^zz++++=EXTRAWORD
vitalized ^xvbn+++xvbn+=vitalized
by ^in++++=by
pure ^jj+atrb+++=pure
air ^nn++++=air
and ^cc++++=and
out ^rp+pl+++=out-of-door
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
pursuits ^nns++++=pursuits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
abounded ^vbd+++xvbnx+=abounded
in ^in++++=in
the ^ati++++=the
shrewd ^jj+atrb+++=shrewd
intelligence ^nn+nom+++=intelligence
and ^cc++++=and
demure ^jj+atrb+++=demure
refinement ^nn+nom+++=refinement
of ^in++++=of
her ^pp$+pp3+++=her
sect ^nn++++=sect
to ^in++++=to
a ^at++++=a
degree ^nn++++=degree
that ^tht+rel+subj++=that
led ^vprf+++xvbn+=led
some ^dti++++=some
of ^in++++=of
their ^pp$+pp3+++=their
neighbors ^nns++++=neighbors
to ^to++++=to
speak ^vbi++++=speak
of ^in++++=of
her ^pp$+pp3+++=her
as ^in++++=as
" ^zz++++="a
a ^rb++++=EXTRAWORD
little ^rb"++++=little
old ^jj+atrb+++=old
woman ^nn++++=woman."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
alone ^jj++++=alone
with ^in++++=with
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods
and ^cc++++=and
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
doff ^vb++++=doff
her ^pp$+pp3+++=her
Quaker ^nn++++=Quaker
primness ^nns+nom+++=primness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
romp ^vb++++=romp,
, ^zz++++=EXTRAWORD
climb ^vb++++=climb
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
frolic ^nn++++=frolic
with ^in++++=with
the ^ati++++=the
wildest ^nn++++=wildest.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
of ^in++++=of
late ^jj++++=late,
, ^zz++++=EXTRAWORD
the ^ati++++=the
troublous ^jj+atrb+++=troublous
times ^nns++++=times
and ^cc++++=and
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
peril ^nn++++=peril
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
unwonted ^vprf+++xvbn+=unwonted
thoughtfulness ^nns+nom+++=thoughtfulness
into ^in++++=into
her ^pp$+pp3+++=her
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
than ^in++++=than
Quaker ^nn++++=Quaker
gravity ^nn+nom+++=gravity
to ^in++++=to
the ^ati++++=the
fresh ^jj+atrb+++=fresh
young ^jj+atrb+++=young
face ^nn++++=face,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
exposure ^nn++++=exposure
to ^in++++=to
sun ^nn++++=sun
and ^cc++++=and
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
maintained ^j+++xvbn+=maintained
much ^ap++++=much
of ^in++++=of
its ^pp$+it+++=its
inherited ^jj+atrb++xvbn+=inherited
fairness ^nns+nom+++=fairness
of ^in++++=of
complexion ^nn++++=complexion.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
her ^pp$+pp3+++=her
own ^ap++++=own
accord ^nn++++=accord
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
a ^at++++=a
vigilant ^jj+atrb+++=vigilant
sentinel ^nn++++=sentinel,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
rumor ^nn++++=rumor
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Reynolds ^np++++=Reynolds
that ^tht+rel+++=that
sooner ^rbr++++=sooner
or ^cc+phrs+++=or
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+vrb++=have
a ^at++++=a
visit ^nn++++=visit
from ^in++++=from
the ^ati++++=the
dreaded ^jj+++xvbn+=dreaded
mountain ^npl++++=mountain
gang ^nn++++=gang
of ^in++++=of
hard ^jj+atrb+++=hard
riders ^nns++++=riders.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
roads ^nns++++=roads
leading ^vwbg+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
hills ^npl++++=hills
converged ^vbd+++xvbn+=converged
on ^in++++=on
the ^ati++++=the
main ^jjb+atrb+++=main
highway ^nn++++=highway
not ^xnot++not++=not
far ^rb+pl+++=far
from ^rb"++++=from
his ^pp$+pp3+++=his
dwelling ^nvbg+++xvbg+=dwelling;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
an ^at++++=an
adjacent ^jj+atrb+++=adjacent
knoll ^np++++=knoll
Phebe ^np+++??+=Phebe
often ^rb++++=often
watched ^vbd+++xvbn+=watched
this ^dt+dem+++=this
place ^nn++++=place,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
her ^pp3o+pp3+++=her
father ^npt++++=father,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
lad ^nn++++=lad
in ^in++++=in
his ^pp$+pp3+++=his
employ ^vb++++=employ,
, ^zz++++=EXTRAWORD
completed ^j+++xvbn+=completed
their ^pp$+pp3+++=their
work ^nn++++=work
about ^in++++=about
the ^ati++++=the
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
shadows ^nps++++=shadows
deepened ^vbd+++xvbn+=deepened,
, ^zz++++=EXTRAWORD
all ^abn++++=all
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
as ^ql++++=as
secure ^vb++++=secure
as ^ql++++=as
possible ^jj++++=possible
without ^in++++=without
and ^cc++++=and
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sturdy ^jj+atrb+++=sturdy
farmer ^nn++++=farmer,
, ^zz++++=EXTRAWORD
after ^in++++=after
committing ^xvbg+++xvbg+=committing
himself ^ppl+pp3+++=himself
and ^cc++++=and
his ^pp$+pp3+++=his
household ^nn++++=household
to ^in++++=to
the ^ati++++=the
Divine ^jj+atrb+++=Divine
protection ^nn+nom+++=protection,
, ^zz++++=EXTRAWORD
slept ^j+++xvbn+=slept
as ^ql++++=as
only ^rb+down+++=only
brave ^jj+atrb+++=brave
men ^nns++++=men
sleep ^nn++++=sleep
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
clear ^jj+pred+++=clear
in ^in++++=in
conscience ^nn+nom+++=conscience
and ^cc++++=and
accustomed ^vpsv++agls+xvbn+=accustomed
to ^in++++=to
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
faith ^nn++++=faith
was ^vbd+bedz+aux++=was
undoubtedly ^rb++splt++=undoubtedly
rewarded ^vpsv++agls+xvbnx+=rewarded;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Providence ^np+nom++??+=Providence
in ^in++++=in
the ^ati++++=the
execution ^nn+nom+++=execution
of ^in++++=of
its ^pp$+it+++=its
will ^md+prd+++=will
loves ^vbz++++=loves
to ^to++++=to
use ^vbi++++=use
