No ^at++++=No
be ^vbi+vbi+aux++=be
making ^vbg+++xvbgx+=making
as ^ql++++=as
much ^ap++++=much
money ^nn++++=money
as ^ql++++=as
Robert ^np++++=Robert
W ^zz++++=W.
. ^zz++++=EXTRAWORD
Chambers ^nns+nom+++=Chambers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
winning ^jj+atrb++xvbg+=winning
prizes ^nns++++=prizes
of ^in++++=of
honor ^nn++++=honor
like ^in++++=like
Ernest ^np++++=Ernest
Poole ^np++++=Poole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
better ^jjr++++=better
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
a ^at++++=a
humorist ^nn+nom+++=humorist
than ^in++++=than
George ^np++++=George
Ade ^np+++??+=Ade
and ^cc++++=and
Mark ^np++++=Mark
Twain ^np+++??+=Twain
rolled ^vbd+++xvbn+=rolled
into ^in++++=into
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trouble ^nn++++=trouble
with ^in++++=with
me ^pp1o+pp1+++=me
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
always ^rb++++=always
too ^rb++++=too
ready ^jj++++=ready
and ^cc+phrs+++=and
eager ^jj++++=eager
to ^to+jcmp+++=to
break ^vbi++++=break
away ^rp+pl+++=away
and ^cc++++=and
go ^vb++++=go
gathering ^nvbg+++xvbg+=gathering
goat ^nn++++=goat-feathers.
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
might ^md+pos+++=might
be ^vb+be+vrb++=be
a ^at++++=a
millionaire ^nn++++=millionaire
or ^cc++++=or
the ^ati++++=the
President ^nn++++=President
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
or ^cc++++=or
the ^ati++++=the
leading ^jj+atrb++xvbg+=leading
American ^jj+atrb+++=American
Author ^nn++++=Author,
, ^zz++++=EXTRAWORD
bound ^xvbn+++xvbn+=bound
in ^in++++=in
Red ^jj+atrb+++=Red
Russia ^np++++=Russia
leather ^nn++++=leather.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
Set ^nn+++xvbn+=Set
of ^in++++=of
Books ^nns++++=Books,
, ^zz++++=EXTRAWORD
like ^in++++=like
Sir ^npt++++=Sir
Walter ^np++++=Walter
Scott ^np++++=Scott
or ^cc++++=or
Dickens ^np++++=Dickens
or ^cc++++=or
Balzac ^np+++??+=Balzac,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
people ^nns++++=people
passed ^vbd+++xvbn+=passed
my ^pp$+pp1+++=my
house ^nn++++=house
the ^ati++++=the
natives ^nns++++=natives
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
hall ^npl++++=hall
or ^cc++++=or
the ^ati++++=the
court ^nn++++=court-house;
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
Butler ^np++++=Butler
lives ^nns++++=lives."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
some ^dti++++=some
strangers ^nns+nom+++=strangers
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Butler,
butler ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
grocer ^nn++++=grocer?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
ignorant ^jj++++=ignorant
few ^ap++++=few.
. ^zz++++=EXTRAWORD
The ^ati++++=The
real ^jj+atrb+++=real
people ^nns++++=people
would ^md+prd+++=would
whisper ^vb+vpub+++=whisper,
, ^zz++++=EXTRAWORD
" ^zz++++="Butler,
butler ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Author ^nn++++=Author!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
subdued ^jj+atrb+++=subdued
awe ^nn++++=awe
and ^cc++++=and
remove ^vb++++=remove
their ^pp$+pp3+++=their
hats ^nns++++=hats.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
them ^pp3o+pp3+++=them
would ^md+prd+++=would
pick ^vb++++=pick
a ^at++++=a
blade ^nn++++=blade
of ^in++++=of
grass ^nn++++=grass
from ^in++++=from
my ^pp$+pp1+++=my
lawn ^nn++++=lawn
and ^cc++++=and
take ^vb++++=take
it ^pp3+it+++=it
home ^nr++++=home
to ^in++++=to
hand ^nn++++=hand
down ^in++++=down
to ^in++++=to
their ^pp$+pp3+++=their
children ^nns++++=children's
's ^$++++=EXTRAWORD
children ^nns++++=children
as ^in++++=as
the ^ati++++=the
most ^ql+emph+++=most
treasured ^jj+atrb++xvbn+=treasured
family ^nn++++=family
possession ^nn++++=possession.
. ^zz++++=EXTRAWORD
As ^ql++++=As
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
gathered ^vprf+++xvbnx+=gathered
so ^pn++++=so
many ^ap++++=many
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
that ^tht+rel+++=that
half ^abn++++=half
the ^ati++++=the
people ^nns++++=people
introduce ^vb++++=introduce
me ^pp1o+pp1+++=me
as ^ql++++=as
Ellis ^np++++=Ellis
Butler ^np++++=Butler
Parker ^np++++=Parker
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
half ^abn++++=half
as ^ql++++=as
Butler ^np++++=Butler
Parker ^np++++=Parker
Ellis ^np++++=Ellis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
ton ^nn++++=ton
of ^in++++=of
hay ^nn++++=hay
growing ^vwbg+++xvbg+=growing
on ^in++++=on
my ^pp$+pp1+++=my
lawn ^nn++++=lawn
nobody ^pn++++=nobody
bothers ^nns+nom+++=bothers
to ^to+vcmp+++=to
pick ^vbi++++=pick
a ^at++++=a
pint ^nn++++=pint.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
has ^md"++pmd"++=has
to ^md+nec+++=to
cut ^vb+++xvbn+=cut
it ^pp3+it+++=it
and ^cc++++=and
rake ^nn++++=rake
it ^pp3+it+++=it
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Goat ^nn++++=Goat-feathers,
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
feathers ^nns+nom+++=feathers
a ^at++++=a
man ^nn++++=man
picks ^vbz++++=picks
and ^cc++++=and
sticks ^nns++++=sticks
all ^abn++++=all
over ^in++++=over
his ^pp$+pp3+++=his
hide ^nn++++=hide
to ^to++++=to
make ^vbi++++=make
himself ^ppl+pp3+++=himself
look ^vb++++=look
like ^in++++=like
the ^ati++++=the
village ^nn+nom+++=village
goat ^nn++++=goat.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
often ^rb++++=often
takes ^vbz++++=takes
six ^cd++++=six
days ^nns++++=days,
, ^zz++++=EXTRAWORD
three ^cd++++=three
hours ^nns++++=hours
and ^cc++++=and
eighteen ^cd++++=eighteen
minutes ^nns++++=minutes
to ^to++++=to
gather ^vbi+vprv+++=gather
one ^cd1++++=one
goat ^nn++++=goat-feather,
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
has ^vbz+hvz+vrb++=has
it ^pp3+it+++=it
and ^cc++++=and
takes ^vbz++++=takes
it ^pp3+it+++=it
home ^nr++++=home
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
about ^in++++=about
as ^ql++++=as
useful ^jj++++=useful
and ^cc+phrs+++=and
valuable ^jj++++=valuable
to ^in++++=to
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
stone ^nn++++=stone-bruise
- ^zz++++=EXTRAWORD
bruise ^vb++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
his ^pp$+pp3+++=his
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
recently ^rb+tm+splt++=recently
spent ^vprf+++xvbnx+=spent
several ^ap++++=several
days ^nns++++=days
over ^in++++=over
a ^at++++=a
month ^nn++++=month
gathering ^vwbg+++xvbg+=gathering
one ^cd1++++=one
goat ^nn++++=goat-feather,
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
a ^at++++=a
reward ^nn++++=reward
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
grabbed ^vpsv++agls+xvbnx+=grabbed
and ^cc+phrs+++=and
chased ^vpsv++agls+xvbn+=chased
after ^cs+sub+++=after
another ^dt++++=another
that ^dt+pdem+++=that
ate ^vbd+++xvbn+=ate
up ^rp++++=up
two ^cd++++=two
weeks ^nns++++=weeks
and ^cc++++=and
three ^cd++++=three
days ^nns++++=days
of ^in++++=of
my ^pp$+pp1+++=my
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Goat ^nn++++=Goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
distractions ^nns+nom+++=distractions,
, ^zz++++=EXTRAWORD
side ^nn++++=side
lines ^nns++++=lines
and ^cc++++=and
deflections ^nns+nom+++=deflections
that ^tht+rel+subj++=that
take ^vb++++=take
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
attention ^nn+nom+++=attention
from ^in++++=from
his ^pp$+pp3+++=his
own ^ap++++=own
business ^nns+nom+++=business
and ^cc++++=and
keep ^vb++++=keep
him ^pp3o+pp3+++=him
from ^in++++=from
getting ^xvbg+++xvbg+=getting
ahead ^rb+pl+++=ahead.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
the ^ati++++=the
Greatest ^jjt+atrb+++=Greatest
Thing ^nn++++=Thing
in ^in++++=in
the ^ati++++=the
World ^nn++++=World--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
make ^vbi++++=make
a ^at++++=a
man ^nn++++=man
look ^vb++++=look
like ^in++++=like
a ^at++++=a
goat ^nn++++=goat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can
claim ^vb++++=claim,
, ^zz++++=EXTRAWORD
without ^in++++=without
fear ^nn++++=fear
of ^in++++=of
dispute ^nn++++=dispute,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
gathered ^vprf+++xvbnx+=gathered
more ^rbr++++=more
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
in ^in++++=in
a ^at++++=a
fifty ^cd++++=fifty-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
career ^nn++++=career,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
look ^vbi++++=look
more ^rbr++++=more
like ^in++++=like
a ^at++++=a
goat ^nn++++=goat,
, ^zz++++=EXTRAWORD
than ^in++++=than
any ^dti++++=any
other ^ap++++=other
man ^nn++++=man
living ^vwbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
excepting ^in++++=excepting
Pooh ^np+++??+=Pooh
Bah ^np+++??+=Bah,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
added ^vbd+vpub++xvbn+=added
such ^abl++++=such
a ^at++++=a
pleasing ^nvbg+++xvbg+=pleasing,
, ^zz++++=EXTRAWORD
goat ^nn++++=goat-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
character ^nn+nom+++=character
to ^in++++=to
Gilbert-and-sullivan ^np+nom+++=Gilbert-and-Sullivan's
's ^$++++=EXTRAWORD
" ^zz++++="Mikado."
mikado ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pooh ^np+++??+=Pooh
Bah ^np+++??+=Bah,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
amateur ^nn++++=amateur!
! ^zz++++=EXTRAWORD
could ^md+pos+++=could
boast ^vb+vpub+++=boast
only ^rb+down+++=only
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
First ^rb++++=First
Lord ^npt++++=Lord
of ^in++++=of
the ^ati++++=the
Treasury ^np++++=Treasury,
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord
Chief ^jjb+atrb+++=Chief
Justice ^nn++++=Justice,
, ^zz++++=EXTRAWORD
Commander ^npt+nom+++=Commander-in-Chief,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
chief ^jjb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord
High ^jj+atrb+++=High
Admiral ^npt++++=Admiral,
, ^zz++++=EXTRAWORD
Master ^nn++++=Master
of ^in++++=of
the ^ati++++=the
Buck ^nn++++=Buck
Hounds ^nns++++=Hounds,
, ^zz++++=EXTRAWORD
Groom ^nn++++=Groom
of ^in++++=of
the ^ati++++=the
Back ^jjb+atrb+++=Back
Stairs ^nns++++=Stairs,
, ^zz++++=EXTRAWORD
Archbishop ^npt++++=Archbishop
of ^in++++=of
Titipu ^np+++??+=Titipu,
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord
Mayor ^nn++++=Mayor,
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord
Chamberlain ^np++++=Chamberlain,
, ^zz++++=EXTRAWORD
Attorney ^nn++++=Attorney-General,
- ^zz++++=EXTRAWORD
general ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Chancellor ^npt++++=Chancellor
of ^in++++=of
the ^ati++++=the
Exchequer ^nn+nom+++=Exchequer,
, ^zz++++=EXTRAWORD
Privy ^np++++=Privy
Purse ^nn++++=Purse,
, ^zz++++=EXTRAWORD
Private ^jj+atrb+++=Private
Secretary ^nn+nom+++=Secretary,
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord
High ^np++++=High
Auditor ^nn++++=Auditor,
, ^zz++++=EXTRAWORD
First ^rb++++=First
Commissioner ^nn+nom+++=Commissioner
of ^in++++=of
Police ^nns++++=Police,
, ^zz++++=EXTRAWORD
Paymaster ^np+nom++??+=Paymaster
General ^jj++++=General,
, ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Ordinary ^jj++++=Ordinary,
, ^zz++++=EXTRAWORD
Master ^nn++++=Master
of ^in++++=of
the ^ati++++=the
Rolls ^nns++++=Rolls,
, ^zz++++=EXTRAWORD
Secretary ^npt+nom+++=Secretary
of ^in++++=of
State ^nn++++=State
for ^in++++=for
the ^ati++++=the
Home ^nr++++=Home
Department ^nn+nom+++=Department,
, ^zz++++=EXTRAWORD
Groom ^nn++++=Groom
of ^in++++=of
the ^ati++++=the
Second ^od++++=Second
Floor ^nn++++=Floor
Front ^jjb++++=Front,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Registrar ^nn++++=Registrar.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
beat ^vb+++xvbn+=beat
that ^tht+rel+++=that
all ^abn++++=all
to ^in++++=to
pieces ^nns++++=pieces.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
wake ^vb++++=wake
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
as ^ql++++=as
President ^npt++++=President
of ^in++++=of
the ^ati++++=the
Authors ^nns++++=Authors'
' ^zz++++=EXTRAWORD
League ^nn++++=League
Fund ^nn++++=Fund
I ^pp1a+pp1+++=I
can ^md+pos+++=can
give ^vb++++=give
some ^dti++++=some
attention ^nn+nom+++=attention
to ^in++++=to
my ^pp$+pp1+++=my
work ^nn++++=work
as ^ql++++=as
Publicity ^nn+nom+++=Publicity
Manager ^nn++++=Manager
of ^in++++=of
the ^ati++++=the
Liberty ^nn++++=Liberty
Loan ^nn++++=Loan
Committee ^nn+nom+++=Committee
while ^cs+sub+++=while
preparing ^vbg+++xvbg+=preparing
to ^to+vcmp+++=to
devote ^vbi++++=devote
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
two ^cd++++=two
to ^in++++=to
the ^ati++++=the
Secretaryship ^np+nom++??+=Secretaryship
of ^in++++=of
the ^ati++++=the
Armenian ^np+++??+=Armenian
Relief ^nn++++=Relief
and ^cc++++=and
the ^ati++++=the
Treasurership ^np+nom++??+=Treasurership
of ^in++++=of
the ^ati++++=the
Volunteer ^nn+nom+++=Volunteer
Committee ^nn+nom+++=Committee
for ^in++++=for
the ^ati++++=the
Fatherless ^np+++??+=Fatherless
Children ^nns++++=Children
of ^in++++=of
France ^np++++=France,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
consider ^nn+nom+++=consider
my ^pp$+pp1+++=my
duties ^nns++++=duties
as ^in++++=as
Vice ^nn++++=Vice-President
- ^zz++++=EXTRAWORD
president ^npt++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Flushing ^jj+atrb++xvbg+=Flushing
Savings ^nns++++=Savings
and ^cc++++=and
Loan ^nn++++=Loan
and ^cc++++=and
as ^in++++=as
Vice ^nn++++=Vice-President,
- ^zz++++=EXTRAWORD
president ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Director ^nn++++=Director
and ^cc++++=and
Member ^nn++++=Member
of ^in++++=of
the ^ati++++=the
Discount ^nn++++=Discount
Committee ^nn+nom+++=Committee
of ^in++++=of
the ^ati++++=the
Flushing ^jj+atrb++xvbg+=Flushing
National ^jj+atrb+++=National
Bank ^nn++++=Bank.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
Councillor ^nn++++=Councillor
and ^cc++++=and
Member ^nn++++=Member
of ^in++++=of
the ^ati++++=the
Executive ^jj+atrb+++=Executive
Committee ^nn+nom+++=Committee
of ^in++++=of
the ^ati++++=the
Authors ^nns++++=Authors'
' ^zz++++=EXTRAWORD
League ^nn++++=League,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Membership ^nn+nom+++=Membership
Committee ^nn+nom+++=Committee
of ^in++++=of
the ^ati++++=the
City ^nn++++=City
Club ^nn++++=Club,
, ^zz++++=EXTRAWORD
Governor ^npt++++=Governor
of ^in++++=of
the ^ati++++=the
Tuscarora ^np+++??+=Tuscarora
Club ^nn++++=Club
and ^cc++++=and
Publicity ^nn+nom+++=Publicity
Manager ^nn++++=Manager
for ^in++++=for
the ^ati++++=the
Flushing ^jj+atrb++xvbg+=Flushing
Red ^jj+atrb+++=Red
Cross ^nn++++=Cross,
, ^zz++++=EXTRAWORD
Flushing ^vbg+++xvbg+=Flushing
Red ^jj+atrb+++=Red
Cross ^nn++++=Cross
Drive ^nn++++=Drive
and ^cc++++=and
Queensboro ^np+++??+=Queensboro
Red ^jj+atrb+++=Red
Cross ^nn++++=Cross
Drive ^nn++++=Drive
I ^pp1a+pp1+++=I
can ^md+pos+++=can
put ^vb+++xvbn+=put
in ^rb+phrv+++=in
a ^ap++++=a
few ^ap"++++=few
hours ^nns++++=hours
of ^in++++=of
goat ^nn++++=goat-feather
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
gathering ^vwbg+++xvbg+=gathering.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
may ^md+pos+++=may
come ^vprf+++xvbn+=come
without ^in++++=without
my ^pp$+pp1+++=my
having ^vbg+hvg++xvbg+=having
to ^to++++=to
do ^vbi++++=do
any ^dti++++=any
real ^jj+atrb+++=real
work ^nn++++=work,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
not ^xnot++not++=not
I ^pp1a+pp1+++=I
can ^md+pos+++=can
avoid ^vb++++=avoid
it ^pp3+it+++=it
and ^cc++++=and
accumulate ^nn+nom+++=accumulate
a ^ap++++=a
few ^ap"++++=few
more ^rbr++++=more
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
as ^ql++++=as
Member ^nn++++=Member
of ^in++++=of
the ^ati++++=the
Book ^nn++++=Book
Committee ^nn+nom+++=Committee
and ^cc++++=and
Executive ^jj+atrb+++=Executive
Committee ^nn+nom+++=Committee
of ^in++++=of
the ^ati++++=the
Queensboro ^np+++??+=Queensboro
Public ^jj+atrb+++=Public
Library ^npl+nom+++=Library,
, ^zz++++=EXTRAWORD
Member ^nn++++=Member
of ^in++++=of
the ^ati++++=the
Queensboro ^np+++??+=Queensboro
Committee ^nn+nom+++=Committee
on ^in++++=on
Training ^nn++++=Training
Camp ^nn++++=Camp
Activities ^nns+nom+++=Activities,
, ^zz++++=EXTRAWORD
Executive ^nn++++=Executive
Committeeman ^np+nom++??+=Committeeman
of ^in++++=of
the ^ati++++=the
Vigilantes ^nns+nom++??+=Vigilantes,
, ^zz++++=EXTRAWORD
Authors ^nns++++=Authors'
' ^zz++++=EXTRAWORD
Committeeman ^np+nom++??+=Committeeman
of ^in++++=of
the ^ati++++=the
American ^jj+atrb+++=American
Defense ^np+++??+=Defense
Society ^nn++++=Society,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on
for ^in++++=for
hours ^nns++++=hours
and ^cc++++=and
hours ^nns++++=hours
and ^cc++++=and
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
member ^nn++++=member
of ^in++++=of
everything ^pn++++=everything
but ^cc++++=but
the ^ati++++=the
Mothers ^nns+nom+++=Mothers'
' ^zz++++=EXTRAWORD
Club ^nn++++=Club
of ^in++++=of
Public ^jj+atrb+++=Public
School ^nn++++=School
20 ^cd++++=20,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
takes ^vbz++++=takes
time ^nn++++=time
from ^in++++=from
my ^pp$+pp1+++=my
legitimate ^jj+atrb+++=legitimate
work ^nn++++=work.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
estimate ^nn+nom+++=estimate
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
last ^ap++++=last
twenty ^cd++++=twenty
years ^nns++++=years
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
gathered ^vprf+++xvbnx+=gathered
twenty ^cd++++=twenty
thousand ^cd++++=thousand
pounds ^nns++++=pounds
of ^in++++=of
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
cost ^nn++++=cost
of ^in++++=of
about ^in++++=about
five ^cd++++=five
dollars ^nns++++=dollars
a ^at++++=a
pound ^nn++++=pound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
lot ^nn++++=lot
is ^vbz+bez+vrb++=is
worth ^in++++=worth
about ^in++++=about
twenty ^cd++++=twenty
cents ^nns++++=cents.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
