Nobody ^pn++++=NOBODY
liked ^vbd+++xvbn+=liked
regularity ^nn+nom+++=regularity:
: ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
his ^pp$+pp3+++=his
work ^vb++++=work
done ^vbd+++xvbn+=done
on ^in++++=on
time ^nn++++=time,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
his ^pp$+pp3+++=his
half ^abn++++=half-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
off ^in+pl+++=off
every ^at++++=every
Saturday ^nr++++=Saturday,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
theater ^jjr+atrb+++=theater
Saturday ^nr++++=Saturday
night ^nn++++=night,
, ^zz++++=EXTRAWORD
to ^to++++=to
buy ^vbi++++=buy
a ^at++++=a
new ^jj+atrb+++=new
necktie ^nn+++??+=necktie
twice ^rb++++=twice
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
to ^to++++=to
appear ^vbi+seem+++=appear
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
straw ^nn++++=straw
hat ^nn++++=hat
on ^in++++=on
the ^ati++++=the
right ^jj+atrb+++=right
day ^nn++++=day
in ^in++++=in
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
know ^vbi+vprv+++=know
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
on ^in++++=on
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
morning ^nn++++=morning
and ^cc++++=and
evening ^nn++++=evening
papers ^nns++++=papers
coming ^vwbg+++xvbg+=coming
and ^cc++++=and
going ^vwbg+++xvbg+=going
on ^in++++=on
the ^ati++++=the
elevated ^jj+++xvbn+=elevated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preferred ^vbd+++xvbn+=preferred
journals ^nns+nom+++=journals
of ^in++++=of
approximate ^jj+atrb+++=approximate
reliability ^nn+nom+++=reliability
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
excited ^vbd+++xvbn+=excited
about ^in++++=about
ball ^nn++++=ball-games
- ^zz++++=EXTRAWORD
games ^nns++++=EXTRAWORD
and ^cc++++=and
elections ^nns+nom+++=elections
and ^cc++++=and
business ^nns+nom+++=business
failures ^nns++++=failures,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
above ^jjb++++=above
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
murders ^nns+nom+++=murders
and ^cc++++=and
divorce ^nn++++=divorce
scandals ^nns+nom+++=scandals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
checked ^vbd+++xvbnx+=checked
the ^ati++++=the
news ^nn++++=news
off ^in+pl+++=off
as ^ql++++=as
neatly ^rb++++=neatly
as ^ql++++=as
he ^pp3a+pp3+++=he
checked ^vbd+++xvbnx+=checked
his ^pp$+pp3+++=his
mail ^nn++++=mail-orders.
- ^zz++++=EXTRAWORD
orders ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^rb++++=In
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
Percy ^np++++=Percy
Bixby ^np+++??+=Bixby
was ^vbd+bedz+vrb++=was
like ^in++++=like
the ^ati++++=the
model ^nn++++=model
pupil ^nn++++=pupil
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
satisfied ^vpsv++agls+xvbnx+=satisfied
with ^in++++=with
his ^pp$+pp3+++=his
lessons ^nns++++=lessons
and ^cc++++=and
his ^pp$+pp3+++=his
teachers ^nns+nom+++=teachers
and ^cc++++=and
his ^pp$+pp3+++=his
holidays ^nns++++=holidays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
would ^md+prd+++=would
gladly ^rb++splt++=gladly
go ^vb++++=go
to ^in++++=to
school ^nn++++=school
all ^rb++++=all
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
never ^rb++splt++=never
wanted ^vprf+++xvbnx+=wanted
anything ^pn++++=anything
outside ^jjb++++=outside
his ^pp$+pp3+++=his
routine ^jj++++=routine
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
Stella ^np++++=Stella
Brown ^np++++=Brown
to ^to++++=to
marry ^vbi++++=marry
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
upset ^vprf+++xvbnx+=upset
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
n't ^xnot++not++0=n't,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
himself ^ppl+pp3+++=himself
for ^in++++=for
the ^ati++++=the
hundredth ^od++++=hundredth
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
extravagant ^jj+pred+++=extravagant.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
like ^in++++=like
all ^abn++++=all
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
good ^jj+atrb+++=good
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
why ^wrb+who+whq++=why
should ^md+nec+++=should
she ^pp3a+pp3+++=she
marry ^vb++++=marry
unless ^cs+cnd+++=unless
she ^pp3a+pp3+++=she
could ^md+pos+++=could
better ^jjr++++=better
herself ^ppl+pp3+++=herself?
? ^zz++++=EXTRAWORD
The ^ati++++=The
trouble ^nn++++=trouble
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lied ^vprf+++xvbnx+=lied
to ^in++++=to
her ^pp$+pp3+++=her
about ^in++++=about
his ^pp$+pp3+++=his
salary ^nn++++=salary.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
fellows ^nns++++=fellows
rushing ^vwbg+++xvbg+=rushing
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown's
's ^$++++=EXTRAWORD
five ^cd++++=five
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
all ^abn++++=all
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
Stella ^np++++=Stella
as ^cs+sub+++=as
first ^od++++=first
choice ^nn++++=choice
and ^cc++++=and
this ^dt+dem+++=this
or ^cc++++=or
that ^cs+sub+++=that
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
sisters ^nns+nom+++=sisters
as ^cs+sub+++=as
second ^od++++=second.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
proper ^jj++++=proper
to ^to++++=to
drop ^vbi++++=drop
an ^at++++=an
occasional ^jj+atrb+++=occasional
hint ^nn++++=hint
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
these ^dt+dem+++=these
young ^jj+atrb+++=young
men ^nns++++=men
to ^in++++=to
the ^ati++++=the
effect ^nn++++=effect
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
expected ^vbd+vprv++xvbnx+=expected
Stella ^np++++=Stella
to ^to++++=to
" ^zz++++="do
do ^vb+do+vrb++=EXTRAWORD
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
went ^vbd+++xvbn+=went
without ^in++++=without
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
hair ^nn++++=hair
and ^cc++++=and
complexion ^nn++++=complexion
like ^in++++=like
Stella ^np++++=Stella's
's ^$++++=EXTRAWORD
could ^md+pos+++=could
scarcely ^rb+down+++=scarcely
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
do ^vbi++++=do
poorly ^rb++++=poorly.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys
who ^whp+rel+subj++=who
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
took ^vbd+++xvbn+=took
the ^ati++++=the
girls ^nns++++=girls
out ^rp+pl+++=out
in ^in++++=in
a ^at++++=a
bunch ^nn++++=bunch
to ^in++++=to
dances ^nns++++=dances
and ^cc++++=and
movies ^nns++++=movies
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
realize ^vbi+vprv+tht0++=realize
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
merely ^rb+down+++=merely
wanted ^vbd+++xvbn+=wanted
a ^at++++=a
whirl ^nn++++=whirl
with ^in++++=with
Stella ^np++++=Stella
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
settled ^vbd+++xvbnx+=settled
down ^rp++++=down
to ^to++++=to
one ^pn++++=one
of ^in++++=of
her ^pp$+pp3+++=her
sisters ^nns+nom+++=sisters.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
tacitly ^rb++splt++=tacitly
understood ^vpsv++agls+xvbnx+=understood
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
too ^ql++++=too
high ^np++++=high
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Percy ^np++++=Percy
had ^vbd+hvd+aux++=had
sensed ^vprf+++xvbnx+=sensed
all ^abn++++=all
this ^dt+dem+++=this
through ^in++++=through
those ^dt+dem+++=those
slumbering ^jj+atrb++xvbg+=slumbering
instincts ^nns++++=instincts
which ^whp+rel+obj++=which
awake ^jj++++=awake
in ^in++++=in
us ^pp1o+pp1+++=us
all ^rb++++=all
to ^to++++=to
befriend ^vbi++++=befriend
us ^pp1o+pp1+++=us
in ^in++++=in
love ^nn++++=love
or ^cc++++=or
in ^in++++=in
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
rivals ^nns++++=rivals,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
to ^to++++=to
be ^vbi+vbi+aux++=be
reckoned ^vpsv++agls+xvbnx+=reckoned
with ^in+ppvb+++=with.
. ^zz++++=EXTRAWORD
Charley ^np++++=Charley
Greengay ^np+++??+=Greengay
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
salesman ^nn+nom+++=salesman
who ^whp+rel+subj++=who
wore ^vbd+++xvbn+=wore
tailor ^nn++++=tailor-made
- ^zz++++=EXTRAWORD
made ^xvbn+++xvbn+=EXTRAWORD
clothes ^nns++++=clothes
and ^cc++++=and
spotted ^vbd+++xvbn+=spotted
waistcoats ^nns+++??+=waistcoats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
necktie ^nn+++??+=necktie
for ^in++++=for
every ^at++++=every
day ^nn++++=day
in ^in++++=in
the ^ati++++=the
month ^nn++++=month.
. ^zz++++=EXTRAWORD
