1564 ^cd++++=1564.
East ^np+pl+++=East,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
also ^rb++++=also
a ^at++++=a
nest ^nn++++=nest
of ^in++++=of
robbers ^nns+nom+++=robbers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
frequently ^rb++splt++=frequently
broken ^vprf+++xvbnx+=broken
faith ^nn++++=faith
with ^in++++=with
the ^ati++++=the
Russians ^nn++++=Russians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
expelled ^vprf+++xvbnx+=expelled
the ^ati++++=the
Khan ^npt++++=Khan
Schig ^np+++??+=Schig
Alei ^np+++??+=Alei
for ^in++++=for
having ^nn+nn+aux++=having
endeavored ^vbd+++xvbn+=endeavored
to ^to+vcmp+++=to
fulfill ^vbi++++=fulfill
his ^pp$+pp3+++=his
engagements ^nns+nom+++=engagements
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tzar ^np+++??+=Tzar
Ivan ^np++++=Ivan
Vassilovitch ^np+++??+=Vassilovitch,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
only ^rb+down+++=only
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
marched ^vbd+++xvbn+=marched
against ^in++++=against
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
resolved ^vpbn+vsua++xvbn+=resolved
at ^rb++++=at
any ^dti++++=any
cost ^nn++++=cost
to ^to++++=to
reduce ^vbi++++=reduce
it ^pp3+it+++=it
and ^cc++++=and
free ^jj++++=free
his ^pp$+pp3+++=his
country ^nn++++=country
from ^in++++=from
these ^dt+dem+++=these
inveterate ^jj+atrb+++=inveterate
foes ^nns++++=foes.
. ^zz++++=EXTRAWORD
On ^in++++=On
his ^pp$+pp3+++=his
way ^nn++++=way
he ^pp3a+pp3+++=he
received ^vbd+++xvbnx+=received
tidings ^nns++++=tidings
that ^tht+rel+obj++=that
the ^ati++++=the
Crimean ^jj+atrb+++=Crimean
Tatars ^np+++??+=Tatars
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
plundering ^jj+++xvbg+=plundering
into ^in++++=into
Russia ^np++++=Russia,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
thinking ^nvbg+++xvbg+=thinking
to ^in++++=to
attack ^nn++++=attack
Moscow ^np++++=Moscow,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Ivan ^np++++=Ivan
was ^vbd+bedz+aux++=was
besieging ^vbg+++xvbgx+=besieging
Kazan ^np+++??+=Kazan.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
at ^rb++++=at
once ^rb"+tm+++=once
sent ^vwbn+++xvbn+=sent
off ^in+pl+++=off
the ^ati++++=the
Prince ^np++++=Prince
Kourbsky ^np+++??+=Kourbsky
with ^in++++=with
15,000 ^cd++++=15,000
men ^nns++++=men,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
met ^vbd+++xvbn+=met
double ^jj++++=double
that ^dt+dem+++=that
number ^nn++++=number
of ^in++++=of
Tatars ^np+++??+=Tatars
at ^in++++=at
Toula ^np+++??+=Toula,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
totally ^rb+amp+++=totally
defeated ^jj+++xvbn+=defeated
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
pursuing ^jj+++xvbg+=pursuing
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
River ^nn++++=River
Chevorona ^np+++??+=Chevorona,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
second ^od++++=second
defeat ^nn++++=defeat,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
abandoned ^vbd+++xvbnx+=abandoned
a ^at++++=a
great ^jj+atrb+++=great
number ^nn++++=number
of ^in++++=of
Russian ^jj+atrb+++=Russian
captives ^nns++++=captives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
camels ^nns+++??+=camels.
. ^zz++++=EXTRAWORD
Prince ^npt++++=Prince
Kourbsky ^np+++??+=Kourbsky
was ^vbd+bedz+aux++=was
wounded ^vpsv++agls+xvbnx+=wounded
in ^in++++=in
the ^ati++++=the
head ^nn++++=head
and ^cc++++=and
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
continue ^vb++++=continue
the ^ati++++=the
campaign ^nn++++=campaign.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
boyards ^nns+++??+=boyards
murmured ^vbd+++xvbn+=murmured
at ^rb++++=at
the ^ati++++=the
war ^nn++++=war,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
strength ^nn++++=strength
and ^cc++++=and
resources ^nns++++=resources
were ^vbd+bed+aux++=were
exhausted ^vpsv++agls+xvbnx+=exhausted.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
this ^dt+dem+++=this
the ^ati++++=the
Tzar ^np+++??+=Tzar
desired ^vbd+vsua++xvbn+=desired
that ^tht+vcmp+++=that
two ^cd++++=two
lists ^nns++++=lists
might ^md+pos+++=might
be ^vb+be+aux++=be
drawn ^vpsv++agls+xvbnx+=drawn
up ^rb+phrv+++=up
of ^in++++=of
the ^ati++++=the
willing ^jj+atrb+++=willing
and ^cc+phrs+++=and
unwilling ^jj+atrb+++=unwilling
warriors ^nns++++=warriors
in ^in++++=in
his ^pp$+pp3+++=his
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
first ^od++++=first',
', ^vb+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='shall
shall ^md+prd+++=EXTRAWORD
be ^vb+be+vrb++=be
as ^cs+sub+++=as
dear ^uh++++=dear
to ^in++++=to
me ^pp1o+pp1+++=me
as ^ql++++=as
my ^pp$+pp1+++=my
own ^ap++++=own
children ^nns++++=children;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
needs ^nns++++=needs
shall ^md+prd+++=shall
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
share ^vb++++=share
all ^abn++++=all
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
others ^aps++++=others
may ^md+pos+++=may
stay ^vb++++=stay
at ^rb++++=at
home ^nr++++=home;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
no ^at++++=no
cowards ^nns++++=cowards
in ^in++++=in
my ^pp$+pp1+++=my
army ^nn++++=army.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
No ^at++++=No
one ^pn++++=one
of ^in+emph+++=of
course ^nn+emph"+++=course
chose ^vbd+++xvbn+=chose
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
second ^od++++=second
list ^nn++++=list,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
about ^in++++=about
this ^dt+dem+++=this
time ^nn++++=time
was ^vbd+bedz+aux++=was
formed ^vpsv++agls+xvbnx+=formed
the ^ati++++=the
famous ^nn++++=famous
guard ^vb++++=guard
called ^vbd+++xvbn+=called
the ^ati++++=the
Strelitzes ^np+++??+=Strelitzes,
, ^zz++++=EXTRAWORD
a ^at++++=a
body ^nn++++=body
of ^in++++=of
chosen ^xvbn+++xvbn+=chosen
warriors ^nns++++=warriors
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
always ^rb++++=always
near ^in+pl+++=near
the ^ati++++=the
person ^nn++++=person
of ^in++++=of
the ^ati++++=the
Tzar ^np+++??+=Tzar.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
August ^nr++++=August,
, ^zz++++=EXTRAWORD
1552 ^cd++++=1552,
, ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan
encamped ^vbd+++xvbn+=encamped
in ^in++++=in
the ^ati++++=the
meadows ^npl++++=meadows
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Volga ^np+++??+=Volga,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
spread ^xvbn+++xvbn+=spread
like ^in++++=like
a ^at++++=a
brilliant ^jj+atrb+++=brilliant
green ^jj+atrb+++=green
carpet ^nn++++=carpet
around ^in++++=around
the ^ati++++=the
hill ^nn++++=hill
upon ^in++++=upon
which ^whp+rel+pied++=which
stood ^vbd+++xvbn+=stood
the ^ati++++=the
strongly ^rb+amp+++=strongly
fortified ^xvbn+++xvbn+=fortified
city ^npl++++=city
of ^in++++=of
Kazan ^np+++??+=Kazan.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tatars ^np+++??+=Tatars
had ^vb+hv+vrb++=had
no ^at++++=no
fears ^nn++++=fears.
. ^zz++++=EXTRAWORD
' ^zz++++='This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
first ^od++++=first
time ^nn++++=time',
', ^nn+++??+=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='that
that ^dt+dem+++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
Muscovites ^np+++??+=Muscovites
beneath ^in+pl+++=beneath
our ^pp$+pp1+++=our
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
fruitless ^jj+atrb+++=fruitless
attacks ^nns++++=attacks
always ^rb++++=always
end ^nn++++=end
in ^in++++=in
retreats ^nns++++=retreats,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
laugh ^vbi++++=laugh
them ^pp3o+pp3+++=them
to ^to++++=to
scorn ^vbi++++=scorn;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Ivan ^np++++=Ivan
sent ^vbd+++xvbn+=sent
them ^pp3o+pp3+++=them
messengers ^nns+nom+++=messengers
with ^in++++=with
offers ^nns++++=offers
of ^in++++=of
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
' ^zz++++='All
all ^abn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
ready ^jj+pred+++=ready;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
only ^rb+down+++=only
await ^vb++++=await
your ^pp$+pp2+++=your
coming ^nvbg+++xvbg+=coming
to ^to++++=to
begin ^vbi++++=begin
the ^ati++++=the
feast ^nn++++=feast.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
change ^nn++++=change
that ^tht+rel+obj++=that
the ^ati++++=the
last ^ap++++=last
half ^abn++++=half-century
- ^zz++++=EXTRAWORD
century ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
in ^in++++=in
sieges ^nns+++??+=sieges.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
Italian ^jj+atrb+++=Italian
condottieri ^nn+++??+=condottieri,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
leaders ^nns+nom+++=leaders
of ^in++++=of
free ^jj+atrb+++=free
companies ^nns++++=companies,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
Moscow ^np++++=Moscow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
under ^in++++=under
his ^pp$+pp3+++=his
instructions ^nns+nom+++=instructions,
, ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan's
's ^$++++=EXTRAWORD
troops ^nns++++=troops
were ^vbd+bed+vrb++=were
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
to ^to++++=to
conduct ^vbi++++=conduct
a ^at++++=a
siege ^nn++++=siege
in ^in++++=in
the ^ati++++=the
regular ^jj+atrb+++=regular
modern ^jj+atrb+++=modern
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
by ^in++++=by
digging ^xvbg+++xvbg+=digging
trenches ^nns++++=trenches
in ^in++++=in
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
throwing ^vbg+++xvbg+=throwing
up ^rp++++=up
the ^ati++++=the
soil ^nn++++=soil
in ^in++++=in
front ^nn++++=front
into ^in++++=into
a ^at++++=a
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
which ^whp+rel+pied++=which
the ^ati++++=the
cannon ^nn++++=cannon
and ^cc++++=and
gunners ^nns+nom+++=gunners
are ^vb+ber+aux++=are
posted ^vpsv++agls+xvbnx+=posted,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
small ^jj+atrb+++=small
openings ^nns++++=openings
made ^vbd+++xvbn+=made
through ^in++++=through
which ^whp+rel+pied++=which
to ^in++++=to
fire ^nn++++=fire
at ^in++++=at
some ^dti++++=some
spot ^nn++++=spot
in ^in++++=in
the ^ati++++=the
enemy ^nn++++=enemy's
's ^$++++=EXTRAWORD
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
trenches ^nns++++=trenches
are ^vb+ber+aux++=are
constantly ^rb++splt++=constantly
worked ^vpsv++agls+xvbnx+=worked
nearer ^rbr++++=nearer
and ^cc+phrs+++=and
nearer ^in+cmpx+++=nearer
to ^in"++++=to
the ^ati++++=the
fortifications ^nns+nom+++=fortifications,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
by ^in++++=by
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
the ^ati++++=the
shot ^nn+++xvbn+=shot
an ^at++++=an
opening ^jj+++xvbg+=opening
or ^cc++++=or
breach ^nn++++=breach
must ^md+nec+++=must
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
can ^md+pos+++=can
then ^rn+tm+splt++=then
climb ^vb++++=climb
up ^rp++++=up
upon ^in++++=upon
scaling ^xvbg+++xvbg+=scaling
ladders ^nns+nom+++=ladders
or ^cc++++=or
heaps ^nns++++=heaps
of ^in++++=of
small ^jj+atrb+++=small
faggots ^nns+++??+=faggots
piled ^vbd+++xvbn+=piled
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
height ^nn++++=height
of ^in++++=of
the ^ati++++=the
opening ^nvbg+++xvbg+=opening.
. ^zz++++=EXTRAWORD
Sometimes ^rb+cnj+++=Sometimes,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
the ^ati++++=the
besiegers ^nns+nom+++=besiegers
burrow ^nn+++??+=burrow
underground ^jjb++++=underground
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
just ^rb+emph+++=just
below ^in+pl+++=below
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
fill ^vb++++=fill
the ^ati++++=the
hole ^nn++++=hole
with ^in++++=with
gunpowder ^nn+nom+++=gunpowder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blow ^nn++++=blow
up ^rp++++=up
all ^abn++++=all
above ^rb++++=above
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
in ^rb++++=in
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
former ^ap++++=former
days ^nns++++=days,
, ^zz++++=EXTRAWORD
a ^at++++=a
wellfortified ^jj+++xvbn+=wellfortified
city ^npl++++=city
being ^vwbg+beg++xvbg+=being
almost ^rb+hdg+++=almost
impossible ^jj++++=impossible
to ^to+jcmp+++=to
take ^vbi++++=take,
, ^zz++++=EXTRAWORD
except ^in++++=except
by ^in++++=by
starving ^xvbg+++xvbg+=starving
out ^rp+pl+++=out
the ^ati++++=the
garrison ^nn++++=garrison,
, ^zz++++=EXTRAWORD
a ^at++++=a
siege ^nn++++=siege
is ^vbz+bez+vrb++=is
in ^in++++=in
these ^dt+dem+++=these
times ^nns++++=times
almost ^rb+hdg+++=almost
equally ^rb++++=equally
sure ^jj++++=sure
to ^to+jcmp+++=to
end ^vb++++=end
in ^in++++=in
favor ^in"++++=favor
of ^in"++++=of
the ^ati++++=the
besiegers ^nns+nom+++=besiegers.
. ^zz++++=EXTRAWORD
All ^abn++++=All
through ^in++++=through
August ^nr++++=August
and ^cc++++=and
September ^nr+nom+++=September
the ^ati++++=the
Russians ^nn++++=Russians
made ^vbd+++xvbn+=made
their ^pp$+pp3+++=their
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Tatars ^np+++??+=Tatars
resisted ^vbd+++xvbn+=resisted
them ^pp3o+pp3+++=them
bravely ^rb+cnj+++=bravely,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
often ^rb++++=often
showing ^vbg+vprv++xvbg+=showing
great ^jj+atrb+++=great
barbarity ^nn+nom+++=barbarity.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
when ^wrb+who+++=when
Ivan ^np++++=Ivan
again ^rb+tm+++=again
sent ^vbd+++xvbn+=sent
a ^at++++=a
herald ^nn++++=herald,
, ^zz++++=EXTRAWORD
accompanied ^xvbn+++xvbn+=accompanied
by ^in++++=by
a ^at++++=a
number ^nn++++=number
of ^in++++=of
Tatar ^np+++??+=Tatar
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
to ^to++++=to
offer ^vbi++++=offer
terms ^nns++++=terms
to ^in++++=to
Yediguer ^np+nom++??+=Yediguer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
Khan ^npt++++=Khan,
, ^zz++++=EXTRAWORD
the ^ati++++=the
defenders ^nns+nom+++=defenders
called ^vbd+++xvbn+=called
out ^rp+pl+++=out
to ^in++++=to
their ^pp$+pp3+++=their
countrymen ^nns++++=countrymen,
, ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
had ^vb+hv+aux++=had
better ^jjr++++=better
perish ^vb++++=perish
by ^in++++=by
our ^pp$+pp1+++=our
pure ^jj+atrb+++=pure
hands ^nns++++=hands
than ^in++++=than
by ^in++++=by
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
wretched ^jj+atrb+++=wretched
Christians ^nn++++=Christians,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
shot ^nn+++xvbn+=shot
a ^at++++=a
whole ^jj+atrb+++=whole
flight ^nn++++=flight
of ^in++++=of
arrows ^nns++++=arrows
at ^in++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
every ^at++++=every
morning ^nn++++=morning
the ^ati++++=the
magicians ^nns++++=magicians
used ^md"++pmd"++=used
to ^to++++=to
come ^vb++++=come
out ^rp+pl+++=out
at ^in++++=at
sunrise ^nn++++=sunrise
upon ^in++++=upon
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
shrieks ^nns++++=shrieks,
, ^zz++++=EXTRAWORD
contortions ^nns+nom+++=contortions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waving ^vbg+++xvbg+=waving
of ^in++++=of
garments ^nns+nom+++=garments
were ^vbd+bed+aux++=were
believed ^vpsv++agls+xvbnx+=believed,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
by ^in++++=by
the ^ati++++=the
Tatars ^np+++??+=Tatars
but ^cc++++=but
by ^in++++=by
the ^ati++++=the
Russians ^nn++++=Russians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
Andrej ^np+++??+=Andrej
Kourbsky ^np+++??+=Kourbsky
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
to ^to++++=to
bring ^vbi++++=bring
foul ^jj+atrb+++=foul
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
greatly ^rb+amp+++=greatly
harassed ^jj+++xvbn+=harassed
the ^ati++++=the
Russians ^nn++++=Russians.
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
Ivan ^np++++=Ivan
sent ^vbd+++xvbn+=sent
to ^in++++=to
Moscow ^np++++=Moscow
for ^in++++=for
a ^at++++=a
sacred ^jj+atrb+++=sacred
cross ^nn++++=cross
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Prince ^npt++++=Prince
Vladimir ^np+++??+=Vladimir
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
converted ^vpsv++agls+xvbnx+=converted;
; ^zz++++=EXTRAWORD
the ^ati++++=the
rivers ^nns++++=rivers
were ^vbd+bed+aux++=were
blessed ^vpsv++agls+xvbnx+=blessed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
water ^nn++++=water
sprinkled ^vbd+++xvbn+=sprinkled
round ^rb++++=round
the ^ati++++=the
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fair ^jj+atrb+++=fair
weather ^nn++++=weather
that ^tht+rel+subj++=that
ensued ^vbd+++xvbn+=ensued
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
