Being ^vbg+beg++xvbg+=Being
inveterate ^jj+atrb+++=inveterate
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
reform ^nn++++=reform
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
an ^at++++=an
abandoned ^jj+atrb++xvbn+=abandoned
sinner ^nn++++=sinner.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
see ^vb+vprv+++=see
in ^in++++=in
the ^ati++++=the
result ^nn++++=result,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
reformation ^nn+nom+++=reformation
of ^in++++=of
morals ^nns++++=morals,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
appeared ^vbd+seem++xvbn+=appeared
incorrigible ^jj++++=incorrigible
in ^in++++=in
the ^ati++++=the
reclamation ^nn+nom+++=reclamation
of ^in++++=of
a ^at++++=a
human ^jj+atrb+++=human
soul ^nn++++=soul
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
irretrievably ^rb++splt++=irretrievably
lost ^vpsv++agls+xvbnx+=lost,
, ^zz++++=EXTRAWORD
something ^pn++++=something
more ^ql++++=more
than ^cs+sub+++=than
could ^md+pos+++=could
be ^vb+be+aux++=be
produced ^vpsv++by+xvbnx+=produced
by ^in++++=by
a ^at++++=a
mere ^jjb+atrb+++=mere
chimaera ^nn+++??+=chimaera
of ^in++++=of
the ^ati++++=the
slumbering ^jj+++xvbg+=slumbering
fancy ^jj++++=fancy,
, ^zz++++=EXTRAWORD
something ^pn++++=something
more ^ql++++=more
than ^cs+sub+++=than
could ^md+pos+++=could
arise ^vb++++=arise
from ^in++++=from
the ^ati++++=the
capricious ^jj+atrb+++=capricious
images ^nns++++=images
of ^in++++=of
a ^at++++=a
terrified ^jj+atrb+++=terrified
imagination ^nn+nom+++=imagination;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
once ^cs+tm+++=once
prevented ^vprf+++xvbn+=prevented,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
behold ^vb++++=behold
in ^in++++=in
all ^abn++++=all
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
tremendous ^jj+atrb+++=tremendous
and ^cc+phrs+++=and
mysterious ^jj+atrb+++=mysterious
results ^nns++++=results,
, ^zz++++=EXTRAWORD
the ^ati++++=the
operation ^nn+nom+++=operation
of ^in++++=of
the ^ati++++=the
hand ^nn++++=hand
of ^in++++=of
God ^nn++++=God.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
while ^cs+sub+++=while
Reason ^nn++++=Reason
rejects ^vbz++++=rejects
as ^in++++=as
absurd ^jj++++=absurd
the ^ati++++=the
superstition ^nn+nom+++=superstition
which ^whp+rel+subj++=which
will ^md+prd+++=will
read ^vb+vprv++xvbn+=read
a ^at++++=a
prophecy ^nn++++=prophecy
in ^in++++=in
every ^at++++=every
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
without ^in++++=without
violence ^nn+nom+++=violence
to ^in++++=to
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
recognize ^vb+vprv+++=recognize,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
wildest ^jjt++++=wildest
and ^cc++++=and
most ^ql+emph+++=most
incongruous ^jj++++=incongruous
of ^in++++=of
the ^ati++++=the
wanderings ^nns++++=wanderings
of ^in++++=of
a ^at++++=a
slumbering ^jj+atrb++xvbg+=slumbering
intellect ^nn++++=intellect,
, ^zz++++=EXTRAWORD
the ^ati++++=the
evidences ^nns+nom+++=evidences
and ^cc++++=and
the ^ati++++=the
fragments ^nns+nom+++=fragments
of ^in++++=of
a ^at++++=a
language ^nn+nom+++=language
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
spoken ^vpsv++agls+xvbnx+=spoken,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
spoken ^vpsv++agls+xvbnx+=spoken
to ^to++++=to
terrify ^vbi++++=terrify,
, ^zz++++=EXTRAWORD
to ^to++++=to
warn ^vbi+vpub+++=warn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
command ^nn++++=command.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
reason ^nn++++=reason
to ^to++++=to
believe ^vbi+vprv+++=believe
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
promptness ^nns+nom+++=promptness
of ^in++++=of
action ^nn++++=action,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
the ^ati++++=the
prophets ^nns++++=prophets,
, ^zz++++=EXTRAWORD
followed ^j+++xvbn+=followed
all ^abn++++=all
intimations ^nns+nom+++=intimations
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
strength ^nn++++=strength
of ^in++++=of
conviction ^nn+nom+++=conviction
and ^cc++++=and
strange ^jj+atrb+++=strange
permanence ^nn+nom+++=permanence
of ^in++++=of
the ^ati++++=the
effects ^nns++++=effects
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
certain ^jj+atrb+++=certain
dreams ^nps++++=dreams
in ^in++++=in
latter ^ap++++=latter
times ^nns++++=times,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
effects ^nns++++=effects
ourselves ^ppls+pp1+++=ourselves
may ^md+pos+++=may
have ^vb+hv+aux++=have
witnessed ^vprf+++xvbnx+=witnessed,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
when ^wrb+who+++=when
this ^dt+dem+++=this
medium ^jjb++++=medium
of ^in++++=of
communication ^nn+nom+++=communication
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++by+xvbnx+=employed
by ^in++++=by
the ^ati++++=the
Deity ^nn++++=Deity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
evidences ^nns+nom+++=evidences
of ^in++++=of
his ^pp$+pp3+++=his
presence ^nn+nom+++=presence
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
unequivocal ^jj++++=unequivocal.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
thoughts ^nns++++=thoughts
were ^vbd+bed+aux++=were
directed ^vpsv++agls+xvbnx+=directed
to ^in++++=to
this ^dt+dem+++=this
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
to ^to++++=to
leave ^vbi++++=leave
a ^at++++=a
lasting ^jj+atrb++xvbg+=lasting
impression ^nn++++=impression
upon ^in++++=upon
my ^pp$+pp1+++=my
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
events ^nns++++=events
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
now ^rn+tm+splt++=now
relate ^vb++++=relate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
statement ^nn+nom+++=statement
of ^in++++=of
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
extraordinary ^jj++++=extraordinary,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
nevertheless ^rb+cnj+++=nevertheless
accurately ^rb++++=accurately
correct ^jj++++=correct.
. ^zz++++=EXTRAWORD
About ^in++++=About
the ^ati++++=the
year ^nn++++=year
l ^zz++++=l
7 ^zz++++=7-having
- ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
appointed ^vpsv++agls+xvbnx+=appointed
to ^to+vcmp+++=to
the ^ati++++=the
living ^jj+++xvbg+=living
of ^in++++=of
C ^zz++++=C----h,
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
h ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rented ^vbd+++xvbnx+=rented
a ^at++++=a
small ^jj+atrb+++=small
house ^nn++++=house
in ^in++++=in
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
bears ^vbz++++=bears
the ^ati++++=the
same ^ap++++=same
name ^nn++++=name:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
month ^nn++++=month
of ^in++++=of
November ^nr+nom+++=November,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
awakened ^vpsv++agls+xvbnx+=awakened
before ^in++++=before
my ^pp$+pp1+++=my
usual ^jj+atrb+++=usual
time ^nn++++=time,
, ^zz++++=EXTRAWORD
by ^in++++=by
my ^pp$+pp1+++=my
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
bustled ^vbd+++xvbn+=bustled
into ^in++++=into
my ^pp$+pp1+++=my
bedroom ^nn++++=bedroom
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
announcing ^xvbg+++xvbg+=announcing
a ^at++++=a
sick ^jj+atrb+++=sick
call ^nn++++=call.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
Catholic ^jj+atrb+++=Catholic
Church ^npl++++=Church
holds ^nns++++=holds
her ^pp3o+pp3+++=her
last ^rb++++=last
rites ^nns++++=rites
to ^to++++=to
be ^vbi++vrb++=be
totally ^rb+amp+++=totally
indispensable ^jj+pred+++=indispensable
to ^in++++=to
the ^ati++++=the
safety ^nn++++=safety
of ^in++++=of
the ^ati++++=the
departing ^jj+atrb++xvbg+=departing
sinner ^nn++++=sinner,
, ^zz++++=EXTRAWORD
no ^at++++=no
conscientious ^jj+atrb+++=conscientious
clergyman ^nn+nom+++=clergyman
can ^md+pos+++=can
afford ^vb++++=afford
a ^at++++=a
moment ^nn++++=moment's
's ^vbz+bez+vrb++0=EXTRAWORD
unnecessary ^jj+atrb+++=unnecessary
delay ^nn++++=delay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
little ^ap++++=little
more ^rbr++++=more
than ^in++++=than
five ^cd++++=five
minutes ^nns++++=minutes
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
ready ^jj++++=ready
cloaked ^jj+++xvbn+=cloaked
and ^cc+phrs+++=and
booted ^jj+++xvbn+=booted
for ^in++++=for
the ^ati++++=the
road ^nn++++=road
in ^in++++=in
the ^ati++++=the
small ^jj+atrb+++=small
front ^jjb+atrb+++=front
parlour ^nn++++=parlour,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
messenger ^nn+nom+++=messenger,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
to ^in++++=to
act ^nn++++=act
as ^in++++=as
my ^pp$+pp1+++=my
guide ^nn++++=guide,
, ^zz++++=EXTRAWORD
awaited ^j+++xvbn+=awaited
my ^pp$+pp1+++=my
coming ^nvbg+++xvbg+=coming.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
girl ^nn++++=girl
crying ^vwbg+++xvbg+=crying
piteously ^jj++++=piteously
near ^in+pl+++=near
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
some ^dti++++=some
slight ^jj+atrb+++=slight
difficulty ^nn++++=difficulty
I ^pp1a+pp1+++=I
ascertained ^vbd+vprv++xvbnx+=ascertained
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
father ^npt++++=father
was ^vbd+bedz+vrb++=was
either ^dtx++++=either
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
just ^rb+emph+++=just
dying ^nvbg+++xvbg+=dying.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
may ^md+pos+++=may
be ^vb+be+vrb++=be
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
child ^nn++++=child?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
held ^vbd+vprv++xvbnx+=held
down ^rb+phrv+++=down
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
ashamed ^jj++++=ashamed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeated ^vbd+++xvbnx+=repeated
the ^ati++++=the
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wretched ^jj+atrb+++=wretched
little ^jj+atrb+++=little
creature ^nn++++=creature
burst ^vbd+++xvbn+=burst
into ^in+ppvb+++=into
floods ^nns++++=floods
of ^in++++=of
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
still ^rb++++=still
more ^rbr++++=more
bitter ^jj++++=bitter
than ^in++++=than
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
shed ^vprf+++xvbnx+=shed
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
provoked ^vpsv++by+xvbn+=provoked
by ^in++++=by
conduct ^nn++++=conduct
which ^whp+rel+subj++=which
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
me ^vbi++++=me
so ^ql+emph+++=so
unreasonable ^jj++++=unreasonable,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
lose ^vbi++++=lose
patience ^nn+nom+++=patience,
, ^zz++++=EXTRAWORD
spite ^in"++++=spite
of ^in++++=of
the ^ati++++=the
pity ^nn++++=pity
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
help ^vb++++=help
feeling ^nvbg+++xvbg+=feeling
towards ^in++++=towards
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
rather ^rb++++=rather
harshly ^rb+cnj+++=harshly,
, ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
not ^xnot++not++=not
tell ^vb++++=tell
me ^pp1o+pp1+++=me
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
person ^nn++++=person
to ^to++++=to
whom ^whp+wpor+++=whom
you ^pp2+pp2+++=you
would ^md+prd+++=would
lead ^vb++++=lead
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
silence ^nn+nom+++=silence
can ^md+pos+++=can
arise ^vb++++=arise
from ^in++++=from
no ^at++++=no
good ^jj+atrb+++=good
motive ^nn++++=motive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
might ^md+pos+++=might
be ^vb+be+aux++=be
justified ^vpsv++agls+xvbnx+=justified
in ^in++++=in
refusing ^vb+++xvbg+=refusing
to ^to+vcmp+++=to
go ^vbi++++=go
with ^in++++=with
you ^pp2+pp2+++=you
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afeard ^nn+++??+=afeard
of ^in++++=of
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
tell ^vb++++=tell
you ^pp2+pp2+++=you--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
afeard ^nn+++??+=afeard
when ^wrb+who+++=when
you ^pp2+pp2+++=you
heard ^vbd+vprv++xvbn+=heard
his ^pp$+pp3+++=his
name ^nn++++=name
you ^pp2+pp2+++=you
would ^md+prd+++=would
not ^xnot++not++=not
come ^vb++++=come
with ^in++++=with
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
no ^at++++=no
use ^nn++++=use
hidin ^nn+++??+=hidin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
now--it ^jj+atrb++??+=now--it's
's ^vbz+bez+vrb++0=EXTRAWORD
Pat ^np++++=Pat
Connell ^np+++??+=Connell,
, ^zz++++=EXTRAWORD
the ^ati++++=the
carpenter ^nn+nom+++=carpenter,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
honour ^nn++++=honour."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
in ^in++++=in
my ^pp$+pp1+++=my
face ^nn++++=face
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
earnest ^nn++++=earnest
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
her ^pp$+pp3+++=her
very ^ql+amp+++=very
existence ^nn+nom+++=existence
depended ^vbd+++xvbn+=depended
upon ^in++++=upon
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
should ^md+nec+++=should
read ^vb+vprv++xvbn+=read
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
relieved ^vbd+++xvbnx+=relieved
her ^pp3o+pp3+++=her
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
most ^ql+emph+++=most
unpleasantly ^jj++++=unpleasantly
familiar ^jj++++=familiar
to ^in++++=to
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
fruitless ^jj++++=fruitless
my ^pp$+pp1+++=my
visits ^nns++++=visits
and ^cc++++=and
advice ^nn++++=advice
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
another ^dt++++=another
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
was ^vbd+bedz+vrb++=was
too ^ql++++=too
fearful ^jj++++=fearful
an ^at++++=an
occasion ^nn++++=occasion
to ^to++++=to
suffer ^vbi++++=suffer
my ^pp$+pp1+++=my
doubts ^nns++++=doubts
of ^in++++=of
their ^pp$+pp3+++=their
utility ^nn+nom+++=utility
as ^in++++=as
my ^pp$+pp1+++=my
reluctance ^nn+nom+++=reluctance
to ^to+ncmp+++=to
re ^in++++=re-attempting
- ^zz++++=EXTRAWORD
attempting ^vbg+++xvbg+=EXTRAWORD
what ^wdt+who+++=what
appeared ^vbd+seem++xvbn+=appeared
a ^at++++=a
hopeless ^jj+atrb+++=hopeless
task ^nn++++=task
to ^to++++=to
weigh ^vbi++++=weigh
even ^rb++++=even
against ^in++++=against
the ^ati++++=the
