Peg ^nn++++=Peg
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Walshawe ^np+++??+=Walshawe
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
well ^rb++++=well
known ^vbd+vprv++xvbn+=known
in ^in++++=in
the ^ati++++=the
neighborhood ^nn+nom+++=neighborhood
of ^in++++=of
Wauling ^np+nom++??+=Wauling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
generally ^rb+down+++=generally
avoided ^vbd+++xvbn+=avoided
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
A ^at++++=A
" ^zz++++="captain"
captain ^npt++++=EXTRAWORD
" ^zz++++=EXTRAWORD
by ^in++++=by
courtesy ^nn++++=courtesy,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
reached ^vprf+++xvbnx+=reached
that ^dt+dem+++=that
rank ^nn++++=rank
in ^in++++=in
the ^ati++++=the
army ^nn++++=army
list ^nn++++=list.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
quitted ^vprf+++xvbn+=quitted
the ^ati++++=the
service ^nn++++=service
in ^in++++=in
1766 ^cd+date+++=1766,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
twenty ^cd++++=twenty-five;
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
immediately ^rb+tm+++=immediately
previous ^jj++++=previous
to ^to++++=to
which ^whp+who+++=which
period ^nn++++=period
his ^pp$+pp3+++=his
debts ^nns++++=debts
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
so ^pn+emph+++=so
troublesome ^jj++++=troublesome,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
induced ^vpsv++agls+xvbnx+=induced
to ^to++++=to
extricate ^nn+nom+++=extricate
himself ^ppl+pp3+++=himself
by ^in++++=by
running ^xvbg+++xvbg+=running
away ^rp+pl+++=away
with ^in++++=with
and ^cc++++=and
marrying ^vbg+++xvbg+=marrying
an ^at++++=an
heiress ^nns+nom+++=heiress.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
not ^xnot++not++=not
so ^rb+emph+++=so
wealthy ^jj++++=wealthy
quite ^rb++++=quite
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
imagined ^vprf+++xvbnx+=imagined,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
proved ^vbd+vprv++xvbnx+=proved
a ^at++++=a
very ^ql+amp+++=very
comfortable ^jj+atrb+++=comfortable
investment ^nn+nom+++=investment
for ^in++++=for
what ^wdt+who+++=what
remained ^vbd+++xvbn+=remained
of ^in++++=of
his ^pp$+pp3+++=his
shattered ^xvbn+++xvbn+=shattered
affections ^nns+nom+++=affections;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
and ^cc+phrs+++=and
enjoyed ^vbd+++xvbn+=enjoyed
himself ^ppl+pp3+++=himself
very ^ql+amp+++=very
much ^ap++++=much
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
way ^nn++++=way,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
her ^pp$+pp3+++=her
income ^nn++++=income,
, ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
into ^in+ppvb+++=into
no ^at++++=no
end ^nn++++=end
of ^in++++=of
scrapes ^nns+++??+=scrapes
and ^cc++++=and
scandals ^nns+nom+++=scandals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
debt ^nn++++=debt
and ^cc++++=and
money ^nn++++=money
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
quartered ^vprf+++xvbn+=quartered
in ^in++++=in
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
at ^in++++=at
Clonmel ^np+++??+=Clonmel,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
was ^vbd+bedz+aux++=was
a ^at++++=a
nunnery ^nn+nom+++=nunnery,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
as ^in++++=as
pensioner ^nn+nom+++=pensioner,
, ^zz++++=EXTRAWORD
resided ^j+++xvbn+=resided
Miss ^npt++++=Miss
O ^zz++++=O'Neill,
'neill, ^nn+++??+=EXTRAWORD
or ^cc++++=or
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
in ^rb+phrv+++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
Peg ^nn++++=Peg
O ^zz++++=O'Neill--the
'neill--the ^nn+++??+=EXTRAWORD
heiress ^nns+nom+++=heiress
of ^in++++=of
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
spoken ^vprf+++xvbnx+=spoken.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
situation ^nn+nom+++=situation
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
ingredient ^nn++++=ingredient
of ^in++++=of
romance ^nn+nom+++=romance
in ^in++++=in
the ^ati++++=the
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
young ^jj+atrb+++=young
lady ^nn++++=lady
was ^vbd+bedz+vrb++=was
decidedly ^rb++++=decidedly
plain ^jj+pred+++=plain,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
good ^jj++++=good-humoured
- ^zz++++=EXTRAWORD
humoured ^vbd+++xvbn+=EXTRAWORD
looking ^jj+++xvbg+=looking,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
style ^nn++++=style
of ^in++++=of
features ^nns++++=features
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
termed ^vpsv++agls+xvbnx+=termed
potato ^nn++++=potato;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
figure ^nn++++=figure
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
too ^rb++++=too
plump ^jj++++=plump,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rather ^rb++++=rather
short ^jj++++=short.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
impressible ^jj+pred+++=impressible;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
handsome ^jj+atrb+++=handsome
young ^jj+atrb+++=young
English ^jj+atrb+++=English
Lieutenant ^npt+nom+++=Lieutenant
was ^vbd+bedz+vrb++=was
too ^ql++++=too
much ^ap++++=much
for ^in++++=for
her ^pp$+pp3+++=her
monastic ^jj+atrb+++=monastic
tendencies ^nns++++=tendencies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
eloped ^vbd+++xvbnx+=eloped.
. ^zz++++=EXTRAWORD
In ^in++++=In
England ^np++++=England
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
traditions ^nns+nom+++=traditions
of ^in++++=of
Irish ^jj+atrb+++=Irish
fortune ^nn++++=fortune-hunters,
- ^zz++++=EXTRAWORD
hunters ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
Ireland ^np++++=Ireland
of ^in++++=of
English ^nn++++=English.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
vagrant ^jj+atrb+++=vagrant
class ^nn++++=class
of ^in++++=of
each ^dt++++=each
country ^nn++++=country
that ^tht+rel+subj++=that
chiefly ^rb++++=chiefly
visited ^vbd+++xvbn+=visited
the ^ati++++=the
other ^ap++++=other
in ^in++++=in
old ^jj+atrb+++=old
times ^nns++++=times;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
handsome ^jj+atrb+++=handsome
vagabond ^nn++++=vagabond,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
at ^in++++=at
home ^nr++++=home
or ^cc++++=or
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
the ^ati++++=the
most ^ap+emph+++=most
of ^in++++=of
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
also ^rb++++=also
his ^pp$+pp3+++=his
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
At ^rb++++=At
all ^abn++++=all
events ^nns++++=events,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
off ^rb+phrv+++=off
the ^ati++++=the
fair ^jj+atrb+++=fair
one ^pn++++=one
from ^in++++=from
the ^ati++++=the
sanctuary ^nn+nom+++=sanctuary;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
some ^dti++++=some
sufficient ^jj+atrb+++=sufficient
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
up ^rb+phrv+++=up
their ^pp$+pp3+++=their
abode ^nn++++=abode
at ^in++++=at
Wauling ^np+nom++??+=Wauling,
, ^zz++++=EXTRAWORD
in ^in++++=in
Lancashire ^np++++=Lancashire.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
gallant ^jj+atrb+++=gallant
captain ^npt++++=captain
amused ^vbd+++xvbn+=amused
himself ^ppl+pp3+++=himself
after ^in++++=after
his ^pp$+pp3+++=his
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
running ^vbg+++xvbg+=running
up ^rp++++=up,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course
on ^in++++=on
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
to ^in++++=to
London ^np++++=London.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
few ^ap++++=few
wives ^nns++++=wives
have ^vb+hv+aux++=have
ever ^rb++splt++=ever
cried ^vprf+++xvbnx+=cried
more ^rbr++++=more
in ^in++++=in
a ^at++++=a
given ^jj+atrb++xvbn+=given
time ^nn++++=time
than ^in++++=than
did ^vbd+dod+vrb++=did
that ^dt+dem+++=that
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
dumpy ^nn+++??+=dumpy,
, ^zz++++=EXTRAWORD
potato ^nn++++=potato-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
heiress ^nns+nom+++=heiress,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
got ^vbd+++xvbn+=got
over ^in+ppvb+++=over
the ^ati++++=the
nunnery ^nn+nom+++=nunnery
garden ^nn++++=garden
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jumped ^vpsv++agls+xvbn+=jumped
into ^in++++=into
the ^ati++++=the
handsome ^jj+atrb+++=handsome
Captain ^np++++=Captain's
's ^$++++=EXTRAWORD
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
for ^in++++=for
love ^nn++++=love.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spent ^vbd+++xvbnx+=spent
her ^pp$+pp3+++=her
income ^nn++++=income,
, ^zz++++=EXTRAWORD
frightened ^j+++xvbn+=frightened
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her
wits ^nns++++=wits
with ^in++++=with
oaths ^nns++++=oaths
and ^cc++++=and
threats ^nns++++=threats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
broke ^vbd+++xvbn+=broke
her ^pp$+pp3+++=her
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Latterly ^rb++++=Latterly
she ^pp3a+pp3+++=she
shut ^vbd+++xvbnx+=shut
herself ^ppl+pp3+++=herself
up ^rp++++=up
pretty ^rb++++=pretty
nearly ^rb+down+++=nearly
altogether ^nn+nom+++=altogether
in ^in++++=in
her ^pp$+pp3+++=her
room ^nn++++=room.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
an ^at++++=an
old ^jj++++=old,
, ^zz++++=EXTRAWORD
rather ^rb++++=rather
grim ^jj+atrb+++=grim,
, ^zz++++=EXTRAWORD
Irish ^jj+atrb+++=Irish
servant ^nn+nom+++=servant-woman
- ^zz++++=EXTRAWORD
woman ^nn++++=EXTRAWORD
in ^in++++=in
attendance ^nn+nom+++=attendance
upon ^in++++=upon
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
domestic ^jj++++=domestic
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall,
, ^zz++++=EXTRAWORD
lean ^vb++++=lean,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
religious ^jj++++=religious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Captain ^nn++++=Captain
knew ^vbd+vprv++xvbn+=knew
instinctively ^rb++++=instinctively
she ^pp3a+pp3+++=she
hated ^vbd+++xvbnx+=hated
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
hated ^vbd+++xvbnx+=hated
her ^pp$+pp3+++=her
in ^in++++=in
return ^nn++++=return,
, ^zz++++=EXTRAWORD
often ^rb++++=often
threatened ^nn+++xvbn+=threatened
to ^to+ncmp+++=to
put ^vbi++++=put
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
even ^rb++++=even
to ^to++++=to
kick ^vbi++++=kick
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
whenever ^nn+nom+++=whenever
a ^at++++=a
wet ^jj+atrb+++=wet
day ^nn++++=day
confined ^vwbn+++xvbn+=confined
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
stable ^nn++++=stable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
grew ^vbd+++xvbnx+=grew
tired ^jj+++xvbn+=tired
of ^in++++=of
smoking ^xvbg+++xvbg+=smoking,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
begin ^vb++++=begin
to ^to++++=to
swear ^vbi+vpub++xvbn+=swear
and ^cc+phrs+++=and
curse ^vb++++=curse
at ^rb++++=at
her ^pp$+pp3+++=her
for ^in++++=for
a ^at++++=a
diddled ^jj+atrb++xvbn+=diddled
old ^jj+atrb+++=old
mischief ^nn++++=mischief-maker,
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
could ^md+pos+++=could
never ^rb++++=never
be ^vb+be+vrb++=be
easy ^jj+pred+++=easy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
troubling ^nvbg+++xvbg+=troubling
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
her ^pp$+pp3+++=her
cursed ^vbd+++xvbn+=cursed
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
forth ^rb"++++=forth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
years ^nns++++=years
passed ^vbd+++xvbn+=passed
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
Molly ^np++++=Molly
Doyle ^np+++??+=Doyle
remained ^vbd+++xvbn+=remained
still ^jj+pred+++=still
in ^in++++=in
her ^pp$+pp3+++=her
original ^nn+nom+++=original
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
there ^ex+pex+++=there
must ^md+nec+++=must
be ^vb+be+vrb++=be
somebody ^pn++++=somebody
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
likely ^jj++++=likely
to ^to+jcmp+++=to
change ^vb++++=change
for ^in++++=for
the ^ati++++=the
better ^nn++++=better.
. ^zz++++=EXTRAWORD
Chapter ^nn++++=CHAPTER
Ii ^np+++??+=II
The ^ati++++=The
Blessed ^jj+atrb++xvbn+=Blessed
Candle ^nn++++=Candle
He ^pp3a+pp3+++=He
tolerated ^vbd+++xvbnx+=tolerated
another ^dt++++=another
intrusion ^nn++++=intrusion,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
himself ^ppl+pp3+++=himself
a ^at++++=a
paragon ^nn++++=paragon
of ^in++++=of
patience ^nn+nom+++=patience
and ^cc++++=and
easy ^jj+atrb+++=easy
good ^jj+atrb+++=good
nature ^nn++++=nature
for ^in++++=for
so ^ql++++=so
doing ^nvbg+++xvbg+=doing.
. ^zz++++=EXTRAWORD
A ^at++++=A
Roman ^jj+atrb+++=Roman
Catholic ^jj+atrb+++=Catholic
clergyman ^nn+nom+++=clergyman,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
long ^rb++++=long
black ^jj+atrb+++=black
frock ^nn++++=frock,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
low ^jj+atrb+++=low
standing ^jj+atrb++xvbg+=standing
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
white ^jj+atrb+++=white
muslin ^nn++++=muslin
fillet ^nn++++=fillet
round ^in++++=round
his ^pp$+pp3+++=his
neck ^nn++++=neck--tall,
-- ^--+clp+++=EXTRAWORD
tall ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sallow ^jj++++=sallow,
, ^zz++++=EXTRAWORD
with ^in++++=with
blue ^jj+atrb+++=blue
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dark ^jj+atrb+++=dark
steady ^jj+atrb+++=steady
eyes ^nns++++=eyes--used
-- ^--+clp+++=EXTRAWORD
used ^md"++pmd"++=EXTRAWORD
to ^to++++=to
glide ^vb++++=glide
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
the ^ati++++=the
passages ^nns+nom+++=passages;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Captain ^nn++++=Captain
sometimes ^rb++++=sometimes
met ^vbd+++xvbn+=met
him ^pp3o+pp3+++=him
in ^in++++=in
one ^cd1++++=one
place ^nn++++=place
and ^cc++++=and
sometimes ^rb++++=sometimes
in ^in++++=in
another ^dt++++=another.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
by ^in++++=by
a ^at++++=a
caprice ^nn+++??+=caprice
incident ^nn++++=incident
to ^in++++=to
such ^abl++++=such
tempers ^nns+nom+++=tempers
he ^pp3a+pp3+++=he
treated ^vbd+++xvbnx+=treated
this ^dt+dem+++=this
cleric ^nn++++=cleric
exceptionally ^rb+cnj+++=exceptionally,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
with ^in++++=with
a ^at++++=a
surly ^jj+atrb+++=surly
sort ^nn++++=sort
of ^in++++=of
courtesy ^nn++++=courtesy,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
grumbled ^vbd+++xvbnx+=grumbled
about ^in++++=about
his ^pp$+pp3+++=his
visits ^nns++++=visits
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
moral ^jj+atrb+++=moral
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ecclesiastic ^nn++++=ecclesiastic
looked ^vbd+++xvbn+=looked
severe ^jj++++=severe
and ^cc++++=and
self ^nn++++=self-possessed;
- ^zz++++=EXTRAWORD
possessed ^vbd+++xvbn+=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
somehow ^rb++++=somehow
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
good ^jj+atrb+++=good
opinion ^nn++++=opinion
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
a ^at++++=a
natural ^jj+atrb+++=natural
occasion ^nn++++=occasion
were ^vbd+bed+aux++=were
offered ^vpsv++agls+xvbnx+=offered,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
say ^vb+vpub+++=say
extremely ^rb+amp+++=extremely
unpleasant ^jj+atrb+++=unpleasant
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hard ^jj++++=hard
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
answered ^vpsv++agls+xvbnx+=answered.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
the ^ati++++=the
time ^nn++++=time
came ^vbd+++xvbn+=came
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
poor ^jj+atrb+++=poor
Peg ^nn++++=Peg
O ^zz++++=O'Neill--in
'neill--in ^nn+++??+=EXTRAWORD
an ^at++++=an
evil ^jj+atrb+++=evil
hour ^nn++++=hour
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
James ^np++++=James
Walshawe ^np+++??+=Walshawe--must
-- ^--+clp+++=EXTRAWORD
must ^md+nec+++=EXTRAWORD
cry ^vb++++=cry,
, ^zz++++=EXTRAWORD
