We ^pp1a+pp1+++=We
Bulletin ^nn++++=Bulletin
from ^in++++=from
Sydney ^np++++=Sydney,
, ^zz++++=EXTRAWORD
Australia ^np++++=Australia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
Bee ^np+++??+=Bee
from ^in++++=from
Omaha ^np+++??+=Omaha.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
perhaps ^rb++++=perhaps
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
South ^np+pl+++=South
Clark ^np++++=Clark
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
honeycombed ^vpsv++agls+xvbnx+=honeycombed
with ^in++++=with
good ^jj+atrb+++=good
copy ^nn++++=copy--man-size
-- ^--+clp+++=EXTRAWORD
man ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
South ^nr+pl+++=South
Clark ^np++++=Clark
Street ^nn++++=Street
reminds ^vbz++++=reminds
one ^pn++++=one
of ^in++++=of
a ^at++++=a
slatternly ^jj+atrb+++=slatternly
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
brave ^jj++++=brave
in ^in++++=in
silks ^nns++++=silks
and ^cc++++=and
velvets ^nns+++??+=velvets
on ^in++++=on
the ^ati++++=the
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
ragged ^jj++++=ragged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rumpled ^vbd+++xvbn+=rumpled
and ^cc++++=and
none ^pn++++=none
too ^ql++++=too
clean ^vb++++=clean
as ^in++++=as
to ^in++++=to
nether ^np++++=nether
garments ^nns+nom+++=garments.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
begins ^vbz++++=begins
with ^in++++=with
a ^at++++=a
tenement ^nn+nom+++=tenement
so ^rb+emph+++=so
vile ^jj++++=vile,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
filthy ^jj++++=filthy,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
repulsive ^jj++++=repulsive,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
municipal ^jj+atrb+++=municipal
authorities ^nns+nom+++=authorities
deny ^vb+vpub+++=deny
its ^pp$+it+++=its
very ^ap+amp+++=very
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ends ^vbz++++=ends
with ^in++++=with
a ^at++++=a
brand ^nn++++=brand-new
- ^zz++++=EXTRAWORD
new ^jj+atrb+++=EXTRAWORD
hotel ^npl++++=hotel,
, ^zz++++=EXTRAWORD
all ^abn++++=all
red ^jj+atrb+++=red
brick ^nn++++=brick,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
white ^jj+atrb+++=white
tiling ^nn++++=tiling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Louise ^np+++??+=Louise
Quinze ^np+++??+=Quinze
furniture ^nn++++=furniture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sour ^jj++++=sour-cream
- ^zz++++=EXTRAWORD
cream ^nn++++=EXTRAWORD
colored ^vbd+++xvbn+=colored
marble ^nn++++=marble
lobby ^nn++++=lobby,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oriental ^jj+atrb+++=oriental
rugs ^nns++++=rugs
lavishly ^rb++++=lavishly
scattered ^vbd+++xvbn+=scattered
under ^in++++=under
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
the ^ati++++=the
unappreciative ^jj+atrb+++=unappreciative
guest ^nn++++=guest
from ^in++++=from
Kansas ^np++++=Kansas
City ^nn++++=City.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
street ^nn++++=street
of ^in++++=of
signs ^nns++++=signs,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
South ^np+pl+++=South
Clark ^np++++=Clark.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
vary ^vb++++=vary
all ^rb++++=all
the ^ati++++=the
way ^nn++++=way
from ^in++++=from
" ^zz++++="Banca
banca ^nn+++??+=EXTRAWORD
Italiana ^np+++??+=Italiana"
" ^zz++++=EXTRAWORD
done ^vprf+++xvbn+=done
in ^in++++=in
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
fly ^vb++++=fly-specked
- ^zz++++=EXTRAWORD
specked ^jj+atrb++xvbn+=EXTRAWORD
letters ^nns+nom+++=letters
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
to ^to++++=to
" ^zz++++="Sang
sang ^nc+++xvbn+=EXTRAWORD
Yuen ^np+++??+=Yuen"
" ^zz++++=EXTRAWORD
scrawled ^jj+++xvbn+=scrawled
in ^in++++=in
Chinese ^jj++++=Chinese
red ^jj++++=red
and ^cc++++=and
black ^nn++++=black.
. ^zz++++=EXTRAWORD
Spaghetti ^nn++++=Spaghetti
and ^cc++++=and
chop ^vb++++=chop
suey ^nn+++??+=suey
and ^cc++++=and
dairy ^nn++++=dairy
lunches ^nns++++=lunches
nestle ^jj+atrb++??+=nestle
side ^nn++++=side
by ^in++++=by
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
an ^at++++=an
electric ^nn++++=electric
sign ^vb++++=sign
blazons ^nns+++??+=blazons
forth ^np++++=forth
the ^ati++++=the
tempting ^jj+atrb++xvbg+=tempting
announcement ^nn+nom+++=announcement
of ^in++++=of
lunch ^nn++++=lunch.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
across ^in+pl+++=across
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
delicately ^rb++++=delicately
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
means ^nn++++=means
of ^in++++=of
availing ^nn+nom+++=availing
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
self ^nn++++=self
of ^in++++=of
the ^ati++++=the
invitation ^nn+nom+++=invitation,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
another ^ppls++++=another
which ^whp+who+++=which
announces ^vbz+vpub+++=announces
" ^zz++++="Loans."
loans ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
South ^nr+pl+++=South
Clark ^np++++=Clark
Street ^nn++++=Street
can ^md+pos+++=can
transform ^vb++++=transform
a ^at++++=a
winter ^nn++++=winter
overcoat ^nn++++=overcoat
into ^in++++=into
hamburger ^jjr++++=hamburger
and ^cc++++=and
onions ^nns++++=onions
so ^rb++++=so
quickly ^rb++++=quickly
that ^cs+sub+++=that
the ^ati++++=the
eye ^nn++++=eye
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
follow ^vb+vprv+++=follow
the ^ati++++=the
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
gather ^vb+vprv+++=gather
from ^in++++=from
this ^dt+dem+++=this
that ^cs+sub+++=that
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
taken ^vprf+++xvbn+=taken
slumming ^jj+++xvbg+=slumming?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
passer ^jjr++++=passer-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
on ^in++++=on
Clark ^np++++=Clark
Street ^nn++++=Street
varies ^vbz++++=varies
as ^in++++=as
to ^in++++=to
color ^nn++++=color,
, ^zz++++=EXTRAWORD
nationality ^nn+nom+++=nationality,
, ^zz++++=EXTRAWORD
raiment ^nn+nom+++=raiment,
, ^zz++++=EXTRAWORD
finger ^nn++++=finger-nails,
- ^zz++++=EXTRAWORD
nails ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hair ^nn++++=hair-cut
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
locality ^nn+nom+++=locality
in ^in++++=in
which ^whp+rel+pied++=which
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
tenement ^nn+nom+++=tenement
end ^nn++++=end
the ^ati++++=the
feminine ^jj++++=feminine
passer ^jjr++++=passer-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
is ^vbz+bez+vrb++=is
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
shawled ^vpsv++agls+xvbnx+=shawled,
, ^zz++++=EXTRAWORD
swarthy ^jj++++=swarthy,
, ^zz++++=EXTRAWORD
down ^rp++++=down-at-the-heel,
- ^zz++++=EXTRAWORD
at ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
heel ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dragging ^vbg+++xvbg+=dragging
a ^at++++=a
dark ^jj++++=dark-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
fretting ^jj+atrb++xvbg+=fretting
baby ^nn++++=baby
in ^in++++=in
her ^pp$+pp3+++=her
wake ^vb++++=wake.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
hotel ^npl++++=hotel
end ^nn++++=end
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
her ^pp$+pp3+++=her
blonde ^jj++++=blonde
of ^in++++=of
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
velvet ^nn++++=velvet
of ^in++++=of
boot ^nn++++=boot,
, ^zz++++=EXTRAWORD
plumed ^jj++++=plumed
of ^in++++=of
head ^nn++++=head-gear,
- ^zz++++=EXTRAWORD
gear ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prone ^jj++++=prone
to ^to+jcmp+++=to
have ^vbi++vrb++=have
at ^rb++++=at
her ^pp3o+pp3+++=her
heels ^nns++++=heels
a ^at++++=a
white ^jj++++=white,
, ^zz++++=EXTRAWORD
woolly ^jj++++=woolly,
, ^zz++++=EXTRAWORD
pink ^jj++++=pink-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masculine ^jj+atrb+++=masculine
Clark ^np++++=Clark
Streeter ^np+nom++??+=Streeter?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
throw ^vb++++=throw
up ^rp++++=up
my ^pp$+pp1+++=my
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Pray ^vb+vsua+++=Pray
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
South ^nr+pl+++=South
Clark ^np++++=Clark
Street ^nn++++=Street
embraces ^vbz++++=embraces
the ^ati++++=the
dime ^nn+++??+=dime
lodging ^nn++++=lodging
house ^nn++++=house,
, ^zz++++=EXTRAWORD
pawnshop ^nn+++??+=pawnshop,
, ^zz++++=EXTRAWORD
hotel ^npl++++=hotel,
, ^zz++++=EXTRAWORD
theater ^jjr++++=theater,
, ^zz++++=EXTRAWORD
chop ^vb++++=chop-suey
- ^zz++++=EXTRAWORD
suey ^nn+++??+=EXTRAWORD
and ^cc++++=and
railway ^nn++++=railway
office ^nn++++=office
district ^nn++++=district,
, ^zz++++=EXTRAWORD
all ^abn++++=all
within ^in++++=within
a ^ap++++=a
few ^ap"++++=few
blocks ^nns++++=blocks.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
sidewalk ^nn++++=sidewalk
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
his ^pp$+pp3+++=his
groggery ^nn+nom+++=groggery,
, ^zz++++=EXTRAWORD
" ^zz++++="Bath
bath ^np++++=EXTRAWORD
House ^npl++++=House
John ^np++++=John"
" ^zz++++=EXTRAWORD
can ^md+pos+++=can
see ^vb+vprv+++=see
the ^ati++++=the
City ^nn++++=City
Hall ^npl++++=Hall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trim ^nn++++=trim,
, ^zz++++=EXTRAWORD
khaki ^nn++++=khaki-garbed
- ^zz++++=EXTRAWORD
garbed ^jj+atrb++xvbn+=EXTRAWORD
enlistment ^nn+nom+++=enlistment
officer ^nn++++=officer
rubs ^nns+++??+=rubs
elbows ^nns++++=elbows
with ^in++++=with
the ^ati++++=the
lodging ^nn++++=lodging
house ^npl++++=house
bum ^nn+++??+=bum.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masculine ^jj+atrb+++=masculine
Clark ^np++++=Clark
Streeter ^np+nom++??+=Streeter
may ^md+pos+++=may
be ^vb+be+vrb++=be
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind
that ^tht+rel+obj++=that
begs ^nns+++??+=begs
a ^at++++=a
dime ^nn+++??+=dime
for ^in++++=for
a ^at++++=a
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
he ^pp3a+pp3+++=he
may ^md+pos+++=may
loll ^vb++++=loll
in ^in++++=in
manicured ^jj+atrb++xvbn+=manicured
luxury ^nn++++=luxury
at ^in++++=at
the ^ati++++=the
marble ^nn++++=marble-lined
- ^zz++++=EXTRAWORD
lined ^vwbn+++xvbn+=EXTRAWORD
hotel ^npl++++=hotel.
. ^zz++++=EXTRAWORD
South ^nr+pl+++=South
Clark ^np++++=Clark
Street ^nn++++=Street
is ^vbz+bez+vrb++=is
so ^ql++++=so
splendidly ^rb++++=splendidly
indifferent ^jj++++=indifferent.
. ^zz++++=EXTRAWORD
Copy ^nn++++=Copy-hunting,
- ^zz++++=EXTRAWORD
hunting ^nvbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
approached ^vbd+++xvbnx+=approached
Tony ^np++++=Tony
with ^in++++=with
hope ^nn++++=hope
in ^in++++=in
my ^pp$+pp1+++=my
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
a ^at++++=a
smile ^nn++++=smile
on ^in++++=on
my ^pp$+pp1+++=my
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
nickel ^nn++++=nickel
in ^in++++=in
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Philadelphia--er--Inquirer?"
philadelphia ^np++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
er ^&fw++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
inquirer ^nn+nom+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
being ^jj+++xvbg+=being
the ^ati++++=the
city ^nn++++=city
and ^cc++++=and
paper ^nn++++=paper
which ^whp+rel+subj++=which
fire ^vb++++=fire
my ^pp$+pp1+++=my
imagination ^nn+nom+++=imagination
least ^rbt++++=least.
. ^zz++++=EXTRAWORD
Tony ^np++++=Tony
whipped ^vbd+++xvbn+=whipped
it ^pp3+it+++=it
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
dexterously ^jj++++=dexterously.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
his ^pp$+pp3+++=his
keen ^jj+atrb+++=keen
blue ^jj+atrb+++=blue
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
lean ^vb++++=lean
brown ^jj+atrb+++=brown
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
punishing ^vbg+++xvbg+=punishing
jaw ^nn++++=jaw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
no ^at++++=no
airy ^jj+atrb+++=airy
persiflage ^nn+nom+++=persiflage
would ^md+prd+++=would
deceive ^vb++++=deceive
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Boldly ^rb++++=Boldly
I ^pp1a+pp1+++=I
waded ^vbd+++xvbnx+=waded
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
write ^vb++++=write
for ^in++++=for
the ^ati++++=the
magazines ^nns++++=magazines,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
grinned ^vbd+++xvbn+=grinned
Tony ^np++++=Tony.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
beginning ^nvbg+++xvbg+=beginning
to ^to++++=to
be ^vbi++vrb++=be
faintly ^rb++++=faintly
aware ^jj+pred+++=aware.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
stand ^vb++++=stand
looks ^nns++++=looks
like ^in++++=like
a ^at++++=a
story ^nn++++=story
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
one ^cd1++++=one
ever ^rb++++=ever
come ^vb++++=come
your ^pp$+pp2+++=your
way ^nn++++=way?
? ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
come ^vb++++=come
here ^rn+pl+++=here
asking ^vbg+vsua++xvbg+=asking
for ^in+ppvb+++=for
their ^pp$+pp3+++=their
home ^nr++++=home-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
paper ^nn++++=paper--sobs
-- ^--+clp+++=EXTRAWORD
sobs ^nns++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
voice ^nn++++=voice--grasp
-- ^--+clp+++=EXTRAWORD
grasp ^nn++++=EXTRAWORD
the ^ati++++=the
sheet ^nn++++=sheet
with ^in++++=with
trembling ^xvbg+++xvbg+=trembling
hands ^nns++++=hands--type
-- ^--+clp+++=EXTRAWORD
type ^nn++++=EXTRAWORD
swims ^vbz++++=swims
in ^in++++=in
a ^at++++=a
misty ^jj+atrb+++=misty
haze ^nn++++=haze
before ^in++++=before
their ^pp$+pp3+++=their
eyes ^nns++++=eyes--turn
-- ^--+clp+++=EXTRAWORD
turn ^nn++++=EXTRAWORD
aside ^rp++++=aside
to ^to++++=to
brush ^vbi++++=brush
away ^rp+pl+++=away
a ^at++++=a
tear ^nn++++=tear--all
-- ^--+clp+++=EXTRAWORD
