After ^in++++=After
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
there ^rn+pl+++=there
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
in ^in++++=in
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Hurrying ^vbg+++xvbg+=Hurrying
on ^in++++=on
his ^pp$+pp3+++=his
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
descended ^vbd+++xvbnx+=descended
to ^in++++=to
his ^pp$+pp3+++=his
office ^nn++++=office,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
possessing ^jj+++xvbg+=possessing
himself ^ppl+pp3+++=himself
of ^in++++=of
some ^dti++++=some
necessary ^jj+atrb+++=necessary
medicines ^nns++++=medicines,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
being ^vbg+beg++xvbg+=being
too ^ql++++=too
late ^jj++++=late
for ^in++++=for
the ^ati++++=the
family ^nn++++=family
to ^to++++=to
send ^vbi++++=send
out ^rp+pl+++=out
a ^at++++=a
prescription ^nn+nom+++=prescription,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
his ^pp$+pp3+++=his
cloak ^nn++++=cloak
around ^rp++++=around
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
into ^in++++=into
the ^ati++++=the
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
at ^rb++++=at
least ^rb"++++=least
half ^rb++++=half
a ^at++++=a
mile ^nn++++=mile
to ^in++++=to
the ^ati++++=the
residence ^nn+nom+++=residence
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
doctor ^nn++++=doctor
arrived ^vbd+++xvbn+=arrived
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold,
, ^zz++++=EXTRAWORD
wet ^jj++++=wet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uncomfortable ^jj++++=uncomfortable
both ^abx++++=both
in ^in++++=in
mind ^nn++++=mind
and ^cc++++=and
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Ascending ^vbg+++xvbg+=Ascending
to ^in++++=to
the ^ati++++=the
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^rb++++=a
little ^rb"++++=little
surprised ^jj+++xvbn+=surprised
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
Charley ^np++++=Charley,
, ^zz++++=EXTRAWORD
a ^at++++=a
bright ^jj++++=bright
little ^rb++++=little
fellow ^jjb++++=fellow
of ^in++++=of
some ^dti++++=some
two ^cd++++=two
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
up ^rp++++=up
in ^in++++=in
his ^pp$+pp3+++=his
crib ^nn+++??+=crib
as ^ql++++=as
lively ^jj++++=lively
as ^in++++=as
a ^at++++=a
cricket ^nn++++=cricket.
. ^zz++++=EXTRAWORD
" ^zz++++="O
o ^zz++++=EXTRAWORD
doctor ^nn++++=doctor!
! ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
frightened ^jj+++xvbn+=frightened!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbn+=thought
Charley ^np++++=Charley
had ^vb+hv+vrb++=had
the ^ati++++=the
croup ^nn+++??+=croup,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
breathed ^vbd+++xvbnx+=breathed
so ^ql+emph+++=so
loud ^jj++++=loud.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
get ^vbi++++=get
any ^dti++++=any
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton
felt ^vbd+vprv++xvbn+=felt
his ^pp$+pp3+++=his
pulse ^nn++++=pulse,
, ^zz++++=EXTRAWORD
listened ^j+++xvbn+=listened
to ^in++++=to
his ^pp$+pp3+++=his
respiration ^nn+nom+++=respiration,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
his ^pp$+pp3+++=his
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
emphatically ^rb++++=emphatically-"I
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
all ^rb++++=all
be ^vb+be+vrb++=be
in ^in++++=in
bed ^nn++++=bed!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
better ^jjr++++=better
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
scared ^vpsv++agls+xvbnx+=scared
than ^in++++=than
hurt ^vbd+++xvbn+=hurt,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
responded ^vbd+++xvbn+=responded
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel.
. ^zz++++=EXTRAWORD
" ^zz++++="Humph!"
humph ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ejaculated ^vbd+++xvbn+=ejaculated
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
give ^vb++++=give
him ^pp3o+pp3+++=him
something ^pn++++=something,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am?"
'am?" ^nn+++??+=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
keep ^vbi++++=keep
him ^pp3o+pp3+++=him
from ^in++++=from
having ^xvbg+++xvbg+=having
the ^ati++++=the
croup ^nn+++??+=croup.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
threatened ^vpsv++agls+xvbnx+=threatened
with ^in++++=with
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
half ^abn++++=half
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
made ^vbd+++xvbn+=made
a ^at++++=a
quick ^jj+atrb+++=quick
retreat ^nn++++=retreat,
, ^zz++++=EXTRAWORD
fearing ^vbg+vprv++xvbg+=fearing
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
give ^vb++++=give
way ^nn++++=way
too ^ql++++=too
much ^ap++++=much
to ^in++++=to
his ^pp$+pp3+++=his
irritated ^jj+atrb++xvbn+=irritated
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
offend ^vb++++=offend
a ^at++++=a
family ^nn++++=family
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
pay ^vb++++=pay.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
debtor ^nn++++=debtor
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
ledger ^np++++=ledger,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel,
, ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton
made ^vbd+++xvbn+=made
this ^dt+dem+++=this
entry ^nn++++=entry;
; ^zz++++=EXTRAWORD
To ^to++++=To
one ^cd1++++=one
night ^nn++++=night-visit
- ^zz++++=EXTRAWORD
visit ^vb++++=EXTRAWORD
to ^in++++=to
son ^nn++++=son,
, ^zz++++=EXTRAWORD
$ ^zz++++=$5.
5 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
well ^jj+pred+++=well
for ^in++++=for
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
pay ^vb++++=pay,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
added ^vbd+vpub++xvbn+=added
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
mentally ^rb+cnj+++=mentally,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
replaced ^vbd+++xvbnx+=replaced
the ^ati++++=the
book ^nn++++=book
in ^in++++=in
the ^ati++++=the
drawer ^nn++++=drawer
from ^in++++=from
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Scarcely ^rb+down+++=Scarcely
had ^vb+hv+vrb++=had
this ^dt+dem+++=this
necessary ^jj+atrb+++=necessary
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
business ^nns+nom+++=business
been ^vprf+ben+aux+xvbn+=been
performed ^vpsv++agls+xvbnx+=performed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
same ^ap++++=same
messenger ^nn+nom+++=messenger
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
summoned ^vprf+++xvbnx+=summoned
him ^pp3o+pp3+++=him
the ^ati++++=the
night ^nn++++=night
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
came ^jj+atrb++xvbn+=came
post ^nn++++=post-haste
- ^zz++++=EXTRAWORD
haste ^nn++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
announcement ^nn+nom+++=announcement
that ^tht+ncmp+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel
wanted ^vbd+++xvbn+=wanted
him ^pp3o+pp3+++=him
to ^to++++=to
come ^vbi++++=come
there ^rn+pl+++=there
immediately ^rb+cnj+++=immediately,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Charley ^np++++=Charley
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
a ^at++++=a
high ^jj+atrb+++=high
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
Obedient ^jj++++=Obedient
to ^in++++=to
the ^ati++++=the
summons ^nn++++=summons,
, ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton
soon ^rb+tm+++=soon
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
both ^abx++++=both
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel
greatly ^rb+amp+++=greatly
concerned ^jj+++xvbn+=concerned
about ^in++++=about
their ^pp$+pp3+++=their
little ^jj+atrb+++=little
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
so ^ql++++=so
' ^zz++++='fraid
fraid ^nn+++??+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
scarlet ^jj+atrb+++=scarlet
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
any ^dti++++=any
thing ^nn++++=thing
like ^in++++=like
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued
with ^in++++=with
much ^ap++++=much
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
upon ^in++++=upon
Charley ^np++++=Charley
a ^at++++=a
look ^nn++++=look
of ^in++++=of
deep ^jj+atrb+++=deep
maternal ^jj+atrb+++=maternal
affection ^nn+nom+++=affection.
. ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton
felt ^vbd+vprv++xvbn+=felt
of ^in++++=of
Charley ^np++++=Charley's
's ^$++++=EXTRAWORD
pulse ^nn++++=pulse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
his ^pp$+pp3+++=his
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
wrote ^vbd+vprv++xvbn+=wrote
a ^at++++=a
prescription ^nn+nom+++=prescription
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
father ^nn++++=father,
, ^zz++++=EXTRAWORD
much ^ap++++=much
concerned ^jj+++xvbn+=concerned.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
dangerous ^jj++++=dangerous,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
him ^pp3o+pp3+++=him
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
should ^md+nec+++=should
grow ^vb++++=grow
worse ^jjr++++=worse,
, ^zz++++=EXTRAWORD
send ^vb++++=send
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
bowed ^vbd+++xvbn+=bowed
and ^cc+phrs+++=and
departed ^vbd+++xvbn+=departed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fond ^jj+atrb+++=fond
parents ^nns++++=parents
sent ^vbd+++xvbn+=sent
off ^in+pl+++=off
for ^in++++=for
the ^ati++++=the
medicine ^nn++++=medicine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
small ^jj+atrb+++=small
dose ^nn++++=dose
of ^in++++=of
rhubarb ^nn++++=rhubarb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poor ^jj+atrb+++=poor
Charley ^np++++=Charley
had ^md"++pmd"++=had
to ^md+nec+++=to
have ^vbi++vrb++=have
his ^pp$+pp3+++=his
nose ^nn++++=nose
held ^vbd+vprv++xvbn+=held
tight ^jj++++=tight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
nauseous ^nn++++=nauseous
stuff ^vb++++=stuff
poured ^vbd+++xvbn+=poured
down ^rp++++=down
his ^pp$+pp3+++=his
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
doctor ^nn++++=doctor
called ^vbd+++xvbn+=called,
, ^zz++++=EXTRAWORD
on ^in++++=on
being ^nn+nn+aux++=being
sent ^vbd+++xvbn+=sent
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
some ^dti++++=some
slight ^jj+atrb+++=slight
febrile ^nn+++??+=febrile
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
consequent ^jj++++=consequent
upon ^in++++=upon
excitement ^nn+nom+++=excitement
and ^cc++++=and
loss ^nn++++=loss
of ^in++++=of
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
contrary ^in+cmpx+++=contrary
to ^in"++++=to
his ^pp$+pp3+++=his
expectation ^nn+nom+++=expectation,
, ^zz++++=EXTRAWORD
heightened ^xvbn+++xvbn+=heightened,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
allaying ^xvbg+++xvbg+=allaying
these ^dt+pdem+++=these;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
long ^rb++++=long
before ^cs+sub+++=before
nightfall ^nn+++??+=nightfall
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
summoned ^vpsv++agls+xvbnx+=summoned
again ^rb+tm+++=again
to ^to++++=to
attend ^vbi++++=attend
his ^pp$+pp3+++=his
little ^ap++++=little
patient ^nn++++=patient.
. ^zz++++=EXTRAWORD
Much ^ap++++=Much
to ^in++++=to
his ^pp$+pp3+++=his
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
hot ^jj+atrb+++=hot
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
flushed ^jj+atrb++xvbn+=flushed
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quickened ^vbd+++xvbn+=quickened
pulse ^nn++++=pulse.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
terrible ^jj+atrb+++=terrible
alarm ^nn++++=alarm.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
him ^pp3o+pp3+++=him
