Colonel ^npt++++=Colonel
and ^cc+cls+++=and
increased ^vpsv++agls+xvbn+=increased
for ^in++++=for
the ^ati++++=the
common ^jj+atrb+++=common
use ^nn++++=use.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
white ^jj+atrb+++=white
men ^nns++++=men
discovered ^vbd+vprv++xvbn+=discovered
this ^dt+dem+++=this
hunter ^nn++++=hunter's
's ^$++++=EXTRAWORD
paradise ^nn++++=paradise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
come ^vbi++++=come
back ^jjb++++=back
with ^in++++=with
their ^pp$+pp3+++=their
families ^nns++++=families
and ^cc++++=and
waste ^nn++++=waste
the ^ati++++=the
game ^nn++++=game
and ^cc++++=and
fell ^vbd+++xvbn+=fell
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
plow ^nn+++??+=plow
the ^ati++++=the
wild ^jj+atrb+++=wild
meadows ^nns++++=meadows,
, ^zz++++=EXTRAWORD
no ^at++++=no
wonder ^vb++++=wonder
the ^ati++++=the
Indians ^nn++++=Indians
were ^vbd+bed+vrb++=were
furious ^jj+pred+++=furious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^xvbn+++xvbn+=made
Kentucky ^np+++??+=Kentucky
the ^ati++++=the
Dark ^jj+atrb+++=Dark
and ^cc+phrs+++=and
Bloody ^jj+atrb+++=Bloody
Ground ^nn++++=Ground
for ^in++++=for
the ^ati++++=the
enemies ^nns++++=enemies
of ^in++++=of
their ^pp$+pp3+++=their
whole ^jj+atrb+++=whole
race ^nn++++=race,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
already ^rb++splt++=already
made ^vprf+++xvbnx+=made
it ^pp3+it+++=it
for ^in++++=for
one ^cd1++++=one
another ^dt++++=another
in ^in++++=in
the ^ati++++=the
conflicts ^nns++++=conflicts
between ^in++++=between
the ^ati++++=the
hunting ^jj+atrb++xvbg+=hunting
parties ^nns++++=parties
of ^in++++=of
rival ^jjb+atrb+++=rival
tribes ^nns++++=tribes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
maddened ^vbd+++xvbn+=maddened
them ^pp3o+pp3+++=them
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
cabins ^nns++++=cabins
and ^cc++++=and
the ^ati++++=the
forts ^nns++++=forts
of ^in++++=of
the ^ati++++=the
settlers ^nns+nom+++=settlers
in ^in++++=in
the ^ati++++=the
sacred ^jj+atrb+++=sacred
region ^nn++++=region
where ^wrb+who+++=where
no ^at++++=no
red ^jj+atrb+++=red
man ^nn++++=man
dare ^vb++++=dare
pitch ^nn++++=pitch
his ^pp$+pp3+++=his
wigwam ^nn+++??+=wigwam;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
a ^at++++=a
fierce ^jj+atrb+++=fierce
and ^cc+phrs+++=and
pitiless ^jj+atrb+++=pitiless
effort ^nn++++=effort
to ^to+ncmp+++=to
drive ^vbi++++=drive
out ^rp+pl+++=out
the ^ati++++=the
invaders ^nns+nom+++=invaders.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these
was ^vbd+bedz+vrb++=was
the ^ati++++=the
famous ^jj+atrb+++=famous
Daniel ^np++++=Daniel
Boone ^np++++=Boone.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
of ^in++++=of
the ^ati++++=the
glories ^nns++++=glories
of ^in++++=of
the ^ati++++=the
land ^nn++++=land
from ^in++++=from
a ^at++++=a
hunter ^nn++++=hunter
who ^whp+rel+subj++=who
wandered ^vbd+++xvbn+=wandered
into ^in++++=into
Kentucky ^np+++??+=Kentucky
by ^in++++=by
chance ^nn++++=chance
and ^cc++++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
North ^nr+pl+++=North
Carolina ^np+++??+=Carolina
to ^to++++=to
tell ^vbi++++=tell
of ^in++++=of
it ^pp3+it+++=it
among ^in++++=among
his ^pp$+pp3+++=his
neighbors ^nns++++=neighbors.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
years ^nns++++=years
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
in ^in++++=in
1769 ^cd+date+++=1769,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
of ^in++++=of
forty ^cd++++=forty,
, ^zz++++=EXTRAWORD
Boone ^np++++=Boone
came ^vbd+++xvbn+=came
to ^to++++=to
see ^vbi+vprv+++=see
for ^in++++=for
himself ^ppl+pp3+++=himself
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
by ^in++++=by
hearsay ^nn++++=hearsay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
half ^abn++++=half
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
told ^vpsv++agls+xvbnx+=told.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
among ^in++++=among
other ^ap++++=other
surprises ^nns++++=surprises
in ^in++++=in
store ^nn++++=store
for ^in++++=for
him ^pp3o+pp3+++=him
was ^vbd+bedz+aux++=was
falling ^nvbg+++xvbg+=falling
into ^in+ppvb+++=into
the ^ati++++=the
clutches ^nns++++=clutches
of ^in++++=of
an ^at++++=an
Indian ^jj+atrb+++=Indian
hunting ^jj+atrb++xvbg+=hunting
party ^nn++++=party
which ^whp+rel+obj++=which
ambushed ^jj+++xvbn+=ambushed
him ^pp3o+pp3+++=him
and ^cc++++=and
the ^ati++++=the
friend ^nn++++=friend
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
both ^abx++++=both
escaped ^jj+++xvbn+=escaped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
afterwards ^rb+tm+++=afterwards
Boone ^np++++=Boone's
's ^$++++=EXTRAWORD
brother ^nn++++=brother
and ^cc++++=and
a ^at++++=a
neighbor ^nn++++=neighbor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
followed ^vprf+++xvbnx+=followed
him ^pp3o+pp3+++=him
from ^in++++=from
North ^np+pl+++=North
Carolina ^np+++??+=Carolina,
, ^zz++++=EXTRAWORD
chanced ^j+++xvbn+=chanced
upon ^in++++=upon
their ^pp$+pp3+++=their
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
Boone ^np++++=Boone's
's ^$++++=EXTRAWORD
friend ^nn++++=friend
was ^vbd+bedz+vrb++=was
before ^in++++=before
long ^rb++++=long
shot ^nn+++xvbn+=shot
and ^cc++++=and
scalped ^nn+++xvbn+=scalped
by ^in++++=by
the ^ati++++=the
Indians ^nn++++=Indians;
; ^zz++++=EXTRAWORD
the ^ati++++=the
brother ^nn++++=brother's
's ^$++++=EXTRAWORD
neighbor ^nn++++=neighbor
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods
and ^cc++++=and
devoured ^vpsv++by+xvbn+=devoured
by ^in++++=by
the ^ati++++=the
wolves ^nps++++=wolves.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
brother ^nn++++=brother
went ^vbd+++xvbn+=went
home ^nr++++=home
for ^in++++=for
ammunition ^nn+nom+++=ammunition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Boone ^np++++=Boone
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
a ^at++++=a
whole ^jj+atrb+++=whole
year ^nn++++=year
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
charm ^nn++++=charm
of ^in++++=of
its ^pp$+it+++=its
life ^nn++++=life
was ^vbd+bedz+vrb++=was
so ^ql++++=so
great ^np++++=great
for ^in++++=for
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
after ^cs+sub+++=after
two ^cd++++=two
years ^nns++++=years
more ^ql++++=more
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
to ^in++++=to
North ^nr+pl+++=North
Carolina ^np+++??+=Carolina,
, ^zz++++=EXTRAWORD
sold ^xvbn+++xvbn+=sold
his ^pp$+pp3+++=his
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vpsv++agls+xvbn+=came
to ^in++++=to
Kentucky ^np+++??+=Kentucky
with ^in++++=with
his ^pp$+pp3+++=his
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
families ^nns++++=families
joined ^vbd+++xvbn+=joined
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
settlement ^nn+nom+++=settlement
founded ^vbd+++xvbn+=founded
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
ranged ^vprf+++xvbnx+=ranged
solitary ^jj++++=solitary
with ^in++++=with
no ^at++++=no
friend ^nn++++=friend
but ^cc++++=but
his ^pp$+pp3+++=his
rifle ^nn++++=rifle
and ^cc++++=and
with ^in++++=with
foes ^nns++++=foes
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
Boonesborough ^np+++??+=Boonesborough.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Revolutionary ^jj+atrb+++=Revolutionary
War ^nn++++=War
broke ^vbd+++xvbn+=broke
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Ohio ^np+++??+=Ohio
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
hitherto ^rb++splt++=hitherto
fought ^vprf+++xvbnx+=fought
the ^ati++++=the
pioneers ^nns+nom+++=pioneers
as ^in++++=as
Englishmen ^nn++++=Englishmen,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
fought ^vbd+++xvbn+=fought
them ^pp3o+pp3+++=them
as ^in++++=as
Americans ^nns+nom+++=Americans
with ^in++++=with
fresh ^jj+atrb+++=fresh
fury ^nn++++=fury,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
encouragement ^nn+nom+++=encouragement
of ^in++++=of
the ^ati++++=the
British ^jj+atrb+++=British
commandant ^nn+nom+++=commandant
at ^rb++++=at
Detroit ^np+++??+=Detroit.
. ^zz++++=EXTRAWORD
In ^in++++=In
January ^nr+nom+++=January,
, ^zz++++=EXTRAWORD
of ^in++++=of
1778 ^cd+date+++=1778,
, ^zz++++=EXTRAWORD
Boone ^np++++=Boone
took ^vbd+++xvbn+=took
thirty ^cd++++=thirty
of ^in++++=of
his ^pp$+pp3+++=his
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
to ^to++++=to
make ^vbi++++=make
salt ^jj++++=salt
at ^rb++++=at
the ^ati++++=the
Blue ^jj+atrb+++=Blue
Licks ^np+++??+=Licks,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
shortly ^rb+tm+++=shortly
after ^in+strn+++=after,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
hunting ^vbg+++xvbgx+=hunting
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
two ^cd++++=two
hundred ^cd++++=hundred
Indian ^jj+atrb+++=Indian
warriors ^nns++++=warriors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
on ^in++++=on
their ^pp$+pp3+++=their
way ^nn++++=way
to ^in++++=to
attack ^nn++++=attack
Boonesborough ^np+++??+=Boonesborough.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
fifty ^cd++++=fifty
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
young ^jj+atrb+++=young
Indians ^nn++++=Indians
soon ^rb+tm+++=soon
overtook ^vbd+++xvbn+=overtook
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
escape ^vbi++++=escape
by ^in++++=by
running ^xvbg+++xvbg+=running,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
their ^pp$+pp3+++=their
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
captors ^nns++++=captors
treated ^vwbn+++xvbn+=treated
him ^pp3o+pp3+++=him
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
their ^pp$+pp3+++=their
custom ^nn++++=custom
was ^vbd+bedz+vrb++=was
with ^in++++=with
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
decided ^vbd+vprv++xvbnx+=decided
what ^wdt+who+++=what
should ^md+nec+++=should
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
Licks ^np+++??+=Licks
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
party ^nn++++=party
gave ^vbd+++xvbn+=gave
themselves ^ppls+pp3+++=themselves
up ^rp++++=up
on ^in++++=on
promise ^nn++++=promise
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
treatment ^nn+nom+++=treatment.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
glory ^nn++++=glory
enough ^dt++++=enough
for ^in++++=for
the ^ati++++=the
present ^jj+atrb+++=present;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
always ^rb++++=always
did ^vbd+dod+vrb++=did
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
a ^at++++=a
victory ^nn++++=victory,
, ^zz++++=EXTRAWORD
went ^jj+atrb++xvbn+=went
home ^nr++++=home
to ^to++++=to
celebrate ^nn+nom+++=celebrate
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^jj+++xvbn+=left
Boonesborough ^np+++??+=Boonesborough
unmolested ^jj++++=unmolested.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
took ^vbd+++xvbnx+=took
all ^abn++++=all
their ^pp$+pp3+++=their
prisoners ^nns+nom+++=prisoners
to ^in++++=to
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Old ^jj+atrb+++=Old
Chillicothe ^np+++??+=Chillicothe,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Little ^jj+atrb+++=Little
Miami ^np++++=Miami
in ^in++++=in
Greene ^np+++??+=Greene
County ^nn++++=County.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
became ^vbd+++xvbn+=became
of ^in++++=of
his ^pp$+pp3+++=his
men ^nns++++=men
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
not ^xnot++not++=not
told ^vbd+vpub++xvbn+=told;
; ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
them ^pp3o+pp3+++=them
kept ^vbd+++xvbn+=kept
a ^at++++=a
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Smith ^np++++=Smith
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
certain ^jj+pred+++=certain
that ^tht+jcmp+++=that
Boone ^np++++=Boone
was ^vbd+bedz+aux++=was
adopted ^vpsv++agls+xvbnx+=adopted
into ^in++++=into
an ^at++++=an
Indian ^jj+atrb+++=Indian
family ^nn++++=family
as ^ql++++=as
Smith ^np++++=Smith
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
all ^abn++++=all
became ^vbd+++xvbn+=became
fond ^jj++++=fond
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
like ^in++++=like
themselves ^ppls+pp3+++=themselves
in ^in++++=in
temperament ^nn+nom+++=temperament
and ^cc++++=and
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
silent ^jj+atrb+++=silent
man ^nn++++=man,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
cold ^jj++++=cold
and ^cc+phrs+++=and
wary ^jj++++=wary,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
savage ^jj+atrb+++=savage
calm ^nn++++=calm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
well ^rb++splt++=well
versed ^vpsv++agls+xvbnx+=versed
in ^in++++=in
their ^pp$+pp3+++=their
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knew ^vbd+vprv++xvbn+=knew
how ^wrb+who+whcl++=how
to ^to++++=to
play ^vbi++++=play
upon ^in++++=upon
their ^pp$+pp3+++=their
vanity ^nn++++=vanity.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
few ^ap++++=few
things ^nns++++=things
he ^pp3a+pp3+++=he
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
told ^vbd+vpub++xvbn+=told
of ^in++++=of
his ^pp$+pp3+++=his
captivity ^nn+nom+++=captivity
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
take ^vbi++++=take
part ^nn++++=part
in ^in++++=in
their ^pp$+pp3+++=their
shooting ^xvbg+++xvbg+=shooting
matches ^vbz++++=matches
he ^pp3a+pp3+++=he
beat ^vbd+++xvbnx+=beat
them ^pp3o+pp3+++=them
just ^rb+emph+++=just
often ^rb++++=often
enough ^dt++++=enough
to ^to++++=to
show ^vbi+vprv+++=show
them ^pp3o+pp3+++=them
his ^pp$+pp3+++=his
wonderful ^jj+atrb+++=wonderful
skill ^nn++++=skill
with ^in++++=with
the ^ati++++=the
rifle ^nn++++=rifle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
allowed ^vwbn+++xvbn+=allowed
them ^pp3o+pp3+++=them
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
beating ^xvbg+++xvbg+=beating
such ^abl++++=such
a ^at++++=a
splendid ^jj+atrb+++=splendid
shot ^nn+++xvbn+=shot
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
proved ^vprf+++xvbnx+=proved
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
probably ^rb++++=probably
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
other ^ap++++=other
engaging ^jj+atrb++xvbg+=engaging
qualities ^nns+nom+++=qualities,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
so ^ql++++=so
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
when ^wrb+who+++=when
the ^ati++++=the
Indians ^nn++++=Indians
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
with ^in++++=with
them ^pp3o+pp3+++=them
to ^in++++=to
Detroit ^np+++??+=Detroit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
British ^jj+atrb+++=British
commandant ^npt+nom+++=commandant
offered ^vbd+++xvbn+=offered
them ^pp3o+pp3+++=them
a ^at++++=a
ransom ^nn++++=ransom
of ^in++++=of
a ^at++++=a
hundred ^cd++++=hundred
pounds ^nns++++=pounds
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
several ^ap++++=several
other ^ap++++=other
Englishmen ^nn++++=Englishmen,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
liked ^vbd+++xvbn+=liked
and ^cc+phrs+++=and
pitied ^vbd+++xvbn+=pitied
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
pressed ^j+++xvbn+=pressed
him ^pp3o+pp3+++=him
to ^to++++=to
take ^vbi++++=take
money ^nn++++=money
and ^cc++++=and
other ^ap++++=other
favors ^nns++++=favors
from ^in++++=from
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Boone ^np++++=Boone
stoically ^rb++++=stoically
refused ^vbd+++xvbn+=refused
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
could ^md+pos+++=could
never ^rb++splt++=never
hope ^vb++++=hope
to ^to+vcmp+++=to
make ^vbi++++=make
any ^dti++++=any
return ^nn++++=return
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
red ^jj+atrb+++=red
