Her ^pp$+pp3+++=Her
the ^ati++++=the
human ^jj+atrb+++=human
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
all ^abn++++=all
other ^ap++++=other
agony ^nn++++=agony
hope ^nn++++=hope
flickers ^nns+nom+++=flickers,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
forlornly ^jj++++=forlornly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gazed ^vbd+++xvbnx+=gazed
dully ^rb++++=dully
at ^in++++=at
the ^ati++++=the
unconscious ^jj+atrb+++=unconscious
breathing ^jj+atrb++xvbg+=breathing
form ^nn++++=form
of ^in++++=of
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
companion ^nn++++=companion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lover ^nn++++=lover,
, ^zz++++=EXTRAWORD
during ^in++++=during
five ^cd++++=five
years ^nns++++=years
of ^in++++=of
youth ^nn++++=youth
too ^rb++++=too
vigorous ^jj++++=vigorous
and ^cc+phrs+++=and
hopeful ^jj++++=hopeful
to ^to++++=to
be ^vbi+vbi+aux++=be
warped ^vpsv++by+xvbnx+=warped
by ^in++++=by
uneven ^jj+atrb+++=uneven
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
wasted ^vpsv++by+xvbnx+=wasted
by ^in++++=by
disease ^nn++++=disease;
; ^zz++++=EXTRAWORD
the ^ati++++=the
face ^nn++++=face
was ^vbd+bedz+vrb++=was
shrunken ^jj+pred+++=shrunken;
; ^zz++++=EXTRAWORD
the ^ati++++=the
nightgarment ^nn+nom+++=nightgarment
hung ^vbd+++xvbn+=hung
loosely ^rb++++=loosely
about ^in++++=about
a ^at++++=a
body ^nn++++=body
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
disfigured ^vpsv++by+xvbnx+=disfigured
by ^in++++=by
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
muscular ^jj++++=muscular
with ^in++++=with
exercise ^nn++++=exercise
and ^cc++++=and
full ^jj++++=full-blooded
- ^zz++++=EXTRAWORD
blooded ^jj+++xvbn+=EXTRAWORD
with ^in++++=with
health ^nn++++=health.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
that ^tht+jcmp+++=that
the ^ati++++=the
body ^nn++++=body
was ^vbd+bedz+aux++=was
changed ^vpsv++agls+xvbnx+=changed;
; ^zz++++=EXTRAWORD
glad ^jj++++=glad
that ^tht+jcmp+++=that
its ^pp$+it+++=its
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
some ^dti++++=some
otherwhere ^nn+++??+=otherwhere
than ^in++++=than
into ^in++++=into
the ^ati++++=the
coffin ^nn++++=coffin.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
loved ^vprf+++xvbnx+=loved
his ^pp$+pp3+++=his
hands ^nns++++=hands
as ^in++++=as
apart ^in++++=apart
from ^in"++++=from
himself ^ppl+pp3+++=himself;
; ^zz++++=EXTRAWORD
loved ^j+++xvbn+=loved
their ^pp$+pp3+++=their
strong ^jj+atrb+++=strong
warm ^jj+atrb+++=warm
magnetism ^nn+nom+++=magnetism.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lay ^vbd+++xvbnx+=lay
limp ^jj++++=limp
and ^cc+phrs+++=and
yellow ^jj++++=yellow
on ^in++++=on
the ^ati++++=the
quilt ^nn++++=quilt:
: ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
already ^rb++++=already
cold ^jj+pred+++=cold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
moisture ^nn++++=moisture
was ^vbd+bedz+aux++=was
gathering ^vbg+++xvbgx+=gathering
on ^rp++++=on
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
something ^pn++++=something
convulsed ^vbd+++xvbn+=convulsed
within ^in++++=within
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
too ^ql++++=too.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
repeated ^vbd+++xvbnx+=repeated
the ^ati++++=the
words ^nns++++=words
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
" ^zz++++="forever."
forever ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
while ^cs+sub+++=while
the ^ati++++=the
sweetness ^nns+nom+++=sweetness
of ^in++++=of
their ^pp$+pp3+++=their
pressure ^nn++++=pressure
came ^vbd+++xvbn+=came
back ^jjb++++=back
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
leaned ^vbd+++xvbnx+=leaned
suddenly ^rb++++=suddenly
over ^rp++++=over
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
there ^rn+pl+++=there
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
ceased ^vprf+++xvbn+=ceased
to ^to++++=to
breathe ^vbi++++=breathe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ego ^nn++++=Ego,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Soul ^nn++++=Soul,,
, ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Personality ^nn+nom+++=Personality
was ^vbd+bedz+vrb++=was
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
sodden ^jj+atrb+++=sodden
clay ^nn++++=clay
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
shaped ^vprf+++xvbnx+=shaped
to ^to++++=to
give ^vbi++++=give
it ^pp3+it+++=it
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
could ^md+pos+++=could
it ^pp3+it+++=it
not ^xnot++not++=not
manifest ^vb++++=manifest
itself ^ppl++++=itself
to ^in++++=to
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
still ^rb+atrb+++=still
conscious ^jj++++=conscious
in ^in++++=in
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
unable ^jj++++=unable
to ^to+jcmp+++=to
project ^vb++++=project
itself ^ppl++++=itself
through ^in++++=through
the ^ati++++=the
disintegrating ^jj+atrb+++=disintegrating
matter ^nn++++=matter
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
medium ^jjb++++=medium
its ^pp$+it+++=its
Creator ^nn++++=Creator
had ^vbd+hvd+aux++=had
vouchsafed ^vprf+++xvbnx+=vouchsafed
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Did
it ^pp3+it+++=it
struggle ^nn++++=struggle
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
seeing ^jj+++xvbg+=seeing
her ^pp3o+pp3+++=her
agony ^nn++++=agony,
, ^zz++++=EXTRAWORD
sharing ^vbg+++xvbg+=sharing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
longing ^vbg+++xvbg+=longing
for ^in++++=for
the ^ati++++=the
complete ^jj+atrb+++=complete
disintegration ^nn+nom+++=disintegration
which ^whp+rel+subj++=which
should ^md+nec+++=should
put ^vb+++xvbn+=put
an ^at++++=an
end ^nn++++=end
to ^in++++=to
its ^pp$+it+++=its
torment ^nn+nom+++=torment?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
called ^vbd+++xvbnx+=called
his ^pp$+pp3+++=his
name ^nn++++=name,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
even ^rb++++=even
shook ^vbd+++xvbn+=shook
him ^pp3o+pp3+++=him
slightly ^rb+cnj+++=slightly,
, ^zz++++=EXTRAWORD
mad ^jj++++=mad
to ^to+jcmp+++=to
tear ^vb++++=tear
the ^ati++++=the
body ^nn++++=body
apart ^in++++=apart
and ^cc++++=and
find ^vb+vprv+++=find
her ^pp$+pp3+++=her
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
even ^rb++++=even
in ^cs+sub+++=in
that ^cs"++++=that
tortured ^jj+atrb++xvbn+=tortured
moment ^nn++++=moment
realizing ^nn+vprv++xvbg+=realizing
that ^tht+ncmp+++=that
violence ^nn+nom+++=violence
would ^md+prd+++=would
hasten ^vb++++=hasten
his ^pp$+pp3+++=his
going ^vbg+++xvbg+=going.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dying ^jj+atrb++xvbg+=dying
man ^nn++++=man
took ^vbd+++xvbn+=took
no ^at++++=no
notice ^nn++++=notice
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
his ^pp$+pp3+++=his
gown ^nn++++=gown
and ^cc++++=and
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
cheek ^nn++++=cheek
to ^in++++=to
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
calling ^nvbg+++xvbg+=calling
him ^pp3o+pp3+++=him
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
more ^rbr++++=more
perfect ^jj+atrb+++=perfect
union ^nn++++=union;
; ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
could ^md+pos+++=could
the ^ati++++=the
bond ^nn++++=bond
still ^rb++++=still
be ^vb+be+vrb++=be
so ^ql+emph+++=so
strong ^jj++++=strong
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
at ^in++++=at
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
other ^ap++++=other
part ^nn++++=part;
; ^zz++++=EXTRAWORD
until ^cs+sub+++=until
dead ^jj++++=dead
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+aux++=be
living ^vbg+++xvbgx+=living.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
intermediate ^jj+atrb+++=intermediate
state ^nn++++=state.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
should ^md+nec+++=should
he ^pp3a+pp3+++=he
be ^vb+be+aux++=be
as ^cs+sub+++=as
entombed ^vbd+++xvbn+=entombed
and ^cc++++=and
unresponding ^nvbg+++xvbg+=unresponding
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
screws ^nns++++=screws
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
lid ^nn++++=lid?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
faintly ^rb++++=faintly
beating ^jj+atrb++xvbg+=beating
heart ^nn++++=heart
did ^vbd+dod+aux++=did
not ^xnot++not++=not
quicken ^vb+++xvbn+=quicken
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
extended ^vbd+++xvbnx+=extended
her ^pp3o+pp3+++=her
arms ^nns++++=arms
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
describing ^vbg+++xvbg+=describing
eccentric ^jj+atrb+++=eccentric
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
rapidly ^rb++++=rapidly
opening ^jj+++xvbg+=opening
and ^cc+phrs+++=and
closing ^jj+++xvbg+=closing
her ^pp3o+pp3+++=her
hands ^nns++++=hands
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^in++++=to
clutch ^nn++++=clutch
some ^dti++++=some
escaping ^jj+atrb++xvbg+=escaping
object ^nn++++=object;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
sprang ^vbd+++xvbn+=sprang
to ^in++++=to
her ^pp$+pp3+++=her
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
feared ^vbd+vprv++xvbnx+=feared
insanity ^nn+nom+++=insanity.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
left ^vpsv++agls+xvbnx+=left
alone ^rb++++=alone
with ^in++++=with
her ^pp$+pp3+++=her
dying ^vbg+++xvbg+=dying
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
lose ^vbi++++=lose
her ^pp$+pp3+++=her
reason ^nn++++=reason
and ^cc++++=and
shriek ^vb++++=shriek
a ^at++++=a
crowd ^nn++++=crowd
of ^in++++=of
people ^nns++++=people
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
green ^jj+atrb+++=green
plots ^nns++++=plots
in ^in++++=in
the ^ati++++=the
yards ^nns++++=yards
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
apparent ^jj++++=apparent,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
noticed ^vbd+vprv++xvbnx+=noticed.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
pall ^np++++=pall,
, ^zz++++=EXTRAWORD
rested ^j+++xvbn+=rested
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
understood ^vbd+vprv++xvbnx+=understood
that ^tht+vcmp+++=that
the ^ati++++=the
day ^nn++++=day
was ^vbd+bedz+vrb++=was
over ^in++++=over
and ^cc++++=and
that ^dt+dem+++=that
night ^nn++++=night
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
returned ^vbd+++xvbnx+=returned
swiftly ^rb++++=swiftly
to ^in++++=to
the ^ati++++=the
bedside ^nn++++=bedside,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
away ^rp+pl+++=away
hours ^nns++++=hours
or ^cc++++=or
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
discernible ^jj+pred+++=discernible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Death ^nn++++=Death
had ^vb+hv+vrb++=had
not ^xnot++not++=not
relaxed ^jj+++xvbn+=relaxed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laid ^vbd+++xvbnx+=laid
her ^pp$+pp3+++=her
own ^ap++++=own
against ^in++++=against
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
withdrew ^vbd+++xvbn+=withdrew
it ^pp3+it+++=it
with ^in++++=with
shuddering ^xvbg+++xvbg+=shuddering
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
teeth ^nns++++=teeth
smiting ^vwbg+++xvbg+=smiting
each ^dt++++=each
other ^ap++++=other
as ^cs+sub+++=as
if ^cs+cnd+++=if
an ^at++++=an
icy ^jj+atrb+++=icy
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
let ^vbd+++xvbnx+=let
herself ^ppl+pp3+++=herself
fall ^nn++++=fall
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
clasping ^vbg+++xvbg+=clasping
her ^pp$+pp3+++=her
hands ^nns++++=hands
against ^in++++=against
her ^pp$+pp3+++=her
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
with ^in++++=with
expanding ^xvbg+++xvbg+=expanding
eyes ^nns++++=eyes
the ^ati++++=the
white ^jj+atrb+++=white
sculptured ^jj+atrb+++=sculptured
face ^nn++++=face
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
glittering ^jj+atrb+++=glittering
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
less ^rbr++++=less
defined ^vbd+vprv++xvbn+=defined
of ^in++++=of
outline ^nn++++=outline.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Did
she ^pp3a+pp3+++=she
light ^nn++++=light
the ^ati++++=the
gas ^nn++++=gas
it ^pp3+it+++=it
would ^md+prd+++=would
draw ^vb++++=draw
mosquitoes ^nns+++??+=mosquitoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
shut ^vb+++xvbn+=shut
from ^in++++=from
him ^pp3o+pp3+++=him
the ^ati++++=the
little ^jj+atrb+++=little
air ^nn++++=air
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+vrb++=be
mechanically ^rb++++=mechanically
grateful ^jj+pred+++=grateful
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
opening ^jj+atrb++xvbg+=opening
eye ^nn++++=eye--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
falling ^jj+atrb++xvbg+=falling
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
vision ^nn++++=vision
became ^vbd+++xvbn+=became
so ^ql+emph+++=so
fixed ^jj+++xvbn+=fixed
that ^dt+dem+++=that
at ^rb++++=at
length ^rb"++++=length
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
closed ^jj+++xvbn+=closed
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
waited ^vpsv++agls+xvbn+=waited
for ^in++++=for
the ^ati++++=the
moisture ^nn++++=moisture
to ^to++++=to
rise ^vbi++++=rise
and ^cc+phrs+++=and
relieve ^vb++++=relieve
the ^ati++++=the
strain ^nn++++=strain.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
them ^pp3o+pp3+++=them
his ^pp$+pp3+++=his
face ^nn++++=face
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared;
; ^zz++++=EXTRAWORD
the ^ati++++=the
humid ^jj+atrb+++=humid
waves ^nns++++=waves
above ^in+pl+++=above
the ^ati++++=the
house ^nn++++=house-tops
- ^zz++++=EXTRAWORD
tops ^nns++++=EXTRAWORD
put ^vbd+++xvbn+=put
out ^rb+phrv+++=out
even ^rb++++=even
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
night ^nn++++=night
was ^vbd+bedz+aux++=was
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
Fearfully ^rb+cnj+++=Fearfully,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
approached ^vbd+++xvbnx+=approached
her ^pp$+pp3+++=her
ear ^nn++++=ear
to ^in++++=to
his ^pp$+pp3+++=his
lips ^nns++++=lips;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
still ^rb++++=still
breathed ^vbd+++xvbn+=breathed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
made ^vbd+++xvbnx+=made
a ^at++++=a
motion ^nn++++=motion
to ^to++++=to
kiss ^vbi++++=kiss
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
threw ^vbd+++xvbn+=threw
herself ^ppl+pp3+++=herself
back ^jjb++++=back
in ^in++++=in
a ^at++++=a
quiver ^nn++++=quiver
of ^in++++=of
agony ^nn++++=agony--they
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
the ^ati++++=the
lips ^nns++++=lips
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
less ^rbr++++=less.
