( ^zz++++=(1855)In
watch ^vbi++++=watch
her ^pp$+pp3+++=her--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
proceeding ^nn++++=proceeding
notmuch ^vb+++??+=notmuch
facilitated ^vpsv++by+xvbn+=facilitated
by ^in++++=by
the ^ati++++=the
vapors ^nns++++=vapors
partly ^rb+down+++=partly
mantling ^nn+nom+++=mantling
the ^ati++++=the
hull ^nn++++=hull,
, ^zz++++=EXTRAWORD
through ^in++++=through
whichthe ^nn+++??+=whichthe
far ^rb+pl+++=far
matin ^nn+++??+=matin
light ^jj++++=light
from ^in++++=from
her ^pp$+pp3+++=her
cabin ^nn++++=cabin
streamed ^vbd+++xvbn+=streamed
equivocally ^rb++++=equivocally
enough ^dt++++=enough;
; ^zz++++=EXTRAWORD
muchlike ^jj++++=muchlike
the ^ati++++=the
sun ^nn++++=sun--by
-- ^--+clp+++=EXTRAWORD
by ^in++++=EXTRAWORD
this ^dt+dem+++=this
time ^nn++++=time
hemisphered ^vbd+++xvbn+=hemisphered
on ^in++++=on
the ^ati++++=the
rim ^nn++++=rim
of ^in++++=of
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
and,apparently ^jj++++=and,apparently,
, ^zz++++=EXTRAWORD
in ^in++++=in
company ^nn++++=company
with ^in++++=with
the ^ati++++=the
strange ^jj+atrb+++=strange
ship ^nn++++=ship
entering ^vwbg+++xvbg+=entering
the ^ati++++=the
harbor ^nn++++=harbor--which,wimpled
-- ^--+clp+++=EXTRAWORD
which,wimpled ^xvbn+++xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
low ^jj++++=low,
, ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=creeping
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
showed ^j+++xvbn+=showed
not ^xnot++not++=not
unlike ^in++++=unlike
a ^at++++=a
Limaintriguante ^np++++=Limaintriguante's
's ^$++++=EXTRAWORD
one ^cd1++++=one
sinister ^jj+atrb+++=sinister
eye ^nn++++=eye
peering ^vwbg+++xvbg+=peering
across ^in+pl+++=across
the ^ati++++=the
Plaza ^np++++=Plaza
from ^in++++=from
the ^ati++++=the
Indianloop ^np+++??+=Indianloop-hole
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
of ^in++++=of
her ^pp$+pp3+++=her
dusk ^nn++++=dusk
saya ^nn+++??+=saya-y-manta.
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
manta ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
but ^cc++++=but
a ^at++++=a
deception ^nn+nom+++=deception
of ^in++++=of
the ^ati++++=the
vapors ^nns++++=vapors,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
the ^ati++++=the
longer ^rbr++++=longer
thestranger ^jjr++++=thestranger
was ^vbd+bedz+aux++=was
watched ^vpsv++agls+xvbnx+=watched
the ^ati++++=the
more ^rbr++++=more
singular ^jj++++=singular
appeared ^jj+++xvbn+=appeared
her ^pp$+pp3+++=her
manoeuvres ^nns++++=manoeuvres.
. ^zz++++=EXTRAWORD
Erelong ^np+++??+=Erelong
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
hard ^jj++++=hard
to ^to+jcmp+++=to
decide ^vbi+vprv+++=decide
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
come ^vbi++++=come
in ^in++++=in
or ^cc++++=or
no ^at++++=no--whatshe
-- ^--+clp+++=EXTRAWORD
whatshe ^nn+++??+=EXTRAWORD
wanted ^vbd+++xvbn+=wanted,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
breezed ^vprf+++xvbnx+=breezed
up ^rp++++=up
alittle ^nn+++??+=alittle
during ^in++++=during
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
extremely ^rb+amp+++=extremely
light ^jj++++=light
and ^cc+phrs+++=and
baffling ^jj++++=baffling,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
themore ^vb+++??+=themore
increased ^vbd+++xvbn+=increased
the ^ati++++=the
apparent ^jj+atrb+++=apparent
uncertainty ^nn++++=uncertainty
of ^in++++=of
her ^pp$+pp3+++=her
movements ^nns+nom+++=movements.
. ^zz++++=EXTRAWORD
Surmising ^np+++??+=Surmising,
, ^zz++++=EXTRAWORD
atlast ^nn+++??+=atlast,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
a ^at++++=a
ship ^nn++++=ship
in ^in++++=in
distress ^nns+nom+++=distress,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
ordered ^vbd+vsua++xvbn+=ordered
hiswhale ^nn+++??+=hiswhale-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
dropped ^vpsv++agls+xvbnx+=dropped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
much ^ap++++=much
to ^in++++=to
the ^ati++++=the
wary ^jj+atrb+++=wary
opposition ^nn+nom+++=opposition
of ^in++++=of
his ^pp$+pp3+++=his
mate,prepared ^jj+++xvbn+=mate,prepared
to ^in++++=to
board ^nn++++=board
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
least ^rbt++++=least,
, ^zz++++=EXTRAWORD
pilot ^nn++++=pilot
her ^pp$+pp3+++=her
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
nightprevious ^jj++++=nightprevious,
, ^zz++++=EXTRAWORD
a ^at++++=a
fishing ^jj+++xvbg+=fishing-party
- ^zz++++=EXTRAWORD
party ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
seamen ^nns++++=seamen
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
a ^at++++=a
long ^jj+atrb+++=long
distance ^nn+nom+++=distance
to ^to++++=to
somedetached ^vbi++++=somedetached
rocks ^nns++++=rocks
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
from ^in++++=from
the ^ati++++=the
sealer ^jjr++++=sealer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
two ^cd++++=two
beforedaybreak ^nn+++??+=beforedaybreak,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
met ^vprf+++xvbn+=met
with ^in+ppvb+++=with
no ^at++++=no
small ^jj+atrb+++=small
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
Presuming ^np+++??+=Presuming
thatthe ^nn+++??+=thatthe
stranger ^jjr++++=stranger
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
long ^rb++++=long
off ^in+pl+++=off
soundings ^nns++++=soundings,
, ^zz++++=EXTRAWORD
the ^ati++++=the
good ^jj+atrb+++=good
captain ^npt++++=captain
putseveral ^jj+atrb+++=putseveral
baskets ^nns++++=baskets
of ^in++++=of
the ^ati++++=the
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
for ^in++++=for
presents ^nns++++=presents,
, ^zz++++=EXTRAWORD
into ^in++++=into
his ^pp$+pp3+++=his
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
pulledaway ^vb+++??+=pulledaway.
. ^zz++++=EXTRAWORD
From ^in++++=From
her ^pp$+pp3+++=her
continuing ^vbg+++xvbg+=continuing
too ^ql++++=too
near ^in+pl+++=near
the ^ati++++=the
sunken ^jj+atrb+++=sunken
reef ^nn++++=reef,
, ^zz++++=EXTRAWORD
deeming ^jj+++xvbg+=deeming
her ^pp3o+pp3+++=her
indanger ^jjr++++=indanger,
, ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
to ^in++++=to
his ^pp$+pp3+++=his
men ^nns++++=men,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
all ^abn++++=all
haste ^nn++++=haste
to ^to++++=to
apprise ^vbi++++=apprise
those ^dt+dem+++=those
on ^in++++=on
boardof ^nn+++??+=boardof
their ^pp$+pp3+++=their
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
some ^dti++++=some
time ^nn++++=time
ere ^nn+++??+=ere
the ^ati++++=the
boat ^nn++++=boat
came ^vbd+++xvbn+=came
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
lightthough ^nn+++??+=lightthough
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
shifted ^vprf+++xvbn+=shifted,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
headed ^vprf+++xvbnx+=headed
the ^ati++++=the
vessel ^nn++++=vessel
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
as ^rb++++=as
well ^rb++++=well
aspartly ^jj++++=aspartly
broken ^jj+++xvbn+=broken
the ^ati++++=the
vapors ^nns++++=vapors
from ^in++++=from
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
gaining ^xvbg+++xvbg+=gaining
a ^at++++=a
less ^rbr++++=less
remote ^jj+atrb+++=remote
view ^nn++++=view,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
made ^vprf+++xvbn+=made
signally ^rb++++=signally
visible ^jj+atrb+++=visible
onthe ^nn+++??+=onthe
verge ^nn++++=verge
of ^in++++=of
the ^ati++++=the
leaden ^jj+++xvbn+=leaden-hued
- ^zz++++=EXTRAWORD
hued ^jj+atrb++xvbn+=EXTRAWORD
swells ^nns++++=swells,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
shreds ^nns+++??+=shreds
of ^in++++=of
fog ^nn++++=fog
here ^rn+pl+++=here
andthere ^nn+++??+=andthere
raggedly ^rb++++=raggedly
furring ^jj+++xvbg+=furring
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
appeared ^j+++xvbn+=appeared
like ^in++++=like
a ^at++++=a
white ^jj++++=white-washed
- ^zz++++=EXTRAWORD
washed ^vbd+++xvbn+=EXTRAWORD
monastery ^nn+nom+++=monastery
aftera ^nn+++??+=aftera
thunder ^nn++++=thunder-storm,
- ^zz++++=EXTRAWORD
storm ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seen ^j+++xvbn+=seen
perched ^jj+++xvbn+=perched
upon ^in++++=upon
some ^dti++++=some
dun ^jj+atrb+++=dun
cliff ^nn++++=cliff
among ^in++++=among
the ^ati++++=the
Pyrenees.but ^np+++??+=Pyrenees.But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
purely ^rb++++=purely
fanciful ^jj+atrb+++=fanciful
resemblance ^nn+nom+++=resemblance
which ^whp+rel+obj++=which
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
moment,almost ^nn++++=moment,almost
led ^vbd+++xvbn+=led
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
to ^to++++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
ship ^nn++++=ship-load
- ^zz++++=EXTRAWORD
load ^nn++++=EXTRAWORD
ofmonks ^nns+++??+=ofmonks
was ^vbd+bedz+vrb++=was
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Peering ^vbg+++xvbg+=Peering
over ^in++++=over
the ^ati++++=the
bulwarks ^nns+++??+=bulwarks
were ^vbd+bed+aux++=were
what ^wdt+who+++=what
really ^rb+emph+++=really
seemed,in ^vb+seem++??+=seemed,in
the ^ati++++=the
hazy ^jj+atrb+++=hazy
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
throngs ^nns++++=throngs
of ^in++++=of
dark ^jj+atrb+++=dark
cowls ^nns+++??+=cowls;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
fitfully ^jj+atrb+++=fitfully
revealedthrough ^nn+++??+=revealedthrough
the ^ati++++=the
open ^jj+atrb+++=open
port ^nn++++=port-holes,
- ^zz++++=EXTRAWORD
holes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
other ^ap++++=other
dark ^jj+atrb+++=dark
moving ^jj+atrb++xvbg+=moving
figures ^nns++++=figures
were ^vbd+bed+aux++=were
dimlydescried ^vpsv++agls+xvbnx+=dimlydescried,
, ^zz++++=EXTRAWORD
as ^in++++=as
of ^in"++++=of
Black ^np++++=Black
Friars ^np++++=Friars
pacing ^vwbg+++xvbg+=pacing
the ^ati++++=the
cloisters ^nns+nom+++=cloisters.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
a ^at++++=a
still ^rb+atrb+++=still
nigher ^jjr+atrb+++=nigher
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
appearance ^nn+nom+++=appearance
was ^vbd+bedz+aux++=was
modified ^vpsv++agls+xvbnx+=modified,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
truecharacter ^nn++++=truecharacter
of ^in++++=of
the ^ati++++=the
vessel ^nn++++=vessel
was ^vbd+bedz+vrb++=was
plain ^jj+pred+++=plain--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
Spanish ^jj+atrb+++=Spanish
merchantman ^nn+nom+++=merchantman
of ^in++++=of
the ^ati++++=the
