Chapter ^nn++++=Chapter
wood ^nn++++=wood
alcohol ^nn++++=alcohol,
, ^zz++++=EXTRAWORD
Ch ^nn++++=CH
3 ^zz++++=3
Oh ^uh++++=OH.
. ^zz++++=EXTRAWORD
Ermengarde ^np+++??+=Ermengarde
confessed ^vbd+vpub++xvbn+=confessed
to ^to++++=to
sixteen ^cd++++=sixteen
summers ^nns+nom+++=summers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
branded ^jj++++=branded
as ^in++++=as
mendacious ^jj++++=mendacious
all ^abn++++=all
reports ^vb++++=reports
to ^to+vcmp+++=to
the ^ati++++=the
effect ^nn++++=effect
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
large ^jj+atrb+++=large
black ^jj+atrb+++=black
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
a ^at++++=a
prominent ^jj+atrb+++=prominent
Roman ^jj+atrb+++=Roman
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
light ^jj+atrb+++=light
hair ^nn++++=hair
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
never ^rb++++=never
dark ^jj+pred+++=dark
at ^rb++++=at
the ^ati++++=the
roots ^nns++++=roots
except ^in++++=except
when ^wrb+who+++=when
the ^ati++++=the
local ^jj+atrb+++=local
drug ^nn++++=drug
store ^nn++++=store
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short
on ^in++++=on
supplies ^nns++++=supplies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
but ^cc+phrs+++=but
inexpensive ^jj+atrb+++=inexpensive
complexion ^nn++++=complexion.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
about ^in++++=about
5 ^zz++++=5
ft ^nnu++++=ft
5.33...intall ^cd++++=5.33...intall,
, ^zz++++=EXTRAWORD
weighed ^j+++xvbn+=weighed
115.47 ^cd++++=115.47
lbs ^nnus++++=lbs.
. ^zz++++=EXTRAWORD
on ^rp++++=on
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
copy ^nn++++=copy
scales ^nns++++=scales
also ^rb++++=also
off ^rp+pl+++=off
them ^pp3o+pp3+++=them
and ^cc++++=and
was ^vbd+bedz+aux++=was
adjudged ^vpsv++agls+xvbnx+=adjudged
most ^ql+emph+++=most
lovely ^jj++++=lovely
by ^in++++=by
all ^abn++++=all
the ^ati++++=the
village ^nn+nom+++=village
swains ^nns+++??+=swains
who ^whp+rel+subj++=who
admired ^vbd+++xvbn+=admired
her ^pp$+pp3+++=her
father ^nn++++=father's
's ^$++++=EXTRAWORD
farm ^nn++++=farm
and ^cc++++=and
liked ^vbd+++xvbn+=liked
his ^pp$+pp3+++=his
liquid ^jj+atrb+++=liquid
crops ^nns++++=crops.
. ^zz++++=EXTRAWORD
Ermengarde ^np++++=Ermengarde's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
sought ^vpsv++agls+xvbnx+=sought
in ^in++++=in
matrimony ^nn++++=matrimony
by ^in++++=by
two ^cd++++=two
ardent ^jj+atrb+++=ardent
lovers ^nns++++=lovers.
. ^zz++++=EXTRAWORD
' ^zz++++='Squire
squire ^nn++++=EXTRAWORD
Hardman ^np+++??+=Hardman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
a ^at++++=a
mortgage ^nn+nom+++=mortgage
on ^in++++=on
the ^ati++++=the
old ^jj+atrb+++=old
home ^nr++++=home,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
rich ^np++++=rich
and ^cc++++=and
elderly ^jj++++=elderly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark
and ^cc++++=and
cruelly ^rb++++=cruelly
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
rode ^vbd+++xvbn+=rode
horseback ^nn++++=horseback
and ^cc++++=and
carried ^vbd+++xvbn+=carried
a ^at++++=a
riding ^jj+++xvbg+=riding-crop.
- ^zz++++=EXTRAWORD
crop ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Long ^rb++++=Long
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
sought ^vbd+++xvbnx+=sought
the ^ati++++=the
radiant ^jj+atrb+++=radiant
Ermengarde ^np+++??+=Ermengarde,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
his ^pp$+pp3+++=his
ardour ^nn++++=ardour
was ^vbd+bedz+aux++=was
fanned ^vpsv++agls+xvbnx+=fanned
to ^in++++=to
fever ^nn++++=fever
heat ^nn++++=heat
by ^in++++=by
a ^at++++=a
secret ^nn++++=secret
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
alone ^rb++++=alone
for ^in++++=for
upon ^in++++=upon
the ^ati++++=the
humble ^jj+atrb+++=humble
acres ^nns++++=acres
of ^in++++=of
Farmer ^nn++++=Farmer
Stubbs ^np+++??+=Stubbs
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
discovered ^vprf+++xvbnx+=discovered
a ^at++++=a
vein ^nn++++=vein
of ^in++++=of
rich ^jj+atrb+++=rich
Gold ^nn++++=GOLD!!
! ^zz++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++="Aha!"
aha ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
win ^vb++++=win
the ^ati++++=the
maiden ^jjb+atrb+++=maiden
ere ^nn+++??+=ere
her ^pp3o+pp3+++=her
parent ^nn++++=parent
knows ^vbz+vprv+++=knows
of ^in++++=of
his ^pp$+pp3+++=his
unsuspected ^jj+atrb+++=unsuspected
wealth ^nn++++=wealth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
join ^nn++++=join
to ^in++++=to
my ^pp$+pp1+++=my
fortune ^nn++++=fortune
a ^at++++=a
greater ^jjr+atrb+++=greater
fortune ^nn++++=fortune
still ^rb++++=still!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
so ^ql++++=so
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
call ^vbi++++=call
twice ^rb++++=twice
a ^at++++=a
week ^nn++++=week
instead ^rb+cnj+++=instead
of ^in++++=of
once ^rb+tm+++=once
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
alas ^uh++++=alas
for ^in++++=for
the ^ati++++=the
sinister ^jj+atrb+++=sinister
designs ^nns++++=designs
of ^in++++=of
a ^at++++=a
villain ^nn++++=villain
' ^zz++++='Squire
squire ^nn++++=EXTRAWORD
Hardman ^np+++??+=Hardman
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
only ^ap+down+++=only
suitor ^nn++++=suitor
for ^in++++=for
the ^ati++++=the
fair ^jj+atrb+++=fair
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Close ^jj++++=Close
by ^in++++=by
the ^ati++++=the
village ^nn+nom+++=village
dwelt ^vbd+++xvbn+=dwelt
another ^dt++++=another
the ^ati++++=the
handsome ^jj+atrb+++=handsome
Jack ^np++++=Jack
Manly ^jj++++=Manly,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
curly ^jj+atrb+++=curly
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
the ^ati++++=the
sweet ^jj+atrb+++=sweet
Ermengarde ^np++++=Ermengarde's
's ^$++++=EXTRAWORD
affection ^nn+nom+++=affection
when ^wrb+who+++=when
both ^abx++++=both
were ^vbd+bed+aux++=were
toddling ^nvbg+++xvbg+=toddling
youngsters ^nns+nom+++=youngsters
at ^in++++=at
the ^ati++++=the
village ^nn+nom+++=village
school ^nn++++=school.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
bashful ^jj++++=bashful
to ^to++++=to
declare ^vbi+vpub+++=declare
his ^pp$+pp3+++=his
passion ^nn++++=passion,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^cd1++++=one
day ^nn++++=day
while ^cs+sub+++=while
strolling ^jj++++=strolling
along ^in++++=along
a ^at++++=a
shady ^jj+atrb+++=shady
lane ^nn++++=lane
by ^in++++=by
the ^ati++++=the
old ^jj+atrb+++=old
mill ^nn++++=mill
with ^in++++=with
Ermengarde ^np+++??+=Ermengarde,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
courage ^nn+nom+++=courage
to ^to++++=to
utter ^vbi++++=utter
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
within ^in++++=within
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
" ^zz++++="O
o ^zz++++=EXTRAWORD
light ^jj++++=light
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
soul ^nn++++=soul
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
overburdened ^jj+++xvbn+=overburdened
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
must ^md+nec+++=must
speak ^vb++++=speak!
! ^zz++++=EXTRAWORD
Ermengarde ^np+++??+=Ermengarde,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
ideal ^jj++++=ideal
[ ^zz++++=[he
he ^pp3a+pp3+++=EXTRAWORD
pronounced ^vbd+++xvbnx+=pronounced
it ^pp3+it+++=it
i ^pp1a+pp1+++=i-deel!],
- ^zz++++=EXTRAWORD
deel! ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
life ^nn++++=life
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
an ^at++++=an
empty ^jj+atrb+++=empty
thing ^nn++++=thing
without ^in++++=without
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Beloved ^jj++++=Beloved
of ^in++++=of
my ^pp$+pp1+++=my
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
behold ^vb++++=behold
a ^at++++=a
suppliant ^nn+nom+++=suppliant
kneeling ^vwbg+++xvbg+=kneeling
in ^in++++=in
the ^ati++++=the
dust ^nn++++=dust
before ^in++++=before
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
Ermengarde ^np+++??+=Ermengarde
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
Ermengarde ^np+++??+=Ermengarde,
, ^zz++++=EXTRAWORD
raise ^vb++++=raise
me ^pp1o+pp1+++=me
to ^in++++=to
an ^at++++=an
heaven ^nn++++=heaven
of ^in++++=of
joy ^nn++++=joy
and ^cc++++=and
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
will ^md+prd+++=will
some ^dti++++=some
day ^nn++++=day
be ^vb+be+vrb++=be
mine ^pp$$++++=mine!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
poor ^jj+pred+++=poor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
have ^vb+hv+vrb++=have
I ^pp1a+pp1+++=I
not ^xnot++not++=not
youth ^nn++++=youth
and ^cc++++=and
strength ^nn++++=strength
to ^to++++=to
fight ^vbi++++=fight
my ^pp$+pp1+++=my
way ^nn++++=way
to ^in++++=to
fame ^nn++++=fame?
? ^zz++++=EXTRAWORD
This ^dt+dem+++=This
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
only ^rb+down+++=only
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
Ethyl ^np+++??+=Ethyl
pardon ^nn++++=pardon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Ermengarde ^np+++??+=Ermengarde
my ^pp$+pp1+++=my
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
most ^ap+emph+++=most
precious ^jj+atrb+++=precious
' ^zz++++='
but ^cc++++=but
here ^rn+pl+++=here
he ^pp3a+pp3+++=he
paused ^vbd+++xvbnx+=paused
to ^to++++=to
wipe ^vbi++++=wipe
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
mop ^vb++++=mop
his ^pp$+pp3+++=his
brow ^nn++++=brow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fair ^nn++++=fair
responded ^vbd+++xvbn+=responded:
: ^zz++++=EXTRAWORD
" ^zz++++="Jack
jack ^np++++=EXTRAWORD
my ^pp$+pp1+++=my
angel ^nn++++=angel
at ^rb++++=at
last ^rb"++++=last
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
unexpected ^jj++++=unexpected
and ^cc++++=and
quite ^rb++++=quite
unprecedented ^jj++++=unprecedented!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
dreamed ^vprf+++xvbnx+=dreamed
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
entertained ^vbd+++xvbn+=entertained
sentiments ^nns+nom+++=sentiments
of ^in++++=of
affection ^nn+nom+++=affection
in ^in++++=in
connexion ^nn++++=connexion
with ^in++++=with
one ^cd1++++=one
so ^rb+emph+++=so
lowly ^jj++++=lowly
as ^ql++++=as
Farmer ^np++++=Farmer
Stubbs ^np+++??+=Stubbs'
' ^zz++++=EXTRAWORD
child ^nn++++=child
for ^in++++=for
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
still ^rb++++=still
but ^cc++++=but
a ^at++++=a
child ^nn++++=child!
! ^zz++++=EXTRAWORD
Such ^abl++++=Such
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
natural ^jj+atrb+++=natural
nobility ^nn+nom+++=nobility
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
feared ^vprf++tht0+xvbnx+=feared
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean
thought ^vbd+++xvbn+=thought
you ^pp2+pp2+++=you
would ^md+prd+++=would
be ^vb+be+vrb++=be
blind ^jj+pred+++=blind
to ^in++++=to
such ^abl++++=such
slight ^jj+atrb+++=slight
charms ^nns++++=charms
as ^ql++++=as
I ^pp1a+pp1+++=I
possess ^nns+nom+++=possess,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
would ^md+prd+++=would
seek ^vb++++=seek
your ^pp$+pp2+++=your
fortune ^nn++++=fortune
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
city ^nn++++=city;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
meeting ^nvbg+++xvbg+=meeting
and ^cc++++=and
wedding ^nn++++=wedding
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
more ^rbr++++=more
comely ^jj++++=comely
damsels ^vbz+++??+=damsels
whose ^whp+who+++=whose
splendour ^nn++++=splendour
we ^pp1a+pp1+++=we
observe ^vb+vprv+++=observe
in ^in++++=in
fashion ^nn++++=fashion
books ^nns++++=books.
. ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
I ^pp1a+pp1+++=I
whom ^whp+wpor+++=whom
you ^pp2+pp2+++=you
adore ^vb++++=adore,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
waive ^vb++++=waive
all ^rb++++=all
needless ^jj+atrb+++=needless
circumlocution ^nn+nom+++=circumlocution.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
my ^pp$+pp1+++=my
darling ^nn+nom+++=darling
my ^pp$+pp1+++=my
heart ^nn++++=heart
has ^vbz+hvz+aux++=has
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
susceptible ^jj++++=susceptible
to ^in++++=to
your ^pp$+pp2+++=your
manly ^jj+atrb+++=manly
graces ^nns++++=graces.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cherish ^vb++++=cherish
an ^at++++=an
affection ^nn+nom+++=affection
for ^in++++=for
thee ^pp2+pp2+++=thee
consider ^nn+nom+++=consider
me ^pp1o+pp1+++=me
thine ^pp$+pp2+++=thine
own ^ap++++=own
and ^cc++++=and
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
buy ^vbi++++=buy
the ^ati++++=the
ring ^nn++++=ring
at ^rb++++=at
Perkins ^np++++=Perkins'
' ^zz++++=EXTRAWORD
hardware ^nn++++=hardware
store ^nn++++=store
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
such ^abl++++=such
nice ^jj+atrb+++=nice
imitation ^nn+nom+++=imitation
diamonds ^nns++++=diamonds
in ^in++++=in
the ^ati++++=the
window ^nn++++=window."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ermengarde,
ermengarde ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
love ^nn++++=love!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Jack
jack ^np++++=EXTRAWORD
my ^pp$+pp1+++=my
precious ^jj++++=precious!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
darling ^nn+nom+++=darling!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
own ^ap++++=own!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
Gawd ^np+++??+=Gawd!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Chapter ^nn++++=Chapter
Ii ^np+++??+=II
But ^cc++++=But
these ^dt+dem+++=these
tender ^jj+atrb+++=tender
passages ^nns+nom+++=passages,
, ^zz++++=EXTRAWORD
sacred ^jj++++=sacred
though ^cs+sub+++=though
their ^pp$+pp3+++=their
fervour ^nn++++=fervour,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
pass ^vb++++=pass
unobserved ^jj++++=unobserved
by ^in++++=by
profane ^jj+atrb+++=profane
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
for ^in++++=for
crouched ^nn++++=crouched
in ^in++++=in
the ^ati++++=the
bushes ^nns++++=bushes
and ^cc++++=and
gritting ^nn++++=gritting
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
was ^vbd+bedz+vrb++=was
the ^ati++++=the
dastardly ^jj++++=dastardly
' ^zz++++='Squire
squire ^nn++++=EXTRAWORD
Hardman ^np+++??+=Hardman!
! ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
lovers ^nns++++=lovers
had ^vb+hv+aux++=had
finally ^rb++splt++=finally
strolled ^vprf+++xvbnx+=strolled
away ^rp+pl+++=away
he ^pp3a+pp3+++=he
leapt ^vbd+++xvbnx+=leapt
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
viciously ^rb++++=viciously
twirling ^vbg+nom++xvbg+=twirling
his ^pp$+pp3+++=his
moustache ^nn++++=moustache
and ^cc++++=and
riding ^nvbg+++xvbg+=riding-crop,
- ^zz++++=EXTRAWORD
crop ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kicking ^vbg+++xvbg+=kicking
an ^at++++=an
unquestionably ^rb++++=unquestionably
innocent ^jj+atrb+++=innocent
cat ^nn++++=cat
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
also ^rb++++=also
out ^rp+pl+++=out
strolling ^jj++++=strolling.
. ^zz++++=EXTRAWORD
" ^zz++++="Curses!"
curses ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried
Hardman ^np+++??+=Hardman,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
cat ^nn++++=cat
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
foiled ^vpsv++agls+xvbnx+=foiled
in ^in++++=in
my ^pp$+pp1+++=my
plot ^nn++++=plot
to ^to+ncmp+++=to
get ^vbi++++=get
the ^ati++++=the
farm ^nn++++=farm
and ^cc++++=and
the ^ati++++=the
girl ^nn++++=girl!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Jack ^np++++=Jack
Manly ^jj++++=Manly
shall ^md+prd+++=shall
never ^rb++splt++=never
succeed ^vb++++=succeed!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
man ^nn++++=man
of ^in++++=of
power ^nn++++=power
and ^cc++++=and
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
see ^vb+vprv+++=see!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thereupon ^rb++++=Thereupon
he ^pp3a+pp3+++=he
repaired ^vbd+++xvbnx+=repaired
to ^in++++=to
the ^ati++++=the
humble ^jj+atrb+++=humble
Stubbs ^np+++??+=Stubbs'
' ^zz++++=EXTRAWORD
cottage ^nn+nom+++=cottage,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
fond ^jj+atrb+++=fond
father ^nn++++=father
in ^in++++=in
the ^ati++++=the
still ^rb++++=still-cellar
- ^zz++++=EXTRAWORD
cellar ^nn++++=EXTRAWORD
washing ^vwbg+++xvbg+=washing
bottles ^nns++++=bottles
under ^in++++=under
the ^ati++++=the
supervision ^nn++++=supervision
of ^in++++=of
the ^ati++++=the
gentle ^jj+atrb+++=gentle
wife ^nn++++=wife
and ^cc++++=and
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
Hannah ^np++++=Hannah
Stubbs ^np+++??+=Stubbs.
. ^zz++++=EXTRAWORD
Coming ^vbg+++xvbg+=Coming
directly ^rb++++=directly
to ^in++++=to
the ^ati++++=the
point ^nn++++=point,
, ^zz++++=EXTRAWORD
the ^ati++++=the
villain ^nn++++=villain
spoke ^vbd+++xvbn+=spoke:
: ^zz++++=EXTRAWORD
" ^zz++++="Farmer
farmer ^nn++++=EXTRAWORD
Stubbs ^np+++??+=Stubbs,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cherish ^vb++++=cherish
a ^at++++=a
tender ^jj+atrb+++=tender
affection ^nn+nom+++=affection
of ^in++++=of
long ^rb++++=long
standing ^vbg+++xvbg+=standing
for ^in+ppvb+++=for
your ^pp$+pp2+++=your
lovely ^jj+atrb+++=lovely
offspring ^nn++++=offspring,
, ^zz++++=EXTRAWORD
Ethyl ^np+++??+=Ethyl
Ermengarde ^np+++??+=Ermengarde.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
consumed ^vpsv++agls+xvbnx+=consumed
with ^in++++=with
love ^nn++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wish ^nn++++=wish
her ^pp3o+pp3+++=her
hand ^nn++++=hand
in ^in++++=in
matrimony ^nn++++=matrimony.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
a ^at++++=a
man ^nn++++=man
of ^in++++=of
few ^ap++++=few
words ^nns++++=words,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
descend ^vb++++=descend
to ^in++++=to
euphemism ^nn+nom+++=euphemism.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
the ^ati++++=the
girl ^nn++++=girl
or ^cc++++=or
I ^pp1a+pp1+++=I
will ^md+prd+++=will
foreclose ^vb+++??+=foreclose
the ^ati++++=the
mortgage ^nn+nom+++=mortgage
