( ^zz++++=(January
chemist ^nn+nom+++=chemist
with ^in++++=with
the ^ati++++=the
formamint ^jj+++xvbn+=formamint,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ammoniated ^jj+atrb++xvbn+=ammoniated
quinine ^nn+++??+=quinine,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eucalyptus ^nn++++=eucalyptus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^ap++++=little
tin ^nn++++=tin
steam ^nn++++=steam-inhaler.
- ^zz++++=EXTRAWORD
inhaler ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Meantime ^nn++++=Meantime,
, ^zz++++=EXTRAWORD
every ^at++++=every
bone ^nn++++=bone
in ^in++++=in
her ^pp$+pp3+++=her
body ^nn++++=body
ached ^vbd+++xvbn+=ached;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
head ^jjb++++=head
throbbed ^jj+++xvbn+=throbbed;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hot ^jj+atrb+++=hot,
, ^zz++++=EXTRAWORD
dry ^jj+atrb+++=dry
hands ^nns++++=hands
would ^md+prd+++=would
not ^xnot++not++=not
stay ^vb++++=stay
the ^ati++++=the
same ^ap++++=same
size ^nn++++=size
for ^in++++=for
a ^at++++=a
minute ^nn++++=minute
together ^nn+nom+++=together;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
body ^nn++++=body,
, ^zz++++=EXTRAWORD
tucked ^j+++xvbn+=tucked
into ^in++++=into
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
possible ^jj+atrb+++=possible
compass ^nn++++=compass,
, ^zz++++=EXTRAWORD
shrank ^j+++xvbn+=shrank
from ^in++++=from
the ^ati++++=the
chill ^nn++++=chill
of ^in++++=of
the ^ati++++=the
well ^rb++++=well-warmed
- ^zz++++=EXTRAWORD
warmed ^xvbn+++xvbn+=EXTRAWORD
sheets ^nns++++=sheets.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
a ^at++++=a
sudden ^jj++++=sudden
she ^pp3a+pp3+++=she
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
an ^at++++=an
imitation ^nn+nom+++=imitation-lace
- ^zz++++=EXTRAWORD
lace ^nn++++=EXTRAWORD
cover ^nn++++=cover
which ^whp+rel+subj++=which
should ^md+nec+++=should
have ^vb+hv+aux++=have
lain ^vprf+++xvbn+=lain
mathematically ^rb++++=mathematically
square ^jj++++=square
with ^in++++=with
the ^ati++++=the
imitation ^nn+nom+++=imitation-marble
- ^zz++++=EXTRAWORD
marble ^nn++++=EXTRAWORD
top ^jjb++++=top
of ^in++++=of
the ^ati++++=the
radiator ^nn++++=radiator
behind ^in+pl+++=behind
the ^ati++++=the
green ^jj+atrb+++=green
plush ^jj+atrb+++=plush
sofa ^nn++++=sofa
had ^vbd+hvd+aux++=had
slipped ^vprf+++xvbnx+=slipped
away ^rp+pl+++=away
so ^ql++++=so
that ^cs+sub+++=that
one ^cd1++++=one
corner ^npl++++=corner
hung ^vbd+++xvbn+=hung
over ^in++++=over
the ^ati++++=the
bronze ^jj++++=bronze-painted
- ^zz++++=EXTRAWORD
painted ^vprf+++xvbn+=EXTRAWORD
steam ^nn++++=steam
pipes ^nns++++=pipes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
recalled ^vbd+vprv++xvbnx+=recalled
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
must ^md+nec+++=must
have ^vb+hv+aux++=have
rested ^vprf+++xvbnx+=rested
her ^pp$+pp3+++=her
poor ^jj+atrb+++=poor
head ^nn++++=head
against ^in++++=against
the ^ati++++=the
radiator ^nn++++=radiator-top
- ^zz++++=EXTRAWORD
top ^jjb++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking
off ^rb+phrv+++=off
her ^pp$+pp3+++=her
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
get ^vbi++++=get
up ^rp++++=up
and ^cc++++=and
set ^vb+++xvbn+=set
the ^ati++++=the
thing ^nn++++=thing
straight ^rb+cnj+++=straight,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
radiator ^nn++++=radiator
at ^rb++++=at
once ^rb"+tm+++=once
receded ^jj+++xvbn+=receded
toward ^in++++=toward
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
true ^jj+atrb+++=true
horizons ^nns++++=horizons,
, ^zz++++=EXTRAWORD
slanted ^jj++++=slanted
diagonally ^rb+cnj+++=diagonally,
, ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
parallel ^jj++++=parallel
with ^in++++=with
the ^ati++++=the
dropped ^jj+atrb++xvbn+=dropped
lace ^nn++++=lace
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
cover ^nn++++=cover.
. ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
groaned ^vbd+++xvbn+=groaned
through ^in++++=through
sticky ^jj+atrb+++=sticky
lips ^nns++++=lips
and ^cc++++=and
lay ^jjb+++xvbn+=lay
still ^rb++++=still.
. ^zz++++=EXTRAWORD
' ^zz++++='Certainly,
certainly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
temperature ^nn++++=temperature,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='Certainly,
certainly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
grave ^jj+atrb+++=grave
temperature ^nn++++=temperature.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
warned ^vpsv++by+xvbnx+=warned
by ^in++++=by
that ^dt+dem+++=that
chill ^nn++++=chill
after ^in++++=after
dinner ^nn++++=dinner.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
resolved ^vbd+vsua++xvbnx+=resolved
to ^to+vcmp+++=to
shut ^vbi++++=shut
her ^pp$+pp3+++=her
hot ^jj++++=hot-lidded
- ^zz++++=EXTRAWORD
lidded ^jj+atrb+++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
opened ^vbd+++xvbn+=opened
them ^pp3o+pp3+++=them
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
to ^in++++=to
torture ^nn++++=torture
herself ^ppl+pp3+++=herself
with ^in++++=with
the ^ati++++=the
knowledge ^nn++++=knowledge
of ^in++++=of
that ^dt+dem+++=that
ungeometrical ^jj+atrb+++=ungeometrical
thing ^nn++++=thing
against ^in++++=against
the ^ati++++=the
far ^rb+pl+++=far
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
child ^nn++++=child--an
-- ^--+clp+++=EXTRAWORD
an ^at++++=EXTRAWORD
untidy ^jj++++=untidy,
, ^zz++++=EXTRAWORD
thin ^jj++++=thin-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
little ^ap++++=little
girl ^nn++++=girl
of ^in++++=of
about ^in++++=about
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
must ^md+nec+++=must
have ^vb+hv+aux++=have
strayed ^vprf+++xvbnx+=strayed
in ^in++++=in
from ^in++++=from
the ^ati++++=the
adjoining ^jj+atrb++xvbg+=adjoining
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
proved ^jj+++xvbn+=proved--Frau
-- ^--+clp+++=EXTRAWORD
frau ^nn+++??+=EXTRAWORD
Ebermann ^np+++??+=Ebermann
groaned ^vbd+++xvbn+=groaned
again ^rb+tm+++=again
at ^in++++=at
the ^ati++++=the
way ^nn++++=way
the ^ati++++=the
world ^nn++++=world
falls ^vbz++++=falls
to ^in++++=to
bits ^nns++++=bits
when ^wrb+who+++=when
one ^cd1++++=one
is ^vbz+bez+vrb++=is
sick ^jj+pred+++=sick--proved
-- ^--+clp+++=EXTRAWORD
proved ^jj+++xvbn+=EXTRAWORD
that ^tht+jcmp+++=that
Anna ^np++++=Anna
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
to ^to+vcmp+++=to
shut ^vbi++++=shut
the ^ati++++=the
outer ^jjb+atrb+++=outer
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
flat ^nn++++=flat
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
chemist ^nn+nom+++=chemist.
. ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
children ^nns++++=children
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
all ^abn++++=all
grown ^vwbn+++xvbn+=grown
up ^rp++++=up
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
child ^nn++++=child-lover
- ^zz++++=EXTRAWORD
lover ^nn++++=EXTRAWORD
in ^in++++=in
any ^dti++++=any
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
intruder ^nn+nom+++=intruder
might ^md+pos+++=might
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
serve ^vbi++++=serve
her ^pp$+pp3+++=her
scheme ^nn++++=scheme
of ^in++++=of
things ^nns++++=things.
. ^zz++++=EXTRAWORD
' ^zz++++='Make--put,'
make ^vb++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
put ^j+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
muttered ^vbd+++xvbnx+=muttered
thickly ^rb+cnj+++=thickly,
, ^zz++++=EXTRAWORD
' ^zz++++='that
that ^dt+dem+++=EXTRAWORD
white ^jj+atrb+++=white
thing ^nn++++=thing
straight ^jj++++=straight
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
that ^dt+dem+++=that
yellow ^jj+atrb+++=yellow
thing ^nn++++=thing.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
paid ^vbd+++xvbn+=paid
no ^at++++=no
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
moved ^vpsv++agls+xvbn+=moved
about ^rb+phrv+++=about
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
investigating ^vbg+++xvbg+=investigating
everything ^pn++++=everything
that ^dt+pdem+++=that
came ^vbd+++xvbn+=came
in ^in++++=in
her ^pp$+pp3+++=her
way ^nn++++=way--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
yellow ^nn++++=yellow
cut ^vbd+++xvbn+=cut-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
handles ^nns++++=handles
of ^in++++=of
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stamped ^jj+atrb++xvbn+=stamped
bronze ^jj+atrb+++=bronze
hook ^nn++++=hook
to ^to++++=to
hold ^vbi+vprv+++=hold
back ^jjb++++=back
the ^ati++++=the
heavy ^jj+atrb+++=heavy
puce ^nn+++??+=puce
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mauve ^jj+atrb+++=mauve
enamel ^nn++++=enamel,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
Art ^nn++++=Art
finger ^nn++++=finger-plates
- ^zz++++=EXTRAWORD
plates ^nns++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
watched ^vbd+++xvbn+=watched
indignantly ^rb++++=indignantly.
. ^zz++++=EXTRAWORD
' ^zz++++='Aie!
aie ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
bad ^jj+pred+++=bad
and ^cc+phrs+++=and
rude ^jj++++=rude.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
away ^rp+pl+++=away!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
hurt ^vbd+++xvbn+=hurt
her ^pp3o+pp3+++=her
to ^to++++=to
raise ^vbi++++=raise
her ^pp$+pp3+++=her
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away
by ^in++++=by
the ^ati++++=the
road ^nn++++=road
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
passed ^vbd+++xvbn+=passed
behind ^in+pl+++=behind
the ^ati++++=the
bed ^nn++++=bed-foot,
- ^zz++++=EXTRAWORD
foot ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
' ^zz++++='Shut
shut ^vbd+++xvbn+=EXTRAWORD
the ^ati++++=the
door ^nn++++=door
as ^ql++++=as
you ^pp2+pp2+++=you
go ^vb++++=go.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
speak ^vb++++=speak
to ^in++++=to
Anna ^np++++=Anna,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but--first,
-- ^--+clp+++=EXTRAWORD
first ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
that ^dt+dem+++=that
white ^jj+atrb+++=white
thing ^nn++++=thing
straight ^rb++++=straight.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
closed ^vbd+++xvbnx+=closed
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
in ^in++++=in
misery ^nn++++=misery
of ^in++++=of
body ^nn++++=body
and ^cc++++=and
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outer ^jjb+atrb+++=outer
door ^nn++++=door
clicked ^vbd+++xvbn+=clicked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anna ^np++++=Anna
entered ^vbd+++xvbn+=entered,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
penitent ^nn++++=penitent
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
stayed ^vprf+++xvbnx+=stayed
so ^ql++++=so
long ^rb++++=long
at ^rb++++=at
the ^ati++++=the
chemist ^nn+nom+++=chemist's.
's. ^nn+++??+=EXTRAWORD
But ^cc++++=But
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
difficult ^jj++++=difficult
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
the ^ati++++=the
proper ^jj+atrb+++=proper
type ^nn++++=type
of ^in++++=of
inhaler ^jjr++++=inhaler,
, ^zz++++=EXTRAWORD
and- ^nn+++??+=and-'Where
'where ^nn+++??+=EXTRAWORD
did ^vbd+dod+vrb++=did
the ^ati++++=the
child ^nn++++=child
go ^vb++++=go?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
moaned ^vbd+++xvbn+=moaned
Frau ^np+++??+=Frau
Ebermann-- ^np+++??+=Ebermann--'the
'the ^vbd+++xvbn+0=EXTRAWORD
child ^nn++++=child
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
here ^rn+pl+++=here?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
child ^nn++++=child,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
startled ^vbd+++xvbn+=startled
Anna ^np++++=Anna.
. ^zz++++=EXTRAWORD
' ^zz++++='How
how ^wrb+who+whq++=EXTRAWORD
should ^md+nec+++=should
any ^dti++++=any
child ^nn++++=child
come ^vb++++=come
in ^in++++=in
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
shut ^vbd+++xvbnx+=shut
the ^ati++++=the
door ^nn++++=door
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
go ^vb++++=go
out ^rp+pl+++=out?
? ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
keys ^nns++++=keys
of ^in++++=of
the ^ati++++=the
flats ^nns++++=flats
are ^vb+ber+vrb++=are
different ^jj+pred+++=different.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
forgot ^vbd+vprv++xvbn+=forgot
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
back ^jjb++++=back
is ^vbz+bez+aux++=is
aching ^vbg+++xvbgx+=aching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
up ^rp++++=up
my ^pp$+pp1+++=my
legs ^nns++++=legs
also ^rb++++=also.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
knows ^vbz+vprv+++=knows
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
may ^md+pos+++=may
have ^vb+hv+aux++=have
fingered ^vprf+++xvbnx+=fingered
and ^cc++++=and
upset ^nn+++xvbn+=upset?
? ^zz++++=EXTRAWORD
Look ^vb++++=Look
and ^cc+phrs+++=and
see ^vb+vprv+++=see.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Nothing
nothing ^pn++++=EXTRAWORD
is ^vbz+bez+aux++=is
fingered ^vpsv++agls+xvbnx+=fingered,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
is ^vbz+bez+aux++=is
upset ^vpsv++agls+xvbnx+=upset,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Anna ^np++++=Anna
replied ^vbd+vpub++xvbn+=replied,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
the ^ati++++=the
inhaler ^nn++++=inhaler
from ^in++++=from
its ^pp$+it+++=its
paper ^nn++++=paper
box ^nn++++=box.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put--put
-- ^--+clp+++=EXTRAWORD
put ^j+++xvbn+=EXTRAWORD
that ^dt+dem+++=that
white ^jj+atrb+++=white
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
open ^jj+atrb+++=open
edge ^nn++++=edge--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
lace ^nn++++=lace,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean--quite
-- ^--+clp+++=EXTRAWORD
quite ^rb++++=EXTRAWORD
straight ^jj++++=straight
on ^in++++=on
that ^dt+pdem+++=that--'
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
pointed ^vbd+++xvbnx+=pointed.
. ^zz++++=EXTRAWORD
Anna ^np++++=Anna,
, ^zz++++=EXTRAWORD
accustomed ^j+++xvbn+=accustomed
to ^in++++=to
her ^pp$+pp3+++=her
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
understood ^vpbn+vprv++xvbn+=understood
and ^cc+phrs+++=and
went ^xvbn+++xvbn+=went
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
' ^zz++++='Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
quite ^rb++++=quite
straight ^jj++++=straight?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
demanded ^vbd+vsua++xvbn+=demanded.
. ^zz++++=EXTRAWORD
' ^zz++++='Perfectly,'
perfectly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anna ^np++++=Anna.
. ^zz++++=EXTRAWORD
' ^zz++++='In
in ^in++++=EXTRAWORD
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
very ^ql+amp+++=very
centre ^jjb++++=centre
of ^in++++=of
the ^ati++++=the
radiator ^nn++++=radiator.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Anna ^np++++=Anna
measured ^vbd+++xvbn+=measured
the ^ati++++=the
equal ^jj+atrb+++=equal
margins ^nns++++=margins
with ^in++++=with
her ^pp$+pp3+++=her
knuckle ^nn+++??+=knuckle,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
to ^to+vcmp+++=to
do ^vbi++++=do
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
first ^rb++++=first
took ^vbd+++xvbn+=took
service ^nn++++=service.
. ^zz++++=EXTRAWORD
' ^zz++++='And
and ^cc++++=EXTRAWORD
my ^pp$+pp1+++=my
tortoise ^vb++++=tortoise-shell
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
hair ^nn++++=hair
brushes ^nns++++=brushes?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
could ^md+pos+++=could
not ^xnot++not++=not
command ^nn++++=command
her ^pp3o+pp3+++=her
dressing ^nvbg+++xvbg+=dressing-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
from ^in++++=from
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
lay ^vbd+++xvbnx+=lay.
. ^zz++++=EXTRAWORD
' ^zz++++='Perfectly
perfectly ^rb+amp+++=EXTRAWORD
straight ^rb+cnj+++=straight,
, ^zz++++=EXTRAWORD
side ^nn++++=side
by ^in++++=by
side ^nn++++=side
in ^in++++=in
the ^ati++++=the
big ^jj+atrb+++=big
tray ^nn++++=tray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
comb ^nn++++=comb
laid ^vbd+++xvbn+=laid
across ^rp+pl+++=across
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
watch ^nn++++=watch
also ^rb++++=also
in ^in++++=in
the ^ati++++=the
coralline ^nn+++??+=coralline
watch ^vb++++=watch-holder.
- ^zz++++=EXTRAWORD
holder ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything'--she
'--she ^vb+++??+=EXTRAWORD
moved ^vbd+++xvbn+=moved
round ^rb++++=round
the ^ati++++=the
room ^nn++++=room
to ^to++++=to
make ^vbi++++=make
sure-- ^nn+++??+=sure--'everything
'everything ^vwbg+++xvbg+0=EXTRAWORD
is ^vbz+bez+vrb++=is
as ^ql++++=as
you ^pp2+pp2+++=you
