[ ^zz++++=[This
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
met ^vbd+++xvbnx+=met
there ^rn+pl+++=there
every ^at++++=every
day ^nn++++=day
and ^cc++++=and
exchanged ^vbd+++xvbn+=exchanged
confidences ^nns+nom+++=confidences.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
loved ^vbd+++xvbnx+=loved
each ^dt++++=each
other ^ap++++=other
like ^in++++=like
sisters ^nns+nom+++=sisters
neither ^rb++neg++=neither
of ^in++++=of
them ^pp3o+pp3+++=them
had ^vb+hv+vrb++=had
an ^at++++=an
own ^ap++++=own
sister ^nn++++=sister
but ^cc++++=but
today ^nr+tm+++=to-day
a ^at++++=a
spirit ^nn++++=spirit
of ^in++++=of
rivalry ^nn++++=rivalry
had ^vbd+hvd+aux++=had
arisen ^vprf+++xvbn+=arisen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tough ^jj+atrb+++=tough
dry ^jj+atrb+++=dry
blackberry ^nn++++=blackberry
vines ^nns++++=vines
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
twisted ^vbd+++xvbn+=twisted
around ^rp++++=around
Submit ^vb+vpub+++=Submit;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
circle ^nn++++=circle
of ^in++++=of
red ^jj+atrb+++=red
petticoat ^nn++++=petticoat,
, ^zz++++=EXTRAWORD
like ^in++++=like
some ^dti++++=some
strange ^jj+atrb+++=strange
late ^jj+atrb+++=late
flower ^nn++++=flower
blooming ^vwbg+++xvbg+=blooming
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=don't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
Adams ^np++++=Adams,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Father
father ^npt++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
weigh ^vb++++=weigh
twenty ^cd++++=twenty
pounds ^nns++++=pounds,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
Sarah ^np++++=Sarah,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
weak ^jj+atrb+++=weak
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
still ^rb++++=still
had ^vb+hv+vrb++=had
persistency ^nn++++=persistency
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
he ^pp3a+pp3+++=he
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
Thanksgiving ^np+++??+=Thanksgiving
turkey ^nn++++=turkey
is ^vbz+bez+vrb++=is
twice ^rb++++=twice
as ^in++++=as
big ^nn++++=big.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
Adams ^np++++=Adams."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
Thompson ^np++++=Thompson."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
lowered ^vbd+++xvbn+=lowered
her ^pp3o+pp3+++=her
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head
with ^in++++=with
a ^at++++=a
decision ^nn++++=decision
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
beyond ^in++++=beyond
words ^nns++++=words.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
delicate ^jj++++=delicate-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
little ^ap++++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
small ^jj++++=small
blue ^jj++++=blue-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
figure ^nn++++=figure
bent ^vbd+++xvbn+=bent
before ^in++++=before
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
resolution ^nn+nom+++=resolution
in ^in++++=in
her ^pp$+pp3+++=her
high ^jj+atrb+++=high
forehead ^nn++++=forehead
and ^cc++++=and
her ^pp$+pp3+++=her
sharp ^jj+atrb+++=sharp
chin ^nn++++=chin.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
nodded ^vbd+++xvbn+=nodded
violently ^rb++++=violently.
. ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hugged ^vbd+++xvbnx+=hugged
Thankful ^jj++++=Thankful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
still ^rb+atrb+++=still
staring ^jj+++xvbg+=staring
defiantly ^rb++++=defiantly
into ^in++++=into
Submit ^np++++=Submit's
's ^$++++=EXTRAWORD
hood ^nn++++=hood.
. ^zz++++=EXTRAWORD
Submit ^np++++=Submit's
's ^$++++=EXTRAWORD
black ^jj+atrb+++=black
eyes ^nns++++=eyes
in ^in++++=in
the ^ati++++=the
depths ^nns++++=depths
of ^in++++=of
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
like ^in++++=like
two ^cd++++=two
sparks ^nns++++=sparks.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
nodded ^vbd+++xvbnx+=nodded
vehemently ^rb++++=vehemently;
; ^zz++++=EXTRAWORD
the ^ati++++=the
gesture ^nn++++=gesture
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
enough ^qlp++++=enough
for ^in++++=for
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
nodded ^vbd+++xvbnx+=nodded
and ^cc+phrs+++=and
spoke ^vbd+++xvbn+=spoke
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
" ^zz++++="Sarah
sarah ^np++++=EXTRAWORD
Adams ^np++++=Adams,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+whq++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
our ^pp$+pp1+++=our
turkey ^nn++++=turkey
is ^vbz+bez+vrb++=is
bigger ^jjr+pred+++=bigger
than ^in++++=than
your ^pp$+pp2+++=your
turkey ^nn++++=turkey?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
stared ^vbd+++xvbn+=stared
at ^rb++++=at
Submit ^vb+vpub+++=Submit.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean,
, ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
Thompson ^np++++=Thompson,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
stately ^jj+atrb+++=stately
and ^cc+phrs+++=and
puzzled ^jj+atrb++xvbn+=puzzled
air ^nn++++=air.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
your ^pp$+pp2+++=your
turkey ^nn++++=turkey
weighs ^vbz++++=weighs
more ^rbr++++=more
than ^in++++=than
ours ^pp$$++++=ours
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
my ^pp$+pp1+++=my
little ^rb++++=little
work ^nn++++=work-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
picture ^nn++++=picture
on ^in++++=on
the ^ati++++=the
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
our ^pp$+pp1+++=our
turkey ^nn++++=turkey
weighs ^vbz++++=weighs
more ^rbr++++=more
than ^in++++=than
yours ^pp$$++++=yours
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
What ^wdt+who+++=What
will ^md+prd+++=will
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
Adams ^np++++=Adams?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
hung ^vbd+++xvbn+=hung
her ^pp$+pp3+++=her
flaxen ^jj+atrb+++=flaxen
head ^nn++++=head
with ^in++++=with
a ^at++++=a
troubled ^jj+atrb++xvbn+=troubled
air ^nn++++=air.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
anything ^pn++++=anything
mother ^nn++++=mother
would ^md+prd+++=would
be ^vb+be+vrb++=be
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
me ^pp1o+pp1+++=me
give ^vb++++=give
away ^rb+phrv+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Thankful ^jj++++=Thankful.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^nn++++=mother
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
gave ^vbd+++xvbn+=gave
her ^pp$+pp3+++=her
away ^rp+pl+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
started ^vbd+++xvbn+=started,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hugged ^vbd+++xvbn+=hugged
Thankful ^jj++++=Thankful
closer ^rbr++++=closer.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^nn++++=mother
would ^md+prd+++=would
care ^vb+vprv+++=care,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
my ^pp$+pp1+++=my
Aunt ^nn++++=Aunt
Rose ^vbd+++xvbn+=Rose
from ^in++++=from
Boston ^np++++=Boston
made ^vbd+++xvbn+=made
her ^pp$+pp3+++=her
and ^cc++++=and
gave ^vbd+++xvbn+=gave
her ^pp$+pp3+++=her
to ^in++++=to
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah's
's ^$++++=EXTRAWORD
beautiful ^jj+atrb+++=beautiful
young ^jj+atrb+++=young
Aunt ^nn++++=Aunt
Rose ^vbd+++xvbn+=Rose
from ^in++++=from
Boston ^np++++=Boston
was ^vbd+bedz+vrb++=was
the ^ati++++=the
special ^jj+atrb+++=special
admiration ^nn+nom+++=admiration
of ^in++++=of
both ^abx++++=both
the ^ati++++=the
little ^jj+atrb+++=little
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
was ^vbd+bedz+aux++=was
ordinarily ^rb++splt++=ordinarily
impressed ^vpsv++by+xvbnx+=impressed
by ^in++++=by
her ^pp$+pp3+++=her
name ^nn++++=name,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it
coolly ^rb++++=coolly.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
returned ^vbd+++xvbnx+=returned.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can
make ^vb++++=make
another ^dt++++=another.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
just ^rb+emph+++=just
made ^vpsv++agls+xvbnx+=made
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
old ^jj+atrb+++=old
linen ^nn++++=linen,
, ^zz++++=EXTRAWORD
anyhow ^rb+dspt+++=anyhow.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
work ^nn++++=work-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
real ^rb+emph+++=real
handsome ^jj+pred+++=handsome;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
just ^rb+emph+++=just
as ^ql++++=as
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
mind ^nn++++=mind
to ^in+strn+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
mean ^vb+vprv+tht0++=mean
I ^pp1a+pp1+++=I
can ^md+pos+++=can
have ^vb+hv+vrb++=have
the ^ati++++=the
work ^nn++++=work-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Sarah ^np++++=Sarah.
. ^zz++++=EXTRAWORD
" ^zz++++="Course
course ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
your ^pp$+pp2+++=your
turkey ^nn++++=turkey's
's ^vbz+bez+vrb++0=EXTRAWORD
bigger ^jjr++++=bigger."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
turkey ^nn++++=turkey
is ^vbz+bez+vrb++=is
bigger ^jjr+pred+++=bigger
anyhow ^rb+cnj+++=anyhow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
murmured ^vbd+++xvbnx+=murmured.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
ask ^vb++++=ask
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
inquired ^vbd+++xvbnx+=inquired
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
