I ^pp1a+pp1+++=I.
Indian ^jj+atrb+++=Indian
River ^nn++++=River.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
sixteen ^cd++++=sixteen
miles ^nns++++=miles
by ^in++++=by
stage ^nn++++=stage
from ^in++++=from
Iowa ^np+++??+=Iowa
Hill ^nn++++=Hill
to ^in++++=to
Colfax ^np+++??+=Colfax,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
line ^nn++++=line
of ^in++++=of
the ^ati++++=the
Overland ^np+pl++??+=Overland
Railroad ^nn++++=Railroad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
of ^in++++=of
a ^at++++=a
hundred ^cd++++=hundred
miles ^nns++++=miles
from ^in++++=from
Colfax ^np+++??+=Colfax
to ^in++++=to
San ^np++++=San
Francisco ^np++++=Francisco.
. ^zz++++=EXTRAWORD
To ^in++++=To
Lockwood ^np++++=Lockwood's
's ^$++++=EXTRAWORD
mind ^nn++++=mind
this ^dt+dem+++=this
isolation ^nn+nom+++=isolation
was ^vbd+bedz+vrb++=was
in ^in++++=in
itself ^ppl++++=itself
an ^at++++=an
attraction ^nn+nom+++=attraction.
. ^zz++++=EXTRAWORD
Tucked ^j+++xvbn+=Tucked
away ^rp+pl+++=away
in ^in++++=in
this ^dt+dem+++=this
fold ^nn++++=fold
of ^in++++=of
the ^ati++++=the
Sierras ^np+++??+=Sierras,
, ^zz++++=EXTRAWORD
forgotten ^vpbn+vprv++xvbn+=forgotten,
, ^zz++++=EXTRAWORD
remote ^jj++++=remote,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
community ^nn+nom+++=community
of ^in++++=of
a ^at++++=a
hundred ^cd++++=hundred
souls ^nns++++=souls
that ^tht+rel+subj++=that
comprised ^vwbn+++xvbn+=comprised
the ^ati++++=the
personnel ^nns++++=personnel
of ^in++++=of
the ^ati++++=the
Hand ^nn++++=Hand-over-fist
- ^zz++++=EXTRAWORD
over ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
fist ^nn++++=EXTRAWORD
lived ^vbd+++xvbn+=lived
out ^rp+pl+++=out
its ^pp$+it+++=its
life ^nn++++=life
with ^in++++=with
the ^ati++++=the
completeness ^nns+nom+++=completeness
of ^in++++=of
an ^at++++=an
independent ^jj+atrb+++=independent
State ^nn++++=State,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
its ^pp$+it+++=its
own ^ap++++=own
government ^nn+nom+++=government,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
own ^ap++++=own
institutions ^nns+nom+++=institutions
and ^cc++++=and
customs ^nns++++=customs.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
its ^pp$+it+++=its
own ^ap++++=own
dramas ^nns++++=dramas
as ^rb++++=as
well ^rb++++=well--little
-- ^--+clp+++=EXTRAWORD
little ^ap++++=EXTRAWORD
complications ^nns+nom+++=complications
that ^tht+rel+subj++=that
developed ^vbd+++xvbn+=developed
with ^in++++=with
the ^ati++++=the
swiftness ^nns+nom+++=swiftness
of ^in++++=of
whirlpools ^nns+++??+=whirlpools,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
trended ^vwbn+++xvbn+=trended
toward ^in++++=toward
culmination ^nn+nom+++=culmination
with ^in++++=with
true ^jj+atrb+++=true
Western ^jj+atrb+++=Western
directness ^nns+nom+++=directness.
. ^zz++++=EXTRAWORD
Lockwood ^np+++??+=Lockwood,
, ^zz++++=EXTRAWORD
college-bred ^j+++xvbn+=college-bred--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
graduate ^nn+nom+++=graduate
of ^in++++=of
the ^ati++++=the
Columbia ^np++++=Columbia
School ^nn++++=School
of ^in++++=of
Mines ^nns++++=Mines--found
-- ^--+clp+++=EXTRAWORD
found ^j+++xvbn+=EXTRAWORD
the ^ati++++=the
life ^nn++++=life
interesting ^jj++++=interesting.
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
evening ^nn++++=evening
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
over ^in++++=over
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
rather ^rb++++=rather
longer ^rbr++++=longer
than ^in++++=than
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
seduced ^xvbn+++xvbn+=seduced
by ^in++++=by
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
the ^ati++++=the
scene ^nn++++=scene
and ^cc++++=and
the ^ati++++=the
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prolonged ^nn++++=prolonged
rumble ^vb++++=rumble
of ^in++++=of
the ^ati++++=the
mine ^pp$$++++=mine's
's ^vbz+bez+vrb++0=EXTRAWORD
stamp ^nn++++=stamp-mill
- ^zz++++=EXTRAWORD
mill ^nn++++=EXTRAWORD
came ^vbd+++xvbn+=came
to ^in++++=to
his ^pp$+pp3+++=his
ears ^nns++++=ears
in ^in++++=in
a ^at++++=a
ceaseless ^jj+atrb+++=ceaseless
diapason ^nn+++??+=diapason,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
sound ^nn++++=sound
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
a ^at++++=a
matter ^nn++++=matter
of ^in+emph+++=of
course ^nn+emph"+++=course
that ^tht+rel+obj++=that
Lockwood ^np+++??+=Lockwood
no ^at++++=no
longer ^rbr++++=longer
heard ^vbd+vprv++xvbn+=heard
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
millions ^cds++++=millions
of ^in++++=of
pines ^nns++++=pines
and ^cc++++=and
redwoods ^nns+++??+=redwoods
that ^tht+rel+++=that
covered ^jj+++xvbn+=covered
the ^ati++++=the
flanks ^nns++++=flanks
of ^in++++=of
the ^ati++++=the
mountains ^nns++++=mountains
were ^vbd+bed+vrb++=were
absolutely ^rb+amp+++=absolutely
still ^rb++++=still.
. ^zz++++=EXTRAWORD
No ^at++++=No
wind ^nn++++=wind
was ^vbd+bedz+aux++=was
stirring ^vbg+++xvbgx+=stirring
in ^in++++=in
their ^pp$+pp3+++=their
needles ^nps++++=needles.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
chorus ^nn++++=chorus
of ^in++++=of
tree ^nn++++=tree-toads,
- ^zz++++=EXTRAWORD
toads ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
staccato ^jj++++=staccato,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
as ^ql++++=as
incessant ^jj++++=incessant
as ^in++++=as
the ^ati++++=the
pounding ^jj+++xvbg+=pounding
of ^in++++=of
the ^ati++++=the
mill ^nn++++=mill.
. ^zz++++=EXTRAWORD
Far-off ^jjb++++=Far-off--thousands
-- ^--+clp+++=EXTRAWORD
thousands ^cds++++=EXTRAWORD
of ^in++++=of
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed--an
-- ^--+clp+++=EXTRAWORD
an ^at++++=EXTRAWORD
owl ^nn++++=owl
was ^vbd+bedz+aux++=was
hooting ^vbg+++xvbgx+=hooting,
, ^zz++++=EXTRAWORD
three ^cd++++=three
velvet ^nn++++=velvet-soft
- ^zz++++=EXTRAWORD
soft ^jj+atrb+++=EXTRAWORD
notes ^nns++++=notes
at ^rb++++=at
exact ^jj+atrb+++=exact
intervals ^nns+nom+++=intervals.
. ^zz++++=EXTRAWORD
A ^at++++=A
cow ^nn++++=cow
in ^in++++=in
the ^ati++++=the
stable ^nn++++=stable
near ^in+pl+++=near
at ^rb++++=at
hand ^nn++++=hand
lay ^vbd+++xvbn+=lay
down ^rb+phrv+++=down
with ^in++++=with
a ^at++++=a
long ^jj+atrb+++=long
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
from ^in++++=from
the ^ati++++=the
back ^jjb+atrb+++=back
veranda ^nn++++=veranda
of ^in++++=of
Chino ^np+++??+=Chino
Zavalla ^np++++=Zavalla's
's ^$++++=EXTRAWORD
cabin ^nn++++=cabin
came ^vbd+++xvbn+=came
the ^ati++++=the
clear ^jj+atrb+++=clear
voice ^nn++++=voice
of ^in++++=of
Felice ^np+++??+=Felice
singing ^vwbg+++xvbg+=singing
" ^zz++++="The
the ^ati++++=EXTRAWORD
Spanish ^jj+atrb+++=Spanish
Cavalier ^np+nom+++=Cavalier"
" ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
washed ^vbd+++xvbnx+=washed
the ^ati++++=the
dishes ^nns++++=dishes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
twilight ^nn++++=twilight
was ^vbd+bedz+aux++=was
fading ^vbg+++xvbgx+=fading;
; ^zz++++=EXTRAWORD
the ^ati++++=the
glory ^nn++++=glory
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
blazed ^vprf+++xvbnx+=blazed
in ^in++++=in
cloudless ^jj+atrb+++=cloudless
vermilion ^nn+++??+=vermilion
and ^cc++++=and
gold ^nn++++=gold
over ^in++++=over
the ^ati++++=the
divide ^vb++++=divide
was ^vbd+bedz+aux++=was
dying ^vbg+++xvbgx+=dying
down ^rp++++=down
like ^in++++=like
receding ^xvbg+++xvbg+=receding
music ^nn++++=music.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mountains ^nns++++=mountains
were ^vbd+bed+vrb++=were
purple ^jj+pred+++=purple-black.
- ^zz++++=EXTRAWORD
black ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
canon ^npt++++=canon
rose ^vbd+++xvbn+=rose
the ^ati++++=the
night ^nn++++=night
mist ^nn++++=mist,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
blue ^jj++++=blue,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
above ^jjb++++=above
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
the ^ati++++=the
smoke ^nn++++=smoke
from ^in++++=from
the ^ati++++=the
mill ^nn++++=mill,
, ^zz++++=EXTRAWORD
a ^at++++=a
motionless ^jj+atrb+++=motionless
plume ^nn++++=plume
of ^in++++=of
sable ^jj++++=sable,
, ^zz++++=EXTRAWORD
shot ^j+++xvbn+=shot
through ^in++++=through
by ^in++++=by
the ^ati++++=the
last ^jj+atrb+++=last
ruddiness ^nns+nom+++=ruddiness
of ^in++++=of
the ^ati++++=the
afterglow ^nn+++??+=afterglow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
pleasant ^jj+atrb+++=pleasant
odours ^nns++++=odours--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
smell ^nn++++=smell
of ^in++++=of
wood ^nn++++=wood
fires ^nns++++=fires
from ^in++++=from
the ^ati++++=the
cabins ^nns++++=cabins
of ^in++++=of
the ^ati++++=the
married ^jj+atrb++xvbn+=married
men ^nns++++=men
and ^cc++++=and
from ^in++++=from
the ^ati++++=the
ovens ^nns++++=ovens
of ^in++++=of
the ^ati++++=the
cookhouse ^nn+++??+=cookhouse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ammoniacal ^jj+atrb+++=ammoniacal
whiffs ^nns+++??+=whiffs
from ^in++++=from
the ^ati++++=the
stables ^nns++++=stables,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
ripening ^nn++++=ripening
apples ^nns++++=apples
from ^in++++=from
" ^zz++++="Boston's"
boston ^np++++=EXTRAWORD
's" ^nn+++??+=EXTRAWORD
orchard ^nn++++=orchard--while
-- ^--+clp+++=EXTRAWORD
while ^cs+sub+++=EXTRAWORD
over ^in++++=over
all ^abn++++=all
and ^cc++++=and
through ^in++++=through
all ^abn++++=all
came ^vbd+++xvbn+=came
the ^ati++++=the
perfume ^nn++++=perfume
of ^in++++=of
the ^ati++++=the
witch ^nn++++=witch-hazel
- ^zz++++=EXTRAWORD
hazel ^np++++=EXTRAWORD
and ^cc++++=and
tar ^nn++++=tar-weed
- ^zz++++=EXTRAWORD
weed ^nn++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
forests ^nns++++=forests
and ^cc++++=and
mountain ^nn++++=mountain
sides ^nns++++=sides,
, ^zz++++=EXTRAWORD
as ^ql++++=as
pungent ^jj++++=pungent
as ^ql++++=as
myrrh ^vb+++??+=myrrh,
, ^zz++++=EXTRAWORD
as ^ql++++=as
aromatic ^jj++++=aromatic
as ^ql++++=as
aloes ^nns+++??+=aloes.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
should ^md+nec+++=should
fall ^vb++++=fall,
, ^zz++++=EXTRAWORD
In ^rb++++=In
vain ^rb"++++=vain
I ^pp1a+pp1+++=I
would ^md+prd+++=would
call ^vb++++=call,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sang ^nc+++xvbn+=sang
Felice ^np+++??+=Felice.
. ^zz++++=EXTRAWORD
Lockwood ^np+++??+=Lockwood
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
from ^in++++=from
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++=and
put ^vb+++xvbn+=put
back ^jjb++++=back
his ^pp$+pp3+++=his
head ^nn++++=head
to ^to++++=to
listen ^vbi++++=listen.
. ^zz++++=EXTRAWORD
Felice ^np+++??+=Felice
had ^vb+hv+vrb++=had
as ^ql++++=as
good ^jj++++=good
a ^at++++=a
voice ^nn++++=voice
as ^ql++++=as
so ^cs+sub+++=so
pretty ^rb++++=pretty
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman
should ^md+nec+++=should
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
or ^cc++++=or
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
incontestably ^jj+pred+++=incontestably
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
the ^ati++++=the
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
Mexican ^jj+pred+++=Mexican-Spanish,
- ^zz++++=EXTRAWORD
spanish ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tall ^jj++++=tall
and ^cc++++=and
very ^ql+amp+++=very
slender ^jj++++=slender,
, ^zz++++=EXTRAWORD
black ^jj++++=black-haired,
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
lithe ^vb+++??+=lithe
as ^ql++++=as
a ^at++++=a
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
cat ^nn++++=cat's
's ^vbz+bez+vrb++0=EXTRAWORD
green ^jj+atrb+++=green
eyes ^nns++++=eyes
and ^cc++++=and
with ^in++++=with
all ^rb++++=all
of ^in++++=of
a ^at++++=a
cat ^nn++++=cat's
's ^vbz+bez+aux++0=EXTRAWORD
purring ^vbg+++xvbgx+=purring,
, ^zz++++=EXTRAWORD
ingratiating ^jj+atrb+++=ingratiating
insinuation ^nn+nom+++=insinuation.
. ^zz++++=EXTRAWORD
Lockwood ^np+++??+=Lockwood
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told
exactly ^rb++++=exactly
just ^rb+emph+++=just
how ^wrb+who+++=how
the ^ati++++=the
first ^od++++=first
familiarity ^nn+nom+++=familiarity
between ^in++++=between
him ^pp3o+pp3+++=him
and ^cc++++=and
Felice ^np+++??+=Felice
had ^vbd+hvd+aux++=had
arisen ^vprf+++xvbn+=arisen.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
by ^in++++=by
almost ^rb+hdg+++=almost
imperceptible ^jj+atrb+++=imperceptible
degrees ^nns+nom+++=degrees
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
certain ^jj+atrb+++=certain
point ^nn++++=point;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
chance ^nn++++=chance
meeting ^vwbg+++xvbg+=meeting
on ^in++++=on
the ^ati++++=the
trail ^nn++++=trail
between ^in++++=between
the ^ati++++=the
office ^nn++++=office
and ^cc++++=and
the ^ati++++=the
mill ^nn++++=mill,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
a ^at++++=a
fragment ^nn+nom+++=fragment
of ^in++++=of
conversation ^nn+nom+++=conversation
apropos ^nns+++??+=apropos
of ^in++++=of
a ^at++++=a
letter ^nn++++=letter
to ^to++++=to
be ^vbi+vbi+aux++=be
mailed ^vpsv++agls+xvbnx+=mailed,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
a ^at++++=a
question ^nn+nom+++=question
as ^in++++=as
to ^in"++++=to
some ^dti++++=some
regulation ^nn+nom+++=regulation
of ^in++++=of
the ^ati++++=the
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
a ^at++++=a
detail ^nn++++=detail
of ^in++++=of
repairs ^nns++++=repairs
done ^vwbn+++xvbn+=done
to ^in++++=to
the ^ati++++=the
cabin ^nn++++=cabin
wherein ^wrb+who+++=wherein
Felice ^np+++??+=Felice
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
said ^vbd+vpub++xvbn+=said
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
certain ^jj+atrb+++=certain
point ^nn++++=point
the ^ati++++=the
process ^nns+nom+++=process
of ^in++++=of
" ^zz++++="getting
