Yes ^uh++++=Yes,
simply ^rb++++=simply
delight ^nn++++=delight
in ^in++++=in
my ^pp$+pp1+++=my
torments ^nns+nom+++=torments.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
poisoned ^vprf+++xvbn+=poisoned
my ^pp$+pp1+++=my
working ^jj+atrb++xvbg+=working
mood ^nn++++=mood
for ^in++++=for
a ^at++++=a
whole ^jj+atrb+++=whole
month ^nn++++=month
in ^in++++=in
advance ^nn+nom+++=advance,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
stand ^vb++++=stand,
, ^zz++++=EXTRAWORD
yawn ^nn++++=yawn
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
murmur ^nn++++=murmur:
: ^zz++++=EXTRAWORD
" ^zz++++="Lord
lord ^npt++++=EXTRAWORD
knows ^vbz+vprv+++=knows
why ^wrb+who+whcl++=why
I ^pp1a+pp1+++=I
stay ^vb++++=stay
here ^rn+pl+++=here
talking ^vbg+++xvbg+=talking.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
lots ^nns++++=lots
to ^to++++=to
do ^vbi++++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
railway ^nn++++=railway
carriage ^nn+nom+++=carriage
he ^pp3a+pp3+++=he
always ^rb++++=always
began ^vbd+++xvbn+=began:
: ^zz++++=EXTRAWORD
" ^zz++++="Permit
permit ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
to ^to++++=to
ask ^vbi++++=ask,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going
far ^rb+pl+++=far?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then:
: ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
business ^nns+nom+++=business
or ^cc++++=or
. ^zz++++=...?"
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
work ^nn++++=work?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Married?"
married ^vbd+++xvbn+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
all ^abn++++=all
his ^pp$+pp3+++=his
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
Closing ^jj+++xvbg+=Closing
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
strikes ^nns++++=strikes
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gesticulates ^nns+nom+++=gesticulates
so ^ql++++=so
closely ^rb++++=closely
to ^in++++=to
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
and ^cc++++=and
nose ^nn++++=nose
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
wince ^nn+++??+=wince,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
about ^md"++pmd"++=about
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
struck ^vprf+++xvbn+=struck.
. ^zz++++=EXTRAWORD
Catching ^vbg+++xvbg+=Catching
hold ^nn++++=hold
of ^in++++=of
the ^ati++++=the
lappet ^nn+++??+=lappet
of ^in++++=of
my ^pp$+pp1+++=my
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
draws ^vbz++++=draws
himself ^ppl+pp3+++=himself
up ^in+cmpx+++=up
to ^in"++++=to
me ^pp1o+pp1+++=me
and ^cc++++=and
breathes ^nns+++??+=breathes
in ^in++++=in
my ^pp$+pp1+++=my
face ^nn++++=face.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
visits ^nns++++=visits
me ^pp1o+pp1+++=me
he ^pp3a+pp3+++=he
allows ^vbz++++=allows
his ^pp$+pp3+++=his
foot ^nn++++=foot
to ^to++++=to
tremble ^vbi++++=tremble
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
Under ^in++++=Under
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
shade ^nn++++=shade
of ^in++++=of
the ^ati++++=the
lamp ^nn++++=lamp
tinkles ^nns+++??+=tinkles.
. ^zz++++=EXTRAWORD
At ^rb++++=At
an ^at++++=an
" ^zz++++="at
at ^rb++++=EXTRAWORD
home ^nr++++=home"
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thrums ^nns+++??+=thrums
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
my ^pp$+pp1+++=my
chair ^nn++++=chair
with ^in++++=with
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
pauses ^nns+++??+=pauses
of ^in++++=of
the ^ati++++=the
conversation ^nn+nom+++=conversation
drawls ^nns+++??+=drawls,
, ^zz++++=EXTRAWORD
" ^zz++++="y-e-s,
y ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
y ^zz++++=y-es."
- ^zz++++=EXTRAWORD
es ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
cards ^nns++++=cards
he ^pp3a+pp3+++=he
calls ^nns++++=calls
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
knocks ^vbz++++=knocks
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
quacks ^nns++++=quacks
as ^ql++++=as
he ^pp3a+pp3+++=he
loses ^vbz++++=loses:
: ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Start ^nn++++=Start
him ^pp3o+pp3+++=him
in ^in++++=in
an ^at++++=an
argument ^nn+nom+++=argument,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
always ^rb++++=always
begins ^vbz++++=begins
by ^in+strn+++=by:
: ^zz++++=EXTRAWORD
" ^zz++++="Eh,
eh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
neighbour ^nn++++=neighbour,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
humbug ^nn++++=humbug
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
talking ^vbg+++xvbgx+=talking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
humbug ^nn++++=humbug?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
ask ^vb++++=ask
timidly ^jj++++=timidly.
. ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
nonsense ^nn++++=nonsense."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
evil ^nn++++=evil
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done
to ^in++++=to
this ^dt+dem+++=this
man ^nn++++=man?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
himself ^ppl+pp3+++=himself
to ^to++++=to
spoil ^vbi++++=spoil
my ^pp$+pp1+++=my
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
spoiled ^vbd+++xvbnx+=spoiled
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Thanks ^rb+dspt+++=Thanks
to ^in"++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
feel ^vb+vprv+++=feel
a ^at++++=a
great ^jj+atrb+++=great
aversion ^nn++++=aversion
from ^in++++=from
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
painting ^nvbg+++xvbg+=painting,
, ^zz++++=EXTRAWORD
music ^nn++++=music.
. ^zz++++=EXTRAWORD
" ^zz++++="Tolstoy"
tolstoy ^np++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
bawled ^vbd+++xvbnx+=bawled
orally ^rb+cnj+++=orally,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
print ^nn++++=print
" ^zz++++="made
made ^vprf+++xvbn+=EXTRAWORD
his ^pp$+pp3+++=his
estate ^nn++++=estate
over ^in++++=over
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
himself.. ^nn+++??+=himself....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Compared ^j+++xvbn+=Compared
with ^in++++=with
Turgenief ^np+++??+=Turgenief,
, ^zz++++=EXTRAWORD
he.. ^nn+++??+=he....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sewed ^vbd+++xvbnx+=sewed
his ^pp$+pp3+++=his
own ^ap++++=own
jack ^np++++=jack-boots
- ^zz++++=EXTRAWORD
boots ^nns++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
great ^jj+atrb+++=great
writer ^nn++++=writer
of ^in++++=of
the ^ati++++=the
Russian ^jj+atrb+++=Russian
earth.. ^nn+++??+=earth....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hurrah!. ^np+++??+=Hurrah!...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Pushkin?
pushkin ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
created ^vbd+++xvbnx+=created
the ^ati++++=the
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember
' ^zz++++='Calm
calm ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Ukraine ^np++++=Ukraine
night ^nn++++=night,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sky ^nn++++=sky'?
'? ^nn+++??+=EXTRAWORD
You ^pp2+pp2+++=You
remember ^nn+nom+++=remember
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
to ^in++++=to
the ^ati++++=the
woman ^nn++++=woman
in ^in++++=in
the ^ati++++=the
third ^od++++=third
act ^vb+vpub+++=act.
. ^zz++++=EXTRAWORD
Hsh ^np+++??+=Hsh!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
no ^at++++=no
ladies ^nns++++=ladies
present ^nn++++=present,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember?
? ^zz++++=EXTRAWORD
" ^zz++++="'In
' ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
our ^pp$+pp1+++=our
little ^jj+atrb+++=little
boat ^nn++++=boat
we ^pp1a+pp1+++=we
go ^vb++++=go,
, ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
little ^jj+atrb+++=little
boat ^nn++++=boat
the ^ati++++=the
water ^nn++++=water.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Dostoevsky
dostoevsky ^nn+++??+=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
read ^vbd+vprv++xvbn+=read
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
one ^cd1++++=one
night ^nn++++=night
to ^in++++=to
Turgenief ^np+++??+=Turgenief
to ^to++++=to
confess ^nns+nom+++=confess
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Gogol ^np+++??+=Gogol,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
disease ^nn++++=disease
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
I ^pp1a+pp1+++=I
go ^vb++++=go
to ^in++++=to
a ^at++++=a
picture ^nn++++=picture
gallery ^nn+nom+++=gallery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stand ^vb++++=stand
before ^in++++=before
some ^dti++++=some
quiet ^jj+atrb+++=quiet
evening ^nn++++=evening
landscape ^nn++++=landscape,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
be ^vbi++vrb++=be
on ^in++++=on
my ^pp$+pp1+++=my
heels ^nns++++=heels,
, ^zz++++=EXTRAWORD
pushing ^nvbg+++xvbg+=pushing
me ^pp1o+pp1+++=me
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saying ^vb+++xvbg+=saying
to ^to+vcmp+++=to
a ^at++++=a
girl ^nn++++=girl
on ^in++++=on
his ^pp$+pp3+++=his
arm ^nn++++=arm:
: ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
sweetly ^rb++++=sweetly
drawn ^vbd+++xvbn+=drawn
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
distance ^nn+nom+++=distance
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
atmosphere ^nn++++=atmosphere
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
the ^ati++++=the
moon ^nn++++=moon
to ^in++++=to
the ^ati++++=the
life.. ^nn+++??+=life....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember
Nina ^np++++=Nina
the ^ati++++=the
coloured ^nn++++=coloured
supplement ^nn+nom+++=supplement
of ^in++++=of
the ^ati++++=the
Neva ^np++++=Neva
1 ^zz++++=1
[ ^zz++++=[1]
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
something ^pn++++=something
like ^in++++=like
it... ^nn+++??+=it...."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
[ ^zz++++=[1]
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
A ^at++++=A
popular ^jj+atrb+++=popular
Russian ^jj+atrb+++=Russian
journal ^nn++++=journal.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sit ^vb++++=sit
