" ^zz++++="All
station ^nn+nom+++=station
of ^in++++=of
Llanfihangel ^np+++??+=Llanfihangel.
. ^zz++++=EXTRAWORD
To ^to++++=To
reach ^vbi++++=reach
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
must ^md+nec+++=must
pass ^vb++++=pass
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
happen ^vb+++??+=happen
on ^in++++=on
someone ^pn++++=someone
to ^to++++=to
set ^vbi++++=set
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
shortest ^jjt+atrb+++=shortest
way ^nn++++=way.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
my ^pp$+pp1+++=my
walking ^vbg+++xvbg+=walking-stick
- ^zz++++=EXTRAWORD
stick ^vb++++=EXTRAWORD
and ^cc++++=and
hobbled ^jj+++xvbn+=hobbled
down ^rp++++=down
the ^ati++++=the
hillside ^nn++++=hillside,
, ^zz++++=EXTRAWORD
albeit ^cs+sub+++=albeit
with ^in++++=with
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
the ^ati++++=the
descent ^nn++++=descent
eased ^vbd+++xvbn+=eased
a ^rb++++=a
little ^rb"++++=little
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
and ^cc+phrs+++=and
followed ^vbd+vprv++xvbn+=followed
a ^at++++=a
foot ^nn++++=foot-track,
- ^zz++++=EXTRAWORD
track ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
time ^nn++++=time
turned ^vbd+++xvbn+=turned
into ^in++++=into
a ^at++++=a
sunk ^xvbn+++xvbn+=sunk
road ^npl++++=road
scored ^vbd+++xvbn+=scored
deep ^jj++++=deep
with ^in++++=with
old ^jj+atrb+++=old
cart ^nn++++=cart-ruts,
- ^zz++++=EXTRAWORD
ruts ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
brought ^vbd+++xvbn+=brought
me ^pp1o+pp1+++=me
to ^in++++=to
a ^at++++=a
desolate ^jj+atrb+++=desolate
farmstead ^nn++++=farmstead,
, ^zz++++=EXTRAWORD
slowly ^rb++++=slowly
dropping ^vbg+++xvbg+=dropping
to ^to++++=to
ruin ^vbi++++=ruin
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
perpetual ^jj+atrb+++=perpetual
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
mountain ^nn++++=mountain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slates ^nns++++=slates
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
from ^in++++=from
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
byre ^nn++++=byre
and ^cc++++=and
stable ^jj++++=stable
lay ^jjb+++xvbn+=lay
buried ^jj+++xvbn+=buried
already ^rb++++=already
under ^in++++=under
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
nettle ^nn++++=nettle
and ^cc++++=and
mallow ^nn+++??+=mallow
and ^cc++++=and
wild ^jj+atrb+++=wild
parsnip ^nn+++??+=parsnip;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
yard ^nn++++=yard-wall
- ^zz++++=EXTRAWORD
wall ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
down ^rp++++=down
in ^in++++=in
a ^at++++=a
dozen ^cd++++=dozen
places ^nns++++=places.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shuffled ^vbd+++xvbnx+=shuffled
through ^in++++=through
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
gaps ^nns++++=gaps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
at ^rb++++=at
once ^rb"+tm+++=once
found ^vbd+vprv+tht0+xvbn+=found
myself ^ppl+pp1+++=myself
face ^vb++++=face
to ^to++++=to
face ^vbi++++=face
with ^in++++=with
a ^at++++=a
park ^npl++++=park-fence
- ^zz++++=EXTRAWORD
fence ^nn++++=EXTRAWORD
of ^in++++=of
split ^nn+++xvbn+=split
oak ^nn++++=oak--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
yet ^rb++++=yet
worse ^jjr+atrb+++=worse
repair ^nn++++=repair,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+pdem+++=that
were ^vbd+bed+vrb++=were
possible ^jj+pred+++=possible.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stretched ^vbd+++xvbn+=stretched
away ^rp+pl+++=away
right ^nn++++=right
and ^cc++++=and
left ^vpsv++agls+xvbn+=left
with ^in++++=with
promise ^nn++++=promise
of ^in++++=of
a ^at++++=a
noble ^jj+atrb+++=noble
circumference ^nn+nom+++=circumference;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
hand ^nn++++=hand
had ^vbd+hvd+aux++=had
repaired ^vprf+++xvbnx+=repaired
it ^pp3+it+++=it
for ^in++++=for
at ^rb++++=at
least ^rb"++++=least
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
counted ^vbd+++xvbnx+=counted
no ^at++++=no
less ^rbr++++=less
than ^in++++=than
seven ^cd++++=seven
breaches ^nns+++??+=breaches
through ^in++++=through
which ^whp+rel+pied++=which
a ^at++++=a
man ^nn++++=man
of ^in++++=of
common ^jj+atrb+++=common
size ^nn++++=size
might ^md+pos+++=might
step ^vb++++=step
without ^in++++=without
squeezing ^xvbg+++xvbg+=squeezing;
; ^zz++++=EXTRAWORD
availed ^j+++xvbn+=availed
myself ^ppl+pp1+++=myself
of ^in++++=of
the ^ati++++=the
nearest ^jjt++++=nearest;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
having ^vbg+hvg++xvbg+=having
with ^in++++=with
difficulty ^nn++++=difficulty
dragged ^vbd+++xvbn+=dragged
my ^pp$+pp1+++=my
disabled ^jj+atrb+++=disabled
foot ^nn++++=foot
up ^rp++++=up
the ^ati++++=the
ha ^uh++++=ha-ha
- ^zz++++=EXTRAWORD
ha ^uh++++=EXTRAWORD
slope ^nn++++=slope
beyond ^in+strn+++=beyond,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
breath ^nn++++=breath
at ^in++++=at
the ^ati++++=the
top ^jjb++++=top
and ^cc+phrs+++=and
looked ^jj+++xvbn+=looked
about ^rb++++=about
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
ha ^uh++++=ha-ha
- ^zz++++=EXTRAWORD
ha ^uh++++=EXTRAWORD
stood ^vbd+++xvbn+=stood
but ^cc++++=but
fifty ^cd++++=fifty
paces ^nns++++=paces
back ^jjb++++=back
from ^in++++=from
an ^at++++=an
avenue ^nn++++=avenue
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
magnificent ^jj+atrb+++=magnificent
Spanish ^jj+atrb+++=Spanish
chestnuts ^nns++++=chestnuts
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
ever ^rb++splt++=ever
seen ^vprf+++xvbnx+=seen
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
withering ^jj+pred+++=withering
from ^in++++=from
the ^ati++++=the
top ^jjb++++=top;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
under ^in++++=under
these ^dt+dem+++=these
many ^ap++++=many
dead ^jj+atrb+++=dead
boughs ^nns++++=boughs
lay ^vbd+++xvbn+=lay
as ^ql++++=as
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen,
, ^zz++++=EXTRAWORD
in ^in++++=in
grass ^nn++++=grass
that ^tht+rel+subj++=that
obliterated ^vbd+++xvbn+=obliterated
almost ^rb+hdg+++=almost
all ^abn++++=all
trace ^vb++++=trace
of ^in++++=of
the ^ati++++=the
broad ^jj+atrb+++=broad
carriage ^nn+nom+++=carriage-road.
- ^zz++++=EXTRAWORD
road ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
nine ^cd++++=nine
out ^rp+pl+++=out
of ^in++++=of
ten ^cd++++=ten
stood ^vbd+++xvbn+=stood
hale ^np++++=hale
and ^cc++++=and
stout ^jj++++=stout,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
apparently ^rb++++=apparently
good ^jj++++=good
for ^in++++=for
centuries ^nns++++=centuries
to ^to++++=to
come ^vbi++++=come.
. ^zz++++=EXTRAWORD
Northward ^jjb++++=Northward,
, ^zz++++=EXTRAWORD
the ^ati++++=the
grey ^np++++=grey
facade ^nn+++??+=facade
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
glimmered ^vbd+++xvbn+=glimmered
and ^cc+phrs+++=and
closed ^vbd+++xvbn+=closed
their ^pp$+pp3+++=their
green ^jj++++=green
prospective ^jj++++=prospective,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
towards ^in++++=towards
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
made ^vbd+++xvbn+=made
my ^pp$+pp1+++=my
way ^nn++++=way.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
own ^ap++++=own,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
avenue ^npl++++=avenue
daunted ^vbd+++xvbn+=daunted
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
frame ^nn++++=frame
altogether ^nn+nom+++=altogether
too ^rb++++=too
lordly ^jj++++=lordly
for ^in++++=for
a ^at++++=a
mere ^jjb++++=mere
limping ^jj+++xvbg+=limping
pedestrian ^jj++++=pedestrian.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
therefore ^rb+cnj+++=therefore
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
relieved ^vpsv++agls+xvbnx+=relieved,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
to ^to++++=to
catch ^vbi++++=catch
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
voices ^nns++++=voices
behind ^in+pl+++=behind
the ^ati++++=the
shrubberies ^nns+nom+++=shrubberies
on ^in++++=on
my ^pp$+pp1+++=my
right ^jj+atrb+++=right
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
determined ^jj+++xvbn+=determined
me ^pp1o+pp1+++=me
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
house ^nn++++=house
in ^in++++=in
flank ^nn++++=flank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
diverged ^vprf+++xvbn+=diverged
and ^cc+phrs+++=and
pushed ^vbd+++xvbn+=pushed
my ^pp$+pp1+++=my
way ^nn++++=way
between ^in++++=between
the ^ati++++=the
laurels ^nns++++=laurels
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
the ^ati++++=the
speakers ^nns+nom+++=speakers.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
a ^at++++=a
horse ^nn++++=horse!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
kingdom ^nn+nom+++=kingdom
for ^in++++=for
a ^at++++=a
horse ^nn++++=horse!
! ^zz++++=EXTRAWORD
Lobelia ^np+++??+=Lobelia,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
horses ^nns++++=horses
has ^vbz+hvz+vrb++=has
your ^pp$+pp2+++=your
father ^nn++++=father
in ^in++++=in
stable ^nn++++=stable?
? ^zz++++=EXTRAWORD
Red ^jj++++=Red,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
grey ^nn++++=grey?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="One,
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Wilhelmina ^np++++=Wilhelmina;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
old ^jj+atrb+++=old
Sentry ^np+++??+=Sentry-go,
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
father ^nn++++=father
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
knacker ^jjr+atrb+++=knacker's
's ^vbz+bez+vrb++0=EXTRAWORD
before ^in++++=before
another ^dt++++=another
winter ^nn++++=winter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
shall ^md+prd+++=shall
carry ^vb++++=carry
me ^pp1o+pp1+++=me
there ^rn+pl+++=there
on ^rp++++=on
his ^pp$+pp3+++=his
back ^jjb++++=back:
: ^zz++++=EXTRAWORD
with ^in++++=with
rings ^nns++++=rings
on ^in++++=on
my ^pp$+pp1+++=my
fingers ^nns+nom+++=fingers
and ^cc++++=and
bells ^nns++++=bells
on ^in++++=on
my ^pp$+pp1+++=my
toes" ^nn+++??+=toes"-She
- ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
rode ^vbd+++xvbnx+=rode
unto ^in++++=unto
the ^ati++++=the
knacker ^jjr+atrb+++=knacker's
's ^vbz+bez+vrb++0=EXTRAWORD
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
tirled ^jj+++xvbn+=tirled
at ^rb++++=at
the ^ati++++=the
pin ^nn++++=pin:
: ^zz++++=EXTRAWORD
Right ^jj++++=Right
glad ^jj++++=glad
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then
the ^ati++++=the
cat ^nn++++=cat's-meat
's-meat ^nn+++??+=EXTRAWORD
men ^nns++++=men
To ^to++++=To
let ^vbi++++=let
that ^dt+dem+++=that
lady ^npt++++=lady
in ^in+strn+++=in!
! ^zz++++=EXTRAWORD
-- ^--+clp+++=--especially,
especially ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lobelia ^np+++??+=Lobelia,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
alighted ^vbd+++xvbnx+=alighted
and ^cc+phrs+++=and
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
tell ^vbi++++=tell
them ^pp3o+pp3+++=them
sad ^jj+atrb+++=sad
stories ^nns++++=stories
of ^in++++=of
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
kings ^nns++++=kings.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
off ^rb+phrv+++=off
Sentry-go ^np++++=Sentry-go's
's ^$++++=EXTRAWORD
head ^nn++++=head
and ^cc++++=and
nailed ^vbd+++xvbn+=nailed
it ^pp3+it+++=it
over ^in++++=over
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
very ^ql+amp+++=very
imprudently ^rb++++=imprudently
married ^vbd+++xvbn+=married
the ^ati++++=the
master ^nn++++=master
knacker ^jjr++++=knacker,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
an ^at++++=an
heiress ^nns+nom+++=heiress
in ^in++++=in
her ^pp$+pp3+++=her
own ^ap++++=own
right ^nn++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
decorate ^nn+nom+++=decorate
his ^pp$+pp3+++=his
coat ^nn++++=coat-of-arms
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
arms ^nns++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
escutcheon ^nn+++??+=escutcheon
of ^in++++=of
pretence ^nn+nom+++=pretence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
besides ^rb++++=besides,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
doctor ^nn++++=doctor
had ^vbd+hvd+aux++=had
recommended ^vprf+++xvbnx+=recommended
a ^at++++=a
complete ^jj+atrb+++=complete
change ^nn++++=change
" ^zz++++="-"Law,
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
miss ^npt++++=miss,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
run ^vb+++xvbn+=run
on ^in+strn+++=on!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
lady ^nn++++=lady
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
utterance ^nn+nom+++=utterance
to ^in++++=to
this ^dt+dem+++=this
amazing ^jj+atrb+++=amazing
rigmarole ^nn++++=rigmarole
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
a ^at++++=a
terrace ^nn++++=terrace
flight ^nn++++=flight
( ^zz++++=(much
much ^ap++++=EXTRAWORD
cracked ^jj+++xvbn+=cracked
and ^cc+phrs+++=and
broken ^jj+++xvbn+=broken)
) ^zz++++=EXTRAWORD
between ^in++++=between
two ^cd++++=two
leaden ^vb+++xvbn+=leaden
statuettes ^nns+nom++??+=statuettes
( ^zz++++=(headless)--a
headless) ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
willowy ^jj+atrb+++=willowy
child ^nn++++=child
in ^in++++=in
a ^at++++=a
large ^jj++++=large-brimmed
- ^zz++++=EXTRAWORD
brimmed ^jj+atrb++xvbn+=EXTRAWORD
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
riding ^jj+++xvbg+=riding-switch
- ^zz++++=EXTRAWORD
switch ^nn++++=EXTRAWORD
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
holding ^jj+++xvbg+=holding
up ^rp++++=up
an ^at++++=an
old ^jj+atrb+++=old
tartan ^nn++++=tartan
shawl ^nn++++=shawl,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
pinned ^vprf+++xvbnx+=pinned
about ^rb++++=about
her ^pp3o+pp3+++=her
to ^to++++=to
imitate ^nn+nom+++=imitate
a ^at++++=a
horse-woman ^jj+atrb+++=horse-woman's
's ^vbz+bez+vrb++0=EXTRAWORD
habit ^nn++++=habit.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
paced ^vbd+++xvbnx+=paced
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro
between ^in++++=between
the ^ati++++=the
leaden ^jj+atrb++xvbn+=leaden
statuettes ^nns+nom++??+=statuettes-pedes
- ^zz++++=EXTRAWORD
pedes ^nns+++??+=EXTRAWORD
vestis ^nns+++??+=vestis
defluxit ^nn+++??+=defluxit
ad ^&fw++++=ad
imos ^vbz+++??+=imos
Et ^&fw++++=Et
vera ^np++++=vera
incessu ^nn+++??+=incessu
patuit ^nn+++??+=patuit
dea ^nn+++??+=dea,
, ^zz++++=EXTRAWORD
-- ^--+clp+++=--and
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
noted ^vbd+vprv++xvbnx+=noted
almost ^rb+hdg+++=almost
at ^rb++++=at
once ^rb"+tm+++=once
that ^cs+sub+++=that
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
butterflies ^nns++++=butterflies
( ^zz++++=("red
" ^zz++++=EXTRAWORD
red ^jj+atrb+++=EXTRAWORD
admirals ^nns+nom+++=admirals"
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were)
) ^zz++++=EXTRAWORD
floated ^vbd+++xvbn+=floated
and ^cc+phrs+++=and
circled ^vbd+++xvbn+=circled
about ^in++++=about
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
sunlight ^nn++++=sunlight.
. ^zz++++=EXTRAWORD
A ^at++++=A
child ^nn++++=child
of ^in++++=of
commoner ^nn++++=commoner
make ^vb++++=make,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
a ^at++++=a
year ^nn++++=year
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
a ^at++++=a
buff ^nn++++=buff
print ^nn++++=print
frock ^nn++++=frock
and ^cc++++=and
pink ^jj+atrb+++=pink
sunbonnet ^nn+++??+=sunbonnet,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
The ^ati++++=The
faces ^nns++++=faces
of ^in++++=of
both ^abx++++=both
were ^vbd+bed+aux++=were
averted ^vpsv++agls+xvbnx+=averted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
there ^rn+pl+++=there
for ^in++++=for
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
